summary,text
"Wants to know the time of the next train because the info board at the station is just showing delayed. Gives the time of the required train and will report the fault of the display board.","Customer:  morning - when's the next train at Fulwell? Info board is frozen on 'delayed '..website shows on time! Agent:  Hi Rhys, where are you travelling to please? ^JM Customer:  Fulwell to Waterloo Agent:  The delayed 06:23 should be with you at 06:41 and will be running fast from Teddington to Waterloo ^JM Customer:  Thanks. ..why was there no detail of this on the website? Info board also not giving much in the way of information. .. Agent:  The alteration to this service can be found on our JourneyCheck page here  ^JM Customer:  So the  is of no use? Agent:  No, our website is  ^JM Customer:  Which is the site I meant. ...which has only just been refreshed to show the delay..as the train pulled into the station.. Customer:  ...and the info sign showing no information? Agent:  Can you let me know please, was the display entirely blank? Was this on platform 1? ^JM Customer:  No, segment to show train arrival time just showed 'Delayed '. No further information then provided. Agent:  Thanks for the info Rhys, we'll report this fault. ^JH"
"The customer have a big problem. The agent tried to solve the problem and offers choices to the customer.","Customer:    I need help!! ! Agent:  I’d be happy to help! What are you needing assistance with? ^M Customer:  My sisters account has been locked as it has been linked to an account with a negative balance though this is not possible!! ! Agent:  We’d be happy to look into it further. Have your sister call in or reach out to us here or on Facebook. ^M Customer:  She don’t have twitter and your call centers have been ABSOLUTELY useless Agent:  Calling in will be the fastest way to resolve any issues or if she has a Facebook acct she can reach out to us there. Thanks! M Customer:  Called in 4 times now with no resolve this is ABSOLUTELY disgusting Agent:  2/2 Facebook by visiting  or she can email us at __email__. We'll be happy to talk with her. ^CR Agent:  Sorry to hear you're still having trouble. We won't be able to discuss your sister's account, but she can also contact us on 1/2 Customer:  I’ll have her email"
"Flight delayed due to crew fighting, the company not keeping customers updated with expected departure time. Provides an estimated departure time but only as the customer is boarding so would have that information already.","Customer:  cancelled flight last night and now delayed flight tonight in CLT. Plane is @ gate and still delayed.  Agent:  That sure isn't the record we want to have with you. We're showing an estimated departure time of 8:25p. Customer:  It’s now 8:05 pm and not boarded. Highly doubt 8:25 pm departure. No announcements at gate in CLT. Really bad service! ! Agent:  It appears our crew has been delayed on an incoming flight. Thanks for your patience. We should have an update soon. Customer:  Negative. There was a crew on board that was taken of by Charlotte Police! This is really, really bad. Never before have I seen a cop take a crew off a plane!! ! Customer:  So as I learned the original crew got into a fight with the cleaning crew. The flight required a police report. This, ur crew delayed a whole flight over an issue that likely wasn’t an issue.  Customer:  Now they will start to board the flight! Almost 1 hour delayed on boarding due to American Airline employee problems. Over 20 years of flying this is a first.  Agent:  We see that you're now boarding with an estimated departure of 9:10p. Our apologies for the disruptions to your travels this evening. Customer:  Never heard of a crew getting into a fight with the cleaning crew that required a police report. Cops taking flight crew off the plane. Can’t wait to see this hit the news wires with the video!!!! 138 passengers impacted by a controllable issue not handled well by American!"
"Amazon pantry order was delayed by 7 days but refund is being held up. Looking into the problem.","Customer: Hey!  Amazon pantry order was late by 7 days so i cancelled it, but i m still being asked 2 wait 4 refund. Can u help?  Agent:  Apologies for the unpleasant experience. Kindly share your details here:  and I'll contact you. ^GS Customer:  There were 2 separate orders 408-1929729-8238743 and 408-0714060-7645942. Both were Delayed. i have added my details as suggested Agent:  Thanks. We'll check and revert at the earliest. ^HK Agent:  Also, please don't provide your order/account details as we consider them to be personal information. ^HK Customer:  Ok Sure ! Customer:  Guys any update on this ! Agent:  We're working on your details, we'll reach out to you soon with an update. ^SG Customer:  Hi  Thank you for the refund! i got it last night. Still, i got delivery of one of the product. You can take it whenever u want 2 Customer:   let me know if you want more details on this ! ! Agent:  As you have already provided your details, our team will look into it and will reach out to you for any further updates. ^GU"
"Customer bought prime membership with a gift card and wants to know if he is eligible for the cashback offer. Offers a link to a secure place to look into this issue.","Customer:  purchased prime membership by adding gift card to pay balance . Will i eligible for rs. 250 cashback. Contact 9899955881 Agent:  We would like to investigate this further. Could you let us know the date of purchase of the Prime membership? ^VM Customer:  24th Oct . You can check this in my account details 24th oct 2017 . Please tell me whether I am eligible for Rs. 250 cashback. Agent:  Kindly contact our team here:  and we'll check. ^GK Customer:  already contacted but confusion remains the same that's why asking you people to call me who is expert on this on 9899955881 Agent:  Kindly share your details here:  and I'll look into this. ^SG Customer:  Are you callin me for this ? Please call me for more clarification on 9899955881 Agent:  Wee can't access your account details over Twitter. Kindly share the same over the secure link we shared. (1/2)^CB Agent:  Please don't provide your order details as we consider it personal info. Our twitter page is visible to public. (2/2)^CB"
"Customer is visibly frustrated at not getting enough variety. The agent tries to deal with the client in the best way.","Customer:  absolutely appalled by the fact that Tesco don’t believe that 90% girls shoes and 10% boys is not sexism! Are boys not entitled to dry warm feet same as girls? If not why not? ! Agent:  Hi Lucinda, I'm sorry you feel this has been represented and for any upset this has caused. 1/2 Agent:  Can you please DM your name, email address and local store so I can log your feedback? Ty - Marian 2/2 Customer:  the manager said it was an HQ issue not store so please explain?! Everything from the brown shoes on the left to the far right are girls. Please explain why? Boys need to wear shoes too!  Agent:  I apologise if this looks in any way prejudiced but I assure you we are just trying to do the best for our customers. :) Thanks, Calum 2/2 Agent:  Hi Lucinda. I'm sorry you feel this way, I appreciate your frustration. We flex our space, and range, to support customer needs and perennial trends. We manage stock to each store to ensure we are giving a balanced offer. 1/2 Customer:  So you’re saying girls needed a choice of over 10 boots &amp; 8 trainers and 10 shoes boys only need one pair of boots and no shoes or trainers? Because that’s what your advertising. It is sexism &amp; appalling of you to do this! Boys require clothes &amp; choice just as much as girls! Customer:  It in no way is balanced! Please provide me details to take this issue further? I cannot believe your bias to girls over boys. No explanation other than your wish for £££! No thought to customers at all! 50% of kids are boys STOP DISCRIMINATING on sex! Customer:  Hmm  claiming 1 choice of trainer &amp; boot for boys is balanced against over 10 choices of each for girls! How is that not discrimination and sexism? Boys not allowed choice cause they’re boys?!  Agent:  Hi Lucinda. I assure you this is not discriminating. There is just a much higher demand for female footwear than male footwear in our stores. 1/3 Agent:  Due to this big difference in demand we offer more female footwear as that is what our customers are more interested in investing in. 2/3 Agent:  This decision is down to our customers choices, and we try to change and improve to our customers needs and wants. :) Thanks, Calum 3/3 Customer:  You offer one pair to boys! There was more choice in men’s then there was for boys! Trying going and looking before tweeting in ignorance! You obviously do not care for children who are boys or you would sort this. Nearly every mum in children’s clothing said the same. Customer:  If you listened to your actual customers it would be amazing 17 mums there all agreed. 4 were mums only if girls &amp; also thought it was unbelievable and you still haven’t provided me of details to take this further! Customer:  Until you give us this option how are we suppose to show you. You refuse to listen to your customers choices and are dictating to society what you think not giving us the option to choose for ourselves! Do you just buy the first &amp; only shoes you see or do you look at options? !"
"The customer has a problem with the website. The agent tries to solve the problem but in the end must escalate it to a higher level.","Customer: Dear  your website is very jacked at the moment. Just thought you might want to know. Agent:  Hey, thank you for bringing this up to our attention. What seems to be the issue? Are you experiencing any error on  Customer:  Logged into my account and trying to change plans. Keep getting error messages and the site keeps asking me to log back in/pages crashing. Customer:  Also, it just took one of your reps half an hour to explain something that should have been pretty simple. I’m a customer since 2000. Feeling pretty annoyed/overcharged and seriously considering moving to Google Fi. Agent:  Oh, What is the web browser you are currently using? If you would like me to review this on your account, please DM me :) -MP Customer:  Chrome. Customer:  Browser is up to date. Agent:  Alright. I'd like to send a feedback to our IT team &amp; I'd also like to get the chance to take a closer look into your account options. DM me to get started ;) -MP"
"Someone else has taken their bag after a flight and left their own similar case and wants to know when BA will contact the customer, also asks when they can make an insurance claim. Says that BA will not take any steps to contact the person to return the mistaken bag and that the customer could contact the police and report their bag stolen.","Customer:  how long is it before you contact someone who's  taken my bag by mistake. I've got a lost luggage ref number. Got told today that a similar bag got left so that's who probably has mine. I've got the majority of my clothes in it and want them back asap. Agent:  We're sorry, Dan. If we delivered your bag to the carousel and someone else picked it up we're not responsible for contacting them on your behalf. However, if there's been a bag left behind we'll do all we can to get in touch with that customer for them to retrieve it. ^Julie Customer:  When I spoke to BA on the phone earlier they said there had been a bag left behind that is similar. They said you can't return theirs until mine has been returned. It's a bit annoying that you can't contact them and enquire if they have mine by mistake. What are my options? Agent:  Hi Dan, I can appreciate your frustration. Unfortunately, we're unable to do anything until your bag has been returned, as you already know. You could contact the police and report your bag as stolen, or file a lost bag claim with your travel insurance company. ^Linds Customer:  So people can just get off your flights and take whatever baggage they want? great that is!! You literally have to ring up one person and you won't, I'll not be using BA again in a hurry! Agent:  Hi Dan. As soon as the passenger who has collected your bag gets back in touch with us, we'll have more information. I'm sorry we're unable to assist further. ^Kev Customer:  Thanks Kev how long do I need to leave it before putting a claim in with you or the insurance? Agent:  Hi Dan. If another passenger has your bag, you wouldn't be able to make a claim with us. You may be able to claim through your insurance so you may want to contact them. ^Kev Customer:  So is there absolutely no possibility that you can contact the person who's bag was left and ask. Obviously I would but you wouldn't be able to give me their details. I've got presents etc in the bag and no money to replace them now, so it's essentially ruined my Christmas. Agent:  We wouldn't be able to give you their details for data protection reasons, Dan. We can't guarantee we can do anything, as your bag arrived on the carousel. However, please DM us your baggage ref, email and postal address. ^Leanne Customer:  Hi Leanne I've sent the message thanks Dan"
"Customer is complaining about the money deducted from his/her card. Agent stated that they will connect through phone and resolve the issue.","Customer:  why do y’all disconnect while in cut when you’re in the wrong? I’m so upset with your CS and would like to speak to a Supervisor Agent:  I hate that this happened. Without providing personal info, can you tell us what's going on? We'd like to help if we can. ^AL Customer:  Money was taken from my debit card for services I’ve never even used or received and now my money was put on another card? Yea ok Customer:  How’d y’all take my money from one card but say you refunded it to a whole other card? &amp; don’t feel I should be compensated  your mishap😔🙁 Agent:  I'm sorry for the frustration so far. When you spoke with us, what insight was provided for you? ^SJ Customer:  That I would have to locate where they “supposedly “ refunded it to. Why charge my card but not refund my card? Then just cut me off in chat Agent:  I'm so sorry for the poor experience. We'd like another chance to look into it with you via phone:  ^WJ Customer:  I’ve tried that twice already! What’s the next step for me to take on this matter? Supervisor or management? I have all the screenshots Customer:  And emails too Agent:  Reaching out via the link above would be the next step, so we can take care of it appropriately by phone. ^QJ"
"Needs instructions on how to configure the vpn gateway. Someone will respond through the forum.","Customer:   ¿ Como configuro una VPNGateway entre una red virtual de Azure y una red local personal? Agent:  Just checking, do the details on  help in any way? If not, let  1 ^FC Agent:  us know and we can look at this in more details, if needed. 2 ^FC Customer:  en mi red virtual de azure tengo la subred ""default"" y ocupa todo el rango de direcciones, como la elimino si tengo una maquina virtual.  Agent:  Could you please sum up your questions about VPN Gateway (in English) here:  and send us the link? ^SN Customer:   Is this the right link? Can you see my question with the title ""How to configure VPN Gateway in my virtual net of"" ? Agent:  Got it, thanks. We have flagged these details with our team and someone will be in touch through the forum. ^FC Agent:  Looks like your forum has received a response. Can you review the response and confirm if you have any further concerns? ^FC"
"The client has many questions. The agent answers all questions even if they are not problems to solve.","Customer: Really wish  had more vegetarian options in their meal deals. Getting tired of only having one choice or none at all. Agent:  We're limited by stock availability as to what we include in our promotions, but our team are looking into this. Thanks. Customer:  How do you work out stock availability then? Agent:  Hi Jasmine, each store is different depending on space. Which offers do you usually treat yourself to? Customer:  It's usually the dine in for two for £10 mainly Agent:  Thanks, Jasmine - please can we ask which stores you usually visit too? Customer:  Mostly it's the one at Glasgow silverburn I go to. Agent:  Thanks, Jasmine - we'll let our Food team know."
"Update to the phone means customer cannot reply to messages without first closing them and the apple store he went to couldn't solve it and recommended a hard reset. Offers to take the issue into DM to work with the customer to solve the problem.","Customer:   like what is the deal with the “I️” button?  Customer:   You’re gonna make everybody hard reset their phone because of your flawed update? It’s the worst yet. Customer:   Not being able to reply to a text without closing messages and reopening it.... Agent:  We want to help. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again. Customer:  I️ went to the Apple store. And they had me reset my overall settings, hoping it would fix the keyboard. That didn’t help. Customer:  They recommended a hard reset. I’d rather not. I’m seeing this random “I️” issue pop up on other people’s texts as well out of nowhere. Customer:  “I️” = I Customer:  Please see my pictures in the original tweet. Also. My phone keeps freezing. Agent:  Thanks for keeping us updated. Are you running iOS 11.1? Meet us over in DM with more details, and we’ll work there. "
"Customer is asking to repair or change the television which is not working. Agent updated to return the television with their credit/debit card.","Customer:  bought a celcus tv from your Finchley store last year in December and it stopped working yesterday - can you repair it or change Customer:  Your cctv recording from the date we bought it - Agent:  Can you confirm did you pay cash or card for the telvision? We accept credit/debit card statements as a proof of purchase. Steven Customer:  Yes. I paid by card, I think there were other things I bought with the tv as well , but I remember the price of the television was £175 Customer:  Actually, I just checked my bank statements and I bought the tv in January 2017 and not dec 2016 and paid for it by card - £175 Agent:  We would use the bank statements transaction ID to match our till receipts. If you return the television with your credit/debit card...1/2 Agent:  ...statement our in store colleagues will advise you further. Steven 2/2 Customer:  Great! Thank you. Customer:  One last question, I’ve recycled the Tv’s box - is it rwqur Customer:  Required** Agent:  As long as you've got proof of purchase you'll be fine Dimitar! Ewan"
"Had flickering issues on Dell laptop when he moved it. Advises running Dell diagnostics.","Customer:  any idea why this happened to my laptop  Agent:  with your Dell system. Did you try to run Dell diagnostics on the computer to reach here? (2) Agent:  The system seems to be having LCD screen flickering issue. I sincerely apologize for the technical troubles you are experiencing (1) Agent:  (5) Also, please DM us the system service tag along with registered owner's name.^RC Agent:  BIOS screen (F2 during startup) to check if the issue reoccurs? (4) Agent:  Is this issue intermittent? Does the same issue occur on the Dell logo screen during startup? Please boot into the (3) Agent:  To Find Service Tag:  Agent:  Hope you are doing fine. This is a follow up message. Please share the details requested so that we can check and assist you further.^RC Customer:  I turned the pc off when it had the flickering issue, then turned it on again and now I no longer have the issue. Customer:  It happened when I moved it while it was on, happened once before. Not really a big deal was just wondering. Thanks Agent:  We would suggest you to observe the system for a little longer and let us know if anything comes up. ^SD Agent:  Since the issue is not reoccurring, we will archive this case for now. Please reach out to us at your convenience and (1) Agent:  (2) we will have your system concern addressed. ^RC"
"Pre ordered the iPhone x but there are none available. Explains availability depends on exact model chosen and advises for this customer delivery date is 20th Dec.","Customer:  advertising you have the iPhone x, yet you have none to supply your customers, shambles and time to move to a new supplier Agent:  Hi there, have you placed a pre-order? Customer:  Yes, told 20th December, shocking ! Agent:  Wait times can vary depending on the time you ordered &amp; the colour and size chosen. We'll get it out to you as soon as we can 👍 Customer:  Not good enough o2, I can join Vodafone today and get one ! What a flippant non action reply, absolute shambles ! ! Customer:  Not a care for customers was given ! Shame on you o2, I have 4 separate phone accounts, I will be moving all of them Agent:  ☹ The device is in high demand. Please let us know if you'd like us to check your expected delivery time. Customer:    Customer:  These are the details #  Agent:  Your expected delivery date is the 20th Dec but if we can get it to you sooner we will. We'll drop you a text when it's ready. Agent:  We'd recommend deleting these tweets as they are public and contain your personal info. If you'd like to DM click here ⬇ "
"Customer is asking about the denied transaction at the ATM he faced. Agent is requesting to know the right time to call the customer.","Customer: .  if an ATM doesn't work because of suspicious activity out of your normal withdrawl zone why does it take $ out ur act??? Customer:  .  now hundreds taken out of my act... And now not gonna show up til Tuesday? Agent:  Hello, we're here to help. ^mm Agent:  Please use link below to send your full name/ZIP/phone/account type and we’ll follow up with you. ^mm Customer:  Don't see a link. Customer:  Sent a DM,  tried calling in but said the wait time was 42 minutes........ Agent:  I called and left a message for you. What's the best time to reach you? ^kc Customer:  I just missed it call again Customer:  I called back entered extension. On hold leaving u a vm Agent:  I called and left a message for you. Please let us know if you still need help. ^kc Customer:  I called back and left a VM and tweeted right back. But of course never heard anything besides a tweet almost a day later Agent:  I called back and left a message. Please let us know when is good time to call you. ^kc"
"Customer enquired that Touch pad is not working after Fall creator update. Agent updated to contact Answer Desk Team for resolving the issue.","Customer: My touchpad stopped working after  and it is so persistent despite everything I tried including downloading vendor drivers, Synaptics drivers, all kinds of drivers. Still yellow exclamation mark.  Agent:  Hello. Let's take a look at this. To troubleshoot this issue, follow Harshavardhan Rathod's post on this link:  Customer:  I tried all steps he suggested. None worked, unfortunately. Still, like this ⬇️ I am really disappointed...  Agent:  Let’s sort the touchpad issue by performing a clean boot, here’s how:  Customer:  I performed a clean boot, tried installing vendor provided drivers, drivers downloaded from Synaptic website, Windows drivers (""I have a diskette"") None worked. Any other suggestions? I am using an HP notebook. Agent:  Got it. For in-depth troubleshooting in resolving this issue, let's seek the help of our Answer Desk team. Contact them here:  Agent:  Hello. Just checking up on you. Were you able to contact our Answer Desk team? Customer:  Honestly I skipped this last step you suggested. Still no touchpad on  Agent:  Thanks for the info. For better assistance, we suggest contacting our Answer Desk team so they can look at the issue. Click here to reach them: "
