id,name
31b2,""
31b1,""
3197,"Katusha	"
3195,"Link Instruments	"
3176,"Whanam Electronics Co., Ltd	"
3171,"8086 Consultancy	"
316e,"SPECINFOSYSTEMS	"
316d,"Purism, SPC	"
316c,"SigmaSense, LLC	"
3151,""
3147,"Tanvas, Inc.	"
3145,"SafeLogic Inc.	"
3136,"Navini Networks	"
3131,""
3125,"Eagletron	"
3112,"Meteca SA	"
3111,"Hiperscan GmbH	"
30fa,""
30f2,"Varex Imaging	"
30ee,"Fujitsu Connected Technologies Limited	"
30c9,"Luxvisions Innotech Limited	"
30c2,"UNPARALLEL Innovation, Lda	"
30be,""
30a4,"Blues Wireless	"
308f,"Input Club	"
3057,"Kingsis Corporation	"
303a,""
3037,"Beijing Chushifengmang Technology Development Co.,Ltd.	"
3036,"Control iD	"
3016,"Boundary Devices, LLC	"
2ff4,"Quixant Plc	"
2feb,"Beijing Veikk E-Commerce Co., Ltd.	"
2fe9,""
2fe7,"ELGIN S.A.	"
2fe3,"NordicSemiconductor	"
2fe0,"Xaptum, Inc.	"
2fd0,""
2fc6,"Comtrue Inc.	"
2fc0,"Sensidyne, LP	"
2fb2,"Fujitsu, Ltd	"
2fb0,"Infocrypt	"
2fad,"Definium Technologies	"
2f76,"KeyXentic Inc.	"
2efd,""
2eb9,""
2e95,"SCUF Gaming	"
2e8a,""
2e69,"Swift Navigation	"
2e57,"MEGWARE Computer Vertrieb und Service GmbH	"
2e3b,"uSens Inc.	"
2e24,"Hyperkin	"
2e0e,"Hatteland Display AS	"
2e04,"HMD Global	"
2df2,"LIPS Corporation	"
2def,"Kirale Technologies	"
2dee,""
2dcf,"Dialog Semiconductor	"
2dc8,"8BitDo	"
2d84,"Zhuhai Poskey Technology Co.,Ltd	"
2d81,"Evollve Inc.	"
2d6b,"NetUP Inc.	"
2d37,"Zhuhai Poskey Technology Co.,Ltd	"
2d2d,"proxmark.org	"
2d25,"Kronegger GmbH.	"
2d1f,"Wacom Taiwan Information Co. Ltd.	"
2cf0,"Nuand LLC	"
2ce5,"InX8 Inc [AKiTiO]	"
2ce4,""
2cdc,"Sea & Sun Technology GmbH	"
2cd9,"Cambrionix Ltd	"
2ccf,"Hypersecu	"
2cc8,""
2cc2,"Lautsprecher Teufel GmbH	"
2cc0,"Hangzhou Zero Zero Infinity Technology Co., Ltd.	"
2cb7,"Fibocom	"
2ca3,"DJI Technology Co., Ltd.	"
2c9d,"Nod Inc	"
2c9c,"Vayyar Imaging Ltd.	"
2c99,"Prusa	"
2c97,"Ledger	"
2c7c,"Quectel Wireless Solutions Co., Ltd.	"
2c55,"Magic Leap, Inc.	"
2c4f,"Canon Electronic Business Machines Co., Ltd.	"
2c4e,"Mercucys INC	"
2c33,""
2c23,"Supermicro Computer Incorporated	"
2c1a,"Dolphin Peripherals	"
2c02,"Planex Communications	"
2beb,""
2bd9,""
2bd8,"ROPEX Industrie-Elektronik GmbH	"
2bd6,"Coroware, Inc.	"
2bcc,"InoTec GmbH Organisationssysteme	"
2bc5,"Orbbec 3D Technology International, Inc	"
2b98,""
2b89,""
2b73,""
2b4c,"ZUK	"
2b3e,"NewAE Technology Inc.	"
2b24,"KeepKey LLC	"
2b23,"Red Hat, Inc.	"
2b16,""
2b0e,"LeEco	"
2b04,""
2b03,"STEREOLABS	"
2afd,""
2af4,"ROLI Ltd.	"
2aec,"Ambiq Micro, Inc.	"
2ae5,"Fairphone B.V.	"
2ad1,"Picotronic GmbH	"
2ac7,"Ultrahaptics Ltd.	"
2ab6,"T+A elektroakustik GmbH & Co KG, Germany	"
2a94,""
2a8d,"Keysight Technologies, Inc.	"
2a88,"DFU Technology Ltd	"
2a70,"OnePlus Technology (Shenzhen) Co., Ltd.	"
2a6e,"Bare Conductive	"
2a65,""
2a62,"Flymaster Avionics	"
2a52,""
2a4b,"EMULEX Corporation	"
2a47,"Mundo Reader, S.L.	"
2a45,"Meizu Corp.	"
2a3c,"Trinamic Motion Control GmbH & Co KG	"
2a39,"RME	"
2a37,"RTD Embedded Technologies, Inc.	"
2a1d,"Oxford Nanopore Technologies plc	"
2a19,"Numato Systems Pvt. Ltd	"
2a13,"Grabba International	"
2a0e,"Shenzhen DreamSource Technology Co., Ltd.	"
2a03,"dog hunter AG	"
29fe,""
29f3,""
29f1,"Canaan Creative Co., Ltd	"
29ea,"Kinesis Corporation	"
29e8,"4Links Limited	"
29e7,"Brunel University	"
29e2,"Huatune Technology (Shanghai) Co., Ltd.	"
29df,""
29cc,""
29c3,"Noviga	"
29c2,"Lewitt GmbH	"
29c1,"Taztag	"
29bd,"Silicon Works	"
298d,"Next Biometrics	"
2982,""
2972,"FiiO Electronics Technology	"
296b,"Xacti Corporation	"
2961,"Miselu	"
2957,"Obsidian Research Corporation	"
2947,""
2939,"Zaber Technologies Inc.	"
2931,"Jolla Oy	"
291a,""
2916,"Yota Devices	"
2914,""
2912,"Audioengine	"
290c,"R. Hamilton & Co. Ltd.	"
2909,""
28f9,"Profitap HQ BV	"
28f3,"Clover Network, Inc.	"
28e9,"GDMicroelectronics	"
28e0,"PT. Prasimax Inovasi Teknologi	"
28de,"Valve Software	"
28d4,"Devialet	"
28c7,"Ultimaker B.V.	"
28bd,"XP-Pen	"
289d,"Seek Thermal, Inc.	"
289b,"Dracal/Raphnet technologies	"
2899,"Toptronic Industrial Co., Ltd	"
2890,"Teknic, Inc	"
2886,"Seeed Technology Co., Ltd.	"
286b,"STANEO SAS	"
2853,""
2836,"OUYA	"
2833,"Oculus VR, Inc.	"
2822,"REFLEXdigital	"
2821,"ASUSTek Computer Inc.	"
2818,"Codex Digital Limited	"
2817,"Signal Hound, Inc.	"
2806,"SIMPASS	"
2803,"StarLine LLC.	"
27f2,"Softnautics LLP	"
27dd,"Mindeo	"
27d4,"Blackstar Amplification Limited	"
27c6,"Shenzhen Goodix Technology Co.,Ltd.	"
27c0,"Cadwell Laboratories, Inc.	"
27bd,"Codethink Ltd.	"
27b8,"ThingM	"
27a8,"Square, Inc.	"
2770,"NHJ, Ltd	"
276d,""
2766,"LifeScan	"
2765,"Firstbeat Technologies, Ltd.	"
2763,""
2759,"Philip Morris Products S.A.	"
2756,"Victor Hasselblad AB	"
2752,""
273f,"Hughski Limited	"
2735,"DigitalWay	"
2730,"Citizen	"
272c,"Signum Systems	"
272a,"StarLeaf Ltd.	"
2717,"Xiaomi Inc.	"
270d,"Rosand Technologies	"
2707,"Bardac Corporation	"
26f2,"Micromega	"
26e2,"Ingenieurbuero Dietzsch und Thiele, PartG	"
26ce,""
26bd,"Integral Memory	"
26b5,"Electrocompaniet	"
26aa,"Yaesu Musen	"
26a9,"Research Industrial Systems Engineering	"
268b,"Dimension Engineering	"
2689,"StepOver International GmbH	"
2687,"Fitbit Inc.	"
2685,"Cardo Peripheral Systems LTD	"
2676,"Basler AG	"
2672,"GoPro	"
266e,"Silicon Integrated Systems	"
2669,""
2662,"Moog Music Inc.	"
2660,""
2659,"Sundtek	"
2650,"Electronics For Imaging, Inc. [hex]	"
264a,"Thermaltake	"
2639,"Xsens	"
2632,"TwinMOS	"
262a,"SAVITECH Corp.	"
2626,"Aruba Networks	"
2625,"MilDef AB	"
2604,"Tenda	"
25fb,"Pentax Ricoh Imaging Co., Ltd	"
25f0,"ShanWan	"
25e3,"Lumigon	"
25dd,"Bit4id Srl	"
25da,"Netatmo	"
25c8,"Visual Planet Ltd	"
25c6,"Vitus Audio (AVA Group A/S)	"
25c4,"ARCAM	"
25bf,"Elegant Invention	"
25bc,""
25bb,"Brunner Elektronik AG	"
25b5,"FlatFrog	"
25a7,"Areson Technology Corp	"
259a,"TriQuint Semiconductor	"
258d,"Sequans Communications	"
258a,""
2581,"Plug-up	"
2578,"Pluscom	"
2576,"AFO Co., Ltd.	"
2575,"Weida Hi-Tech Co., Ltd.	"
2574,"AVer Information, Inc.	"
2573,"ESI Audiotechnik GmbH	"
256f,"3Dconnexion	"
256c,""
256b,"Perreaux Industries Ltd	"
2563,"ShenZhen ShanWan Technology Co., Ltd.	"
2560,"e-con Systems	"
255e,"Beijing Bonxeon Technology Co., Ltd.	"
2555,"Basis Science Inc.	"
2554,"ASSA ABLOY AB	"
2550,""
254e,"SHF Communication Technologies AG	"
2548,"Pulse-Eight	"
2546,"Ravensburger	"
2544,"Energy Micro AS	"
2537,"Norelsys	"
2527,"Software Bisque	"
2520,"ANA-U GmbH	"
2516,"Cooler Master Co., Ltd.	"
2500,"Ettus Research LLC	"
24ff,"Acroname Inc.	"
24f0,"Metadot	"
24ed,"Zen Group	"
24ea,"Meva	"
24e3,"K-Touch	"
24e1,"Paratronic	"
24e0,"Yoctopuce Sarl	"
24dc,"Aladdin R.D.	"
24cf,"Lytro, Inc.	"
24c6,"ThrustMaster, Inc.	"
24c0,"Chaney Instrument	"
24ae,"Shenzhen Rapoo Technology Co., Ltd.	"
24a4,"Primare AB	"
249c,"M2Tech s.r.l.	"
248a,"Maxxter	"
2478,"Tripp-Lite	"
2476,"YEI Technology	"
2466,"Fractal Audio Systems	"
2464,"Nest	"
245f,"Chord Electronics Limited	"
2458,"Bluegiga Technologies	"
2457,"Ocean Optics Inc.	"
2443,"Aessent Technology Ltd	"
2433,"ASETEK	"
242e,"Vossloh-Schwabe Deutschland GmbH	"
2420,"IRiver	"
2406,"SANHO Digital Electronics Co., Ltd.	"
2405,"Custom Computer Services, Inc	"
23fc,"SesKion GmbH	"
23e8,""
23e5,""
23e3,""
23c7,"Gemini	"
23b4,"Dental Wings Inc.	"
23a6,"Tronical Components GmbH	"
23a0,"BIFIT	"
239a,"Adafruit	"
238b,"Hytera Communications	"
2386,"Raydium Corporation	"
237d,"Cradlepoint	"
2378,"OnLive	"
2375,"Digit@lway, Inc.	"
2373,"Pumatronix Ltda	"
236a,"SiBEAM	"
2368,"Peterson Electro-Musical Products Inc.	"
2367,"Teenage Engineering	"
2366,"Bitmanufaktur GmbH	"
2358,""
2357,"TP-Link	"
234b,"Free Software Initiative of Japan	"
2349,"P2 Engineering Group, LLC	"
2342,""
2341,"Arduino SA	"
2340,"Teleepoch	"
232e,"EA Elektro-Automatik GmbH & Co. KG	"
232b,"Pantum Ltd.	"
231d,""
2319,"Tronsmart	"
2318,"Shining Technologies, Inc. [hex]	"
2314,"INQ Mobile	"
2312,""
230d,"Teracom	"
2309,"TimeLink Technology Co., Ltd	"
2304,"Pinnacle Systems, Inc.	"
22f4,""
22e8,"Cambridge Audio	"
22e0,"secunet Security Networks AG	"
22df,"Medicom MTD, Ltd	"
22de,"WeTelecom Incorporated	"
22dc,"Mellanox Technologies	"
22db,"Phase One	"
22d9,"OPPO Electronics Corp.	"
22d4,"Laview Technology	"
22cd,"Kinova Robotics Inc.	"
22c9,"StepOver GmbH	"
22ba,"Technology Innovation Holdings, Ltd	"
22b9,"eTurboTouch Technology, Inc.	"
22b8,"Motorola PCS	"
22b1,"Secret Labs LLC	"
22a7,"Fortinet Technologies	"
22a6,"Pie Digital, Inc.	"
22a4,"VERZO Technology	"
228d,"8D Technologies inc.	"
226e,"DISPLAX	"
225d,"Morpho	"
2257,""
2256,"Faderfox	"
2252,""
224f,"APDM	"
2245,"Aspeed Technology, Inc.	"
223b,""
2239,""
2237,"Kobo Inc.	"
2233,"RadioShack Corporation	"
2232,"Silicon Motion	"
2230,"Plugable	"
222d,""
222a,"ILI Technology Corp.	"
2227,"SAMWOO Enterprise	"
2226,"Copper Mountain technologies	"
2222,"MacAlly	"
221a,"ZTEX GmbH	"
2207,"Fuzhou Rockchip Electronics Company	"
21d6,"Agecodagis SARL	"
21b4,"AudioQuest	"
21b0,""
21ab,"Planeta Informatica	"
21a9,"Saleae, Inc.	"
21a4,"Electronic Arts Inc.	"
21a1,"Emotiv Systems Pty. Ltd.	"
219c,"Seal One AG	"
2188,"No brand	"
2184,"GW Instek	"
217c,""
2179,""
2166,"JVC Kenwood	"
2164,""
2162,"Broadxent (Creative Labs)	"
214e,"Swiftpoint	"
214b,"Huasheng Electronics	"
2149,"Advanced Silicon S.A.	"
2133,"signotec GmbH	"
2125,"Fiberpro Inc.	"
2123,"Cheeky Dream	"
211f,"CELOT Corporation	"
2116,"KT Tech	"
2113,"Softkinetic	"
2109,"VIA Labs, Inc.	"
2107,"RDING TECH CO.,LTD	"
2104,"Tobii Technology AB	"
2101,"ActionStar	"
2100,"RT Systems	"
20f7,"XIMEA	"
20f4,"TRENDnet	"
20f1,"NET New Electronic Technology GmbH	"
20f0,"L3Harris Technologies	"
20e7,""
20df,"Simtec Electronics	"
20d6,""
20ce,"Minicircuits	"
20bc,"ShenZhen ShanWan Technology Co., Ltd.	"
20b7,"Qi Hardware	"
20b3,"Hanvon	"
20b1,"XMOS Ltd	"
20a0,"Clay Logic	"
2087,"Cando	"
2086,"SIMPASS	"
2080,"Barnes & Noble	"
2077,"Taicang T&W Electronics Co. Ltd	"
2058,"Nano River Technology	"
2047,"Texas Instruments	"
2040,"Hauppauge	"
203d,"Encore Electronics Inc.	"
203a,"PARALLELS	"
2020,""
201e,"Haier	"
201b,""
2019,"PLANEX	"
2018,"Deutsche Telekom AG	"
2017,""
2013,"PCTV Systems	"
200c,"Reloop	"
2009,"iStorage	"
2008,""
2006,"LenovoMobile	"
2003,"detectomat	"
2002,"DAP Technologies	"
2001,"D-Link Corp.	"
2000,"CMX Systems	"
1fff,"Ideofy Inc.	"
1ffb,"Pololu Corporation	"
1ff7,"CVT Electronics.Co.,Ltd	"
1fe7,"Vertex Wireless Co., Ltd.	"
1fde,"ILX Lightwave Corporation	"
1fd2,""
1fc9,"NXP Semiconductors	"
1fbd,"Delphin Technology AG	"
1fba,"DERMALOG Identification Systems GmbH	"
1fb9,""
1fb2,"Withings	"
1fae,"Lumidigm	"
1fac,"Franklin Wireless	"
1fab,"Samsung Opto-Electroncs Co., Ltd.	"
1f9b,"Ubiquiti Networks, Inc.	"
1f87,"Stantum	"
1f85,""
1f84,"Alere, Inc.	"
1f82,"TANDBERG	"
1f75,"Innostor Technology Corporation	"
1f71,""
1f6f,"Aliph	"
1f52,"Systems & Electronic Development FZCO (SEDCO)	"
1f4d,"G-Tek Electronics Group	"
1f48,"H-TRONIC GmbH	"
1f44,"The Neat Company	"
1f3a,"Allwinner Technology	"
1f36,""
1f29,""
1f28,"Cal-Comp	"
1f18,""
1f0c,"CMX Systems	"
1ef6,"EADS Deutschland GmbH	"
1ee8,"ONDA COMMUNICATION S.p.a.	"
1edb,"Blackmagic design	"
1eda,"AirTies Wireless Networks	"
1ed8,"FENDER MUSICAL INSTRUMENTS CORPORATION	"
1ecb,"AMTelecom	"
1ebb,"NuCORE Technology, Inc.	"
1eb8,"Modacom Co., Ltd.	"
1eaf,"Leaflabs	"
1eab,"Fujian Newland Computer Co., Ltd	"
1ea7,"SHARKOON Technologies GmbH	"
1e9b,""
1e91,"Other World Computing	"
1e8e,"Airbus Defence and Space	"
1e7d,"ROCCAT	"
1e7b,"Zurich Instruments	"
1e74,"Coby Electronics Corporation	"
1e71,"NZXT	"
1e68,"TrekStor GmbH & Co. KG	"
1e54,"TypeMatrix	"
1e4e,"Cubeternet	"
1e44,"SHIMANO INC.	"
1e41,"Cleverscope	"
1e3d,"Chipsbank Microelectronics Co., Ltd	"
1e2d,"Gemalto M2M GmbH	"
1e29,"Festo AG & Co. KG	"
1e1f,"INVIA	"
1e1d,"Kanguru Solutions	"
1e17,"Mirion Technologies Dosimetry Services Division	"
1e10,"Point Grey Research, Inc.	"
1e0e,"Qualcomm / Option	"
1df7,"SDRplay	"
1de7,""
1de6,"MICRORISC s.r.o.	"
1de1,"Actions Microelectronics Co.	"
1dd3,"Dajc Inc.	"
1dd2,"Leo Bodnar Electronics Ltd	"
1d9d,"Sigma Sport	"
1d90,"Citizen	"
1d88,"Mahr GmbH	"
1d73,""
1d6c,""
1d6b,"Linux Foundation	"
1d5c,"Fresco Logic	"
1d5b,"Smartronix, Inc.	"
1d57,"Xenta	"
1d50,"OpenMoko, Inc.	"
1d4d,"PEGATRON CORPORATION	"
1d45,"Touch	"
1d34,"Dream Cheeky	"
1d27,"ASUS	"
1d20,"SAMTACK INC.	"
1d1f,"Diostech Co., Ltd.	"
1d19,"Dexatek Technology Ltd.	"
1d17,"C-Thru Music Ltd.	"
1d14,"ALPHA-SAT TECHNOLOGY LIMITED	"
1d0f,"Sonix Technology Co., Ltd.	"
1d0d,"TDKMedia	"
1d0b,"HAN HUA CABLE & WIRE TECHNOLOGY (J.X.) CO., LTD.	"
1d0a,"Johnson Controls, Inc. The Automotive Business Unit	"
1d09,"TechFaith Wireless Technology Limited	"
1d08,"NINGBO HENTEK DRAGON ELECTRONICS CO., LTD.	"
1d07,"Solid-Motion	"
1d03,"iCON	"
1cfd,"Flextronics Digital Design Japan, LTD.	"
1cfc,"ANDES TECHNOLOGY CORPORATION	"
1cf1,"Dresden Elektronik	"
1ce1,"Amphenol KAE	"
1ce0,"EDIMAX TECHNOLOGY CO., LTD.	"
1cdf,"WonTen Technology Co., Ltd.	"
1cde,"Telecommunications Technology Association (TTA)	"
1cd6,"Antonio Precise Products Manufactory Ltd.	"
1cd5,"Firecomms Ltd.	"
1cd4,"adp corporation	"
1ccd,"Bodatong Technology (Shenzhen) Co., Ltd.	"
1cca,"NextWave Broadband Inc.	"
1cc0,"PlantSense	"
1cbf,"FORTAT SKYMARK INDUSTRIAL COMPANY	"
1cbe,"Luminary Micro Inc.	"
1cb6,"IdeaCom Technology Inc.	"
1cb4,"OPEX CORPORATION	"
1cb3,"Aces Electronic Co., Ltd.	"
1cac,"Kinstone	"
1ca1,"Symwave	"
1ca0,"ACCARIO Inc.	"
1c9e,"OMEGA TECHNOLOGY	"
1c98,"ALPINE ELECTRONICS, INC.	"
1c8e,"ASTRON INTERNATIONAL CORP.	"
1c89,"HONGKONG WEIDIDA ELECTRON LIMITED	"
1c88,"Somagic, Inc.	"
1c87,"2N TELEKOMUNIKACE a.s.	"
1c83,"Schomaecker GmbH	"
1c82,"Atracsys	"
1c7b,"LUXSHARE PRECISION INDUSTRY (SHENZHEN) CO., LTD.	"
1c7a,"LighTuning Technology Inc.	"
1c79,"Unigen Corporation	"
1c78,"Datascope Corp.	"
1c77,"Kaetat Industrial Co., Ltd.	"
1c75,"Arturia	"
1c73,"AMT	"
1c71,"Humanware Inc	"
1c6c,"Skydigital Inc.	"
1c6b,"Philips & Lite-ON Digital Solutions Corporation	"
1c57,"Zalman Tech Co., Ltd.	"
1c4f,"SiGma Micro	"
1c4b,"Geratherm Medical AG	"
1c49,"Cherng Weei Technology Corp.	"
1c40,"EZPrototypes	"
1c3e,"Wep Peripherals	"
1c3d,"NONIN MEDICAL INC.	"
1c37,"Authorizer Technologies, Inc.	"
1c34,"SpringCard	"
1c31,"LS Cable Ltd.	"
1c29,"Elster GmbH	"
1c28,"PMD Technologies	"
1c27,"HuiYang D & S Cable Co., Ltd.	"
1c26,"Shanghai Haiying Electronics Co., Ltd.	"
1c22,"ZHONGSHAN CHIANG YU ELECTRIC CO., LTD.	"
1c21,"ADDMM LLC	"
1c20,"Fuji Electric Device Technology Co., Ltd.	"
1c1f,"Goldvish S.A.	"
1c1b,"Volkswagen of America, Inc.	"
1c1a,"Datel Electronics Ltd.	"
1c13,"ALECTRONIC LIMITED	"
1c11,"Input Club Inc.	"
1c10,"Lanterra Industrial Co., Ltd.	"
1c0d,"Relm Wireless	"
1c0c,"Ionics EMS, Inc.	"
1c05,"Shenxhen Stager Electric	"
1c04,"QNAP System Inc.	"
1c02,"Kreton Corporation	"
1bfd,"TouchPack	"
1bf6,"Orient Semiconductor Electronics, Ltd.	"
1bf5,"Extranet Systems Inc.	"
1bf0,"RealVision Inc.	"
1bef,"Shenzhen Tongyuan Network-Communication Cables Co., Ltd	"
1bde,"P-TWO INDUSTRIES, INC.	"
1bda,"University Of Southampton	"
1bd5,"BG Systems, Inc.	"
1bd0,"Hangzhou Riyue Electronic Co., Ltd.	"
1bcf,"Sunplus Innovation Technology Inc.	"
1bce,"Contac Cable Industrial Limited	"
1bc7,"Telit Wireless Solutions	"
1bc5,"AVIXE Technology (China) Ltd.	"
1bc4,"Ford Motor Co.	"
1bc0,"Beijing Senseshield Technology Co.,Ltd.	"
1bbd,"Videology Imaging Solutions, Inc.	"
1bbb,"T & A Mobile Phones	"
1bae,"Vuzix Corporation	"
1bad,"Harmonix Music	"
1ba8,"China Telecommunication Technology Labs	"
1ba6,"Abilis Systems	"
1ba4,"Ember Corporation	"
1ba2,"Lite Metals & Plastic (Shenzhen) Co., Ltd.	"
1ba1,"JINQ CHERN ENTERPRISE CO., LTD.	"
1b99,"Shenzhen Yuanchuan Electronic	"
1b98,"YMax Communications Corp.	"
1b96,"N-Trig	"
1b8f,"MA LABS, Inc.	"
1b8e,"Amlogic, Inc.	"
1b8d,"e-MOVE Technology Co., Ltd.	"
1b8c,"Altium Limited	"
1b88,"ShenMing Electron (Dong Guan) Co., Ltd.	"
1b86,"Dongguan Guanshang Electronics Co., Ltd.	"
1b80,"Afatech	"
1b76,"Legend Silicon Corp.	"
1b75,"Ovislink Corp.	"
1b73,"Fresco Logic	"
1b72,"ATERGI TECHNOLOGY CO., LTD.	"
1b71,"Fushicai	"
1b65,"The Hong Kong Standards and Testing Centre Ltd.	"
1b5a,"Chao Zhou Kai Yuan Electric Co., Ltd.	"
1b59,"K.S. Terminals Inc.	"
1b52,"ARH Inc.	"
1b4f,""
1b48,"Plastron Precision Co., Ltd.	"
1b47,"Energizer Holdings, Inc.	"
1b3f,"Generalplus Technology Inc.	"
1b3b,"iPassion Technology Inc.	"
1b36,"ViXS Systems, Inc.	"
1b32,"Ugobe Life Forms, Inc.	"
1b28,"NAVIsis Inc.	"
1b27,"Current Electronics Inc.	"
1b26,"Cellex Power Products, Inc.	"
1b24,"Telegent Systems, Inc.	"
1b22,"WiLinx Corp.	"
1b21,""
1b20,"MStar Semiconductor, Inc.	"
1b1f,"eQ-3 Entwicklung GmbH	"
1b1e,"General Imaging / General Electric	"
1b1c,"Corsair	"
1b17,""
1b12,"Eventide	"
1b0e,"BLUTRONICS S.r.l.	"
1b04,"Meilhaus Electronic GmbH	"
1afe,"A. Eberle GmbH & Co. KG	"
1af3,"Kingsis Technology Corporation	"
1af1,"Connect One Ltd.	"
