_time, src_ip, event_description
2018-06-24T10:38:01.937412+0200, 172.18.29.131, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.7, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.17.8.1, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.29.254, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.128, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.30.83, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.29.114, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.17.8.4, "The update was successful"
2018-06-24T10:38:01.937412+0200, 172.18.29.141, "file infected. No cleaner available, file deleted successfully"
2018-06-24T10:38:01.937412+0200, 172.18.29.252, "Booted in Disabled mode"
2018-06-24T10:38:01.937412+0200, 172.18.29.143, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.53, "Scan was cancelled."
2018-06-24T10:38:01.937412+0200, 172.18.30.103, "Command Executed"
2018-06-24T10:38:01.937412+0200, 172.18.30.216, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.5, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.109, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.212, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.13, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.80, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.49, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.169, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.250, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.19, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.52, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.3, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.4, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.60, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.153, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.155, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.254, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.223, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.155, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.29, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.135, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.146, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.77, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.162, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.248, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.86, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.27, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.164, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.228, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.44, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.35, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.131, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.175, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.16, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.226, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.85, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.234, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.47, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.145, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.57, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.35, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.48, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.79, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.225, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.218, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.43, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.204, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.249, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.17.8.5, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.161, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.8, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.53, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.98, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.132, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.68, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.52, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.8, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.154, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.29, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.243, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.112, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.228, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.89, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.106, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.79, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.17.8.8, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.64, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.211, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.119, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.201, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.183, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.236, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.81, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.166, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.107, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.125, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.106, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.124, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.150, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.247, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.33, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.15, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.56, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.143, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.109, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.22, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.90, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.25, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.194, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.134, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.71, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.58, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.201, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.1, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.54, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.166, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.173, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.200, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.174, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.36, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.211, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.108, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.240, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.194, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.174, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.98, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.227, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.235, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.33, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.90, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.186, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.64, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.16, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.105, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.201, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.17.8.6, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.116, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.169, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.253, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.161, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.213, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.85, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.125, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.110, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.162, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.1, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.17.8.2, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.86, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.56, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.123, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.116, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.65, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.89, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.193, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.187, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.47, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.177, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.236, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.240, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.162, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.97, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.145, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.52, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.95, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.31, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.117, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.114, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.115, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.216, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.16, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.175, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.65, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.229, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.230, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.249, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.25, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.36, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.193, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.196, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.142, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.95, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.70, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.18, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.62, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.54, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.235, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.168, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.47, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.203, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.219, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.153, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.122, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.224, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.138, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.187, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.213, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.18, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.160, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.122, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.1, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.141, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.5, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.126, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.49, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.59, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.231, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.32, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.40, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.132, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.58, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.68, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.203, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.196, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.120, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.11, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.77, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.77, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.36, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.17.8.8, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.137, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.211, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.193, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.17.8.5, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.196, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.116, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.221, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.207, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.169, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.202, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.92, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.84, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.157, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.1, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.66, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.224, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.206, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.154, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.61, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.209, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.159, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.254, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.114, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.191, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.91, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.149, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.197, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.236, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.97, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.149, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.43, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.8, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.241, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.211, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.41, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.112, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.236, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.134, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.198, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.242, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.29.26, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.138, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.79, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.100, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.18, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.205, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.251, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.200, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.29.10, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.105, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.64, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.180, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.17.8.8, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.97, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.18, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.48, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.17, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.45, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.213, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.176, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.191, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.152, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.108, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.88, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.126, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.27, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.29.100, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.213, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.30.171, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.72, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.9, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.2, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.135, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.209, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.163, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.132, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.30.103, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.41, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.154, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.39, "The update was successful"
2018-07-24T10:38:01.937412+0200, 172.18.29.226, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.225, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.56, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.30.241, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.117, "The firewall blocked a port"
2018-07-24T10:38:01.937412+0200, 172.18.30.153, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.124, "Scan was cancelled."
2018-07-24T10:38:01.937412+0200, 172.18.30.115, "file infected. No cleaner available, file deleted successfully"
2018-07-24T10:38:01.937412+0200, 172.18.30.62, "Booted in Disabled mode"
2018-07-24T10:38:01.937412+0200, 172.18.29.174, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.142, "Command Executed"
2018-07-24T10:38:01.937412+0200, 172.18.29.108, "Command Executed"
