model,object_name,parentName,owner,dataset,field_name,display_name,type,required,recommended,extracted_type,calculation_type,expression,base_search,constraints,prescribed_values,description
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,subject,subject,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,This field is deprecated in favor of 'signature'.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,tag,tag,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,user_bunit,user_bunit,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The business unit of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,user_category,user_category,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The category of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,user_priority,user_priority,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The priority of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,vendor_account,vendor_account,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The account associated with the alert event.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,vendor_region,vendor_region,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,"The data center region involved in the alert event, such as us-west-2."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,cim_entity_zone,cim_entity_zone,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,app,app,string,False,True,calculated,Eval,"if(isnull(app) OR app="""",sourcetype,app)",,(`cim_Alerts_indexes`) tag=alert,,"The system, service, or application that generated the alert event. Examples include, but are not limited to the following: GuardDuty, SecurityCenter, 3rd party services, win:app:trendmicro, vmware, nagios."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,dest,dest,string,False,True,calculated,Eval,"if(isnull(dest) OR dest="""",""unknown"",dest)",,(`cim_Alerts_indexes`) tag=alert,,"The object that is the 'target' of the alert event. Examples include an email address, SNMP trap, or virtual machine id. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,severity,severity,string,False,True,calculated,Eval,"if(isnull(severity) OR severity="""",""unknown"",severity)",,(`cim_Alerts_indexes`) tag=alert,"critical, high, medium, low, informational, unknown","The severity of the alert event. Note: This field is a string. Specific values are required. Use the severity_id field for severity ID fields that are integer data types. Use vendor_severity for the vendor's own human readable strings (such as 'Good', 'Bad', 'Really Bad')."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,signature_id,signature_id,string,False,True,calculated,Eval,"if(isnull(signature_id) OR signature_id="""",""unknown"",signature_id)",,(`cim_Alerts_indexes`) tag=alert,,"The vendor specific policy or rule that generated the alert event, such as 'Policy:IAMUser/RootCredentialUsage.'"
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,src,src,string,False,True,calculated,Eval,"if(isnull(src) OR src="""",""unknown"",src)",,(`cim_Alerts_indexes`) tag=alert,,"The object that is the 'actor' of the alert event. You can alias or extract this from more specific fields, such as src_host, src_ip, or src_name."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,type,type,string,False,True,calculated,Eval,"if(isnull(type) OR type="""",""unknown"",type)",,(`cim_Alerts_indexes`) tag=alert,"alarm, alert, event, task, warning, unknown",The alert event type.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,user,user,string,False,True,calculated,Eval,"if(isnull(user) OR user="""",""unknown"",user)",,(`cim_Alerts_indexes`) tag=alert,,The user involved in the alert event.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,user_name,user_name,string,False,False,calculated,Eval,"if(isnull(user_name) OR user_name="""",""unknown"",user_name)",,(`cim_Alerts_indexes`) tag=alert,,The user_name of user involved in the alert event.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_bunit,dest_bunit,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_category,dest_category,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_priority,dest_priority,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_requires_av,dest_requires_av,boolean,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_should_timesync,dest_should_timesync,boolean,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest_should_update,dest_should_update,boolean,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,tag,tag,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,user,user,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,"The user account the service is running as, such as System or httpdsvc."
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,user_bunit,user_bunit,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,user_category,user_category,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,user_priority,user_priority,string,False,False,extracted,,,,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,dest,dest,string,False,True,calculated,Eval,"if(isnull(dest) OR dest="""",""unknown"",dest)",,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,"The compute resource where the service is installed. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name."
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,process,process,string,False,True,calculated,Eval,"if(isnull(process) OR process="""",""unknown"",process)",,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,"The name of a process or service file, such as sqlsrvr.exe or httpd. Note: This field is not appropriate for service or daemon names, such as SQL Server or Apache Web Server. Service or daemon names belong to the service field."
Application_State,All_Application_State,BaseEvent,BaseEvent.All_Application_State,All_Application_State,process_name,process_name,string,False,False,calculated,Rex,^\s*(?<process_name>[^\s]+),,(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report),,The name of a process.
Application_State,Ports,All_Application_State,All_Application_State.Ports,All_Application_State.Ports,dest_port,dest_port,number,False,True,calculated,Eval,"if(isnum(dest_port),dest_port,0)",,tag=listening tag=port,,"Network ports communicated to by the process, such as 53."
Application_State,Ports,All_Application_State,All_Application_State.Ports,All_Application_State.Ports,transport,transport,string,False,True,calculated,Eval,"if(isnull(transport) OR transport="""",""unknown"",lower(transport))",,tag=listening tag=port,,"The network ports listened to by the application process, such as tcp, udp, etc."
Application_State,Ports,All_Application_State,All_Application_State.Ports,All_Application_State.Ports,transport_dest_port,transport_dest_port,string,False,False,calculated,Eval,"if(isnull(transport_dest_port) OR transport_dest_port="""",split(replace(mvjoin(mvzip(transport,dest_port),""|""),"","",""/""),""|""),transport_dest_port)",,tag=listening tag=port,,"Calculated as transport/dest_port, such as tcp/53."
Application_State,Processes,All_Application_State,All_Application_State.Processes,All_Application_State.Processes,cpu_load_mhz,cpu_load_mhz,number,False,False,extracted,,,,tag=process tag=report,,CPU Load in megahertz.
Application_State,Processes,All_Application_State,All_Application_State.Processes,All_Application_State.Processes,cpu_load_percent,cpu_load_percent,number,False,False,extracted,,,,tag=process tag=report,,CPU Load in percent.
Application_State,Processes,All_Application_State,All_Application_State.Processes,All_Application_State.Processes,cpu_time,cpu_time,string,False,False,extracted,,,,tag=process tag=report,,CPU Time.
Application_State,Processes,All_Application_State,All_Application_State.Processes,All_Application_State.Processes,mem_used,mem_used,number,False,False,extracted,,,,tag=process tag=report,,Memory used in bytes.
Application_State,Services,All_Application_State,All_Application_State.Services,All_Application_State.Services,service,service,string,False,True,calculated,Eval,"if(isnull(service) OR service="""",""unknown"",service)",,tag=service tag=report,,"The name of the service, such as SQL Server or Apache Web Server. Note: This field is not appropriate for filenames, such as sqlsrvr.exe or httpd. Filenames should belong to the process field instead. Also, note that field is a string. Use the service_id field for service ID fields that are integer data types."
Application_State,Services,All_Application_State,All_Application_State.Services,All_Application_State.Services,service_id,service_id,string,False,True,calculated,Eval,"if(isnull(service_id) OR service_id="""",""unknown"",service_id)",,tag=service tag=report,,A numeric indicator for a service.
Application_State,Services,All_Application_State,All_Application_State.Services,All_Application_State.Services,start_mode,start_mode,string,False,True,calculated,Eval,"if(isnull(start_mode) OR start_mode="""",""unknown"",start_mode)",,tag=service tag=report,"disabled, manual, auto",The start mode for the service.
Application_State,Services,All_Application_State,All_Application_State.Services,All_Application_State.Services,status,status,string,False,True,calculated,Eval,"if(isnull(status) OR status="""",""unknown"",status)",,tag=service tag=report,"critical, started, stopped, warning",The status of the service.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,authentication_method,authentication_method,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The method used to authenticate the request such as SAML, FIDO, or MFA."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,authentication_service,authentication_service,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The service used to authenticate the request such as Okta, or ActiveDirectory"
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,dest_bunit,dest_bunit,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The business unit of the authentication target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,dest_category,dest_category,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The category of the authentication target, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,dest_nt_domain,dest_nt_domain,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The name of the Active Directory used by the authentication target, if applicable."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,dest_priority,dest_priority,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The priority of the authentication target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,duration,duration,number,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The amount of time for the completion of the authentication event, in seconds."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,process,process,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"Full path and the name of the executable for the process that attempted the logon. For example, it is a ""Process Name"" in Windows such as `C:\Windows\System32\svchost.exe`."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,reason,reason,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The human-readable message associated with the authentication action (success or failure).
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,reason_id,reason_id,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The reason why logon failed. For example ""0xC0000234""."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,response_time,response_time,number,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The amount of time it took to receive a response in the authentication event, in seconds."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,session_id,session_id,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The unique identifier assigned to the login session.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,signature,signature,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,A human-readable signature name.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,signature_id,signature_id,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The unique identifier or event code of the event signature.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_bunit,src_bunit,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The business unit of the authentication source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_category,src_category,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The category of the authentication source, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_nt_domain,src_nt_domain,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The name of the Active Directory used by the authentication source, if applicable."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_priority,src_priority,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The priority of the authentication source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_bunit,src_user_bunit,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The business unit of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_category,src_user_category,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The category of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_id,src_user_id,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The unique id of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_priority,src_user_priority,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The priority of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_role,src_user_role,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The role of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user_type,src_user_type,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The type of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,tag,tag,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_agent,user_agent,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The user agent through which the request was made, such as Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) or aws-cli/2.0.0 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev4."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_bunit,user_bunit,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The business unit of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_category,user_category,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The category of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_id,user_id,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The unique id of the user involved in the event. For authentication privilege escalation events, this should represent the user targeted by the escalation."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_priority,user_priority,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The priority of the user involved in the event, or who initiated the event. For authentication privilege escalation events, this should represent the user priority targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_role,user_role,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The role of the user involved in the event, or who initiated the event. For authentication privilege escalation events, this should represent the user role targeted by the escalation."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user_type,user_type,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The type of the user involved in the event or who initiated the event, such as IAMUser, Admin, or System. For authentication privilege escalation events, this should represent the user type targeted by the escalation."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,vendor_account,vendor_account,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The account that manages the user that initiated the request.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,cim_entity_zone,cim_entity_zone,string,False,False,extracted,,,,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,action,action,string,False,True,calculated,Eval,"if(isnull(action) OR action="""",""unknown"",action)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),"success, failure, pending, error",The action performed on the resource.
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,app,app,string,False,True,calculated,Eval,"if(isnull(app) OR app="""",sourcetype,app)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The application involved in the event, such as ssh, splunk, win:local."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src,src,string,False,True,calculated,Eval,"if(isnull(src) OR src="""",""unknown"",src)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The source involved in the authentication. In the case of endpoint protection authentication the src is the client. You can alias this from more specific fields, such as src_host, src_ip, or src_nt_host."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,src_user,src_user,string,False,True,calculated,Eval,"if(isnull(src_user) OR src_user="""",""unknown"",src_user)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"In privilege escalation events, src_user represents the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,dest,dest,string,False,True,calculated,Eval,"if(isnull(dest) OR dest="""",""unknown"",dest)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The target involved in the authentication. You can alias this from more specific fields, such as dest_host, dest_ip, dest_mac, or dest_nt_host."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,user,user,string,False,True,calculated,Eval,"if(isnull(user) OR user="""",""unknown"",user)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,"The name of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation."
Authentication,Authentication,BaseEvent,BaseEvent.Authentication,Authentication,result,result,string,False,False,calculated,Eval,"if(isnull(result) OR result="""",""unknown"",result)",,(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$),,The result of the authentication attempt for audittrailv2 sourcetypes.
Certificates,All_Certificates,BaseEvent,BaseEvent.All_Certificates,All_Certificates,dest,dest,string,False,False,extracted,,,,(`cim_Certificates_indexes`) tag=certificate,,The target in the certificate management event.
Certificates,All_Certificates,BaseEvent,BaseEvent.All_Certificates,All_Certificates,dest_bunit,dest_bunit,string,False,False,extracted,,,,(`cim_Certificates_indexes`) tag=certificate,,The business unit of the target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Certificates,All_Certificates,BaseEvent,BaseEvent.All_Certificates,All_Certificates,dest_category,dest_category,string,False,False,extracted,,,,(`cim_Certificates_indexes`) tag=certificate,,"The category of the target, such as email_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk Enterprise Security."
