sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
apiserver,app,operational,,low,,Kubernetes,Kubernetes API server logs,Kubernetes API server log - controller manager and kube-apiserver process logs from /var/log/kubernetes or container stdout. Operational/diagnostic core control-plane source.
app:rds:agent,app,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS agent logs,"Auxiliary agent log lines from an RDS instance, forwarded via the RDS log groups (e.g., backup agent, monitoring agent, or vendor extension agents)."
app:rds:error,app,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS error logs,"RDS database engine error log: connection failures, query errors, restart and crash messages, replication issues."
app:rds:postgresql,app,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS postgresql logs,"RDS PostgreSQL engine log: client connections, query errors, autovacuum activity, checkpoint events, and slow queries."
app:rds:rds-events,app,operational,,low,Databases.All_Databases,Amazon Web Services,AWS RDS rds-events logs,"RDS service-level instance events emitted by the RDS control plane: failovers, scheduled backups, parameter group changes, maintenance events."
apparmor,linux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,AppArmor security policy logs,"AppArmor LSM log - mandatory access control profile enforcement on Debian/Ubuntu/SUSE. Records ALLOWED, DENIED, and AUDIT events for confined applications."
apport,linux,operational,,low,,Linux,Ubuntu crash report logs,"Ubuntu crash report daemon logs from /var/log/apport.log - records application crashes captured for diagnostic upload. Operational debugging data, minimal security value."
appservice,linux,operational,,med,"Alerts.Alerts, Performance.Memory, Performance.Network, Performance.OS",,Application service alerts,Generic application service alert/event sourcetype - vendor varies. CIM mapping depends on payload.
apt,linux,operational,,low,Updates.All_Updates,Linux,APT package manager logs,"Debian/Ubuntu APT package manager logs from /var/log/apt/history.log and term.log. Records install/upgrade/remove operations, useful for software inventory and change tracking."
apt_history,linux,security,,med,Endpoint.Processes,,Command history logs,APT command history log - the human-readable record of apt invocations independent of the structured apt log. Forensic evidence of admin package operations.
apt_term,linux,operational,,low,Updates.Updates,Linux,Package manager logs,Debian/Ubuntu APT terminal output captured to /var/log/apt/term.log - verbose dpkg invocation transcripts that complement the structured history.log entries.
argocd:audit,app,security,,med,Change.All_Changes,Argo,Argo CD deployment audit log,"Argo CD audit log - GitOps continuous delivery events: app sync, rollback, RBAC, and CLI invocations."
artifactory:access,app,"security, operational",,med,Data_Access.All_Data_Access_Logs,JFrog,JFrog Artifactory access log,"JFrog Artifactory access log - per-request artifact download/upload/delete with user, repo, and result. Feeds Web and Change data models."
artifactory:audit,app,security,,med,"Change.All_Changes, Authentication.Authentication",JFrog,JFrog Artifactory audit log,"JFrog Artifactory audit log - admin/security configuration changes, permission, and user lifecycle events."
aruba:airwave,network,operational,NAC,low,Network_Traffic.All_Traffic,Aruba,Aruba AirWave WLAN events,"Aruba AirWave WLAN management log - AP, controller, and client events tracked by AirWave. Operational with NAC overlap."
aruba:clearpass,network,security,NAC,high,"Authentication.Authentication, Endpoint.Processes",Aruba,Aruba ClearPass NAC logs,"Aruba ClearPass NAC policy decisions - RADIUS/TACACS authentication, posture, and role assignment. Authentication data model contributor."
asterisk_messages,app,operational,,low,,Asterisk,Asterisk VoIP system messages,"Asterisk VoIP PBX system message log - call signaling, registration, channel state, and admin activity messages."
auditbeat,security,security,EDR,high,"Authentication.Authentication, Endpoint.Processes",Elastic,Elastic Auditbeat system events,"Elastic Auditbeat agent log - host-level audit events from auditd, file integrity, and system module shipped by Auditbeat."
auditd,linux,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux auditd logs,Linux audit daemon raw log from /var/log/audit/audit.log - the underlying source feeding most linux:audit:* parsed sourcetypes via the Splunk Add-on for Unix and Linux.
auth,linux,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Unix/Linux,Generic authentication logs,"Generic /var/log/auth.log Debian/Ubuntu authentication facility - SSHD, sudo, su, PAM events. Primary Authentication data model source on Debian-family systems."
avast,security,security,EPP,high,Malware.Malware_Operations,Avast,Avast antivirus logs,"Avast endpoint antivirus log - scan results, detected malware, real-time protection events. Feeds the Malware data model."
aveva:historian,app,operational,,none,Performance.All_Performance,AVEVA,AVEVA Historian process data,AVEVA Historian (formerly Wonderware) process data tag readings - time-series industrial process variables.
avg,security,security,EPP,high,Malware.Malware_Operations,AVG,AVG antivirus logs,AVG endpoint antivirus log - scan and real-time protection detections. Feeds the Malware data model.
aws:alb:accesslogs,aws,"security, operational",,med,"Web.Web, Network_Sessions.All_Sessions",Amazon Web Services,AWS ALB access logs,"AWS Application Load Balancer access logs delivered to S3 - HTTP request and response details, target group routing decisions, TLS cipher/protocol, and request/target processing times."
aws:cloudtrail,aws,security,CSPM,high,"Authentication.Authentication, Change.All_Changes",Amazon Web Services,AWS CloudTrail API activity logs,"AWS CloudTrail API activity logs capturing every authenticated request to the AWS API: identity (IAM user/role/assumed-role), source IP, user agent, request parameters, and response. Core data source for AWS audit and threat detection."
aws:cloudwatch:dynamodb:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS DynamoDB CloudWatch metrics,"CloudWatch metrics for DynamoDB tables, indexes, and streams: consumed read/write capacity, throttled events, system errors, latency."
aws:cloudwatch:ebs:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS EBS CloudWatch metrics,"CloudWatch metrics for EBS volumes: read/write throughput and IOPS, queue depth, burst balance, idle time, volume status."
aws:cloudwatch:ec2:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS EC2 CloudWatch metrics,"CloudWatch metrics for EC2 instances: CPU utilization, network in/out, EBS throughput, status check pass/fail, CPU credit balance for T-family instances."
aws:cloudwatch:elasticache:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS ElastiCache CloudWatch metrics,"CloudWatch metrics for ElastiCache (Redis and Memcached) clusters: client connections, CPU/memory utilization, evictions, cache hits and misses, replication lag."
aws:cloudwatch:elb:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS ELB CloudWatch metrics,"CloudWatch metrics for Classic, Application, and Network Load Balancers: request count, latency, HTTP 4xx/5xx counts, healthy/unhealthy host counts, target connection errors."
aws:cloudwatch:events,aws,"security, operational",,med,"Change.All_Changes, Alerts.Alerts",Amazon Web Services,AWS CloudWatch Events/EventBridge,"AWS CloudWatch Events / EventBridge stream - near-real-time events for AWS service state changes (e.g., EC2 instance state, S3 object created, RDS snapshot complete) and custom application events."
aws:cloudwatch:guardduty,aws,security,CTD,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS GuardDuty threat detection findings,GuardDuty threat findings delivered through CloudWatch Events/EventBridge (vs. the aws:guardduty modular input path).
aws:cloudwatch:kinesis:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS Kinesis CloudWatch metrics,"CloudWatch metrics for Kinesis Data Streams and Firehose: incoming records and bytes, outgoing records and bytes, iterator age, write/read throttle counts."
aws:cloudwatch:lambda:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS Lambda CloudWatch metrics,"CloudWatch metrics for Lambda functions: invocation count, error count, duration, throttles, concurrent executions, dead-letter errors."
aws:cloudwatch:rds:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS RDS CloudWatch metrics,"CloudWatch metrics for RDS database instances and clusters: CPU utilization, database connections, read/write IOPS and latency, replica lag, freeable memory, swap usage."
aws:cloudwatch:s3:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS S3 CloudWatch metrics,"CloudWatch metrics for S3 buckets (requires request metrics enabled): request counts by operation, bytes downloaded/uploaded, 4xx/5xx error counts, first-byte and total request latency."
aws:cloudwatch:sns:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS SNS CloudWatch metrics,"CloudWatch metrics for SNS topics: published messages, delivery successes/failures by protocol (HTTP/SQS/Lambda/SMS/email), message size, filter evaluations."
aws:cloudwatch:sqs:metrics,aws,operational,,none,Performance.Performance,Amazon Web Services,AWS SQS CloudWatch metrics,"CloudWatch metrics for SQS queues: visible/in-flight/delayed message counts, approximate age of oldest message, sent/received/deleted rates, empty receives."
aws:cloudwatchlogs:guardduty,aws,security,CTD,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS GuardDuty logs via CloudWatch,GuardDuty findings exported through CloudWatch Logs - an alternate delivery path to aws:guardduty for environments that aggregate findings into a CloudWatch log group.
aws:cloudwatchlogs:vpcflow,network,security,CTD,high,Network_Traffic.All_Traffic,Amazon Web Services,AWS VPC Flow Logs,"VPC Flow Logs delivered via CloudWatch Logs - per-interface records of accepted/rejected IP traffic: source/destination IP and port, protocol, packets, bytes, TCP flags, action."
aws:config:compliance,aws,security,CSPM,high,"Vulnerabilities.Vulnerabilities, Change.All_Changes",Amazon Web Services,AWS Config compliance findings,"AWS Config compliance evaluations against configured rules: resource compliance state changes (COMPLIANT/NON_COMPLIANT), evaluation details, drift detection."
aws:description,aws,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory, Compute_Inventory.Virtual_OS",Amazon Web Services,AWS resource descriptions,"AWS resource description snapshots collected by the Splunk Add-on for AWS: EC2 instances and addresses, IAM users/roles/policies, load balancers, security groups, key pairs, RDS clusters, and many more resource types."
aws:eks:audit,aws,security,CSPM,high,"Change.All_Changes, Authentication.Authentication",Amazon Web Services,AWS EKS Kubernetes audit logs,"Amazon EKS Kubernetes API server audit logs: API request URI and verb, authenticated identity, response code, and impersonation chain. Used to detect privileged access and policy violations."
aws:elb:accesslogs,aws,"security, operational",,med,"Web.Web, Network_Sessions.All_Sessions",Amazon Web Services,AWS Classic ELB access logs,"Classic Elastic Load Balancer access logs delivered to S3: client IP and port, request line, backend instance, response code, request/response/backend processing times."
aws:firehose:cloudwatchevents:unknown:no_processor,aws,"security, operational",,med,Endpoint.Processes,Amazon Web Services,AWS Classic ELB access logs,"Classic Elastic Load Balancer access logs delivered to S3: client IP and port, request line, backend instance, response code, request/response/backend processing times."
aws:guardduty,aws,security,CTD,high,Intrusion_Detection.IDS_Attacks,Amazon Web Services,AWS GuardDuty threat findings,"Amazon GuardDuty threat findings derived from VPC Flow Logs, CloudTrail, and DNS logs. Finding types include reconnaissance, instance compromise, credential exfiltration, crypto-mining, and policy violations."
aws:inspector:finding,aws,security,VMS,high,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS Inspector vulnerability findings,"Amazon Inspector vulnerability and reachability findings across EC2 instances, ECR container images, and Lambda functions. Each finding includes severity, CVE, affected package, and remediation guidance."
aws:iot:core,aws,"security, operational",,med,Change.All_Changes,Amazon Web Services,AWS IoT Core message logs,"AWS IoT Core MQTT/HTTPS message logs and lifecycle events: device connect/disconnect, publishes, subscribes, rule engine invocations, and authorization decisions."
aws:macie:finding,aws,security,DLP,high,"DLP.All_Incidents, Alerts.Alerts",Amazon Web Services,AWS Macie sensitive data findings,"Amazon Macie findings from S3 data scans: sensitive-data findings (PII, financial info, credentials) and policy findings (public buckets, encryption disabled, replication to untrusted accounts)."
aws:network-firewall:alert,security,security,IDS,high,"Intrusion_Detection.IDS_Attacks, Network_Traffic.All_Traffic",Amazon Web Services,AWS Network Firewall alert events,"AWS Network Firewall alert events generated by Suricata-compatible stateful rules: alert message, signature ID, source/destination addresses, application protocol."
aws:network-firewall:flow,security,security,FW,high,Network_Traffic.All_Traffic,Amazon Web Services,AWS Network Firewall flow logs,"AWS Network Firewall flow logs - per-connection records of traffic inspected by the firewall: 5-tuple, byte and packet counts, action (PASS/DROP/ALERT)."
aws:rds:audit,aws,security,,med,"Change.Audit_Logs, Databases.Database_Audit",Amazon Web Services,AWS RDS database audit logs,"RDS database audit log - SQL statements executed against the engine when an audit plugin (MariaDB Audit, pgAudit, SQL Server Audit) is enabled. Captures connection, DDL, and DML activity."
aws:rds:error,aws,operational,,low,Databases.Database_Errors,Amazon Web Services,AWS RDS database error logs,"RDS engine error log: server-level errors, restart events, replication problems, deadlocks, and recovery messages. Distinct from app:rds:error which is a forwarded engine log within the OS log group."
aws:route53:queries,network,security,CTD,high,Network_Resolution.DNS,Amazon Web Services,AWS Route53 DNS query logs,"Route 53 DNS query logs delivered to CloudWatch Logs: query name and type, resolver IP, edge location, response code. Used for DNS-based threat hunting and resolver visibility."
aws:s3:accesslogs,aws,security,CSPM,med,Data_Access.All_Data_Access_Logs,Amazon Web Services,AWS S3 server access logs,"S3 server access logs: requester IAM identity or anonymous, bucket and key, operation (REST.GET.OBJECT/PUT.OBJECT/etc.), HTTP status, bytes transferred, request and turnaround time."
aws:s3:ssm:application,aws,operational,,low,"Compute_Inventory.All_Inventory, Endpoint.Processes",Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - installed applications and versions on managed instances (EC2, edge, on-prem)."
aws:s3:ssm:awscomponent,aws,operational,,low,"Compute_Inventory.All_Inventory, Endpoint.Services, Updates.Updates",Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - AWS-provided components installed on managed instances (CloudWatch agent, SSM agent, EC2Launch, etc.)."
aws:s3:ssm:billinginfo,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - billing-related metadata captured on managed instances (license type, billing product codes)."
aws:s3:ssm:complianceitem,aws,security,VMS,med,Updates.Updates,Amazon Web Services,AWS SSM compliance data,"AWS Systems Manager compliance data - per-item compliance results (patch, association, or custom compliance type) for each managed instance."
aws:s3:ssm:compliancesummary,aws,security,VMS,med,Updates.Updates,Amazon Web Services,AWS SSM compliance data,AWS Systems Manager compliance data - instance-level compliance summary aggregating all compliance types into compliant/non-compliant counts.
aws:s3:ssm:inspectorcve,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory exposed by Amazon Inspector - CVE list for installed packages on each managed instance.
aws:s3:ssm:inspectormetricdatapackagescanner,aws,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,"AWS Systems Manager inventory exposed by Amazon Inspector - metric data emitted by the package-scanner subsystem (scan duration, packages evaluated)."
aws:s3:ssm:inspectorthirdpartypackage,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory exposed by Amazon Inspector - third-party package inventory (non-OS packages) on managed instances.
aws:s3:ssm:instancedetailedinformation,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - detailed OS and hardware information for each managed instance (kernel version, CPU model, instance type)."
aws:s3:ssm:instanceinformation,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - summary information for each managed instance (platform, ping status, agent version, association status)."
aws:s3:ssm:network,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - network configuration of each managed instance (interfaces, IPv4/IPv6 addresses, MAC addresses, default gateways)."
aws:s3:ssm:patchsummary,aws,operational,,low,"Updates.Updates, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - patching status summary per instance (installed/missing/failed patch counts, last operation time)."
aws:s3:ssm:resourcegroup,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory data - resource group memberships for each managed instance.
aws:s3:ssm:scans,aws,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,AWS Systems Manager compliance data - compliance scan results for installed software (patch and configuration compliance).
aws:s3:ssm:service,aws,operational,,low,"Compute_Inventory.All_Inventory, Endpoint.Services",Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - installed Windows services on managed instances (name, status, start type)."
aws:s3:ssm:tag,aws,operational,,low,"Change.All_Changes, Compute_Inventory.All_Inventory",Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory data - tag metadata applied to each managed instance.
aws:s3:ssm:windowsrole,aws,security,EDR,med,"Compute_Inventory.All_Inventory, Endpoint.Services",Microsoft,Microsoft aws:s3:ssm:windowsrole,AWS Systems Manager inventory - installed Windows roles and features on managed Windows instances.
aws:s3:ssm:windowsupdate,aws,security,EDR,med,Updates.Updates,Microsoft,Microsoft aws:s3:ssm:windowsupdate,"AWS Systems Manager inventory - installed Windows updates (KB IDs, install date) on managed Windows instances."
aws:s3-objects:unknown:no_processor,aws,operational,,low,"Authentication.Authentication, Change.All_Changes, Endpoint.Processes",Amazon Web Services,AWS S3 object data,S3 object events delivered via Kinesis Data Firehose where the Splunk modular input could not classify the payload to a more specific sourcetype. Usually indicates a missing or misconfigured event processor mapping.
aws:securityhub:finding,aws,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS Security Hub findings,"AWS Security Hub aggregated findings in ASFF (AWS Security Finding Format) from GuardDuty, Inspector, Macie, IAM Access Analyzer, AWS Config, and integrated partner tools."
aws:ssm:compliance:summary,aws,security,CSPM,med,"Change.All_Changes, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM compliance summary data,AWS Systems Manager compliance summary delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged aws:s3:ssm:compliancesummary path).
aws:ssm:complianceitem,aws,security,CSPM,med,"Change.All_Changes, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM compliance item details,AWS Systems Manager per-item compliance delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged aws:s3:ssm:complianceitem path).
aws:ssm:instancedetailedinformation,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM detailed instance info,AWS Systems Manager detailed instance information delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).
aws:ssm:instanceinformation,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM instance information,AWS Systems Manager instance summary information delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).
aws:ssm:inventory,aws,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data delivered via the Splunk Add-on for AWS modular input - aggregated view of installed applications, services, and network configuration."
aws:ssm:patchsummary,aws,operational,,low,"Updates.Updates, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM patch summary data,AWS Systems Manager patch summary delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).
aws:waf,aws,security,WAF,high,"Web.Web, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS WAF web ACL logs,"AWS WAF (web application firewall) web ACL logs: request URI, headers, source IP, action (ALLOW/BLOCK/COUNT/CAPTCHA), and matching rule. Used for WAF tuning and web-attack analysis."
azure:aad:audit,azure,security,IAM,high,Change.All_Changes,Microsoft,Azure AD audit logs,"Microsoft Entra ID (Azure AD) directory audit logs - admin actions, user/group/application/policy changes, role assignments."
azure:aad:device,azure,security,IAM,med,Compute_Inventory.All_Inventory,Microsoft,Azure AD identity data,"Microsoft Entra ID (Azure AD) device inventory - registered/joined devices, OS, compliance state, owner."
azure:aad:group,azure,security,IAM,med,Compute_Inventory.All_Inventory,Microsoft,Azure AD identity data,"Microsoft Entra ID (Azure AD) group inventory - group definitions, membership, group type (security, M365, dynamic)."
azure:aad:signin,azure,security,IAM,high,Authentication.Authentication,Microsoft,Azure AD sign-in logs,"Microsoft Entra ID (Azure AD) sign-in logs - interactive and non-interactive authentications including user, app, conditional access result, MFA status, risk level."
azure:aad:user,azure,security,IAM,med,Compute_Inventory.All_Inventory,Microsoft,Azure AD identity data,"Microsoft Entra ID (Azure AD) user inventory - account attributes, license assignments, account enabled state, last sign-in."
azure:activity,azure,"security, operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Microsoft,Azure Activity log (base),"Azure Activity log - base sourcetype before per-category routing. Captures all control-plane operations (admin/read/write/delete), service health, alerts, and recommendations across an Azure subscription."
azure:activity:Action,azure,"security, operational",CSPM,med,Change.All_Changes,Microsoft,Azure Activity log - Action events,"Azure Activity log - non-CRUD action events against resources (e.g., restart, generalize, scale)."
azure:activity:Administrative,azure,"security, operational",CSPM,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Azure Activity log - Administrative events,"Azure Activity log - administrative operations (resource creation, role assignment, policy assignment, deployment)."
azure:activity:Alert,azure,security,,high,Alerts.Alerts,Microsoft,Azure Monitor alert events,"Azure Monitor alert events fired from metric, log, or activity log alert rules."
azure:activity:ArchiveLogs,azure,operational,,low,,Microsoft,Azure Activity log - archive logs,Azure resource diagnostic logs archived via the Activity log pipeline - lower-priority retention stream.
azure:activity:Delete,azure,"security, operational",CSPM,high,Change.All_Changes,Microsoft,Azure Activity log - Delete operations,Azure Activity log - delete operations against resources. High-value for change/threat detection.
azure:activity:GatewayDiagnosticLog,azure,operational,,low,"Authentication.Authentication, Change.All_Changes",Microsoft,Azure VPN/ER gateway diagnostics,"Azure VPN Gateway and ExpressRoute Gateway diagnostic logs - tunnel status changes, route updates, IKE phase 1/2 negotiations, and BGP peering events."
azure:activity:IKEDiagnosticLog,azure,operational,,low,Authentication.Authentication,Microsoft,Azure VPN IKE diagnostic log,Azure VPN Gateway IKE phase 1/2 negotiation diagnostic log - useful for troubleshooting site-to-site tunnels.
azure:activity:KafkaCoordinatorLogs,azure,operational,,low,,Microsoft,Azure Event Hub Kafka coordinator log,Azure Event Hubs Kafka surface - coordinator log for consumer group rebalances and partition assignment.
azure:activity:KafkaUserErrorLogs,azure,operational,,low,,Microsoft,Azure Event Hub Kafka user error log,"Azure Event Hubs Kafka surface - user-facing error log for producers/consumers (auth failures, throttling, protocol errors)."
azure:activity:LoadBalancerHealthEvent,azure,operational,,low,Performance.All_Performance,Microsoft,Azure Load Balancer health events,Azure Load Balancer health probe events - backend pool member up/down transitions.
azure:activity:NetworkSecurityGroupEvent,azure,security,FW,high,"Change.All_Changes, Intrusion_Detection.IDS_Attacks, Network_Traffic.All_Traffic",Microsoft,Azure NSG rule evaluation events,Azure NSG rule evaluation events - which rule matched a packet decision (allow/deny).
azure:activity:NetworkSecurityGroupFlowEvent,azure,security,FW,high,Network_Traffic.All_Traffic,Microsoft,Azure NSG flow logs,Azure NSG flow logs - per-flow 5-tuple records of inbound and outbound traffic evaluated by NSG rules.
azure:activity:NetworkSecurityGroupRuleCounter,azure,security,FW,med,Network_Traffic.All_Traffic,Microsoft,Azure NSG rule counter events,Azure NSG rule hit counters - aggregated counts of traffic that matched each NSG rule.
azure:activity:OperationalLogs,azure,operational,,low,,Microsoft,Azure Activity log - operational,Azure Activity log - service operational log entries that aren't admin/read/write but represent internal service events.
azure:activity:P2SDiagnosticLog,azure,security,VPN,med,"Authentication.Authentication, Network_Sessions.All_Sessions",Microsoft,Azure VPN P2S diagnostic log,"Azure VPN Gateway point-to-site (P2S) diagnostic logs - client connections, authentication outcomes (OpenVPN, IKEv2, SSTP), and disconnect events."
azure:activity:Policy,azure,security,CSPM,high,Change.All_Changes,Microsoft,Azure Policy compliance events,"Azure Policy evaluation events - compliance state changes, policy assignments, exemption applications."
