"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server"
"22-Feb-2018 14:31:00:204004 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T14:31:00.204+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:30:55:193457 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T14:30:55.193+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:30:39:417418 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T14:30:39.417+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:01:24:312650 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1633 user=appsqluser cpu_util=61 mem_util=66 query=SELECT customerid
","2018-02-22T14:01:24.312+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:01:14:296253 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T14:01:14.296+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:01:05:286498 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T14:01:05.286+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:01:00:380441 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T14:01:00.380+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:00:56:440493 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T14:00:56.440+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:00:51:165963 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T14:00:51.165+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 14:00:35:705690 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T14:00:35.705+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:20:723347 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T13:31:20.723+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:20:335642 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T13:31:20.335+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:20:028949 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T13:31:20.028+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:10:310033 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1634 user=appsqluser cpu_util=62 mem_util=85 query=SELECT customerid
","2018-02-22T13:31:10.310+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:01:241082 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T13:31:01.241+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:31:01:213034 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T13:31:01.213+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:30:50:573282 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T13:30:50.573+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:01:30:015464 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T13:01:30.015+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:01:29:203447 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T13:01:29.203+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:01:17:133554 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T13:01:17.133+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:01:07:139076 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T13:01:07.139+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:00:56:081467 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T13:00:56.081+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:00:42:128700 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T13:00:42.128+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 13:00:35:057685 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1798 user=appsqluser cpu_util=75 mem_util=77 query=SELECT customerid
","2018-02-22T13:00:35.057+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:31:20:367366 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1010 user=appsqluser cpu_util=78 mem_util=87 query=SELECT customerid
","2018-02-22T12:31:20.367+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:31:13:001061 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T12:31:13.001+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:31:06:102689 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T12:31:06.102+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:30:45:009469 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T12:30:45.009+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:30:42:467206 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T12:30:42.467+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:30:38:418812 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T12:30:38.418+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:30:34:211435 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T12:30:34.211+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:01:23:140277 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T12:01:23.140+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:01:08:121787 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T12:01:08.121+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:01:05:447014 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T12:01:05.447+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:01:01:428864 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T12:01:01.428+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:00:59:313736 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T12:00:59.313+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:00:42:510984 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1026 user=appsqluser cpu_util=63 mem_util=83 query=SELECT customerid
","2018-02-22T12:00:42.510+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 12:00:37:745542 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T12:00:37.745+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:31:11:552871 [CRITICAL] Error writing file '/mysqllog/binlog/localhost-3306-bin' (errno: 28)
","2018-02-22T11:31:11.552+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:31:04:676371 type=MySQL_Login user=appsqluser dbinstance=mysql_2.buttercup.com
","2018-02-22T11:31:04.676+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:31:01:854875 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T11:31:01.854+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:30:39:595312 [CRITICAL] /opt/mysql/bin/mysqld: Disk is full writing '/mysqllog/binlog/localhost-3306-bin.000020' (Errcode: 28). Waiting for someone to free space... Retry in 60 secs
","2018-02-22T11:30:39.595+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:30:25:835000 [CRITICAL] Could not use /mysqllog/binlog/localhost-3306-bin for logging (error 28)
","2018-02-22T11:30:25.835+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:30:24:620795 type=MySQL_Query src=mysql-2.buttercup.com transaction_speed=1091 user=appsqluser cpu_util=60 mem_util=77 query=SELECT customerid
","2018-02-22T11:30:24.620+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
"22-Feb-2018 11:30:24:124693 [CRITICAL] Error writing file '/mysqllog/slow_log/localhost_3306_slow_queries.log' (errno: 1)
","2018-02-22T11:30:24.124+0000","mysql-02",it,2,"/usr/local/mysql/logs/mysqld.log",mysqld,"ch-demo-itops"
