"_time",avgBytes,avgDuration,"bot_type",botnet,commonProtocol,numFlows,"src_ip",sumBytes,types,uniqueDstIp,uniqueDstPort,uniqueProtocols
1313503740,"23454.666666666668","50.839818333333334",murlo,1,udp,6,"147.32.84.165",140728,Botnet,5,2,2
1313503800,"13527.333333333334","63.337527333333334",murlo,1,udp,3,"147.32.84.165",40582,Botnet,3,2,2
1313503860,"13960.4","41.2067592",murlo,1,udp,5,"147.32.84.165",69802,Botnet,5,2,2
1313503920,"8480.666666666666","32.87501144444444",murlo,1,udp,9,"147.32.84.165",76326,Botnet,9,2,2
1313503980,"5456.666666666667","39.88270466666666",murlo,1,udp,3,"147.32.84.165",16370,Botnet,3,2,2
1313504040,"8869.818181818182","34.465919727272734",murlo,1,udp,11,"147.32.84.165",97568,Botnet,11,2,2
1313504100,"10169.2","41.309296800000006",murlo,1,udp,5,"147.32.84.165",50846,Botnet,5,2,2
1313504160,"17382.666666666668","55.575319",murlo,1,udp,3,"147.32.84.165",52148,Botnet,3,2,2
1313504220,"6693.5","22.58529025",murlo,1,udp,8,"147.32.84.165",53548,Botnet,8,2,2
1313504280,17842,"42.068355333333336",murlo,1,udp,6,"147.32.84.165",107052,Botnet,6,2,2
1313504340,"7480.666666666667","24.563943777777773",murlo,1,udp,9,"147.32.84.165",67326,Botnet,9,2,2
1313504400,"8245.777777777777","26.552955222222224",murlo,1,udp,9,"147.32.84.165",74212,Botnet,8,2,2
1313504460,12962,"31.32308436363637",murlo,1,udp,11,"147.32.84.165",142582,Botnet,11,2,2
1313504520,13882,"33.3856294",murlo,1,udp,5,"147.32.84.165",69410,Botnet,5,2,2
1313504580,9539,"30.282913833333335",murlo,1,udp,6,"147.32.84.165",57234,Botnet,6,2,2
1313504640,"6454.666666666667","15.993584777777777",murlo,1,udp,9,"147.32.84.165",58092,Botnet,8,3,3
1313504700,1076,"61.284267",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313504760,1076,"61.281811",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313504820,"91.82352941176471","1.8024094411764704",murlo,1,tcp,34,"147.32.84.165",3122,Botnet,34,2,1
1313504880,"90.97142857142858","1.75136",murlo,1,tcp,35,"147.32.84.165",3184,Botnet,35,2,1
1313504940,"99.55555555555556","2.269379925925926",murlo,1,tcp,27,"147.32.84.165",2688,Botnet,27,2,1
1313505000,62,0,murlo,1,tcp,40,"147.32.84.165",2480,Botnet,40,1,1
1313505060,"94.70967741935483","1.9773806774193547",murlo,1,tcp,31,"147.32.84.165",2936,Botnet,31,2,1
1313505120,1076,"61.29718",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505180,1076,"61.297966",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505240,1076,"61.300186",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505300,1076,"61.280621",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505360,1076,"61.283119",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505420,1076,"61.299274",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505480,1076,"61.296429",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505540,"775.3333333333334","21.751099",murlo,1,tcp,3,"147.32.84.165",2326,Botnet,3,3,2
1313505600,1076,"61.283253",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505660,1076,"61.28326",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505720,1076,"61.301361",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505780,1076,"61.296749",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505840,1076,"61.282825",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505900,1076,"61.28389",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313505960,1076,"61.304176",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506020,1076,"61.296967",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506080,1076,"61.298943",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506140,1076,"61.282963",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506200,1076,"61.283089",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506260,1076,"61.298492",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506320,1076,"61.28289",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506380,1076,"61.282745",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506440,1076,"61.283581",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506500,1076,"61.288525",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506560,1076,"61.300766",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506620,1076,"61.298523",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506680,1076,"61.284218",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506740,1076,"61.281425",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506800,1076,"61.299122",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506860,1076,"61.29261",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506920,1076,"61.284161",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313506980,1076,"61.296017",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507040,1076,"61.283512",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507100,1076,"61.298264",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507160,"115.36842105263158","3.2254072631578947",murlo,1,tcp,19,"147.32.84.165",2192,Botnet,19,2,1
1313507220,"89.4054054054054","1.6567407567567567",murlo,1,tcp,37,"147.32.84.165",3308,Botnet,37,2,1
1313507280,"95.8","2.0428344666666667",murlo,1,tcp,30,"147.32.84.165",2874,Botnet,30,2,1
1313507340,"94.70967741935483","1.9773948387096774",murlo,1,tcp,31,"147.32.84.165",2936,Botnet,31,2,1
1313507400,"81.88235294117646","1.2019762549019608",murlo,1,tcp,51,"147.32.84.165",4176,Botnet,51,2,1
1313507460,1076,"61.297031",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507520,1076,"61.282379",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507580,"703.5","30.651763000000003",murlo,1,tcp,2,"147.32.84.165",1407,Botnet,2,2,2
1313507640,1076,"61.294067",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507760,1076,"61.282078",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507820,1076,"61.298431",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507880,1076,"61.298084",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313507940,1076,"61.304752",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508000,1076,"61.291451",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508060,1076,"61.2985",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508120,1076,"61.282791",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508180,1076,"61.284431",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508240,1076,"61.282684",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508300,1076,"61.282711",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508360,1076,"61.282738",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508420,1076,"61.284115",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508480,1076,"61.281376",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508540,1076,"61.298885",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508600,1076,"61.301796",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508660,1076,"61.293446",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508720,1076,"61.282059",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508780,1076,"61.281769",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508840,1076,"61.298454",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508900,1076,"61.301899",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313508960,1076,"61.296185",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509020,734,"20.645183333333332",murlo,1,tcp,3,"147.32.84.165",2202,Botnet,3,3,2
1313509080,1076,"61.282314",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509140,"822.6666666666666","23.658261",murlo,1,tcp,3,"147.32.84.165",2468,Botnet,3,3,2
1313509200,1076,"61.280827",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509260,1076,"61.315102",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509320,1076,"61.307629",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509380,1076,"61.29892",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509440,1076,"61.293064",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509500,1076,"61.298004",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509560,"91.82352941176471","1.8700576176470587",murlo,1,tcp,34,"147.32.84.165",3122,Botnet,34,2,1
1313509620,"90.97142857142858","1.7514232",murlo,1,tcp,35,"147.32.84.165",3184,Botnet,35,2,1
1313509680,62,0,murlo,1,tcp,26,"147.32.84.165",1612,Botnet,26,1,1
1313509740,"86.73170731707317","1.4954298048780488",murlo,1,tcp,41,"147.32.84.165",3556,Botnet,41,2,1
1313509800,"95.8","2.042751566666667",murlo,1,tcp,30,"147.32.84.165",2874,Botnet,30,2,1
1313509860,1076,"61.273293",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313509920,"703.5","30.6414865",murlo,1,tcp,2,"147.32.84.165",1407,Botnet,2,2,2
1313509980,1076,"61.298122",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510040,1076,"61.298443",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510100,1076,"61.298069",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510160,1076,"61.299633",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510220,1076,"61.299042",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510280,1076,"61.282444",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510340,1076,"61.283386",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510400,1076,"61.28326",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510460,1076,"61.281986",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510520,1076,"61.282997",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510580,1076,"61.293251",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510640,1076,"61.298252",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510700,1076,"61.282913",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510760,1076,"61.298176",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510820,1076,"61.283253",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510880,1076,"61.30064",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313510940,1016,"61.283501",murlo,1,tcp,1,"147.32.84.165",1016,Botnet,1,1,1
1313511000,1076,"61.317436",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511060,1076,"61.282906",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511120,1076,"61.285843",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511180,1076,"61.280853",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511240,1076,"61.298004",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511300,1076,"61.283203",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511360,1076,"61.299099",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511420,1076,"61.297485",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511480,1076,"61.283089",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511540,1076,"61.298759",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511600,1138,"63.973454",murlo,1,tcp,1,"147.32.84.165",1138,Botnet,1,1,1
1313511660,1076,"61.30769",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511720,1076,"61.283062",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511780,1076,"61.297543",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511840,1076,"61.298668",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313511900,"118.33333333333333","3.4046512222222223",murlo,1,tcp,18,"147.32.84.165",2130,Botnet,18,2,1
1313511960,62,0,murlo,1,tcp,36,"147.32.84.165",2232,Botnet,36,1,1
1313512020,"95.8","2.0428447666666667",murlo,1,tcp,30,"147.32.84.165",2874,Botnet,30,2,1
1313512080,"94.70967741935483","1.9768612903225806",murlo,1,tcp,31,"147.32.84.165",2936,Botnet,31,2,1
1313512140,"81.88235294117646","1.2016572352941177",murlo,1,tcp,51,"147.32.84.165",4176,Botnet,51,2,1
1313512200,1076,"61.282028",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512260,1076,"61.283058",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512320,"703.5","30.649293999999998",murlo,1,tcp,2,"147.32.84.165",1407,Botnet,2,2,2
1313512380,1076,"61.283489",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512440,1076,"61.282032",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512500,1076,"61.283142",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512560,1076,"61.282749",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512620,1076,"61.299416",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512680,1076,"61.298965",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512740,"911.3333333333334","22.394880333333333",murlo,1,tcp,3,"147.32.84.165",2734,Botnet,3,3,2
1313512800,1076,"61.282642",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512860,1076,"61.299637",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512920,1076,"61.296562",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313512980,1076,"61.298603",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513040,1076,"61.282295",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513100,1076,"61.274208",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513160,1076,"61.296711",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513220,1076,"61.299644",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513280,1076,"61.308521",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513340,1076,"61.298801",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513400,1076,"61.296974",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513460,1076,"61.298237",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513520,1076,"61.282547",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513580,1076,"61.283405",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513640,1076,"61.298229",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513700,1076,"61.284218",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513760,1076,"61.283283",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513820,1076,"61.282734",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513880,1076,"61.297302",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313513940,1076,"61.298428",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514000,1076,"61.298355",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514060,1076,"61.283775",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514120,1076,"61.281059",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514180,1076,"61.273384",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514240,1076,"61.298996",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514300,"86.73170731707317","1.495171512195122",murlo,1,tcp,41,"147.32.84.165",3556,Botnet,41,2,1
1313514360,62,0,murlo,1,tcp,31,"147.32.84.165",1922,Botnet,31,1,1
1313514420,"95.8","2.0432902",murlo,1,tcp,30,"147.32.84.165",2874,Botnet,30,2,1
1313514480,"86.73170731707317","1.4947132926829267",murlo,1,tcp,41,"147.32.84.165",3556,Botnet,41,2,1
1313514540,"106.08695652173913","2.664700695652174",murlo,1,tcp,23,"147.32.84.165",2440,Botnet,23,2,1
1313514600,1076,"61.299133",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514660,"703.5","30.640919500000003",murlo,1,tcp,2,"147.32.84.165",1407,Botnet,2,2,2
1313514720,1136,"64.596245",murlo,1,tcp,1,"147.32.84.165",1136,Botnet,1,1,1
1313514780,1076,"73.573532",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313514840,186,"8.972217",murlo,1,tcp,1,"147.32.84.165",186,Botnet,1,1,1
1313514900,227,"5.1963285",murlo,1,tcp,2,"147.32.84.165",454,Botnet,2,2,2
1313515020,1076,"61.994228",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313515080,186,"8.952486",murlo,1,tcp,1,"147.32.84.165",186,Botnet,1,1,1
1313515140,1076,"65.185272",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313515200,1138,"64.967834",murlo,1,tcp,1,"147.32.84.165",1138,Botnet,1,1,1
1313515260,1211,"82.915909",murlo,1,tcp,1,"147.32.84.165",1211,Botnet,1,1,1
1313515320,1076,"64.23494",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313515380,1271,"70.803741",murlo,1,tcp,1,"147.32.84.165",1271,Botnet,1,1,1
1313515440,649,"10.385168",murlo,1,tcp,1,"147.32.84.165",649,Botnet,1,1,1
1313516340,"704.5","1.713248",murlo,1,tcp,2,"147.32.84.165",1409,Botnet,2,2,2
1313516640,62,0,murlo,1,tcp,17,"147.32.84.165",1054,Botnet,17,1,1
1313516700,62,0,murlo,1,tcp,37,"147.32.84.165",2294,Botnet,37,1,1
1313516760,62,0,murlo,1,tcp,29,"147.32.84.165",1798,Botnet,29,1,1
1313516820,62,0,murlo,1,tcp,30,"147.32.84.165",1860,Botnet,30,1,1
1313516880,62,0,murlo,1,tcp,50,"147.32.84.165",3100,Botnet,50,1,1
1313517060,"328.5","0.00031150000000000004",murlo,1,udp,2,"147.32.84.165",657,Botnet,1,1,1
1313519040,"63.41463414634146","0.010465268292682926",murlo,1,tcp,41,"147.32.84.165",2600,Botnet,41,2,1
1313519100,"93.6875","1.91394734375",murlo,1,tcp,32,"147.32.84.165",2998,Botnet,32,2,1
1313519160,"93.6875","1.91486753125",murlo,1,tcp,32,"147.32.84.165",2998,Botnet,32,2,1
1313519220,62,0,murlo,1,tcp,40,"147.32.84.165",2480,Botnet,40,1,1
1313519280,"110.28571428571429","2.925495857142857",murlo,1,tcp,21,"147.32.84.165",2316,Botnet,21,2,1
1313519340,1593,"61.813023",murlo,1,tcp,1,"147.32.84.165",1593,Botnet,1,1,1
1313519400,"703.5","30.886117",murlo,1,tcp,2,"147.32.84.165",1407,Botnet,2,2,2
1313519460,1211,"64.755257",murlo,1,tcp,1,"147.32.84.165",1211,Botnet,1,1,1
1313519520,1211,"64.800819",murlo,1,tcp,1,"147.32.84.165",1211,Botnet,1,1,1
1313519580,1076,"61.823494",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519640,1076,"61.850075",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519700,1076,"61.81562",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519760,1076,"61.613354",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519820,1076,"61.281994",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519880,1076,"61.253761",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313519940,"828.3333333333334","21.470647666666665",murlo,1,tcp,3,"147.32.84.165",2485,Botnet,3,3,2
1313520000,1076,"61.287647",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520060,1076,"61.279202",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520120,1076,"61.26759",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520180,1076,"61.265598",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520240,1076,"61.261784",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520300,1076,"61.217567",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520360,1076,"61.272366",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520420,1076,"61.250149",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520480,1076,"61.238602",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
1313520540,1076,"61.242802",murlo,1,tcp,1,"147.32.84.165",1076,Botnet,1,1,1
