PRIORITY,NOTE NUMBER,NOTE DESCRIPTION,RELEASE DATE
4,3347991,[CVE-2025-26655] Missing Authorization check in SAP JIT(Outbound),25.02.2025
4,3576540,Open Source Security Advisory: Best Practices for Securing Spring Boot Actuator Endpoints for applications running on BTP,11.03.2025
4,3562415,[CVE-2024-38819] Multiple vulnerabilities in Spring Framework within SAP Commerce Cloud and SAP Datahub,11.03.2025
3,3549494,[CVE-2025-23185] Information Disclosure in SAP Business Objects Business Intelligence Platform,11.03.2025
3,3557459,[CVE-2025-0062] Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),11.03.2025
3,3557469,[CVE-2025-25245] Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),11.03.2025
2,3566851,[CVE-2024-38286] Multiple vulnerabilities in Apache Tomcat within SAP Commerce Cloud,11.03.2025
3,3474392,[CVE-2025-26656] Missing Authorization check in S/4HANA (Manage Purchasing Info Records),11.03.2025
3,3565835,[CVE-2025-27433] Broken Access Control vulnerabilities in SAP S/4HANA (Manage Bank Statements),11.03.2025
4,3561861,[CVE-2025-27430] Server Side Request Forgery (SSRF) in SAP CRM and SAP S/4 HANA (Interaction Center),11.03.2025
3,3567246,[CVE-2025-27431] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server Java,11.03.2025
2,3569602,[CVE-2025-27434] Cross-Site Scripting (XSS) vulnerability in SAP Commerce (Swagger UI),11.03.2025
3,3557655,[CVE-2025-26660] Broken Access Control in  SAP Fiori apps (Posting Library),11.03.2025
3,3552824,[CVE-2025-26659] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server ABAP (applications based on SAP GUI for HTML),11.03.2025
3,3562390,[CVE-2025-25242] Cross-Site Scripting (XSS) in SAP NetWeaver Application Server ABAP,11.03.2025
2,3563927,[CVE-2025-26661] Missing Authorization check in SAP NetWeaver (ABAP Class Builder),11.03.2025
3,3557131,[CVE-2025-23188] Missing Authorization check in SAP S/4HANA (RBD),11.03.2025
4,3568865,[CVE-2025-27432] Missing Authorization check in SAP Electronic Invoicing for Brazil (eDocument Cockpit),11.03.2025
3,3552144,[CVE-2025-25244] Missing Authorization Check in SAP Business Warehouse (Process Chains),11.03.2025
3,3561045,[CVE-2025-26658] Broken Authentication in SAP Business One (Service Layer),11.03.2025
3,3558132,[CVE-2025-0071] Information Disclosure vulnerability in SAP Web Dispatcher and Internet Communication Manager,11.03.2025
2,3567974,[CVE-2025-24876] Authentication bypass via authorization code injection in SAP Approuter,11.03.2025
2,3590984,[CVE-2024-56337] Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in Apache Tomcat within SAP Commerce Cloud,08.04.2025
2,3525794,[CVE-2025-0064] Improper Authorization in SAP BusinessObjects Business Intelligence platform,08.04.2025
3,3571093,[CVE-2025-30013] Code Injection vulnerability in SAP ERP BW Business Content,08.04.2025
3,3525971,[CVE-2025-31333] Odata meta-data tampering in SAP S4CORE entity,08.04.2025
3,3565751,[CVE-2025-31332] Insecure File permissions vulnerability in SAP BusinessObjects Business Intelligence Platform,08.04.2025
1,3572688,[CVE-2025-30016] Authentication Bypass Vulnerability in SAP Financial Consolidation,08.04.2025
2,3554667,[CVE-2025-23186] Mixed Dynamic RFC Destination vulnerability through Remote Function Call (RFC) in SAP NetWeaver Application Server ABAP,08.04.2025
3,3558864,[CVE-2025-30017] Missing Authorization check in SAP Solution Manager,08.04.2025
3,3559307,[CVE-2025-26653] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server ABAP (applications based on SAP GUI for HTML),08.04.2025
3,3565944,[CVE-2025-30015] Memory Corruption vulnerability in SAP NetWeaver and ABAP Platform (Application Server ABAP),08.04.2025
3,3543274,[CVE-2025-26654] Potential information disclosure vulnerability in SAP Commerce Cloud (Public Cloud),08.04.2025
3,3568307,[CVE-2025-26657] Information Disclosure vulnerability in SAP KMC WPC,08.04.2025
2,2927164,[CVE-2025-30014] Directory Traversal vulnerability in SAP Capital Yield Tax Management,08.04.2025
3,3568778,[CVE-2025-27437] Missing Authorization check in SAP NetWeaver Application Server ABAP (Virus Scan Interface),08.04.2025
3,3539465,[CVE-2025-27435] Information Disclosure Vulnerability in SAP Commerce Cloud,08.04.2025
1,3587115,[CVE-2025-31330] Code Injection Vulnerability in SAP Landscape Transformation (Analysis Platform),22.04.2025
3,3446649,[CVE-2025-31328] Cross-Site Request Forgery (CSRF) vulnerability in SAP S/4 HANA (Learning Solution),22.04.2025
3,3359825,[CVE-2025-31327] OData meta-data property entity tampering in SAP Field Logistics,22.04.2025
1,3594142,3594142 - [CVE-2025-31324] Missing Authorization check in SAP NetWeaver (Visual Composer development server),13.05.2025
2,3483344,[CVE-2024-39592] Missing Authorization check in SAP PDCE,13.05.2025
1,3604119,[CVE-2025-42999] Insecure Deserialization in SAP NetWeaver (Visual Composer development server),13.05.2025
2,3591978,[CVE-2025-43011] Missing Authorization Check in SAP Landscape Transformation (PCL Basis),13.05.2025
3,3588455,[CVE-2025-43006] Cross-Site Scripting (XSS) vulnerability in SAP Supplier Relationship Management (Master Data Management Catalog),13.05.2025
3,3558755,[CVE-2025-26662] Cross-Site Scripting (XSS) vulnerability in the SAP Data Services Management Console,13.05.2025
2,3600859,[CVE-2025-43010] Code injection vulnerability in SAP S/4HANA Cloud Private Edition or On Premise(SCM Master Data Layer (MDL)),13.05.2025
3,3574520,[CVE-2025-43005] Information Disclosure vulnerability in SAP GUI for Windows,13.05.2025
3,3571096,[CVE-2025-43004] Security Misconfiguration Vulnerability in SAP Digital Manufacturing (Production Operator Dashboard),13.05.2025
3,3596033,[CVE-2025-43003] Information Disclosure vulnerability in SAP S/4HANA (Private Cloud & On-Premise),13.05.2025
3,2719724,[CVE-2025-43007] Missing Authorization check in SAP Service Parts Management (SPM),13.05.2025
3,2491817,[CVE-2025-43009] Missing Authorization check in SAP Service Parts Management (SPM),13.05.2025
3,3227940,[CVE-2025-43002] Missing Authorization check in SAP S4/HANA (OData meta-data property),13.05.2025
3,3577287,[CVE-2025-31329] Information Disclosure vulnerability in SAP NetWeaver Application Server ABAP and  ABAP Platform,13.05.2025
2,3586013,[CVE-2025-43000] Information Disclosure Vulnerability in SAP Business Objects Business Intelligence Platform (PMW),13.05.2025
2,3474398,[CVE-2025-0061] Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform,27.05.2025
3,3441087,[CVE-2025-42984] Missing Authorization check in SAP S/4HANA (Manage Central Purchase Contract application),14.10.2025
3,3594258,[CVE-2025-42998] Security misconfiguration vulnerability in SAP Business One Integration Framework,10.06.2025
3,3590887,[CVE-2025-31325] Cross-Site Scripting (XSS) Vulnerability in SAP NetWeaver (ABAP Keyword Documentation),10.06.2025
2,3610006,[CVE-2025-42994] Multiple vulnerabilities in SAP MDM Server,10.06.2025
2,3609271,[CVE-2025-42982] Information Disclosure in SAP GRC (AC Plugin),10.06.2025
3,3608058,[CVE-2025-42991] Missing Authorization check in SAP S/4HANA (Bank Account Application),10.06.2025
2,3606484,[CVE-2025-42983] Missing Authorization check in SAP Business Warehouse and SAP Plug-In Basis,10.06.2025
4,3601169,[CVE-2025-42990] HTML Injection in Unprotected SAPUI5 applications,10.06.2025
1,3600840,[CVE-2025-42989] Missing Authorization check in SAP NetWeaver Application Server for ABAP,10.06.2025
3,3596850,[CVE-2025-42987] Missing Authorization Check in SAP S/4HANA (Manage Processing Rules - For Bank Statement),10.06.2025
4,3585545,[CVE-2025-42988] Server-Side Request Forgery in SAP Business Objects Business Intelligence Platform,10.06.2025
2,3560693,[CVE-2025-23192] Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence (BI Workspace),10.06.2025
1,3618955,[CVE-2025-42967] Code Injection vulnerability in SAP S/4HANA and SAP SCM (Characteristic Propagation),08.07.2025
3,3577300,[CVE-2025-42997] Information Disclosure vulnerability in SAP Gateway Client,08.07.2025
1,3578900,[CVE-2025-30012] Multiple vulnerabilities in SAP Supplier Relationship Management (Live Auction Cockpit),08.07.2025
2,3565279,[CVE-2024-53677] Insecure File Operations vulnerability in SAP Business Objects Business Intelligence Platform (CMC),08.07.2025
3,3610056,[CVE-2025-42974] Missing Authorization Check in SAP NetWeaver and ABAP Platform (SDCCN),08.07.2025
3,3598118,[CVE-2025-42965] Server Side Request Forgery(SSRF) vulnerability in SAP BusinessObjects BI Platform Central Management Console Promotion Management Application.,08.07.2025
3,3573199,[CVE-2025-31326] HTML Injection vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),08.07.2025
3,3607513,[CVE-2025-42979] Insecure Key & Secret Management vulnerability in SAP GUI for Windows,08.07.2025
2,3623255,[CVE-2025-42952] Missing Authorization check in SAP Business Warehouse and SAP Plug-In Basis,08.07.2025
3,3608991,[CVE-2025-42960] Missing Authorization Check in SAP Business Warehouse and SAP BW/4HANA BEx Tools,08.07.2025
3,3626440,[CVE-2025-42986] Missing Authorization check in SAP NetWeaver and ABAP Platform,08.07.2025
3,3606103,[CVE-2025-42973] Cross-Site Scripting (XSS) vulnerability in SAP Data Services (DQ Report),08.07.2025
3,3604212,[CVE-2025-42962] Cross-Site Scripting (XSS) vulnerability in SAP Business Warehouse (Business Explorer Web 3.5 loading animation),08.07.2025
2,3600846,[CVE-2025-42959] Missing Authentication check after implementation of SAP Security Note 3007182 and 3537476,08.07.2025
1,3621236,[CVE-2025-42964] Insecure Deserialization in SAP NetWeaver Enterprise Portal Administration,08.07.2025
3,3595156,[CVE-2025-42970] Directory Traversal vulnerability in SAPCAR,08.07.2025
3,3595141,[CVE-2025-42971] Memory Corruption vulnerability in SAPCAR,08.07.2025
2,3623440,[CVE-2025-42953] Missing Authorization check in SAP NetWeaver Application Server for ABAP,08.07.2025
4,3608156,[CVE-2025-42954] Denial of service (DOS) in SAP NetWeaver Business Warehouse (CCAW application).,08.07.2025
3,3617380,[CVE-2025-42985] Open Redirect vulnerability in SAP BusinessObjects Content Administrator workbench,08.07.2025
1,3620498,[CVE-2025-42980] Insecure Deserialization in SAP NetWeaver Enterprise Portal Federated Portal Network,08.07.2025
3,3595143,[CVE-2025-43001] Multiple Privilege Escalation Vulnerabilities in SAPCAR,08.07.2025
2,3610591,[CVE-2025-42977] Directory Traversal vulnerability in SAP NetWeaver Visual Composer,08.07.2025
3,3580384,[CVE-2025-42993] Missing Authorization Check in SAP S/4HANA (Enterprise Event Enablement),08.07.2025
1,3621771,[CVE-2025-42963] Insecure Deserialization in SAP NetWeaver Application Server for Java (Log Viewer ),08.07.2025
3,3621037,[CVE-2025-42968] Missing Authorization check in SAP NetWeaver (RFC enabled function module),08.07.2025
3,3540688,[CVE-2025-42947] Code Injection vulnerability in SAP FICA ODN framework,22.07.2025
3,3585992,[CVE-2025-43008] Missing Authorization check in SAP S/4HANA HCM Portugal and SAP ERP HCM Portugal,22.07.2025
4,3557179,[CVE-2025-42978] Insufficiently Secure Hostname Verification for Outbound TLS Connections in SAP NetWeaver Application Server Java,23.07.2025
3,3596987,[CVE-2025-42969] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server ABAP and ABAP Platform,23.07.2025
1,3610892,[CVE-2025-42966] Insecure Deserialization vulnerability in SAP NetWeaver (XML Data Archiving Service),22.07.2025
3,3617131,[CVE-2025-42981] Multiple vulnerabilities in SAP NetWeaver Application Server ABAP,22.07.2025
3,3626722,[CVE-2025-42949] Missing Authorization check in ABAP Platform,12.08.2025
3,3585491,[CVE-2025-42945] HTML Injection vulnerability in SAP NetWeaver Application Server ABAP,12.08.2025
3,3616863,[CVE-2025-42934] CRLF Injection vulnerability in SAP S/4HANA (Supplier invoice),12.08.2025
3,3629871,[CVE-2025-42948] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver ABAP Platform,12.08.2025
3,3627845,[CVE-2025-42943] Information Disclosure in SAP GUI for Windows,12.08.2025
1,3633838,[CVE-2025-42950] Code Injection Vulnerability in SAP Landscape Transformation (Analysis Platform),12.08.2025
4,3611345,[CVE-2025-42955] Missing authorization check in SAP Cloud Connector,12.08.2025
1,3627998,[CVE-2025-42957] Code Injection vulnerability in SAP S/4HANA (Private Cloud or On-Premise),12.08.2025
3,3602656,[CVE-2025-42936] Missing Authorization check in SAP NetWeaver Application Server for ABAP,12.08.2025
3,3601480,[CVE-2025-42935] Information Disclosure vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform(Internet Communication Manager),12.08.2025
3,3597355,[CVE-2025-42942] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server for ABAP,28.10.2025
2,3625403,[CVE-2025-42951] Broken Authorization in SAP Business One (SLD),12.08.2025
2,3611184,[CVE-2025-42976] Multiple vulnerabilities in SAP NetWeaver Application Server ABAP (BIC Document),12.08.2025
1,3581961,[CVE-2025-27429] Code Injection Vulnerability in SAP S/4HANA (Private Cloud or On-Premise),12.08.2025
3,3614804,[CVE-2025-42946] Directory Traversal vulnerability in SAP S/4HANA (Bank Communication Management),12.08.2025
3,3561792,[CVE-2025-23194] Missing Authentication check in SAP NetWeaver Enterprise Portal (OBN component),12.08.2025
4,3632154,[CVE-2024-13009] Potential Improper Resource Release vulnerability in SAP Commerce Cloud,09.09.2025
3,3620264,[CVE-2025-22228] Security Misconfiguration vulnerability in Spring security within SAP Commerce Cloud and SAP Datahub,09.09.2025
4,3525295,[CVE-2025-42927] Information Disclosure due to Outdated OpenSSL Version in SAP NetWeaver AS Java (Adobe Document Service),09.09.2025
2,3635475,[CVE-2025-42916] Missing input validation vulnerability in SAP S/4HANA (Private Cloud or On-Premise),09.09.2025
3,3627644,[CVE-2025-42911] Missing Authorization check in SAP NetWeaver (Service Data Download),28.10.2025
3,3614067,[CVE-2025-42930] Denial of Service (DoS) vulnerability in SAP Business Planning and Consolidation,09.09.2025
2,3642961,[CVE-2025-42933] Insecure Storage of Sensitive Information in SAP Business One (SLD),09.09.2025
3,3619465,[CVE-2025-42926] Missing Authentication check in SAP NetWeaver Application Server Java,09.09.2025
3,3450692,[CVE-2025-42923] Cross-Site Request Forgery (CSRF) vulnerability in SAP Fiori App (F4044 Manage Work Center Groups),09.09.2025
3,3629325,[CVE-2025-42938] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver ABAP Platform,09.09.2025
3,3611420,[CVE-2023-5072] Denial of Service (DoS) vulnerability due to outdated JSON library used in SAP BusinessObjects Business Intelligence Platform,09.09.2025
3,3610322,[CVE-2025-42961] Missing Authorization check in SAP NetWeaver Application Server for ABAP,09.09.2025
2,3581811,[CVE-2025-27428] Directory Traversal vulnerability in SAP NetWeaver and ABAP Platform (Service Data Collection),09.09.2025
3,3647098,[CVE-2025-42920] Cross-Site Scripting (XSS) vulnerability in SAP Supplier Relationship Management,09.09.2025
1,3643865,[CVE-2025-42922] Insecure File Operations vulnerability in SAP NetWeaver AS Java (Deploy Web Service),09.09.2025
3,3640477,[CVE-2025-42925] Predictable Object Identifier vulnerability in SAP NetWeaver AS Java (IIOP Service),09.09.2025
2,3633002,[CVE-2025-42929] Missing input validation vulnerability in SAP Landscape Transformation Replication Server,09.09.2025
1,3627373,[CVE-2025-42958] Missing Authentication check in SAP NetWeaver,09.09.2025
4,3624943,[CVE-2025-42941] Reverse Tabnabbing vulnerability in SAP Fiori (Launchpad),09.09.2025
3,3643832,[CVE-2025-42917] Missing Authorization check in SAP HCM (Approve Timesheets Fiori 2.0 application),23.09.2025
3,3635587,[CVE-2025-42912] Missing Authorization check in SAP HCM (My Timesheet Fiori 2.0 application),23.09.2025
3,3409013,[CVE-2025-42915] Missing Authorization Check in Fiori app (Manage Payment Blocks),23.09.2025
3,3623504,[CVE-2025-42918] Missing Authorization check in SAP NetWeaver Application Server for ABAP (Background Processing),23.09.2025
1,3302162,[CVE-2023-27500] Directory Traversal vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform,23.09.2025
3,3540622,[CVE-2025-42907] Server-Side Request Forgery in SAP BI Platform,23.09.2025
1,3634501,[CVE-2025-42944] Insecure Deserialization vulnerability in SAP Netweaver (RMI-P4),14.10.2025
1,3647332,[CVE-2025-42910] Unrestricted File Upload Vulnerability in SAP Supplier Relationship Management,28.10.2025
4,3617142,[CVE-2025-31672] Deserialization Vulnerability in SAP BusinessObjects (Web Intelligence and Platform Search),28.10.2025
3,3656781,[CVE-2025-42903] User Enumeration and Sensitive Data Exposure via RFC Function in SAP Financial Service Claims Management,14.10.2025
4,3643871,[CVE-2025-42909] Security Misconfiguration vulnerability in SAP Cloud Appliance Library Appliances,14.10.2025
1,3630595,[CVE-2025-42937] Directory Traversal vulnerability in SAP Print Service,14.10.2025
3,3627308,[CVE-2025-42902] Memory Corruption vulnerability in SAP Netweaver AS ABAP and ABAP Platform,14.10.2025
3,3625683,[CVE-2025-42939] Missing Authorization Check in SAP S/4HANA (Manage Processing Rules - For Bank Statements),14.10.2025
2,3664466,[CVE-2025-5115] Denial of service (DOS) in SAP Commerce Cloud (Search and Navigation),28.10.2025
1,3660659,[CVE-2025-42944] Security Hardening for Insecure Deserialization in SAP NetWeaver AS Java,14.10.2025
2,3658838,[CVE-2025-48913]Security Misconfiguration vulnerability in SAP Data Hub Integration Suite,14.10.2025
3,3652788,[CVE-2025-42901] Code Injection vulnerability in SAP Application Server for ABAP (BAPI Browser),14.10.2025
3,3577131,[CVE-2025-31331] Authorization Bypass vulnerability in SAP NetWeaver,14.10.2025
3,3503138,[CVE-2025-0059] Information Disclosure vulnerability in SAP NetWeaver Application Server ABAP (applications based on SAP GUI for HTML),14.10.2025
3,3642021,[CVE-2025-42908] Cross-Site Request Forgery (CSRF) vulnerability in SAP NetWeaver Application Server for ABAP,14.10.2025
3,3634724,[CVE-2025-42906] Directory Traversal vulnerability in SAP Commerce Cloud,14.10.2025
1,3666261,[CVE-2025-42890] Insecure key & Secret Management vulnerability in SQL Anywhere Monitor (Non-Gui),11.11.2025
2,3633049,[CVE-2025-42940] Memory Corruption vulnerability in SAP CommonCryptoLib,11.11.2025
3,3651097,[CVE-2025-42888] Information Disclosure vulnerability in SAP GUI for Windows,11.11.2025
3,3643603,[CVE-2025-42919] Information Disclosure vulnerability in SAP NetWeaver Application Server Java,11.11.2025
3,3639264,[CVE-2025-42885] Missing authentication in SAP HANA 2.0 (hdbrss),11.11.2025
3,3642398,[CVE-2025-42924] Open Redirect vulnerabilities in SAP S/4HANA landscape (SAP E-Recruiting BSP),11.11.2025
3,3660969,[CVE-2025-42884] JNDI Injection vulnerability in SAP NetWeaver Enterprise Portal,11.11.2025
3,3643385,[CVE-2025-42895 ] Code Injection vulnerability in SAP HANA JDBC Client,11.11.2025
3,3662000,[CVE-2025-42893] Open Redirect vulnerability in SAP Business Connector,11.11.2025
3,3665900,[CVE-2025-42892] OS Command Injection vulnerability in SAP Business Connector,11.11.2025
4,3634053,[CVE-2025-42883] Insecure File Operations vulnerability in SAP NetWeaver Application Server for ABAP (Migration Workbench),11.11.2025
3,2886616,[CVE-2025-42889] SQL Injection vulnerability in SAP Starter Solution (PL SAFT),11.11.2025
3,3652901,[CVE-2025-42897] Information Disclosure vulnerability in SAP Business One (SLD),11.11.2025
3,3643337,[CVE-2025-42882] Missing Authorization check in SAP NetWeaver Application Server for ABAP,11.11.2025
3,3530544,[CVE-2025-42899] Missing Authorization check in SAP S4CORE (Manage Journal Entries),11.11.2025
1,3668705,[CVE-2025-42887] Code Injection vulnerability in SAP Solution Manager,11.11.2025
3,3666038,[CVE-2025-42894] Path Traversal vulnerability in SAP Business Connector,11.11.2025
3,3665907,[CVE-2025-42886] Reflected Cross-Site Scripting (XSS) vulnerability in SAP Business Connector,11.11.2025
4,3426825,[CVE-2025-23191] Cache Poisoning through header manipulation vulnerability in SAP Fiori for SAP ERP,11.11.2025
