lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek
"17161.668185646893","179974.69848101976",03,30,Friday
"26110.99911707206","181454.03421626127",03,30,Monday
"24255.593969695125","179786.0820079585",03,30,Saturday
"16325.315450560593","188213.3734383283",03,30,Sunday
"21123.407287318463","189798.0593793482",03,30,Thursday
"7211.952739045213","178827.72503873258",03,30,Tuesday
"19346.895672251456","175827.76358700782",03,30,Wednesday
"14035.388741976465","185737.80014691243",03,45,Friday
"21173.24720675533","180911.25558654076",03,45,Monday
"18691.746720724812","181058.9643903863",03,45,Saturday
"23663.13638174915","172884.26026629555",03,45,Sunday
"15322.083362601188","180420.26478554698",03,45,Thursday
"20993.424229517273","175569.98688159382",03,45,Tuesday
"17947.43548493569","185518.74970024952",03,45,Wednesday
"16588.37441273706","178717.3922539296",04,00,Friday
"17917.89684997205","175409.29203891684",04,00,Monday
"21242.08361712421","187794.98304954247",04,00,Saturday
"19605.28870739216","184297.1864307294",04,00,Sunday
"17095.282317700592","181560.6362008179",04,00,Thursday
"12440.581015189833","183071.50787369907",04,00,Tuesday
"18102.823791390707","178998.45028268336",04,00,Wednesday
"10375.03555256447","177034.45333632443",04,15,Friday
"12568.601874220592","186160.14257022386",04,15,Monday
"17725.784807098637","175983.20408179023",04,15,Saturday
"19360.464967151333","175786.0461439598",04,15,Sunday
"23836.85505021042","180705.98198682663",04,15,Thursday
"25056.029615951833","186580.41482849262",04,15,Tuesday
"22468.985709279106","179963.56984627646",04,15,Wednesday
"17045.123644105566","177583.37635589443",04,30,Friday
"18257.36610771432","185943.3894478412",04,30,Monday
"20316.25732919335","177684.1871152511",04,30,Saturday
"20370.748749342296","174705.29569510213",04,30,Sunday
"16359.941134678127","182981.94034680334",04,30,Thursday
"15074.65665407665","182553.8877903678",04,30,Tuesday
"20736.877140783254","185397.0784147723",04,30,Wednesday
"7504.658457832134","176189.61931994563",04,45,Friday
"20419.272759051237","182490.71612983764",04,45,Monday
"19310.977984709418","178911.35534862394",04,45,Saturday
"22559.89528552073","180368.2380478126",04,45,Sunday
"16435.660146019713","178777.62133546176",04,45,Thursday
"17001.81510611651","184858.04044943902",04,45,Tuesday
"14223.183244650194","190856.55008868314",04,45,Wednesday
"14673.405773685663","180209.31644853656",05,00,Friday
"18708.536622301515","176203.51893325406",05,00,Monday
"17184.035426516406","181185.5999325996",05,00,Saturday
"24910.341941718216","182072.13583605955",05,00,Sunday
"23219.22177424596","171082.11155908738",05,00,Thursday
"18533.573678176064","177179.3152107128",05,00,Tuesday
"18443.784032708703","179408.4085598839",05,00,Wednesday
"18386.80231518639","188812.3754625914",05,15,Friday
"18026.976365489536","187872.33474562157",05,15,Monday
"21734.44952798357","184397.65103067562",05,15,Saturday
"18818.919630403543","181441.15858188696",05,15,Sunday
"21813.62975392773","179722.28876459078",05,15,Thursday
"13283.529742414918","183936.3924798073",05,15,Tuesday
"25562.396627751223","178736.37374261912",05,15,Wednesday
"15447.823982148402","182427.92046229605",05,30,Friday
"16445.945108753105","175217.04378013578",05,30,Monday
"25536.620424424545","180847.25735335326",05,30,Saturday
"15573.200834847565","182805.09750769386",05,30,Sunday
"21381.782360919184","182844.33615759935",05,30,Thursday
"16490.307378971498","181066.84817658406",05,30,Tuesday
"14523.681352340427","181839.77790691884",05,30,Wednesday
"22447.544806517806","177546.04408237108",05,45,Friday
"17032.979812503196","178491.46463194123",05,45,Monday
"24378.272293201502","186269.9165956874",05,45,Saturday
"19314.404437137928","182383.18445175095",05,45,Sunday
"19359.066545306487","181850.39271395275",05,45,Thursday
"13800.66030967435","181324.77302365896",05,45,Tuesday
"14763.267652509501","183088.1101252683",05,45,Wednesday
"11320.50336092437","183616.91886129786",06,00,Friday
"11662.680114573348","178326.83099653776",06,00,Monday
"23760.82311843292","185567.7768815671",06,00,Saturday
"15654.511617990036","181244.85504867663",06,00,Sunday
"13551.815811800654","184082.5397437549",06,00,Thursday
"25476.080770688495","182660.8525626448",06,00,Tuesday
"17373.45558798476","182927.84070831153",06,00,Wednesday
"18354.34884791584","184640.8511520842",06,15,Friday
"13356.944974554848","175917.58835877848",06,15,Monday
"17779.290747831765","185909.53798144998",06,15,Saturday
"25450.464925251872","182118.89063030368",06,15,Sunday
"20255.878111682207","177047.27003646595",06,15,Thursday
"16979.092487822665","173342.674178844",06,15,Tuesday
"18708.121106933235","180559.501115289",06,15,Wednesday
"15288.38905903879","180501.5109409612",06,30,Friday
"22613.65023787701","179904.449762123",06,30,Monday
"13434.733021729175","180433.94854251662",06,30,Saturday
"16680.960204954943","182804.69535060064",06,30,Sunday
"16097.110873393365","191030.7557932733",06,30,Thursday
"18499.198504333894","182954.9570512217",06,30,Tuesday
"26207.840904780896","173129.54428040428",06,30,Wednesday
"18669.023764354948","187961.83179120062",06,45,Friday
"21375.043073441833","184472.7791487804",06,45,Monday
"18884.572669923728","174428.70510785404",06,45,Saturday
"11572.092467419294","181275.7186436918",06,45,Sunday
"19719.83124552433","181481.4798655868",06,45,Thursday
0,"2621549.754125355",06,45,Tuesday
"21992.594061579017","168368.82816064323",06,45,Wednesday
"18980.704889264613","187585.35066629096",07,00,Friday
"19187.87154469668","175161.0062330811",07,00,Monday
"14098.60474543189","177579.26192123478",07,00,Saturday
"14203.326274204112","183978.96261468477",07,00,Sunday
"20548.71050093921","180386.51172128302",07,00,Thursday
0,"886391.4937155411",07,00,Tuesday
"22240.38205043292","185154.21054215968",07,00,Wednesday
"24571.47999096007","185024.70889792882",07,15,Friday
"17743.696912372747","188086.50308762726",07,15,Monday
"19457.54284095054","179548.01271460502",07,15,Saturday
"11003.46700198621","179248.5218869027",07,15,Sunday
"14396.360666340057","186463.7800744007",07,15,Thursday
0,"283932.9813692022",07,15,Tuesday
"16545.989209423293","187034.69227205816",07,15,Wednesday
0,"185758.93118887607",07,30,Friday
0,"1399549.5596264354",07,30,Monday
"17429.72147802761","183152.53266561878",07,30,Saturday
"20459.757772964032","181722.0411097175",07,30,Sunday
"18471.141462409505","179793.93261166458",07,30,Thursday
0,"181541.66928164707",07,30,Tuesday
"16915.92288126165","171939.4104520717",07,30,Wednesday
0,"184027.6874394277",07,45,Friday
0,"188054.03799180262",07,45,Monday
"16890.026355824855","184983.76135367237",07,45,Saturday
"15047.764118333944","178595.37400321302",07,45,Sunday
"20884.694390012126","183444.95746183972",07,45,Thursday
0,"180175.34439395746",07,45,Tuesday
"24318.521437043717","182194.52300740074",07,45,Wednesday
0,"180978.95188420016",08,00,Friday
0,"183965.25145779346",08,00,Monday
"18963.271938194986","178388.86139513834",08,00,Saturday
"23245.02063352024","185288.54361228982",08,00,Sunday
"21657.860811789258","187053.3836326552",08,00,Thursday
0,"221018.87869347568",08,00,Tuesday
"21191.992522097673","182876.85192234674",08,00,Wednesday
0,"190220.61446744727",08,15,Friday
0,"1596355.9718695646",08,15,Monday
"19585.354157434544","178004.44584256544",08,15,Saturday
"20627.80995207309","185404.401159038",08,15,Sunday
0,"189962.86700651183",08,15,Thursday
0,"1085767.5363829378",08,15,Tuesday
"21967.73874211451","182160.25385047807",08,15,Wednesday
0,"184164.9013348",08,30,Friday
0,"177638.8552211303",08,30,Monday
"19245.13025870493","182864.43640796177",08,30,Saturday
"20637.709930706013","178013.54562484953",08,30,Sunday
0,"215311.97771845481",08,30,Thursday
0,"697717.2988875931",08,30,Tuesday
"19366.514390583005","183482.71523904664",08,30,Wednesday
0,"184012.87473092513",08,45,Friday
"12009.62360459377","180748.33384221475",08,45,Monday
"9102.230359949113","180100.31408449533",08,45,Saturday
"30392.425454777258","179023.3412118894",08,45,Sunday
0,"550186.4259880345",08,45,Thursday
0,"390405.007602452",08,45,Tuesday
0,"105100.80550286826",08,45,Wednesday
0,"189497.14066872685",09,00,Friday
"10510.687176668114","183931.18379107382",09,00,Monday
"20351.592186817157","190048.74114651617",09,00,Saturday
"14432.493156519937","186204.2290657023",09,00,Sunday
"26423.618328002034","179533.54463496094",09,00,Thursday
0,"286899.1303405883",09,00,Tuesday
"11816.274946456848","184280.77690539503",09,00,Wednesday
0,"193744.95000859827",09,15,Friday
0,"625545.7447831488",09,15,Monday
"12088.211718472652","182301.56605930513",09,15,Saturday
"20821.461635739557","179425.74947537156",09,15,Sunday
"12285.992464046416","182410.33720628323",09,15,Thursday
0,"473423.0943599691",09,15,Tuesday
"12405.047794135127","178046.83498974767",09,15,Wednesday
0,"220169.71585166632",09,30,Friday
"11024.332345327057","180725.6141787371",09,30,Monday
"14294.015264262998","184144.34737309965",09,30,Saturday
"14628.102951818888","186333.83038151445",09,30,Sunday
"26089.40231169152","188461.66435497516",09,30,Thursday
0,"346165.2870598835",09,30,Tuesday
"12567.238437511056","177470.40389825538",09,30,Wednesday
0,"670993.5469696238",09,45,Friday
"4706.169949487463","179461.1917526402",09,45,Monday
0,"193410.79661388573",09,45,Saturday
"15838.900409223308","178777.14403522114",09,45,Sunday
"15145.417457991454","182581.20754200855",09,45,Thursday
0,"271301.89406071877",09,45,Tuesday
"17187.056405652038","184894.09377749817",09,45,Wednesday
0,"189201.09980816313",10,00,Friday
"4345.083305742228","186164.1693258367",10,00,Monday
"20916.229520482244","178408.03714618442",10,00,Saturday
"12900.881308311975","186518.54091391026",10,00,Sunday
"19631.88249031057","181213.05084302276",10,00,Thursday
0,"216975.52895127638",10,00,Tuesday
"10654.93076076948","182525.1779348827",10,00,Wednesday
0,"144182.605454914",10,15,Friday
"23813.808444973954","181330.7519945865",10,15,Monday
0,"180959.46251876233",10,15,Saturday
"32012.76190289168","184946.94759431502",10,15,Sunday
0,"136977146.73565662",10,15,Thursday
0,"257650.86932251073",10,15,Tuesday
0,"190112.0731715958",10,15,Wednesday
0,"190365.50057470263",10,30,Friday
0,"194593.7370006452",10,30,Monday
0,"170158.36918980812",10,30,Saturday
"23772.178702350342","173550.20803798112",10,30,Sunday
0,"96436872.56312805",10,30,Thursday
0,"14467215.086011019",10,30,Tuesday
0,"189778.94766160124",10,30,Wednesday
0,"193511.05614633404",10,45,Friday
0,"754555.8896208648",10,45,Monday
0,"234738.4159809322",10,45,Saturday
0,"195087.02778128523",10,45,Sunday
"14464.294576203916","181452.51424732548",10,45,Thursday
0,"294727.1698288836",10,45,Tuesday
0,"187624.67614417523",10,45,Wednesday
0,"169623.99000613505",11,00,Friday
0,"1394488.9527737098",11,00,Monday
0,"160475.49134505683",11,00,Saturday
0,"218890.616445199",11,00,Sunday
"18739.545245885703","182031.92882818836",11,00,Thursday
0,"184120.43225877127",11,00,Tuesday
"2812.2170708200865","179868.23682988912",11,00,Wednesday
0,"192252.72312725597",11,15,Friday
0,"1205423.7138391444",11,15,Monday
0,"659878.4976717493",11,15,Saturday
0,"231629.59198553028",11,15,Sunday
0,"199729.46656733818",11,15,Thursday
0,"975963.0003662468",11,15,Tuesday
"8196.137666166935","179155.76268970495",11,15,Wednesday
0,"192265.27141354175",11,30,Friday
0,"742619.8080434436",11,30,Monday
0,"349612.1985791017",11,30,Saturday
0,"283063.091900135",11,30,Sunday
0,"179405.73381506768",11,30,Thursday
0,"479173.9467967213",11,30,Tuesday
"7685.046291984778","184674.03674050618",11,30,Wednesday
0,"186648.7658451384",11,45,Friday
0,"950902.5925209714",11,45,Monday
0,"857525.6924390973",11,45,Saturday
0,"3385361.0346328677",11,45,Sunday
0,"189745.7677037025",11,45,Thursday
0,"442631.2760874378",11,45,Tuesday
0,"180517.84843080543",11,45,Wednesday
0,"184024.98846303608",12,00,Friday
0,"182856.37951851627",12,00,Monday
0,"1221931.1959864083",12,00,Saturday
0,"1405835.3190314842",12,00,Sunday
0,"176247.70628842016",12,00,Thursday
0,"387983.62778892356",12,00,Tuesday
"7211.046450144291","182277.60618143465",12,00,Wednesday
0,"33437215.031454436",12,15,Friday
0,"187729.13391500813",12,15,Monday
0,"381491.92028964346",12,15,Saturday
0,"230964.23590471625",12,15,Sunday
0,"186831.5466414353",12,15,Thursday
0,"1062402.1424892207",12,15,Tuesday
"4580.133997017736","183217.00095107913",12,15,Wednesday
0,"193635.3615927457",12,30,Friday
0,"259281.46201921385",12,30,Monday
0,"188549.8956774915",12,30,Saturday
0,"1275729.8031760384",12,30,Sunday
0,"321521.31341641635",12,30,Thursday
0,"352961.0609279406",12,30,Tuesday
"6087.168280249156","187396.29136887367",12,30,Wednesday
0,"195855.11163129885",12,45,Friday
0,"196554.0924264316",12,45,Monday
0,"174087.86956173374",12,45,Saturday
0,"174641.90320348612",12,45,Sunday
0,"250891.79750419868",12,45,Thursday
0,"336346.32924372156",12,45,Tuesday
"6643.24273892073","187765.7895191438",12,45,Wednesday
0,"165102.30408686784",13,00,Friday
0,"220196.55006219028",13,00,Monday
0,"383533.6927251344",13,00,Saturday
0,"160065.4275697897",13,00,Sunday
0,"616747.2254564393",13,00,Thursday
0,"185683.5279403439",13,00,Tuesday
0,"180976.47924922727",13,00,Wednesday
0,"190105.85690394224",13,15,Friday
0,"183905.16409420792",13,15,Monday
0,"227081.43716588285",13,15,Saturday
0,"2582465.5979090068",13,15,Sunday
0,"185425.80478761625",13,15,Thursday
0,"1273315.9789491848",13,15,Tuesday
0,"181760.06270464315",13,15,Wednesday
0,"190056.2706272601",13,30,Friday
0,"185372.057948202",13,30,Monday
0,"705097.3737002239",13,30,Saturday
0,"144054.1385822345",13,30,Sunday
0,"211441.75511739583",13,30,Thursday
0,"150119.47405447904",13,30,Tuesday
"21195.34681220133","184473.91054073983",13,30,Wednesday
0,"195416.41839565572",13,45,Friday
0,"163683.41542334977",13,45,Monday
0,"1207478.6206629267",13,45,Saturday
0,"119736.86173017975",13,45,Sunday
"3188.206718311223","185044.80373465043",13,45,Thursday
"8076.215651958497","182092.58861850412",13,45,Tuesday
"12604.861077301684","179519.7262832931",13,45,Wednesday
0,"183039.75780979398",14,00,Friday
0,"98146404.0523482",14,00,Monday
"13712.645982099566","181753.87860806438",14,00,Saturday
0,"171673.68611742352",14,00,Sunday
0,"189166.86973233407",14,00,Thursday
0,"209476.61942078837",14,00,Tuesday
"12907.233521353031","189706.52293621155",14,00,Wednesday
0,"191932.29843784997",14,15,Friday
0,"268028.34224810236",14,15,Monday
"1280.1613510252937","185905.28656564135",14,15,Saturday
0,"186139.75549291805",14,15,Sunday
0,"185241.14145176706",14,15,Thursday
"11500.350312591923","187573.03214354842",14,15,Tuesday
0,"806254.9750441912",14,15,Wednesday
0,"187927.57113190694",14,30,Friday
0,"182483.25443972932",14,30,Monday
"1155.5799926009204","190588.24653801133",14,30,Saturday
0,"953687.0685719555",14,30,Sunday
0,"192312.5640621762",14,30,Thursday
0,"642166.2044188363",14,30,Tuesday
"13446.846949342158","181006.7940762989",14,30,Wednesday
0,"163367.86038203546",14,45,Friday
"3316.9227529689815","181986.75433036435",14,45,Monday
0,"186532.3101864038",14,45,Saturday
0,"153523.8095541422",14,45,Sunday
0,"191525.18193095032",14,45,Thursday
0,"171674.13304777286",14,45,Tuesday
"15764.188930324788","180724.36254026345",14,45,Wednesday
0,"122673.47050363712",15,00,Friday
0,"186432.85528588505",15,00,Monday
0,"113608.46442013267",15,00,Saturday
0,"182804.84801982236",15,00,Sunday
"1107.115447423741","186546.91927479848",15,00,Thursday
0,"194269.8436517246",15,00,Tuesday
0,"185130.02070989652",15,00,Wednesday
0,"240051.9922153384",15,15,Friday
0,"188184.93507653585",15,15,Monday
"20658.131423124796","176727.36308236973",15,15,Saturday
0,"156804.29569920848",15,15,Sunday
"2819.3573677131644","182554.7964784407",15,15,Thursday
0,"97693.05952160375",15,15,Tuesday
"10349.494406238067","183463.2537419101",15,15,Wednesday
0,"198061.86545884027",15,30,Friday
0,"188184.30591311716",15,30,Monday
"19914.501319727744","191834.4600062391",15,30,Saturday
0,"237260.59905317688",15,30,Sunday
0,"486849.6900741262",15,30,Thursday
0,"109047.30040763493",15,30,Tuesday
0,"202309.79286008363",15,30,Wednesday
0,"184362.4935918178",15,45,Friday
0,"2547419.3858232736",15,45,Monday
"16434.794229937514","175753.72799228472",15,45,Saturday
0,"142077.75601419268",15,45,Sunday
"6447.688996557496","187305.3949195264",15,45,Thursday
0,"123858.1710782141",15,45,Tuesday
0,"166479.98212887047",15,45,Wednesday
0,"170304.05948395806",16,00,Friday
0,"189754.70799384225",16,00,Monday
"21102.689081240183","179584.86647431538",16,00,Saturday
0,"238186.8043255048",16,00,Sunday
0,"67402.44966754802",16,00,Thursday
"14688.956092001448","185489.91755420796",16,00,Tuesday
0,"797907.9189574257",16,00,Wednesday
0,"184773.71571572014",16,15,Friday
0,"185795.84278969752",16,15,Monday
"17304.893780077895","176834.55066436654",16,15,Saturday
0,"147324.64943791792",16,15,Sunday
0,"69137.16129678943",16,15,Thursday
"17919.193344185085","183082.275746724",16,15,Tuesday
0,"789840.7638677345",16,15,Wednesday
0,"1657319.304359819",16,30,Friday
0,"187676.50258783164",16,30,Monday
"19856.193888618203","178976.55749259726",16,30,Saturday
0,"132338.42497766",16,30,Sunday
0,"188053.29845422937",16,30,Thursday
0,"197754.6179151305",16,30,Tuesday
0,"244792.35175505583",16,30,Wednesday
0,"4507164.481035566",16,45,Friday
0,"196776.96510478389",16,45,Monday
"12852.327091353392","181448.71735309105",16,45,Saturday
"4126.353860715273","184827.30767774628",16,45,Sunday
0,"183973.341230808",16,45,Thursday
"3225.457954481608","192679.16922321875",16,45,Tuesday
0,"935213.8101175637",16,45,Wednesday
0,"184528.8272352027",17,00,Friday
0,"186560.834292546",17,00,Monday
"23189.510982414577","183826.02235091873",17,00,Saturday
0,"800745.6823904904",17,00,Sunday
0,"186122.7590026899",17,00,Thursday
"3849.9368041272683","188207.4271534699",17,00,Tuesday
0,"227795.17121298471",17,00,Wednesday
"2495.028549988565","188895.67914231913",17,15,Friday
"2210.578120742488","191322.56324051405",17,15,Monday
"12797.410738749692","185174.62259458363",17,15,Saturday
0,"193526.2259631959",17,15,Sunday
0,"188326.51450262725",17,15,Thursday
"11282.655123636912","186950.35578545398",17,15,Tuesday
0,"156182.66873849242",17,15,Wednesday
0,"194409.6788328619",17,30,Friday
0,"192180.4928796476",17,30,Monday
"19406.857770931165","175343.34112409648",17,30,Saturday
0,"186976.41974991362",17,30,Sunday
0,"191898.2973833926",17,30,Thursday
0,"187750.33231914137",17,30,Tuesday
0,"295279.07127569703",17,30,Wednesday
0,"184510.0309828553",17,45,Friday
0,"1555472.3947719755",17,45,Monday
"17594.91842418519","192250.92602025924",17,45,Saturday
0,"194634.88612026846",17,45,Sunday
0,"190245.6207527807",17,45,Thursday
"10724.713077345994","185714.98692265403",17,45,Tuesday
"22330.858772859006","182749.93976193952",17,45,Wednesday
0,"184927.30173875834",18,00,Friday
0,"338372.2815139433",18,00,Monday
"21936.843078813385","184835.89025451994",18,00,Saturday
"3512.149455658873","188856.31615280674",18,00,Sunday
0,"127413.77891441532",18,00,Thursday
"18999.40697688132","191022.54211402778",18,00,Tuesday
0,"164416.06739904295",18,00,Wednesday
0,"185362.94716723321",18,15,Friday
0,"440174.3212118727",18,15,Monday
0,"1598925.0243519444",18,15,Saturday
0,"57693225.79295095",18,15,Sunday
0,"131281.11238889516",18,15,Thursday
0,"123985.48688262237",18,15,Tuesday
0,"268072.47889418865",18,15,Wednesday
0,"205821.36896138557",18,30,Friday
0,"123886.8653654329",18,30,Monday
"9745.33106976538","181468.77942747218",18,30,Saturday
0,"573154997.5636835",18,30,Sunday
0,"1378109.7081198883",18,30,Thursday
0,"89789.78832666058",18,30,Tuesday
0,"452419.6682249516",18,30,Wednesday
0,"184628.4215447103",18,45,Friday
0,"173078.8532050486",18,45,Monday
"16927.81373670287","180460.90848551935",18,45,Saturday
0,"193005.56613059517",18,45,Sunday
0,"154009.53750151786",18,45,Thursday
"16834.64517399136","189230.56650484077",18,45,Tuesday
0,"192612.1284288189",18,45,Wednesday
0,"189684.58539119692",19,00,Friday
0,"174793.83097365717",19,00,Monday
"17611.9659834006","182439.3229054883",19,00,Saturday
0,"175570.94599850144",19,00,Sunday
0,"184495.17178472766",19,00,Thursday
0,"4427858.706994299",19,00,Tuesday
"20621.394338670536","182666.8987016225",19,00,Wednesday
0,"187003.24325007285",19,15,Friday
0,"177147.17365143262",19,15,Monday
"21330.27054101313","182306.00723676465",19,15,Saturday
0,"180864.4314801998",19,15,Sunday
0,"181848.30292749364",19,15,Thursday
0,"24745128.203371212",19,15,Tuesday
"21517.212379047953","180642.20026035723",19,15,Wednesday
0,"127013.34009773619",19,30,Friday
0,"185770.6543362821",19,30,Monday
"11754.757123329313","180301.62961700215",19,30,Saturday
0,"900980.8729159231",19,30,Sunday
0,"181586.67911886575",19,30,Thursday
0,"698279.65487264",19,30,Tuesday
"23396.036227283723","183709.25384905218",19,30,Wednesday
0,"191679.93539748876",19,45,Friday
0,"191611.48246277933",19,45,Monday
"12014.904107407288","181349.50700370382",19,45,Saturday
0,"577780.7414740709",19,45,Sunday
0,"121008.68223557586",19,45,Thursday
0,"399470.8662583028",19,45,Tuesday
0,"193945.0486400375",19,45,Wednesday
0,"164214.66218308505",20,00,Friday
"4431.797358570751","185746.7207761443",20,00,Monday
"17649.83821929338","179394.07289181772",20,00,Saturday
0,"212927.90147069623",20,00,Sunday
0,"91661.37161535573",20,00,Thursday
"108.69162249383226","188258.55327546532",20,00,Tuesday
"26224.648228083315","174878.20362376852",20,00,Wednesday
"4172.959271928776","184743.50464559702",20,15,Friday
0,"189138.42162319965",20,15,Monday
"23381.04256025773","178458.39077307557",20,15,Saturday
0,"175093.66274316874",20,15,Sunday
0,"184273.49757993026",20,15,Thursday
0,"315419.82625550067",20,15,Tuesday
"11008.967739322063","185282.50518486567",20,15,Wednesday
0,"184779.3352561651",20,30,Friday
0,"185928.61902095572",20,30,Monday
"22902.64787586518","180083.62836722872",20,30,Saturday
0,"172373.95565463768",20,30,Sunday
0,"189353.01190445153",20,30,Thursday
0,"224137.13344250992",20,30,Tuesday
"17318.75763966712","181415.08680477733",20,30,Wednesday
0,"181700.1065024128",20,45,Friday
0,"153925.42312574422",20,45,Monday
"23067.330120150713","171890.94765762705",20,45,Saturday
0,"166574.38405126607",20,45,Sunday
0,"182329.99112738267",20,45,Thursday
0,"318575.8279661523",20,45,Tuesday
"18106.474944078684","184133.86329121544",20,45,Wednesday
0,"136087.13054065494",21,00,Friday
0,"1244414.1848140783",21,00,Monday
"14123.095677800578","184430.10432219942",21,00,Saturday
0,"191170.4662176498",21,00,Sunday
0,"185310.2020080074",21,00,Thursday
0,"780429.1428182913",21,00,Tuesday
"19779.438982419728","182908.53138795064",21,00,Wednesday
0,"169050.88847314945",21,15,Friday
0,"520693.59129557916",21,15,Monday
"19244.290881593115","175792.95356285135",21,15,Saturday
"982.8424402268865","188760.84342364746",21,15,Sunday
0,"181213.53979780304",21,15,Thursday
0,"180390.2405508802",21,15,Tuesday
