Country,Place,Start date,End date,Level,url,update,Confirmed
Guernsey,,2020-03-25,,National,https://www.bbc.co.uk/news/live/world-europe-guernsey-51999470?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e7a5199276ca90663acc23d%26%27Strict%27%20lockdown%20measures%20from%20midnight%262020-03-24T19%3A00%3A54.329Z&ns_fee=0&pinned_post_locator=urn:asset:b2bb241b-8081-4dda-906a-73efd8e36889&pinned_post_asset_id=5e7a5199276ca90663acc23d&pinned_post_type=share,2020-03-24,False
China,Enshi,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Shiyan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Luxembourg,,2020-03-18,,National,https://www.15min.lt/naujiena/aktualu/lietuva/vyriausybeje-susauktas-pasitarimas-del-koronaviruso-skelbs-tolimesniu-veiksmu-plana-56-1289458,2020-03-24,False
China,Ezhou,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xiantao,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Yichang,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xianning,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Huanggang,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Suizhou,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xiaogan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Qatar,Doha Industrial Area,2020-03-11,,Industrial park,https://www.theportugalnews.com/news/state-of-emergency-explained/53448,2020-03-25,False
Philippines,Luzon,2020-03-15,2020-04-30,Island group,https://www.rappler.com/nation/255097-davao-region-coronavirus-lockdown-begins,2020-03-25,False
Oman,Muscat,2020-04-10,2020-05-08,Governorate,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter,2020-03-25,False
Indonesia,Tegal,2020-03-26,2020-07-31,City,https://jateng.suara.com/read/2020/03/26/142841/pertama-di-indonesia-walikota-umumkan-tegal-lockdown,2020-03-26,False
Philippines,Cebu,2020-03-27,2020-05-15,Province,https://gestion.pe/peru/politica/coronavirus-en-peru-gobierno-anuncia-cuarentena-obligatorio-por-15-dias-por-coronavirus-noticia/,2020-03-27,False
Finland,Uusimaa,2020-03-27,2020-04-16,Region,https://yle.fi/uutiset/osasto/news/finland_shuts_down_uusimaa_to_fight_coronavirus/11276242,2020-03-27,False
Saudi Arabia,Mecca,2020-03-26,,City,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Saudi Arabia,Riyadh,2020-03-26,,City,https://www.aljazeera.com/news/2020/03/saudi-locks-qatif-coronavirus-surges-gulf-200308142809697.html,2020-03-30,False
Algeria,Blida,2020-03-23,2020-04-19,City,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-30,False
Saudi Arabia,Medina,2020-03-26,,City,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Liberia,Montserrado,2020-03-23,2020-04-11,County,https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/,2020-03-30,False
Algeria,Algiers,2020-03-23,2020-04-19,City,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-30,False
Saudi Arabia,Qatif,2020-03-09,,Area,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Ghana,Kumasi,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Madagascar,Toamasina,2020-03-23,,City,https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323,2020-03-30,False
Philippines,Davao Region,2020-03-19,2020-04-30,Region,https://www.cnnphilippines.com/regional/2020/3/26/Cebu-Province-enhanced-community-quarantine.html,2020-03-31,False
Israel,Bnei Brak,2020-04-02,,City,https://www.timesofisrael.com/liveblog-april-2-2020/,2020-04-02,False
Republic of the Congo,,2020-03-31,2020-04-20,National,https://www.msn.com/en-xl/news/other/covid-19-lagos-brazzaville-lockdown-begins/ar-BB11ZAhn,2020-04-03,False
Senegal,,2020-03-30,,National,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-04-04,False
United States,Oregon,2020-03-23,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Mexico,,2020-03-21,2020-04-30,National,https://mx.usembassy.gov/covid-19-information/,2020-04-04,False
Eritrea,,2020-04-02,2020-04-23,National,http://www.xinhuanet.com/english/2020-04/02/c_138941459.htm,2020-04-04,False
Albania,,2020-03-13,,National,https://www.reuters.com/article/us-health-coronavirus-albania/albania-extends-lockdown-till-end-of-coronavirus-outbreak-idUSKBN21J6AZ/,2020-04-04,False
Japan,Tokyo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Osaka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Kanagawa,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Saitama,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Hyōgo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Oman,Jalan Bani Bu Ali,2020-04-16,,Province,https://www.omanobserver.om/lockdown/,2020-04-08,False
Japan,Chiba,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Fukuoka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Madagascar,Antananarivo,2020-03-23,,City,https://www.themayor.eu/en/shops-and-restaurants-in-luxembourg-city-wont-pay-rent-during-lockdown,2020-04-10,False
Honduras,Central District,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,Choluteca,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,Rest of area,2020-03-20,2020-04-26,National,https://covid19honduras.org/?q=toque-de-queda-absoluto-para-todo-el-pais,2020-04-10,False
Honduras,La Ceiba,2020-03-16,,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,San Pedro Sula,2020-03-17,,Municipality,https://covid19honduras.org/?q=honduras-tiene-9-casos-confirmados-de-coronavirus,2020-04-10,False
Turkey,Turkey(second implementation),2020-04-23,2020-04-27,National,https://www.yahoo.com/news/turkey-imposes-48-hour-coronavirus-120902289.html,2020-04-13,False
Czech Republic,,2020-03-16,2020-04-17,National,https://www.politico.eu/article/czech-republic-eases-lockdown-restrictions/,2020-04-14,True
Austria,,2020-03-16,2020-04-14,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Norway,,2020-03-12,2020-04-27,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Fiji,Suva,2020-03-20,2020-04-17,National,https://www.fijivillage.com/news/Suva-lockdown-to-be-lifted-at-5am-tomorrow-while-schools-remain-closed-until-the-15th-of-June-x8f54r/,2020-04-17,True
Indonesia,,2020-04-15,,National,https://www.bloomberg.com/news/articles/2020-04-15/indonesia-set-to-bring-34-million-people-under-partial-lockdown,2020-04-17,False
United States,California,2020-03-19,,State,https://www.theguardian.com/world/2020/mar/23/boris-johnson-orders-uk-lockdown-to-be-enforced-by-police,2020-04-19,False
Slovakia,,2020-03-16,,National,http://www.uvzsr.sk/index.php?option=com_content&view=article&id=4099:opatrenie-uvz-sr-ktorym-sa-s-uinnosou-od-16-032020-uzatvaraju-vetky-maloobchodne-prevadzky-a-vetky-prevadzky-poskytujuce-sluby-okrem-prevadzok-uvedenych-v-opatreni-a-nariadeni-izolacie-skupin-osob&catid=250:koronavirus-2019-ncov&Itemid=153,2020-04-20,False
Ghana,,2020-03-30,2020-04-20,National,https://www.aa.com.tr/en/africa/ghana-lifts-partial-coronavirus-lockdown/1811306,2020-04-20,True
Iran,,2020-03-24,,National,https://www.rferl.org/a/covid-19-iran-tehran-reopen-afghanistan-russia-azerbaijan/30562733.html,2020-04-20,False
Italy,,2020-03-09,2020-05-04,National,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain,2020-04-20,True
Denmark,,2020-03-13,2020-05-10,National,https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain,2020-04-20,True
Madagascar,,2020-03-23,2020-04-20,National,https://medicalxpress.com/news/2020-04-lockdown-madagascar-cities-ease.html,2020-04-20,True
Belarus,Minsk,2020-04-07,,City,https://www.washingtonpost.com/politics/2020/04/21/belarus-government-is-largely-ignoring-pandemic-heres-why/,2020-04-21,False
Indonesia,Jakarta,2020-04-10,2020-05-22,Province,,2020-04-23,False
China,Wuhan,2020-01-23,2020-04-08,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-04-23,True
Trinidad and Tobago,,2020-03-17,2020-04-31,National,https://www.nationnews.com/nationnews/news/244418/trinidad-lockdown,2020-04-23,False
China,Qianjiang,2020-01-24,2020-03-13,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-04-23,True
Jordan,,2020-03-18,,National,,2020-04-23,False
Saudi Arabia,Jeddah,2020-03-29,,City,,2020-04-23,False
Jamaica,Saint Catherine,2020-04-15,2020-04-22,Parish,https://jis.gov.jm/st-catherine-covid-19-lockdown/,2020-04-23,False
Cuba,,2020-03-23,,National,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_7b694d17a78f2c02d7c76570e1726508,2020-04-23,False
Brazil,Santa Catarina,2020-03-17,,City,https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml,2020-04-24,False
Brazil,São Paulo,2020-03-17,,City,https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml,2020-04-24,False
Paraguay,,2020-03-20,,National,https://www.nytimes.com/reuters/2020/04/24/world/americas/24reuters-health-coronavirus-paraguay.html,2020-04-27,False
New Zealand,,2020-03-26,2020-05-21,National,https://www.outlookindia.com/outlooktraveller/travelnews/story/70274/new-zealand-bars-reopen-after-two-months-of-lockdown,2020-04-27,True
Iraq,,2020-03-24,,National,https://uk.reuters.com/article/uk-health-coronavirus-iraq-curfew/iraq-eases-some-lockdown-restrictions-ahead-of-ramadan-idUKKCN2231QX,2020-04-27,False
Slovenia,,2020-03-14,,National,http://www.sloveniatimes.com/restrictions-remain-no-inter-municipal-movement-during-holidays,2020-04-27,False
Switzerland,,2020-03-17,2020-05-11,National,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-78818.html,2020-04-27,True
Barbados,,2020-03-28,2020-05-04,National,https://gisbarbados.gov.bb/blog/barbados-lockdown-exit-strategy-phase-3/,2020-05-03,True
United States,Washington,2020-03-25,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Iowa,2020-03-25,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Hungary,,2020-03-28,2020-05-04,National,https://www.kormany.hu/en/the-prime-minister/news/we-won-first-battle-against-virus,2020-05-03,True
United States,Kentucky,2020-03-23,2020-05-20,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Germany,,2020-03-17,2020-04-30,National,https://www.theguardian.com/world/live/2020/apr/30/coronavirus-live-news-more-cases-of-covid-linked-syndrome-in-children-as-uk-deaths-top-spain-and-france,2020-05-03,True
United States,North Dakota,2020-03-30,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Botswana,,2020-04-02,2020-05-07,National,https://www.dispatchlive.co.za/news/africa/2020-04-29-botswana-extends-virus-lockdown/,2020-05-03,True
United States,Tennessee,2020-04-02,2020-04-29,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Rhode Island,2020-03-30,2020-05-09,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Florida,2020-04-03,2020-05-04,State,https://www.huschblackwell.com/florida-state-by-state-covid-19-guidance,2020-05-03,True
United States,New Jersey,2020-03-21,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
Bermuda,,2020-04-04,2020-05-02,National,https://buzz-caribbean.com/news/bermuda-announces-phased-withdrawal-from-covid-lockdown-schools-airport-remain-closed/,2020-05-03,True
United States,Oregan,2020-03-24,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Texas,2020-04-02,2020-04-30,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Virginia,2020-03-24,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Vermont,2020-03-25,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Idaho,2020-03-25,2020-05-16,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Colorado,2020-03-26,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Poland,,2020-03-13,2020-05-04,National,https://notesfrompoland.com/2020/04/29/poland-reopens-shopping-centres-preschools-and-cultural-institutions-in-unfreezing-of-lockdown/,2020-05-03,True
Portugal,,2020-03-19,2020-05-04,National,https://uk.reuters.com/article/uk-health-coronavirus-portugal/portugal-relaxes-coronavirus-lockdown-with-sector-by-sector-plan-idUKKBN22C37I,2020-05-03,True
United States,Arkansas,2020-03-19,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Republic of the Congo,Pupublic of the Congo,2020-03-31,2020-05-16,City,https://www.africanews.com/2020/05/02/congo-republic-extends-coronavirus-lockdown//,2020-05-03,True
United States,Arizona,2020-03-31,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Missouri,2020-04-03,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Alaska,2020-03-28,2020-04-30,State,https://www.wsj.com/articles/a-state-by-state-guide-to-coronavirus-lockdowns-11584749351,2020-05-03,True
United States,Alabama,2020-03-18,2020-04-30,State,https://www.wsj.com/articles/a-state-by-state-guide-to-coronavirus-lockdowns-11584749351,2020-05-03,True
South Africa,,2020-03-26,2020-05-01,National,https://www.aljazeera.com/news/2020/05/eat-south-africa-eases-coronavirus-lockdown-200501072927207.html,2020-05-03,True
United States,New Hampshire,2020-03-27,2020-05-11,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Oklahoma,2020-04-01,,State,https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,2020-05-03,False
Thailand,,2020-03-25,2020-05-03,National,https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-begins-easing-lockdown-measures,2020-05-03,True
Tunisia,,2020-03-22,2020-05-04,National,https://www.garda.com/crisis24/news-alerts/337711/tunisia-lockdown-measures-to-ease-from-may-4-update-8,2020-05-03,True
United States,Ohio,2020-03-23,2020-05-12,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Maine,2020-04-02,2020-06-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Kansas,2020-03-30,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Indiana,2020-03-24,2020-05-04,State,https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,2020-05-03,True
United States,Maryland,2020-03-30,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Georgia,2020-04-03,2020-04-24,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Mississippi,2020-04-03,2020-04-27,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Montana,2020-03-28,2020-04-27,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Russia,Moscow,2020-03-30,2020-05-11,City,https://www.ft.com/content/4152c8b6-6e71-4801-928c-9c353cd2b8e8,2020-05-03,False
United States,Wisconsin,2020-03-25,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,West Virginia,2020-03-24,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Rwanda,,2020-03-21,2020-05-04,National,https://www.theeastafrican.co.ke/news/ea/Rwanda-partially-lifts-coronavirus-lockdown/4552908-5539612-yxgy7b/index.html,2020-05-03,True
United States,Utah,2020-03-26,2020-05-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Monaco,,2020-03-14,2020-05-04,National,https://lagazettedemonaco.com/en/fin-du-confinement-strict-le-4-mai/,2020-05-03,True
Greece,,2020-03-23,2020-06-01,National,https://www.theguardian.com/world/live/2020/may/10/coronavirus-live-news-obama-trumps-covid-19--chaotic-as-global-cases-pass-4-million-mexico-russia-germany-south-korea-deaths-,2020-05-10,True
Oman,Muskat,2020-04-10,2020-05-24,Region,https://www.argusmedia.com/en/news/2102855-oman-extends-muscat-lockdown-until-29-may,2020-05-10,False
Russia,,2020-03-30,2020-05-31,National,https://www.sobyanin.ru/koronavirus-resheniya-07-05-2020,2020-05-10,True
Pakistan,,2020-03-24,2020-05-10,National,https://gandhara.rferl.org/a/pakistan-to-lift-virus-lockdown-on-may-10-despite-spike-in-cases/30599418.html,2020-05-10,True
Turkey,,2020-04-11,2020-05-11,National,https://www.independent.co.uk/news/world/europe/turkey-coronavirus-lockdown-elderly-age-cases-social-distancing-a9498676.html,2020-05-10,True
United Arab Emirates,,2020-03-22,2020-04-24,National,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#dubai-went-into-a-two-week-lockdown-on-april-4-while-the-rest-of-the-united-arab-emirates-have-been-under-an-overnight-curfew-since-march-26-10,2020-05-10,True
United States,South Carolina,2020-04-07,2020-05-04,State,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,2020-05-10,True
Ireland,,2020-03-27,2020-05-18,National,https://www.theguardian.com/world/2020/may/02/ireland-extends-covid-19-lockdown-to-18-may-before-phased-exit,2020-05-10,True
United States,North Carolina,2020-03-30,2020-05-08,State,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,2020-05-10,True
United States,Pennsylvania,2020-04-01,2020-05-08,State,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html,2020-05-10,True
Sri Lanka,,2020-03-20,2020-05-10,National,https://www.thehindubusinessline.com/news/world/sri-lanka-bracing-to-end-lockdown-with-partial-opening/article31551416.ece,2020-05-10,True
Croatia,,2020-03-18,2020-05-11,National,https://www.theguardian.com/world/live/2020/may/10/coronavirus-live-news-obama-trumps-covid-19--chaotic-as-global-cases-pass-4-million-mexico-russia-germany-south-korea-deaths-,2020-05-10,True
France,,2020-03-17,2020-05-11,National,https://www.france24.com/en/20200428-live-pm-philippe-unveils-france-s-plan-to-ease-covid-19-lockdown,2020-05-10,True
Spain,,2020-03-14,2020-05-11,National,https://www.theguardian.com/world/2020/may/08/global-report-spain-and-italy-grapple-with-how-to-end-covid-19-lockdown,2020-05-10,True
Belgium,,2020-03-18,2020-05-11,National,https://www.bbc.com/news/world-europe-52421723,2020-05-10,True
Azerbaijan,,2020-03-31,2020-05-04,National,https://az.usembassy.gov/covid-19-information-for-azerbaijan/,2020-05-10,True
Canada,Quebec,2020-03-13,2020-05-04,Province,https://globalnews.ca/news/6920122/coronavirus-heres-how-provinces-plan-to-emerge-from-covid-19-lockdown/,2020-05-10,True
United States,Delaware,2020-03-24,2020-05-08,State,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/05/Delaware-Economic-Reopening-Guidance_Phase.pdf,2020-05-19,True
Chile,Santiago,2020-05-15,2020-05-22,Metropolitan area,https://www.as-coa.org/articles/where-coronavirus-latin-america,2020-05-19,True
Bulgaria,,2020-03-13,2020-05-13,National,https://www.thejakartapost.com/news/2020/05/13/bulgaria-to-end-state-of-emergency-but-some-restrictions-remain.html,2020-05-19,True
Bolivia,,2020-03-22,2020-05-31,National,https://www.la-razon.com/nacional/2020/04/29/lunes-11-cuarentena-estricta-y-flexible-en-departamentos-y-municipios/,2020-05-19,True
Australia,,2020-03-23,2020-05-15,National,https://uk.reuters.com/article/uk-health-coronavirus-australia/australians-emerge-from-coronavirus-lockdown-to-beers-and-lattes-idUKKBN22R031,2020-05-19,True
Zimbabwe,,2020-03-30,,National,https://www.news24.com/Africa/Zimbabwe/zimbabwe-extends-coronavirus-lockdown-indefinitely-20200518,2020-05-19,False
Panama,,2020-03-25,,National,https://www.laestrella.com.pa/nacional/200511/gobierno-anuncia-apertura-actividad-economica-13-mayo,2020-05-19,False
Finland,,2020-03-27,2020-06-01,National,https://newsnowfinland.fi/domestic/new-rules-for-restaurants-cafes-and-bars-introduced-from-1st-june,2020-05-19,True
United States,New Mexico,2020-03-24,2020-05-31,State,https://www.governor.state.nm.us/2020/05/13/state-to-further-modify-public-health-emergency-order/?mod=article_inline,2020-05-19,True
United States,Minnesota,2020-03-27,2020-05-18,State,https://mn.gov/deed/newscenter/covid/safework/?mod=article_inline,2020-05-19,True
Ukraine,,2020-03-17,2020-05-11,National,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ukraine#cite_note-:0-50,2020-05-19,True
United States,Nevada,2020-03-17,2020-05-09,State,https://eu.rgj.com/story/news/2020/05/07/these-businesses-can-reopen-nevadas-phase-1-reopening/3092295001/,2020-05-19,True
Dominican Republic,,2020-03-29,2020-05-20,National,https://www.as-coa.org/articles/where-coronavirus-latin-america,2020-05-19,True
Estonia,,2020-03-12,2020-05-18,National,https://news.err.ee/1091068/prime-minister-estonia-must-be-ready-for-coronavirus-second-wave,2020-05-19,True
United States,Louisiana,2020-03-23,2020-05-15,State,https://gov.louisiana.gov/index.cfm/newsroom/detail/2488?mod=article_inline,2020-05-19,True
Jamaica,,2020-04-15,2020-06-01,National,http://www.jamaicaobserver.com/news/PM_says_work-from-home_order_wont_be_renewed_on_May_31_expiration?profile=1754,2020-05-19,True
Mayanmar,,2020-03-18,,National,https://www.irrawaddy.com/specials/myanmar-covid-19/yangon-extends-lockdown-measures-myanmars-covid-19-hotspots.html,2020-05-19,False
Mauritius,,2020-03-24,2020-05-15,National,https://www.africanews.com/2020/05/14/virus-free-mauritius-says-covid-19-battle-won-but-war-still-on/,2020-05-19,True
Lebanon,,2020-03-22,2020-05-18,National,https://www.arabnews.com/node/1676656/middle-east,2020-05-19,True
United States,Connecticut,2020-03-23,2020-05-20,State,https://www.ctpost.com/news/coronavirus/slideshow/CT-malls-and-major-retailers-opening-in-phase-1-202512.php,2020-05-27,True
United States,Massachusetts,2020-03-24,2020-05-25,State,https://www.bostonglobe.com/2020/05/25/metro/what-you-need-know-about-this-weeks-reopening/?p1=Article_Inline_Text_Link,2020-05-27,True
Gibraltar,,2020-03-22,2020-05-02,National,https://www.gibraltar.gov.gi/press-releases/press-conference-30th-april-2020-5858,2020-05-27,True
