"protocol_number","transport","transport_description"
"66","rvd","MIT Remote Virtual Disk Protocol"
"67","ippc","Internet Pluribus Packet Core"
"68","","any distributed file system"
"69","sat-mon","SATNET Monitoring"
"70","visa","VISA Protocol"
"71","ipcv","Internet Packet Core Utility"
"72","cpnx","Computer Protocol Network Executive"
"73","cphb","Computer Protocol Heart Beat"
"74","wsn","Wang Span Network"
"75","pvp","Packet Video Protocol"
"76","br-sat-mon","Backroom SATNET Monitoring"
"77","sun-nd","SUN ND PROTOCOL-Temporary"
"78","wb-mon","WIDEBAND Monitoring"
"79","wb-expak","WIDEBAND EXPAK"
"80","iso-ip","ISO Internet Protocol"
"81","vmtp","VMTP"
"82","secure-vmtp","SECURE-VMTP"
"83","vines","VINES"
"84","ttp","Transaction Transport Protocol"
"84","iptm","Internet Protocol Traffic Manager"
"85","nsfnet-igp","NSFNET-IGP"
"86","dgp","Dissimilar Gateway Protocol"
"87","tcf","TCF"
"88","eigrp","EIGRP"
"89","ospfigp","OSPFIGP"
"90","sprite-rpc","Sprite RPC Protocol"
"91","larp","Locus Address Resolution Protocol"
"92","mtp","Multicast Transport Protocol"
"93","ax.25","AX.25 Frames"
"94","ipip","IP-within-IP Encapsulation Protocol"
"95","micp (deprecated)","Mobile Internetworking Control Pro."
"96","scc-sp","Semaphore Communications Sec. Pro."
"97","etherip","Ethernet-within-IP Encapsulation"
"98","encap","Encapsulation Header"
"99","","any private encryption scheme"
"100","gmtp","GMTP"
"101","ifmp","Ipsilon Flow Management Protocol"
"102","pnni","PNNI over IP"
"103","pim","Protocol Independent Multicast"
"104","aris","ARIS"
"105","scps","SCPS"
"106","qnx","QNX"
"107","a/n","Active Networks"
"108","ipcomp","IP Payload Compression Protocol"
"109","snp","Sitara Networks Protocol"
"110","compaq-peer","Compaq Peer Protocol"
"111","ipx-in-ip","IPX in IP"
"112","vrrp","Virtual Router Redundancy Protocol"
"113","pgm","PGM Reliable Transport Protocol"
"114","","any 0-hop protocol"
"115","l2tp","Layer Two Tunneling Protocol"
"116","ddx","D-II Data Exchange (DDX)"
"117","iatp","Interactive Agent Transfer Protocol"
"118","stp","Schedule Transfer Protocol"
"119","srp","SpectraLink Radio Protocol"
"120","uti","UTI"
"121","smp","Simple Message Protocol"
"122","sm (deprecated)","Simple Multicast Protocol"
"123","ptp","Performance Transparency Protocol"
"124","isis over ipv4",""
"125","fire",""
"126","crtp","Combat Radio Transport Protocol"
"127","crudp","Combat Radio User Datagram"
"128","sscopmce",""
"129","iplt",""
"130","sps","Secure Packet Shield"
"131","pipe","Private IP Encapsulation within IP"
"132","sctp","Stream Control Transmission Protocol"
"133","fc","Fibre Channel"
"134","rsvp-e2e-ignore",""
"135","mobility header",""
"136","udplite",""
"137","mpls-in-ip",""
"138","manet","MANET Protocols"
"139","hip","Host Identity Protocol"
"140","shim6","Shim6 Protocol"
"141","wesp","Wrapped Encapsulating Security Payload"
"142","rohc","Robust Header Compression"
"143","unassigned","Unassigned"
"144","unassigned","Unassigned"
"145","unassigned","Unassigned"
"146","unassigned","Unassigned"
"147","unassigned","Unassigned"
"148","unassigned","Unassigned"
"149","unassigned","Unassigned"
"150","unassigned","Unassigned"
"151","unassigned","Unassigned"
"152","unassigned","Unassigned"
"153","unassigned","Unassigned"
"154","unassigned","Unassigned"
"155","unassigned","Unassigned"
"156","unassigned","Unassigned"
"157","unassigned","Unassigned"
"158","unassigned","Unassigned"
"159","unassigned","Unassigned"
"160","unassigned","Unassigned"
"161","unassigned","Unassigned"
"162","unassigned","Unassigned"
"163","unassigned","Unassigned"
"164","unassigned","Unassigned"
"165","unassigned","Unassigned"
"166","unassigned","Unassigned"
"167","unassigned","Unassigned"
"168","unassigned","Unassigned"
"169","unassigned","Unassigned"
"170","unassigned","Unassigned"
"171","unassigned","Unassigned"
"172","unassigned","Unassigned"
"173","unassigned","Unassigned"
"174","unassigned","Unassigned"
"175","unassigned","Unassigned"
"176","unassigned","Unassigned"
"177","unassigned","Unassigned"
"178","unassigned","Unassigned"
"179","unassigned","Unassigned"
"180","unassigned","Unassigned"
"181","unassigned","Unassigned"
"182","unassigned","Unassigned"
"183","unassigned","Unassigned"
"184","unassigned","Unassigned"
"185","unassigned","Unassigned"
"186","unassigned","Unassigned"
"187","unassigned","Unassigned"
"188","unassigned","Unassigned"
"189","unassigned","Unassigned"
"190","unassigned","Unassigned"
"191","unassigned","Unassigned"
"192","unassigned","Unassigned"
"193","unassigned","Unassigned"
"194","unassigned","Unassigned"
"195","unassigned","Unassigned"
"196","unassigned","Unassigned"
"197","unassigned","Unassigned"
"198","unassigned","Unassigned"
"199","unassigned","Unassigned"
"200","unassigned","Unassigned"
"201","unassigned","Unassigned"
"202","unassigned","Unassigned"
"203","unassigned","Unassigned"
"204","unassigned","Unassigned"
"205","unassigned","Unassigned"
"206","unassigned","Unassigned"
"207","unassigned","Unassigned"
"208","unassigned","Unassigned"
"209","unassigned","Unassigned"
"210","unassigned","Unassigned"
"211","unassigned","Unassigned"
"212","unassigned","Unassigned"
"213","unassigned","Unassigned"
"214","unassigned","Unassigned"
"215","unassigned","Unassigned"
"216","unassigned","Unassigned"
"217","unassigned","Unassigned"
"218","unassigned","Unassigned"
"219","unassigned","Unassigned"
"220","unassigned","Unassigned"
"221","unassigned","Unassigned"
"222","unassigned","Unassigned"
"223","unassigned","Unassigned"
"224","unassigned","Unassigned"
"225","unassigned","Unassigned"
"226","unassigned","Unassigned"
"227","unassigned","Unassigned"
"228","unassigned","Unassigned"
"229","unassigned","Unassigned"
"230","unassigned","Unassigned"
"231","unassigned","Unassigned"
"232","unassigned","Unassigned"
"233","unassigned","Unassigned"
"234","unassigned","Unassigned"
"235","unassigned","Unassigned"
"236","unassigned","Unassigned"
"237","unassigned","Unassigned"
"238","unassigned","Unassigned"
"239","unassigned","Unassigned"
"240","unassigned","Unassigned"
"241","unassigned","Unassigned"
"242","unassigned","Unassigned"
"243","unassigned","Unassigned"
"244","unassigned","Unassigned"
"245","unassigned","Unassigned"
"246","unassigned","Unassigned"
"247","unassigned","Unassigned"
"248","unassigned","Unassigned"
"249","unassigned","Unassigned"
"250","unassigned","Unassigned"
"251","unassigned","Unassigned"
"252","unassigned","Unassigned"
"253","experimental","Use for experimentation and testing"
"254","experimental","Use for experimentation and testing"
"255","reserved",""
