source,"source_desc",field,"field_desc",notes
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_hist_searches","Maximum limit for hist searches",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_rt_scheduled_searches","Maximum limit for rt scheduled searches",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_rt_search_multiplier","Maximum limit for rt search multiplier",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_rt_searches","Maximum limit for rt searches",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_per_cpu","Maximum limit for searches per cpu",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc","Maximum limit for searches perc",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_0","Maximum limit for searches perc 0",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_0_when","Maximum limit for searches perc 0 when",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_1","Maximum limit for searches perc 1",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_1_when","Maximum limit for searches perc 1 when",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_2","Maximum limit for searches perc 2",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_2_when","Maximum limit for searches perc 2 when",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_3","Maximum limit for searches perc 3",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_searches_perc_3_when","Maximum limit for searches perc 3 when",
"ssef_admin_search_concurrency_settings_handler","limits.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_search_concurrency_settings_handler","limits.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_search_concurrency_settings_handler","limits.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_admin_summarization_endpoints","Splunk REST API Reference","average_time","Time or timestamp related to average",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",buckets,Buckets,
"ssef_admin_summarization_endpoints","Splunk REST API Reference",complete,Complete,
"ssef_admin_summarization_endpoints","Splunk REST API Reference","is_inprogress","Status or flag for inprogress",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_summarization_endpoints","Splunk REST API Reference","last_error","Last Error",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",p90,P90,
"ssef_admin_summarization_endpoints","Splunk REST API Reference",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",size,Size,
"ssef_admin_summarization_endpoints","Splunk REST API Reference","time_range","Time or timestamp related to time range",
"ssef_admin_summarization_endpoints","Splunk REST API Reference",title,"A user-friendly display name or title for the knowledge object",
"ssef_admin_transforms_lookup","transforms.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_admin_transforms_lookup","transforms.conf","acl_perms_read","Read permissions for the knowledge object, indicating who can view or access the object.",
"ssef_admin_transforms_lookup","transforms.conf","acl_perms_write","Write permissions for the knowledge object, indicating who can modify the object.",
"ssef_admin_transforms_lookup","transforms.conf","acl_removable","Indicates whether the knowledge object can be removed or deleted.",
"ssef_admin_transforms_lookup","transforms.conf","allow_caching","Allow Caching",
"ssef_admin_transforms_lookup","transforms.conf",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_admin_transforms_lookup","transforms.conf",author,"Owner of the Splunk knowledge object, e.g., owner of a scheduled job.",
"ssef_admin_transforms_lookup","transforms.conf","batch_index_query","Batch Index Query",
"ssef_admin_transforms_lookup","transforms.conf","case_sensitive_match","Case Sensitive Match",
"ssef_admin_transforms_lookup","transforms.conf",collection,Collection,
"ssef_admin_transforms_lookup","transforms.conf","default_match","Default Match",
"ssef_admin_transforms_lookup","transforms.conf",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_admin_transforms_lookup","transforms.conf",enforceTypes,Enforcetypes,
"ssef_admin_transforms_lookup","transforms.conf","external_cmd","External Cmd",
"ssef_admin_transforms_lookup","transforms.conf","external_type","External Type",
"ssef_admin_transforms_lookup","transforms.conf","fields_list","Fields List",
"ssef_admin_transforms_lookup","transforms.conf",filename,Filename,
"ssef_admin_transforms_lookup","transforms.conf",filter,Filter,
"ssef_admin_transforms_lookup","transforms.conf","index_fields_list","Index Fields List",
"ssef_admin_transforms_lookup","transforms.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_transforms_lookup","transforms.conf","match_type","Match Type",
"ssef_admin_transforms_lookup","transforms.conf","max_matches","Maximum limit for matches",
"ssef_admin_transforms_lookup","transforms.conf","min_matches","Minimum limit for matches",
"ssef_admin_transforms_lookup","transforms.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_transforms_lookup","transforms.conf",profilingEnabled,"Status or flag for profilingd",
"ssef_admin_transforms_lookup","transforms.conf",profilingThresholdMs,Profilingthresholdms,
"ssef_admin_transforms_lookup","transforms.conf",replicate,Replicate,
"ssef_admin_transforms_lookup","transforms.conf","replication_dump_maximum_file_size","Replication Dump Maximum File Size",
"ssef_admin_transforms_lookup","transforms.conf","replication_dump_strategy","Replication Dump Strategy",
"ssef_admin_transforms_lookup","transforms.conf","reverse_lookup_honor_case_sensitive_match","Reverse Lookup Honor Case Sensitive Match",
"ssef_admin_transforms_lookup","transforms.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_transforms_lookup","transforms.conf",sharing,"Permission level (system, global, app, user) of the knowledge object. Indicates scope of the object.",
"ssef_admin_transforms_lookup","transforms.conf",size,Size,
"ssef_admin_transforms_lookup","transforms.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_admin_transforms_lookup","transforms.conf",type,"Classification or category type of the object or configuration",
"ssef_admin_transforms_lookup","transforms.conf",updated,"The timestamp when the knowledge object was last updated or modified",
"ssef_alert_actions","alert_actions.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_alert_actions","alert_actions.conf","action_label","Action Label",
"ssef_alert_actions","alert_actions.conf",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_alert_actions","alert_actions.conf",command,Command,
"ssef_alert_actions","alert_actions.conf",description,"Human-readable description or documentation of the object",
"ssef_alert_actions","alert_actions.conf",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_alert_actions","alert_actions.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_alert_actions","alert_actions.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_alert_actions","alert_actions.conf",priority,"Execution or processing priority level",
"ssef_alert_actions","alert_actions.conf","python_version","Python Version",
"ssef_alert_actions","alert_actions.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_alert_actions","alert_actions.conf",sharing,"Permission level (system, global, app, user) of the knowledge object. Indicates scope of the object.",
"ssef_alert_actions","alert_actions.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_alert_actions","alert_actions.conf",ttl,Ttl,
"ssef_alert_actions","alert_actions.conf",updated,"The timestamp when the knowledge object was last updated or modified",
"ssef_apps_local","app.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_apps_local","app.conf","acl_perms_read","Read permissions for the knowledge object, indicating who can view or access the object.",
"ssef_apps_local","app.conf","acl_perms_write","Write permissions for the knowledge object, indicating who can modify the object.",
"ssef_apps_local","app.conf","app_label","App Label",
"ssef_apps_local","app.conf","app_name","Name of the Splunk application",
"ssef_apps_local","app.conf","attribution_link","Attribution Link",
"ssef_apps_local","app.conf",author,"Owner of the Splunk knowledge object, e.g., owner of a scheduled job.",
"ssef_apps_local","app.conf",build,Build,
"ssef_apps_local","app.conf","check_for_updates","Time or timestamp related to check for updates",
"ssef_apps_local","app.conf",configured,Configured,
"ssef_apps_local","app.conf",core,Core,
"ssef_apps_local","app.conf","current_version","Current Version",
"ssef_apps_local","app.conf",description,"Human-readable description or documentation of the object",
"ssef_apps_local","app.conf",details,"Detailed information or description",
"ssef_apps_local","app.conf",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_apps_local","app.conf","docs_section_override","Docs Section Override",
"ssef_apps_local","app.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_apps_local","app.conf","latest_version","Latest Version",
"ssef_apps_local","app.conf","managed_by_deployment_client","Managed By Deployment Client",
"ssef_apps_local","app.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_apps_local","app.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_apps_local","app.conf","setup_view","Setup View",
"ssef_apps_local","app.conf",sharing,"Permission level (system, global, app, user) of the knowledge object. Indicates scope of the object.",
"ssef_apps_local","app.conf","show_in_nav","Show In Nav",
"ssef_apps_local","app.conf","state_change_requires_restart","State Change Requires Restart",
"ssef_apps_local","app.conf","update_appurl","Time or timestamp related to update appurl",
"ssef_apps_local","app.conf","update_homepage","Time or timestamp related to update homepage",
"ssef_apps_local","app.conf",updated,"The timestamp when the knowledge object was last updated or modified",
"ssef_apps_local","app.conf",visible,Visible,
"ssef_assets","/servicesNS/-/-/server/info","SPLUNK_DB","Splunk Db",
"ssef_assets","/servicesNS/-/-/server/info","SPLUNK_HOME","Splunk Home",
"ssef_assets","/servicesNS/-/-/server/info","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_assets","/servicesNS/-/-/server/info",appServerPorts,Appserverports,
"ssef_assets","/servicesNS/-/-/server/info",build,Build,
"ssef_assets","/servicesNS/-/-/server/info","cpu_arch","Cpu Arch",
"ssef_assets","/servicesNS/-/-/server/info",dfsDisabled,"Flag for disabling distributed file system",
"ssef_assets","/servicesNS/-/-/server/info",dfsMasterPort,"Port for DFS master service",
"ssef_assets","/servicesNS/-/-/server/info",enableSplunkWebSSL,Enablesplunkwebssl,
"ssef_assets","/servicesNS/-/-/server/info",guid,Guid,
"ssef_assets","/servicesNS/-/-/server/info","host_fqdn","Host Fqdn",
"ssef_assets","/servicesNS/-/-/server/info","host_ip","Host Ip",
"ssef_assets","/servicesNS/-/-/server/info","host_name","Host Name",
"ssef_assets","/servicesNS/-/-/server/info","host_resolved","Host Resolved",
"ssef_assets","/servicesNS/-/-/server/info","host_short","Host Short",
"ssef_assets","/servicesNS/-/-/server/info",httpport,Httpport,
"ssef_assets","/servicesNS/-/-/server/info",isForwarding,Isforwarding,
"ssef_assets","/servicesNS/-/-/server/info",isTrial,Istrial,
"ssef_assets","/servicesNS/-/-/server/info",kvStoreDisabled,"Status or flag for kvstored",
"ssef_assets","/servicesNS/-/-/server/info",kvStorePort,Kvstoreport,
"ssef_assets","/servicesNS/-/-/server/info",kvStoreStatus,Kvstorestatus,
"ssef_assets","/servicesNS/-/-/server/info",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_assets","/servicesNS/-/-/server/info",licenseState,Licensestate,
"ssef_assets","/servicesNS/-/-/server/info","license_labels","License Labels",
"ssef_assets","/servicesNS/-/-/server/info","manager_guid","Manager Guid",
"ssef_assets","/servicesNS/-/-/server/info","manager_uri","Manager Uri",
"ssef_assets","/servicesNS/-/-/server/info",mgmtHostPort,Mgmthostport,
"ssef_assets","/servicesNS/-/-/server/info",minFreeSpace,Minfreespace,
"ssef_assets","/servicesNS/-/-/server/info",mode,Mode,
"ssef_assets","/servicesNS/-/-/server/info",numberOfCores,Numberofcores,
"ssef_assets","/servicesNS/-/-/server/info",numberOfVirtualCores,Numberofvirtualcores,
"ssef_assets","/servicesNS/-/-/server/info","os_build","Os Build",
"ssef_assets","/servicesNS/-/-/server/info","os_name","Operating system name",
"ssef_assets","/servicesNS/-/-/server/info","os_name_extended","Os Name Extended",
"ssef_assets","/servicesNS/-/-/server/info","os_version","Os Version",
"ssef_assets","/servicesNS/-/-/server/info",physicalMemoryMB,Physicalmemorymb,
"ssef_assets","/servicesNS/-/-/server/info",pipelinesets,Pipelinesets,
"ssef_assets","/servicesNS/-/-/server/info",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_assets","/servicesNS/-/-/server/info","rtsearch_enabled","Status or flag for rtsearch d",
"ssef_assets","/servicesNS/-/-/server/info",serverName,Servername,
"ssef_assets","/servicesNS/-/-/server/info",sessionTimeout,"Time or timestamp related to sessiontimeout",
"ssef_assets","/servicesNS/-/-/server/info","startup_time","Startup timestamp",
"ssef_assets","/servicesNS/-/-/server/info",startwebserver,Startwebserver,
"ssef_assets","/servicesNS/-/-/server/info","transparent_hugepages_defrag","Transparent Hugepages Defrag",
"ssef_assets","/servicesNS/-/-/server/info","transparent_hugepages_effective_state","Transparent Hugepages Effective State",
"ssef_assets","/servicesNS/-/-/server/info","transparent_hugepages_enabled","Status or flag for transparent hugepages d",
"ssef_assets","/servicesNS/-/-/server/info",trustedIP,Trustedip,
"ssef_assets","/servicesNS/-/-/server/info","ulimits_core_file_size","Ulimits Core File Size",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_cpu_time","Time or timestamp related to ulimits cpu",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_data_file_size","Ulimits Data File Size",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_data_segment_size","Ulimits Data Segment Size",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_nice","Ulimits Nice",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_open_files","Ulimits Open Files",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_resident_memory_size","Ulimits Resident Memory Size",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_stack_size","Ulimits Stack Size",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_user_processes","Ulimits User Processes",
"ssef_assets","/servicesNS/-/-/server/info","ulimits_virtual_address_space_size","Ulimits Virtual Address Space Size",
"ssef_assets","/servicesNS/-/-/server/info",version,"Version number or identifier of the object",
"ssef_audit_user_login_tracker","_internal and _audit",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_audit_user_login_tracker","_internal and _audit","datamodel_reference","Datamodel Reference",
"ssef_audit_user_login_tracker","_internal and _audit","index_reference","Index Reference",
"ssef_audit_user_login_tracker","_internal and _audit",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_audit_user_login_tracker","_internal and _audit","latest_logon","Latest Logon",
"ssef_audit_user_login_tracker","_internal and _audit","latest_search","Latest Search",
"ssef_audit_user_login_tracker","_internal and _audit","lookup_reference","Lookup Reference",
"ssef_audit_user_login_tracker","_internal and _audit",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_audit_user_login_tracker","_internal and _audit","num_searches","Count or total of searches",
"ssef_audit_user_login_tracker","_internal and _audit",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_audit_user_login_tracker","_internal and _audit","search_provenance","Search Provenance",
"ssef_audit_user_login_tracker","_internal and _audit","search_type","Type or category of search (e.g., historical, real-time)",
"ssef_audit_user_login_tracker","_internal and _audit",session,Session,
"ssef_audit_user_login_tracker","_internal and _audit","source_reference","Source Reference",
"ssef_audit_user_login_tracker","_internal and _audit","sourcetype_reference","Sourcetype Reference",
"ssef_audit_user_login_tracker","_internal and _audit","total_search_time","Time or timestamp related to total search",
"ssef_audit_user_login_tracker","_internal and _audit",user,"The user account or username associated with the action or object",
"ssef_authorization_roles","authorize.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_authorization_roles","authorize.conf",capabilities,Capabilities,
"ssef_authorization_roles","authorize.conf",cumulativeRTSrchJobsQuota,Cumulativertsrchjobsquota,
"ssef_authorization_roles","authorize.conf",cumulativeSrchJobsQuota,Cumulativesrchjobsquota,
"ssef_authorization_roles","authorize.conf",defaultApp,Defaultapp,
"ssef_authorization_roles","authorize.conf",deleteIndexesAllowed,"Permission or flag allowing deletion of indexes",
"ssef_authorization_roles","authorize.conf",federatedProviders,Federatedproviders,
"ssef_authorization_roles","authorize.conf","grantable_roles","Grantable Roles",
"ssef_authorization_roles","authorize.conf","imported_capabilities","Imported Capabilities",
"ssef_authorization_roles","authorize.conf","imported_roles","Imported Roles",
"ssef_authorization_roles","authorize.conf","imported_rtSrchJobsQuota","Imported Rtsrchjobsquota",
"ssef_authorization_roles","authorize.conf","imported_srchDiskQuota","Imported Srchdiskquota",
"ssef_authorization_roles","authorize.conf","imported_srchFilter","Imported Srchfilter",
"ssef_authorization_roles","authorize.conf","imported_srchIndexesAllowed","Imported Srchindexesallowed",
"ssef_authorization_roles","authorize.conf","imported_srchIndexesDefault","Imported Srchindexesdefault",
"ssef_authorization_roles","authorize.conf","imported_srchIndexesDisallowed","Imported Srchindexesdisallowed",
"ssef_authorization_roles","authorize.conf","imported_srchJobsQuota","Imported Srchjobsquota",
"ssef_authorization_roles","authorize.conf","imported_srchTimeEarliest","Time or timestamp related to imported srchtimeearliest",
"ssef_authorization_roles","authorize.conf","imported_srchTimeWin","Time or timestamp related to imported srchtimewin",
"ssef_authorization_roles","authorize.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_authorization_roles","authorize.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_authorization_roles","authorize.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_authorization_roles","authorize.conf",rtSrchJobsQuota,Rtsrchjobsquota,
"ssef_authorization_roles","authorize.conf",srchDiskQuota,Srchdiskquota,
"ssef_authorization_roles","authorize.conf",srchFilter,Srchfilter,
"ssef_authorization_roles","authorize.conf",srchIndexesAllowed,Srchindexesallowed,
"ssef_authorization_roles","authorize.conf",srchIndexesDefault,Srchindexesdefault,
"ssef_authorization_roles","authorize.conf",srchIndexesDisallowed,Srchindexesdisallowed,
"ssef_authorization_roles","authorize.conf",srchJobsQuota,Srchjobsquota,
"ssef_authorization_roles","authorize.conf",srchTimeEarliest,"Time or timestamp related to srchtimeearliest",
"ssef_authorization_roles","authorize.conf",srchTimeWin,"Time or timestamp related to srchtimewin",
"ssef_authorization_roles","authorize.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","access_logging_for_heartbeats","Access Logging For Heartbeats",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","ack_factor","Ack Factor",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","allowed_hbmiss_count","Count or total of allowed hbmiss",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","assign_primaries_to_all_sites","Assign Primaries To All Sites",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","cluster_label","Cluster Label",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","cxn_timeout","Time or timestamp related to cxnout",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","decommission_node_force_timeout","Time or timestamp related to decommission node forceout",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","decommission_search_jobs_wait_secs","Decommission Search Jobs Wait Secs",
"ssef_cluster_config","/servicesNS/-/-/cluster/config",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","forwarderdata_rcv_port","Forwarderdata Rcv Port",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","forwarderdata_use_ssl","Forwarderdata Use Ssl",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","frozen_notifications_per_batch","Frozen Notifications Per Batch",
"ssef_cluster_config","/servicesNS/-/-/cluster/config",guid,Guid,
"ssef_cluster_config","/servicesNS/-/-/cluster/config","heartbeat_period","Heartbeat Period",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","heartbeat_timeout","Time or timestamp related to heartbeatout",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","manager_uri","Manager Uri",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","manual_detention","Manual Detention",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_auto_service_interval","Maximum limit for auto service interval",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_fixup_time_ms","Maximum limit for fixup time ms",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_peer_build_load","Maximum limit for peer build load",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_peer_rep_load","Maximum limit for peer rep load",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_peer_sum_rep_load","Maximum limit for peer sum rep load",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_peers_to_download_bundle","Maximum limit for peers to download bundle",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","max_primary_backups_per_service","Maximum limit for primary backups per service",
"ssef_cluster_config","/servicesNS/-/-/cluster/config",mode,Mode,
"ssef_cluster_config","/servicesNS/-/-/cluster/config","notify_scan_min_period","Minimum limit for notify scan period",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","notify_scan_period","Notify Scan Period",
"ssef_cluster_config","/servicesNS/-/-/cluster/config","percent_peers_to_restart","Percentage of  peers to restart",
