capability,"capability_description",dashboard,domain,level,name,"practice_description",visible
"Operating system hardening","Application control","AC_1582_e8","Application Control",M3,"Application Control - ISM-1582","Application control rulesets are validated on an annual or more frequent basis.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents","CMOMS_0123_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-0123","Event logs are monitored for signs of compromise and actioned when any signs of compromise are detected.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents to the ACSC","CMOMS_0140_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-0140","Cyber security incidents are reported to the ACSC.",TRUE
"Responding to cyber security incidents","Enacting incident response plans","CMOMS_1819_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1819","Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1671_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1671","Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1488_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1488","Microsoft Office macros in files originating from the internet are blocked.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1672_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1672","Microsoft Office macro antivirus scanning is enabled.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1673_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1673","Microsoft Office macros are blocked from making Win32 API calls.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1674_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1674","Only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1487_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1487","Only privileged users responsible for validating that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1675_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1675","Microsoft Office macros digitally signed by an untrusted publisher cannot be enabled via the Message Bar or Backstage View.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1676_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1676","Microsoft Office's list of trusted publishers is validated on an annual or more frequent basis.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1489_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1489","Microsoft Office macro security settings cannot be changed by users.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1677_e8","Configure Microsoft Office Macro Settings","M2-M3","Configure Microsoft Office Macro Settings - ISM-1677","Allowed and blocked Microsoft Office macro execution events are logged.",TRUE
"User application hardening","Microsoft Office macros","CMOMS_1678_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1678","Microsoft Office macro event logs are stored centrally.",TRUE
"Event logging and monitoring","Centralised event logging facility","CMOMS_1405_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1405","A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.",TRUE
"Event logging and monitoring","Centralised event logging facility","CMOMS_1815_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1815","Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.",TRUE
"Event logging and monitoring","Event log monitoring","CMOMS_0109_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-0109","Event logs are analysed in a timely manner to detect cyber security events.",TRUE
"Event logging and monitoring","Event log monitoring","CMOMS_1228_e8","Configure Microsoft Office Macro Settings",M3,"Configure Microsoft Office Macro Settings - ISM-1228","Cyber security events are analysed in a timely manner to identify cyber security incidents.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents","MFA_0123_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-0123","Event logs are monitored for signs of compromise and actioned when any signs of compromise are detected.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents to the ACSC","MFA_0140_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-0140","Cyber security incidents are reported to the ACSC.",TRUE
"Responding to cyber security incidents","Enacting incident response plans","MFA_1819_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1819","Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1173_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1173","Multi-factor authentication is used to authenticate privileged users of systems.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1504_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1504","Multi-factor authentication is used by an organisation's users if they authenticate to their organisation's internet-facing services.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1679_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1679","Multi-factor authentication is used by an organisation's users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's sensitive data.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1680_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1680","Multi-factor authentication (where available) is used by an organisation's users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's non-sensitive data.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1681_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1681","Multi-factor authentication is enabled by default for non-organisational users (but users can choose to opt out) if they authenticate to an organisation's internet-facing services.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1505_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1505","Multi-factor authentication is used to authenticate users accessing important data repositories.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1401_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1401","Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1682_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1682","Multi-factor authentication is phishing-resistant.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1683_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1683","Successful and unsuccessful multi-factor authentication events are logged.",TRUE
"Authentication hardening","Multi-factor authentication","MFA_1684_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1684","Multi-factor authentication event logs are stored centrally.",TRUE
"Authentication hardening","Setting credentials for local administrator accounts and service accounts","MFA_1685_e8","Multi-Factor Authentication","M2-M3","Multi-Factor Authentication - ISM-1685","Credentials for local administrator accounts and service accounts are long, unique, unpredictable and managed.",TRUE
"Event logging and monitoring","Centralised event logging facility","MFA_1405_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1405","A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.",TRUE
"Event logging and monitoring","Centralised event logging facility","MFA_1815_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1815","Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.",TRUE
"Event logging and monitoring","Event log monitoring","MFA_0109_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-0109","Event logs are analysed in a timely manner to detect cyber security events.",TRUE
"Event logging and monitoring","Event log monitoring","MFA_1228_e8","Multi-Factor Authentication",M3,"Multi-Factor Authentication - ISM-1228","Cyber security events are analysed in a timely manner to identify cyber security incidents.",TRUE
"System patching","Scanning for missing patches or updates","PA_1808_e8","Patch Applications","M2-M3","Patch Applications - ISM-1808","A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.",TRUE
"System patching","Scanning for missing patches or updates","PA_1807_e8","Patch Applications","M2-M3","Patch Applications - ISM-1807","An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.",TRUE
"System patching","Scanning for missing patches or updates","PA_1698_e8","Patch Applications","M2-M3","Patch Applications - ISM-1698","A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in internet-facing services.",TRUE
"System patching","Scanning for missing patches or updates","PA_1699_e8","Patch Applications","M2-M3","Patch Applications - ISM-1699","A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",TRUE
"System patching","Scanning for missing patches or updates","PA_1700_e8","Patch Applications","M2-M3","Patch Applications - ISM-1700","A vulnerability scanner is used at least fortnightly to identify missing patches or updates for security vulnerabilities in other applications.",TRUE
"System patching","When to patch security vulnerabilities","PA_1690_e8","Patch Applications","M2-M3","Patch Applications - ISM-1690","Patches, updates or vendor mitigations for security vulnerabilities in internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists.",TRUE
"System patching","When to patch security vulnerabilities","PA_1691_e8","Patch Applications","M2-M3","Patch Applications - ISM-1691","Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release.",TRUE
"System patching","When to patch security vulnerabilities","PA_1692_e8","Patch Applications",M3,"Patch Applications - ISM-1692","Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within 48 hours if an exploit exists.",TRUE
"System patching","When to patch security vulnerabilities","PA_1693_e8","Patch Applications","M2-M3","Patch Applications - ISM-1693","Patches, updates or vendor mitigations for security vulnerabilities in other applications are applied within one month of release.",TRUE
"System patching","Cessation of support","PA_1704_e8","Patch Applications","M2-M3","Patch Applications - ISM-1704","Internet-facing services, office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",TRUE
"System patching","Cessation of support","PA_0304_e8","Patch Applications",M3,"Patch Applications - ISM-0304","Applications that are no longer supported by vendors are removed.",TRUE
"Operating system hardening","Operating system releases and versions","POS_1407_e8","Patch Operating Systems",M3,"Patch Operating Systems - ISM-1407","The latest release, or the previous release, of operating systems are used.",TRUE
"System patching","Scanning for missing patches or updates","POS_1807_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1807","An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.",TRUE
"System patching","Scanning for missing patches or updates","POS_1808_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1808","A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.",TRUE
"System patching","Scanning for missing patches or updates","POS_1701_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1701","A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in operating systems of internet-facing services.",TRUE
"System patching","Scanning for missing patches or updates","POS_1702_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1702","A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in operating systems of workstations, servers and network devices.",TRUE
"System patching","When to patch security vulnerabilities","POS_1694_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1694","Patches, updates or vendor mitigations for security vulnerabilities in operating systems of internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists.",TRUE
"System patching","When to patch security vulnerabilities","POS_1695_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1695","Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within two weeks of release.",TRUE
"System patching","When to patch security vulnerabilities","POS_1696_e8","Patch Operating Systems",M3,"Patch Operating Systems - ISM-1696","Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within 48 hours if an exploit exists.",TRUE
"System patching","Cessation of support","POS_1501_e8","Patch Operating Systems","M2-M3","Patch Operating Systems - ISM-1501","Operating systems that are no longer supported by vendors are replaced.",TRUE
"Data backup and restoration","Performing and retaining backups","RB_1511_e8","Regular Backups","M2-M3","Regular Backups - ISM-1511","Backups of important data, software and configuration settings are performed and retained with a frequency and retention timeframe in accordance with business continuity requirements.",TRUE
"Data backup and restoration","Performing and retaining backups","RB_1810_e8","Regular Backups","M2-M3","Regular Backups - ISM-1810","Backups of important data, software and configuration settings are synchronised to enable restoration to a common point in time.",TRUE
"Data backup and restoration","Performing and retaining backups","RB_1811_e8","Regular Backups","M2-M3","Regular Backups - ISM-1811","Backups of important data, software and configuration settings are retained in a secure and resilient manner.",TRUE
"Data backup and restoration","Backup access","RB_1812_e8","Regular Backups","M2-M3","Regular Backups - ISM-1812","Unprivileged accounts cannot access backups belonging to other accounts.",TRUE
"Data backup and restoration","Backup access","RB_1813_e8","Regular Backups",M3,"Regular Backups - ISM-1813","Unprivileged accounts cannot access their own backups.",TRUE
"Data backup and restoration","Backup access","RB_1705_e8","Regular Backups","M2-M3","Regular Backups - ISM-1705","Privileged accounts (excluding backup administrator accounts) cannot access backups belonging to other accounts.",TRUE
"Data backup and restoration","Backup access","RB_1706_e8","Regular Backups",M3,"Regular Backups - ISM-1706","Privileged accounts (excluding backup administrator accounts) cannot access their own backups.",TRUE
"Data backup and restoration","Backup modification and deletion","RB_1814_e8","Regular Backups","M2-M3","Regular Backups - ISM-1814","Unprivileged accounts are prevented from modifying and deleting backups.",TRUE
"Data backup and restoration","Backup modification and deletion","RB_1707_e8","Regular Backups","M2-M3","Regular Backups - ISM-1707","Privileged accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.",TRUE
"Data backup and restoration","Backup modification and deletion","RB_1708_e8","Regular Backups",M3,"Regular Backups - ISM-1708","Privileged accounts (including backup administrator accounts) are prevented from modifying and deleting backups during their retention period.",TRUE
"Data backup and restoration","Testing restoration of backups","RB_1515_e8","Regular Backups","M2-M3","Regular Backups - ISM-1515","Restoration of important data, software and configuration settings from backups to a common point of time is tested as part of disaster recovery exercises.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents","RAP_0123_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-0123","Event logs are monitored for signs of compromise and actioned when any signs of compromise are detected.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents to the ACSC","RAP_0140_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-0140","Cyber security incidents are reported to the ACSC.",TRUE
"Responding to cyber security incidents","Enacting incident response plans","RAP_1819_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1819","Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1507_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1507","Requests for privileged access to systems and applications are validated when first requested.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1508_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1508","Privileged access to systems and applications is limited to only what is required for users and services to undertake their duties.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1175_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1175","Privileged user accounts are prevented from accessing the internet, email and web services.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1653_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1653","Privileged service accounts are prevented from accessing the internet, email and web services.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1649_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1649","Just-in-time administration is used for administering systems and applications.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1509_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1509","Privileged access events are logged.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1651_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1651","Privileged access event logs are stored centrally.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1650_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1650","Privileged account and group management events are logged.",TRUE
"Access to systems and their resources","Privileged access to systems","RAP_1652_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1652","Privileged account and group management event logs are stored centrally.",TRUE
"Access to systems and their resources","Suspension of access to systems","RAP_1648_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1648","Privileged access to systems and applications is automatically disabled after 45 days of inactivity.",TRUE
"Access to systems and their resources","Suspension of access to systems","RAP_1647_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1647","Privileged access to systems and applications is automatically disabled after 12 months unless revalidated.",TRUE
"Authentication hardening","Setting credentials for local administrator accounts and service accounts","RAP_1685_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1685","Credentials for local administrator accounts and service accounts are long, unique, unpredictable and managed.",TRUE
"Authentication hardening","Protecting credentials","RAP_1686_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1686","Windows Defender Credential Guard and Windows Defender Remote Credential Guard are enabled.",TRUE
"System administration","Separate privileged operating environments","RAP_1380_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1380","Privileged users use separate privileged and unprivileged operating environments.",TRUE
"System administration","Separate privileged operating environments","RAP_1687_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1687","Privileged operating environments are not virtualised within unprivileged operating environments.",TRUE
"System administration","Separate privileged operating environments","RAP_1688_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1688","Unprivileged accounts cannot logon to privileged operating environments.",TRUE
"System administration","Separate privileged operating environments","RAP_1689_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1689","Privileged accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.",TRUE
"System administration","Administrative infrastructure","RAP_1387_e8","Restrict Administrative Privileges","M2-M3","Restrict Administrative Privileges - ISM-1387","Administrative activities are conducted through jump servers.",TRUE
"Event logging and monitoring","Centralised event logging facility","RAP_1405_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1405","A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.",TRUE
"Event logging and monitoring","Centralised event logging facility","RAP_1815_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1815","Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.",TRUE
"Event logging and monitoring","Event log monitoring","RAP_0109_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-0109","Event logs are analysed in a timely manner to detect cyber security events.",TRUE
"Event logging and monitoring","Event log monitoring","RAP_1228_e8","Restrict Administrative Privileges",M3,"Restrict Administrative Privileges - ISM-1228","Cyber security events are analysed in a timely manner to identify cyber security incidents.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents","UAH_0123_e8","User Application Hardening",M3,"User Application Hardening - ISM-0123","Event logs are monitored for signs of compromise and actioned when any signs of compromise are detected.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents to the ACSC","UAH_0140_e8","User Application Hardening",M3,"User Application Hardening - ISM-0140","Cyber security incidents are reported to the ACSC.",TRUE
"Responding to cyber security incidents","Enacting incident response plans","UAH_1819_e8","User Application Hardening",M3,"User Application Hardening - ISM-1819","Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",TRUE
"Operating system hardening","Hardening operating system configurations","UAH_1654_e8","User Application Hardening",M3,"User Application Hardening - ISM-1654","Internet Explorer 11 is disabled or removed.",TRUE
"Operating system hardening","Hardening operating system configurations","UAH_1655_e8","User Application Hardening",M3,"User Application Hardening - ISM-1655",".NET Framework 3.5 (includes .NET 2.0 and 3.0) is disabled or removed.",TRUE
"Operating system hardening",PowerShell,"UAH_1621_e8","User Application Hardening",M3,"User Application Hardening - ISM-1621","Windows PowerShell 2.0 is disabled or removed.",TRUE
"Operating system hardening",PowerShell,"UAH_1622_e8","User Application Hardening",M3,"User Application Hardening - ISM-1622","PowerShell is configured to use Constrained Language Mode.",TRUE
"Operating system hardening",PowerShell,"UAH_1664_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1664","Blocked PowerShell script execution events are logged.",TRUE
"Operating system hardening",PowerShell,"UAH_1665_e8","User Application Hardening",M3,"User Application Hardening - ISM-1665","PowerShell event logs are stored centrally.",TRUE
"User application hardening","Hardening user application configurations","UAH_1412_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1412","ACSC or vendor hardening guidance for web browsers, Microsoft Office and PDF software is implemented.",TRUE
"User application hardening","Hardening user application configurations","UAH_1667_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1667","Microsoft Office is blocked from creating child processes.",TRUE
"User application hardening","Hardening user application configurations","UAH_1668_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1668","Microsoft Office is blocked from creating executable content.",TRUE
"User application hardening","Hardening user application configurations","UAH_1669_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1669","Microsoft Office is blocked from injecting code into other processes.",TRUE
"User application hardening","Hardening user application configurations","UAH_1542_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1542","Microsoft Office is configured to prevent activation of Object Linking and Embedding packages.",TRUE
"User application hardening","Hardening user application configurations","UAH_1823_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1823","Office productivity suite security settings cannot be changed by users.",TRUE
"User application hardening","Hardening user application configurations","UAH_1486_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1486","Web browsers do not process Java from the internet.",TRUE
"User application hardening","Hardening user application configurations","UAH_1485_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1485","Web browsers do not process web advertisements from the internet.",TRUE
"User application hardening","Hardening user application configurations","UAH_1666_e8","User Application Hardening",M2,"User Application Hardening - ISM-1666","Internet Explorer 11 does not process content from the internet.",TRUE
"User application hardening","Hardening user application configurations","UAH_1585_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1585","Web browser security settings cannot be changed by users.",TRUE
"User application hardening","Hardening user application configurations","UAH_1670_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1670","PDF software is blocked from creating child processes.",TRUE
"User application hardening","Hardening user application configurations","UAH_1824_e8","User Application Hardening","M2-M3","User Application Hardening - ISM-1824","PDF software security settings cannot be changed by users.",TRUE
"Event logging and monitoring","Centralised event logging facility","UAH_1405_e8","User Application Hardening",M3,"User Application Hardening - ISM-1405","A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.",TRUE
"Event logging and monitoring","Centralised event logging facility","UAH_1815_e8","User Application Hardening",M3,"User Application Hardening - ISM-1815","Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.",TRUE
"Event logging and monitoring","Event log monitoring","UAH_0109_e8","User Application Hardening",M3,"User Application Hardening - ISM-0109","Event logs are analysed in a timely manner to detect cyber security events.",TRUE
"Event logging and monitoring","Event log monitoring","UAH_1228_e8","User Application Hardening",M3,"User Application Hardening - ISM-1228","Cyber security events are analysed in a timely manner to identify cyber security incidents.",TRUE
