Description,"Nist-Code","Primary-Control",PrimaryTotal,"Sub-Control",SubTotal,"Third-Level-Control",ThirdTotal,"is-required"
" Identities and credentials for authorized users, services, and hardware are managed by the organization","PR.AA-1","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-1: Identity and Credential Management",1,1
"Identities are proofed and bound to credentials based on the context of interactions","PR.AA-2","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-2: Credential Management",1,1
"Users, services, and hardware are authenticated","PR.AA-3","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-3: Access Reviews",1,1
"Identity assertions are protected, conveyed, and verified","PR.AA-4","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-4: Assessing Security and Privacy Controls",1,1
"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","PR.AA-5","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-5: Access Permissions Management",1,1
"Physical access to assets is managed, monitored, and enforced commensurate with risk","PR.AA-6","PR: Protect",21,"PR.AA: Identity Management, Authentication, and Access Control",6,"PR.AA-6: Physical Access Control",1,1
"All users are informed and trained","PR.AT-1","PR: Protect",21,"PR.AT: Awareness and Training",2,"PR.AT-1: User Training",1,1
"Privileged users understand their roles and responsibilities","PR.AT-2","PR: Protect",21,"PR.AT: Awareness and Training",2,"PR.AT-2: Privileged User Training",1,1
"Data-at-rest is protected","PR.DS-1","PR: Protect",21,"PR.DS: Data Security",4,"PR.DS-1: Data-at-Rest Protection",1,1
"Data-in-transit is protected","PR.DS-2","PR: Protect",21,"PR.DS: Data Security",4,"PR.DS-2: Data-in-Transit Protection",1,1
"The confidentiality, integrity, and availability of data-in-use are protected","PR.DS-10","PR: Protect",21,"PR.DS: Data Security",4,"PR.DS-10: Data Integrity",1,1
"Backups of data are created, protected, maintained, and tested","PR.DS-11","PR: Protect",21,"PR.DS: Data Security",4,"PR.DS-11: Data Backups",1,1
"Configuration management practices are established and applied","PR.PS-1","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-01: Configuration Management",1,1
"Software is maintained, replaced, and removed commensurate with risk","PR.PS-2","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-02: Software Management",1,1
"Hardware is maintained, replaced, and removed commensurate with risk","PR.PS-3","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-03: Hardware Management",1,1
"Log records are generated and made available for continuous monitoring","PR.PS-4","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-04: Logging and Monitoring",1,1
"Installation and execution of unauthorized software are prevented","PR.PS-5","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-05: Software Execution Control",1,1
"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle","PR.PS-6","PR: Protect",21,"PR.PS: Platform Security",6,"PR.PS-06: Secure Development Practices",1,1
"Networks and environments are protected from unauthorized logical access and usage","PR.IR-1","PR: Protect",21,"PR.IR: Infrastructure Resilience",4,"PR.IR-1: Protected Network",1,1
"The organization's technology assets are protected from environmental threats","PR.IR-2","PR: Protect",21,"PR.IR: Infrastructure Resilience",4,"PR.IR-2: Protected Assets",1,1
"Mechanisms are implemented to achieve resilience requirements","PR.IR-3","PR: Protect",21,"PR.IR: Infrastructure Resilience",4,"PR.IR-3: Resilient Systems",1,1
"Adequate resource capacity to ensure availability is maintained","PR.IR-4","PR: Protect",21,"PR.IR: Infrastructure Resilience",4,"PR.IR-4: Adequate Resource Capacity",1,1
"Detected events are analyzed to understand attack methods","DE.AE-2","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-2: Event Method Analysis",1,1
"Event data are collected and correlated from multiple sources","DE.AE-3","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-3: Event Correlation",1,1
"The impact of events is determined","DE.AE-4","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-4: Event Impact Determination",1,1
"Information on adverse events is provided to authorized staff and tools","DE.AE-6","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-6: Incidents alerted",1,1
"Cyber threat intelligence and other contextual information are integrated into the analysis","DE.AE-7","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-7: Cyber Threat Intelligence",1,1
"Incidents are declared when adverse events meet the defined incident criteria","DE.AE-8","DE: Detect",11,"DE.AE: Anomalies and Events",6,"DE.AE-8: Incidents Reported",1,1
"The network is monitored to detect potential cybersecurity events","DE.CM-1","DE: Detect",11,"DE.CM: Security Continuous Monitoring",5,"DE.CM-1: Network Monitoring",1,1
"The physical environment is monitored for cybersecurity events","DE.CM-2","DE: Detect",11,"DE.CM: Security Continuous Monitoring",5,"DE.CM-2: Physical Environment Monitoring",1,1
"Personnel activities are monitored to detect potential cybersecurity events","DE.CM-3","DE: Detect",11,"DE.CM: Security Continuous Monitoring",5,"DE.CM-3: Personnel Activity Monitoring",1,1
"External service provider activities are monitored","DE.CM-6","DE: Detect",11,"DE.CM: Security Continuous Monitoring",5,"DE.CM-6:  Service Provider Activity Monitoring",1,1
"Computing hardware and software, runtime environments, and their data are monitored ","DE.CM-9","DE: Detect",11,"DE.CM: Security Continuous Monitoring",5,"DE.CM-9:  Hardware and Software Monitoring",1,1
"The incident response plan is executed in coordination with relevant third parties once an incident is declared","RS.MA-1","RS: Respond",13,"RS.MA: Incident Management",5,"RS.MA-1: Incident Response Plan Executed",1,1
"Incident reports are triaged and validated","RS.MA-2","RS: Respond",13,"RS.MA: Incident Management",5,"RS.MA-2: Incidents Triaged",1,1
"Incidents are categorized and prioritized","RS.MA-3","RS: Respond",13,"RS.MA: Incident Management",5,"RS.MA-3: Incidents Categorised",1,1
"Incidents are escalated or elevated as needed","RS.MA-4","RS: Respond",13,"RS.MA: Incident Management",5,"RS.MA-4: Incidents Escalated",1,1
"The criteria for initiating incident recovery are applied","RS.MA-5","RS: Respond",13,"RS.MA: Incident Management",5,"RS.MA-5: Incidents Criteria Applied",1,1
"Incidents are reported in line with established criteria","RS.CO-2","RS: Respond",13,"RS.CO: Communications",2,"RS.CO-2:  Incident Reporting Criteria",1,1
"Information is shared during incident response","RS.CO-3","RS: Respond",13,"RS.CO: Communications",2,"RS.CO-3:  Information Sharing During Response",1,1
"Forensic investigations are performed","RS.AN-3","RS: Respond",13,"RS.AN: Analysis",4,"RS.AN-3:  Forensic Investigation",1,1
"Actions performed during an investigation are recorded","RS.AN-6","RS: Respond",13,"RS.AN: Analysis",4,"RS.AN-6: Incidents Recorded",1,1
"Incident data and metadata are collected","RS.AN-7","RS: Respond",13,"RS.AN: Analysis",4,"RS.AN-7: Incident Data Safeguarded",1,1
"An incident's magnitude is estimated and validated","RS.AN-8","RS: Respond",13,"RS.AN: Analysis",4,"RS.AN-8: Incident Magnitude Validated",1,1
"Incidents are contained","RS.MI-1","RS: Respond",13,"RS.MI: Mitigation",2,"RS.MI-1:  Incident Containment",1,1
"Incidents are mitigated","RS.MI-2","RS: Respond",13,"RS.MI: Mitigation",2,"RS.MI-2:  Incident Mitigation",1,1
"Recovery plans incorporate lessons learned","RC.IM-1","RC: Recover",9,"RC.IM: Improvements",2,"RC.IM-1:  Recovery Plan Updates",1,1
"Recovery strategies are updated based on incidents","RC.IM-2","RC: Recover",9,"RC.IM: Improvements",2,"RC.IM-2:  Recovery Strategy Updates",1,1
"The recovery portion of the incident response plan is executed.","RC.RP-1","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-1: Recovery Procedures",1,1
"Recovery actions are selected, scoped, prioritized, and performed","RC.RP-2","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-2: Recovery Actions",1,1
"The integrity of backups is verified before using them","RC.RP-3","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-3: Restoration Assets",1,1
"Critical mission functions and cybersecurity risk management","RC.RP-4","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-4: Services Restored",1,1
"The integrity of restored assets is verified","RC.RP-5","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-5: Integrity of Restored Assets",1,1
"incident-related documentation is completed","RC.RP-6","RC: Recover",9,"RC.RP: Recovery Plan",6,"RC.RP-6: Post Incident Process",1,1
"The organization’s reputation is repaired after an incident","RC.CO-2","RC: Recover",9,"RC.CO: Communications",3,"RC.CO-2: Reputation Repair",1,1
"Recovery activities are communicated to stakeholders","RC.CO-3","RC: Recover",9,"RC.CO: Communications",3,"RC.CO-3: Recovery Communication",1,1
