signature_id,signature
377-15008576,LDAP directory sync failed - Unknown authentication method
377-15008577,LDAP directory sync failed - Search filter error
377-15008578,LDAP directory sync failed - User cancelled
377-15008579,LDAP directory sync failed - Parameter error
377-15008580,LDAP directory sync failed - Out of memory
377-15008581,LDAP directory sync failed - Connect error
377-15008582,LDAP directory sync failed - Not supported
377-15008583,LDAP directory sync failed - Control not found
377-15008584,LDAP directory sync failed - No results returned
377-15008585,LDAP directory sync failed - More results to return
377-15008586,LDAP directory sync failed - Client loop
377-15008587,LDAP directory sync failed - Referral limit exceeded
377-16000,The proxy was in the scanner for too long - process stopped
377-18000,Product lifetime
377-18000403,Product lifetime - Product has reached end-of-life
377-18000404,Product lifetime - Product is nearing end-of-life
377-19000,Protocol conversation
377-1900098,Protocol conversation - Attempting a connection to the onward server
377-19000113,Protocol conversation - Unable to establish a connection to the onward server
377-1900097,Protocol conversation - Established a connection with the onward server
377-1900099,Protocol conversation - Client Request
377-19000100,Protocol conversation - Appliance Request
377-19000101,Protocol conversation - Server Response
377-19000102,Protocol conversation - Appliance Response
377-19000760,Protocol conversation - The undeliverable domain email was silently dropped
377-19001,SSL certificate conversation failed
377-19001221,SSL certificate conversation failed - No certificate available
377-19001222,SSL certificate conversation failed - No fd connection
377-19001223,SSL certificate conversation failed - SSL certificate verification failed on ACCEPT handshake
377-19001224,SSL certificate conversation failed - SSL certificate verification failed on CONNECT handshake
377-19001761,SSL certificate conversation failed - Connection certificate is revoked by the certificate authority
377-19002,SSL certificate initialization
377-19002226,SSL certificate initialization - Certificate loaded
377-19003,SSL certificates initialization failed
377-19003227,SSL certificates initialization failed - Missing certificate or key file
377-19003228,SSL certificates initialization failed - SSL error using key file
377-19003229,SSL certificates initialization failed - SSL error using certificate file
377-19003230,SSL certificates initialization failed - SSL Certificate load failed
377-19003241,SSL certificates initialization failed - SSL Certificate cipher load failed
377-30000,HTTP request denied
377-3000095,HTTP request denied - The verb is not permitted
377-30000139,HTTP request denied - The request scheme is not permitted
377-30000141,HTTP request denied - The port number is not permitted
377-30000163,HTTP request denied - NTLM is not supported in explicit proxy mode
377-30000164,HTTP request denied - NTLM is not supported when persistent connections are not enabled
377-30000180,HTTP request denied - Client is not permitted to connect to this appliance
377-30000181,HTTP request denied - Request not permitted
377-30000345,HTTP request denied - HTML SCRIPT tags have been removed
377-30000346,HTTP request denied - HTML APPLET tags have been removed
377-30000347,HTTP request denied - HTML ActiveX tags have been removed
377-30000348,HTTP request denied - Uploaded data has been altered in an unknown manner
377-30000588,HTTP request denied - Proxy requests are forbidden
377-30000589,HTTP request denied - Requests from the client user-agent are forbidden
377-30000590,HTTP request denied - The content-type of the data being transferred is forbidden
377-30000594,HTTP request denied - The data being uploaded contains forbidden content
377-30000672,HTTP request denied - Cannot authenticate HTTP 0.9 requests. Requests denied
377-30000701,HTTP request denied - Access to the requested type of instant messaging is forbidden
377-30001,HTTP protocol conversation error
377-30001121,HTTP protocol conversation error - The request header is invalid
377-30001122,HTTP protocol conversation error - The response header is invalid
377-30001143,HTTP protocol conversation error - The request header is too big
377-30001144,HTTP protocol conversation error - The request header has too many header lines
377-30001210,HTTP protocol conversation error - The URL requested from a proxy mode client does not have a path
377-30001405,HTTP protocol conversation error - The URL requested from an explicit proxy mode client is invalid
377-30001162,HTTP protocol conversation error - Error serving internal URL
377-30001187,HTTP protocol conversation error - Unable to initialize the SSL sub-system
377-30001190,HTTP protocol conversation error - The response header is too big
377-30001191,HTTP protocol conversation error - The response header has too many header lines
377-30001351,HTTP protocol conversation error - Data trickling aborted due to modification by scanner
377-30001352,HTTP protocol conversation error - Data trickling aborted due to replacement by scanner
377-30001366,HTTP protocol conversation error - There was a protocol error during the transfer of chunked data
377-30001376,HTTP protocol conversation error - Unable to transfer SSL data
377-30001397,HTTP protocol conversation error - Unable to send data to the client
377-30001396,HTTP protocol conversation error - The client has closed the network conection to the appliance
377-30001395,HTTP protocol conversation error - The conection was closed before all the expected data was received
377-30001393,HTTP protocol conversation error - Unable to read the request body from the client
377-30001394,HTTP protocol conversation error - Unable to send the request body to the server
377-30002,HTTP protocol conversation success
377-30003,FTP over HTTP protocol conversation error
377-30003184,FTP over HTTP protocol conversation error - Unable to log on to the FTP server
377-30003185,FTP over HTTP protocol conversation error - The FTP service is not available
377-30003192,FTP over HTTP protocol conversation error - A line returned from the FTP server is too long
377-30003186,FTP over HTTP protocol conversation error - The FTP download failed
377-30003193,FTP over HTTP protocol conversation error - FTP upload failed
377-30003367,FTP over HTTP protocol conversation error - Error reading FTP directory listing data from the server
377-30003368,FTP over HTTP protocol conversation error - Error sending FTP directory listing data to the client
377-30003369,FTP over HTTP protocol conversation error - Unable to send FTP command to the server
377-30003370,FTP over HTTP protocol conversation error - Unable to read FTP response from the server
377-30003371,FTP over HTTP protocol conversation error - FTP server has returned an unexpected response code
377-30003372,FTP over HTTP protocol conversation error - Unable to parse the response from the FTP server
377-30003373,FTP over HTTP protocol conversation error - Unable to parse the passive port number from the FTP server response
377-30003374,FTP over HTTP protocol conversation error - Unable to establish an active FTP connection to the server
377-30003375,FTP over HTTP protocol conversation error - Unable to parse the returned FTP directory listing text
377-30003629,FTP over HTTP protocol conversation error - The passive port number from the FTP server response is forbidden
377-30004,FTP over HTTP protocol conversation was successful
377-30004194,FTP over HTTP protocol conversation was successful - FTP upload succeeded
377-30005,HTTP proxy error
377-30005392,HTTP proxy error - Input/output error
377-30005377,HTTP proxy error - Memory allocation error
377-30005398,HTTP proxy error - Error in download status page processing
377-30006,HTTP proxy configuration error
377-30006529,HTTP proxy configuration error - Unable to compile a regular expression
377-30006643,HTTP proxy configuration error - Unable to determine the authentication broker
377-30006660,HTTP proxy configuration error - Unable to open a required file
377-30006661,HTTP proxy configuration error - Unable to parse the configuration information
377-30007,Authentication action
377-30007639,Authentication action - The client is being redirected for authorization
377-30007644,Authentication action - Unable to parse the authorization cookie
377-30007645,Authentication action - The authorization cookie MD5 does not match
377-30007646,Authentication action - The authorization cookie version is invalid
377-30007647,Authentication action - The authorization cookie has expired
377-30007648,Authentication action - There are no cookies in the header
377-30007649,Authentication action - There are no authorization cookies in the header
377-30007650,Authentication action - No authorization cookies authenticated correctly
377-30007651,Authentication action - Received redirection from authentication broker
377-30007653,Authentication action - Error in the response from the authentication server
377-30007654,Authentication action - Redirect to original URL after successful authorization
377-30007655,Authentication action - Unable to handle an authentication handoff request
377-50002,Protocol conversation error
377-5000213,Protocol conversation error - Unrecognized Command
377-5000214,Protocol conversation error - Duplicate HELO
377-5000215,Protocol conversation error - Syntax Error
377-5000216,Protocol conversation error - Duplicate MAIL FROM
377-5000217,Protocol conversation error - MAIL FROM command was received after RCPT TO
377-5000218,Protocol conversation error - RCPT TO command was received before MAIL FROM
377-50002233,Protocol conversation error - STARTTLS after MAIL FROM
377-5000233,Protocol conversation error - DATA Command received before RCPT TO
377-5000219,Protocol conversation error - Invalid sender email address
377-50002182,Protocol conversation error - Invalid recipient email address
377-5000220,Protocol conversation error - From sender is postmaster
377-5000222,Protocol conversation error - Command is not implemented
377-50002198,Protocol conversation error - Postmaster address is invalid
377-50002205,Protocol conversation error - MAIL FROM Command received before HELO of EHLO
377-50002411,Protocol conversation error - DATA command received after BDAT
377-50002220,Protocol conversation error - MAIL FROM command received before mandatory STARTTLS
377-50002721,Protocol conversation error - Address masquerading error
377-50002875,Protocol conversation error - TLS is mandatory for the recipient
377-50002876,Protocol conversation error - TLS is forbidden for the recipient
377-50003,Denial-of-service check triggered
377-5000331,Denial-of-service check triggered - Maximum number of trivial commands has been exceeded
377-5000342,Denial-of-service check triggered - Command length exceeded a configured limit
377-50003103,Denial-of-service check triggered - Too many AUTH conversation commands
377-5000343,Denial-of-service check triggered - Average data throughput is lower than a  configured limit
377-5000321,Denial-of-service check triggered - Maximum number of recipients has been exceeded
377-5000345,Denial-of-service check triggered - Configuration limit has been exceeded. SMTP will return 421 until a QUIT is received
377-50004,DATA phase error
377-5000439,DATA phase error - Maximum email size exceeded
377-5000440,DATA phase error - Maximum line length exceeded
377-5000441,DATA phase error - Maximum number of hops exceeded
377-50005,Logging of the email status during processing
377-50005418,Transport log. Receive and first delivery - Email dropped. The server is no longer available
377-50005419,Transport log. Receive and first delivery - Email dropped. The client is no longer available
377-5000575,Transport log. Receive and first delivery - The email has been received
377-50005306,Transport log. Receive and first delivery - Email accepted and dropped
377-50005305,Transport log. Receive and first delivery - Email blocked with SMTP Code 550
377-50005420,Transport log. Receive and first delivery - Email blocked with SMTP Code 550. Connection closed
377-5000579,Transport log. Receive and first delivery - Email Rejected
377-5000578,Transport log. Receive and first delivery - Email Accepted
377-50005215,Transport log. Receive and first delivery - The email is deferred for scanning
377-50005214,Transport log. Receive and first delivery - The email is deferred for delivery after scanning
377-50005183,Transport log. Receive and first delivery - Retryer is attempting delivery
377-50005213,Transport log. Receive and first delivery - Retryer is attempting scan
377-50005506,Transport log. Receive and first delivery - The email has been rejected due to directory harvesting
377-50005702,Transport log. Receive and first delivery - DNS 'TXT' record lookup is done
377-50005703,Transport log. Receive and first delivery - Short circuit check performed
377-50005704,Transport log. Receive and first delivery - Behind MTA check performed
377-50005705,Transport log. Receive and first delivery - Sender authentication/Real-time Blackhole List check performed
377-50005706,Transport log. Receive and first delivery - Sender authentication/PTIN check performed
377-50005707,Transport log. Receive and first delivery - Sender authentication/SPF classic check performed
377-50005708,Transport log. Receive and first delivery - Sender authentication/SenderID check performed
377-50005709,Transport log. Receive and first delivery - Sender authentication/DKIM signature verification performed
377-5000583,Transport log. Receive and first delivery - Email Deferred
377-50005506,Transport log. Receive and first delivery - The email has been rejected due to directory harvesting
377-50005820,Transport log. Receive and first delivery - Forward confirmed reverse DNS checking
377-50006,Email Status
377-5000677,Email Status - Email Delivered
377-5000683,Email Status - Email Deferred
377-50006737,Email Status - The undeliverable email has been bounced
377-5000679,Email Status - Email Rejected
377-50006901,Email Status - The appliance is unable to deliver an email and configuration forbids sending an NDR
377-50006305,Email Status - Email blocked with SMTP Code 550
377-50006306,Email Status - Email accepted and dropped
377-50006420,Email Status - Email blocked with SMTP Code 550. Connection closed
377-5000684,Email Status - Email Deferred due to a response from the onward connection
377-5000686,Email Status - The email is deferred. Delivery has not been attempted
377-5000687,Email Status - The email is deferred. Timeout while attempting connection
377-5000688,Email Status - The email is deferred. Nothing listening on the remote address
377-5000689,Email Status - The email is deferred. Network is unreachable
377-50006115,Email Status - The undeliverable email has been bounced
377-50006116,Email Status - The undeliverable email has been bounced and dropped due to empty sender address
377-50006335,Email Status - The email has been bounced due to a loop back destination
377-50006309,Email Status - The bounced email has been dropped due to multiple bounces.
377-50006130,Email Status - Sender denied due to Real-time Blackhole List check
377-50006131,Email Status - Sender accepted and dropped due to Real-time Blackhole List check
377-50006132,Email Status - Sender denied due to Anti-spam deny list match for connecting IP address
377-50006133,Email Status - Sender accepted and dropped due to Anti-spam deny list match for connecting IP address
377-50006134,Email Status - Sender denied due to Anti-spam deny list match for sender email address
377-50006135,Email Status - Sender accepted and dropped due to Anti-spam deny list match for sender email address
377-50006124,Email Status - Recipient denied due to Anti-Relay deny list match
377-50006125,Email Status - Recipient denied. Not in Permit Relay list
377-50006126,Email Status - Recipient accepted and dropped. Denied by Anti-Relay
377-50006127,Email Status - Recipient accepted and dropped. Not in Permit Relay list
377-50006216,Email Status - Sender has been denied due to routing characters
377-50006217,Email Status - Sender accepted and dropped due to routing characters
377-50006128,Email Status - Recipient denied due to routing character
377-50006129,Email Status - Recipient accepted and dropped due to routing character
377-50006628,Email Status - The non-deliverable email has been bounced and dropped due to configuration
377-50006225,Email Status - SSL certificate error
377-50007,Denied by anti-relay
377-50007124,Denied by anti-relay - Recipient denied due to Anti-Relay deny list match
377-50007125,Denied by anti-relay - Recipient denied. Not in Permit Relay list
377-50007126,Denied by anti-relay - Recipient accepted and dropped. Denied by Anti-Relay
377-50007127,Denied by anti-relay - Recipient accepted and dropped. Not in Permit Relay list
377-50007128,Denied by anti-relay - Recipient denied due to routing character
377-50007129,Denied by anti-relay - Recipient accepted and dropped due to routing character
377-50007216,Denied by anti-relay - Sender has been denied due to routing characters
377-50007217,Denied by anti-relay - Sender accepted and dropped due to routing characters
377-50008,Sender authentication. Denied list triggered
377-50008253,Sender authentication. Denied list triggered - Accept and drop
377-50008254,Sender authentication. Denied list triggered - Reject
377-50008255,Sender authentication. Denied list triggered - Reject and close the connection
377-50008256,Sender authentication. Denied list triggered - Reject
377-50009,Delivery
377-50009136,Delivery - The email address is an Address Literal (that is
377-50009123,Delivery - The email address matched a domain relay delivery rule
377-500095124,Delivery - The email address matched a fallback relay delivery rule.
377-50009421,Delivery - The email address matched an LDAP delivery rule
377-50009137,Delivery - DNS 'MX' record lookup successful
377-50009138,Delivery - DNS 'A' record lookup successful
377-50009422,Delivery - Scanner hit email routed to policy based relay
377-50009423,Delivery - Allowed through email routed to policy based relay
377-50010,DNS lookup failed
377-50010199,DNS lookup failed - Non-existent domain
377-50010200,DNS lookup failed - No DNS 'MX' records
377-50010201,DNS lookup failed - Server Failure
377-50010202,DNS lookyouup failed - No DNS 'A' records
377-50011,Timeout occurred
377-5001138,Timeout occurred - Command timed out
377-5001144,Timeout occurred - DATA phase read time exceeded a configured limit
377-50012,Quarantine
377-50012307,Quarantine - Email delivered to quarantine
377-5001272,Quarantine - State of an object
377-50013,Sender authentication. Permit/deny list information
377-50013313,Sender authentication. Permit/deny list information - Due to permit list match
377-50014,Permitted by anti-relay rule
377-50014313,Permitted by anti-relay rule - Due to permit list match
377-50014315,Permitted by anti-relay rule - Due to Anti-Relay local list match
377-50014316,Permitted by anti-relay rule - Due to open relay
377-50015,Directory harvest check triggered
377-50015406,Directory harvest check triggered - No action because the client is in the permit list
377-50015407,Directory harvest check triggered - Tarpitting started
377-50015408,Directory harvest check triggered - Connection closed. Client address added to the deny list
377-50015409,Directory harvest check triggered - Connection closed
377-50015410,Directory harvest check triggered - Email deleted
377-50016,Anti-spam submission
377-50016500,Anti-spam submission - Submission triggered the anti-virus scanner. The email has been rejected
377-50016501,Anti-spam submission - Submission was incorrectly formatted. The email has been rejected
377-50019,User blacklist & whitelist error
377-50019107,User blacklist & whitelist error - Creation of an object has failed
377-50019328,User blacklist & whitelist error - Failed
377-50019591,User blacklist & whitelist error - Unable to take a local copy of the user blacklists & whitelists
377-50020,User blacklist & whitelist LDAP Error
377-50020531,User blacklist & whitelist LDAP Error - Protocol error
377-50020532,User blacklist & whitelist LDAP Error - Time limit exceeded
377-50020533,User blacklist & whitelist LDAP Error - Size limit exceeded
377-50020534,User blacklist & whitelist LDAP Error - Compare false
377-50020535,User blacklist & whitelist LDAP Error - Compare true
377-50020536,User blacklist & whitelist LDAP Error - Authentication method not supported
377-50020537,User blacklist & whitelist LDAP Error - Strong authentication required
377-50020538,User blacklist & whitelist LDAP Error - Partial results and referral received
377-50020539,User blacklist & whitelist LDAP Error - Referral
377-50020540,User blacklist & whitelist LDAP Error - Administration limit exceeded
377-50020541,User blacklist & whitelist LDAP Error - Critical extension is unavailable
377-50020542,User blacklist & whitelist LDAP Error - Confidentiality required
377-50020543,User blacklist & whitelist LDAP Error - SASL bind in progress
377-50020544,User blacklist & whitelist LDAP Error - No such attribute
377-50020545,User blacklist & whitelist LDAP Error - Undefined attribute type
377-50020546,User blacklist & whitelist LDAP Error - Inappropriate matching
377-50020547,User blacklist & whitelist LDAP Error - Constraint violation
377-50020548,User blacklist & whitelist LDAP Error - Type or value exists
377-50020549,User blacklist & whitelist LDAP Error - Invalid syntax
377-50020550,User blacklist & whitelist LDAP Error - No such object
377-50020551,User blacklist & whitelist LDAP Error - Alias problem
377-50020552,User blacklist & whitelist LDAP Error - Invalid DN syntax
377-50020553,User blacklist & whitelist LDAP Error - Is leaf
377-50020554,User blacklist & whitelist LDAP Error - Alias dereference problem
377-50020555,User blacklist & whitelist LDAP Error - Inappropriate authentication
377-50020556,User blacklist & whitelist LDAP Error - Invalid credentials
377-50020557,User blacklist & whitelist LDAP Error - Insufficient access
377-50020558,User blacklist & whitelist LDAP Error - Server is busy
377-50020530,User blacklist & whitelist LDAP Error - Operations error
377-50020559,User blacklist & whitelist LDAP Error - Server is unavailable
377-50020560,User blacklist & whitelist LDAP Error - Server is unwilling to perform
377-50020561,User blacklist & whitelist LDAP Error - Loop detect
377-50020562,User blacklist & whitelist LDAP Error - Naming violation
377-50020563,User blacklist & whitelist LDAP Error - Object class violation
377-50020564,User blacklist & whitelist LDAP Error - Not allowed on non-leaf
377-50020565,User blacklist & whitelist LDAP Error - Not allowed on RDN
377-50020566,User blacklist & whitelist LDAP Error - Already exists
377-50020567,User blacklist & whitelist LDAP Error - No object class mods
377-50020568,User blacklist & whitelist LDAP Error - Results too large
377-50020569,User blacklist & whitelist LDAP Error - Affects multiple DSAS
377-50020570,User blacklist & whitelist LDAP Error - Other
377-50020571,User blacklist & whitelist LDAP Error - Cannot contact LDAP server
377-50020572,User blacklist & whitelist LDAP Error - Local error
377-50020573,User blacklist & whitelist LDAP Error - Encoding error
377-50020574,User blacklist & whitelist LDAP Error - Decoding error
377-50020575,User blacklist & whitelist LDAP Error - Timeout
377-50020576,User blacklist & whitelist LDAP Error - Unknown authentication method
377-50020577,User blacklist & whitelist LDAP Error - Search filter error
377-50020578,User blacklist & whitelist LDAP Error - User cancelled
377-50020579,User blacklist & whitelist LDAP Error - Parameter error
377-50020580,User blacklist & whitelist LDAP Error - Out of memory
377-50020581,User blacklist & whitelist LDAP Error - Connect error
377-50020582,User blacklist & whitelist LDAP Error - Not supported
377-50020583,User blacklist & whitelist LDAP Error - Control not found
377-50020584,User blacklist & whitelist LDAP Error - No results returned
377-50020585,User blacklist & whitelist LDAP Error - More results to return
377-50020586,User blacklist & whitelist LDAP Error - Client loop
377-50020587,User blacklist & whitelist LDAP Error - Referral limit exceeded
377-50021,Recipient delivery state
377-5002172,Recipient delivery state - State of an object
377-50022,Logging of the email status during McAfee Quarantine Manager processing
377-50022604,Transport log. McAfee Quarantine Manager - The email has been sent to McAfee Quarantine Manager
377-50022605,Transport log. McAfee Quarantine Manager - The email is deferred. McAfee Quarantine Manager failure
377-50022606,Transport log. McAfee Quarantine Manager - The email has been received from McAfee Quarantine Manager for delivery
377-50022602,Transport log. McAfee Quarantine Manager - Email deleted after exceeding maximum retry period
377-50023,Reputation service triggered
377-50023250,Reputation service triggered - Allow through action
377-50023251,Reputation service triggered - Tarpit
377-50023252,Reputation service triggered - Add a score
377-50023253,Reputation service triggered - Accept and drop
377-50023254,Reputation service triggered - Reject
377-50023255,Reputation service triggered - Reject and close the connection
377-50023256,Reputation service triggered - Reject
377-50024,Reputation service lookup failed
377-50024218,Reputation service lookup failed - Unable to sign query
377-50024219,Reputation service lookup failed - Unable to make query
377-50025,Transport Layer Security (TLS)
377-50025231,Transport Layer Security (TLS) - TLS used to receive email
377-50025232,Transport Layer Security (TLS) - TLS used to send email
377-50026,SMTP temporary error
377-50026235,SMTP temporary error - SMTP Response To Client
377-50026236,SMTP temporary error - SMTP Response From Server
377-50026237,SMTP temporary error - SMTP Connection Closed
377-50027,SMTP permanent error
377-50027235,SMTP permanent error - SMTP Response To Client
377-50027236,SMTP permanent error - SMTP Response From Server
377-50027237,SMTP permanent error - SMTP Connection Closed
377-50028,Cumulative threshold exceeded
377-50028250,Cumulative threshold exceeded - Allow through action
377-50028251,Cumulative threshold exceeded - Tarpit
377-50028252,Cumulative threshold exceeded - Add a score
377-50028253,Cumulative threshold exceeded - Accept and drop
377-50028254,Cumulative threshold exceeded - Reject
377-50028255,Cumulative threshold exceeded - Reject and close the connection
377-50028256,Cumulative threshold exceeded - Reject
377-50028407,Cumulative threshold exceeded - Tarpitting started
377-50029,Sender Policy Framework (SPF) initialization failed
377-50029242,Sender Policy Framework (SPF) initialization failed - Missing or invalid IP address
377-50029243,Sender Policy Framework (SPF) initialization failed - Missing or invalid Sender address
377-50029244,Sender Policy Framework (SPF) initialization failed - Missing or invalid HELO
377-50029247,Sender Policy Framework (SPF) initialization failed - Missing or invalid data
377-50029246,Sender Policy Framework (SPF) initialization failed - SPF request failed
377-50029248,Sender Policy Framework (SPF) initialization failed - SPF Explanation for failed request
