EventSubTypeId,EventDescription
835,File approved (cache consistency)
836,File approved (system update)
837,Execution prompt block (unapproved file)
838,Execution prompt allowed (unapproved file)
839,Execution block (prompt timeout)
840,File approved (reputation)
841,Execution allowed (inactive)
842,Carbon Black watchlist
1000,New publisher found
1001,File group created
1002,File group created
1003,New unapproved file to computer
1004,Banned file written to computer
1005,New file on network
1006,Process demoted
1007,First execution on network
1008,New device found
1009,Device attached
1010,Device detached
1011,Certificate revocation
1012,New certificate on network
1013,Certificate added
1014,Certificate checked
1099,External notification
1200,Potential risk file detected
1201,Malicious file detected
1101,Alert created
1102,Alert deleted
1103,Alert modified
1104,Alert triggered
1105,Alert reset
1106,Baseline drift report created
1107,Baseline drift report modified
1108,Baseline drift report deleted
1109,Baseline drift report generated
1110,Snapshot created
1111,Snapshot modified
1112,Snapshot deleted
1113,Baseline drift report generation is slow
1114,Event rule created
1115,Event rule modified
1116,Event rule deleted
1300,Status update
1301,***RESERVED***
1302,Internal Agent error
1303,Internal Server error
1304,Internal Agent debug information
1305,Internal Agent information
1306,Initialization access error
1307,Internal database error
1308,Internal trusted directory status
1309,Internal user approval request
1310,Internal CL counts
1311,File reputation
1312,Bit9 Software Reputation Service error
1313,Console tampering prevented
1314,Internal CL Processing
