type,region,timeunit,rate,currency
pd-ssd,us-west3,gibibyte month,0.204,USD
pd-balanced,us-west3,gibibyte month,0.204,USD
pd-balanced,us-central1,gibibyte month,0.1,USD
pd-balanced,us-central2,gibibyte month,0.1,USD
pd-balanced,us-east1,gibibyte month,0.1,USD
pd-balanced,us-west1,gibibyte month,0.1,USD
pd-balanced,asia-east1,gibibyte month,0.1,USD
pd-balanced,europe-west1,gibibyte month,0.1,USD
pd-ssd,europe-west6,gibibyte month,0.221,USD
pd-balanced,europe-west6,gibibyte month,0.221,USD
pd-ssd,asia-northeast1,gibibyte month,0.221,USD
pd-balanced,asia-northeast1,gibibyte month,0.221,USD
pd-ssd,us-east4,gibibyte month,0.187,USD
pd-balanced,us-east4,gibibyte month,0.187,USD
pd-standard,europe-west3,gibibyte month,0.048,USD
local-ssd,southamerica-west1,gibibyte month,0.1144,USD
pd-standard,us-south1,gibibyte month,0.0472,USD
local-ssd,asia-south2,gibibyte month,0.096,USD
pd-standard,asia-south2,gibibyte month,0.048,USD
pd-ssd,southamerica-west1,gibibyte month,0.2431,USD
pd-balanced,southamerica-west1,gibibyte month,0.2431,USD
pd-ssd,europe-west8,gibibyte month,0.1972,USD
pd-balanced,europe-west8,gibibyte month,0.1972,USD
local-ssd,me-west1,gibibyte month,0.088,USD
pd-standard,us-east4,gibibyte month,0.044,USD
pd-ssd,europe-central2,gibibyte month,0.204,USD
pd-balanced,europe-central2,gibibyte month,0.204,USD
local-ssd,europe-west9,gibibyte month,0.0928,USD
local-ssd,us-east5,gibibyte month,0.08,USD
pd-ssd,asia-south2,gibibyte month,0.204,USD
pd-balanced,asia-south2,gibibyte month,0.204,USD
pd-standard,northamerica-northeast1,gibibyte month,0.044,USD
pd-standard,northamerica-northeast2,gibibyte month,0.044,USD
pd-standard,southamerica-west1,gibibyte month,0.0572,USD
pd-standard,asia-northeast1,gibibyte month,0.052,USD
pd-standard,us-west4,gibibyte month,0.044,USD
pd-standard,me-west1,gibibyte month,0.044,USD
local-ssd,asia-northeast2,gibibyte month,0.104,USD
local-ssd,southamerica-east1,gibibyte month,0.12,USD
local-ssd,asia-northeast1,gibibyte month,0.104,USD
pd-standard,europe-west4,gibibyte month,0.044,USD
pd-ssd,europe-southwest1,gibibyte month,0.2006,USD
pd-balanced,europe-southwest1,gibibyte month,0.2006,USD
local-ssd,europe-central2,gibibyte month,0.096,USD
pd-ssd,us-central1,gibibyte month,0.17,USD
pd-ssd,us-east1,gibibyte month,0.17,USD
pd-ssd,us-west1,gibibyte month,0.17,USD
pd-ssd,asia-east1,gibibyte month,0.17,USD
pd-ssd,europe-west1,gibibyte month,0.17,USD
pd-ssd,australia-southeast1,gibibyte month,0.23,USD
pd-balanced,australia-southeast1,gibibyte month,0.23,USD
pd-standard,australia-southeast2,gibibyte month,0.054,USD
local-ssd,northamerica-northeast2,gibibyte month,0.088,USD
pd-ssd,northamerica-northeast2,gibibyte month,0.187,USD
pd-balanced,northamerica-northeast2,gibibyte month,0.187,USD
pd-ssd,northamerica-northeast1,gibibyte month,0.187,USD
pd-balanced,northamerica-northeast1,gibibyte month,0.187,USD
pd-standard,europe-west2,gibibyte month,0.048,USD
pd-standard,us-west2,gibibyte month,0.048,USD
local-ssd,us-west3,gibibyte month,0.096,USD
pd-ssd,asia-southeast1,gibibyte month,0.187,USD
pd-balanced,asia-southeast1,gibibyte month,0.187,USD
pd-standard,europe-north1,gibibyte month,0.044,USD
pd-ssd,us-west4,gibibyte month,0.187,USD
pd-balanced,us-west4,gibibyte month,0.187,USD
pd-standard,europe-west8,gibibyte month,0.0464,USD
pd-standard,asia-southeast2,gibibyte month,0.052,USD
local-ssd,us-west2,gibibyte month,0.096,USD
pd-standard,us-central1,gibibyte month,0.04,USD
pd-standard,us-east1,gibibyte month,0.04,USD
pd-standard,us-west1,gibibyte month,0.04,USD
pd-standard,asia-east1,gibibyte month,0.04,USD
pd-standard,europe-west1,gibibyte month,0.04,USD
pd-ssd,us-south1,gibibyte month,0.2006,USD
pd-balanced,us-south1,gibibyte month,0.2006,USD
pd-standard,southamerica-east1,gibibyte month,0.06,USD
pd-standard,europe-west9,gibibyte month,0.0464,USD
pd-standard,europe-southwest1,gibibyte month,0.0472,USD
local-ssd,asia-southeast2,gibibyte month,0.09592,USD
pd-standard,us-east5,gibibyte month,0.04,USD
local-ssd,europe-west4,gibibyte month,0.088,USD
local-ssd,europe-west6,gibibyte month,0.104,USD
local-ssd,asia-southeast1,gibibyte month,0.088,USD
pd-standard,us-west3,gibibyte month,0.048,USD
pd-ssd,asia-south1,gibibyte month,0.204,USD
pd-balanced,asia-south1,gibibyte month,0.204,USD
