ThreatModelName,CIM_models,DLP_Incident.action,DLP_Incident.category,DLP_Incident.object,DLP_Incident.Object_category,All_Changes.Change_Type,All_Changes.Object_category,,src_user_category,user_priority,,,
Abnormal computer behavior: unusual amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal DNS reverse lookup requests to different IPs,Alerts,,,,,,,,,,,,
Abnormal executive behavior: accumulative increase in amount of files with denied access across executive accounts,DLP_Incidents,,Access denied,,Files,,,,Executive,High,,,
"Abnormal executive behavior: accumulative increase in amount of script, configuration and backup files accessed across executive accounts",Alerts,,,,,,,,Executive,High,,,
Abnormal executive behavior: unusual amount of files with denied access across executive accounts,DLP_Incidents,,Access denied,,Files,,,,Executive,High,,,
"Abnormal executive behavior: unusual amount of script, configuration and backup files accessed",Alerts,,,,,,,,Executive,High,,,
Abnormal service behavior: a dormant service account was reactivated,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: access to atypical files,DLP_Incidents,,Atypical data,,Files,,,,Service,High,,,
Abnormal service behavior: access to atypical folders,DLP_Incidents,,Atypical data,,Files,,,,Service,High,,,
Abnormal service behavior: access to atypical folders containing GDPR data,DLP_Incidents,,GDPR,,Files,,,,Service,High,,,
Abnormal service behavior: access to atypical mailboxes,DLP_Incidents,,e-mail,,e-mails,,,,Service,High,,,
Abnormal service behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: accumulative increase in lockouts across service accounts,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: accumulative increase in lockouts for individual service accounts,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: atypical access to platform from geolocation,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: atypical actions performed on mailbox owned by other users,DLP_Incidents,,e-mail,,e-mails,,,,Service,High,,,
Abnormal service behavior: atypical failure to access data,DLP_Incidents,,Access failure,,Files,,,,Service,High,,,
Abnormal service behavior: service account attempted to access a personal device for the first time,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: service account logged on to a personal device for the first time,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: unusual amount of devices accessed,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: unusual amount of logons to personal devices,Alerts,,,,,,,,Service,High,,,
Abnormal service behavior: unusual amounts of lockouts across service accounts,Alerts,,,,,,,,Service,High,,,
Abnormal user behavior: password reset by an administrator followed by access to a computer other than the userâ€™s personal computer,Alerts,,,,,,,,Admin,High,,,
Abnormal user behavior: password reset by an administrator followed by access to a computer to which the user does not normally access,Alerts,,,,,,,,Admin,High,,,
Access to an unusual number of idle GDPR files,DLP_Incidents,,GDPR,,Files,,,,,Low,,,
Administrative or service account disabled or deleted,"Alerts, All_Changes.Account_Management",,,,,Directory Services,User,,Admin/Service,High,,,
Administrative or service account reset,"Alerts, All_Changes.Account_Management",,,,,Directory Services,User,,Admin/Service,High,,,
Creation: automatic forwarding of incoming messages on mailbox,"Alerts, All_Changes",,,,,email,,,,Low,,,
Credentials stuffing attack from an external source,Alerts,,,,,,,,,Low,,,
Crypto activity detected,Alerts,,,,,,,,,Low,,,
Data exfiltration via DNS tunneling,Alerts,,,,,,,,,Low,,,
"Deletion: Active Directory containers, Foreign Security Principal, or GPO","Alerts, All_Changes.Account_Management",,,,,Directory Services,AD object,,,Low,,,
Deletion: Multiple directory service objects,"Alerts, All_Changes.Account_Management",,,,,Directory Services,AD object,,,Low,,,
DNS cache poisoning (birthday attack),Alerts,,,,,,,,,Low,,,
DNS cache snooping attack,Alerts,,,,,,,,,Low,,,
Encryption downgrade attack,Alerts,,,,,,,,,Low,,,
Encryption of multiple files,Alerts,,,,,,,,,Low,,,
Executive account locked-out/disabled/deleted/password reset,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,User,,,Low,,,
Exploitation software accessed,Alerts,,,,,,,,,Low,,,
Exploitation software created or modified,Alerts,,,,,,,,,Low,,,
Failed privilege escalation was detected via vulnerability in Kerberos,Alerts,,,,,,,,,Low,,,
File encrypted by ransomware,Alerts,,,,,,,,,Low,,,
Immediate pattern detected: user actions resemble ransomware,Alerts,,,,,,,,,Low,,,
Lockout: Multiple accounts locked out,Alerts,,,,,,,,,Low,,,
Low and slow increase in number of idle GDPR files accessed,DLP_Incidents,,GDPR,,,,,,,Low,,,
Membership changes: admin groups,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,Group,,,Low,,,
Membership Changes: Service Accounts,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,Group,,,Low,,,
Modification: Critical GPOs,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,AD object,,,Low,,,
Modification: Critical Organizational Units,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,AD object,,,Low,,,
Modification: GPO Security Settings,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,AD object,,,Low,,,
Modification: Hosts file,Alerts,,,,,,,,,Low,,,
Operation on a penetration testing or hacking tool failed,Alerts,,,,,,,,,Low,,,
Operation on a security tool failed,Alerts,,,,,,,,,Low,,,
Operation on a system administration tool failed,Alerts,,,,,,,,,Low,,,
Operation on an exploitation tool failed,Alerts,,,,,,,,,Low,,,
Past ransomware activity indicated by a residual ransomware note,Alerts,,,,,,,,,Low,,,
Penetration testing and hacking tools accessed,Alerts,,,,,,,,,Low,,,
Penetration testing and hacking tools created or modified,Alerts,,,,,,,,,Low,,,
Permission changes on OU,"Alerts, All_Changes.Account_Management ",,,,,Directory Services,Permissions,,,Low,,,
Permission changes: Global Access Groups added to folder with significant GDPR data,"Alerts, All_Changes.Account_Management ",,,,,filesystem,Permissions,,,Low,,,
Permission changes: global access groups added/removed,"Alerts, All_Changes.Account_Management ",,,,,filesystem,Permissions,,,Low,,,
Permissions granted directly to user in directory services,"Alerts, All_Changes.Account_Management ",,,,,filesystem ,Permissions,,,Low,,,
Permissions granted directly to user in Windows file system,"Alerts, All_Changes.Account_Management ",,,,,filesystem ,Permissions,,,Low,,,
Potential brute-force attack targeting a specific account,Alerts,,,,,,,,,Low,,,
Potential identity theft based on downgraded encryption,Alerts,,,,,,,,,Low,,,
Rapid brute-force attack targeting a specific account,Alerts,,,,,,,,,Low,,,
Reconnaissance using DNS Zone Transfer,Alerts,,,,,,,,,Low,,,
Security certificate activity by non-administrators,Alerts,,,,,,,,,Low,,,
Security tools accessed,Alerts,,,,,,,,,Low,,,
Security tools created or modified,Alerts,,,,,,,,,Low,,,
Successful brute-force attack targeting a specific account,Alerts,,,,,,,,,Low,,,
Successful login to an application by a user with a disabled Active Directory account,Alerts,,,,,,,,,Low,,,
Successful login to an application by a user with a disabled Active Directory account,Alerts,,,,,,,,,Low,,,
Successful privilege escalation was detected via vulnerability in Kerberos,Alerts,,,,,,,,,Low,,,
Suspected ransomware intrusion activity,Alerts,,,,,,,,,Low,,,
Suspicious access activity: non-admin access to files containing credentials,Alerts,,,,,,,,Non-admin,Low,,,
Suspicious access activity: non-admin access to startup files and scripts,Alerts,,,,,,,,Non-admin,Low,,,
Suspicious access activity: non-admin access to system binaries in non-system locations,Alerts,,,,,,,,Non-admin,Low,,,
Suspicious access activity: service account access to file containing credentials,Alerts,,,,,,,,,Low,,,
Suspicious mailbox activity: multiple messages marked as unread by user other than the mailbox owner,Alerts,,,,,,,,,Low,,,
System administration tools accessed,Alerts,,,,,,,,,Low,,,
System administration tools created or modified,Alerts,,,,,,,,,Low,,,
Unusual number of GDPR files deleted or modified,DLP_Incidents,,GDPR,,Files,,,,,Low,,,
Unusual number of GDPR files with denied access,DLP_Incidents,,GDPR,,Files,,,,,Low,,,
,,,,,,,,,,,,,
Abnormal admin behavior: accumulative increase in the number of authentications to devices by admin account,Alerts,,,,,,,,,High,,,
Abnormal admin behavior: accumulative increase in the number of authentications to personal devices by admin account,Alerts,,,,,,,,,High,,,
Abnormal admin behavior: activity from new geolocation,Alerts,,,,,,,,,,,,
Abnormal admin behavior: unusual number of authentications to devices by admin account,Alerts,,,,,,,,,,,,
Abnormal admin behavior: unusual number of authentications to personal devices by admin account,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in the number of account authentications to personal devices by end-user account,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase in the number of authentications to devices by end-user account,Alerts,,,,,,,,,,,,
Abnormal behavior: accumulative increase of lockouts for individual end-user accounts,Alerts,,,,,,,,,,,,
Abnormal behavior: an unusual amount of data was uploaded to an external website after accessing GDPR data,DLP_Incidents,,GDPR,,Files,,,,,Low,,,
Abnormal behavior: an unusual amount of data was uploaded to an external website after accessing sensitive data,DLP_Incidents,,Sensitive,,,,,,,,,,
Abnormal behavior: an unusual amount of data was uploaded to email websites,DLP_Incidents,,e-mail,,,,,,,,,,
Abnormal behavior: an unusual amount of data was uploaded to email websites after accessing GDPR data,DLP_Incidents,,GDPR,,Files,,,,,Low,,,
Abnormal behavior: an unusual amount of data was uploaded to email websites after accessing sensitive data,DLP_Incidents,,Sensitive,,Files,,,,,Low,,,
Abnormal behavior: an unusual amount of data was uploaded to external websites,DLP_Incidents,,,,,,,,,,,,
Abnormal behavior: unreasonable GEO hopping,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of devices accessed (Duplicate),Alerts,,,,,,,,,,,,
Abnormal behavior: unusual amount of failed DNS Queries,Alerts,,,,,,,,,Low,,,
Abnormal behavior: unusual number of authentications to devices by end-user account,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual number of authentications to personal devices by end-user account,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual number of emails sent to an individual recipient outside the company,Alerts,,,,,,,,,,,,
Abnormal behavior: Unusual number of file deletions,DLP_Incidents,,Delete,,,,,,,,,,
Abnormal computer behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal computer behavior: unusual amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal Domain Controller password change: potential Zerologon vulnerability breach,Alerts,,,,,,,,,,,,
Abnormal service behavior: access to atypical mailboxes,DLP_Incidents,,,,,,,,,,,,
Abnormal service behavior: accumulative increase in amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal service behavior: atypical access to platform from geolocation,Alerts,,,,,,,,,,,,
Abnormal service behavior: Atypical actions performed on mailbox owned by other users,Alerts,,,,,,,,,,,,
Abnormal service behavior: First-time access to the internet,Alerts,,,,,,,,,,,,
Abnormal service behavior: Service account attempted to access a personal device for the first time,Alerts,,,,,,,,,,,,
Abnormal service behavior: Service account logged on to a personal device for the first time,Alerts,,,,,,,,,,,,
Abnormal service behavior: unusual amount of devices accessed,Alerts,,,,,,,,,,,,
Abnormal service behavior: unusual amount of logons to personal devices,Alerts,,,,,,,,,,,,
Abnormal user behavior: password reset by an administrator followed by an initial access to a computer other than the userâ€™s personal computer,Alerts,,,,,,,,,,,,
Abnormal user behavior: password reset by an administrator followed by an initial access to a computer to which the user does not normally access,Alerts,,,,,,,,,,,,
Access to a suspicious URL using an atypical user agent,Alerts,,,,,,,,,,,,
Account enumeration attack from a single source (using KERBEROS),Alerts,,,,,,,,,,,,
Account enumeration attack from a single source (using NTLM),Alerts,,,,,,,,,,,,
Activity performed by Admin user from a non-corporate IP address,Alerts,,,,,,,,,,,,
Administrative account was enabled,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
Administrative or Service Account Disabled or Deleted,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
Administrative or Service Account Reset,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
An operation on a tool commonly used by system administratorsÂ failed,Alerts,,,,,,,,,,,,
An RDP connection was made via VPN to an atypical device,Alerts,,,,,,,,,,,,
Atypical account connecting directly to a DC,Alerts,,,,,,,,,,,,
Creation: automatic forwarding of incoming messages on mailbox,DLP_Incidents,,,,,,,,,,,,
Data Exfiltration via DNS tunneling,Alerts,,,,,,,,,,,,
DNS cache poisoning (Birthday attack),Alerts,,,,,,,,,,,,
DNS Cache Snooping attack,Alerts,,,,,,,,,,,,
Domain Generation Algorithm (DGA) identified,Alerts,,,,,,,,,,,,
GDPR data was shared publicly,DLP_Incidents,,GDPR,,,,,,,,,,
GDPR data was shared with everyone in the organization,DLP_Incidents,,GDPR,,,,,,,,,,
Health check #1: Any Event On Single Day,N/A,,,,,,,,,,,,
Health check #2: Periodic Aggregations Preservation.,N/A,,,,,,,,,,,,
Health check #3: Any Event Over Period.,N/A,,,,,,,,,,,,
Kerberos delegation to a user was identified,Alerts,,,,,,,,,,,,
Lockout: Multiple account lock-out events,Alerts,,,,,,,,,,,,
Logon from Blacklisted IP,Alerts,,,,,,,,,,,,
Modification: Permissions added or changed on an executive account mailbox,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
Non-admin account was granted elevated privileges via AdminSDHolder,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
Old ransomware note was found in the system,Alerts,,,,,,,,,,,,
Password-spraying attack from a single source,Alerts,,,,,,,,,,,,
Password-spraying attack to several admin accounts from a single device,Alerts,,,,,,,,,""",IDS_Attacks""",,,Varonis DatAlert Directory Services
Permissions granted directly to user in a file system,DLP_Incidents,,,,,,,,,,,,
Permissions granted to Global Access Groups,DLP_Incidents,,,,,,,,,,,,
Potential Brute Force attack targeting a specific account,Alerts,,,,,,,,,,,,
Potential DCShadow attack,Alerts,,,,,,,,,,,,
Potential malicious file download was detected,Alerts,,,,,,,,,,,,
Potential malware infection: dropper identified,Alerts,,,,,,,,,,,,
Potential Pass-the-Ticket attack,Alerts,,,,,,,,,,,,
Potential phishing attack: Access to a risky site where the domain name includes unusual characters,Alerts,,,,,,,,,,,,
Potential privilege escalation was detected via vulnerability in Kerberos,Alerts,,,,,,,,,,,,
Potential ticket harvesting attack,Alerts,,,,,,,,,,,,
Privilege escalation to domain admin by user with Exchange mailbox,Alerts,,,,,,,,,""",IDS_Attacks""",,,Varonis DatAlert Directory Services
Privileged escalation using SID-History modification,Alerts,,,,,,,,,,,,
SQL code injection identified,Alerts,,,,,,,,,,,,
Successful authentication using a penetration tool,Alerts,,,,,,,,,,,,
Successful Brute Force attack targeting a specific account,Alerts,,,,,,,,,,,,
Successful logins by a specific account from multiple IPs,Alerts,,,,,,,,,,,,
Suspicious access activity: Service account access to file containing credentials,Alerts,,,,,,,,,,,,
Suspicious email: an email was received with a suspected malicious attachment,Alerts,,,,,,,,,,,,
Unusual amount of files was shared publicly,DLP_Incidents,,,,Files,,,,,,,,
Unusual number of files shared with external users,DLP_Incidents,,,,Files,,,,,,,,
Unusual number of sensitive files shared with external users,DLP_Incidents,,Sensitive,,Files,,,,,,,,
Unusual volume of data shared with external users,DLP_Incidents,,,,Files,,,,,,,,
Unusual volume of data was shared publicly,DLP_Incidents,,,,Files,,,,,,,,
Vulnerability created: SPN created for an admin account,"Alerts, All_Changes.Account_Management ",,,,,,,,,,,,
XSS code injection identified,Alerts,,,,,,,,,Low,,,
Abnormal admin behavior: accumulative increase in the number of authentications to primary device by admin account,Alerts,,,,,,,,Admin,,,,
Abnormal admin behavior: activity from stale geolocation,Alerts,,,,,,,,Admin,,,,
Abnormal admin behavior: unusual number of authentications to primary device by admin account,Alerts,,,,,,,,Admin,,,,
Abnormal behavior: A service was installed on a Domain Controller from a remote device,Alerts,,,,,,,,Service,,,,
Abnormal behavior: accumulative increase in the number of account authentications to primary device by end-user account,Alerts,,,,,,,,,,,,
Abnormal behavior: activity from stale geolocation to the organization,Alerts,,,,,,,,,,,,
Abnormal behavior: unusual number of authentications to primary device by end-user account,Alerts,,,,,,,,,,,,
Abnormal Domain Controller password change,Alerts ,,,,,,,,,,,,
Abnormal service behavior: unusual amount of logons to primary device,Alerts,,,,,,,,Service,,,,
Abnormal user behavior: password reset by an administrator followed by an initial access to a computer other than the user’s personal computer,Alerts,,,,,,,,,,,,
Account enumeration attack from a single external IP,Alerts,,,,,,,,,,,,
Activity on known nefarious files,Alerts,,,,,,,,,,,,
An operation on a tool commonly used by system administrators failed,Alerts,,,,,,,,,,,,
Domain controller audit log was cleared,Alerts,,,,,,,,,,,,
GDPR data was exposed to anyone,DLP_Incidents,,GDPR,,Files,,,,,,,,
GDPR data was exposed to the entire organization,DLP_Incidents,,GDPR,,Files,,,,,,,,
Password-spraying attack from an external source,Alerts,,,,,,,,,,,,
Potential DCSync attack,Alerts,,,,,,,,,,,,
Service account attempted to access a new device,Alerts,,,,,,,,Service,,,,
Service account attempted to authenticate to a new device,Alerts,,,,,,,,Service,,,,
Traffic to nefarious domains and URLs,Alerts,,,,,,,,,,,,
Unusual amount of files exposed to anyone,DLP_Incidents,,Atypical data,,Files,,,,,,,,
Unusual volume of data exposed to anyone,DLP_Incidents,,Atypical data,,,,,,,,,,
