log_type,msg_type,category,msg_description,msg_format
EVENT,CACHESTOPFLUSH,INFO,When cache flush is complete,"""%s"""
EVENT,MONITORTH,INFO,The monitor bound to the service has hit threshold limit,"""%s"""
EVENT,MONITORDOWN,INFO,The monitor bound to the service is down.,"""%s"""
EVENT,MONITORUP,INFO,The monitor bound to the service is up.,"""%s"""
EVENT,STARTSAVECONFIG,INFO,When save configuration started,"""%s"""
EVENT,STOPSAVECONFIG,INFO,When save configuration has stopped,"""%s"""
EVENT,CONFIGSTART,INFO,When NetScaler starts to read the configuration from ns.conf file (during boot-up),"""%s"""
EVENT,CONFIGEND,INFO,When NetScaler has completed reading the configuration from ns.conf file (during boot-up),"""%s"""
EVENT,NICLACPSC,NOTICE,,"""%s"""
EVENT,NICLOW_THROUGHPUT,NOTICE,,"""%s"""
EVENT,NICNORMAL_THROUGHPUT,NOTICE,,"""%s"""
EVENT,UNKNOWN,DEBUG,LACP (Link aggregation control protocol) related events,"""%s"""
SSLLOG,SSL_HANDSHAKE_FAILURE,DEBUG,SSL Handshake failed,"""ClientIP%s-ClientPort%d-""\""VserverServiceIP%s-VserverServicePort%d-""\""ClientVersion%s-CipherSuite\""%s\""-""\""Reason\""%s\"""""
SSLLOG,SSL_HANDSHAKE_SUCCESS,DEBUG,SSL Handshake succeded,"""ClientIP%s-ClientPort%d-""\""VserverServiceIP%s-VserverServicePort%d-""\""ClientVersion%s-CipherSuite\""%s\""-""\""Session%s"""
SSLLOG,SSL_CERT_EXPIRY_IMMINENT,NOTICE,SSL Certificate is going to expire soon.The message indicates the date on which the SSL certificate will expire,"""CertificateKeyPair%s-DaysToExpire%u"""
APPFW,APPFW_STARTURL,INFO,AppFw StartURL violation,"""%s%sDisallowIllegalURL:%s%s"""
APPFW,APPFW_DENYURL,INFO,AppFw DenyURL violation,"""%s%sDisallowDenyURL:%s%s"""
APPFW,APPFW_XSS,INFO,AppFw XSS violation,"""%s%s%sCross-sitescriptcheckfailedfor%s=\""%s\""%s"""
APPFW,APPFW_SQL,INFO,AppFw SQL Injection violation,"""%s%s%sSQLKeywordcheckfailedfor%s=\""%s\""%s"""
APPFW,APPFW_COOKIE,INFO,AppFw Cookie violation,"""%s%s%sCookievalidationfailedfor%s%s"""
APPFW,APPFW_FIELDCONSISTENCY,INFO,AppFw Field Consistency violation,"""%s%s%sFieldconsistencycheckfailedforfield%s=\""%s\""%s"""
APPFW,APPFW_BUFFEROVERFLOW_URL,INFO,AppFw Buffer Overflow violation in URL,"""%s%sURLlength(%d)isgreaterthanmaximumallowed(%d):%s%s"""
APPFW,APPFW_BUFFEROVERFLOW_COOKIE,INFO,AppFw Buffer Overflow violation in Cookie,"""%s%sCookieheaderlength(%d)isgreaterthanmaximumallowed(%d):%s%s"""
APPFW,APPFW_BUFFEROVERFLOW_HDR,INFO,AppFw Buffer Overflow violation in HTTP Headers,"""%s%sHeader(%s)length(%d)isgreaterthanmaximumallowed(%d):%s%s"""
APPFW,APPFW_FIELDFORMAT,INFO,AppFw Field Format violation,"""%s%s%sFieldformatcheckfailedforfield%s=\""%s\""%s"""
APPFW,APPFW_SAFECOMMERCE,INFO,AppFw Safe Commerce violation,"""%s%s%sCreditCardinternalerror(%d)whilematching...takingprecautionaryaction%s"""
APPFW,APPFW_SAFECOMMERCE_XFORM,INFO,AppFw Safe Commerce violation detected and transformed,"""%s%s%sTransformed(xout)potentialcreditcardnumbersseeninserverresponse"""
APPFW,APPFW_SAFEOBJECT,INFO,AppFw Safe Object violation,"""%s%s%sSafeObjectinternalerror(%d)whilematching...takingprecautionaryaction:%s%s"""
APPFW,AF_BIND_TO_PROFILE,INFO,Bind Appfw Profile,"""Profile:%s"
APPFW,AF_ADD_FIELDTYPE,INFO,Add an AppFw Field Type,"""FieldType:%s"
APPFW,AF_ADD_PROFILE,INFO,Add an AppFw profile,"""Profile:%s\n"""
APPFW,AF_RM_FIELDTYPE,INFO,Remove an Appfw Field Type,"""FieldType:%s"
APPFW,AF_RM_PROFILE,INFO,Remove an AppFw profile,"""Profile:%s\n"""
APPFW,AF_ADD_CFFIELD,INFO,Add a confidential field,"""FieldName:%s"
APPFW,AF_RM_CFFIELD,INFO,Remove a confidential field,"""FieldName:%s"
APPFW,AF_400_RESP,INFO,AppFw Request error. Generated 400 Response,"""%s\""Unabletoparseheaders\"""""
APPFW,AF_MEMORY_ERR,INFO,Memory allocation request for %lu bytes failed,"""Memoryallocationrequestfor%lubytesfailed.CallstackPCs:"""
TCP,CONN_DELINK,INFO,When a server side and a client side TCP connection is delinked.These are the connections which are being tracked by netscaler like HTTP,"""Source%s:%d-Vserver%s:%d-Nat%s:%d-""""Destination%s:%d-DelinkTime%s-Total_bytes_send%llu-""""Total_bytes_recv%llu"""
TCP,CONN_TERMINATE,INFO,When a TCP connection terminates.The logged data indicates the number of bytes transmitted and received over the connection and also the connection start and end time,"""Source%s:%d-Destination%s:%d-""""StartTime%s-EndTime%s-Total_bytes_send%llu-""""Total_bytes_recv%llu"""
TCP,OTHERCONN_DELINK,INFO,"When a server side and a client side TCP connection is delinked.These are the connections which are not being tracked by netscaler like FTP,telnet etc","""Source%s:%d-Vserver%s:%d-Nat%s:%d-""""Destination%s:%d-DelinkTime%s-""""Total_bytes_send%u-Total_bytes_recv%u"""
ROUTING,ZEBOS_CMD_EXECUTED,INFO,User has executed a command in ZebOS(vtysh),"""%s"""
ROUTING,PAL,VARIABLE,,
PITBOSS,PITBOSS,INFO,Pitboss watch is added on a process with the process id pid,Adding pitboss watch on (%d)
PITBOSS,PITBOSS,INFO,Pitboss watch is deleted on a process with the process id pid,Deleting watch on (%d)
PITBOSS,PB_SYSTEM_RESTART,ALERT,Process with pid has reached maximum number of restarts.Therefore the system is being restarted,"proc (%d) (%s) has had its maximum number of restarts (%d), rebooting the system"
PITBOSS,PB_PROCESS_RESTART,ALERT,Process with pid is being restarted.The message indicates the number of times the process has been restarted,Restarting process old pid (%d) action (%s)
ROUTING,ROUTE_ADVERTISED,INFO,Route Advertised,ROUTE (%s %s %s) - ADVERTISED
ROUTING,ROUTE_WITHDRAWN,INFO,Route Withdrawn,ROUTE (%s %s %s) - WITHDRAWN
ROUTING,ROUTE_RELEARN,,Route Relearnt,RELEARN (0x%x)
ROUTING,ROUTE_HASTATE,INFO,HA state change,HASTATE (0x%x)
CVPN,CVPN_INPUT_URL,DEBUG,The input URL before rewriting,HTML_URL %s
CVPN,CVPN_REWRITTEN_URL,DEBUG,The rewritten url,REWRITTEN_URL %.*s
CVPN,CVPN_PCRE_ERROR,DEBUG,PCRE Error,Regex %.*s : PCRE_ERROR %d
CVPN,CVPN_MATCHED_URL,DEBUG,The matched url,MATCHED_URL %.*s
