asset,asset_id,bunit,category,city,country,dns,ip,is_cloud_asset,is_expected,lat,long,mac,nt_host,owner,pci_domain,priority,requires_av,should_timesync,should_update,tag
prod-pos-002,5da8b43c150fc9719e3ea73b,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-002,gclough,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-pos-001,5da8b43c150fc9719e3ea73c,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-001,mbcgown,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
ncorpnode1,5da8b43c150fc9719e3ea73d,emea,"cardholder
pci",havant,uk,ncorpnode1,,false,true,50.84436,-0.98451,,,,"cardholder
trust",high,,true,true,"emea
cardholder
pci
expected
should_timesync
should_update"
acmedc01,5da8b43c150fc9719e3ea73e,americas,"cardholder
pci",washington d.c.,usa,,,false,true,38.959405,-77.04,,acmedc01,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
host0201,5da8b43c150fc9719e3ea73f,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,host0201,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
"e00000000011.acmecorp.com
10.25.102.116
e00000000011",5da8b43c150fc9719e3ea740,americas,,washington d.c.,usa,e00000000011.acmecorp.com,10.25.102.116,false,,38.959405,-77.04,,e00000000011,,untrust,,true,true,true,"americas
requires_av
should_timesync
should_update"
host0202,5da8b43c150fc9719e3ea741,americas,,pleasanton,usa,,,true,true,37.694452,-121.894461,,host0202,,untrust,medium,true,false,true,"americas
expected
requires_av
should_update"
server2,5da8b43c150fc9719e3ea742,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,server2,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
server1,5da8b43c150fc9719e3ea743,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,server1,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
"xyze00000000011.acmecorp.com
10.25.102.106
xyze00000000011",5da8b43c150fc9719e3ea744,americas,,washington d.c.,usa,xyze00000000011.acmecorp.com,10.25.102.106,false,,38.959405,-77.04,,xyze00000000011,,untrust,,true,true,true,"americas
requires_av
should_timesync
should_update"
server3,5da8b43c150fc9719e3ea745,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,server3,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-pos-005,5da8b43c150fc9719e3ea746,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-005,rgalizia,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-pos-006,5da8b43c150fc9719e3ea747,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-006,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-pos-003,5da8b43c150fc9719e3ea748,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-003,raceuedo,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-pos-004,5da8b43c150fc9719e3ea749,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,prod-pos-004,mpickle,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
prod-mfs-003,5da8b43c150fc9719e3ea74a,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-003,,untrust,low,,true,true,"americas
should_timesync
should_update"
prod-mfs-004,5da8b43c150fc9719e3ea74b,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-004,,untrust,low,,true,true,"americas
should_timesync
should_update"
ns5gt-wlan,5da8b43c150fc9719e3ea74c,americas,"cardholder
pci",washington d.c.,usa,,,false,true,38.959405,-77.04,,ns5gt-wlan,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
prod-mfs-002,5da8b43c150fc9719e3ea74d,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-002,,untrust,low,,true,true,"americas
should_timesync
should_update"
macfish,5da8b43c150fc9719e3ea74e,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,macfish,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
acmefw,5da8b43c150fc9719e3ea74f,americas,"cardholder
pci",washington d.c.,usa,,,false,true,38.959405,-77.04,,acmefw,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
prod-mfs-005,5da8b43c150fc9719e3ea750,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-005,,untrust,low,,true,true,"americas
should_timesync
should_update"
prod-mfs-006,5da8b43c150fc9719e3ea751,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-006,,untrust,low,,true,true,"americas
should_timesync
should_update"
pa-dc02,5da8b43c150fc9719e3ea752,americas,"cardholder
pci",pleasanton,usa,pa-dc02,,true,true,37.694452,-121.894461,,,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
acmeapp,5da8b43c150fc9719e3ea753,americas,"cardholder
pci",dallas,usa,acmeapp,,false,true,32.931277,-96.818167,,,,"cardholder
trust",critical,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
00:25:bc:42:f4:60-00:25:bc:42:f4:60,5da8b43c150fc9719e3ea754,emea,pci,havant,uk,,,false,,50.84436,-0.98451,00:25:bc:42:f4:60-00:25:bc:42:f4:60,,,"wireless
trust",low,,true,true,"emea
pci
should_timesync
should_update"
00:25:ac:42:f4:60-00:25:cc:42:f4:60,5da8b43c150fc9719e3ea755,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,00:25:ac:42:f4:60-00:25:cc:42:f4:60,,,untrust,medium,,true,true,"americas
should_timesync
should_update"
"10.32.2.88
clyde_clams",5da8b43c150fc9719e3ea756,americas,,san francisco,usa,,10.32.2.88,false,true,37.694452,-121.894461,,clyde_clams,,untrust,medium,true,false,true,"americas
expected
requires_av
should_update"
"10.32.2.179
james_hardy",5da8b43c150fc9719e3ea757,americas,,san francisco,usa,,10.32.2.179,false,true,37.694452,-121.894461,,james_hardy,,untrust,medium,true,false,true,"americas
expected
requires_av
should_update"
"10.32.2.40
clare_clara",5da8b43c150fc9719e3ea758,americas,,san francisco,usa,,10.32.2.40,false,true,37.694452,-121.894461,,clare_clara,,untrust,medium,true,false,true,"americas
expected
requires_av
should_update"
"10.31.3.22
nick_casey",5da8b43c150fc9719e3ea759,americas,,san francisco,usa,,10.31.3.22,false,true,37.694452,-121.894461,,nick_casey,,untrust,medium,true,false,true,"americas
expected
requires_av
should_update"
192.168.15.10,5da8b43c150fc9719e3ea75a,americas,"hipaa
pci",washington d.c.,usa,,192.168.15.10,false,,38.959405,-77.04,,,,trust,medium,,true,true,"americas
hipaa
pci
should_timesync
should_update"
"5.6.7.8
00:12:cf:30:27:b5
millenium-falcon",5da8b43c150fc9719e3ea75b,americas,"sox
nerc",dallas,usa,,5.6.7.8,false,true,32.931277,-96.818167,00:12:cf:30:27:b5,millenium-falcon,,untrust,critical,,true,true,"americas
sox
nerc
expected
should_timesync
should_update"
"192.168.15.9
acmefileserver",5da8b43c150fc9719e3ea75c,"americas
emea",pci,"havant
washington d.c.","uk
usa",,192.168.15.9,false,,"50.84436
38.959405","-0.98451
-77.04",,acmefileserver,,trust,medium,,true,true,"americas
emea
pci
should_timesync
should_update"
"9.0.0.0
6.0.0.1",5da8b43c150fc9719e3ea75d,apac,,istanbul,tr,,"9.0.0.0
6.0.0.1",false,,41.040855,28.986183,,,,untrust,low,,true,true,"apac
should_timesync
should_update"
"1.2.3.4
00:15:70:91:df:6c",5da8b43c150fc9719e3ea75e,americas,,washington d.c.,usa,,1.2.3.4,false,,38.959405,-77.04,00:15:70:91:df:6c,,,untrust,medium,,true,true,"americas
should_timesync
should_update"
corp1.acmetech.com,5da8b43c150fc9719e3ea75f,americas,"cardholder
pci",pleasanton,usa,corp1.acmetech.com,,true,true,37.694452,-121.894461,,,,"cardholder
trust",high,,true,true,"americas
cardholder
pci
expected
should_timesync
should_update"
"192.168.12.9
storefront",5da8b43c150fc9719e3ea760,americas,pci,dallas,usa,,192.168.12.9,false,true,32.931277,-96.818167,,storefront,,trust,critical,,true,true,"americas
pci
expected
should_timesync
should_update"
"9.10.11.12
00:16:5d:10:08:9c",5da8b43c150fc9719e3ea761,americas,email_servers,pleasanton,usa,,9.10.11.12,true,,37.694452,-121.894461,00:16:5d:10:08:9c,,,untrust,high,,true,true,"americas
email_servers
should_timesync
should_update"
00:25:bc:42:f4:60-00:25:bc:42:f4:6f,5da8b43c150fc9719e3ea762,americas,virtual,dallas,usa,,,false,,32.931277,-96.818167,00:25:bc:42:f4:60-00:25:bc:42:f4:6f,,,untrust,critical,,true,true,"americas
virtual
should_timesync
should_update"
se-002,5da8b43c150fc9719e3ea763,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-002,,untrust,low,,true,true,"apac
should_timesync
should_update"
se-001,5da8b43c150fc9719e3ea764,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-001,,untrust,low,,true,true,"apac
should_timesync
should_update"
coredev-006,5da8b43c150fc9719e3ea765,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-006,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
coredev-005,5da8b43c150fc9719e3ea766,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-005,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
coredev-004,5da8b43c150fc9719e3ea767,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-004,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
coredev-003,5da8b43c150fc9719e3ea768,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-003,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
coredev-002,5da8b43c150fc9719e3ea769,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-002,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
coredev-001,5da8b43c150fc9719e3ea76a,americas,"virtual
pci",washington d.c.,usa,,,false,,38.959405,-77.04,,coredev-001,,trust,medium,true,true,true,"americas
virtual
pci
requires_av
should_timesync
should_update"
se-004,5da8b43c150fc9719e3ea76b,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-004,,untrust,low,,true,true,"apac
should_timesync
should_update"
se-003,5da8b43c150fc9719e3ea76c,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-003,,untrust,low,,true,true,"apac
should_timesync
should_update"
"10.116.240.105
mark_pittman",5da8b43c150fc9719e3ea76d,americas,"pci
splunk",san francisco,usa,,10.116.240.105,false,true,37.694452,-121.894461,,mark_pittman,mark_pittman,trust,medium,true,false,true,"americas
pci
splunk
expected
requires_av
should_update"
"10.1.21.67
10.1.21.153
fred_samuels",5da8b43c150fc9719e3ea76e,americas,"pci
splunk",san francisco,usa,,"10.1.21.67
10.1.21.153",false,true,37.694452,-121.894461,,fred_samuels,fred_samuels,trust,medium,true,false,true,"americas
pci
splunk
expected
requires_av
should_update"
"10.10.41.200
chris_moreno",5da8b43c150fc9719e3ea76f,americas,"pci
splunk","san francisco
san jose",usa,,10.10.41.200,false,true,37.694452,-121.894461,,chris_moreno,chris_moreno,trust,medium,true,false,true,"americas
pci
splunk
expected
requires_av
should_update"
10.11.36.1,5da8b43c150fc9719e3ea770,emea,pci,havant,uk,,10.11.36.1,false,,50.84436,-0.98451,,,,"wireless
trust",high,,true,true,"emea
pci
should_timesync
should_update"
"10.12.34.56
sjcdcsv012erp01",5da8b43c150fc9719e3ea771,americas,"oracledb
pci",dallas,usa,,10.12.34.56,false,true,32.931277,-96.818167,,sjcdcsv012erp01,,trust,critical,,true,true,"americas
oracledb
pci
expected
should_timesync
should_update"
acmetrend,5da8b43c150fc9719e3ea772,americas,"pci
billing",pleasanton,usa,,,true,true,37.694452,-121.894461,,acmetrend,b.franklin,trust,critical,,true,true,"americas
pci
billing
expected
should_timesync
should_update"
110.172.158.1,5da8b43c150fc9719e3ea773,americas,"pci
billing",pleasanton,usa,,110.172.158.1,true,true,37.694452,-121.894461,,,b.franklin,trust,critical,,true,true,"americas
pci
billing
expected
should_timesync
should_update"
"10.11.36.40
10.11.36.31",5da8b43c150fc9719e3ea774,americas,,washington d.c.,usa,,"10.11.36.40
10.11.36.31",false,,38.959405,-77.04,,,,untrust,high,,true,true,"americas
should_timesync
should_update"
"10.11.36.21
10.11.36.30",5da8b43c150fc9719e3ea775,americas,pci,dallas,usa,,"10.11.36.21
10.11.36.30",false,true,32.931277,-96.818167,,,,trust,medium,,true,true,"americas
pci
expected
should_timesync
should_update"
busdev-007,5da8b43c150fc9719e3ea776,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-007,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-008,5da8b43c150fc9719e3ea777,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-008,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
se-005,5da8b43c150fc9719e3ea778,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-005,,untrust,low,,true,true,"apac
should_timesync
should_update"
se-006,5da8b43c150fc9719e3ea779,apac,,istanbul,tr,,,false,,41.040855,28.986183,,se-006,,untrust,low,,true,true,"apac
should_timesync
should_update"
busdev-001,5da8b43c150fc9719e3ea77a,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-001,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-002,5da8b43c150fc9719e3ea77b,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-002,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-003,5da8b43c150fc9719e3ea77c,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-003,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-004,5da8b43c150fc9719e3ea77d,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-004,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-005,5da8b43c150fc9719e3ea77e,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-005,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
busdev-006,5da8b43c150fc9719e3ea77f,americas,"cardholder
pci",pleasanton,usa,,,true,true,37.694452,-121.894461,,busdev-006,,"cardholder
trust",medium,true,true,true,"americas
cardholder
pci
expected
requires_av
should_timesync
should_update"
acme-004,5da8b43c150fc9719e3ea780,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-004,taters,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
acme-005,5da8b43c150fc9719e3ea781,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-005,pineapple,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
acme-006,5da8b43c150fc9719e3ea782,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-006,,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
host-002,5da8b43c150fc9719e3ea783,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,host-002,,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
"10.11.36.50
10.11.36.41",5da8b43c150fc9719e3ea784,emea,"cardholder
pci",mauritania,af,,"10.11.36.50
10.11.36.41",false,true,20.8165052,-16.39597482,,,,"cardholder
trust",low,,true,true,"emea
cardholder
pci
expected
should_timesync
should_update"
acme-001,5da8b43c150fc9719e3ea785,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-001,lurker,"wireless
trust",high,,true,true,"emea
pci
should_timesync
should_update"
acme-002,5da8b43c150fc9719e3ea786,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-002,goose,"wireless
trust",high,,true,true,"emea
pci
should_timesync
should_update"
acme-003,5da8b43c150fc9719e3ea787,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,acme-003,dude,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
host-003,5da8b43c150fc9719e3ea788,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,host-003,,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
host-004,5da8b43c150fc9719e3ea789,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,host-004,,"wireless
trust",high,true,true,true,"emea
pci
requires_av
should_timesync
should_update"
"10.11.36.44/30
10.11.36.42/31
10.11.36.48/31",5da8b43f150fc973a71aa1f1,emea,"pci
cardholder",mauritania,af,,"10.11.36.44/30
10.11.36.42/31
10.11.36.48/31",false,true,20.8165052,-16.39597482,,,,"trust
cardholder",low,,true,true,"emea
pci
cardholder
expected
should_timesync
should_update"
"10.11.36.22/31
10.11.36.24/30
10.11.36.28/31",5da8b43f150fc973a71aa1f2,americas,pci,dallas,usa,,"10.11.36.22/31
10.11.36.24/30
10.11.36.28/31",false,true,32.931277,-96.818167,,,,trust,medium,,true,true,"americas
pci
expected
should_timesync
should_update"
"10.11.36.4/30
10.11.36.8/29
10.11.36.2/31
10.11.36.16/30",5da8b43f150fc973a71aa1f3,emea,pci,havant,uk,,"10.11.36.4/30
10.11.36.8/29
10.11.36.2/31
10.11.36.16/30",false,,50.84436,-0.98451,,,,"trust
wireless",high,,true,true,"emea
pci
should_timesync
should_update"
"192.168.15.128/25
192.169.15.0/28
192.168.15.64/26
192.169.15.24/30
192.168.15.12/30
192.169.0.0/21
192.168.128.0/17
192.168.15.10/31
192.169.8.0/22
192.169.14.0/24
192.168.15.16/28
192.168.15.32/27
192.168.32.0/19
192.168.64.0/18
192.169.12.0/23
192.169.15.16/29
192.168.16.0/20",5da8b43f150fc973a71aa1f4,americas,,washington d.c.,usa,,"192.168.15.128/25
192.169.15.0/28
192.168.15.64/26
192.169.15.24/30
192.168.15.12/30
192.169.0.0/21
192.168.128.0/17
192.168.15.10/31
192.169.8.0/22
192.169.14.0/24
192.168.15.16/28
192.168.15.32/27
192.168.32.0/19
192.168.64.0/18
192.169.12.0/23
192.169.15.16/29
192.168.16.0/20",false,,38.959405,-77.04,,,,untrust,medium,,true,true,"americas
should_timesync
should_update"
10.252.0.0/16,5da8b43f150fc973a71aa1f5,emea,"pci
cardholder",mauritania,af,,10.252.0.0/16,false,true,20.8165052,-16.39597482,,,,"trust
cardholder",high,,true,true,"emea
pci
cardholder
expected
should_timesync
should_update"
10.11.36.32/29,5da8b43f150fc973a71aa1f6,americas,,washington d.c.,usa,,10.11.36.32/29,false,,38.959405,-77.04,,,,untrust,high,,true,true,"americas
should_timesync
should_update"
"110.172.158.8/29
110.172.158.2/31
110.172.158.4/30",5da8b43f150fc973a71aa1f7,americas,"billing
pci",pleasanton,usa,,"110.172.158.8/29
110.172.158.2/31
110.172.158.4/30",true,true,37.694452,-121.894461,,,b.franklin,trust,critical,,true,true,"americas
billing
pci
expected
should_timesync
should_update"
68.87.0.0/16,5da8b43f150fc973a71aa1f8,americas,"pci
cardholder",pleasanton,usa,,68.87.0.0/16,true,true,37.694452,-121.894461,,,,"trust
cardholder",high,,true,true,"americas
pci
cardholder
expected
should_timesync
should_update"
2.0.0.0/8,5da8b43f150fc973a71aa1f9,emea,"pci
sox",havant,uk,,2.0.0.0/8,false,true,50.84436,-0.98451,,,,"trust
dmz",low,,true,true,"emea
pci
sox
expected
should_timesync
should_update"
"6.128.0.0/9
6.0.0.32/27
6.0.32.0/19
6.0.0.4/30
6.0.0.16/28
6.2.0.0/15
6.1.0.0/16
6.0.0.64/26
6.4.0.0/14
6.0.0.128/25
6.0.2.0/23
7.0.0.0/8
6.0.8.0/21
6.16.0.0/12
6.8.0.0/13
6.0.64.0/18
6.0.0.8/29
6.0.1.0/24
6.0.4.0/22
6.64.0.0/10
6.32.0.0/11
6.0.0.2/31
8.0.0.0/8
6.0.16.0/20
6.0.128.0/17",5da8b43f150fc973a71aa1fa,apac,,istanbul,tr,,"6.128.0.0/9
6.0.0.32/27
6.0.32.0/19
6.0.0.4/30
6.0.0.16/28
6.2.0.0/15
6.1.0.0/16
6.0.0.64/26
6.4.0.0/14
6.0.0.128/25
6.0.2.0/23
7.0.0.0/8
6.0.8.0/21
6.16.0.0/12
6.8.0.0/13
6.0.64.0/18
6.0.0.8/29
6.0.1.0/24
6.0.4.0/22
6.64.0.0/10
6.32.0.0/11
6.0.0.2/31
8.0.0.0/8
6.0.16.0/20
6.0.128.0/17",false,,41.040855,28.986183,,,,untrust,low,,true,true,"apac
should_timesync
should_update"
192.168.0.0/16,5da8b43f150fc973a71aa1fb,americas,iso27002,pleasanton,usa,,192.168.0.0/16,true,,37.694452,-121.894461,,,,untrust,high,,true,true,"americas
iso27002
should_timesync
should_update"
192.168.15.8/31,5da8b43f150fc973a71aa1fc,americas,"pci
hipaa",washington d.c.,usa,,192.168.15.8/31,false,,38.959405,-77.04,,,,trust,medium,,true,true,"americas
pci
hipaa
should_timesync
should_update"
