description,"fail_code"
"The log could not be set to the requested size.",0x80190009
"There is no transaction metadata on the file.",0x80190029
"The file cannot be recovered because there is a handle still open on it.",0x80190031
"Transaction metadata is already present on this file and cannot be superseded.",0x80190041
"A transaction scope could not be entered because the scope handler has not been initialized.",0x80190042
"{Display Driver Stopped Responding and recovered} The %hs display driver has stopped working normally. The recovery had been performed.",0x801B00EB
"{Buffer too small} The buffer is too small to contain the entry. No information has been written to the buffer.",0x801C0001
"Volume metadata read or write is incomplete.",0x80210001
"BitLocker encryption keys were ignored because the volume was in a transient state.",0x80210002
"{Operation Failed} The requested operation was unsuccessful.",0xC0000001
"{Not Implemented} The requested operation is not implemented.",0xC0000002
"{Invalid Parameter} The specified information class is not a valid information class for the specified object.",0xC0000003
"The specified information record length does not match the length that is required for the specified information class.",0xC0000004
"The instruction at 0x%08lx referenced memory at 0x%08lx. The memory could not be %s.",0xC0000005
"The instruction at 0x%08lx referenced memory at 0x%08lx. The required data was not placed into memory because of an I/O error status of 0x%08lx.",0xC0000006
"The page file quota for the process has been exhausted.",0xC0000007
"An invalid HANDLE was specified.",0xC0000008
"An invalid initial stack was specified in a call to NtCreateThread.",0xC0000009
"An invalid initial start address was specified in a call to NtCreateThread.",0xC000000A
"An invalid client ID was specified.",0xC000000B
"An attempt was made to cancel or set a timer that has an associated APC and the specified thread is not the thread that originally set the timer with an associated APC routine.",0xC000000C
"An invalid parameter was passed to a service or function.",0xC000000D
"A device that does not exist was specified.",0xC000000E
"{File Not Found} The file %hs does not exist.",0xC000000F
"The specified request is not a valid operation for the target device.",0xC0000010
"The end-of-file marker has been reached. There is no valid data in the file beyond this marker.",0xC0000011
"{Wrong Volume} The wrong volume is in the drive. Insert volume %hs into drive %hs.",0xC0000012
"{No Disk} There is no disk in the drive. Insert a disk into drive %hs.",0xC0000013
"{Unknown Disk Format} The disk in drive %hs is not formatted properly. Check the disk, and reformat it, if needed.",0xC0000014
"{Sector Not Found} The specified sector does not exist.",0xC0000015
"{Still Busy} The specified I/O request packet (IRP) cannot be disposed of because the I/O operation is not complete.",0xC0000016
"{Not Enough Quota} Not enough virtual memory or paging file quota is available to complete the specified operation.",0xC0000017
"{Conflicting Address Range} The specified address range conflicts with the address space.",0xC0000018
"The address range to unmap is not a mapped view.",0xC0000019
"The virtual memory cannot be freed.",0xC000001A
"The specified section cannot be deleted.",0xC000001B
"An invalid system service was specified in a system service call.",0xC000001C
"{EXCEPTION} Illegal Instruction An attempt was made to execute an illegal instruction.",0xC000001D
"{Invalid Lock Sequence} An attempt was made to execute an invalid lock sequence.",0xC000001E
"{Invalid Mapping} An attempt was made to create a view for a section that is bigger than the section.",0xC000001F
"{Bad File} The attributes of the specified mapping file for a section of memory cannot be read.",0xC0000020
"{Already Committed} The specified address range is already committed.",0xC0000021
"{Access Denied} A process has requested access to an object but has not been granted those access rights.",0xC0000022
"{Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer.",0xC0000023
"{Wrong Type} There is a mismatch between the type of object that is required by the requested operation and the type of object that is specified in the request.",0xC0000024
"{EXCEPTION} Cannot Continue Windows cannot continue from this exception.",0xC0000025
"An invalid exception disposition was returned by an exception handler.",0xC0000026
"Unwind exception code.",0xC0000027
"An invalid or unaligned stack was encountered during an unwind operation.",0xC0000028
"An invalid unwind target was encountered during an unwind operation.",0xC0000029
"An attempt was made to unlock a page of memory that was not locked.",0xC000002A
"A device parity error on an I/O operation.",0xC000002B
"An attempt was made to decommit uncommitted virtual memory.",0xC000002C
"An attempt was made to change the attributes on memory that has not been committed.",0xC000002D
"Invalid object attributes specified to NtCreatePort or invalid port attributes specified to NtConnectPort.",0xC000002E
"The length of the message that was passed to NtRequestPort or NtRequestWaitReplyPort is longer than the maximum message that is allowed by the port.",0xC000002F
"An invalid combination of parameters was specified.",0xC0000030
"An attempt was made to lower a quota limit below the current usage.",0xC0000031
"{Corrupt Disk} The file system structure on the disk is corrupt and unusable. Run the Chkdsk utility on the volume %hs.",0xC0000032
"The object name is invalid.",0xC0000033
"The object name is not found.",0xC0000034
"The object name already exists.",0xC0000035
"An attempt was made to send a message to a disconnected communication port.",0xC0000037
"An attempt was made to attach to a device that was already attached to another device.",0xC0000038
"The object path component was not a directory object.",0xC0000039
"{Path Not Found} The path %hs does not exist.",0xC000003A
"The object path component was not a directory object.",0xC000003B
"{Data Overrun} A data overrun error occurred.",0xC000003C
"{Data Late} A data late error occurred.",0xC000003D
"{Data Error} An error occurred in reading or writing data.",0xC000003E
"{Bad CRC} A cyclic redundancy check (CRC) checksum error occurred.",0xC000003F
"{Section Too Large} The specified section is too big to map the file.",0xC0000040
"The NtConnectPort request is refused.",0xC0000041
"The type of port handle is invalid for the operation that is requested.",0xC0000042
"A file cannot be opened because the share access flags are incompatible.",0xC0000043
"Insufficient quota exists to complete the operation.",0xC0000044
"The specified page protection was not valid.",0xC0000045
"An attempt to release a mutant object was made by a thread that was not the owner of the mutant object.",0xC0000046
"An attempt was made to release a semaphore such that its maximum count would have been exceeded.",0xC0000047
"An attempt was made to set the DebugPort or ExceptionPort of a process, but a port already exists in the process, or an attempt was made to set the CompletionPort of a file but a port was already set in the file, or an attempt was made to set the associated completion port of an ALPC port but it is already set.",0xC0000048
"An attempt was made to query image information on a section that does not map an image.",0xC0000049
"An attempt was made to suspend a thread whose suspend count was at its maximum.",0xC000004A
"An attempt was made to suspend a thread that has begun termination.",0xC000004B
"An attempt was made to set the working set limit to an invalid value (for example, the minimum greater than maximum).",0xC000004C
"A section was created to map a file that is not compatible with an already existing section that maps the same file.",0xC000004D
"A view to a section specifies a protection that is incompatible with the protection of the initial view.",0xC000004E
"An operation involving EAs failed because the file system does not support EAs.",0xC000004F
"An EA operation failed because the EA set is too large.",0xC0000050
"An EA operation failed because the name or EA index is invalid.",0xC0000051
"The file for which EAs were requested has no EAs.",0xC0000052
"The EA is corrupt and cannot be read.",0xC0000053
"A requested read/write cannot be granted due to a conflicting file lock.",0xC0000054
"A requested file lock cannot be granted due to other existing locks.",0xC0000055
"A non-close operation has been requested of a file object that has a delete pending.",0xC0000056
"An attempt was made to set the control attribute on a file. This attribute is not supported in the destination file system.",0xC0000057
"Indicates a revision number that was encountered or specified is not one that is known by the service. It may be a more recent revision than the service is aware of.",0xC0000058
"Indicates that two revision levels are incompatible.",0xC0000059
"Indicates a particular security ID may not be assigned as the owner of an object.",0xC000005A
"Indicates a particular security ID may not be assigned as the primary group of an object.",0xC000005B
"An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client.",0xC000005C
"A mandatory group may not be disabled.",0xC000005D
"No logon servers are currently available to service the logon request.",0xC000005E
"A specified logon session does not exist. It may already have been terminated.",0xC000005F
"A specified privilege does not exist.",0xC0000060
"A required privilege is not held by the client.",0xC0000061
"The name provided is not a properly formed account name.",0xC0000062
"The specified account already exists.",0xC0000063
"The specified account does not exist.",0xC0000064
"The specified group already exists.",0xC0000065
"The specified group does not exist.",0xC0000066
"The specified user account is already in the specified group account. Also used to indicate a group cannot be deleted because it contains a member.",0xC0000067
"The specified user account is not a member of the specified group account.",0xC0000068
"Indicates the requested operation would disable or delete the last remaining administration account. This is not allowed to prevent creating a situation in which the system cannot be administrated.",0xC0000069
"When trying to update a password, this return status indicates that the value provided as the current password is not correct.",0xC000006A
"When trying to update a password, this return status indicates that the value provided for the new password contains values that are not allowed in passwords.",0xC000006B
"When trying to update a password, this status indicates that some password update rule has been violated. For example, the password may not meet length criteria.",0xC000006C
"The attempted logon is invalid. This is either due to a bad username or authentication information.",0xC000006D
"Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions).",0xC000006E
"The user account has time restrictions and may not be logged onto at this time.",0xC000006F
"The user account is restricted so that it may not be used to log on from the source workstation.",0xC0000070
"The user account password has expired.",0xC0000071
"The referenced account is currently disabled and may not be logged on to.",0xC0000072
"None of the information to be translated has been translated.",0xC0000073
"The number of LUIDs requested may not be allocated with a single allocation.",0xC0000074
"Indicates there are no more LUIDs to allocate.",0xC0000075
"Indicates the sub-authority value is invalid for the particular use.",0xC0000076
"Indicates the ACL structure is not valid.",0xC0000077
"Indicates the SID structure is not valid.",0xC0000078
"Indicates the SECURITY_DESCRIPTOR structure is not valid.",0xC0000079
"Indicates the specified procedure address cannot be found in the DLL.",0xC000007A
"{Bad Image} %hs is either not designed to run on Windows or it contains an error. Try installing the program again using the original installation media or contact your system administrator or the software vendor for support.",0xC000007B
"An attempt was made to reference a token that does not exist. This is typically done by referencing the token that is associated with a thread when the thread is not impersonating a client.",0xC000007C
"Indicates that an attempt to build either an inherited ACL or ACE was not successful. This can be caused by a number of things. One of the more probable causes is the replacement of a CreatorId with a SID that did not fit into the ACE or ACL.",0xC000007D
"The range specified in NtUnlockFile was not locked.",0xC000007E
"An operation failed because the disk was full.",0xC000007F
"The GUID allocation server is disabled at the moment.",0xC0000080
"The GUID allocation server is enabled at the moment.",0xC0000081
"Too many GUIDs were requested from the allocation server at once.",0xC0000082
"The GUIDs could not be allocated because the Authority Agent was exhausted.",0xC0000083
"The value provided was an invalid value for an identifier authority.",0xC0000084
"No more authority agent values are available for the particular identifier authority value.",0xC0000085
"An invalid volume label has been specified.",0xC0000086
"A mapped section could not be extended.",0xC0000087
"Specified section to flush does not map a data file.",0xC0000088
"Indicates the specified image file did not contain a resource section.",0xC0000089
"Indicates the specified resource type cannot be found in the image file.",0xC000008A
"Indicates the specified resource name cannot be found in the image file.",0xC000008B
"{EXCEPTION} Array bounds exceeded.",0xC000008C
"{EXCEPTION} Floating-point denormal operand.",0xC000008D
"{EXCEPTION} Floating-point division by zero.",0xC000008E
"{EXCEPTION} Floating-point inexact result.",0xC000008F
"{EXCEPTION} Floating-point invalid operation.",0xC0000090
"{EXCEPTION} Floating-point overflow.",0xC0000091
"{EXCEPTION} Floating-point stack check.",0xC0000092
"{EXCEPTION} Floating-point underflow.",0xC0000093
"{EXCEPTION} Integer division by zero.",0xC0000094
"{EXCEPTION} Integer overflow.",0xC0000095
"{EXCEPTION} Privileged instruction.",0xC0000096
"An attempt was made to install more paging files than the system supports.",0xC0000097
"The volume for a file has been externally altered such that the opened file is no longer valid.",0xC0000098
"When a block of memory is allotted for future updates, such as the memory allocated to hold discretionary access control and primary group information, successive updates may exceed the amount of memory originally allotted. Because a quota may already have been charged to several processes that have handles to the object, it is not reasonable to alter the size of the allocated memory. Instead, a request that requires more memory than has been allotted must fail and the STATUS_ALLOTTED_SPACE_EXCEEDED error returned.",0xC0000099
"Insufficient system resources exist to complete the API.",0xC000009A
"An attempt has been made to open a DFS exit path control file.",0xC000009B
"There are bad blocks (sectors) on the hard disk.",0xC000009C
"There is bad cabling, non-termination, or the controller is not able to obtain access to the hard disk.",0xC000009D
"Virtual memory cannot be freed because the base address is not the base of the region and a region size of zero was specified.",0xC000009F
"An attempt was made to free virtual memory that is not allocated.",0xC00000A0
"The working set is not big enough to allow the requested pages to be locked.",0xC00000A1
"{Write Protect Error} The disk cannot be written to because it is write-protected. Remove the write protection from the volume %hs in drive %hs.",0xC00000A2
"{Drive Not Ready} The drive is not ready for use; its door may be open. Check drive %hs and make sure that a disk is inserted and that the drive door is closed.",0xC00000A3
"The specified attributes are invalid or are incompatible with the attributes for the group as a whole.",0xC00000A4
"A specified impersonation level is invalid. Also used to indicate that a required impersonation level was not provided.",0xC00000A5
"An attempt was made to open an anonymous-level token. Anonymous tokens may not be opened.",0xC00000A6
"The validation information class requested was invalid.",0xC00000A7
"The type of a token object is inappropriate for its attempted use.",0xC00000A8
"The type of a token object is inappropriate for its attempted use.",0xC00000A9
"An attempt was made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references.",0xC00000AA
"The maximum named pipe instance count has been reached.",0xC00000AB
"An instance of a named pipe cannot be found in the listening state.",0xC00000AC
"The named pipe is not in the connected or closing state.",0xC00000AD
"The specified pipe is set to complete operations and there are current I/O operations queued so that it cannot be changed to queue operations.",0xC00000AE
"The specified handle is not open to the server end of the named pipe.",0xC00000AF
"The specified named pipe is in the disconnected state.",0xC00000B0
"The specified named pipe is in the closing state.",0xC00000B1
"The specified named pipe is in the connected state.",0xC00000B2
"The specified named pipe is in the listening state.",0xC00000B3
"The specified named pipe is not in message mode.",0xC00000B4
"{Device Timeout} The specified I/O operation on %hs was not completed before the time-out period expired.",0xC00000B5
"The specified file has been closed by another process.",0xC00000B6
"Profiling is not started.",0xC00000B7
"Profiling is not stopped.",0xC00000B8
"The passed ACL did not contain the minimum required information.",0xC00000B9
"The file that was specified as a target is a directory, and the caller specified that it could be anything but a directory.",0xC00000BA
"The request is not supported.",0xC00000BB
"This remote computer is not listening.",0xC00000BC
"A duplicate name exists on the network.",0xC00000BD
"The network path cannot be located.",0xC00000BE
"The network is busy.",0xC00000BF
"This device does not exist.",0xC00000C0
"The network BIOS command limit has been reached.",0xC00000C1
"An I/O adapter hardware error has occurred.",0xC00000C2
"The network responded incorrectly.",0xC00000C3
"An unexpected network error occurred.",0xC00000C4
"The remote adapter is not compatible.",0xC00000C5
"The print queue is full.",0xC00000C6
"Space to store the file that is waiting to be printed is not available on the server.",0xC00000C7
"The requested print file has been canceled.",0xC00000C8
"The network name was deleted.",0xC00000C9
"Network access is denied.",0xC00000CA
"{Incorrect Network Resource Type} The specified device type (LPT, for example) conflicts with the actual device type on the remote resource.",0xC00000CB
"{Network Name Not Found} The specified share name cannot be found on the remote server.",0xC00000CC
"The name limit for the network adapter card of the local computer was exceeded.",0xC00000CD
"The network BIOS session limit was exceeded.",0xC00000CE
"File sharing has been temporarily paused.",0xC00000CF
"No more connections can be made to this remote computer at this time because the computer has already accepted the maximum number of connections.",0xC00000D0
"Print or disk redirection is temporarily paused.",0xC00000D1
"A network data fault occurred.",0xC00000D2
"The number of active profiling objects is at the maximum and no more may be started.",0xC00000D3
"{Incorrect Volume} The destination file of a rename request is located on a different device than the source of the rename request.",0xC00000D4
"The specified file has been renamed and thus cannot be modified.",0xC00000D5
"{Network Request Timeout} The session with a remote server has been disconnected because the time-out interval for a request has expired.",0xC00000D6
"Indicates an attempt was made to operate on the security of an object that does not have security associated with it.",0xC00000D7
"Used to indicate that an operation cannot continue without blocking for I/O.",0xC00000D8
"Used to indicate that a read operation was done on an empty pipe.",0xC00000D9
"Configuration information could not be read from the domain controller, either because the machine is unavailable or access has been denied.",0xC00000DA
"Indicates that a thread attempted to terminate itself by default (called NtTerminateThread with NULL) and it was the last thread in the current process.",0xC00000DB
"Indicates the Sam Server was in the wrong state to perform the desired operation.",0xC00000DC
