cef_key,splunk_key,full_name,friendly_name,data_type,length,meaning,location,cef_value_type,required_related_field,required_field
cfp4Label,,deviceCustomFloatingPoint4Label,Device Custom Floating Point 4 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cn1,,deviceCustomNumber1,Device Custom Number 1,long,,"There are three number fields available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines hereafter for hints on how to utilize these fields.",extension,fieldmap,cn1Label,
cn1Label,,deviceCustomNumber1Label,Device Custom Number 1 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cn2,,deviceCustomNumber2,Device Custom Number 2,long,,"There are three number fields available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines hereafter for hints on how to utilize these fields.",extension,fieldmap,cn2Label,
cn2Label,,deviceCustomNumber2Label,Device Custom Number 2 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cn3,,deviceCustomNumber3,Device Custom Number 3,long,,"There are three number fields available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines hereafter for hints on how to utilize these fields.",extension,fieldmap,cn3Label,
cn3Label,,deviceCustomNumber3Label,Device Custom Number 3 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cnt,,baseEventCount,Base Event Count,integer,,A count associated with this event. How many times was this same event observed?,extension,fieldmap,,
cs1,,deviceCustomString1,Device Custom String 1,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs1Label,
cs1Label,,deviceCustomString1Label,Device Custom String 1 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cs2,,deviceCustomString2,Device Custom String 2,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs2Label,
cs2Label,,deviceCustomString2Label,Device Custom String 2 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cs3,,deviceCustomString3,Device Custom String 3,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs3Label,
cs3Label,,deviceCustomString3Label,Device Custom String 3 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cs4,,deviceCustomString4,Device Custom String 4,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs4Label,
cs4Label,,deviceCustomString4Label,Device Custom String 4 label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cs5,,deviceCustomString5,Device Custom String 5,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs5Label,
cs5Label,,deviceCustomString5Label,Device Custom String 5 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
cs6,,deviceCustomString6,Device Custom String 6,string,1023,"There are six strings available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,cs6Label,
cs6Label,,deviceCustomString6Label,Device Custom String 6 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
destinationDnsDomain,dest_dns,destinationDnsDomain,Destination DNS Domain,string,255,The DNS domain part of the complete fully qualified domain name (FQDN).,extension,fieldmap,,
destinationServiceName,service,destinationServiceName,Destination Service Name,string,1023,The service which is targeted by this event.,extension,fieldmap,,
destinationTranslatedAddress,,destinationTranslatedAddress,Destination Translated Address,ipv4,16,"Identifies the translated destination that the event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
destinationTranslatedPort,,destinationTranslatedPort,Destination Translated Port,integer,,"Port after it was translated; for example, a firewall. Valid port numbers are 0 to 65535.",extension,fieldmap,,
deviceCustomDate1,,deviceCustomDate1,Device Custom Date 1,timestamp,,"There are two timestamp fields available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,deviceCustomDate1Label,
deviceCustomDate1Label,,deviceCustomDate1Label,Device Custom Date 1 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
deviceCustomDate2,,deviceCustomDate2,Device Custom Date 2,timestamp,,"There are two timestamp fields available which can be used to map fields which do not fit into any other field of this dictionary. If possible, these fields should not be used, but a more specific field from the dictionary. Also check the guidelines later in this document for hints about utilizing these fields.",extension,fieldmap,deviceCustomDate2Label,
deviceCustomDate2Label,,deviceCustomDate2Label,Device Custom Date 2 Label,string,1023,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
deviceDirection,,deviceDirection,Device Direction,string,,Any information about what direction the communication that was observed has taken.,extension,fieldmap,,
deviceDnsDomain,,deviceDnsDomain,Device DNS Domain,string,255,The DNS domain part of the complete fully qualified domain name (FQDN).,extension,fieldmap,,
deviceExternalId,,deviceExternalId,Device External ID,string,255,A name that uniquely identifies the device generating this event.,extension,fieldmap,,
deviceFacility,,deviceFacility,Device Facility,string,1023,The facility generating this event. Syslog for example has an explicit facility associated with every event.,extension,fieldmap,,
deviceInboundInterface,,deviceInboundInterface,Device Inbound Interface,string,15,Interface on which the packet or data entered the device.,extension,fieldmap,,
deviceNtDomain,,deviceNtDomain,Device NT Domain,string,255,The Windows domain name of the device address.,extension,fieldmap,,
deviceOutboundInterface,,deviceOutboundInterface,Device Outbound Interface,string,15,Interface on which the packet or data left the device.,extension,fieldmap,,
devicePayloadId,,devicePayloadId,Device Payload ID,string,128,Unique identifier for the payload associated with the event.,extension,fieldmap,,
deviceProcessName,,deviceProcessName,Device Process Name,string,1023,"Process name associated to the event. In UNIX, the process generating the syslog entry for example.",extension,fieldmap,,
deviceTranslatedAddress,,deviceTranslatedAddress,Device Translated Address,ipv4,16,"Identifies the translated device address that the event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
dhost,,destinationHostName,Destination Host Name,string,1023,"Identifies the destination that an event refers to in an IP network. The format should be a fully qualified domain name associated with the destination node, when a node is available. Examples:",extension,fieldmap,,
dmac,,destinationMacAddress,Destination MAC Address,mac,17,"Six colon-separated hexadecimal numbers. Example: ""00:0D:60:AF:1B:61""",extension,fieldmap,,
dntdom,dest_nt_domain,destinationNtDomain,Destination NT Domain,string,255,The Windows domain name of the destination address.,extension,fieldmap,,
dpid,process_id,destinationProcessId,Destination Process ID,integer,,"Provides the ID of the destination process associated with the event. For example, if an event contains process ID 105, ""105"" is the process ID.",extension,fieldmap,,
dpriv,,destinationUserPrivileges,Destination User Privileges,string,1023,"The allowed values are: ""Administrator"", ""User"", and ""Guest"". It identifies the source user's privileges. In UNIX, for example, activity executed by the root user would be identified with sourceUserPrivileges of ""Administrator"". This is an idealized and simplified view on privileges and can be extended in the future.",extension,fieldmap,,
dproc,process,destinationProcessName,Destination Process Name,string,1023,"The name of the process which is the event's destination. For example: ""telnetd"", or ""sshd"".",extension,fieldmap,,
dpt,dest_port,destinationPort,Destination Port,integer,,The valid port numbers are between 0 and 65535.,extension,fieldmap,,
dst,dest,destinationAddress,Destination Address,ipv4,16,"Identifies destination that the event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
dtz,,deviceTimeZone,Device Time Zone,string,255,The timezone for the device generating the event.,,,,
duid,user_id,destinationUserId,Destination User ID,string,1023,"Identifies the destination user by ID. For example, in UNIX, the root user is generally associated with user ID 0.",extension,fieldmap,,
duser,user,destinationUserName,Destination User Name,string,1023,Identifies the destination user by name. This is the user associated with the event's destination. E-mail addresses are also mapped into the UserName fields. The recipient is a candidate to put into destinationUserName.,extension,fieldmap,,
dvc,dvc,deviceAddress,Device Address,ipv4,16,"Identifies the device that an event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
dvchost,,deviceHostName,Device Host Name,string,100,"The format should be a fully qualified domain name associated with the device node, when a node is available. Examples:",extension,fieldmap,,
dvcmac,,deviceMacAddress,Device Mac Address,mac,17,"Six colon-separated hexadecimal numbers. Example: ""00:0D:60:AF:1B:61""",extension,fieldmap,,
dvcpid,,deviceProcessId,Device Process ID,integer,,Provides the ID of the process on the device generating the event.,extension,fieldmap,,
end,,endTime,End Time,timestamp,,The time at which the activity Stamp related to the event ended. The format is MMM dd yyyy HH:mm:ss or milliseconds since epoch (Jan 1st 1970). An example would be reporting the end of a session.,extension,fieldmap,,
externalId,,externalId,External ID,integer,,An ID used by the originating device. Usually these are increasing numbers associated with events.,extension,fieldmap,,
fileCreateTime,,fileCreateTime,File Create Time,timestamp,,Time when file was created.,extension,fieldmap,,
fileHash,file_hash,fileHash,File Hash,string,255,Hash of a file.,extension,fieldmap,,
fileId,,fileId,File ID,string,1023,An ID associated with a file could be the inode.,extension,fieldmap,,
fileModificationTime,,fileModificationTime,File Modification Time,timestamp,,Time when file was last modified.,extension,fieldmap,,
filePath,file_path,filePath,File Path,string,1023,"Full path to the file, including file name itself.",extension,fieldmap,,
filePermission,,filePermission,File Permission,string,1023,Permissions of the file.,extension,fieldmap,,
fileType,,fileType,File Type,string,1023,"Type of file (pipe, socket, etc.)",extension,fieldmap,,
flexDate1,,flexDate1,Flex Date 1,timestamp,,"A timestamp field available to map a timestamp that does not apply to any other defined timestamp field in this dictionary. Use all flex fields sparingly and seek a more specific, dictionary supplied field when possible. These fields are typically reserved for customer use and should not be set by vendors unless necessary.",extension,fieldmap,flexDate1Label,
flexDate1Label,,flexDate1Label,Flex Date 1 Label,string,128,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
flexNumber1,,flexNumber1,Flex Number 1,long,,"One of two number fields available to map Long data that does not apply to any other field in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible. These fields are typically reserved for customer use and should not be set by vendors unless necessary.",extension,fieldmap,flexNumber1Label,
flexNumber1Label,,flexNumber1Label,Flex Number 1 Label,string,128,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
flexNumber2,,flexNumber2,Flex Number 2,long,,"One of two number fields available to map Long data that does not apply to any other field in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible. These fields are typically reserved for customer use and should not be set by vendors unless necessary.",extension,fieldmap,flexNumber2Label,
flexNumber2Label,,flexNumber2Label,Flex Number 2 Label,string,128,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
flexString1,,flexString1,Flex String 1,string,1023,"One of two string fields available to map String data that does not apply to any other field in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible. These fields are typically reserved for customer use and should not be set by vendors unless necessary.",extension,fieldmap,flexString1Label,
flexString1Label,,flexString1Label,Flex String 1 Label,string,128,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
flexString2,,flexString2,Flex String 2,string,1023,"One of two string fields available to map String data that does not apply to any other field in this dictionary. Use sparingly and seek a more specific, dictionary supplied field when possible. These fields are typically reserved for customer use and should not be set by vendors unless necessary.",extension,fieldmap,flexString2Label,
flexString2Label,,flexString2Label,Flex String 2 Label,string,128,All custom fields have a corresponding label field. Each of these fields is a string and describes the purpose of the custom field.,extension,userdefined,,
fname,file_name,fileName,File Name,string,1023,Name of the file.,extension,fieldmap,,
fsize,file_size,fileSize,File Size,integer,,Size of the file.,extension,fieldmap,,
in,bytes_in,bytesIn,Bytes In,integer,,"Number of bytes transferred inbound. Inbound relative to the source to destination relationship, meaning that data was flowing from source to destination.",extension,fieldmap,,
msg,,message,Message,string,1023,An arbitrary message giving more details about the event. Multi-line entries can be produced by using \n as the new-line separator.,extension,fieldmap,,
oldFileCreateTime,,oldFileCreateTime,Old File Create Time,timestamp,,Time when old file was created.,extension,fieldmap,,
oldFileHash,,oldFileHash,Old File Hash,string,255,Hash of the old file.,extension,fieldmap,,
oldFileId,,oldFileId,Old File ID,string,1023,An ID associated with the old file could be the inode.,extension,fieldmap,,
oldFileModificationTime,,oldFileModificationTime,Old File Modification Time,timestamp,,Time when old file was last modified.,extension,fieldmap,,
oldFileName,,oldFileName,Old File Name,string,1023,Name of the old file.,extension,fieldmap,,
oldFilePath,,oldFilePath,Old File Path,string,1023,"Full path to the old file, including file name itself.",extension,fieldmap,,
oldFilePermission,,oldFilePermission,Old File Permission,string,1023,Permissions of the old file.,extension,fieldmap,,
oldFileSize,,oldFileSize,Old File Size,integer,,Size of the old file.,extension,fieldmap,,
oldFileType,,oldFileType,Old File Type,string,1023,"Type of the old file (pipe, socket, etc.)",extension,fieldmap,,
out,bytes_out,bytesOut,Bytes Out,integer,,"Number of bytes transferred outbound. Outbound relative to the source to destination relationship, meaning that data was flowing from destination to source.",extension,fieldmap,,
outcome,,eventOutcome,Event Outcome,string,63,"Displays the outcome, usually as 'success' or 'failure'.",extension,fieldmap,,
proto,transport,transportProtocol,Transport Protocol,string,31,Identifies the Layer-4 protocol used. The possible values are protocol names such as TCP or UDP.,extension,fieldmap,,
reason,,reason,Reason,string,1023,"The reason an audit event was generated. For example ""Bad password"" or ""Unknown User"". This could also be an error or return code.  Example: ""0x1234""",extension,fieldmap,,
request,url,requestURL,Request Url,string,1023,"In the case of an HTTP request, this field contains the URL accessed. The URL should contain the protocol as well, e.g.,",extension,fieldmap,,
requestClientApplication,,requestClientApplication,Request Client Application,string,1023,The User-Agent associated with the request.,extension,fieldmap,,
requestContext,,requestContext,Request Context,string,2048,"Description of the content from which the request originated (for example, HTTP Referrer).",extension,fieldmap,,
requestCookies,,requestCookies,Request Cookies,string,1023,Cookies associated with the request.,extension,fieldmap,,
requestMethod,http_method,requestMethod,Request Method,string,1023,"The method used to access a URL. Possible values: ""POST"", ""GET"", ...",extension,fieldmap,,
rt,_indextime,receiptTime,Receipt Time,timestamp,,The time at which the event related to the activity was received. The format is MMM dd yyyy HH:mm:ss or milliseconds since epoch (Jan 1st 1970).,extension,fieldmap,,
shost,,sourceHostName,Source Host Name,string,1023,"Identifies the source that an event refers to in an IP network. The format should be a fully qualified domain name associated with the source node, when a node is available. Examples:",extension,fieldmap,,
smac,,sourceMacAddress,Source MAC Address,mac,17,"Six colon-separated hexadecimal numbers. Example: ""00:0D:60:AF:1B:61""",extension,fieldmap,,
sntdom,src_nt_domain,sourceNtDomain,Source NT Domain,string,255,The Windows domain name for the source address.,extension,fieldmap,,
sourceDnsDomain,,sourceDnsDomain,Source DNS Domain,string,1023,The DNS domain part of the complete fully qualified domain name (FQDN).,extension,fieldmap,,
sourceServiceName,,sourceServiceName,Source Service Name,string,255,The service which is responsible for generating this event.,extension,fieldmap,,
sourceTranslatedAddress,,sourceTranslatedAddress,Source Translated Address,ipv4,16,"Identifies the translated source that the event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
sourceTranslatedPort,,sourceTranslatedPort,Source Translated Port,integer,,Port after it was translated by for example a firewall. Valid port numbers are 0 to 65535.,extension,fieldmap,,
spid,,sourceProcessID,Source Process ID,integer,,The ID of the source process associated with the event.,extension,fieldmap,,
spriv,,sourceUserPrivileges,Source User Privileges,string,1023,"The allowed values are: ""Administrator"", ""User"", and ""Guest"". It identifies the source user's privileges. In UNIX, for example, activity executed by the root user would be identified with sourceUserPrivileges of ""Administrator"". This is an idealized and simplified view on privileges and can be extended in the future.",extension,fieldmap,,
sproc,,sourceProcessName,Source Process Name,string,1023,The name of the event's source process.,extension,fieldmap,,
spt,src_port,sourcePort,Source Port,integer,,The valid port numbers are 0 to 65535.,extension,fieldmap,,
src,src,SourceAddress,Source Address,ipv4,16,"Identifies the source that an event refers to in an IP network. The format is an IPv4 address. Example: ""192.168.10.1""",extension,fieldmap,,
start,,startTime,Start Time,timestamp,,The time when the activity the event referred to started. The format is MMM dd yyyy HH:mm:ss or milliseconds since epoch (Jan 1st 1970).,extension,fieldmap,,
suid,src_user_id,sourceUserId,Source User ID,string,1023,"Identifies the source user by ID. This is the user associated with the source of the event. For example, in UNIX, the root user is generally associated with user ID 0.",extension,fieldmap,,
suser,src_user,sourceUserName,Source User Name,string,1023,Identifies the source user by name. E-mail addresses are also mapped into the UserName fields. The sender is a candidate to put into sourceUserName.,extension,fieldmap,,
type,,type,Type,integer,,"0 means base event, 1 means aggregated, 2 means correlation, and 3 means action; this field can be omitted for base events (type 0)",extension,userdefined,,
agentDnsDomain,,agentDnsDomain,Agent DNS Domain,string,255,The DNS domain name of the ArcSight connector that processed the event.,extension,fieldmap,,
agentNtDomain,,agentNtDomain,Agent NT Domain,string,255,,extension,fieldmap,,
agentTranslatedAddress,,agentTranslatedAddress,Agent Translated Address,ipv4,,,extension,fieldmap,,
agentTranslatedZoneExternalID,,agentTranslatedZoneExternalID,Agent Translated Zone External ID,string,200,,extension,fieldmap,,
agentTranslatedZoneURI,,agentTranslatedZoneURI,Agent Translated Zone URI,string,2048,,extension,fieldmap,,
agentZoneExternalID,,agentZoneExternalID,Agent Zone External ID,string,200,,extension,fieldmap,,
agentZoneURI,,agentZoneURI,Agent Zone URI,string,2048,,extension,fieldmap,,
agt,,agentAddress,Agent Address,ipv4,,The IP address of the ArcSight connector that processed the event.,extension,fieldmap,,
ahost,,agentHostName,Agent Host Name,string,1023,The hostname of the ArcSight connector that processed the event.,extension,fieldmap,,
aid,,agentId,Agent ID,string,40,The agent ID of the ArcSight connector that processed the event.,extension,fieldmap,,
amac,,agentMacAddress,Agent MAC Address,mac,,The MAC address of the ArcSight connector that processed the event.,extension,fieldmap,,
art,,agentReceiptTime,Agent Receipt Time,timestamp,,The time at which information about the event was received by the ArcSight connector.,extension,fieldmap,,
at,,agentType,Agent Type,string,63,The agent type of the ArcSight connector that processed the event.,extension,fieldmap,,
atz,,agentTimeZone,Agent Time Zone,string,255,The agent time zone of the ArcSight connector that processed the event.,extension,fieldmap,,
av,,agentVersion,Agent Version,string,31,The version of the ArcSight connector that processed the event.,extension,fieldmap,,
customerExternalID,,customerExternalID,Customer External ID,string,200,,extension,fieldmap,,
customerURI,,customerURI,Customer URI,string,2048,,extension,fieldmap,,
destinationTranslatedZoneExternalID,,destinationTranslatedZoneExternalID,Destination Translated Zone External ID,string,200,,extension,fieldmap,,
destinationTranslatedZoneURI,,destinationTranslatedZoneURI,Destination Translated Zone URI,string,2048,The URI for the Translated Zone that the destination asset has been assigned to in ArcSight.,extension,fieldmap,,
destinationZoneExternalID,,destinationZoneExternalID,Destination Zone External ID,string,200,,extension,fieldmap,,
destinationZoneURI,,destinationZoneURI,Destination Zone URI,string,2048,The URI for the Zone that the destination asset has been assigned to in ArcSight.,extension,fieldmap,,
deviceTranslatedZoneExternalID,,deviceTranslatedZoneExternalID,Device Translated Zone External ID,string,200,,extension,fieldmap,,
deviceTranslatedZoneURI,,deviceTranslatedZoneURI,Device Translated Zone URI,string,2048,The URI for the Translated Zone that the device asset has been assigned to in ArcSight.,extension,fieldmap,,
deviceZoneExternalID,,deviceZoneExternalID,Device Zone External ID,string,200,,extension,fieldmap,,
deviceZoneURI,,deviceZoneURI,Device Zone URI,string,2048,The URI for the Zone that the device asset has been assigned to in ArcSight.,extension,fieldmap,,
dlat,dest_lat,destinationGeoLatitude,Destination Geo Latitude,double,,The latitudinal value to which the destination’s IP address belongs.,extension,fieldmap,,
dlong,dest_long,destinationGeoLongitude,Destination Geo Longitude,double,,The longitudinal value to which the destination’s IP address belongs.,extension,fieldmap,,
eventId,event_id,eventId,Event ID,long,,This is a unique ID that ArcSight assigns to each event.,extension,fieldmap,,
rawEvent,_raw,rawEvent,Raw Event,string,400,,extension,fieldmap,,
slat,src_lat,sourceGeoLatitude,Source Geo Latitude,double,,,extension,fieldmap,,
slong,src_long,sourceGeoLongitude,Source Geo Longitude,double,,,extension,fieldmap,,
sourceTranslatedZoneExternalID,,sourceTranslatedZoneExternalID,Source Translated Zone External ID,string,200,,extension,fieldmap,,
sourceTranslatedZoneURI,,sourceTranslatedZoneURI,Source Translated Zone URI,string,2048,The URI for the Translated Zone that the destination asset has been assigned to in ArcSight.,extension,fieldmap,,
sourceZoneExternalID,,sourceZoneExternalID,Source Zone External ID,string,200,,extension,fieldmap,,
sourceZoneURI,,sourceZoneURI,Source Zone URI,string,2048,The URI for the Zone that the source asset has been assigned to in ArcSight.,extension,fieldmap,,
