asset_id,order,recommendation
72,3,Reroute load to another completed engine location
73,1,Engine under critical state
73,2,Create work order to schedule maintenance in 5 days
73,3,Reroute load to another completed engine location
74,1,Engine under critical state
74,2,Create work order to schedule maintenance in 5 days
74,3,Reroute load to another completed engine location
75,1,Engine under critical state
75,2,Create work order to schedule maintenance in 5 days
75,3,Reroute load to another completed engine location
76,1,Engine under critical state
76,2,Create work order to schedule maintenance in 5 days
76,3,Reroute load to another completed engine location
77,1,Engine under critical state
77,2,Create work order to schedule maintenance in 5 days
77,3,Reroute load to another completed engine location
78,1,Engine under critical state
78,2,Create work order to schedule maintenance in 5 days
78,3,Reroute load to another completed engine location
79,1,Engine under critical state
79,2,Create work order to schedule maintenance in 5 days
79,3,Reroute load to another completed engine location
80,1,Engine under critical state
80,2,Create work order to schedule maintenance in 5 days
80,3,Reroute load to another completed engine location
81,1,Engine under critical state
81,2,Create work order to schedule maintenance in 5 days
81,3,Reroute load to another completed engine location
82,1,Engine under critical state
82,2,Create work order to schedule maintenance in 5 days
82,3,Reroute load to another completed engine location
83,1,Engine under critical state
83,2,Create work order to schedule maintenance in 5 days
83,3,Reroute load to another completed engine location
84,1,Engine under critical state
84,2,Create work order to schedule maintenance in 5 days
84,3,Reroute load to another completed engine location
85,1,Engine under critical state
85,2,Create work order to schedule maintenance in 5 days
85,3,Reroute load to another completed engine location
86,1,Engine under critical state
86,2,Create work order to schedule maintenance in 5 days
86,3,Reroute load to another completed engine location
87,1,Engine under critical state
87,2,Create work order to schedule maintenance in 5 days
87,3,Reroute load to another completed engine location
88,1,Engine under critical state
88,2,Create work order to schedule maintenance in 5 days
88,3,Reroute load to another completed engine location
89,1,Engine under critical state
89,2,Create work order to schedule maintenance in 5 days
89,3,Reroute load to another completed engine location
90,1,Engine under critical state
90,2,Create work order to schedule maintenance in 5 days
90,3,Reroute load to another completed engine location
91,1,Engine under critical state
91,2,Create work order to schedule maintenance in 5 days
91,3,Reroute load to another completed engine location
92,1,Engine under critical state
92,2,Create work order to schedule maintenance in 5 days
92,3,Reroute load to another completed engine location
93,1,Engine under critical state
93,2,Create work order to schedule maintenance in 5 days
93,3,Reroute load to another completed engine location
94,1,Engine under critical state
94,2,Create work order to schedule maintenance in 5 days
94,3,Reroute load to another completed engine location
95,1,Engine under critical state
95,2,Create work order to schedule maintenance in 5 days
95,3,Reroute load to another completed engine location
96,1,Engine under critical state
96,2,Create work order to schedule maintenance in 5 days
96,3,Reroute load to another completed engine location
97,1,Engine under critical state
97,2,Create work order to schedule maintenance in 5 days
97,3,Reroute load to another completed engine location
98,1,Engine under critical state
98,2,Create work order to schedule maintenance in 5 days
98,3,Reroute load to another completed engine location
99,1,Engine under critical state
99,2,Create work order to schedule maintenance in 5 days
99,3,Reroute load to another completed engine location
100,1,Engine under critical state
100,2,Create work order to schedule maintenance in 5 days
100,3,Reroute load to another completed engine location
101,1,Engine under critical state
101,2,Create work order to schedule maintenance in 5 days
101,3,Reroute load to another completed engine location
102,1,Engine under critical state
102,2,Create work order to schedule maintenance in 5 days
102,3,Reroute load to another completed engine location
103,1,Engine under critical state
103,2,Create work order to schedule maintenance in 5 days
103,3,Reroute load to another completed engine location
104,1,Engine under critical state
104,2,Create work order to schedule maintenance in 5 days
104,3,Reroute load to another completed engine location
105,1,Engine under critical state
105,2,Create work order to schedule maintenance in 5 days
105,3,Reroute load to another completed engine location
106,1,Engine under critical state
106,2,Create work order to schedule maintenance in 5 days
106,3,Reroute load to another completed engine location
107,1,Engine under critical state
107,2,Create work order to schedule maintenance in 5 days
107,3,Reroute load to another completed engine location
108,1,Engine under critical state
108,2,Create work order to schedule maintenance in 5 days
108,3,Reroute load to another completed engine location
109,1,Engine under critical state
109,2,Create work order to schedule maintenance in 5 days
109,3,Reroute load to another completed engine location
110,1,Engine under critical state
110,2,Create work order to schedule maintenance in 5 days
110,3,Reroute load to another completed engine location
111,1,Engine under critical state
111,2,Create work order to schedule maintenance in 5 days
111,3,Reroute load to another completed engine location
112,1,Engine under critical state
112,2,Create work order to schedule maintenance in 5 days
112,3,Reroute load to another completed engine location
113,1,Engine under critical state
113,2,Create work order to schedule maintenance in 5 days
113,3,Reroute load to another completed engine location
114,1,Engine under critical state
114,2,Create work order to schedule maintenance in 5 days
114,3,Reroute load to another completed engine location
115,1,Engine under critical state
115,2,Create work order to schedule maintenance in 5 days
115,3,Reroute load to another completed engine location
116,1,Engine under critical state
116,2,Create work order to schedule maintenance in 5 days
116,3,Reroute load to another completed engine location
117,1,Engine under critical state
117,2,Create work order to schedule maintenance in 5 days
117,3,Reroute load to another completed engine location
118,1,Engine under critical state
118,2,Create work order to schedule maintenance in 5 days
118,3,Reroute load to another completed engine location
119,1,Engine under critical state
119,2,Create work order to schedule maintenance in 5 days
119,3,Reroute load to another completed engine location
120,1,Engine under critical state
120,2,Create work order to schedule maintenance in 5 days
120,3,Reroute load to another completed engine location
121,1,Engine under critical state
121,2,Create work order to schedule maintenance in 5 days
121,3,Reroute load to another completed engine location
122,1,Engine under critical state
122,2,Create work order to schedule maintenance in 5 days
122,3,Reroute load to another completed engine location
123,1,Engine under critical state
123,2,Create work order to schedule maintenance in 5 days
123,3,Reroute load to another completed engine location
124,1,Engine under critical state
124,2,Create work order to schedule maintenance in 5 days
124,3,Reroute load to another completed engine location
125,1,Engine under critical state
125,2,Create work order to schedule maintenance in 5 days
125,3,Reroute load to another completed engine location
126,1,Engine under critical state
126,2,Create work order to schedule maintenance in 5 days
126,3,Reroute load to another completed engine location
127,1,Engine under critical state
127,2,Create work order to schedule maintenance in 5 days
127,3,Reroute load to another completed engine location
128,1,Engine under critical state
128,2,Create work order to schedule maintenance in 5 days
128,3,Reroute load to another completed engine location
129,1,Engine under critical state
129,2,Create work order to schedule maintenance in 5 days
129,3,Reroute load to another completed engine location
130,1,Engine under critical state
130,2,Create work order to schedule maintenance in 5 days
130,3,Reroute load to another completed engine location
131,1,Engine under critical state
131,2,Create work order to schedule maintenance in 5 days
131,3,Reroute load to another completed engine location
132,1,Engine under critical state
132,2,Create work order to schedule maintenance in 5 days
132,3,Reroute load to another completed engine location
133,1,Engine under critical state
133,2,Create work order to schedule maintenance in 5 days
133,3,Reroute load to another completed engine location
134,1,Engine under critical state
134,2,Create work order to schedule maintenance in 5 days
134,3,Reroute load to another completed engine location
135,1,Engine under critical state
135,2,Create work order to schedule maintenance in 5 days
135,3,Reroute load to another completed engine location
136,1,Engine under critical state
136,2,Create work order to schedule maintenance in 5 days
136,3,Reroute load to another completed engine location
137,1,Engine under critical state
137,2,Create work order to schedule maintenance in 5 days
137,3,Reroute load to another completed engine location
138,1,Engine under critical state
138,2,Create work order to schedule maintenance in 5 days
138,3,Reroute load to another completed engine location
139,1,Engine under critical state
139,2,Create work order to schedule maintenance in 5 days
139,3,Reroute load to another completed engine location
140,1,Engine under critical state
140,2,Create work order to schedule maintenance in 5 days
140,3,Reroute load to another completed engine location
141,1,Engine under critical state
141,2,Create work order to schedule maintenance in 5 days
141,3,Reroute load to another completed engine location
142,1,Engine under critical state
142,2,Create work order to schedule maintenance in 5 days
142,3,Reroute load to another completed engine location
143,1,Engine under critical state
143,2,Create work order to schedule maintenance in 5 days
143,3,Reroute load to another completed engine location
144,1,Engine under critical state
144,2,Create work order to schedule maintenance in 5 days
144,3,Reroute load to another completed engine location
145,1,Engine under critical state
145,2,Create work order to schedule maintenance in 5 days
145,3,Reroute load to another completed engine location
146,1,Engine under critical state
146,2,Create work order to schedule maintenance in 5 days
146,3,Reroute load to another completed engine location
147,1,Engine under critical state
147,2,Create work order to schedule maintenance in 5 days
147,3,Reroute load to another completed engine location
148,1,Engine under critical state
148,2,Create work order to schedule maintenance in 5 days
148,3,Reroute load to another completed engine location
149,1,Engine under critical state
149,2,Create work order to schedule maintenance in 5 days
149,3,Reroute load to another completed engine location
150,1,Engine under critical state
150,2,Create work order to schedule maintenance in 5 days
150,3,Reroute load to another completed engine location
151,1,Engine under critical state
151,2,Create work order to schedule maintenance in 5 days
151,3,Reroute load to another completed engine location
152,1,Engine under critical state
152,2,Create work order to schedule maintenance in 5 days
152,3,Reroute load to another completed engine location
153,1,Engine under critical state
153,2,Create work order to schedule maintenance in 5 days
153,3,Reroute load to another completed engine location
154,1,Engine under critical state
154,2,Create work order to schedule maintenance in 5 days
154,3,Reroute load to another completed engine location
155,1,Engine under critical state
155,2,Create work order to schedule maintenance in 5 days
155,3,Reroute load to another completed engine location
156,1,Engine under critical state
156,2,Create work order to schedule maintenance in 5 days
156,3,Reroute load to another completed engine location
157,1,Engine under critical state
157,2,Create work order to schedule maintenance in 5 days
157,3,Reroute load to another completed engine location
158,1,Engine under critical state
158,2,Create work order to schedule maintenance in 5 days
158,3,Reroute load to another completed engine location
159,1,Engine under critical state
159,2,Create work order to schedule maintenance in 5 days
159,3,Reroute load to another completed engine location
160,1,Engine under critical state
160,2,Create work order to schedule maintenance in 5 days
160,3,Reroute load to another completed engine location
161,1,Engine under critical state
161,2,Create work order to schedule maintenance in 5 days
161,3,Reroute load to another completed engine location
162,1,Engine under critical state
162,2,Create work order to schedule maintenance in 5 days
162,3,Reroute load to another completed engine location
163,1,Engine under critical state
163,2,Create work order to schedule maintenance in 5 days
163,3,Reroute load to another completed engine location
164,1,Engine under critical state
164,2,Create work order to schedule maintenance in 5 days
164,3,Reroute load to another completed engine location
165,1,Engine under critical state
165,2,Create work order to schedule maintenance in 5 days
165,3,Reroute load to another completed engine location
166,1,Engine under critical state
166,2,Create work order to schedule maintenance in 5 days
166,3,Reroute load to another completed engine location
167,1,Engine under critical state
167,2,Create work order to schedule maintenance in 5 days
167,3,Reroute load to another completed engine location
168,1,Engine under critical state
168,2,Create work order to schedule maintenance in 5 days
168,3,Reroute load to another completed engine location
169,1,Engine under critical state
169,2,Create work order to schedule maintenance in 5 days
169,3,Reroute load to another completed engine location
170,1,Engine under critical state
170,2,Create work order to schedule maintenance in 5 days
170,3,Reroute load to another completed engine location
171,1,Engine under critical state
171,2,Create work order to schedule maintenance in 5 days
171,3,Reroute load to another completed engine location
172,1,Engine under critical state
172,2,Create work order to schedule maintenance in 5 days
172,3,Reroute load to another completed engine location
173,1,Engine under critical state
173,2,Create work order to schedule maintenance in 5 days
173,3,Reroute load to another completed engine location
174,1,Engine under critical state
174,2,Create work order to schedule maintenance in 5 days
174,3,Reroute load to another completed engine location
175,1,Engine under critical state
175,2,Create work order to schedule maintenance in 5 days
175,3,Reroute load to another completed engine location
176,1,Engine under critical state
176,2,Create work order to schedule maintenance in 5 days
176,3,Reroute load to another completed engine location
177,1,Engine under critical state
177,2,Create work order to schedule maintenance in 5 days
177,3,Reroute load to another completed engine location
178,1,Engine under critical state
178,2,Create work order to schedule maintenance in 5 days
178,3,Reroute load to another completed engine location
179,1,Engine under critical state
179,2,Create work order to schedule maintenance in 5 days
179,3,Reroute load to another completed engine location
180,1,Engine under critical state
180,2,Create work order to schedule maintenance in 5 days
180,3,Reroute load to another completed engine location
181,1,Engine under critical state
181,2,Create work order to schedule maintenance in 5 days
181,3,Reroute load to another completed engine location
182,1,Engine under critical state
182,2,Create work order to schedule maintenance in 5 days
182,3,Reroute load to another completed engine location
183,1,Engine under critical state
183,2,Create work order to schedule maintenance in 5 days
183,3,Reroute load to another completed engine location
184,1,Engine under critical state
184,2,Create work order to schedule maintenance in 5 days
184,3,Reroute load to another completed engine location
185,1,Engine under critical state
185,2,Create work order to schedule maintenance in 5 days
185,3,Reroute load to another completed engine location
186,1,Engine under critical state
186,2,Create work order to schedule maintenance in 5 days
186,3,Reroute load to another completed engine location
187,1,Engine under critical state
187,2,Create work order to schedule maintenance in 5 days
187,3,Reroute load to another completed engine location
188,1,Engine under critical state
188,2,Create work order to schedule maintenance in 5 days
188,3,Reroute load to another completed engine location
189,1,Engine under critical state
189,2,Create work order to schedule maintenance in 5 days
189,3,Reroute load to another completed engine location
190,1,Engine under critical state
190,2,Create work order to schedule maintenance in 5 days
190,3,Reroute load to another completed engine location
191,1,Engine under critical state
191,2,Create work order to schedule maintenance in 5 days
191,3,Reroute load to another completed engine location
192,1,Engine under critical state
192,2,Create work order to schedule maintenance in 5 days
192,3,Reroute load to another completed engine location
193,1,Engine under critical state
193,2,Create work order to schedule maintenance in 5 days
193,3,Reroute load to another completed engine location
194,1,Engine under critical state
194,2,Create work order to schedule maintenance in 5 days
194,3,Reroute load to another completed engine location
195,1,Engine under critical state
195,2,Create work order to schedule maintenance in 5 days
195,3,Reroute load to another completed engine location
196,1,Engine under critical state
196,2,Create work order to schedule maintenance in 5 days
196,3,Reroute load to another completed engine location
197,1,Engine under critical state
197,2,Create work order to schedule maintenance in 5 days
197,3,Reroute load to another completed engine location
198,1,Engine under critical state
198,2,Create work order to schedule maintenance in 5 days
198,3,Reroute load to another completed engine location
199,1,Engine under critical state
199,2,Create work order to schedule maintenance in 5 days
199,3,Reroute load to another completed engine location
200,1,Engine under critical state
200,2,Create work order to schedule maintenance in 5 days
200,3,Reroute load to another completed engine location
