codepoints,emoji,group,name,"sub_group"
1F498,"💘","Smileys & Emotion","heart with arrow",emotion
1F49D,"💝","Smileys & Emotion","heart with ribbon",emotion
1F496,"💖","Smileys & Emotion","sparkling heart",emotion
1F497,"💗","Smileys & Emotion","growing heart",emotion
1F493,"💓","Smileys & Emotion","beating heart",emotion
1F49E,"💞","Smileys & Emotion","revolving hearts",emotion
1F495,"💕","Smileys & Emotion","two hearts",emotion
1F49F,"💟","Smileys & Emotion","heart decoration",emotion
"2763 FE0F","❣️","Smileys & Emotion","heart exclamation",emotion
2763,"❣","Smileys & Emotion","heart exclamation",emotion
1F494,"💔","Smileys & Emotion","broken heart",emotion
"2764 FE0F 200D 1F525","❤️‍🔥","Smileys & Emotion","heart on fire",emotion
"2764 200D 1F525","❤‍🔥","Smileys & Emotion","heart on fire",emotion
"2764 FE0F 200D 1FA79","❤️‍🩹","Smileys & Emotion","mending heart",emotion
"2764 200D 1FA79","❤‍🩹","Smileys & Emotion","mending heart",emotion
"2764 FE0F","❤️","Smileys & Emotion","red heart",emotion
2764,"❤","Smileys & Emotion","red heart",emotion
1F9E1,"🧡","Smileys & Emotion","orange heart",emotion
1F49B,"💛","Smileys & Emotion","yellow heart",emotion
1F49A,"💚","Smileys & Emotion","green heart",emotion
1F499,"💙","Smileys & Emotion","blue heart",emotion
1F49C,"💜","Smileys & Emotion","purple heart",emotion
1F90E,"🤎","Smileys & Emotion","brown heart",emotion
1F5A4,"🖤","Smileys & Emotion","black heart",emotion
1F90D,"🤍","Smileys & Emotion","white heart",emotion
1F4AF,"💯","Smileys & Emotion","hundred points",emotion
1F4A2,"💢","Smileys & Emotion","anger symbol",emotion
1F4A5,"💥","Smileys & Emotion",collision,emotion
1F4AB,"💫","Smileys & Emotion",dizzy,emotion
1F4A6,"💦","Smileys & Emotion","sweat droplets",emotion
1F4A8,"💨","Smileys & Emotion","dashing away",emotion
"1F573 FE0F","🕳️","Smileys & Emotion",hole,emotion
1F573,"🕳","Smileys & Emotion",hole,emotion
1F4A3,"💣","Smileys & Emotion",bomb,emotion
1F4AC,"💬","Smileys & Emotion","speech balloon",emotion
"1F441 FE0F 200D 1F5E8 FE0F","👁️‍🗨️","Smileys & Emotion","eye in speech bubble",emotion
"1F441 200D 1F5E8 FE0F","👁‍🗨️","Smileys & Emotion","eye in speech bubble",emotion
"1F441 FE0F 200D 1F5E8","👁️‍🗨","Smileys & Emotion","eye in speech bubble",emotion
"1F441 200D 1F5E8","👁‍🗨","Smileys & Emotion","eye in speech bubble",emotion
"1F5E8 FE0F","🗨️","Smileys & Emotion","left speech bubble",emotion
1F5E8,"🗨","Smileys & Emotion","left speech bubble",emotion
"1F5EF FE0F","🗯️","Smileys & Emotion","right anger bubble",emotion
1F5EF,"🗯","Smileys & Emotion","right anger bubble",emotion
1F4AD,"💭","Smileys & Emotion","thought balloon",emotion
1F4A4,"💤","Smileys & Emotion",zzz,emotion
1F44B,"👋","People & Body","waving hand","hand-fingers-open"
"1F44B 1F3FB","👋🏻","People & Body","waving hand: light skin tone","hand-fingers-open"
"1F44B 1F3FC","👋🏼","People & Body","waving hand: medium-light skin tone","hand-fingers-open"
"1F44B 1F3FD","👋🏽","People & Body","waving hand: medium skin tone","hand-fingers-open"
"1F44B 1F3FE","👋🏾","People & Body","waving hand: medium-dark skin tone","hand-fingers-open"
"1F44B 1F3FF","👋🏿","People & Body","waving hand: dark skin tone","hand-fingers-open"
1F91A,"🤚","People & Body","raised back of hand","hand-fingers-open"
"1F91A 1F3FB","🤚🏻","People & Body","raised back of hand: light skin tone","hand-fingers-open"
"1F91A 1F3FC","🤚🏼","People & Body","raised back of hand: medium-light skin tone","hand-fingers-open"
"1F91A 1F3FD","🤚🏽","People & Body","raised back of hand: medium skin tone","hand-fingers-open"
"1F91A 1F3FE","🤚🏾","People & Body","raised back of hand: medium-dark skin tone","hand-fingers-open"
"1F91A 1F3FF","🤚🏿","People & Body","raised back of hand: dark skin tone","hand-fingers-open"
"1F590 FE0F","🖐️","People & Body","hand with fingers splayed","hand-fingers-open"
1F590,"🖐","People & Body","hand with fingers splayed","hand-fingers-open"
"1F590 1F3FB","🖐🏻","People & Body","hand with fingers splayed: light skin tone","hand-fingers-open"
"1F590 1F3FC","🖐🏼","People & Body","hand with fingers splayed: medium-light skin tone","hand-fingers-open"
"1F590 1F3FD","🖐🏽","People & Body","hand with fingers splayed: medium skin tone","hand-fingers-open"
"1F590 1F3FE","🖐🏾","People & Body","hand with fingers splayed: medium-dark skin tone","hand-fingers-open"
"1F590 1F3FF","🖐🏿","People & Body","hand with fingers splayed: dark skin tone","hand-fingers-open"
270B,"✋","People & Body","raised hand","hand-fingers-open"
"270B 1F3FB","✋🏻","People & Body","raised hand: light skin tone","hand-fingers-open"
"270B 1F3FC","✋🏼","People & Body","raised hand: medium-light skin tone","hand-fingers-open"
"270B 1F3FD","✋🏽","People & Body","raised hand: medium skin tone","hand-fingers-open"
"270B 1F3FE","✋🏾","People & Body","raised hand: medium-dark skin tone","hand-fingers-open"
"270B 1F3FF","✋🏿","People & Body","raised hand: dark skin tone","hand-fingers-open"
1F596,"🖖","People & Body","vulcan salute","hand-fingers-open"
"1F596 1F3FB","🖖🏻","People & Body","vulcan salute: light skin tone","hand-fingers-open"
"1F596 1F3FC","🖖🏼","People & Body","vulcan salute: medium-light skin tone","hand-fingers-open"
"1F596 1F3FD","🖖🏽","People & Body","vulcan salute: medium skin tone","hand-fingers-open"
"1F596 1F3FE","🖖🏾","People & Body","vulcan salute: medium-dark skin tone","hand-fingers-open"
"1F596 1F3FF","🖖🏿","People & Body","vulcan salute: dark skin tone","hand-fingers-open"
1F44C,"👌","People & Body","OK hand","hand-fingers-partial"
"1F44C 1F3FB","👌🏻","People & Body","OK hand: light skin tone","hand-fingers-partial"
"1F44C 1F3FC","👌🏼","People & Body","OK hand: medium-light skin tone","hand-fingers-partial"
"1F44C 1F3FD","👌🏽","People & Body","OK hand: medium skin tone","hand-fingers-partial"
"1F44C 1F3FE","👌🏾","People & Body","OK hand: medium-dark skin tone","hand-fingers-partial"
"1F44C 1F3FF","👌🏿","People & Body","OK hand: dark skin tone","hand-fingers-partial"
1F90C,"🤌","People & Body","pinched fingers","hand-fingers-partial"
"1F90C 1F3FB","🤌🏻","People & Body","pinched fingers: light skin tone","hand-fingers-partial"
"1F90C 1F3FC","🤌🏼","People & Body","pinched fingers: medium-light skin tone","hand-fingers-partial"
"1F90C 1F3FD","🤌🏽","People & Body","pinched fingers: medium skin tone","hand-fingers-partial"
"1F90C 1F3FE","🤌🏾","People & Body","pinched fingers: medium-dark skin tone","hand-fingers-partial"
"1F90C 1F3FF","🤌🏿","People & Body","pinched fingers: dark skin tone","hand-fingers-partial"
1F90F,"🤏","People & Body","pinching hand","hand-fingers-partial"
"1F90F 1F3FB","🤏🏻","People & Body","pinching hand: light skin tone","hand-fingers-partial"
"1F90F 1F3FC","🤏🏼","People & Body","pinching hand: medium-light skin tone","hand-fingers-partial"
"1F90F 1F3FD","🤏🏽","People & Body","pinching hand: medium skin tone","hand-fingers-partial"
"1F90F 1F3FE","🤏🏾","People & Body","pinching hand: medium-dark skin tone","hand-fingers-partial"
"1F90F 1F3FF","🤏🏿","People & Body","pinching hand: dark skin tone","hand-fingers-partial"
"270C FE0F","✌️","People & Body","victory hand","hand-fingers-partial"
270C,"✌","People & Body","victory hand","hand-fingers-partial"
"270C 1F3FB","✌🏻","People & Body","victory hand: light skin tone","hand-fingers-partial"
"270C 1F3FC","✌🏼","People & Body","victory hand: medium-light skin tone","hand-fingers-partial"
"270C 1F3FD","✌🏽","People & Body","victory hand: medium skin tone","hand-fingers-partial"
"270C 1F3FE","✌🏾","People & Body","victory hand: medium-dark skin tone","hand-fingers-partial"
"270C 1F3FF","✌🏿","People & Body","victory hand: dark skin tone","hand-fingers-partial"
1F91E,"🤞","People & Body","crossed fingers","hand-fingers-partial"
"1F91E 1F3FB","🤞🏻","People & Body","crossed fingers: light skin tone","hand-fingers-partial"
"1F91E 1F3FC","🤞🏼","People & Body","crossed fingers: medium-light skin tone","hand-fingers-partial"
"1F91E 1F3FD","🤞🏽","People & Body","crossed fingers: medium skin tone","hand-fingers-partial"
"1F91E 1F3FE","🤞🏾","People & Body","crossed fingers: medium-dark skin tone","hand-fingers-partial"
"1F91E 1F3FF","🤞🏿","People & Body","crossed fingers: dark skin tone","hand-fingers-partial"
1F91F,"🤟","People & Body","love-you gesture","hand-fingers-partial"
"1F91F 1F3FB","🤟🏻","People & Body","love-you gesture: light skin tone","hand-fingers-partial"
"1F91F 1F3FC","🤟🏼","People & Body","love-you gesture: medium-light skin tone","hand-fingers-partial"
"1F91F 1F3FD","🤟🏽","People & Body","love-you gesture: medium skin tone","hand-fingers-partial"
"1F91F 1F3FE","🤟🏾","People & Body","love-you gesture: medium-dark skin tone","hand-fingers-partial"
"1F91F 1F3FF","🤟🏿","People & Body","love-you gesture: dark skin tone","hand-fingers-partial"
1F918,"🤘","People & Body","sign of the horns","hand-fingers-partial"
"1F918 1F3FB","🤘🏻","People & Body","sign of the horns: light skin tone","hand-fingers-partial"
"1F918 1F3FC","🤘🏼","People & Body","sign of the horns: medium-light skin tone","hand-fingers-partial"
"1F918 1F3FD","🤘🏽","People & Body","sign of the horns: medium skin tone","hand-fingers-partial"
"1F918 1F3FE","🤘🏾","People & Body","sign of the horns: medium-dark skin tone","hand-fingers-partial"
"1F918 1F3FF","🤘🏿","People & Body","sign of the horns: dark skin tone","hand-fingers-partial"
1F919,"🤙","People & Body","call me hand","hand-fingers-partial"
"1F919 1F3FB","🤙🏻","People & Body","call me hand: light skin tone","hand-fingers-partial"
"1F919 1F3FC","🤙🏼","People & Body","call me hand: medium-light skin tone","hand-fingers-partial"
"1F919 1F3FD","🤙🏽","People & Body","call me hand: medium skin tone","hand-fingers-partial"
"1F919 1F3FE","🤙🏾","People & Body","call me hand: medium-dark skin tone","hand-fingers-partial"
"1F919 1F3FF","🤙🏿","People & Body","call me hand: dark skin tone","hand-fingers-partial"
1F448,"👈","People & Body","backhand index pointing left","hand-single-finger"
"1F448 1F3FB","👈🏻","People & Body","backhand index pointing left: light skin tone","hand-single-finger"
"1F448 1F3FC","👈🏼","People & Body","backhand index pointing left: medium-light skin tone","hand-single-finger"
"1F448 1F3FD","👈🏽","People & Body","backhand index pointing left: medium skin tone","hand-single-finger"
"1F448 1F3FE","👈🏾","People & Body","backhand index pointing left: medium-dark skin tone","hand-single-finger"
"1F448 1F3FF","👈🏿","People & Body","backhand index pointing left: dark skin tone","hand-single-finger"
1F449,"👉","People & Body","backhand index pointing right","hand-single-finger"
"1F449 1F3FB","👉🏻","People & Body","backhand index pointing right: light skin tone","hand-single-finger"
"1F449 1F3FC","👉🏼","People & Body","backhand index pointing right: medium-light skin tone","hand-single-finger"
"1F449 1F3FD","👉🏽","People & Body","backhand index pointing right: medium skin tone","hand-single-finger"
"1F449 1F3FE","👉🏾","People & Body","backhand index pointing right: medium-dark skin tone","hand-single-finger"
"1F449 1F3FF","👉🏿","People & Body","backhand index pointing right: dark skin tone","hand-single-finger"
1F446,"👆","People & Body","backhand index pointing up","hand-single-finger"
"1F446 1F3FB","👆🏻","People & Body","backhand index pointing up: light skin tone","hand-single-finger"
"1F446 1F3FC","👆🏼","People & Body","backhand index pointing up: medium-light skin tone","hand-single-finger"
"1F446 1F3FD","👆🏽","People & Body","backhand index pointing up: medium skin tone","hand-single-finger"
"1F446 1F3FE","👆🏾","People & Body","backhand index pointing up: medium-dark skin tone","hand-single-finger"
"1F446 1F3FF","👆🏿","People & Body","backhand index pointing up: dark skin tone","hand-single-finger"
1F595,"🖕","People & Body","middle finger","hand-single-finger"
"1F595 1F3FB","🖕🏻","People & Body","middle finger: light skin tone","hand-single-finger"
"1F595 1F3FC","🖕🏼","People & Body","middle finger: medium-light skin tone","hand-single-finger"
"1F595 1F3FD","🖕🏽","People & Body","middle finger: medium skin tone","hand-single-finger"
"1F595 1F3FE","🖕🏾","People & Body","middle finger: medium-dark skin tone","hand-single-finger"
"1F595 1F3FF","🖕🏿","People & Body","middle finger: dark skin tone","hand-single-finger"
1F447,"👇","People & Body","backhand index pointing down","hand-single-finger"
"1F447 1F3FB","👇🏻","People & Body","backhand index pointing down: light skin tone","hand-single-finger"
"1F447 1F3FC","👇🏼","People & Body","backhand index pointing down: medium-light skin tone","hand-single-finger"
"1F447 1F3FD","👇🏽","People & Body","backhand index pointing down: medium skin tone","hand-single-finger"
"1F447 1F3FE","👇🏾","People & Body","backhand index pointing down: medium-dark skin tone","hand-single-finger"
"1F447 1F3FF","👇🏿","People & Body","backhand index pointing down: dark skin tone","hand-single-finger"
"261D FE0F","☝️","People & Body","index pointing up","hand-single-finger"
261D,"☝","People & Body","index pointing up","hand-single-finger"
"261D 1F3FB","☝🏻","People & Body","index pointing up: light skin tone","hand-single-finger"
"261D 1F3FC","☝🏼","People & Body","index pointing up: medium-light skin tone","hand-single-finger"
"261D 1F3FD","☝🏽","People & Body","index pointing up: medium skin tone","hand-single-finger"
"261D 1F3FE","☝🏾","People & Body","index pointing up: medium-dark skin tone","hand-single-finger"
"261D 1F3FF","☝🏿","People & Body","index pointing up: dark skin tone","hand-single-finger"
1F44D,"👍","People & Body","thumbs up","hand-fingers-closed"
"1F44D 1F3FB","👍🏻","People & Body","thumbs up: light skin tone","hand-fingers-closed"
"1F44D 1F3FC","👍🏼","People & Body","thumbs up: medium-light skin tone","hand-fingers-closed"
"1F44D 1F3FD","👍🏽","People & Body","thumbs up: medium skin tone","hand-fingers-closed"
"1F44D 1F3FE","👍🏾","People & Body","thumbs up: medium-dark skin tone","hand-fingers-closed"
"1F44D 1F3FF","👍🏿","People & Body","thumbs up: dark skin tone","hand-fingers-closed"
1F44E,"👎","People & Body","thumbs down","hand-fingers-closed"
"1F44E 1F3FB","👎🏻","People & Body","thumbs down: light skin tone","hand-fingers-closed"
"1F44E 1F3FC","👎🏼","People & Body","thumbs down: medium-light skin tone","hand-fingers-closed"
"1F44E 1F3FD","👎🏽","People & Body","thumbs down: medium skin tone","hand-fingers-closed"
"1F44E 1F3FE","👎🏾","People & Body","thumbs down: medium-dark skin tone","hand-fingers-closed"
"1F44E 1F3FF","👎🏿","People & Body","thumbs down: dark skin tone","hand-fingers-closed"
270A,"✊","People & Body","raised fist","hand-fingers-closed"
"270A 1F3FB","✊🏻","People & Body","raised fist: light skin tone","hand-fingers-closed"
"270A 1F3FC","✊🏼","People & Body","raised fist: medium-light skin tone","hand-fingers-closed"
"270A 1F3FD","✊🏽","People & Body","raised fist: medium skin tone","hand-fingers-closed"
"270A 1F3FE","✊🏾","People & Body","raised fist: medium-dark skin tone","hand-fingers-closed"
"270A 1F3FF","✊🏿","People & Body","raised fist: dark skin tone","hand-fingers-closed"
1F44A,"👊","People & Body","oncoming fist","hand-fingers-closed"
"1F44A 1F3FB","👊🏻","People & Body","oncoming fist: light skin tone","hand-fingers-closed"
"1F44A 1F3FC","👊🏼","People & Body","oncoming fist: medium-light skin tone","hand-fingers-closed"
"1F44A 1F3FD","👊🏽","People & Body","oncoming fist: medium skin tone","hand-fingers-closed"
"1F44A 1F3FE","👊🏾","People & Body","oncoming fist: medium-dark skin tone","hand-fingers-closed"
"1F44A 1F3FF","👊🏿","People & Body","oncoming fist: dark skin tone","hand-fingers-closed"
1F91B,"🤛","People & Body","left-facing fist","hand-fingers-closed"
"1F91B 1F3FB","🤛🏻","People & Body","left-facing fist: light skin tone","hand-fingers-closed"
"1F91B 1F3FC","🤛🏼","People & Body","left-facing fist: medium-light skin tone","hand-fingers-closed"
"1F91B 1F3FD","🤛🏽","People & Body","left-facing fist: medium skin tone","hand-fingers-closed"
"1F91B 1F3FE","🤛🏾","People & Body","left-facing fist: medium-dark skin tone","hand-fingers-closed"
"1F91B 1F3FF","🤛🏿","People & Body","left-facing fist: dark skin tone","hand-fingers-closed"
1F91C,"🤜","People & Body","right-facing fist","hand-fingers-closed"
"1F91C 1F3FB","🤜🏻","People & Body","right-facing fist: light skin tone","hand-fingers-closed"
"1F91C 1F3FC","🤜🏼","People & Body","right-facing fist: medium-light skin tone","hand-fingers-closed"
"1F91C 1F3FD","🤜🏽","People & Body","right-facing fist: medium skin tone","hand-fingers-closed"
"1F91C 1F3FE","🤜🏾","People & Body","right-facing fist: medium-dark skin tone","hand-fingers-closed"
"1F91C 1F3FF","🤜🏿","People & Body","right-facing fist: dark skin tone","hand-fingers-closed"
1F44F,"👏","People & Body","clapping hands",hands
"1F44F 1F3FB","👏🏻","People & Body","clapping hands: light skin tone",hands
"1F44F 1F3FC","👏🏼","People & Body","clapping hands: medium-light skin tone",hands
"1F44F 1F3FD","👏🏽","People & Body","clapping hands: medium skin tone",hands
"1F44F 1F3FE","👏🏾","People & Body","clapping hands: medium-dark skin tone",hands
"1F44F 1F3FF","👏🏿","People & Body","clapping hands: dark skin tone",hands
1F64C,"🙌","People & Body","raising hands",hands
"1F64C 1F3FB","🙌🏻","People & Body","raising hands: light skin tone",hands
"1F64C 1F3FC","🙌🏼","People & Body","raising hands: medium-light skin tone",hands
"1F64C 1F3FD","🙌🏽","People & Body","raising hands: medium skin tone",hands
"1F64C 1F3FE","🙌🏾","People & Body","raising hands: medium-dark skin tone",hands
"1F64C 1F3FF","🙌🏿","People & Body","raising hands: dark skin tone",hands
1F450,"👐","People & Body","open hands",hands
"1F450 1F3FB","👐🏻","People & Body","open hands: light skin tone",hands
"1F450 1F3FC","👐🏼","People & Body","open hands: medium-light skin tone",hands
"1F450 1F3FD","👐🏽","People & Body","open hands: medium skin tone",hands
"1F450 1F3FE","👐🏾","People & Body","open hands: medium-dark skin tone",hands
"1F450 1F3FF","👐🏿","People & Body","open hands: dark skin tone",hands
1F932,"🤲","People & Body","palms up together",hands
"1F932 1F3FB","🤲🏻","People & Body","palms up together: light skin tone",hands
"1F932 1F3FC","🤲🏼","People & Body","palms up together: medium-light skin tone",hands
"1F932 1F3FD","🤲🏽","People & Body","palms up together: medium skin tone",hands
"1F932 1F3FE","🤲🏾","People & Body","palms up together: medium-dark skin tone",hands
"1F932 1F3FF","🤲🏿","People & Body","palms up together: dark skin tone",hands
1F91D,"🤝","People & Body",handshake,hands
1F64F,"🙏","People & Body","folded hands",hands
"1F64F 1F3FB","🙏🏻","People & Body","folded hands: light skin tone",hands
"1F64F 1F3FC","🙏🏼","People & Body","folded hands: medium-light skin tone",hands
"1F64F 1F3FD","🙏🏽","People & Body","folded hands: medium skin tone",hands
"1F64F 1F3FE","🙏🏾","People & Body","folded hands: medium-dark skin tone",hands
"1F64F 1F3FF","🙏🏿","People & Body","folded hands: dark skin tone",hands
"270D FE0F","✍️","People & Body","writing hand","hand-prop"
270D,"✍","People & Body","writing hand","hand-prop"
"270D 1F3FB","✍🏻","People & Body","writing hand: light skin tone","hand-prop"
"270D 1F3FC","✍🏼","People & Body","writing hand: medium-light skin tone","hand-prop"
"270D 1F3FD","✍🏽","People & Body","writing hand: medium skin tone","hand-prop"
"270D 1F3FE","✍🏾","People & Body","writing hand: medium-dark skin tone","hand-prop"
"270D 1F3FF","✍🏿","People & Body","writing hand: dark skin tone","hand-prop"
1F485,"💅","People & Body","nail polish","hand-prop"
"1F485 1F3FB","💅🏻","People & Body","nail polish: light skin tone","hand-prop"
"1F485 1F3FC","💅🏼","People & Body","nail polish: medium-light skin tone","hand-prop"
"1F485 1F3FD","💅🏽","People & Body","nail polish: medium skin tone","hand-prop"
