Origin,OriginAirport,OriginStateName,OriginCityName,OriginLatitude,OriginLongitude
DAL,"Dallas, TX: Dallas Love Field",Texas,"Dallas, TX","32.8470993","-96.85179901"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Maryland,"Baltimore, MD","39.17539978","-76.66829681"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Florida,"Fort Lauderdale, FL","26.07259941","-80.15270233"
DTW,"Detroit, MI: Detroit Metro Wayne County",Michigan,"Detroit, MI","42.21239853","-83.35340118"
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Minnesota,"Minneapolis, MN","44.88199997","-93.22180176"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International",Louisiana,"New Orleans, LA","29.99340057","-90.25800323"
BUR,"Burbank, CA: Bob Hope",California,"Burbank, CA","34.20069885","-118.3590012"
SNA,"Santa Ana, CA: John Wayne Airport-Orange County",California,"Santa Ana, CA","33.67570114","-117.8679962"
LGB,"Long Beach, CA: Long Beach Airport",California,"Long Beach, CA","33.81769943","-118.1520004"
RKS,"Rock Springs, WY: Rock Springs Sweetwater County",Wyoming,"Rock Springs, WY","41.59420013","-109.0650024"
TPA,"Tampa, FL: Tampa International",Florida,"Tampa, FL","27.97550011","-82.53320313"
MDW,"Chicago, IL: Chicago Midway International",Illinois,"Chicago, IL","41.7859993","-87.75240326"
SBA,"Santa Barbara, CA: Santa Barbara Municipal",California,"Santa Barbara, CA","34.42620087","-119.8399963"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International","North Carolina","Raleigh/Durham, NC","35.87760162","-78.78749847"
BDL,"Hartford, CT: Bradley International",Connecticut,"Hartford, CT","41.93889999","-72.68319702"
OME,"Nome, AK: Nome Airport",Alaska,"Nome, AK","64.5121994","-165.4450073"
BET,"Bethel, AK: Bethel Airport",Alaska,"Bethel, AK","60.77980042","-161.8379974"
HOU,"Houston, TX: William P Hobby",Texas,"Houston, TX","29.64539909","-95.27890015"
CLE,"Cleveland, OH: Cleveland-Hopkins International",Ohio,"Cleveland, OH","41.4117012","-81.84980011"
MCI,"Kansas City, MO: Kansas City International",Missouri,"Kansas City, MO","39.29759979","-94.71389771"
RNO,"Reno, NV: Reno/Tahoe International",Nevada,"Reno, NV","39.49909973","-119.7679977"
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",Florida,"West Palm Beach/Palm Beach, FL","26.68320084","-80.09559631"
BUF,"Buffalo, NY: Buffalo Niagara International","New York","Buffalo, NY","42.94049835","-78.73220062"
CAE,"Columbia, SC: Columbia Metropolitan","South Carolina","Columbia, SC","33.93880081","-81.11949921"
AUS,"Austin, TX: Austin - Bergstrom International",Texas,"Austin, TX","30.19449997","-97.66989899"
RSW,"Fort Myers, FL: Southwest Florida International",Florida,"Fort Myers, FL","26.53619957","-81.75520325"
RHI,"Rhinelander, WI: Rhinelander/Oneida County",Wisconsin,"Rhinelander, WI","45.63119888","-89.46749878"
BRD,"Brainerd, MN: Brainerd Lakes Regional",Minnesota,"Brainerd, MN","46.39830017","-94.13809967"
ONT,"Ontario, CA: Ontario International",California,"Ontario, CA","34.05599976","-117.6009979"
IPL,"El Centro, CA: Imperial County",California,"El Centro, CA","32.83420181","-115.5790024"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",Kentucky,"Cincinnati, OH","39.04880142","-84.6678009"
FAT,"Fresno, CA: Fresno Yosemite International",California,"Fresno, CA","36.77619934","-119.7180023"
STL,"St. Louis, MO: Lambert-St. Louis International",Missouri,"St. Louis, MO","38.74869919","-90.37000275"
BOI,"Boise, ID: Boise Air Terminal",Idaho,"Boise, ID","43.56439972","-116.2229996"
HPN,"White Plains, NY: Westchester County","New York","White Plains, NY","41.06700134","-73.70760345"
ABQ,"Albuquerque, NM: Albuquerque International Sunport","New Mexico","Albuquerque, NM","35.04019928","-106.6090012"
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",Alaska,"Barrow, AK","71.28540039","-156.7660065"
RDD,"Redding, CA: Redding Municipal",California,"Redding, CA","40.50899887","-122.2929993"
SBP,"San Luis Obispo, CA: San Luis County Regional",California,"San Luis Obispo, CA","35.23680115","-120.6419983"
ELP,"El Paso, TX: El Paso International",Texas,"El Paso, TX","31.80719948","-106.3779984"
PVD,"Providence, RI: Theodore Francis Green State","Rhode Island","Providence, RI","41.73260117","-71.42040253"
FWA,"Fort Wayne, IN: Fort Wayne International",Indiana,"Fort Wayne, IN","40.97850037","-85.19509888"
SAT,"San Antonio, TX: San Antonio International",Texas,"San Antonio, TX","29.53370094","-98.46980286"
MRY,"Monterey, CA: Monterey Peninsula",California,"Monterey, CA","36.5870018","-121.8430023"
JAX,"Jacksonville, FL: Jacksonville International",Florida,"Jacksonville, FL","30.49410057","-81.68789673"
MBS,"Saginaw/Bay City/Midland, MI: MBS International",Michigan,"Saginaw/Bay City/Midland, MI","43.53290176","-84.07959747"
KTN,"Ketchikan, AK: Ketchikan International",Alaska,"Ketchikan, AK","55.35559845","-131.7140045"
SHV,"Shreveport, LA: Shreveport Regional",Louisiana,"Shreveport, LA","32.44660187","-93.82559967"
MAF,"Midland/Odessa, TX: Midland International",Texas,"Midland/Odessa, TX","31.94249916","-102.2020035"
BNA,"Nashville, TN: Nashville International",Tennessee,"Nashville, TN","36.12450027","-86.67819977"
CPR,"Casper, WY: Casper/Natrona County International",Wyoming,"Casper, WY","42.90800095","-106.4639969"
RIC,"Richmond, VA: Richmond International",Virginia,"Richmond, VA","37.50519943","-77.31970215"
SAV,"Savannah, GA: Savannah/Hilton Head International",Georgia,"Savannah, GA","32.12760162","-81.20210266"
ORF,"Norfolk, VA: Norfolk International",Virginia,"Norfolk, VA","36.89459991","-76.20120239"
BFL,"Bakersfield, CA: Meadows Field",California,"Bakersfield, CA","35.43360138","-119.0569992"
LBB,"Lubbock, TX: Lubbock Preston Smith International",Texas,"Lubbock, TX","33.66360092","-101.822998"
TUS,"Tucson, AZ: Tucson International",Arizona,"Tucson, AZ","32.11610031","-110.9410019"
AMA,"Amarillo, TX: Rick Husband Amarillo International",Texas,"Amarillo, TX","35.2193985","-101.7060013"
PIT,"Pittsburgh, PA: Pittsburgh International",Pennsylvania,"Pittsburgh, PA","40.49150085","-80.23290253"
GSO,"Greensboro/High Point, NC: Piedmont Triad International","North Carolina","Greensboro/High Point, NC","36.09780121","-79.93730164"
FSD,"Sioux Falls, SD: Joe Foss Field","South Dakota","Sioux Falls, SD","43.58200073","-96.74189758"
LIT,"Little Rock, AR: Adams Field",Arkansas,"Little Rock, AR","34.72940063","-92.22429657"
DAY,"Dayton, OH: James M Cox/Dayton International",Ohio,"Dayton, OH","39.90240097","-84.2193985"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",Colorado,"Aspen, CO","39.22320175","-106.8690033"
MOT,"Minot, ND: Minot International","North Dakota","Minot, ND","48.25939941","-101.2799988"
CMH,"Columbus, OH: Port Columbus International",Ohio,"Columbus, OH","39.9980011","-82.89189911"
SGU,"St. George, UT: St George Municipal",Utah,"St. George, UT","37.03638889","-113.5103056"
OKC,"Oklahoma City, OK: Will Rogers World",Oklahoma,"Oklahoma City, OK","35.39310074","-97.60070038"
FAR,"Fargo, ND: Hector International","North Dakota","Fargo, ND","46.92070007","-96.81580353"
PPG,"Pago Pago, TT: Pago Pago International","U.S. Pacific Trust Territories and Possessions","Pago Pago, TT","-14.33100033","-170.7100067"
JAN,"Jackson/Vicksburg, MS: Jackson - Evers International",Mississippi,"Jackson/Vicksburg, MS","32.31119919","-90.07589722"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International",Arizona,"Yuma, AZ","32.65660095","-114.6060028"
IND,"Indianapolis, IN: Indianapolis International",Indiana,"Indianapolis, IN","39.71730042","-86.29440308"
MSN,"Madison, WI: Dane County Regional-Truax Field",Wisconsin,"Madison, WI","43.13990021","-89.33750153"
MEM,"Memphis, TN: Memphis International",Tennessee,"Memphis, TN","35.04240036","-89.97669983"
CAK,"Akron, OH: Akron-Canton Regional",Ohio,"Akron, OH","40.91609955","-81.44219971"
SDF,"Louisville, KY: Louisville International-Standiford Field",Kentucky,"Louisville, KY","38.17440033","-85.73600006"
CHS,"Charleston, SC: Charleston AFB/International","South Carolina","Charleston, SC","32.89860153","-80.04049683"
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",Colorado,"Colorado Springs, CO","38.80580139","-104.7009964"
XNA,"Fayetteville, AR: Northwest Arkansas Regional",Arkansas,"Fayetteville, AR","36.2818985","-94.30680084"
BIS,"Bismarck/Mandan, ND: Bismarck Municipal","North Dakota","Bismarck/Mandan, ND","46.77270126","-100.7460022"
OMA,"Omaha, NE: Eppley Airfield",Nebraska,"Omaha, NE","41.30319977","-95.89409637"
BTV,"Burlington, VT: Burlington International",Vermont,"Burlington, VT","44.47190094","-73.15329742"
OTZ,"Kotzebue, AK: Ralph Wien Memorial",Alaska,"Kotzebue, AK","66.88469696","-162.598999"
MFR,"Medford, OR: Rogue Valley International - Medford",Oregon,"Medford, OR","42.37419891","-122.8730011"
EYW,"Key West, FL: Key West International",Florida,"Key West, FL","24.55610085","-81.75959778"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Iowa,"Cedar Rapids/Iowa City, IA","41.88470078","-91.71080017"
DSM,"Des Moines, IA: Des Moines International",Iowa,"Des Moines, IA","41.5340004","-93.6631012"
CRP,"Corpus Christi, TX: Corpus Christi International",Texas,"Corpus Christi, TX","27.77039909","-97.50119781"
MKG,"Muskegon, MI: Muskegon County",Michigan,"Muskegon, MI",,
TLH,"Tallahassee, FL: Tallahassee Regional",Florida,"Tallahassee, FL","30.39649963","-84.35030365"
CLD,"Carlsbad, CA: McClellan-Palomar",California,"Carlsbad, CA",,
TUL,"Tulsa, OK: Tulsa International",Oklahoma,"Tulsa, OK","36.19839859","-95.88809967"
SYR,"Syracuse, NY: Syracuse Hancock International","New York","Syracuse, NY","43.11119843","-76.10630035"
LAN,"Lansing, MI: Capital Region International",Michigan,"Lansing, MI","42.77870178","-84.58740234"
ROC,"Rochester, NY: Greater Rochester International","New York","Rochester, NY","43.1189003","-77.67240143"
LEX,"Lexington, KY: Blue Grass",Kentucky,"Lexington, KY","38.03649902","-84.60590363"
LRD,"Laredo, TX: Laredo International",Texas,"Laredo, TX","27.54380035","-99.46160126"
PSP,"Palm Springs, CA: Palm Springs International",California,"Palm Springs, CA","33.82970047","-116.5070038"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Louisiana,"Baton Rouge, LA","30.53319931","-91.14959717"
BRO,"Brownsville, TX: Brownsville South Padre Island International",Texas,"Brownsville, TX","25.90679932","-97.42590332"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Alabama,"Birmingham, AL","33.56290054","-86.75350189"
CWA,"Mosinee, WI: Central Wisconsin",Wisconsin,"Mosinee, WI",,
LFT,"Lafayette, LA: Lafayette Regional",Louisiana,"Lafayette, LA","30.20529938","-91.98760223"
GRK,"Killeen, TX: Robert Gray AAF",Texas,"Killeen, TX","31.06719971","-97.8289032"
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Oklahoma,"Lawton/Fort Sill, OK",,
PNS,"Pensacola, FL: Pensacola Gulf Coast Regional",Florida,"Pensacola, FL","30.47340012","-87.18659973"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",Tennessee,"Bristol/Johnson City/Kingsport, TN","36.47520065","-82.40740204"
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Mississippi,"Gulfport/Biloxi, MS","30.40730095","-89.07009888"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Virginia,"Newport News/Williamsburg, VA","37.13190079","-76.49299622"
ACV,"Arcata/Eureka, CA: Arcata",California,"Arcata/Eureka, CA","40.97809982","-124.1090012"
ACT,"Waco, TX: Waco Regional",Texas,"Waco, TX","31.61129951","-97.23049927"
FSM,"Fort Smith, AR: Fort Smith Regional",Arkansas,"Fort Smith, AR","35.33660126","-94.36740112"
PWM,"Portland, ME: Portland International Jetport",Maine,"Portland, ME","43.64619827","-70.30930328"
DLH,"Duluth, MN: Duluth International",Minnesota,"Duluth, MN","46.84209824","-92.19360352"
CHA,"Chattanooga, TN: Lovell Field",Tennessee,"Chattanooga, TN","35.03530121","-85.20379639"
MHT,"Manchester, NH: Manchester-Boston Regional","New Hampshire","Manchester, NH","42.93259811","-71.43569946"
CLL,"College Station/Bryan, TX: Easterwood Field",Texas,"College Station/Bryan, TX","30.58860016","-96.36380005"
AGS,"Augusta, GA: Augusta Regional at Bush Field",Georgia,"Augusta, GA","33.36989975","-81.96450043"
TYS,"Knoxville, TN: McGhee Tyson",Tennessee,"Knoxville, TN","35.81100082","-83.9940033"
TYR,"Tyler, TX: Tyler Pounds Regional",Texas,"Tyler, TX","32.35409927","-95.40239716"
PIA,"Peoria, IL: General Downing - Peoria International",Illinois,"Peoria, IL","40.66419983","-89.69329834"
MDT,"Harrisburg, PA: Harrisburg International",Pennsylvania,"Harrisburg, PA","40.19350052","-76.76339722"
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",Texas,"Mission/McAllen/Edinburg, TX","26.17580032","-98.23860168"
ICT,"Wichita, KS: Wichita Mid-Continent",Kansas,"Wichita, KS","37.64989853","-97.43309784"
GRB,"Green Bay, WI: Austin Straubel International",Wisconsin,"Green Bay, WI","44.48509979","-88.12960052"
GSP,"Greer, SC: Greenville-Spartanburg International","South Carolina","Greer, SC","34.89569855","-82.21890259"
EGE,"Eagle, CO: Eagle County Regional",Colorado,"Eagle, CO","39.64260101","-106.9179993"
GRR,"Grand Rapids, MI: Gerald R. Ford International",Michigan,"Grand Rapids, MI","42.88079834","-85.52279663"
CRW,"Charleston/Dunbar, WV: Yeager","West Virginia","Charleston/Dunbar, WV","38.37310028","-81.59320068"
MOB,"Mobile, AL: Mobile Regional",Alabama,"Mobile, AL","30.69120026","-88.24279785"
ALB,"Albany, NY: Albany International","New York","Albany, NY","42.74829865","-73.80169678"
SIT,"Sitka, AK: Sitka Rocky Gutierrez",Alaska,"Sitka, AK","57.04710007","-135.3619995"
YAK,"Yakutat, AK: Yakutat Airport",Alaska,"Yakutat, AK","59.50329971","-139.6600037"
IDA,"Idaho Falls, ID: Idaho Falls Regional",Idaho,"Idaho Falls, ID","43.51459885","-112.0709991"
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Florida,"Sarasota/Bradenton, FL","27.39539909","-82.55439758"
VPS,"Valparaiso, FL: Northwest Florida Regional",Florida,"Valparaiso, FL","30.48320007","-86.52539825"
ROA,"Roanoke, VA: Roanoke Regional/Woodrum Field",Virginia,"Roanoke, VA","37.32550049","-79.97540283"
SPI,"Springfield, IL: Abraham Lincoln Capital",Illinois,"Springfield, IL","39.84410095","-89.67790222"
EVV,"Evansville, IN: Evansville Regional",Indiana,"Evansville, IN","38.03699875","-87.53240204"
GJT,"Grand Junction, CO: Grand Junction Regional",Colorado,"Grand Junction, CO","39.12239838","-108.5270004"
GEG,"Spokane, WA: Spokane International",Washington,"Spokane, WA","47.61989975","-117.5339966"
HRL,"Harlingen/San Benito, TX: Valley International",Texas,"Harlingen/San Benito, TX","26.22850037","-97.65440369"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Idaho,"Sun Valley/Hailey/Ketchum, ID","43.50439835","-114.2959976"
ATW,"Appleton, WI: Outagamie County Regional",Wisconsin,"Appleton, WI",,
SGF,"Springfield, MO: Springfield-Branson National",Missouri,"Springfield, MO","37.24570084","-93.38860321"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",Texas,"San Angelo, TX","31.35770035","-100.4960022"
FNT,"Flint, MI: Bishop International",Michigan,"Flint, MI","42.9654007","-83.74359894"
CDC,"Cedar City, UT: Cedar City Regional",Utah,"Cedar City, UT","37.70100021","-113.098999"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",Alabama,"Huntsville, AL","34.6371994","-86.77510071"
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Pennsylvania,"Allentown/Bethlehem/Easton, PA","40.65209961","-75.44080353"
PIH,"Pocatello, ID: Pocatello Regional",Idaho,"Pocatello, ID","42.90980148","-112.5960007"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",Idaho,"Twin Falls, ID","42.48180008","-114.487999"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis","North Carolina","Jacksonville/Camp Lejeune, NC","34.82920074","-77.61209869"
GGG,"Longview, TX: East Texas Regional",Texas,"Longview, TX","32.38399887","-94.71150208"
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field","North Carolina","Fayetteville, NC","34.99119949","-78.88030243"
CIC,"Chico, CA: Chico Municipal",California,"Chico, CA",,
AEX,"Alexandria, LA: Alexandria International",Louisiana,"Alexandria, LA","31.32740021","-92.54979706"
ADK,"Adak Island, AK: Adak",Alaska,"Adak Island, AK","51.87799835","-176.6459961"
MYR,"Myrtle Beach, SC: Myrtle Beach International","South Carolina","Myrtle Beach, SC","33.67969894","-78.92829895"
SBN,"South Bend, IN: South Bend Airport",Indiana,"South Bend, IN","41.70869827","-86.31729889"
MGM,"Montgomery, AL: Montgomery Regional",Alabama,"Montgomery, AL","32.30059814","-86.39399719"
AVL,"Asheville, NC: Asheville Regional","North Carolina","Asheville, NC","35.43619919","-82.54180145"
DAB,"Daytona Beach, FL: Daytona Beach International",Florida,"Daytona Beach, FL","29.17989922","-81.05809784"
FLG,"Flagstaff, AZ: Flagstaff Pulliam",Arizona,"Flagstaff, AZ","35.13850021","-111.6709976"
EUG,"Eugene, OR: Mahlon Sweet Field",Oregon,"Eugene, OR","44.12459946","-123.211998"
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",California,"Santa Maria, CA","34.89889908","-120.4570007"
CEC,"Crescent City, CA: Jack McNamara Field",California,"Crescent City, CA","41.78020096","-124.2369995"
ILM,"Wilmington, NC: Wilmington International","North Carolina","Wilmington, NC","34.27059937","-77.90260315"
RST,"Rochester, MN: Rochester International",Minnesota,"Rochester, MN","43.90829849","-92.5"
VLD,"Valdosta, GA: Valdosta Regional",Georgia,"Valdosta, GA","30.78249931","-83.27670288"
MLB,"Melbourne, FL: Melbourne International",Florida,"Melbourne, FL","28.10280037","-80.64530182"
MLI,"Moline, IL: Quad City International",Illinois,"Moline, IL","41.44850159","-90.50749969"
BZN,"Bozeman, MT: Bozeman Yellowstone International",Montana,"Bozeman, MT","45.77750015","-111.1529999"
GTF,"Great Falls, MT: Great Falls International",Montana,"Great Falls, MT","47.48199844","-111.3710022"
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",Illinois,"Champaign/Urbana, IL","40.03919983","-88.27809906"
ISP,"Islip, NY: Long Island MacArthur","New York","Islip, NY","40.79520035","-73.10019684"
ECP,"Panama City, FL: Northwest Florida Beaches International",Florida,"Panama City, FL",,
STT,"Charlotte Amalie, VI: Cyril E King","U.S. Virgin Islands","Charlotte Amalie, VI","18.33729935","-64.9733963"
MSO,"Missoula, MT: Missoula International",Montana,"Missoula, MT","46.91630173","-114.0910034"
GNV,"Gainesville, FL: Gainesville Regional",Florida,"Gainesville, FL","29.69009972","-82.27179718"
CSG,"Columbus, GA: Columbus Metropolitan",Georgia,"Columbus, GA","32.5163002","-84.93890381"
APN,"Alpena, MI: Alpena County Regional",Michigan,"Alpena, MI","45.0780983","-83.56030273"
HLN,"Helena, MT: Helena Regional",Montana,"Helena, MT","46.60680008","-111.9830017"
BIL,"Billings, MT: Billings Logan International",Montana,"Billings, MT","45.80770111","-108.5429993"
BMI,"Bloomington/Normal, IL: Central Illinois Regional",Illinois,"Bloomington/Normal, IL","40.47710037","-88.91590118"
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Michigan,"Kalamazoo, MI","42.23490143","-85.55210114"
LNK,"Lincoln, NE: Lincoln Airport",Nebraska,"Lincoln, NE","40.85100174","-96.75920105"
BTM,"Butte, MT: Bert Mooney",Montana,"Butte, MT","45.95479965","-112.4970016"
TVC,"Traverse City, MI: Cherry Capital",Michigan,"Traverse City, MI","44.74140167","-85.5821991"
MQT,"Marquette, MI: Sawyer International",Michigan,"Marquette, MI",,
GCC,"Gillette, WY: Gillette Campbell County",Wyoming,"Gillette, WY",,
MLU,"Monroe, LA: Monroe Regional",Louisiana,"Monroe, LA","32.51089859","-92.03769684"
ABI,"Abilene, TX: Abilene Regional",Texas,"Abilene, TX","32.41130066","-99.68190002"
SAF,"Santa Fe, NM: Santa Fe Municipal","New Mexico","Santa Fe, NM","35.61709976","-106.0889969"
ABY,"Albany, GA: Southwest Georgia Regional",Georgia,"Albany, GA","31.53549957","-84.19450378"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",Arkansas,"Texarkana, AR","33.45370102","-93.99099731"
ART,"Watertown, NY: Watertown International","New York","Watertown, NY","43.9919014","-76.021698"
SCE,"State College, PA: University Park",Pennsylvania,"State College, PA","40.84930038","-77.84870148"
ELM,"Elmira/Corning, NY: Elmira/Corning Regional","New York","Elmira/Corning, NY","42.15990067","-76.89160156"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Texas,"Wichita Falls, TX","33.98880005","-98.49189758"
ERI,"Erie, PA: Erie International/Tom Ridge Field",Pennsylvania,"Erie, PA","42.08312701","-80.17386675"
JAC,"Jackson, WY: Jackson Hole",Wyoming,"Jackson, WY","43.6072998","-110.737999"
ADQ,"Kodiak, AK: Kodiak Airport",Alaska,"Kodiak, AK","57.75","-152.4940033"
ROW,"Roswell, NM: Roswell International Air Center","New Mexico","Roswell, NM","33.30160141","-104.5309982"
EKO,"Elko, NV: Elko Regional",Nevada,"Elko, NV","40.82490158","-115.7919998"
SCC,"Deadhorse, AK: Deadhorse Airport",Alaska,"Deadhorse, AK","70.19470215","-148.4649963"
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional","New York","Ithaca/Cortland, NY","42.49100113","-76.45839691"
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",Kansas,"Manhattan/Ft. Riley, KS","39.14099884","-96.67079926"
ISN,"Williston, ND: Sloulin Field International","North Dakota","Williston, ND","48.17789841","-103.6419983"
GFK,"Grand Forks, ND: Grand Forks International","North Dakota","Grand Forks, ND","47.94929886","-97.17610168"
FCA,"Kalispell, MT: Glacier Park International",Montana,"Kalispell, MT","48.3105011","-114.2559967"
CHO,"Charlottesville, VA: Charlottesville Albemarle",Virginia,"Charlottesville, VA","38.1385994","-78.45290375"
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field","New York","Binghamton, NY","42.20869827","-75.97979736"
LCH,"Lake Charles, LA: Lake Charles Regional",Louisiana,"Lake Charles, LA","30.12610054","-93.22329712"
CDV,"Cordova, AK: Merle K Mudhole Smith",Alaska,"Cordova, AK","60.4917984","-145.4779968"
BQK,"Brunswick, GA: Brunswick Golden Isles",Georgia,"Brunswick, GA","31.25880051","-81.46649933"
ALO,"Waterloo, IA: Waterloo Regional",Iowa,"Waterloo, IA","42.55709839","-92.40029907"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional","North Carolina","New Bern/Morehead/Beaufort, NC","35.07300186","-77.04290009"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Pennsylvania,"Scranton/Wilkes-Barre, PA","41.33850098","-75.7233963"
DRT,"Del Rio, TX: Del Rio International",Texas,"Del Rio, TX","29.37420082","-100.927002"
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",California,"Mammoth Lakes, CA",,
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",Washington,"Pasco/Kennewick/Richland, WA","46.26470184","-119.1190033"
WRG,"Wrangell, AK: Wrangell Airport",Alaska,"Wrangell, AK","56.48429871","-132.3699951"
SWF,"Newburgh/Poughkeepsie, NY: Stewart International","New York","Newburgh/Poughkeepsie, NY","41.5041008","-74.10479736"
