type,id,label,source,target,width,nodeRepulsion,edgeElasticity,gravity,nodeColor,nodeShape,nodeWidth,nodeHeight,edgeColor,edgeWidth,edgeStyle,edgeFontBackgroundColor,edgeFontBackgroundTransparent,fontColor,fontSize,fontFamily,textWrap,advanced,displayDetails,url,Att01_nodeType,Att02_Building-Parking,Att03_Building-Facilities,Att04_Building-Use,Att05_City-Country,Att06_Employee-FullTime,Att07_Employee-Title,Att08_Employee-StartDate
node,sales_person,Sales Person,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,it_manager,IT Manager,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,it_support,IT Support,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,hr_manager,HR Manager,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,hr_admin,HR Admin,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,engineer_manager,Engineer Manaager,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,engineer,Engineer,,,,,,,#a77735,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
node,full_time,Full Time,,,,,,,#54A24B,cut-rectangle,70,20,,,,,,white,24,Arial,wrap,,,,Contract,,,,,,,
node,part_time,Part Time,,,,,,,#54A24B,cut-rectangle,70,20,,,,,,white,24,Arial,wrap,,,,Contract,,,,,,,
node,bob_wright,Bob\nWright,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Mr,2015-03-15T00:00:00
node,sue_smith,Sue\nSmith,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Miss,2019-06-02T00:00:00
node,john_cross,John\nCross,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Mr,2018-09-21T00:00:00
node,paul_bloggs,Paul\nBloggs,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Mr,2021-11-03T00:00:00
node,jane_grey,Jane\nGrey,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Mrs,2017-01-10T00:00:00
node,sarah_brown,Sarah\nBrown,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Miss,2013-06-02T00:00:00
node,john_james,John\nJames,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mr,2019-03-01T00:00:00
node,debbie_james,Debbie\nJames,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mrs,2018-12-03T00:00:00
node,john_black,John\nBlack,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mr,2015-03-15T00:00:00
node,sue_white,Sue\nWhite,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,Yes,Mrs,2000-02-28T00:00:00
node,bob_england,Bob\nEngland,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mr,2021-07-10T00:00:00
node,jane_welsh,Jane\nWelsh,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mrs,2019-04-16T00:00:00
node,craig_isle,Craig\nIsle,,,,,,,#B279A2,ellipse,auto,auto,,,,,,white,24,Arial,wrap,,,,Employee,,,,,No,Mr,2024-07-02T00:00:00
edge,,Sample Edge Label,company_house,london,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,"""line-style"": ""dashed""",,,,,,,,,,
edge,,,office_block,cardiff,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,unti_1,cardiff,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sales,company_house,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,hr,company_house,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,it,office_block,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,it,unti_1,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,engineering,unti_1,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sales_manager,sales,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sales_person,sales,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,it_manager,it,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,it_support,it,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,hr_manager,hr,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,hr_admin,hr,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,engineer_manager,engineering,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,engineer,engineering,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,bob_wright,sales_manager,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sue_smith,sales_person,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_cross,sales_person,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,paul_bloggs,sales_person,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,jane_grey,it_manager,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sarah_brown,it_support,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_james,it_support,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sue_white,hr_manager,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_black,hr_admin,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,debbie_james,hr_admin,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,craig_isle,engineer_manager,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,bob_england,engineer,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,jane_welsh,engineer,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,bob_wright,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sue_smith,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_cross,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,paul_bloggs,part_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,jane_grey,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sarah_brown,part_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_james,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,debbie_james,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,john_black,part_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,sue_white,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,bob_england,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,jane_welsh,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
edge,,,craig_isle,full_time,,,,,,,,,black,1,,black,0,blue,,Arial,wrap,,,,,,,,,,,
