Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos","Para securizar la cadena de suminustro se debe exigir a los proveedores que cumplan con los requisitos de seguridad de la organización, los reglamentos, las normas y las instrucciones.","La organización se asegurará de que sus proveedores cumplan con sus directivas, así como con las regulaciones de los estados donde está activo.","Los requisitos reglamentarios de la organización se pueden definir como parte de una pantalla de requisitos de seguridad de datos estándar, designada para todos los proveedores de servicios externos.",1,,,,
ID-BE-4,Ambiente de negocio (Business Environement),Las dependencias y funciones críticas para poder ofrecer el servicio crítico está establecidas,"Asegúrese de que los diversos sistemas de información cumplan con la seguridad de la información corporativa. Estándares de defensa cibernética, y que se implementan de forma segura. regularmente. de acuerdo con la seguridad de la información corporativa y la política de defensa cibernética.","Revisiones periódicas que deberán llevarse a cabo para garantizar los diversos sistemas de infromación, que estos cumplan con los requisitos de seguridad de la infromación de defensa cibernética que la organización ha establecifo y que sean inmunes a los ataques","La implementación adecuada de este monitoreo se llevará a acabo escribiendo un plan annual o multianual para realizar encuestas cibernéticas periódicas sobre activos corporativos. Las encuestas pueden ser en formato de caja blanca, gris, o negra, priorizando la revisión de los sistemas que recibieron un puntuaje altos en el cuestionario de asignación de valor. En cuanto a nivel de sistemas, se recomienda que la revisión sea realizada por un organismo independiente fuera de la organización",2,,,,
ID-BE-5,Ambiente de negocio (Business Environement),"Los requerimientos de resiliencia para poder ofrecer el servicio crítico están establecidos en todos los estados de operación (como por ejemplo, ataques de coacción (duress/attack), durante recuperación, o cuando se está operando de manera normal)","Proceso de diseño para establecer límites organizacionales, mapear los objetivos de defensa de la organización y evaluar el nivel de valor de los objetivos de defensa","El mapeo de los objetivos de defensa pueden cumplirse mediante el mapeo de los procesos de trabajo, sistemas, bases de datos y infraestructura tecnológica. El nivel de valor de los objetivos de defensa se determina de acuerdo con los efectos de la violación en la seguridad, disponibilidad e integrdiad de la información.","La definición de los objetivos incluirá todos los aspectos donde la organización debe considerar el nivel de riesgo actual contra el nivel deseado. Estos objetivos pueden incluir, entre otras cosas. Lista de sistemas, infraetructura, procesos de negocios, personas clave y todo lo que la organización ha defenido para sí mismo como objetivo de ciberdefensa. Un buen mapeo incluirá, por ejemplo, el mundo IoT, incluida cámara de seguridad, ascensores y escaleras mecánicas, ensambleje y otros componentes ""integrados en el software"" que a menudo no son admintrados por los profesionesles de TI de la organización (no constituyen activos de TI clásicos). Estos activos a menudo están en el corazón de la acción de la operación de la organización y no son menos vulnerables a los ataques cibernéticos.",2,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,"Anotar e implementar la política de administración de configuración, deberá revisarse y actualizarse periódicamente",(No especificado en el documento),El capítulo de Change Management se encuentra en la política de seguridad de la información corporativa y los procedimientos de soporte.,2,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,"Revisar periódicamente la información variada de los procesps con el fin de garantizar el cumplimiento de las normas de segurdiad, políticas y cualquier requisito de seguridad de la infromación.","Se debe realizar una ""Encuesta de gesitón"" de los diversos procesos para confirmar el cumplomento de las normas y los requisitos de seguridad de la infromación. Esta encuesta examinará los diversos parámetros en el campo de la defesna cibernétiva y proporcinará a la gerencia una visión actual sobre las fortalizas y debilidades de la organización","Una encuesta de gesitón proporcina una visión lateral sobre el estado de la organización en términos de su nuvel actual de protección. Estas encuestas presenterán a la ogranización en las que se debe enfocar, en comparación con las áreas en las que la organización es más madura (como el modelo de madurez CMMI) Las áreas a las que puede referirse la encuesta, pueden ser, por ejemplo,  desarrollo seguro, nivel de concienciación, capacidades de monitoreo, nivel de madurez de los equipos de respuesta, procedimeintos de organización etc. Es importante asgurar que los procesos definidos como críticos en el marco de continuidad de negocio de la organizaicación reciben una respuesta de protección adecuada",2,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,"Definir, documentar e implementar una política de endurecimiento para el equipo de comunicaciones, que cumpla con los requisitos de seguridad de la información de la organización.","La organización definirá los requisitos de endurecimiento para los sistemas de comunicación dentro de la organización con énfasis en cuáles son los requisitos básicos, la frecuencia de las actualizaciones y el nivel de clasificación y luego documentará los requisitos en un marco general que servirá de base para endurecer los procedimientos.","Documentos de base y referencias a los requisitos de endurecimiento en los documentos de política. Además, defina quién es responsable de la implementación del endurecimiento real y cómo se lleva a cabo la prueba continua de los controles. Los documentos de refuerzo incluirán, entre otras cosas, una referencia al uso de servicios seguros no autorizados, puertos aprobados, eliminación de cuentas inactivas, etc. Es importante asegurarse de que el endurecimiento se realizará de acuerdo con las recomendaciones del fabricante. Se pueden encontrar recomendaciones de endurecimiento en los estándares aceptados de la industria, como DISA, SANS y el sitio web oficial del fabricante.",3,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,Configurar la política de uso del teléfono móvil y se deberá actualizar de manera periódica,"La organización debe establecer una política de uso de teléfonos móviles de acuerdo con sus necesidades, incluido el acceso a las aplicaciones empresariales y el mantenimiento de los datos confidenciales de la organización en el teléfono móvil.",(no definido en el documento) ,2,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,Establecer una política de protección o restricción de llamadas realizadas a través de teléfonos móviles,"Los dispositivos móviles usan redes públicas no seguras, la organización debe establecer reglas de etiqueta y precaución al hacer llamadas telefónicas confidenciales",(no definido en el documento) ,4,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,"Desarrollar, registrar e implementar una política de reconocimiento de seguridad de datos","La organización definirá la política de reconocimiento de seguridad de datos, que incluye actualizaciones periódicas, tipos de personal que se instruirá en diversos temas y medios de seguimiento","Se puede implementar escribiendo una política de seminarios, que incluya contenido, desempeño y responsabilidades de seguimiento. Esta política definirá varias audiencias objetivo (nuevos empleados, personal clave, empleados cuyo empleo ha terminado, proveedores, elementos externos, etc.), quienes están a cargo de los seminarios, control y supervisión (firma de una declaración, un examen, etc. ), logros requeridos, frecuencia de instrucción y materias esenciales",2,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,La organización sensibilizará a los empleados sobre la ingeniería social.,Verifique que los funcionarios sean conscientes de los intentos de engaño y suplantación de posibles atacantes.,"Puede hacerse internamente o por una empresa externa. Tales intentos pueden incluir solicitudes ""ilegítimas"" del personal de soporte, solicitar información en nombre de otra persona, intentos de actuar sin verificación del usuario, iniciar solicitudes en las redes sociales o por correo electrónico, etc.",4,,,,
ID-GV-1,Gobierno (Governanace),Las políticas de ciberseguridad organizativa están establecidas y comunicadas,"Definir, implementar y revisar periódicamente, registrar y monitorear políticas",(No especificado en el documento),"Grabar y monitorizar la política organizacional y las reglas de apoyo, como el centro de monitoreo de seguridad de datos, las reglas de grabación de eventos, etc.",2,,,,
ID-GV-2,Gobierno (Governanace),Los roles de ciberseguridad y responsabilidades están coordinados y alineados con los roles internos y partners externos,Asegúrese de que el proveedor de servicios en la nube implementa mecanismos para la monitorización de la seguridad de la información e informa a la organización sobre eventos excepcionales.,"Hay áreas en el campo de la defensa cibernética que están bajo la responsabilidad del proveedor de servicios en la nube. La organización debe asegurarse de que el proveedor realice la monitorización de estas áreas e informq a la organización (el cliente del servicio) sobre presuntos incidentes cibernéticos, para que la organización pueda tomar medidas de protección a su lado: contención y recuperación.",Se puede aplicar mediante la inclusión del problema en el contrato con el proveedor y la presentación periódica de informes por parte del proveedor sobre el número de eventos que han ocurrido y su análisis.,2,,,,
ID-GV-2,Gobierno (Governanace),Los roles de ciberseguridad y responsabilidades están coordinados y alineados con los roles internos y partners externos,Asegúrese de que el proveedor de servicios en la nube procese e integre las pruebas de seguridad de la información en las etapas de desarrollo y mantenimiento,"Las principales áreas de exposición del ""software como servicio"" (SaaS) en la nube son las interfaces de usuario y aplicación. Para reducir tales exposiciones, el proveedor de servicios en la nube debe implementar procesos de desarrollo seguros e integrar controles de seguridad adecuados durante las etapas de desarrollo y mantenimiento. La organización debe asegurarse de que el proveedor implemente adecuadamente estos procesos.","Por ejemplo, la declaración del proveedor de que está implementando procesos de desarrollo seguros, presentación de resultados de pruebas periódicas de seguridad de la información realizadas en los sistemas del proveedor",3,,,,
ID-GV-3,Gobierno (Governanace),"Los requerimientos legales y regulatorios en relación con la ciberseguridad, privacidad y libertades civiles obligatorios, son entendidos y  están gestionados","Identificar la legislación y regulaciones de conformidad con la ley, aplicables a la organización","Todos los requisitos relevantes bajo la ley estándar, contrato con la organizacion, y todas las medidas adoptadas por la organización para cumplir con el requisito, se definirán, documentarán y actulaizarán claramente para cada sistema de información y actividades de defensa cibernética de la organización como un todo",,2,,,,
ID-GV-3,Gobierno (Governanace),"Los requerimientos legales y regulatorios en relación con la ciberseguridad, privacidad y libertades civiles obligatorios, son entendidos y  están gestionados",Realizar capacitación básica en seguridad de datos a los empleados.,"La organización llevará a cabo una capacitación básica relacionada con el uso adecuado de la información, las normas de seguridad de datos, las amenazas internas y externas, incluidas las señales de amenaza.","Puede implementarse mediante cursos internos o externos, adecuados a las políticas y necesidades de la organización.",2,,,,
ID-GV-3,Gobierno (Governanace),"Los requerimientos legales y regulatorios en relación con la ciberseguridad, privacidad y libertades civiles obligatorios, son entendidos y  están gestionados",Realizar capacitación específica en seguridad de datos para funcionarios que acceden a datos confidenciales.,"La organización llevará a cabo seminarios iniciales y periódicos, que incluirán (según la función): controles de seguridad ambiental operativos, controles de seguridad física operativos, práctica en conducta durante eventos de datos y seguridad cibernética, comportamientos sospechosos de los sistemas, identificación de malware.","Puede implementarse mediante cursos internos o externos, adecuados a las definiciones de trabajo y a las políticas y necesidades de la organización",3,,,,
ID-GV-4,Gobierno (Governanace),El gobierno y procesos de gestión de riesgos hacen alusión a los riesgos de ciberseguridad,La adminstración de riesgo cibernético evalúa los riesgos de ciberseguridad y de datos involucrados en el desarrollo o la compra de un nuevo sistema / servicio. Deberán adminstrarse según los procesos de gestión de riesgos existentes.,"El control está destinado a verificar que los aspectos de protección se tengan en cuenta desde el inicio y la planificación hasta las fases de desarrollo y producción. Asegúrese de que el inicio, la compra o el desarrollo sigan una encuesta de los riesgos involucrados y se encuentren integrados dentro de la gestión de riesgos de la organización.","Se recomienda llevar a cabo la gestión de riesgos inicial en la fase de inicio, para estar preparado para integrar los controles dentro del proceso de desarrollo, o listo para vivir con los riesgos detectados. Uno puede recibir asistencia en la gestión de riesgos con métodos conocidos, como SSDLC, publicaciones SANS / OWASP. Tome nota de la externalización y los sistemas en la nube, incorporan riesgos específicos, algunos de los cuales se describen en este documento. Se recomienda familiarizarse con las recomendaciones de normas específicas: ISO 27017,",3,,,,
ID-RA-2,Evaluación de riesgo (Risk Assesment),Información relacionada con la Cyber Threat Intelligence llega de foros y otras fuentes,La organización recopilará información actualizada sobre ciberamenazas y métodos de afrontamiento.,"La organización aprenderá de fuentes de información pública sobre nuevas amenazas cibernéticas, relevantes para su negocio y tecnologías.","Se puede obtener acceso a información, herramientas gratuitas, tutoriales y más en fuentes abiertas como Metasploit, sitios de compañías de seguridad, etc., y compañías de inteligencia de contacto.",3,,,,
ID-RA-2,Evaluación de riesgo (Risk Assesment),Información relacionada con la Cyber Threat Intelligence llega de foros y otras fuentes,"La organización recopilará datos sobre su presencia digital (actividades comerciales, clientes, usuarios internos)","Dicha recopilación está destinada a identificar casos de exposición de datos confidenciales en Internet, incluida la ""Red oscura""",Utiliza los servicios de empresas especializadas.,3,,,,
ID-RA-2,Evaluación de riesgo (Risk Assesment),Información relacionada con la Cyber Threat Intelligence llega de foros y otras fuentes,La organización utilizará información sobre amenazas cibernéticas para diseñar y mejorar los controles aplicables.,"La organización asignará los cambios necesarios a las definiciones de sus sistemas de seguridad de datos, así como a su infraestructura y controles de aplicaciones, para hacer frente a las nuevas amenazas.","Se pueden aplicar cambios a la red, firewalls, sistemas aplicativos y definiciones de interfaz, etc. Actualizar las reglas de los sistemas luego de la actualización de su condición",3,,,,
ID-RA-3,Evaluación de riesgo (Risk Assesment),"Las amenazas, tanto internas como externas, están identificadas y documentadas",Realizar checks automaticos del nivel de protección de la organización,"Utilizar herramientas automaticas, que simulan la actividad de un atacante de manera automática","Dado que realizar pruebas de penetración es una acción que requiere en su mayor parte la participación humana, la capacidad de cubirir mucho sistemas en tiempo real es limitada. Para el beneficio de abordar las limitaciones de tiempo y conociemiento, hay algunos productos que permiten al Director de Defensa recibir notificaciones utilizando herramientas que simulan un ""juego de guerra"", atacando a la organización usando varios métodos para detectar vectores de ataque y debilidades para abordar",4,,,,
ID-RA-3,Evaluación de riesgo (Risk Assesment),"Las amenazas, tanto internas como externas, están identificadas y documentadas","La organización implementará una serie de ""engaños"" de posibles atacantes.","La organización integrará tecnologías para atraer, engañar y retrasar a los posibles atacantes, para mejorar sus capacidades de identificación y afrontamiento.","Sistemas como Honeypots, servidores virtuales designados y monitoreados, sellado de archivos. Se puede implementar de varias maneras, como definir usuarios ficticios, objetos dentro del DC, destinados a atraer a los atacantes, ocultar archivos con nombres ""codiciados"", como ""Salarios"", ""Contraseñas"", ""Secretos"", etc.",3,,,,
ID-RA-3,Evaluación de riesgo (Risk Assesment),"Las amenazas, tanto internas como externas, están identificadas y documentadas",La organización utilizará información sobre amenazas cibernéticas para diseñar y mejorar los controles aplicables.,"La organización asignará los cambios necesarios a las definiciones de sus sistemas de seguridad de datos, así como a su infraestructura y controles de aplicaciones, para hacer frente a las nuevas amenazas.","Se pueden aplicar cambios a la red, firewalls, sistemas aplicativos y definiciones de interfaz, etc. Actualizar las reglas de los sistemas luego de la actualización de su condición",3,,,,
ID-RA-4,Evaluación de riesgo (Risk Assesment),Los potenciales impactos en el negocio y sus probabilidades son identificados,"El mapa de riesgo actual que surge de la encuesta de riesgo cibernético oganizacional, debe aprobarse anualmente",La organización deberá mapear los riesgos a los que se esta expuesto en el area de cibersegurad. El riesgo se establecerá en unos rangos y se presentará a la adminstración junto con la definición de la respuesta planificada,"Las organización pueden llevar acabo una encuesta independiete mediente el mapeo de activos y proceos comerciales sensibles y trabajar sobre la base del método de evaluación de riesgos de la Metodología de Defensa. En cuanto a a organizaciones con objetivos de protección a nivel superior, se recomienda utilizar un factor externo para llevar a cabo el período de la encuesta",2,,,,
ID-RA-5,Evaluación de riesgo (Risk Assesment),"Las amenazas, vulnerabilidades y probabilidades de que ocurra un impacto son utilizadas para definir el riesgo","Defenir e implementar un proceso periódico de evaluación del riesgo cibernético de acuerdo con el esquema de amenzas de la organización, el nivel de exposición a las amenazas de los objetivos de defensa y los controles de protección implementados por la organización",El propoósito del porceso de evaluación de riesgos es proporcionar un mapa actualizado de riesgos cibernéticos reales (riesgos residuales) para definir el plan para abordar los riesgos. La encuesta debe llevarse a cabo periódicamente y debe actualizarse después de los cambios en los procesos y sistemas de la organización,Es posible basar los procesos de evaluación de riesgos en la Metodología de Defesna Cibernética,2,,,,
ID-RM-1,Estrategia de administración de Riesgo (Risk Management Strategy),"Los procesos de administración del riesgo están establecidos, administrados y aceptados por los stakeholders o partes interesadas de la organización.","Las amenazas, vulnerabilidades y probabilidades de que ocurra un impacto son utilizadas para definir el riesgo","Una vez al año la junta, recibirá la política de seguridad con la información corporativa y estrategia de defensa ciber, derivada del mapa de riesgo cibernético de la organización. La junta Directiva aprobará el mapa de riesgos y las políticas derivadas de él","Se recomienda nombrar un representate entre los miembros de lo junta que hará de centor focal de conocimiento. Para asgurarse de que el mapa de riesgos que se presente a la junta Directiva esta en lenguaje comecial junto con la respuesta actual existenete de la organización y los requerimientos necesario s para reducir la brecha y alcanzar un nivel aceptable de riesgo. L a junta debería definir el nivel de riesgo que la organización deberá tomar, también conocida como ""apetitoo al reisgo"". Basado como por ejemplo, en función  de una amenza o un test de beneficio y cost",2,,,,
ID-RM-2,Estrategia de administración de Riesgo (Risk Management Strategy),La tolerancia al riesgo de la organización está determinada y expresada claramente,"El mapa de riesgo actual que surge de la encuesta de riesgo cibernético oganizacional, debe aprobarse anualmente",La organización deberá mapear los riesgos a los que se esta expuesto en el area de cibersegurad. El riesgo se establecerá en unos rangos y se presentará a la adminstración junto con la definición de la respuesta planificada,"Las organización pueden llevar acabo una encuesta independiete mediente el mapeo de activos y proceos comerciales sensibles y trabajar sobre la base del método de evaluación de riesgos de la Metodología de Defensa. En cuanto a a organizaciones con objetivos de protección a nivell o superior, se recomienda utilizar un factor externo para llevar a cabo el período de la encuesta",2,,,,
ID-RM-3,Estrategia de administración de Riesgo (Risk Management Strategy),La determinación de tolerancia al riesgo de una organización está basado en el rol de la infraestructura crítica y el análisis de riesgo específico del sector.,"Defenir e implementar un proceso periódico de evaluación del riesgo cibernético de acuerdo con el esquema de amenzas de la organización, el nivel de exposición a las amenazas de los objetivos de defensa y los controles de protección implementados por la organización",El propoósito del porceso de evaluación de riesgos es proporcionar un mapa actualizado de riesgos cibernéticos reales (riesgos residuales) para definir el plan para abordar los riesgos. La encuesta debe llevarse a cabo periódicamente y debe actualizarse después de los cambios en los procesos y sistemas de la organización,Es posible basar los procesos de evaluación de riesgos en la Metodología de Defesna Cibernética,2,,,,
ID-SC-1,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Defenir e implementar un proceso periódico de evaluación del riesgo cibernético de acuerdo con el esquema de amenzas de la organización, el nivel de exposición a las amenazas de los objetivos de defensa y los controles de protección implementados por la organización",El propoósito del porceso de evaluación de riesgos es proporcionar un mapa actualizado de riesgos cibernéticos reales (riesgos residuales) para definir el plan para abordar los riesgos. La encuesta debe llevarse a cabo periódicamente y debe actualizarse después de los cambios en los procesos y sistemas de la organización,Es posible basar los procesos de evaluación de riesgos en la Metodología de Defesna Cibernética,2,,,,
ID-SC-2,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros de sistemas de información, componentes y servicios están identificados, priorizados y juzgados (assesed) utilizando un proceso de evaluación de los riesgos en la cadena de suministro",Asegúrese de que el proveedor de servicios en la nube implementa mecanismos para la monitorización de la seguridad de la información e informa a la organización sobre eventos excepcionales.,"Hay áreas en el campo de la defensa cibernética que están bajo la responsabilidad del proveedor de servicios en la nube. La organización debe asegurarse de que el proveedor realice la monitorización de estas áreas e informq a la organización (el cliente del servicio) sobre presuntos incidentes cibernéticos, para que la organización pueda tomar medidas de protección a su lado: contención y recuperación.",Se puede aplicar mediante la inclusión del problema en el contrato con el proveedor y la presentación periódica de informes por parte del proveedor sobre el número de eventos que han ocurrido y su análisis.,2,,,,
ID-SC-2,Análisis de riesgo en la cadena de suministro (Supply Chain Risk Management),"Proveedores y terceros de sistemas de información, componentes y servicios están identificados, priorizados y juzgados (assesed) utilizando un proceso de evaluación de los riesgos en la cadena de suministro",Defenderse de las amenazas de la cadena de suministro en el sistema forma parte de una defensa en amplitud (Defense in Breadth),"La organización mapeará y detectará amenazas y riesgos derivados de los sistemas / servicios, tecnologías y procesos de los proveedores, y mapeará los riesgos como parte de la gestión de riesgos / amenazas de la organización.","El proceso de mapeo puede puede realizarse a través de la recopilación de inteligencia cibernética sobre el proveedor, a fin de considerar dicha información al considerar y decidir sobre la gestión de riesgos. Se deben considerar los mecanismos, controles y procesos existentes del proveedor, y su influencia en los procesos comerciales respaldados por el sistema / servicio. Por ejemplo: los controles de automatización y los servidores virtuales instalados por el proveedor en una plataforma en la nube, y su método de endurecimiento, pueden influir en la organización si estos entornos no se endurecen lo suficiente o si el proveedor de servicios en la nube no está asegurado / situado en un país hostil, etc.",2,,,,
