Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor
DE-AE-3,Eventos y anomalías (Anomalies and Events),Datos de eventos está siendo recolectados y correlacionados desde múltiples fuentes y sensores,La organización deberá implementar un sistema central de monitoreo y alerta.,"Definir e implementar un sistema central de monitorización y alerta, para recopilar datos de varios sistemas y centralizar el análisis, alerta y hacer frente a eventos sospechosos.","Por ejemplo, un sistema SIEM, que combina la gestión de información de seguridad (SIM) y la gestión de eventos de seguridad (SEM), y proporciona un análisis en tiempo real de las alertas de seguridad generadas por el hardware y las aplicaciones de la red.",3
DE-AE-3,Eventos y anomalías (Anomalies and Events),Datos de eventos está siendo recolectados y correlacionados desde múltiples fuentes y sensores,El sistema de seguimiento recopilará registros de control de varias fuentes de datos para obtener una imagen corporativa completa,"La organización implementará un 'Motor de correlación', destinado a integrar datos de diferentes fuentes de información (diferentes sistemas), permitiendo la identificación de eventos laterales y ataques avanzados en los sistemas empresariales.","Por ejemplo, combinando datos del sistema y sistemas de comunicación, de infraestructura y sistemas de aplicación, de varios sistemas de control de acceso físico, examinando vulnerabilidades e integrando entradas de fuentes de inteligencia cibernética.",3
DE-AE-3,Eventos y anomalías (Anomalies and Events),Datos de eventos está siendo recolectados y correlacionados desde múltiples fuentes y sensores,Integrar automático mecanismos para apoyar el afrontamiento de eventos.,"Administrar múltiples eventos y alertas es un negocio complicado. Por lo tanto, se requiere automatizar tanto como sea posible el seguimiento del estado de alerta, las actividades requeridas, las decisiones, etc.","Se puede implementar al vincular los sistemas de comando y control con los sistemas de monitoreo y detección de eventos. Es posible definir procedimientos de respuesta dentro de los sistemas de comando y control. Puede implementarse mediante sistemas de soporte de decisiones, sistemas de gestión de flujo de trabajo o sistemas de tickets. Se recomienda que tales herramientas ayuden a la organización a localizar eventos a largo plazo, eventos graves no tratados adecuadamente y situaciones que requieren intervención inmediata.",3
DE-AE-5,Eventos y anomalías (Anomalies and Events),Se establecen umbrales de alerta de incidentes,"Mecanismo de registro incluirá, al menos, datos sobre el evento, marca de tiempo, origen y destino de la actividad, identificador de usuario, identificador de proceso, éxito / falla, nombre de archivo.",," Para la organización del nivel de valor y superior, verifique que el registro de actividad registre todos los datos requeridos. En la mayoría de los casos, es posible utilizar mecanismos de registro ya existentes en los sistemas de infraestructura. En los sistemas aplicables, verifique la existencia de un registro que funcione.",1
DE-AE-5,Eventos y anomalías (Anomalies and Events),Se establecen umbrales de alerta de incidentes,Crear un mecanismo de alertas en casos de fallos de registro.,,"La organización monitoreará su sistema de monitorización de seguridad de datos, para recibir alertas cuando no se registren eventos en un período de tiempo desde un sistema de información que normalmente se monitorea. Tales casos se pueden definir como reglas en la mayoría de los sistemas de registro y monitoreo (SIEM, Log Management).",2
DE-AE-5,Eventos y anomalías (Anomalies and Events),Se establecen umbrales de alerta de incidentes,Implementar mecanismos de identificación y alerta de intentos de ataque en tiempo real,Estos mecanismos de alerta detectarán y alertarán en un intento de ataque,"Se puede implementar definiendo las reglas de SIEM, alertando de ataques y eventos de seguridad de datos y estableciendo un centro de operaciones de seguridad (SOC)",4
DE-CM-1,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La red está siendo monitorizada para detectar posibles eventos de ciberseguridad,"Se escriben e implementan políticas de protección de la red de comunicación, se revisan y actualizan periódicamente","La organización debe escribir e implementar una política de seguridad de red. La política debe incluir una referencia a temas como los canales de acceso a la red pública de Internet y la configuración de su protección. Además, debe abordar aspectos centrales de las comunicaciones internas y la comunicación externa.",Escribir un documento de política o su integración como un capítulo en la política de seguridad de la información de la organización,2
DE-CM-1,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La red está siendo monitorizada para detectar posibles eventos de ciberseguridad,Implemente una herramienta para identificar malware a nivel de red,La organización activará herramientas que se implementarán en la red de la organización con el objetivo de identificar y alertar sobre la propagación de malware en línea.,"Ejemplos de estas herramientas: Honeypots, tecnología AntiBot, componentes IDS",3
DE-CM-1,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La red está siendo monitorizada para detectar posibles eventos de ciberseguridad,Configurar un escenario único de monitroización en el entorno de producción y monitorizar a través de una matriz de monitoreo organizacional,La organización definirá una variedad de escenarios de monitoreo dedicados para el entorno de control de acuerdo con el esquema de amenazas y la importancia del sistema para el proceso comercial.,"La monitorización de red en redes de control es diferente de la monitorización de sistemas ordinarios ya que el umbral de sensibilidad es más bajo. Cualquier desviación de la cantidad de comunicación normal entre los controles y las interfaces y sensores de gestión puede indicar un posible incidente cibernético, ya que la actividad en estos entornos es continua y monótona.",2
DE-CM-1,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La red está siendo monitorizada para detectar posibles eventos de ciberseguridad,Monitorizar la comunicación entrante y saliente para identificar actividades irregulares o no autorizadas,,"Se puede implementar analizando el tráfico del firewall de la organización y el IPS, y correlacionando las fuentes externas vis-avis para identificar la comunicación a los servidores sospechosos",3
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Implementar mecanismos para evitar conexiones físicas no autorizadas a la red corporativa.,La conexión de equipos no autorizados a la red de la empresa expone los recursos de la empresa al daño de la confidencialidad e integridad de la información y los recursos informáticos y su disponibilidad.,Se puede implementar mediante el uso de sistemas NAC,2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Implementar mecanismos para la gestión centralizada y la validación de los equipos de comunicaciones.,,"Se puede aplicar por tipo de equipo de telecomunicaciones y de acuerdo con el mecanismo de gestión central de cualquier fabricante. Además, es posible aplicar los distintos componentes de medios de endurecimiento manualmente mediante el uso de la interfaz de administración de cada componente por separado.",3
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,"Definir y mantener una lista de todas las personas autorizadas para acceder a la zona que contiene el activo. Emitir identificación para las personas autorizadas, revisar la lista periódicamente, eliminar personas cuyo acceso ya no es necesario.",Mantener y actualizar la lista de personas autorizadas.,Emitir tarjeta de empleado / visitante para identificación,2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Imponer el control de acceso en los puntos de entrada / salida de la instalación.,Implementar el control de acceso físico en todos los sitios de la organización.,"Una puerta con lector de tarjetas, cerradura, lector biométrico, protector, código de combinación, etc.",2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Mantener registros de Acceso físico a la instalación.,Registrar y almacenar registros de todas las entradas y salidas de todos los visitantes.,"Almacenar todas las entradas y salidas manualmente, por un guardia o en una base de datos.",3
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Controlar el registro seguro y aplique el control de acceso físico a las áreas de comunicación / informática (salas de servidores / gabinetes de comunicación),Limitar el acceso físico de elementos no autorizados a las áreas de comunicación / informática (salas de servidores / gabinetes de comunicación). La organización definirá una lista de personas autorizadas y exigirá el acceso de acuerdo con sus procedimientos.,"Definir permisos de acceso físicos y lógicos para personas autorizadas. Registre mediante logs o libros de registro todo el acceso a las salas de computadoras. En los casos en que no sea posible registrar el acceso a gabinetes de comunicación y salas de servidores, considere la protección física mediante cerraduras, evitando el acceso a personas no autorizadas.",2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Prevenir el daño de los equipos y cables eléctricos del sistema,Ser cuidadoso al instalar y etiquetar todos los cables eléctricos en las salas de servidores y gabinetes de comunicación.,"Etiquetar todas las terminaciones de cable para que los empleados puedan detecta fácilmente su asociación con servidores / sistemas, evitando así desconexiones defectuosas.",2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,Verificar y supervisar los elementos del sistema que entran y salen de la instalación.,,"Por ejemplo, mediante un procedimiento de eliminación de elementos de software / hardware de la organización, especialmente aquellos que pueden almacenar datos confidenciales. El monitoreo y control de la información que sale de la organización se puede hacer siguiendo el hardware que salió (computadoras portátiles entregadas a proveedores, discos en clave, etc.). El registro y monitoreo periódicos incluirán: quién recibió el hardware, por cuánto tiempo, con qué propósito, la fecha estimada de recuperación.",2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,"Implementar controles de seguridad en sitios de trabajo alternativos (como DR), evaluando su efectividad",,"El nivel de seguridad física en un sitio alternativo, como el sitio DR, será aceptable y adecuado para los datos almacenados allí. La implementación del control estará anclada en el contrato con la administración alternativa del sitio, y revisada periódicamente",2
DE-CM-2,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El ambiente físico está siendo monitorizado para detectar posibles ataques de ciberseguridad ,"Colocar los elementos del sistema donde el impacto potencial del daño y la probabilidad de acceso no autorizado sean mínimos,","Si es posible, ubicar los sistemas (salas de servidores / comunicación) en la ubicación mejor protegida, en el centro del edificio, lejos de paredes externas y fuentes de agua (incluidas las tuberías).",,3
DE-CM-3,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La actividad de los trabajadores está sinedo monitorizada para detectar posibles eventos de ciberseguridad,Se instalarán sistemas de monitorización y se registrará la actividad en los servidores de administración.,La organización establecerá un sistema para registrar un registro de logs de actividad en los servidores de administración del entorno de control,"Es posible utilizar una variedad de medios, como herramientas para recodificar pantallas y actividades de los usuarios, grabar registros de aplicaciones, etc.",3
DE-CM-3,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La actividad de los trabajadores está sinedo monitorizada para detectar posibles eventos de ciberseguridad,Instalar utilidades como herramientas de detección de intrusos en el entorno de las redes de gestión del entorno de producción.,,"Se puede realizar usando Network IPS, la herramienta HIPS y herramientas similares, como Honeypots",3
DE-CM-3,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La actividad de los trabajadores está sinedo monitorizada para detectar posibles eventos de ciberseguridad,Implementar mecanismo de sesión de usuarios en los sistemas de información.,"Definir el mecanismo de grabación y las reglas de empleo de este mecanismo, incluidos los casos en que sea necesario grabar, las reglas de privacidad y la autorización de acceso al sistema de grabación.","Se puede implementar operando el sistema de sesión de un usuario a través de la estación de trabajo, la instalación en servidores de aplicaciones o terminales.",4
DE-CM-3,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La actividad de los trabajadores está sinedo monitorizada para detectar posibles eventos de ciberseguridad,Implementar dispositivos de monitorización específicos de actividades de usuarios de niveles de alto riesgo (como usuarios con autorizaciones de alta seguridad),"La organización caracterizará las funciones organizacionales sensibles, asegurando que éstas estén cubiertas por reglas de monitoreo específicas, en relación con actividades sensibles.",Es posible comparar grupos de usuarios confidenciales dentro del Active Directory o cargar una lista de dichos usuarios en la matriz SIEM. Es posible alertar después de definir cualquier nuevo usuario ADMIN dentro del DC,3
DE-CM-3,Monitorización de continuidad de seguridad (Security Continuos Monitoring),La actividad de los trabajadores está sinedo monitorizada para detectar posibles eventos de ciberseguridad,La organización integrará controles basados ​​en el análisis de patrones de comportamiento (sistema y usuario) en entornos sensibles.,"La organización integrará sistemas, identificando anomalías en los niveles de servicio del servidor y la red y entornos de datos confidenciales.","Dichos sistemas pueden funcionar a nivel de servidor (Advanced Threat Analytics) y a nivel de red (MacAfee, NTBA, STRM Sourcefire 3d, etc.)",3
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,"La organización activará herramientas y sistemas en sus puntos de comunicación externos. Estas herramientas escanearán y detectarán códigos maliciosos. Estas herramientas operarán en comunicación con terceros, correo electrónico y servicios de navegación.","El propósito de este monitoreo es detectar código malicioso antes de ingresar a la organización, aún a nivel GW.","Puede realizarse utilizando servidores proxy, sistemas NGFW y herramientas dedicadas a diferentes protocolos de comunicación, como el correo electrónico.",2
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,"La organización podrá definir procedimientos para manejar estaciones, servidores o redes infectadas por código malicioso.",El propósito de este monitoreo es asegurar que la organización esté preparada para hacer frente a los eventos de infiltración de código malicioso.,"Ejemplos de procedimientos: procedimiento para la detección y eliminación de malware, procedimiento de reinstalación del sistema operativo, identificación de tendencias y llegar a conclusiones en el caso de una propagación masiva e infección en la organización.",2
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,Implementar herramientas para detectar y prevenir código malicioso en puntos finales y servidores de la organización. Estas herramientas se ejecutarán en un modo de protección activa y también se realizarán exploraciones periódicas.,"Dado que un software abusivo puede penetrar los mecanismos de seguridad, asegúrese de que los controles para manejar el código malicioso también se aplicarán a nivel de estación de trabajo.",Es posible utilizar cualquier herramienta para detectar y prevenir el código malicioso (como antivirus) de algún fabricante reconocido.,1
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,Se deben activar controles avanzados para evitar códigos maliciosos en los sistemas operativos de servidores y puntos finales,La organización podrá activar en el sistema operativo mecanismos que dificulten el acceso de código malicioso a la memoria o a las funciones del sistema operativo.,Se puede lograr con soluciones para identificar anomalías en el nivel del sistema operativo,4
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,"La organización gestionará la herramienta de prevención de códigos maliciosos en la organización a través de un sistema central. Las principales herramientas de gestión permitirán una notificación importante de incidentes sospechosos y la identificación de eventos del sistema (actualización de problemas, protección inactiva, eliminación de componentes, etc.).","El propósito de esta monitorización es administrar efectivamente el sistema de protección contra código malicioso. Trabajar a través de la configuración instalada localmente hace que sea difícil distribuir actualizaciones, garantizar una cobertura completa y controlar la situación general de defensa.",La mayoría de los sistemas de prevención de códigos maliciosos permiten el uso de herramientas de administración con una interfaz de administración centralizada,2
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,"La organización activará medidas de detección y prevención, basadas en la detección de comportamientos que se desvían del comportamiento razonable y aceptable, además del uso de herramientas basadas en firmas electrónicas.","El propósito de esta monitorización es detectar actividades que se desvían de la norma. El cifrado de múltiples archivos, documentos que intentan acceder a los archivos de registro, etc., son, por ejemplo, eventos que se supone que generan una 'bandera roja' o red flag para la organización.",Es posible utilizar herramientas que analicen la heurística o el comportamiento de un usuario o de un sistema.,3
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,Ejecutar una actualización automática de todos los sistemas para identificar y prevenir el código malicioso dentro de la organización,"La organización activará las actualizaciones automáticas de un servidor central, gestionado por la organización o por un proveedor de servicios reconocido. Estas actualizaciones mantendrán las herramientas de protección actualizadas constantemente.","Es posible usar servidores de actualización, integrados en los servidores de administración de la organización como parte de estos sistemas, o, alternativamente, usar los servidores del fabricante si no hay un servidor central de actualizaciones en la red de la organización (también se aplica a los servicios en la nube).",1
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,Instalar herramientas dedicadas antimalware en las interfaces de hombre-máquina,,"Se puede implementar utilizando herramientas dedicadas antimalware, según el tipo de sistema",1
DE-CM-4,Monitorización de continuidad de seguridad (Security Continuos Monitoring),El código malicioso está siendo detectado,"Definir e implementar limitaciones de uso de medios, utilizando medios de seguridad","La organización definirá e implementará tecnologías y métodos de limitaciones de uso de medios. Para minimizar la filtración de datos o las amenazas de penetración de código malicioso a la red de la organización, a través de medios extraíbles","Se puede implementar securizando las estaciones de trabajo de acuerdo con el tipo de sistema / estación, o las autorizaciones de los empleados, permitiendo que solo los empleados autorizados conecten dispositivos de memoria extraíbles (como una llave de disco activado) a la computadora. On puede implementar una definición mediante la cual se cifrarán los datos almacenados desde una estación en un dispositivo extraíble.",2
DE-CM-5,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se detecta código móvil no autorizado,Realizar análisis de código estático como parte de la prueba de seguridad de datos de un nuevo sistema / servicio,La organización probará los sistemas de nivel con herramientas automáticas que reemplazarán las encuestas manuales (Revisión de código),"El análisis de código puede realizarse mediante herramientas automáticas, probando varias configuraciones de código (código fuente, compilado, URL, etc.) identificando así las lagunas. Realice un análisis de código antes de comprar un sistema y seguir cualquier cambio en su entorno.",3
DE-CM-6,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Las  actividades del proveedor de servicios externos se supervisa para detectar posibles eventos de ciberseguridad,"El desarrollador del sistema debe proporcionar una descripción funcional de los controles de seguridad que se implementarán, e información sobre el diseño y la implementación de estos controles.","La organización exigirá documentación completa de los controles de seguridad de datos integrados en el sistema, para garantizar el cumplimiento de los requisitos de seguridad de datos y por el bien del proceso de gestión de riesgos y amenazas de la organización.","Se recomienda obtener los documentos de diseño funcionales, altos y bajos niveles (FD, HLD, DD / LLD), incluida la documentación de los controles, como parte de la documentación completa del sistema. Dicha documentación incluirá, entre otros, el tipo de cifrado, las pruebas de entrada, los scripts de defensa cibernética, etc. Como parte de la documentación, el proveedor se referirá a su propio desarrollo y a aplicaciones externas (bibliotecas, complementos, terceros software, interfaces externas, etc.). Este control no pretende verificar la mera implementación de los requisitos de seguridad, sino su manera (protocolos, procesos, herramientas de soporte, etc.).",2
DE-CM-6,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Las  actividades del proveedor de servicios externos se supervisa para detectar posibles eventos de ciberseguridad,Verificar que el las pruebas del sistema incluyen verificación; que los controles de seguridad de datos definidos se implementan de acuerdo con el diseño original.,"La organización exigirá documentación completa de los controles de seguridad de datos integrados en el sistema, para garantizar el cumplimiento de los requisitos de seguridad de datos y por el bien del proceso de gestión de riesgos y amenazas de la organización.","En la fase de entrega, verifique que todos los requisitos definidos en el LLD se implementen realmente. Documente la naturaleza de la prueba y los resultados.",3
DE-CM-6,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Las  actividades del proveedor de servicios externos se supervisa para detectar posibles eventos de ciberseguridad,Requerir al proveedor realizar análisis de código dinámico de un nuevo sistema / servicio,,"El análisis de código dinámico se realizará mediante herramientas existentes, disponibles en el mercado, o mediante Fuzzing, así como mediante una herramienta de escaneo automático durante la ejecución del sistema. La organización inspeccionará periódicamente muestras de informes o hallazgos, para verificar la corrección de los flujos en consecuencia.",3
DE-CM-6,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Las  actividades del proveedor de servicios externos se supervisa para detectar posibles eventos de ciberseguridad,Verificar los sistemas adquiridos / desarrollados implementando mecanismos de verificación de salida.,"Los sistemas desarrollados implementarán mecanismos para filtrar salidas inesperadas, que pueden resultar de un ataque al sistema, y ​​exponer datos confidenciales.","Se puede implementar mediante el uso de bibliotecas de software estándar, que filtran la salida de acuerdo con sus formatos esperados. O mediante sistemas de identificación de anomalías, basados ​​en el comportamiento del sistema / usuario / sistema operativo, etc.",3
DE-CM-6,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Las  actividades del proveedor de servicios externos se supervisa para detectar posibles eventos de ciberseguridad,Verificar que los sistemas desarrollados / comprados implementen mecanismos de confiabilidad de sesión,"Los sistemas desarrollados implementarán mecanismos destinados a evitar el secuestro de sesiones, Man-in-the-middle, etc.","Se puede hacer mediante una gestión de sesión adecuada, eliminando conexiones al final de las actividades de los usuarios, aleatoriedad de tokens, etc.",2
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,Usar cifrado como mecanismos basados ​​en algoritmos de cifrado reconocidos y tamaños de clave correspondientes al esquema de la amenaza.,"La organización no utilizará mecanismos de cifrado con debilidades y vulnerabilidades conocidas, y hará coincidir la intensidad del cifrado, incluidos los tamaños de las claves de cifrado, con el resumen de la amenaza.","Por ejemplo: no utilice métodos de cifrado obsoletos, como SHA1, SSLv1, SSLv2 o claves de cifrado de menos de 128 bits, etc.",2
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,Validar la evaluación de riesgos y vulnerabilidades del sistema después de la finalización de su desarrollo.,La validación de la evaluación de riesgos tiene por objeto garantizar que la evaluación de riesgos realizada en la Etapa de análisis coincida con la del sistema desarrollado.,Realizar una encuesta de riesgos después de la finalización del desarrollo y antes de la producción.,3
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,"Escribir e implementar una política de gestión de vulnerabilidades de seguridad de datos, revísela y actualícela periódicamente.","Escribir e implementar una política de gestión de vulnerabilidades de seguridad de datos, revisión y actualización específica.",,2
DE-CM-8,Monitorización de continuidad de seguridad (Security Continuos Monitoring),Se llevan acabo escaneos de vulnerabilidades,"Escribir un procedimiento de gestión de vulnerabilidades de seguridad de datos, incluida la evaluación y corrección de vulnerabilidades","La organización preparará una cartera de procedimientos y planes, para implementar y operar una matriz de gestión de vulnerabilidad de seguridad de datos, haciendo hincapié en los sistemas de identificación, herramientas y empleo de topógrafos, subproveedores y empleo de empleados para hacer frente a los hallazgos. Además, la matriz de gestión de vulnerabilidades de seguridad de datos incluirá una o más de las siguientes pruebas: Evaluación de control de seguridad, prueba de usuario malicioso, evaluación de amenazas internas y otras pruebas definidas por la organización.","El programa de Evaluación de Control de Seguridad incluirá varios procedimientos y procesos, destinados a detectar vulnerabilidades, un seguimiento de los procesos y mecanismos de corrección, interfaces de proceso paralelos (gestión de actualizaciones de seguridad de datos, gestión de configuración del sistema de seguridad de datos, desarrollo seguro, etc.). La organización se integrará en el programa de gestión de vulnerabilidad de seguridad de datos, prueba de penetración que simula usuarios internos y externos, sistemas de evaluación de configuración, etc.",2
