risk,permission,description
low,notifications,Popup notifications to users on desktop
low,overrideEscFullscreen,Prevent exiting full screen with ESC
low,platformKeys,"Use the chrome.platformKeys API to access client certificates managed by the platform. If the user or policy grants the permission, an extension can use such a certificate in its custom authentication protocol. E.g. this allows usage of platform managed certificates in third party VPNs (see chrome.vpnProvider)."
low,power,Manage Chrome OS power state (prevent sleep)
low,printerProvider,"The chrome.printerProvider API exposes events used by print manager to query printers controlled by extensions, to query their capabilities and to submit print jobs to these printers"
low,signedInDevices,Use the chrome.signedInDevices API to get a list of devices signed into chrome with the same account as the current profile
low,storage,Store data on computer
low,system.memory,Get physical memory information
low,system.cpu,Information about processor capabilities
low,system.display,Get info about monitor or change users display settings
low,ttsEngine,Read all text spoken using synthesized speech
low,unlimitedStorage,Removes HTML5 storage size limits
low,wallpaper,Use the chrome.wallpaper API to change the Chrome OS wallpaper.
low,webview,Sandboxed iframe in your extension
