time,connection,throughput,errors,successes,messages,tx_error,rx_error,crc_error,timeout,retries
08/01/2018 09:00:00,RIDGEWAY,85.0,15,85,100,15,0,0,0,0
08/01/2018 10:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 10:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 10:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 11:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 11:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 11:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 12:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 12:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 12:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 13:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 13:00:00,FARMINGTON,68.5,63,137,200,0,0,0,63,189
08/01/2018 13:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 14:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 14:00:00,FARMINGTON,52.5,95,105,200,0,0,0,95,285
08/01/2018 14:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 15:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 15:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,300
08/01/2018 15:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 16:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 16:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,200
08/01/2018 16:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 17:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 17:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,200
08/01/2018 17:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 18:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 18:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,300
08/01/2018 18:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 19:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 19:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,100
08/01/2018 19:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 20:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 20:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,100
08/01/2018 20:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 21:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 21:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,300
08/01/2018 21:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 22:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 22:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,100
08/01/2018 22:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
08/01/2018 23:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 23:00:00,FARMINGTON,50.0,100,100,200,0,0,0,100,300
08/01/2018 23:00:00,RIDGEWAY,100.0,0,100,100,0,0,0,0,0
