time,remote,throughput,errors,successes,messages,tx_error,rx_error,crc_error,timeout,retries
08/01/2018 05:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 06:00:00,RIDGE_RTU01,48.0,52,48,100,49,0,0,3,6
08/01/2018 06:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 06:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 06:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 07:00:00,RIDGE_RTU01,40.0,60,40,100,56,0,0,4,8
08/01/2018 07:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 07:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 07:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 08:00:00,RIDGE_RTU01,45.0,55,45,100,55,0,0,0,0
08/01/2018 08:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 08:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 08:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 09:00:00,RIDGE_RTU01,85.0,15,85,100,15,0,0,0,0
08/01/2018 09:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 09:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 09:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 10:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 10:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 10:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 10:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 11:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 11:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 11:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 11:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 12:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 12:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 12:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 12:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 13:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 13:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 13:00:00,ROSAST_RTU02,37.0,63,37,100,0,0,0,63,189
08/01/2018 13:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 14:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 14:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 14:00:00,ROSAST_RTU02,5.0,95,5,100,0,0,0,95,285
08/01/2018 14:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 15:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 15:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 15:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,300
08/01/2018 15:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 16:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 16:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 16:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,100
08/01/2018 16:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 17:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 17:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 17:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,200
08/01/2018 17:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 18:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 18:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 18:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,300
08/01/2018 18:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 19:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 19:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 19:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,100
08/01/2018 19:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 20:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 20:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 20:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,100
08/01/2018 20:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 21:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 21:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 21:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,300
08/01/2018 21:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 22:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 22:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 22:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,300
08/01/2018 22:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 23:00:00,RIDGE_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 23:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 23:00:00,ROSAST_RTU02,0.0,100,0,100,0,0,0,100,100
08/01/2018 23:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
