_time,dest,service,log_level,message_type,user,time_difference,table,queue_count,service_dest,state,partner,ack_count,update_count,replication_count,point,error_msg,lock_table,lock_duration,lock_process,lock_source,lock_action,reason
1535034573,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,historical connection attempt,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535034575,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,ERROR,historical connection failed,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535034577,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,15,Realtime.Update,SCADA-WK03,Update,
1535034582,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034582,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034592,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,30,Realtime.Update,SCADA-WK03,Update,
1535034597,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034602,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,ERROR,clearing lock failure,,,,,,,,,,,,Failure to clear database lock,,,,,,
1535034607,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535034617,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,45,Realtime.Update,SCADA-WK03,Update,
1535034622,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034627,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,ERROR,clearing lock failure,,,,,,,,,,,,Failure to clear database lock,,,,,,
1535034642,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,60,Realtime.Update,SCADA-WK03,Update,
1535034647,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034647,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034667,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,75,Realtime.Update,SCADA-WK03,Update,
1535034672,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034677,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,ERROR,clearing lock failure,,,,,,,,,,,,Failure to clear database lock,,,,,,
1535034692,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,90,Realtime.Update,SCADA-WK03,Update,
1535034697,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034702,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,ERROR,clearing lock failure,,,,,,,,,,,,Failure to clear database lock,,,,,,
1535034712,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535034717,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,WARNING,lock detected,,,,,,,,,,,,,status,105,Realtime.Update,SCADA-WK03,Update,
1535034722,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,clearing lock start,,,,,,,,,,,,,,,Realtime.Update,,,
1535034722,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034727,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,ERROR,clearing lock failure,,,,,,,,,,,,Failure to clear database lock,,,,,,
1535034732,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,ERROR,no data updates,,,,,,,,,,,,No data updates,,,,,,
1535034737,SCADA-REALTIME01.OPS.LOCAL,Realtime,INFO,critical service failure,,,,,,,,,,,,Terminating process Realtime,,,,,,Process termination - unable to update Realtime.DB
1535034747,SCADA-REALTIME01.OPS.LOCAL,Realtime,INFO,critical service stopped,,,,,,STOPPED,,,,,,,,,,,,No data updates
1535034762,SCADA-REALTIME01.OPS.LOCAL,Realtime,INFO,critical service start,,,,,,STARTING,,,,,,,,,,,,
1535034763,SCADA-REALTIME01.OPS.LOCAL,Realtime.DB,INFO,lock status - no locks,,,,,,,,,,,,,status,0,,,,
1535034764,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,ERROR,FTP host failure,,,,,,,,,,,,Configuration error - host ftp3.ops.local is invalid,,,,,,
1535034767,SCADA-REALTIME01.OPS.LOCAL,Realtime.TimeSync,INFO,time sync started,,,,,,,,,,,,,,,,,,
1535034772,SCADA-REALTIME01.OPS.LOCAL,Realtime.TimeSync,INFO,time sync complete,,,,,,,,,,,,,,,,,,
1535034777,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,INFO,current state,,,,,,INITALIZING,,,,,,,,,,,,
1535034777,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034787,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,INFO,partner state,,,,,,HOT,SCADA-REALTIME02.OPS.LOCAL,,,,,,,,,,,
1535034792,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,INFO,current state,,,,,,STANDBY,,,,,,,,,,,,
1535034797,SCADA-REALTIME01.OPS.LOCAL,Realtime,INFO,point updates,,,,,,STARTED,,,,,,,,,,,,
1535034797,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1080,,,,,,,,,
1535034802,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,5,,,,,,,,,,
1535034812,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1287,,,,,,,,
1535034832,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535034837,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1198,,,,,,,,
1535034852,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1175,,,,,,,,,
1535034852,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034862,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1256,,,,,,,,
1535034887,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1213,,,,,,,,
1535034902,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1044,,,,,,,,,
1535034907,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535034908,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,historical connection attempt,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535034910,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,ERROR,historical connection failed,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535034912,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,,,,,,,,,
1535034917,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,user service restart,,,,,,,,,,,,,,,,,,
1535034922,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,critical service stopping,,,,,,STOPPING,,,,,,,,,,,,
1535034927,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,critical service stopped,,,,,,STOPPED,,,,,,,,,,,,
1535034932,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,critical service start,,,,,,STARTING,,,,,,,,,,,,
1535034932,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034937,SCADA-REALTIME01.OPS.LOCAL,DataRep.TimeSync,INFO,time sync started,,,,,,,,,,,,,,,,,,
1535034942,SCADA-REALTIME01.OPS.LOCAL,DataRep.TimeSync,INFO,time sync complete,,,,,,,,,,,,,,,,,,
1535034947,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,INITALIZING,,,,,,,,,,,,
1535034949,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,HOT,,,,,,,,,,,,
1535034952,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1199,,,,,,,,
1535034957,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,partner sync,,,,,,,SCADA-REALTIME02.OPS.LOCAL,,,,,,,,,,,
1535034962,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,partner state,,,,,,STANDBY,,,,,,,,,,,,
1535034852,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,STARTED,,,,,,,,,,,,
1535034852,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034852,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1009,,,,,,,,,
1535034977,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,FAILED,,,,,,,,,,,,
1535034982,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1197,,,,,,,,
1535034987,SCADA-REALTIME02.OPS.LOCAL,DataRep.State,INFO,critical service assertion,,,,,,ASSERTING,,,,,,,,,,,,
1535034992,SCADA-REALTIME02.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,HOT,,,,,,,,,,,,
1535034997,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,partner state,,,,,,HOT,SCADA-REALTIME02.OPS.LOCAL,,,,,,,,,,,
1535035001,SCADA-REALTIME02.OPS.LOCAL,DataRep.State,INFO,historical connection attempt,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535035001,SCADA-REALTIME02.OPS.LOCAL,DataRep.State,INFO,historical connection succeeded,,,,,SCADA-HISTSERVICE,,,,,,,,,,,,,
1535035002,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,43617,,,,,,,,,,,,,,
1535035002,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,38512,,,,,,,,,,,,,,
1535035002,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,21880,,,,,,,,,,,,,,
1535035002,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,9512,,,,,,,,,,,,,,
1535035002,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,113521,,,,,,,,,,,,,,
1535035002,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035005,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1545,,,,,,,,,
1535035007,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1412,,,,,,,,
1535035012,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,4,,,,,,,,,,
1535035027,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035032,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1231,,,,,,,,
1535035037,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1068,,,,,,,,,
1535035062,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1165,,,,,,,,
1535035081,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1218,,,,,,,,,
1535035081,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035082,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035087,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1161,,,,,,,,
1535035092,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,13,,,,,,,,,,
1535035097,SCADA-REALTIME02.OPS.LOCAL,Realtime.DataRep,INFO,replication to historical,,,analog,15413,,,,,,,,,,,,,,
1535035097,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,13378,,,,,,,,,,,,,,
1535035097,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,513,,,,,,,,,,,,,,
1535035097,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,7013,,,,,,,,,,,,,,
1535035097,SCADA-REALTIME02.OPS.LOCAL,Realtime.DataRep,INFO,replication to historical,,,total,36317,,,,,,,,,,,,,,
1535035122,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,7,,,,,,,,,,
1535035122,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035137,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1232,,,,,,,,
1535035157,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1270,,,,,,,,,
1535035162,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1156,,,,,,,,
1535035172,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035182,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,690,,,,,,,,,,,,,,
1535035182,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,1378,,,,,,,,,,,,,,
1535035182,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,12,,,,,,,,,,,,,,
1535035182,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,3123,,,,,,,,,,,,,,
1535035182,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,4203,,,,,,,,,,,,,,
1535035182,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035207,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1219,,,,,,,,
1535035217,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1173,,,,,,,,,
1535035232,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1140,,,,,,,,
1535035247,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035257,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1216,,,,,,,,
1535035272,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,87,,,,,,,,,,,,,,
1535035272,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,45,,,,,,,,,,,,,,
1535035272,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,18,,,,,,,,,,,,,,
1535035272,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,1867,,,,,,,,,,,,,,
1535035272,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,replication to historical,,,total,2017,,,,,,,,,,,,,,
1535035272,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035277,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1193,,,,,,,,,
1535035287,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1216,,,,,,,,
1535035312,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1161,,,,,,,,
1535035327,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035337,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1028,,,,,,,,,
1535035339,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1298,,,,,,,,
1535035352,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,5,,,,,,,,,,
1535035362,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1156,,,,,,,,
1535035362,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035377,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035387,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1250,,,,,,,,
1535035396,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1292,,,,,,,,,
1535035397,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,99,,,,,,,,,,,,,,
1535035397,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,47,,,,,,,,,,,,,,
1535035397,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,127,,,,,,,,,,,,,,
1535035397,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,9,,,,,,,,,,,,,,
1535035397,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,282,,,,,,,,,,,,,,
1535035422,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1200,,,,,,,,
1535035422,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035442,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035447,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1268,,,,,,,,
1535035457,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,point updates,,,,,,,,,1268,,,,,,,,,
1535035457,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,analog,83,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035457,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,63,,,,,,,,,,,,,,
1535035457,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,101,,,,,,,,,,,,,,
1535035457,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,12,,,,,,,,,,,,,,
1535035457,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,259,,,,,,,,,,,,,,
1535035467,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,9,,,,,,,,,,
1535035467,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035477,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1261,,,,,,,,
1535035492,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,INFO,time difference error,,21.87667,,,,,,,,,,,,,,,,
1535035502,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,2346,,,,,,,,
1535035507,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035517,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1029,,,,,,,,,
1535035527,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535035532,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,,,,,,,,,
1535035537,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,ERROR,replication to realtime error,,,,,,,,,,,,,,,,,,
1535035547,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,87,,,,,,,,,,,,,,
1535035547,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535035547,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,56,,,,,,,,,,,,,,
1535035547,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,101,,,,,,,,,,,,,,
1535035547,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,7,,,,,,,,,,,,,,
1535035547,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,251,,,,,,,,,,,,,,
1535035557,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,7,,,,,,,,,,
1535035561,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1123,,,,,,,,,
