Index_Name,Index_Type,Data_Source,App,Retention,Used_By,Index_Description
oswinperf,event,DS022Performance,org_all_indexes,14,# DS022Performance,# Contains performance counter information useful for ITSI and other IT operations use cases. Some security detection value where abnormally high cpu memory disk or network can be detected the data is rarely sensitive
sequenced_events,event,DS034ApplicationLogs,SplunkEnterpriseSecuritySuite,30,# Splunk Enterprise Security,"# Contains sequenced event data, after the successful termination of a sequence template."
xtreme_contexts,event,DS034ApplicationLogs,Splunk_SA_ExtremeSearch,30,# Splunk Enterprise Security,# Contains the contexts for Extreme search.
osnixetc,event,DS033SystemLogs,org_all_indexes,30,# Endpoint,"# Contains the following files: *release, cron.d/*, cron*, dnsmasq.conf, dnsmasq.d/*, hosts, issue, logrotate.conf, logrotate.d/*, profile, profile.d/*, resolve.conf, rsyslog.conf, rsyslog.d/*, ssh/*.pub, ssh/sshd_config, sudo.conf, sudoers, sudoers.d/*, tuned.d/*, yum.conf, yum.repos.d/*"
notable,event,DE003ThreatIntelligence,SA-ThreatIntelligence,365,# Splunk Enterprise Security,# Contains the notable events.
pci_posture_summary,event,DS034ApplicationLogs,Splunk_DA-ESS_PCICompliance,30,# Splunk Enterprise Security,# Contains the PCI compliance status history.
pci,event,DS034ApplicationLogs,Splunk_DA-ESS_PCICompliance,30,# Splunk Enterprise Security,# Contains the PCI event data.
pci_summary,event,DS034ApplicationLogs,Splunk_DA-ESS_PCICompliance,30,# Splunk Enterprise Security,# Contains the PCI summary data.
risk,event,DE003ThreatIntelligence,SA-ThreatIntelligence,30,# Splunk Enterprise Security,# Contains the risk modifier events.
ueba,event,DS034ApplicationLogs,Splunk_TA_ueba,30,# Splunk Enterprise Security,# Contains UBA events.
oswinreg,event,DS033SystemLogs,org_all_indexes,30,# Endpoint,# Contains Windows Registry data other than what is used by Splunk Enterprise Security epintel index
access_summary,event,DS003Authentication,SA-AccessProtection,30,# Splunk Enterprise Security,# Created/used by ES
access_summary2,event,DS003Authentication,SA-AccessProtection,30,# Splunk Enterprise Security,# Created/used by ES
appdbserver,event,DS029DatabaseServer,org_all_indexes,30,# Application Security,# Database Servers.  SQL/Oracle etc
ubaroute,event,DS034ApplicationLogs,Splunk_TA_ueba,30,# Splunk Enterprise Security,# Does not contain event data. Used behind the scenes for routing to your UBA target.
endpoint_summary,event,DS009EndPointIntel,SA-EndpointProtection,30,# Splunk Enterprise Security,# Endpoint protection summary index.
endpoint_summary2,event,DS009EndPointIntel,SA-EndpointProtection,30,# Splunk Enterprise Security,# Endpoint protection summary index.
appwebext,event,DS005WebProxyRequest,org_all_indexes,90,# Application Security,# External WebApp Access Logs.  Web server logs for external apps
appwebextrp,event,DS005WebProxyRequest,org_all_indexes,90,# Application Security,# External-facing Web App Load Balancers.  Reverse proxy (load balancer logs ) for external apps
netids,event,DS012NetworkIntrusionDetection,org_all_indexes,30,# Network,# for dedicated Intrusion Detection (IDS) environments
netips,event,DS012NetworkIntrusionDetection,org_all_indexes,30,# Network,# for dedicated Intrusion Prevention (IPS) environments
netipam,event,DS010NetworkCommunication,org_all_indexes,30,# Network,"# For IPAM systems, contains information network ip address management logs, typically dhcp servers, software defined networking and VPN"
netauth,event,DS003Authentication,org_all_indexes,30,# Network,# For network authentication sources.  Network authentication nac like cisco ISE and microsoft NPS
netvuln,event,DS018VulnerabilityDetection,org_all_indexes,30,# Network,"# For Network Vulnerability Data.  Rapid7, Qualys, etc…"
netnlb,event,DS030NetworkLoadBalancer,org_all_indexes,90,# Network,"# For non-web server load balancer data (e.g., DNS, SMTP, SIP, etc.).  General network load balancer logs when not dedicated to a single application.  example: Citrix Netscaler with AppFlow is a reverse proxy and should use this index"
ia4s_summary,event,DS024ApplicationServer,insights_app_splunk,365,# Insights App for Splunk App,# Insights App for Splunk App
_internal_forwarder,event,DS007AuditTrail,system,30,# Internal,# https://www.rfaircloth.com/2019/03/20/redirecting-_internal-for-a-large-uf-deployment
summary,event,DS033SystemLogs,system,30,# Default,"# In Splunk, summary indexing is an alert option for scheduled saved searches. When you run a saved search with summary indexing turned on, its search results are temporarily stored in a file ($SPLUNK_HOME/var/spool/splunk/<savedsearch_name>_<random-number>.stash). From the file, Splunk uses the addinfo command to add general information about the current search and the fields you specify during configuration to each result. Splunk then indexes the resulting event data in the summary index that you've designated for it (index=summary by default).  Note: Use the addinfo command to add fields containing general information about the current search to the search results going into a summary index. General information added about the search helps you run reports on results you place in a summary index."
mailmta,event,DS001MAIL,org_all_indexes,365,# Network,# inbound email server logs
cim_modactions,event,DS034ApplicationLogs,Splunk_SA_CIM,30,# Splunk SAs,# Index definition is used with the common action model alerts and auditing. In ES Contains the adaptive response action events.
add_on_builder_index,event,DS034ApplicationLogs,splunk_app_addon-builder,30,# Default,# Index for Splunk Add-On Builder. This is used to index manual log file upload for TA development.
appwebint,event,DS005WebProxyRequest,org_all_indexes,90,# Application Security,"# Internal WebApp Access Logs.  Internal version of appwebext.  IIS, Apache etc…"
appwebintrp,event,DS005WebProxyRequest,org_all_indexes,90,# Application Security,# Internal-facing Web App Load Balancers.  Internal version of appwebint
netipm,event,DS010NetworkCommunication,org_all_indexes,30,# Network,# IP management mostly DHCP servers can also be Microsoft IPAM (rare)
netacl,event,DS010NetworkCommunication,org_all_indexes,30,# Network,"# Legacy Network ACL rule interaction, allow deny etc events generated by NONT stateful packet inspection solutions. ACL events log in both request and response patterns.  logs from non stateful firewalls such as those in cisco switches."
epproxy,event,DS005WebProxyRequest,org_all_indexes,30,# Endpoint,# Local Proxy Activity
appextmsexchange,event,DS024ApplicationServer,org_all_indexes,30,# Application Security,# Logs from the external facing exchange application servers
appextwebmsexchange,event,DS024ApplicationServer,org_all_indexes,90,# Application Security,# Logs from the external facing exchange web application servers
appintmsexchange,event,DS001MAIL,org_all_indexes,30,# Application Security,# Logs from the internal facing exchange application servers
mail,event,DS001MAIL,org_all_indexes,365,# Network,# Mail Index
appmsgserver,event,DS024ApplicationServer,org_all_indexes,90,# Application Security,# Messaging Servers.  Message bus server logs i.e. kafka or websphere
netwaf,event,DS026WebApplicationFW,org_all_indexes,90,# Web Application Firewall,# Netscaler WAF Security for. Stores attack data on web infrastructure prohibited by Netscaler.
netfw,event,DS010NetworkCommunication,org_all_indexes,30,# Network,"# Network firewall rule interaction, allow deny etc events generated by stateful packet inspection solutions. This excludes non stateful events such as switch ACLs"
network_summary,event,DS010NetworkCommunication,SA-NetworkProtection,30,# Splunk Enterprise Security,# Network Traffic summary index.
network_summary2,event,DS010NetworkCommunication,SA-NetworkProtection,30,# Splunk Enterprise Security,# Network Traffic summary index.
network_summary3,event,DS010NetworkCommunication,SA-NetworkProtection,30,# Splunk Enterprise Security,# Network Traffic summary index.
traffic_center_summary,event,DS010NetworkCommunication,SA-NetworkProtection,30,# Splunk Enterprise Security,# Network Traffic summary index.
traffic_center_summary2,event,DS010NetworkCommunication,SA-NetworkProtection,30,# Splunk Enterprise Security,# Network Traffic summary index.
_metrics,metric,DS007AuditTrail,system,14,# Internal,# New _metrics Index
osnixmetrics,metric,DS022Performance,org_all_indexes,30,# Endpoint,# Nix Metrics OS Collection
netops,event,DS010NetworkCommunication,org_all_indexes,30,# Network,# or general network system data (such as Cisco iOS non-netflow logs).  Operational or administrative logs from network devices such as operating system health or change activity.  General network operational logs and audits such as those generated by checkpoint and palo alto when admins change config.
mailgw,event,DS001MAIL,org_all_indexes,365,# Network,# outbount email server logs
sim_metrics,metric,DS022Performance,splunk_ta_sim,90,# Splunk Infrastructure Monitoring Add-on,# Provides a modular input and search command that query your Splunk Infrastructure Monitoring instance to retrieve metrics and event data.
netproxy,event,DS005WebProxyRequest,org_all_indexes,90,# Network,# proxy such as bluecoat
proxy_center_summary,event,DS005WebProxyRequest,SA-NetworkProtection,30,# Splunk Enterprise Security,# Proxy summary index.
proxy_center_summary2,event,DS005WebProxyRequest,SA-NetworkProtection,30,# Splunk Enterprise Security,# Proxy summary index.
em_meta,metric,DS022Performance,Splunk_TA_Infrastructure,90,# Legacy,# Splunk Add-on for Infrastructure
infra_alerts,metric,DS036ExternalAlert,Splunk_TA_Infrastructure,30,# Splunk Add-on for Infrastructure,# Splunk Add-on for Infrastructure
phantom_action_run,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_app,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_app_run,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_artifact,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_asset,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_audit,event,DS007AuditTrail,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_container,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_container_attachment,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_container_comment,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_container_note,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_decided_list,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_docs,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_note,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_playbook,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
phantom_workflow_note,event,DS024ApplicationServer,org_all_indexes,30,# Phantom,# Splunk Phantom indexes available for the HTTP Event Collector
itsi_grouped_alerts,event,DS022Performance,SA-IndexCreation,30,# ITSI,# Stores active episode data.
itsi_tracked_alerts,event,DS022Performance,SA-IndexCreation,30,# ITSI,# Stores active raw notable event data.
itsi_notable_audit,event,DS022Performance,SA-IndexCreation,30,# ITSI,"# Stores all audit events for episodes, including actions, comments, status change, and owner change."
itsi_notable_archive,event,DS022Performance,SA-IndexCreation,30,# ITSI,"# Stores episode metadata (tags and comments) that has been moved from the KV store after a default 6 month retention period, which begins when you close an episode in the UI. Moving data from the KV store removes extraneous data and helps improve performance."
vmware-esxihost,event,DS034ApplicationLogs,Splunk_TA_vmware,14,# VMWare App Indexes,# Stores ESXi host log data.
snmptrapd,event,DS022Performance,SA-IndexCreation,30,# ITSI,"# Stores events coming in from SNMP traps. For more information, see Ingest SNMP traps into ITSI."
itsi_import_objects,event,DS022Performance,SA-IndexCreation,30,# ITSI,# Stores events indexed from a manual entity or service import from a CSV file.
vmware-inv,event,DS022Performance,Splunk_TA_vmware,30,# VMWare App Indexes,# Stores inventory data from a vCenter Server.
vmware-perf-metrics,event,DS022Performance,Splunk_TA_vmware,14,# VMWare App Indexes,# Stores metrics data from a vCenter server.
vmware-perf,event,DS022Performance,Splunk_TA_vmware,14,# VMWare App Indexes,# Stores Performance data.
_internal,event,DS007AuditTrail,system,30,# Internal,# Stores Splunk Enterprise internal logs and processing metrics.
vmware-taskevent,event,DS022Performance,Splunk_TA_vmware,30,# VMWare App Indexes,# Stores task and event data from a vCenter Server.
itsi_summary,event,DS022Performance,SA-IndexCreation,30,# ITSI,# Stores the results of scheduled KPIs searches. Summary indexing lets you run fast searches over large data sets by spreading out the cost of a computationally expensive report over time.
vmware-vclog,event,DS022Performance,Splunk_TA_vcenter,30,# VMWare App Indexes,# Stores vCenter Server log data.
vmware-esxilog,event,DS022Performance,Splunk_TA_esxilogs,30,# VMWare App Indexes,# Stores VMWare vCenter log data.
gia_summary,event,DE003ThreatIntelligence,DA-ESS-ThreatIntelligence,30,# Splunk Enterprise Security,# Summary index used by the Geographically Improbable Access panel on the Access Anomalies dashboard. That search references the Authentication data model.
_metrics_rollup,metric,DS022Performance,system,730,# Internal,# The _metrics_rollup index is an internal index that is designed for use by the Monitoring Console. Data flows to it only when the Monitoring Console is enabled and the metrics rollup policy configured in the context of the Monitoring Console app is also enabled.
unix_summary,event,DS033SystemLogs,SA_nix,30,# Endpoint,# The Splunk Supporting Add-on for Unix and Linux creates two indexes: unix_summary and firedalerts. It uses these indexes to maintain the list of triggered alert events.
main,event,DS034ApplicationLogs,system,90,# Default,# This is the default Splunk Enterprise index. All processed data is stored here unless otherwise specified.
_introspection,event,DS022Performance,system,14,# Internal,# Tracks system performance and Splunk resource usage data.  Generates data about your Splunk instance and environment and writes that data to log files to aid in reporting on system resource utilization and troubleshooting problems with your Splunk Enterprise deployment.
osnixbash,event,DS033SystemLogs,org_all_indexes,30,# Endpoint,# UNIX/Linux Bash
ioc,event,DE003ThreatIntelligence,DA-ESS-ThreatIntelligence,30,# Splunk Enterprise Security,# Unused in this release.
netvpn,event,DS010NetworkCommunication,org_all_indexes,90,# Network,# VPN events including session start/stop and communications
syslog_unclassified,event,DS033SystemLogs,org_all_indexes,30,# Legacy,# when setting up a syslog server that uses actions to set sourcetype/index via multiple files anything that falls out is sent here so this should be empty and if its not empty data is onboaded wrong
whois,event,DS010NetworkCommunication,SA-NetworkProtection	,90,# Splunk Enterprise Security,# WHOIS data index.
oswinmetrics,metric,DS022Performance,org_all_indexes,30,# Endpoint,# Win Metrics OS Collection
af-cms-drugs,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af-cms-excl,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af-cms-paydocs,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af-cms-summ,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af_wt_bank_trans,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af_wt_fraud_notables,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af_wt_sum_acct_profile_target_acct,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
af_wt_sum_fds_stats,event,DS034ApplicationLogs,Splunk-SE-Fraud-Detection,30,# Fraud,# Wire Transfer Fraud
