create_time,alert_name,description,severity
2021-09-23T23:24:26.079697Z,Malware,UEBA Threat: . A host on your network has been compromised and is attempting to communicate with a malicious domain or address.,High
2021-09-23T23:24:25.967259Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:16.622457Z,Possible Phishing Attack,UEBA Threat: . Possible DGA domain accepting traffic.,High
2021-09-23T23:16:29.829110Z,24 hour risk threshold exceeded for system=54.230.147.47,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:29.524711Z,24 hour risk threshold exceeded for system=172.16.0.149,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:29.194615Z,24 hour risk threshold exceeded for system=52.218.245.82,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:28.805801Z,24 hour risk threshold exceeded for system=52.84.235.102,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:28.342198Z,24 hour risk threshold exceeded for system=52.216.133.181,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:28.267228Z,24 hour risk threshold exceeded for system=54.230.147.59,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:21.938751Z,24 hour risk threshold exceeded for system=10.0.1.4,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:21.315187Z,24 hour risk threshold exceeded for system=172.16.0.145,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:20.861148Z,24 hour risk threshold exceeded for system=52.216.131.165,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:20.373290Z,24 hour risk threshold exceeded for system=52.216.132.69,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:19.858542Z,24 hour risk threshold exceeded for system=34.215.24.225,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:19.467306Z,24 hour risk threshold exceeded for system=13.125.33.130,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:18.946366Z,24 hour risk threshold exceeded for system=172.16.0.127,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:16:18.920114Z,24 hour risk threshold exceeded for system=172.16.3.197,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T23:06:28.580617Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( San Francisco, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:28.075879Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( Central, San Francisco ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:27.993009Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( $src_city$, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:27.560936Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( $src_city$, Central ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:27.010090Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( $src_city$, San Francisco ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:17.607353Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( San Francisco, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:17.241829Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( Central, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:16.839107Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( Central, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:06:16.796175Z,Geographically Improbable Access Detected For fyodor@froth.ly,"Login attempts for fyodor@froth.ly from geographically distant locations ( $src_city$, London ) have been detected.  This is an indication of potentially malicious or unauthorized access attempts.",High
2021-09-23T23:02:34.952381Z,Unusual Volume of Network Activity Detected on 52.218.160.94,"An unusual volume of network activity was detected. 52.218.160.94  has generated 16615338768.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:34.359581Z,Unusual Volume of Network Activity Detected on 172.16.3.197,"An unusual volume of network activity was detected. 172.16.3.197  has generated 595285370022.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:33.756615Z,Unusual Volume of Network Activity Detected on 172.16.0.13,"An unusual volume of network activity was detected. 172.16.0.13  has generated 178444931643.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:33.085634Z,Unusual Volume of Network Activity Detected on 34.215.24.225,"An unusual volume of network activity was detected. 34.215.24.225  has generated 815373464400.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:32.592157Z,Unusual Volume of Network Activity Detected on 10.0.1.4,"An unusual volume of network activity was detected. 10.0.1.4  has generated 880039218036.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:32.493527Z,Unusual Volume of Network Activity Detected on 52.216.131.165,"An unusual volume of network activity was detected. 52.216.131.165  has generated 29732791989.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:31.452646Z,Unusual Volume of Network Activity Detected on 52.219.28.113,"An unusual volume of network activity was detected. 52.219.28.113  has generated 11095404045.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:31.062307Z,Unusual Volume of Network Activity Detected on 52.216.133.181,"An unusual volume of network activity was detected. 52.216.133.181  has generated 29812076322.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:30.803922Z,Unusual Volume of Network Activity Detected on 54.231.169.66,"An unusual volume of network activity was detected. 54.231.169.66  has generated 21046511514.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:30.527354Z,Unusual Volume of Network Activity Detected on 13.125.33.130,"An unusual volume of network activity was detected. 13.125.33.130  has generated 35324507626.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:30.416670Z,Unusual Volume of Network Activity Detected on 54.231.184.234,"An unusual volume of network activity was detected. 54.231.184.234  has generated 10014034941.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:30.361293Z,Unusual Volume of Network Activity Detected on 52.218.196.122,"An unusual volume of network activity was detected. 52.218.196.122  has generated 26188688037.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:30.181285Z,Unusual Volume of Network Activity Detected on 52.216.132.69,"An unusual volume of network activity was detected. 52.216.132.69  has generated 29785167093.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:29.831829Z,Unusual Volume of Network Activity Detected on 54.230.147.59,"An unusual volume of network activity was detected. 54.230.147.59  has generated 82128216894.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:29.428875Z,Unusual Volume of Network Activity Detected on 52.219.20.1,"An unusual volume of network activity was detected. 52.219.20.1  has generated 11001903711.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:29.390872Z,Unusual Volume of Network Activity Detected on 54.230.147.47,"An unusual volume of network activity was detected. 54.230.147.47  has generated 80939991252.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:29.346507Z,Unusual Volume of Network Activity Detected on 52.84.235.102,"An unusual volume of network activity was detected. 52.84.235.102  has generated 81108977619.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:26.093396Z,Unusual Volume of Network Activity Detected on 172.16.0.127,"An unusual volume of network activity was detected. 172.16.0.127  has generated 198978631221.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:24.765924Z,Unusual Volume of Network Activity Detected on 52.218.196.130,"An unusual volume of network activity was detected. 52.218.196.130  has generated 18105515448.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:24.208302Z,Unusual Volume of Network Activity Detected on 52.218.204.50,"An unusual volume of network activity was detected. 52.218.204.50  has generated 16557659856.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:23.667151Z,Unusual Volume of Network Activity Detected on 52.218.245.82,"An unusual volume of network activity was detected. 52.218.245.82  has generated 39054652362.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:23.199420Z,Unusual Volume of Network Activity Detected on 172.16.0.145,"An unusual volume of network activity was detected. 172.16.0.145  has generated 151152174480.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:22.010751Z,Unusual Volume of Network Activity Detected on 52.218.209.26,"An unusual volume of network activity was detected. 52.218.209.26  has generated 23699302935.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:20.689862Z,Unusual Volume of Network Activity Detected on 52.218.240.82,"An unusual volume of network activity was detected. 52.218.240.82  has generated 9632823741.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:19.661380Z,Unusual Volume of Network Activity Detected on 172.16.0.149,"An unusual volume of network activity was detected. 172.16.0.149  has generated 107512832445.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:02:18.879811Z,Unusual Volume of Network Activity Detected on 52.219.24.37,"An unusual volume of network activity was detected. 52.219.24.37  has generated 11957127819.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T22:32:28.871688Z,24 hour risk threshold exceeded for system=52.218.160.94,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T22:32:27.599725Z,24 hour risk threshold exceeded for system=52.218.196.130,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T22:32:27.410172Z,24 hour risk threshold exceeded for system=52.218.204.50,Risk Threshold Exceeded for an object over a 24 hour period,Critical
2021-09-23T22:26:27.241136Z,"RBA:  ATT&CK Tactic threshold exceeded (>=3) over previous 7 days for system=FYODOR-L.froth.ly spanning 2 Risk Rules, 2 ATT&CK tactics, and 2 ATT&CK techniques",RBA:  ATT&CK tactic Threshold Exceeded for an object over the previous 7 days,High
2021-09-23T22:26:27.146796Z,"RBA:  ATT&CK Tactic threshold exceeded (>=3) over previous 7 days for user=fyodor@froth.ly spanning 5 Risk Rules, 4 ATT&CK tactics, and 4 ATT&CK techniques",RBA:  ATT&CK tactic Threshold Exceeded for an object over the previous 7 days,High
2021-09-23T21:52:25.458757Z,24 hour risk threshold exceeded for system=172.16.1.239,Risk Threshold Exceeded for an object over a 24 hour period,High
2021-09-23T21:32:31.655257Z,Unusual Volume of Network Activity Detected on 52.216.133.181,"An unusual volume of network activity was detected. 52.216.133.181  has generated 30485502894.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:30.970155Z,Unusual Volume of Network Activity Detected on 52.218.196.122,"An unusual volume of network activity was detected. 52.218.196.122  has generated 26780265699.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:30.198551Z,Unusual Volume of Network Activity Detected on 172.16.0.149,"An unusual volume of network activity was detected. 172.16.0.149  has generated 109941445515.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:29.865485Z,Unusual Volume of Network Activity Detected on 52.218.204.50,"An unusual volume of network activity was detected. 52.218.204.50  has generated 16931681712.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:29.723160Z,Unusual Volume of Network Activity Detected on 52.219.28.113,"An unusual volume of network activity was detected. 52.219.28.113  has generated 11346038715.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:23.756812Z,Unusual Volume of Network Activity Detected on 172.16.3.197,"An unusual volume of network activity was detected. 172.16.3.197  has generated 608732302794.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:23.047426Z,Unusual Volume of Network Activity Detected on 13.125.33.130,"An unusual volume of network activity was detected. 13.125.33.130  has generated 36122454852.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:22.704262Z,Unusual Volume of Network Activity Detected on 52.219.20.1,"An unusual volume of network activity was detected. 52.219.20.1  has generated 11250426297.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:22.284184Z,Unusual Volume of Network Activity Detected on 172.16.0.127,"An unusual volume of network activity was detected. 172.16.0.127  has generated 203473370067.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:22.010021Z,Unusual Volume of Network Activity Detected on 52.218.240.82,"An unusual volume of network activity was detected. 52.218.240.82  has generated 9850420107.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.912372Z,Unusual Volume of Network Activity Detected on 172.16.0.145,"An unusual volume of network activity was detected. 172.16.0.145  has generated 154566558960.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.755330Z,Unusual Volume of Network Activity Detected on 52.216.132.69,"An unusual volume of network activity was detected. 52.216.132.69  has generated 30457985811.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.508675Z,Unusual Volume of Network Activity Detected on 54.231.169.66,"An unusual volume of network activity was detected. 54.231.169.66  has generated 21521932278.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.353269Z,Unusual Volume of Network Activity Detected on 172.16.0.13,"An unusual volume of network activity was detected. 172.16.0.13  has generated 182475833661.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.329301Z,Unusual Volume of Network Activity Detected on 34.215.24.225,"An unusual volume of network activity was detected. 34.215.24.225  has generated 833791978800.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.090407Z,Unusual Volume of Network Activity Detected on 52.84.235.102,"An unusual volume of network activity was detected. 52.84.235.102  has generated 82941152613.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:21.027898Z,Unusual Volume of Network Activity Detected on 52.219.24.37,"An unusual volume of network activity was detected. 52.219.24.37  has generated 12227228013.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T21:32:20.966558Z,Unusual Volume of Network Activity Detected on 52.218.196.130,"An unusual volume of network activity was detected. 52.218.196.130  has generated 18514501896.0 bytes of network traffic in the past day, which is anomalous",High
