Event_ID,SonicOS_Category_Name,SonicOS_Group_Name,Syslog_Legacy_Category,Priority_Level,SNMP_Trap_Type,Event_Name,Log_Event_Message,Network_Traffic,mv_tag,action,result,change_type,object_category
41,Network,Network Access,Debug,NOTICE,---,Unknown Protocol Dropped,Unknown protocol dropped,TRUE,,blocked,,,
43,VPN,VPN IPsec,Debug,DEBUG,---,IPsec Interrupt Error,IPsec connection interrupt,,,,,,
45,Network,ARP,Debug,DEBUG,---,ARP Failure,ARP Timeout,,,,,,
46,Network,Network Access,Debug,DEBUG,---,Broadcast Packets Dropped,Broadcast packet dropped,,,blocked,,,
48,Network,TCP,Debug,DEBUG,---,Out of Order Packets Dropped,Out-of-order command packet dropped,,,blocked,,,
53,System,Status,System Error,ERROR,607,Connection Cache Full,The cache is full; %s open connections; some will be dropped,,,blocked,,,
58,Network,Interfaces,System Error,ERROR,608,Too Many IP on LAN,License exceeded: Connection dropped because too many IP addresses are in use on your LAN,,,blocked,,,
61,VPN,VPN IPsec,System Error,ERROR,609,Out of Memory,Diagnostic Code E,,,,,,
63,Network,ICMP,Debug,DEBUG,---,ICMP Too Big,Received fragmented packet or fragmentation needed,,,,,,
65,VPN,VPN IPsec,User Activity,INFO,---,Illegal SPI,Illegal IPsec SPI,,,,,,
67,VPN,VPN IPsec,Attack,ERROR,508,IPsec Authenticate Failure,IPsec Authentication Failed,,,,,,
69,VPN,VPN IPsec,User Activity,INFO,---,Incompatible SA,Incompatible IPsec Security Association,,,,,,
70,VPN,VPN IPsec,Attack,ERROR,510,Illegal IPsec Peer,IPsec packet from or to an illegal host,,,,,,
81,Security Services,Attacks,Attack,ALERT,520,Smurf Attack,Smurf Amplification attack dropped,TRUE,,blocked,,,
82,Security Services,Attacks,Attack,ALERT,521,Port Scan Possible,Possible port scan detected,,,,,,
83,Security Services,Attacks,Attack,ALERT,522,Port Scan Probable,Probable port scan detected,,,,,,
84,Network,DNS,Maintenance,NOTICE,---,Name Resolve Failed,Failed to resolve name,,,,,,
87,VPN,VPN IKE,User Activity,INFO,---,IPsec Proposal Accepted,IKE Responder: Accepting Ipsec proposal (Phase 2),,,,,,
88,VPN,VPN IKE,User Activity,WARNING,523,IPsec Proposal Rejected,IKE Responder: IPsec proposal does not match (Phase 2),,,,,,
89,VPN,VPN IKE,User Activity,INFO,---,IPsec SA Added,IKE negotiation complete. Adding IPsec SA. (Phase 2),,,,,,
93,System,Restart,System Error,ERROR,611,Suspend Reboot,Diagnostic Code A,,,,,,
94,System,Restart,System Error,ERROR,612,Deadlock Reboot,Diagnostic Code B,,,,,,
95,System,Restart,System Error,ERROR,613,Low Memory Reboot,Diagnostic Code C,,,,,,
96,System,GMS,Maintenance,INFO,---,GMS Heartbeat,Status,,,,,,
97,Log,Syslog,Connection Traffic,INFO,---,Syslog Website Accessed,Web site hit,TRUE,,,,,
98,Network,Network Access,Connection,INFO,---,Connection Opened,Connection Opened,TRUE,,,,,
99,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Discover,Retransmitting DHCP DISCOVER.,,,,,,
100,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Request,Retransmitting DHCP Request (Requesting).,,,,,,
101,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Request Renew,Retransmitting DHCP Request (Renewing).,,,,,,
102,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Request Rebind,Retransmitting DHCP Request (Rebinding).,,,,,,
103,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Request Reboot,Retransmitting DHCP Request (Rebooting).,,,,,,
104,Network,DHCP Client,Maintenance,INFO,---,DHCPC Retransmit Request Verify,Retransmitting DHCP Request (Verifying).,,,,,,
105,Network,DHCP Client,Maintenance,INFO,---,DHCPC Discover,Sending DHCP DISCOVER.,,,,,,
106,Network,DHCP Client,Maintenance,INFO,---,DHCPC No Offer,DHCP Server not available. Did not get any DHCP OFFER.,,,,,,
107,Network,DHCP Client,Maintenance,INFO,---,DHCPC Offer Receive,Got DHCP OFFER. Selecting.,,,,,,
108,Network,DHCP Client,Maintenance,INFO,---,DHCPC Selecting,Sending DHCP Request.,,,,,,
109,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Failed,DHCP Client did not get DHCP ACK.,,,,,,
110,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request NAK,DHCP Client got NACK.,,,,,,
111,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request ACK,DHCP Client got ACK from server.,,,,,,
112,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Decline,DHCP Client is declining address offered by the server.,,,,,,
113,Network,DHCP Client,Maintenance,INFO,---,DHCPC Bound Rebind,DHCP Client sending Request and going to REBIND state.,,,,,,
114,Network,DHCP Client,Maintenance,INFO,---,DHCPC Bound Renew,DHCP Client sending Request and going to RENEW state.,,,,,,
115,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Renew,Sending DHCP Request (Renewing).,,,,,,
116,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Rebind,Sending DHCP Request (Rebinding).,,,,,,
117,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Reboot,Sending DHCP Request (Rebooting).,,,,,,
118,Network,DHCP Client,Maintenance,INFO,---,DHCPC Request Verify,Sending DHCP Request (Verifying).,,,,,,
119,Network,DHCP Client,Maintenance,INFO,---,DHCPC Verify Initiation Failed,DHCP Client failed to verify and lease has expired. Go to INIT state.,,,,,,
121,Network,DHCP Client,Maintenance,INFO,---,DHCPC Get New IP,DHCP Client got a new IP address lease.,,,,,,
122,Network,DHCP Client,Maintenance,INFO,---,DHCPC Send Release,Sending DHCP RELEASE.,,,,,,
123,Security Services,Anti-Virus,Maintenance,INFO,---,AV Access Without Agent,Access attempt from host without Anti-Virus agent installed,,,,,,
124,Security Services,Anti-Virus,Maintenance,INFO,---,AV Agent Out of Date,Anti-Virus agent out-of-date on host,,,,,,
125,Security Services,Anti-Virus,Maintenance,WARNING,524,AV Alert Receive,Received AV Alert: %s,,,,,,
127,Network,PPPoE,Maintenance,INFO,---,PPPoE Start,Starting PPPoE discovery,,,,,,
128,Network,PPPoE,Maintenance,INFO,---,PPPoE Link Up,PPPoE LCP Link Up,,,,,,
129,Network,PPPoE,Maintenance,INFO,---,PPPoE Link Down,PPPoE LCP Link Down,,,,,,
130,Network,PPPoE,Maintenance,INFO,---,PPPoE Link Finish,PPPoE terminated,,,,,,
131,Network,PPPoE,Maintenance,INFO,---,PPPoE Network Up,PPPoE Network Connected,,,,,,
132,Network,PPPoE,Maintenance,INFO,---,PPPoE Network Down,PPPoE Network Disconnected,,,,,,
133,Network,PPPoE,Maintenance,INFO,---,PPPoE Discover Complete,PPPoE discovery process complete,,,,,,
134,Network,PPPoE,Maintenance,INFO,---,PPPoE CHAP Authentication,PPPoE starting CHAP Authentication,,,,,,
138,Network,Interfaces,System Error,WARNING,636,WAN IP Change,Wan IP Changed,,change,,,,Network
139,VPN,VPN Client,User Activity,INFO,---,XAUTH Success,XAUTH Succeeded with VPN %s,,,,,,
140,VPN,VPN Client,User Activity,ERROR,---,XAUTH Failure,"XAUTH Failed with VPN %s, Authentication failure",,,,,,
141,VPN,VPN Client,User Activity,INFO,---,XAUTH Timeout,"XAUTH Failed with VPN client, Cannot Contact %s Server",,,,,,
142,Log,General,Debug,ERROR,---,Log Debug,Log Debug,,,,,,
144,High Availability,State,Maintenance,ALERT,6201,HA Active Primary,Primary firewall has transitioned to Active,,,,,,
145,High Availability,State,Maintenance,ALERT,6202,HA Active Secondary,Secondary firewall has transitioned to Active,,,,,,
146,High Availability,State,System Error,ALERT,6203,HA Standby Primary,Primary firewall has transitioned to Standby,,,,,,
147,High Availability,State,Maintenance,ALERT,6204,HA Standby Secondary,Secondary firewall has transitioned to Standby,,,,,,
148,High Availability,Synchronization,System Error,ERROR,615,HA Primary Missed Heartbeat,Primary missed heartbeats from Secondary,,,,,,
149,High Availability,Synchronization,System Error,ERROR,616,HA Secondary Missed Heartbeat,Secondary missed heartbeats from Primary,,,,,,
150,High Availability,State,System Error,ERROR,617,HA Primary Error Receive,Primary received error signal from Secondary,,,,,,
151,High Availability,State,System Error,ERROR,618,HA Secondary Error Receive,Secondary received error signal from Primary,,,,,,
153,High Availability,State,System Error,ERROR,620,HA Primary Preempt,Primary firewall preempting Secondary,,,,,,
157,High Availability,Synchronization,Maintenance,INFO,---,HA Sync HA Peer,HA Peer Firewall Synchronized,,,,,,
158,High Availability,Synchronization,System Error,ERROR,662,HA Sync Error,Error synchronizing HA peer firewall (%s),,,,,,
159,Security Services,Anti-Virus,Maintenance,WARNING,526,AV Expire message,Received AV Alert: Your Network Anti-Virus subscription has expired. %s,,,,,,
162,High Availability,Synchronization,Maintenance,INFO,---,HA Packet Error,HA packet processing error,,,,,,
164,System,Restart,System Error,ERROR,621,HTTP Server Reboot,Diagnostic Code F,,,,,,
165,Security Services,E-mail Filtering,Attack,ALERT,527,Allow E-mail Attachment,Forbidden E-Mail attachment disabled,,,,,,
168,Network,PPPoE,Maintenance,INFO,---,PPPoE Traffic Timeout,Disconnecting PPPoE due to traffic Timeout,,,,,,
169,Network,PPPoE,Maintenance,INFO,---,PPPoE LCP Unack,No response from ISP Disconnecting PPPoE.,,,,,,
170,High Availability,State,System Error,ERROR,622,Secondary Active Preempt,Secondary going Active in preempt mode after reboot,,,,,,
171,VPN,VPN IKE,User Activity,DEBUG,---,IPsec Dead Peer Detection,%s,,,,,,
173,Network,TCP,LAN TCP,NOTICE,---,LAN TCP Deny,TCP connection from LAN denied,TRUE,,,,,
174,Network,UDP,LAN UDP | LAN TCP,NOTICE,---,LAN UDP Deny,UDP packet from LAN dropped,TRUE,,blocked,,,
175,Network,ICMP,LAN ICMP | LAN TCP,NOTICE,---,LAN ICMP Deny,ICMP packet from LAN dropped,TRUE,,blocked,,,
177,Security Services,Attacks,Attack,ALERT,528,TCP FIN Scan,Probable TCP FIN scan detected,,,,,,
178,Security Services,Attacks,Attack,ALERT,529,TCP Xmas Scan,Probable TCP XMAS scan detected,,,,,,
179,Security Services,Attacks,Attack,ALERT,530,TCP Null Scan,Probable TCP NULL scan detected,,,,,,
181,Network,TCP,Debug,DEBUG,---,TCP FIN Drop,TCP FIN packet dropped,,,blocked,,,
182,Network,ICMP,User Activity,INFO,---,Path MTU Receive,Received a path MTU ICMP message from router/gateway,,,,,,
188,Network,ICMP,User Activity,INFO,---,Path MTU ICMP,Received a path MTU ICMP message from router/gateway,,,,,,
191,High Availability,Synchronization,System Error,ERROR,629,HA Set Error,"Error setting the IP address of the Secondary, please manually set to Secondary LAN IP",,,,,,
199,Users,Authentication Access,User Activity,INFO,---,Admin Login From CLI,CLI administrator login allowed,,,success,,,
200,Users,Authentication Access,User Activity,WARNING,---,Admin Password Error From CLI,CLI administrator login denied due to bad credentials,,,failure,,,
201,Network,L2TP Client,Maintenance,INFO,---,L2TP Tunnel Start,L2TP Tunnel Negotiation Started,,,,,,
202,Network,L2TP Client,Maintenance,INFO,---,L2TP Session Start,L2TP Session Negotiation Started,,,,,,
204,Network,L2TP Client,Maintenance,INFO,---,L2TP Tunnel Finish,L2TP Tunnel Established,,,,,,
205,Network,L2TP Client,Maintenance,INFO,---,L2TP Tunnel Disconect From Remote,L2TP Tunnel Disconnect from Remote,,,,,,
206,Network,L2TP Client,Maintenance,INFO,---,L2TP Session Success,L2TP Session Established,,,,,,
207,Network,L2TP Client,Maintenance,INFO,---,L2TP Session Disconnect From Remote,L2TP Session Disconnect from Remote,,,,,,
208,Network,L2TP Client,Maintenance,INFO,---,L2TP PPP Start,L2TP PPP Negotiation Started,,,,,,
210,Network,L2TP Client,Maintenance,INFO,---,L2TP PPP Up,L2TP PPP Session Up,,,,,,
211,Network,L2TP Client,Maintenance,INFO,---,L2TP Net Down,L2TP PPP Down,,,,,,
212,Network,L2TP Client,Maintenance,INFO,---,L2TP PPP Authenticate Failed,L2TP PPP Authentication Failed,,,,,,
215,Network,L2TP Client,Maintenance,INFO,---,L2TP Traffic Timeout,Disconnecting L2TP Tunnel due to traffic Timeout,,,,,,
217,Network,L2TP Client,Maintenance,INFO,---,L2TP PPP Down,L2TP PPP link down,,,,,,
222,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Remote Release,DHCP RELEASE relayed to Central Gateway,,,,,,
223,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Remote ACK,DHCP lease relayed to local device,,,,,,
224,VPN,DHCP Relay,Debug,INFO,---,DHCPR Central Release,DHCP RELEASE received from remote device,,,,,,
225,VPN,DHCP Relay,Debug,INFO,---,DHCPR Central ACK,DHCP lease relayed to remote device,,,,,,
226,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR IP Conflict,"DHCP lease to LAN device conflicts with remote device, deleting remote IP entry",,,,,,
227,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR IP Conflict With Static IP,WARNING: DHCP lease relayed from Central Gateway conflicts with IP in Static Devices list,,,,,,
228,VPN,DHCP Relay,Maintenance,WARNING,---,DHCPR IP Drop,DHCP lease dropped. Lease from Central Gateway conflicts with Relay IP,,,blocked,,,
229,VPN,DHCP Relay,Attack,ERROR,533,DHCPR IP Spoof,"IP spoof detected on packet to Central Gateway, packet dropped",,,blocked,,,
230,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Get Remote IP Table,Request for Relay IP Table from Central Gateway,,,,,,
231,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Get Central IP Table,Requesting Relay IP Table from Remote Gateway,,,,,,
232,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Send Remote IP Table,Sent Relay IP Table to Central Gateway,,,,,,
233,VPN,DHCP Relay,Maintenance,INFO,---,DHCPR Receive Remote IP Table,Obtained Relay IP Table from Remote Gateway,,,,,,
234,VPN,DHCP Relay,System Error,WARNING,632,DHCPR Table Request Timeout,Failed to synchronize Relay IP Table,,,,,,
235,Users,Authentication Access,User Activity,INFO,---,Admin VPN Login,VPN zone administrator login allowed,,,success,,,
236,Users,Authentication Access,User Activity,INFO,---,Admin WAN Login,WAN zone administrator login allowed,,,success,,,
237,Users,Authentication Access,User Activity,INFO,---,User VPN Login,VPN zone remote user login allowed,,,success,,,
238,Users,Authentication Access,User Activity,INFO,---,User WAN Login,WAN zone remote user login allowed,,,success,,,
239,VPN,VPN IKE,User Activity,INFO,---,VPN Peer Behind NAT Device,NAT Discovery : Peer IPsec Security Gateway behind a NAT/NAPT Device,,,,,,
240,VPN,VPN IKE,User Activity,INFO,---,VPN Local Behind NAT Device,NAT Discovery : Local IPsec Security Gateway behind a NAT/NAPT Device,,,,,,
241,VPN,VPN IKE,User Activity,INFO,---,VPN No NAT Device Detected,NAT Discovery : No NAT/NAPT device detected between IPsec Security gateways,,,,,,
242,VPN,VPN IKE,User Activity,INFO,---,VPN Peer Does Not Support NAT,NAT Discovery : Peer IPsec Security Gateway doesn't support VPN NAT Traversal,,,,,,
243,Users,Radius Authentication,User Activity,INFO,---,User Login Failed,User login denied - RADIUS authentication failure,,,failure,,,
244,Users,Radius Authentication,User Activity,WARNING,---,User Login Timeout,User login denied - RADIUS server Timeout,,,failure,,,
245,Users,Radius Authentication,User Activity,WARNING,---,User Login Error,User login denied - RADIUS configuration error,,,failure,,,
246,Users,Authentication Access,User Activity,INFO,---,User Login From Wrong Location,User login denied - User has no privileges for login from that location,,,failure,,,
247,VPN,VPN IPsec,Maintenance,INFO,---,Illegal Packet from IPsec Host,IPsec packet from an illegal host,,,,,,
248,Security Services,E-mail Filtering,Attack,ERROR,534,E-mail Attachment,Forbidden E-Mail attachment deleted,,,,,,
249,VPN,VPN IKE,User Activity,WARNING,535,Bad Tunnel Mode,IKE Responder: Mode %s - not tunnel mode,,,,,,
250,VPN,VPN IKE,User Activity,WARNING,536,Phase 1 ID Mismatch,IKE Responder: No matching Phase 1 ID found for proposed remote network,,,,,,
251,VPN,VPN IKE,User Activity,WARNING,537,Bad Remote Network,IKE Responder: Proposed remote network is 0.0.0.0 but not DHCP relay nor default route,,,,,,
252,VPN,VPN IKE,User Activity,WARNING,538,No Remote Network Match,IKE Responder: No match for proposed remote network address,,,,,,
253,VPN,VPN IKE,User Activity,WARNING,539,Default Gateway Not Match Proposal,IKE Responder: Default LAN gateway is set but peer is not proposing to use this SA as a default route,,,,,,
254,VPN,VPN IKE,User Activity,WARNING,540,Tunnel Terminates Outside,IKE Responder: Tunnel terminates outside firewall but proposed local network is not NAT public address,,,,,,
255,VPN,VPN IKE,User Activity,WARNING,541,Tunnel Terminates Inside,IKE Responder: Tunnel terminates inside firewall but proposed local network is not inside firewall,,,,,,
256,VPN,VPN IKE,User Activity,WARNING,542,Tunnel Terminates DMZ,IKE Responder: Tunnel terminates on DMZ but proposed local network is on LAN,,,,,,
257,VPN,VPN IKE,User Activity,WARNING,543,Tunnel Terminates LAN,IKE Responder: Tunnel terminates on LAN but proposed local network is on DMZ,,,,,,
258,VPN,VPN IKE,User Activity,WARNING,544,AH PFS Mismatch,IKE Responder: AH Perfect Forward Secrecy mismatch,,,,,,
259,VPN,VPN IKE,User Activity,WARNING,545,ESP PFS Mismatch,IKE Responder: ESP Perfect Forward Secrecy mismatch,,,,,,
260,VPN,VPN IKE,User Activity,WARNING,546,Algorithm or Key Mismatch,IKE Responder: Algorithms and/or keys do not match,,,,,,
261,Users,Authentication Access,User Activity,INFO,---,Admin Logout,Administrator logged out,,,,,,
262,Users,Authentication Access,User Activity,INFO,---,Admin Logout - Timer Expire,Administrator logged out - inactivity timer expired,,,,,,
263,Users,Authentication Access,User Activity,INFO,---,User Logout,User logged out - %s,,,,,,
264,Users,Authentication Access,User Activity,INFO,---,User Logout - Max Session,User logged out - max session time exceeded,,,,,,
265,Users,Authentication Access,User Activity,INFO,---,User Logout - Timer Expire,User logged out - inactivity timer expired,,,,,,
266,VPN,VPN IPsec,Maintenance,INFO,---,IPsec AH Does Not Support NAT,NAT device may not support IPsec AH pass-through,,,,,,
267,Security Services,Attacks,Attack,ALERT,547,TCP Xmas Tree Attack,TCP Xmas Tree dropped,TRUE,,blocked,,,
269,VPN,VPN PKI,User Activity,INFO,---,CRL Request,Requesting CRL from,,,,,,
270,VPN,VPN PKI,User Activity,INFO,---,CRL Download Success,CRL loaded from,,,,,,
271,VPN,VPN PKI,User Activity,ALERT,---,CRL Download Failed,Failed to get CRL from,,,,,,
272,VPN,VPN PKI,User Activity,WARNING,---,CRL Failed - No Memory,Not enough memory to hold the CRL,,,,,,
273,VPN,VPN PKI,User Activity,ALERT,---,CRL Failed - Timeout,Connection timed out,,,,,,
274,VPN,VPN PKI,User Activity,ALERT,---,CRL Failed - No Connect,Cannot connect to the CRL server,,,,,,
275,VPN,VPN PKI,User Activity,ERROR,---,CRL Failed - No Reason,Unknown reason,,,,,,
276,VPN,VPN PKI,User Activity,ALERT,---,CRL Process Failed,Failed to Process CRL from,,,,,,
277,VPN,VPN PKI,User Activity,ALERT,---,CRL Bad Format,Bad CRL format,,,,,,
278,VPN,VPN PKI,User Activity,ALERT,---,CRL Wrong Issuer,Issuer match failed,,,,,,
279,VPN,VPN PKI,User Activity,ALERT,---,CRL Certificate Revoke,Certificate on Revoked list(CRL),,,,,,
280,VPN,VPN PKI,User Activity,ALERT,---,No Certificate,No Certificate for,,,,,,
281,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Dial Up,PPP Dial-Up: Dialing: %s,,,,,,
282,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP No Dialtone,PPP Dial-Up: No dial tone detected - check phone-line connection,,,,,,
283,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP No Carrier,PPP Dial-Up: No link carrier detected - check phone number,,,,,,
284,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Peer Number Busy,PPP Dial-Up: Dialed number is busy,,,,,,
285,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP No Answer,PPP Dial-Up: Dialed number did not answer,,,,,,
286,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,Start PPP,PPP Dial-Up: Connected at %s bps - starting PPP,,,,,,
287,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Failure,PPP Dial-Up: Unknown dialing failure,,,,,,
288,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Disconnect,PPP Dial-Up: Link carrier lost,,,,,,
289,Network,PPP,---,INFO,---,PPP Authenticate Success,PPP: Authentication successful,,,,,,
290,Network,PPP,---,INFO,---,PPP PAP Failed,PPP: PAP Authentication failed - check username / password,,,,,,
291,Network,PPP,---,INFO,---,PPP CHAP Failed,PPP: CHAP authentication failed - check username / password,,,,,,
292,Network,PPP,---,INFO,---,PPP MS-CHAP Failed,PPP: MS-CHAP authentication failed - check username / password,,,,,,
293,Network,PPP,---,INFO,---,PPP MS-CHAP Start,PPP: Starting MS-CHAP authentication,,,,,,
294,Network,PPP,---,INFO,---,PPP CHAP Start,PPP: Starting CHAP authentication,,,,,,
295,Network,PPP,---,INFO,---,PPP PAP Start,PPP: Starting PAP authentication,,,,,,
299,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP IP Update,PPP Dial-Up: Received new IP address,,,,,,
300,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Link Establish,PPP Dial-Up: PPP link established,,,,,,
301,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Link Down,PPP Dial-Up: PPP link down,,,,,,
302,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Link Closing,PPP Dial-Up: Shutting down link,,,,,,
303,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Initialization,PPP Dial-Up: Initialization : %s,,,,,,
306,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Dial Cancel,PPP Dial-Up: Connect request canceled,,,,,,
307,Network,Failover and Load Balancing,System Error,WARNING,639,WAN Mode,The network connection in use is %s,,,,,,
308,VPN,L2TP Server,Maintenance,INFO,---,L2TP Tunnel Establish,L2TP Server : L2TP Tunnel Established.,,,,,,
309,VPN,L2TP Server,Maintenance,INFO,---,L2TP Session Establish,L2TP Server : L2TP Session Established.,,,,,,
311,VPN,L2TP Server,Maintenance,INFO,---,L2TP Radius Authentication Failure,L2TP Server: RADIUS/LDAP reports Authentication Failure,,,,,,
312,VPN,L2TP Server,Maintenance,INFO,---,L2TP Local Authentication Failure,L2TP Server: Local Authentication Failure,,,,,,
318,VPN,L2TP Server,Maintenance,INFO,---,L2TP Local Authentication Success,L2TP Server: Local Authentication Success.,,,,,,
319,VPN,L2TP Server,Maintenance,INFO,---,L2TP Radius Authentication Success,L2TP Server: RADIUS/LDAP Authentication Success,,,,,,
321,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Manual Action Needed,PPP Dial-Up: Manual intervention needed. Check Primary Profile or Profile details,,,,,,
322,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Profile is Manual,PPP Dial-Up: Trying to failover but Primary Profile is manual,,,,,,
326,Network,Failover and Load Balancing,System Error,ALERT,637,Probe Failed,Probing failure on %s,,,,,,
327,"3G/4G, Modem, and Module",PPP Dial-Up,User Activity,INFO,---,PPP Max Connection Exceed,PPP Dial-Up: Maximum connection time exceeded - disconnecting,,,,,,
328,Users,Authentication Access,Maintenance,INFO,---,Admin Name Change,Administrator name changed,,change,updated,,,Users
329,Users,Authentication Access,Attack,ERROR,561,User Login Lockout,User login failure rate exceeded - logins from user IP address denied,,,failure,lockout,,
330,"3G/4G, Modem, and Module",PPP Dial-Up,Maintenance,INFO,---,Disable VPN Network,PPP Dial-Up: The profile in use disabled VPN networking.,,,,,,
331,"3G/4G, Modem, and Module",PPP Dial-Up,Maintenance,INFO,---,Enable VPN Network,PPP Dial-Up: VPN networking restored.,,,,,,
335,VPN,L2TP Server,Maintenance,INFO,---,L2TPS Tunnel Disconnect From Remote,L2TP Server: Tunnel Disconnect from Remote.,,,,,,
336,VPN,L2TP Server,Maintenance,INFO,---,L2TPS Tunnel Delete,L2TP Server : Deleting the Tunnel,,,,,,
337,VPN,L2TP Server,Maintenance,INFO,---,L2TPS Session Delete,L2TP Server : Deleting the L2TP active Session,,,,,,
338,VPN,L2TP Server,Maintenance,INFO,---,L2TPS Retransmissio n Timeout,"L2TP Server : Retransmission Timeout, Deleting the Tunnel",,,,,,
339,Network,NAT,Debug,DEBUG,---,NAT Overwrite,"NAT translated packet exceeds size limit, packet dropped",,,blocked,,,
340,System,Administration,Maintenance,INFO,---,HTTP Port Change,HTTP management port has changed,,change,updated,,,System
341,System,Administration,Maintenance,INFO,---,HTTPS Port Change,HTTPS management port has changed,,change,updated,,,System
344,VPN,L2TP Server,Maintenance,INFO,---,L2TPS Authentication Local Failure,L2TP Server : User Name authentication Failure locally.,,,,,,
346,VPN,VPN IKE,User Activity,INFO,---,Quick Mode Started,IKE Initiator: Start Quick Mode (Phase 2).,,,,,,
