AVAYA_Called_Number,Pays
001559*,"USA California"
001551*,"USA New Jersey"
001541*,"USA Oregon"
001540*,"USA Virginia"
001539*,"USA Oklahoma"
001534*,"USA Wisconsin"
001531*,"USA Nebraska"
001530*,"USA California"
001520*,"USA Arizona"
001519*,"Canada London"
001518*,"USA New York"
001517*,"USA Michigan"
001516*,"USA New York"
001515*,"USA Iowa"
001514*,"Canada Montreal"
001513*,"USA Ohio"
001512*,"USA Texas"
001510*,"USA California"
001509*,"USA Washington"
001508*,"USA Massachusetts"
001507*,"USA Minnesota"
001506*,"Canada St. John"
001505*,"USA New Mexico"
001504*,"USA Louisiana"
001503*,"USA Oregon"
001502*,"USA Kentucky"
001501*,"USA Arkansas"
001484*,"USA Pennsylvania"
001480*,"USA Arizona"
001479*,"USA Arkansas"
001478*,"USA Georgia"
001475*,"USA Connecticut"
001473*,"Grenade"
001470*,"USA Georgia"
001469*,"USA Texas"
001458*,"USA Oregon"
001450*,"Canada Terrebone"
001443*,"USA Maryland"
001442*,"USA California"
001441*,"Bermudes"
001440*,"USA Ohio"
001438*,"Canada Montreal"
001435*,"USA Utah"
001434*,"USA Virginia"
001432*,"USA Texas"
001430*,"USA Texas"
001425*,"USA Washington"
001424*,"USA California"
001423*,"USA Tennessee"
001419*,"USA Ohio"
001418*,"Canada Québec Ville"
001417*,"USA Missouri"
001416*,"Canada Toronto"
001415*,"USA California"
001414*,"USA Wisconsin"
001413*,"USA Massachusetts"
001412*,"USA Pennsylvania"
001410*,"USA Maryland"
001409*,"USA Texas"
001408*,"USA California"
001407*,"USA Florida"
001406*,"USA Montana"
001405*,"USA Oklahoma"
001404*,"USA Georgia"
001403*,"Canada Calgary"
001402*,"USA Nebraska"
001401*,"USA Rhode Island"
001386*,"USA Florida"
001385*,"USA Utah"
001361*,"USA Texas"
001360*,"USA Washington"
001352*,"USA Florida"
001351*,"USA Massachusetts"
001347*,"USA New York"
001345*,"Îles Caïmans"
001343*,"Canada Ottawa"
001340*,"Îles Vierges des Etats-Unis"
001339*,"USA Massachusetts"
001337*,"USA Louisiana"
001336*,"USA North Carolina"
001334*,"USA Alabama"
001331*,"USA Illinois"
001330*,"USA Ohio"
001325*,"USA Texas"
001323*,"USA California"
001321*,"USA Florida"
001320*,"USA Minnesota"
001319*,"USA Iowa"
001318*,"USA Louisiana"
001317*,"USA Indiana"
001316*,"USA Kansas"
001315*,"USA New York"
001314*,"USA Missouri"
001313*,"USA Michigan"
001312*,"USA Illinois"
001310*,"USA California"
001309*,"USA Illinois"
001308*,"USA Nebraska"
001307*,"USA Wyoming"
001306*,"Canada Saskatoon"
001305*,"USA Florida"
001304*,"USA West Virginia"
001303*,"USA Colorado"
001302*,"USA Delaware"
001301*,"USA Maryland"
001289*,"Canada Mississauga"
001284*,"Îles Vierges britanniques"
001281*,"USA Texas"
001276*,"USA Virginia"
001270*,"USA Kentucky"
001269*,"USA Michigan"
001268*,"Antigua-et-Barbuda"
001267*,"USA Pennsylvania"
001264*,"Anguilla"
001262*,"USA Wisconsin"
001260*,"USA Indiana"
001256*,"USA Alabama"
001254*,"USA Texas"
001253*,"USA Washington"
001252*,"USA North Carolina"
001251*,"USA Alabama"
001250*,"Canada Victoria"
001249*,"Canada Sault Ste. Marie"
001248*,"USA Michigan"
001246*,"Barbade"
001242*,"Bahamas"
001240*,"USA Maryland"
001239*,"USA Florida"
001236*,"Canada Vancouver"
001234*,"USA Ohio"
001231*,"USA Michigan"
001229*,"USA Georgia"
001228*,"USA Mississippi"
001226*,"Canada London"
001225*,"USA Louisiana"
001224*,"USA Illinois"
001219*,"USA Indiana"
001218*,"USA Minnesota"
001217*,"USA Illinois"
001216*,"USA Ohio"
001215*,"USA Pennsylvania"
001214*,"USA Texas"
001213*,"USA California"
001212*,"USA New York"
001210*,"USA Texas"
001209*,"USA California"
001208*,"USA Idaho"
001207*,"USA Maine"
001206*,"USA Washington"
001205*,"USA Alabama"
001204*,"Canada Winnipeg"
001203*,"USA Connecticut"
001201*,"USA New Jersey"
00998*,"Ouzbékistan"
00996*,"Kirghizistan"
00995*,"Géorgie"
00994*,"Azerbaïdjan"
00993*,"Turkménistan"
00992*,"Tadjikistan"
00977*,"Népal"
00976*,"Mongolie"
00975*,"Bhoutan"
00974*,"Qatar"
00973*,"Bahreïn"
00972*,"Israël"
00971*,"Emirats Arabes Unis"
00970*,"Palestine (réservé)"
00968*,"Oman"
00967*,"Yémen"
00966*,"Arabie saoudite"
00965*,"Koweït"
00964*,"Irak"
00963*,"Syrie"
00962*,"Jordanie"
00961*,"Liban"
00960*,"Maldives"
00886*,"Taïwan (République de Chine)"
00881*,"Système mobile mondial par satellite GMSS, indicatif partagé"
00880*,"Bangladesh"
00856*,"Laos"
00855*,"Cambodge"
00853*,"Macao"
00852*,"Hong Kong"
00850*,"Corée du Nord"
00800*,"Numéro gratuit et universel de libre appel international"
00692*,"Îles Marshall"
00691*,"Micronésie"
00690*,"Tokelau"
00689*,"Polynésie Française"
00688*,"Tuvalu"
00687*,"Nouvelle-Calédonie"
00686*,"Kiribati"
00685*,"Samoa"
00683*,"Niue"
00682*,"Îles Cook"
00681*,"Wallis-et-Futuna"
00680*,"Palaos"
00679*,"Fidji"
00678*,"Vanuatu"
00677*,"Salomon"
00676*,"Tonga"
00675*,"Papouasie-Nouvelle-Guinée"
00674*,"Nauru"
00673*,"Brunei"
00672*,"Territoires extérieurs de l'Australie"
00670*,"Timor oriental"
00599*,"Pays-Bas caribéens"
00599*,"Curaçao"
00599*,"Pays-Bas caribéens"
00598*,"Uruguay"
00597*,"Suriname"
00596*,"Martinique"
00595*,"Paraguay"
00594*,"Guyane"
00593*,"Equateur"
00592*,"Guyana"
00591*,"Bolivie"
00590*,"Guadeloupe"
00590*,"Saint-Martin"
00509*,"Haïti"
00508*,"Saint-Pierre-et-Miquelon"
00507*,"Panama"
00506*,"Costa Rica"
00505*,"Nicaragua"
00504*,"Honduras"
00503*,"Salvador"
00502*,"Guatemala"
00501*,"Belize"
00500*,"Malouines"
00423*,"Liechtenstein"
00421*,"Slovaquie"
00420*,"République tchèque"
00389*,"Macédoine"
00387*,"Bosnie-Herzégovine"
00386*,"Slovénie"
00385*,"Croatie"
00382*,"Monténégro"
00381*,"Serbie"
00380*,"Ukraine"
00379*,"Vatican (Saint-Siège)"
00378*,"Saint-Marin"
00377*,"Monaco"
00376*,"Andorre"
00375*,"Biélorussie"
00374*,"Arménie"
00373*,"Moldavie"
00372*,"Estonie"
00371*,"Lettonie"
00370*,"Lituanie"
00359*,"Bulgarie"
00358*,"Finlande"
00357*,"Chypre"
00356*,"Malte"
00355*,"Albanie"
00354*,"Islande"
00353*,"Irlande"
00352*,"Luxembourg"
00351*,"Portugal"
00350*,"Gibraltar"
00299*,"Groenland"
00298*,"Îles Féroé"
00297*,"Aruba"
00291*,"Érythrée"
00290*,"Sainte-Hélène, Ascension et Tristan da Cunha"
00269*,"Comores"
00268*,"Swaziland"
00267*,"Botswana"
00266*,"Lesotho"
00265*,"Malawi"
00264*,"Namibie"
00263*,"Zimbabwe"
00262*,"Mayotte"
00262*,"La Réunion"
00261*,"Madagascar"
00260*,"Zambie"
00258*,"Mozambique"
00257*,"Burundi"
00256*,"Ouganda"
00255*,"Tanzanie"
00254*,"Kenya"
00253*,"Djibouti"
00252*,"Somalie"
00251*,"Éthiopie"
00250*,"Rwanda"
00249*,"Soudan"
00248*,"Seychelles"
00247*,"Île de l'Ascension"
00246*,"Territoire britannique de l'océan Indien"
00245*,"Guinée-Bissau"
00244*,"Angola"
00243*,"République démocratique du Congo"
00242*,"République du Congo"
00241*,"Gabon"
00240*,"Guinée équatoriale"
00239*,"Sao Tomé-et-Principe"
00238*,"Cap-Vert"
00237*,"Cameroun"
00236*,"République centrafricaine"
00235*,"Tchad"
00234*,"Nigeria"
00233*,"Ghana"
00232*,"Sierra Leone"
00231*,"Liberia"
00230*,"Maurice"
00229*,"Bénin"
00228*,"Togo"
00227*,"Niger"
00226*,"Burkina Faso"
00225*,"Côte d'Ivoire"
00224*,"Guinée"
00223*,"Mali"
00222*,"Mauritanie"
00221*,"Sénégal"
00220*,"Gambie"
00218*,"Libye"
00216*,"Tunisie"
00213*,"Algérie"
00212*,"Maroc"
00211*,"Soudan du Sud"
0098*,"Iran"
0095*,"Birmanie"
0094*,"Sri Lanka"
0093*,"Afghanistan"
0092*,"Pakistan"
0091*,"Inde"
0090*,"Turquie"
0086*,"Chine"
0084*,"Viêt Nam"
0082*,"Corée du Sud"
0081*,"Japon"
0066*,"Thaïlande"
0065*,"Singapour"
0064*,"Îles Pitcairn"
0064*,"Nouvelle-Zélande"
0063*,"Philippines"
0062*,"Indonésie"
0061*,"Australie"
0060*,"Malaisie"
0058*,"Venezuela"
0057*,"Colombie"
0056*,"Chili"
0055*,"Brésil"
0054*,"Argentine"
0053*,"Cuba"
0052*,"Mexique"
0051*,"Pérou"
0049*,"Allemagne"
0048*,"Pologne"
0047*,"Norvège"
0046*,"Suède"
0045*,"Danemark"
0044*,"Royaume-Uni"
0043*,"Autriche"
0041*,"Suisse"
0040*,"Roumanie"
0039*,"Italie"
0036*,"Hongrie"
0034*,"Espagne"
0033*,"France"
0032*,"Belgique"
0031*,"Pays-Bas"
0030*,"Grèce"
0027*,"Afrique du Sud"
0020*,"Égypte"
007*,"Russie Kazakhstan"
