"_time","Down_time _mins","H_W problem","INCIDENT_DATE_KEY","INCIDENT_FC_KEY","Incident_Day","Incident_Day Type","Incident_Month","Incident_Quarter","Incident_Region","Incident_Town","Incident_Week","Incident_Weekday","Incident_Year","Incident_YearQuarter",LAT,LON,Latitude,Longitude,"New Duplicate Incident","New Ticket",No,PostCode,"PostCode_2","Reviewed_main_category","Reviewed_sub_category","SW_Reviewed_main_category","SW_Reviewed_sub_category",StreetName,"TERMINAL_ID","Ticket Down time","Ticket Start time","Ticket Stop time","Ticket_R2","Total Down","bay_BKK_UPC","bay_device_priority","bay_region","bay_type_of_device","bay_vault_code","closed_dtimestamp","component_profile","device_id","fault_id","fault_text","first_line_service_profile","incident_id",latitude,longitude,"model_number","opened_dtimestamp",postcode,"second_line_service_profile","ticket_id","type_location"
"2019-12-31T17:27:05.000+0000","207.13332960731",Network,41639,1435R,31,"Working Day",Dec,Q4,"City of London",,1,Tue,2019,"2019-Q4","51.5142028","-0.1085036","51.5142028","-0.1085036","New m/c and New ticket",101677798,1211,"EC4A 2DY",2DY,Network,"Power_Fail",Network,"Power_Fail","165 Fleet Street",S1A1435R,"207.13332960731","12/31/2019 5:27:05 PM","12/31/2019 8:54:12 PM",101677798,"0.14384259000508",BKK,Standard,M303,"R-ATM",700,"41639.87098379",Omron,S1A1435R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",23625042,"51.5142028","-0.1085036","ADM1.5","41639.7271412",EC4A,"IBM_BKK_SLM",101677798,Branch
"2019-12-31T17:06:13.000+0000","222.63333120849",Network,41639,1437R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5188409","-0.132935","51.5188409","-0.132935","New ticket",101677749,1222,"W1T 2AR",2AR,Network,"Power_Fail",Network,"Power_Fail","39 Tottenham Court Road",S1A1437R,"335.36666880827","12/31/2019 5:06:13 PM","12/31/2019 10:41:36 PM",101677749,"0.23289352000575",BKK,Standard,M205,"R-ATM",700,"41639.86726851",Omron,S1A1437R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",23624962,"51.5188409","-0.132935","ADM1.5","41639.71266203",W1T,"IBM_BKK_SLM",101677749,Branch
"2019-12-31T15:15:45.000+0000","264.38332319842",Hardware,41639,1057R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5176469","-0.1091153","51.5176469","-0.1091153","New ticket",101676766,136,"EC1N 2HR",2HR,Hardware,"Device_Fault",Hardware,"Device_Fault","31 Holborn",S1A1057R,"268.49999519647","12/31/2019 3:15:45 PM","12/31/2019 7:44:15 PM",101676766,"0.18645832999755",BKK,"High Priority",M104,"R-ATM",700,"41639.81953703",Omron,S1A1057R,178,"Terminal closed Casset,CardR,Depos,Trap,or Present not available","G4S_BKK_FLM",13624612,"51.5176469","-0.1091153",ADM2,"41639.6359375",EC1N,"IBM_BKK_SLM",101676766,Branch
"2019-12-31T15:07:25.000+0000","1.6833312017843",Network,41639,1234R,31,"Working Day",Dec,Q4,"Greater London",Wandsworth,1,Tue,2019,"2019-Q4","51.427917","-0.1686517","51.427917","-0.1686517","1st_level",,,"SW17 0RN",0RN,Network,"1st_level",Network,"1st_level","56 Tooting High Street, Tooting",S1A1234R,"1.6833312017843","12/31/2019 3:07:25 PM","12/31/2019 3:09:06 PM",,"0.0011689800012391",BKK,"High Priority",M102,"R-ATM",700,"41639.63131944",Diebold,S1A1234R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13624578,"51.427917","-0.1686517","OPTEVA 378","41639.63015046",SW17,"Diebold_BKK_SLM",101677510,Branch
"2019-12-31T14:37:50.000+0000","1.6499951994047",Network,41639,1234R,31,"Working Day",Dec,Q4,"Greater London",Wandsworth,1,Tue,2019,"2019-Q4","51.427917","-0.1686517","51.427917","-0.1686517","1st_level",,,"SW17 0RN",0RN,Network,"1st_level",Network,"1st_level","56 Tooting High Street, Tooting",S1A1234R,"1.6499951994047","12/31/2019 2:37:50 PM","12/31/2019 2:39:29 PM",,"0.0011458299995866",BKK,"High Priority",M102,"R-ATM",700,"41639.61075231",Diebold,S1A1234R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13624493,"51.427917","-0.1686517","OPTEVA 378","41639.60960648",SW17,"Diebold_BKK_SLM",101677454,Branch
"2019-12-31T14:21:58.000+0000","27.933335996931",Others,41639,1058R,31,"Working Day",Dec,Q4,"Greater London",Hounslow,1,Tue,2019,"2019-Q4","51.4925054","-0.2670554","51.4925054","-0.2670554","New ticket",101653185,144,"W4 4HJ",4HJ,Others,"Device_info",Others,"Device_info","281 Chiswick High Road, Chiswick",S1A1058R,"27.933335996931","12/31/2019 2:21:58 PM","12/31/2019 2:49:55 PM","101653185-144","0.019398149997869",BKK,"High Priority",M202,"R-ATM",253,"41639.61799768",Omron,S1A1058R,110,"The ATM changed mode to Supervisor.","Brinks_BKK_FLM",13624435,"51.4925054","-0.2670554",ADM2,"41639.59859953",W4,"IBM_BKK_SLM",101653185,Branch
"2019-12-31T13:07:16.000+0000","9.0333360002842",Network,41639,1253R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5074468","-0.0970845","51.5074468","-0.0970845","1st_level",,,"SE1 9DZ",9DZ,Network,"1st_level",Network,"1st_level","62-67 Park Street, Southwark",S1A1253R,"9.0333360002842","12/31/2019 1:07:16 PM","12/31/2019 1:16:19 PM",,"0.0062731500001973",BKK,"High Priority",M304,"R-ATM",700,"41639.55299768",Diebold,S1A1253R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13624179,"51.5074468","-0.0970845","OPTEVA 378","41639.54672453",SE1,"Diebold_BKK_SLM",101677261,Branch
"2019-12-31T12:41:03.000+0000","445.06666079862",Network,41639,1061R,31,"Working Day",Dec,Q4,"Greater London",Poplar,1,Tue,2019,"2019-Q4","51.4921822","-0.0241566","51.4921822","-0.0241566","New ticket",101676760,186,"E14 5AH",5AH,Network,"Power_Fail",Network,"Power_Fail","Unit 8, Canary Wharf",S1A1061R,"445.06666079862","12/31/2019 12:41:03 PM","12/31/2019 8:06:06 PM",101676760,"0.30907406999904",BKK,"High Priority",M206,"R-ATM",700,"41639.83758101",Omron,S1A1061R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",23624106,"51.4921822","-0.0241566",ADM2,"41639.52850694",E14,"IBM_BKK_SLM",101676760,Branch
"2019-12-31T12:37:09.000+0000","2.6666640001349",Network,41639,1059R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5224176","-0.1576377","51.5224176","-0.1576377","1st_level",,,"NW1 5RU",5RU,Power,"Power_Fail",Network,"Power_Fail","186 Baker Street",S1A1059R,"2.6666640001349","12/31/2019 12:37:09 PM","12/31/2019 12:39:49 PM",,"0.0018518500000937",BKK,"High Priority",M202,"R-ATM",527,"41639.52765046",Omron,S1A1059R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13624089,"51.5224176","-0.1576377",ADM2,"41639.52579861",NW1,"IBM_BKK_SLM",101677208,Branch
"2019-12-31T12:35:01.000+0000","4.7999951918609",Network,41639,1059R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5224176","-0.1576377","51.5224176","-0.1576377","1st_level",,,"NW1 5RU",5RU,Network,"1st_level",Network,"1st_level","186 Baker Street",S1A1059R,"4.7999951918609","12/31/2019 12:35:01 PM","12/31/2019 12:39:49 PM",,"0.0033333299943479",BKK,"High Priority",M202,"R-ATM",527,"41639.52765046",Omron,S1A1059R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13624078,"51.5224176","-0.1576377",ADM2,"41639.52431713",NW1,"IBM_BKK_SLM",101677208,Branch
"2019-12-31T12:12:25.000+0000","115.23333600489",Hardware,41639,1066R,31,"Working Day",Dec,Q4,"City of London",,1,Tue,2019,"2019-Q4","51.5137482","-0.0844692","51.5137482","-0.0844692","New ticket",101677161,238,"EC2N 3AQ",3AQ,Hardware,"Cash_Jam",Others,"Foreign_Object_Found","1 Bishopsgate",S1A1066R,"115.23333600489","12/31/2019 12:12:25 PM","12/31/2019 2:07:39 PM",101677161,"0.080023150003399",BKK,"High Priority",M101,"R-ATM",518,"41639.58864583",Omron,S1A1066R,178,"Terminal closed Casset,CardR,Depos,Trap,or Present not available","G4S_BKK_FLM",13624002,"51.5137482","-0.0844692",ADM2,"41639.50862268",EC2N,"IBM_BKK_SLM",101677161,Branch
"2019-12-31T11:38:49.000+0000","2.8666655975394",Cash,41639,1297R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.4721609","-0.0694885","51.4721609","-0.0694885","New ticket",101677107,1068,"SE15 5ET",5ET,Cash,"Cash_Out",Cash,"Cash_Out","47 Rye Lane, Peckham",S1A1297R,"2.8666655975394","12/31/2019 11:38:49 AM","12/31/2019 11:41:41 AM",101677107,"0.0019907399982912",BKK,"High Priority",M301,"R-ATM",700,"41639.48729166",Omron,S1A1297R,155,"All cash cassettes for this terminal are out of media.","G4S_BKK_FLM",13623892,"51.4721609","-0.0694885","ADM1.5","41639.48530092",SE15,"IBM_BKK_SLM",101677107,Branch
"2019-12-31T10:27:04.000+0000","6.0999983979855",Network,41639,1084R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5230281","-0.1257937","51.5230281","-0.1257937","1st_level",,,"WC1H 0LQ",0LQ,Power,"Power_Fail",Network,"Power_Fail","1 Woburn Place, Russell Square",S1A1084R,"6.0999983979855","12/31/2019 10:27:04 AM","12/31/2019 10:33:10 AM",,"0.004236109998601",BKK,"High Priority",M202,"R-ATM",700,"41639.43969907",Diebold,S1A1084R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13623642,"51.5230281","-0.1257937","OPTEVA 378","41639.43546296",WC1H,"Diebold_BKK_SLM",101676796,Branch
"2019-12-31T10:15:09.000+0000","6.3333216018509",Network,41639,1253R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5074468","-0.0970845","51.5074468","-0.0970845","1st_level",,,"SE1 9DZ",9DZ,Power,"Power_Fail",Network,"Power_Fail","62-67 Park Street, Southwark",S1A1253R,"6.3333216018509","12/31/2019 10:15:09 AM","12/31/2019 10:21:28 AM",,"0.0043981400012854",BKK,"High Priority",M304,"R-ATM",700,"41639.43158564",Diebold,S1A1253R,18,"Power failure reported , Entering Service initiated","G4S_BKK_FLM",13623595,"51.5074468","-0.0970845","OPTEVA 378","41639.4271875",SE1,"Diebold_BKK_SLM",101676917,Branch
"2019-12-31T10:10:05.000+0000","11.399990395876",Network,41639,1253R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5074468","-0.0970845","51.5074468","-0.0970845","New ticket",101676917,749,"SE1 9DZ",9DZ,Network,"Power_Fail",Network,"Power_Fail","62-67 Park Street, Southwark",S1A1253R,"11.399990395876","12/31/2019 10:10:05 AM","12/31/2019 10:21:28 AM",101676917,"0.0079166599971359",BKK,"High Priority",M304,"R-ATM",700,"41639.43158564",Diebold,S1A1253R,18,"Power failure reported , Entering Service initiated","G4S_BKK_FLM",23623579,"51.5074468","-0.0970845","OPTEVA 378","41639.42366898",SE1,"Diebold_BKK_SLM",101676917,Branch
"2019-12-31T09:57:42.000+0000","9.0666719921865",Network,41639,1253R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5074468","-0.0970845","51.5074468","-0.0970845","1st_level",,,"SE1 9DZ",9DZ,Power,"Power_Fail",Network,"Power_Fail","62-67 Park Street, Southwark",S1A1253R,"9.0666719921865","12/31/2019 9:57:42 AM","12/31/2019 10:06:47 AM",,"0.0062962999945739",BKK,"High Priority",M304,"R-ATM",700,"41639.42137731",Diebold,S1A1253R,18,"Power failure reported , Entering Service initiated","G4S_BKK_FLM",13623541,"51.5074468","-0.0970845","OPTEVA 378","41639.41508101",SE1,"Diebold_BKK_SLM",101676876,Branch
"2019-12-31T09:52:27.000+0000","14.333327998174",Network,41639,1253R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5074468","-0.0970845","51.5074468","-0.0970845","1st_level",,,"SE1 9DZ",9DZ,Network,"1st_level",Network,"1st_level","62-67 Park Street, Southwark",S1A1253R,"14.333327998174","12/31/2019 9:52:27 AM","12/31/2019 10:06:47 AM",,"0.0099536999987322",BKK,"High Priority",M304,"R-ATM",700,"41639.42137731",Diebold,S1A1253R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13623523,"51.5074468","-0.0970845","OPTEVA 378","41639.41142361",SE1,"Diebold_BKK_SLM",101676876,Branch
"2019-12-31T09:44:07.000+0000","30.550003201934",Hardware,41639,1297R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.4721609","-0.0694885","51.4721609","-0.0694885","New ticket",101676849,1067,"SE15 5ET",5ET,Hardware,"Device_Fault",Hardware,"Device_Fault","47 Rye Lane, Peckham",S1A1297R,"30.550003201934","12/31/2019 9:44:07 AM","12/31/2019 10:14:40 AM",101676849,"0.021215280001343",BKK,"High Priority",M301,"R-ATM",700,"41639.42686342",Omron,S1A1297R,178,"Terminal closed Casset,CardR,Depos,Trap,or Present not available","G4S_BKK_FLM",13623489,"51.4721609","-0.0694885","ADM1.5","41639.40564814",SE15,"IBM_BKK_SLM",101676849,Branch
"2019-12-31T09:16:40.000+0000","76.483339194674",Network,41639,1084R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5230281","-0.1257937","51.5230281","-0.1257937","1st_level",,,"WC1H 0LQ",0LQ,Network,"1st_level",Network,"1st_level","1 Woburn Place, Russell Square",S1A1084R,"76.483339194674","12/31/2019 9:16:40 AM","12/31/2019 10:33:10 AM",,"0.053113429996301",BKK,"High Priority",M202,"R-ATM",700,"41639.43969907",Diebold,S1A1084R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623405,"51.5230281","-0.1257937","OPTEVA 378","41639.38658564",WC1H,"Diebold_BKK_SLM",101676796,Branch
"2019-12-31T08:56:17.000+0000","10.266667201649",Network,41639,1240R,31,"Working Day",Dec,Q4,"Greater London",Poplar,1,Tue,2019,"2019-Q4","51.5274902","-0.0572693","51.5274902","-0.0572693","1st_level",,,"E2 9QW",9QW,Power,"Power_Fail",Network,"Power_Fail","465 Bethnal Green Road, Bethnal Green",S1A1240R,"10.266667201649","12/31/2019 8:56:17 AM","12/31/2019 9:06:33 AM",,"0.0071296300011454",BKK,"High Priority",M303,"R-ATM",700,"41639.37954861",Diebold,S1A1240R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13623365,"51.5274902","-0.0572693","OPTEVA 378","41639.37241898",E2,"Diebold_BKK_SLM",101675051,Branch
"2019-12-31T08:53:23.000+0000","6.0500016028527",Network,41639,1230R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.4721609","-0.0694885","51.4721609","-0.0694885","1st_level",,,"SE15 5ET",5ET,Power,"Power_Fail",Network,"Power_Fail","47 Rye Lane, Peckham",S1A1230R,"6.0500016028527","12/31/2019 8:53:23 AM","12/31/2019 8:59:26 AM",,"0.0042019900019811",BKK,"High Priority",M105,"R-ATM",700,"41639.37460648",Diebold,S1A1230R,18,"Power failure reported , Entering Service initiated","G4S_BKK_FLM",13623353,"51.4721609","-0.0694885","OPTEVA 378","41639.37040509",SE15,"Diebold_BKK_SLM",101674983,Branch
"2019-12-31T08:45:09.000+0000","14.283331203042",Network,41639,1230R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.4721609","-0.0694885","51.4721609","-0.0694885","1st_level",,,"SE15 5ET",5ET,Network,"1st_level",Network,"1st_level","47 Rye Lane, Peckham",S1A1230R,"14.283331203042","12/31/2019 8:45:09 AM","12/31/2019 8:59:26 AM",,"0.0099189800021122",BKK,"High Priority",M105,"R-ATM",700,"41639.37460648",Diebold,S1A1230R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13623324,"51.4721609","-0.0694885","OPTEVA 378","41639.3646875",SE15,"Diebold_BKK_SLM",101674983,Branch
"2019-12-31T08:44:40.000+0000","21.883334394079",Network,41639,1240R,31,"Working Day",Dec,Q4,"Greater London",Poplar,1,Tue,2019,"2019-Q4","51.5274902","-0.0572693","51.5274902","-0.0572693","1st_level",,,"E2 9QW",9QW,Network,"1st_level",Network,"1st_level","465 Bethnal Green Road, Bethnal Green",S1A1240R,"21.883334394079","12/31/2019 8:44:40 AM","12/31/2019 9:06:33 AM",,"0.015196759995888",BKK,"High Priority",M303,"R-ATM",700,"41639.37954861",Diebold,S1A1240R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623322,"51.5274902","-0.0572693","OPTEVA 378","41639.36435185",E2,"Diebold_BKK_SLM",101675051,Branch
"2019-12-31T08:33:59.000+0000","2.1666671941057",Network,41639,1236R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5394101","-0.1426694","51.5394101","-0.1426694","1st_level",,,"NW1 8QL",8QL,Network,"1st_level",Network,"1st_level","176 Camden High Street, Camden",S1A1236R,"2.1666671941057","12/31/2019 8:33:59 AM","12/31/2019 8:36:09 AM",,"0.0015046299959067",BKK,"High Priority",M305,"R-ATM",700,"41639.3584375",Diebold,S1A1236R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623297,"51.5394101","-0.1426694","OPTEVA 378","41639.35693287",NW1,"Diebold_BKK_SLM",101676719,Branch
"2019-12-31T07:46:40.000+0000","2.1833424037322",Network,41639,1212R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5046463","-0.0905008","51.5046463","-0.0905008","1st_level",,,"SE1 1YB",1YB,Network,"1st_level",Network,"1st_level","28 Borough High Street, Southwark",S1A1212R,"2.1833424037322","12/31/2019 7:46:40 AM","12/31/2019 7:48:52 AM",,"0.0015162100025918",BKK,"High Priority",M302,"R-ATM",700,"41639.32560185",Diebold,S1A1212R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623201,"51.5046463","-0.0905008","OPTEVA 378","41639.32408564",SE1,"Diebold_BKK_SLM",101676659,Branch
"2019-12-31T07:15:10.000+0000","2.1666671941057",Network,41639,1212R,31,"Working Day",Dec,Q4,"Greater London",Camberwell,1,Tue,2019,"2019-Q4","51.5046463","-0.0905008","51.5046463","-0.0905008","1st_level",,,"SE1 1YB",1YB,Network,"1st_level",Network,"1st_level","28 Borough High Street, Southwark",S1A1212R,"2.1666671941057","12/31/2019 7:15:10 AM","12/31/2019 7:17:20 AM",,"0.0015046299959067",BKK,"High Priority",M302,"R-ATM",700,"41639.30371527",Diebold,S1A1212R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623131,"51.5046463","-0.0905008","OPTEVA 378","41639.30221064",SE1,"Diebold_BKK_SLM",101676609,Branch
"2019-12-31T06:56:16.000+0000","2.1500064013526",Network,41639,1225R,31,"Working Day",Dec,Q4,"Greater London",Lambeth,1,Tue,2019,"2019-Q4","51.4387177","-0.1263901","51.4387177","-0.1263901","1st_level",,,"SW2 4UE",4UE,Network,"1st_level",Network,"1st_level","103 Streatham Hill, Streatham",S1A1225R,"2.1500064013526","12/31/2019 6:56:16 AM","12/31/2019 6:58:26 AM",,"0.0014930600009393",BKK,"High Priority",M205,"R-ATM",700,"41639.2905787",Diebold,S1A1225R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13623078,"51.4387177","-0.1263901","OPTEVA 378","41639.28908564",SW2,"Diebold_BKK_SLM",101676572,Branch
