indicator,indicator_description
1-TCP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:1-UDP:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Abnormal UDP traffic and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a relatively small attacking population and Application level UDP flood attack and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:1-UDP:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN-ACK flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a relatively small attacking population and Abnormal UDP traffic and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a relatively small attacking population and Application level UDP flood attack and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a relatively small attacking population and Application level UDP flood attack and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:1-UDP:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP flood attack and Application level UDP flood attack and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-ACK:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-SYN-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and SYN-ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a vast attacking population and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a vast attacking population and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level TCP flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level TCP flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP "Tsunami" flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:3:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:3:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP flood attack and Abnormal new IP addresses arrival rate and Abnormal network traffic entropy value and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a large attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN flood from a large attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,TCP SYN-ACK flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-TCP:2:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,TCP SYN-ACK flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-TCP:2:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a large attacking population and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a large attacking population and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a large attacking population and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,TCP SYN-ACK flood from a large attacking population and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:2:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level TCP flood attack and Abnormal new IP addresses arrival rate and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-TCP:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,TCP SYN flood from a relatively small attacking population and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
