cve,last_modified_date,vulnerability_type,cvss_v3,severity,attack_vector,attack_complexity,vendor,message,host_name,site,ticket_id
CVE-2012-4690 ,5/20/2013,Configuration,7.1,High,Network,Medium,Rockwell,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",PHL-AB1400-CONVEYER01,Philadelphia,4f2705-a6aa2f-972ecfc3-0a9b
CVE-2012-4690 ,5/20/2013,Configuration,7.1,High,Network,Medium,Rockwell,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",PHL-AB1400-CONVEYER02,Philadelphia,4f2705-a6aa2f-972ecfc3-0a9b
CVE-2012-4690 ,5/20/2013,Configuration,7.1,High,Network,Medium,Rockwell,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",PHL-AB1400-LABELER01,Philadelphia,4f2705-a6aa2f-972ecfc3-0a9b
CVE-2015-3322,01-07-17,Cryptographic Issues,5.1,Medium,Network,Low,Lenovo,"Lenovo ThinkServer RD350, RD450, RD550, RD650, M910z and TD350 servers before 1.26.0 use weak encryption to store (1) user and (2) administrator BIOS passwords, which allows attackers to decrypt the passwords via unspecified vectors.",BER-OWS01-LINE1,Berlin,dd9e51-b62333-11df1911-3d4b
CVE-2015-3322,01-07-17,Cryptographic Issues,5.1,Medium,Network,Low,Lenovo,"Lenovo ThinkServer RD350, RD450, RD550, RD650, M910z and TD350 servers before 1.26.0 use weak encryption to store (1) user and (2) administrator BIOS passwords, which allows attackers to decrypt the passwords via unspecified vectors.",SJN-WONDERW-MES01,San Juan,4bc3f6-4cf368-53dbca4d-2cd0
CVE-2018-12590,08-10-18,Format String Vulnerability,7.2,High,Network,Low,Ubiquiti,"Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the admin CLI, leading to code execution and privilege escalation greater than administrators themselves are allowed. An attacker with access to an admin account could escape the restricted CLI and execute arbitrary code.",DUB-SWITCH-LINE1,Dublin,532e1d-2b0dd1-b0106205-1e4b
CVE-2018-12590,08-10-18,Format String Vulnerability,7.2,High,Network,Low,Ubiquiti,"Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the admin CLI, leading to code execution and privilege escalation greater than administrators themselves are allowed. An attacker with access to an admin account could escape the restricted CLI and execute arbitrary code.",DUB-SWITCH-LINE2,Dublin,532e1d-2b0dd1-b0106205-1e4b
CVE-2018-12590,08-10-18,Format String Vulnerability,7.2,High,Network,Low,Ubiquiti,"Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the admin CLI, leading to code execution and privilege escalation greater than administrators themselves are allowed. An attacker with access to an admin account could escape the restricted CLI and execute arbitrary code.",DUB-SWITCH-ENTERPRISE,Dublin,532e1d-2b0dd1-b0106205-1e4b
CVE-2018-9867,2/21/2019,Improper Access Control,5.5,Medium,Local,Low,SonicWall,"In SonicWall SonicOS, administrators without full permissions can download imported certificates. Occurs when administrators who are not in the SonicWall Administrators user group attempt to download imported certificates. This vulnerability affected SonicOS Gen 5 version 5.9.1.10 and earlier.",DUB-SONICWALL-FW01,Dublin,5b210c-12d911-a0ec3248-7219
CVE-2018-9867,2/21/2019,Improper Access Control,5.5,Medium,Local,Low,SonicWall,"In SonicWall SonicOS, administrators without full permissions can download imported certificates. Occurs when administrators who are not in the SonicWall Administrators user group attempt to download imported certificates. This vulnerability affected SonicOS Gen 5 version 5.9.1.10 and earlier.",TUS-SONICWALL-FW01,Tuas,15945c-f18d39-062d7d31-f6a9
CVE-2019-0654,03-06-19,Input Validation,4.3,Medium,Network,Low,Dell,"A spoofing vulnerability exists when Microsoft browsers improperly handles specific redirects, aka 'Microsoft Browser Spoofing Vulnerability'.",BER-SIEMENS-APP2,Berlin,417685-5b9801-a433a08f-7f70
CVE-2012-3016,7/31/2012,Other,7.8,High,Network,Low,Siemens,Siemens SIMATIC S7-400 PN CPU devices with firmware 6 before 6.0.3 allow remote attackers to cause a denial of service (defect-mode transition and service outage) via crafted ICMP packets.,BER-SIM700-LINE1,Berlin,c2736a-b2c006-16a3f118-721b
CVE-2012-3016,7/31/2012,Other,7.8,High,Network,Low,Siemens,Siemens SIMATIC S7-400 PN CPU devices with firmware 6 before 6.0.3 allow remote attackers to cause a denial of service (defect-mode transition and service outage) via crafted ICMP packets.,BER-SIM700-LINE2,Berlin,c2736a-b2c006-16a3f118-721b
CVE-2018-0024,09-11-18,"Permissions, Privileges, and Access Control",7.8,High,Local,Low,Juniper,"An Improper Privilege Management vulnerability in a shell session of Juniper Networks Junos OS allows an authenticated unprivileged attacker to gain full control of the system. Affected releases are Juniper Networks Junos OS: 12.1X46 versions prior to 12.1X46-D45 on SRX Series; 12.3X48 versions prior to 12.3X48-D20 on SRX Series; 12.3 versions prior to 12.3R11 on EX Series; 14.1X53 versions prior to 14.1X53-D30 on EX2200/VC, EX3200, EX3300/VC, EX4200, EX4300, EX4550/VC, EX4600, EX6200, EX8200/VC (XRE), QFX3500, QFX3600, QFX5100;; 15.1X49 versions prior to 15.1X49-D20 on SRX Series.",TUS-JUNIPER-SW03,Tuas,368ffd-ef3244-094a77b7-dcde
CVE-2018-0024,09-11-18,"Permissions, Privileges, and Access Control",7.8,High,Local,Low,Juniper,"An Improper Privilege Management vulnerability in a shell session of Juniper Networks Junos OS allows an authenticated unprivileged attacker to gain full control of the system. Affected releases are Juniper Networks Junos OS: 12.1X46 versions prior to 12.1X46-D45 on SRX Series; 12.3X48 versions prior to 12.3X48-D20 on SRX Series; 12.3 versions prior to 12.3R11 on EX Series; 14.1X53 versions prior to 14.1X53-D30 on EX2200/VC, EX3200, EX3300/VC, EX4200, EX4300, EX4550/VC, EX4600, EX6200, EX8200/VC (XRE), QFX3500, QFX3600, QFX5100;; 15.1X49 versions prior to 15.1X49-D20 on SRX Series.",TUS-JUNIPER-SW01,Tuas,368ffd-ef3244-094a77b7-dcde
CVE-2018-0161,4/23/2018,Resource Management Errors,6.3,Medium,Network,High,Cisco,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial of service (DoS) condition, aka a GET MIB Object ID Denial of Service Vulnerability. The vulnerability is due to a condition that could occur when the affected software processes an SNMP read request that contains a request for the ciscoFlashMIB object ID (OID). An attacker could trigger this vulnerability by issuing an SNMP GET request for the ciscoFlashMIB OID on an affected device. A successful exploit could cause the affected device to restart due to a SYS-3-CPUHOG. This vulnerability affects the following Cisco devices if they are running a vulnerable release of Cisco IOS Software and are configured to use SNMP Version 2 (SNMPv2) or SNMP Version 3 (SNMPv3): Cisco Catalyst 2960-L Series Switches, Cisco Catalyst Digital Building Series Switches 8P, Cisco Catalyst Digital Building Series Switches 8U. Cisco Bug IDs: CSCvd89541.",PHL-CISCO-SW01,Philadelphia,6c477a-73d08a-3e0f1745-b6b6
CVE-2018-0161,4/23/2018,Resource Management Errors,6.3,Medium,Network,High,Cisco,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial of service (DoS) condition, aka a GET MIB Object ID Denial of Service Vulnerability. The vulnerability is due to a condition that could occur when the affected software processes an SNMP read request that contains a request for the ciscoFlashMIB object ID (OID). An attacker could trigger this vulnerability by issuing an SNMP GET request for the ciscoFlashMIB OID on an affected device. A successful exploit could cause the affected device to restart due to a SYS-3-CPUHOG. This vulnerability affects the following Cisco devices if they are running a vulnerable release of Cisco IOS Software and are configured to use SNMP Version 2 (SNMPv2) or SNMP Version 3 (SNMPv3): Cisco Catalyst 2960-L Series Switches, Cisco Catalyst Digital Building Series Switches 8P, Cisco Catalyst Digital Building Series Switches 8U. Cisco Bug IDs: CSCvd89541.",SJN-CISCO-SW01,San Juan,b09dc1-d45fd6-f6ce8c0c-4f54
CVE-2018-0161,4/23/2018,Resource Management Errors,6.3,Medium,Network,High,Cisco,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial of service (DoS) condition, aka a GET MIB Object ID Denial of Service Vulnerability. The vulnerability is due to a condition that could occur when the affected software processes an SNMP read request that contains a request for the ciscoFlashMIB object ID (OID). An attacker could trigger this vulnerability by issuing an SNMP GET request for the ciscoFlashMIB OID on an affected device. A successful exploit could cause the affected device to restart due to a SYS-3-CPUHOG. This vulnerability affects the following Cisco devices if they are running a vulnerable release of Cisco IOS Software and are configured to use SNMP Version 2 (SNMPv2) or SNMP Version 3 (SNMPv3): Cisco Catalyst 2960-L Series Switches, Cisco Catalyst Digital Building Series Switches 8P, Cisco Catalyst Digital Building Series Switches 8U. Cisco Bug IDs: CSCvd89541.",SJN-CISCO-SW02,San Juan,b09dc1-d45fd6-f6ce8c0c-4f54
CVE-2018-1207 ,3/23/2018,Injection,9.8,Critical,Network,Low,Dell,"Dell EMC iDRAC7/iDRAC8, versions prior to 2.52.52.52, contain CGI injection vulnerability which could be used to execute remote code. A remote unauthenticated attacker may potentially be able to use CGI variables to execute remote code.",DUB-EMPOWER3-APP01,Dublin,efc2ce-c9adf3-898cf9d2-aad9
