tag_name,register_address,kepware_location
AB-ML.ML1400.Communicate Servicing Selection,S:33/4,McLean_Local
AB-ML.ML1400.Control Register Error,S:5/2,McLean_Local
AB-ML.ML1400.DTR Force Bit,S:33/15,McLean_Local
AB-ML.ML1400.FIRMWARE DEMO,F8:0,McLean_Local
AB-ML.ML1400.Firmware_Revision,S:59,McLean_Local
AB-ML.ML1400.Force Enabled,S:1/5,McLean_Local
AB-ML.ML1400.Forces Installed,S:1/6,McLean_Local
AB-ML.ML1400.I/O Event Interrupt Time,S:44,McLean_Local
AB-ML.ML1400.I/O Interrupt Enabled 1,S:27,McLean_Local
AB-ML.ML1400.I/O Interrupt Enabled 2,S:28,McLean_Local
AB-ML.ML1400.I/O Interrupt Executing,S:32,McLean_Local
AB-ML.ML1400.I/O Interrupt Pending 1,S:25,McLean_Local
AB-ML.ML1400.I/O Interrupt Pending 2,S:26,McLean_Local
AB-ML.ML1400.Incoming Command Pending,S:33/0,McLean_Local
AB-ML.ML1400.Index Register,S:24,McLean_Local
AB-ML.ML1400.Major Err Detected Executing UserFault Routine,S:5/3,McLean_Local
AB-ML.ML1400.Major Error Fault Code,S:6,McLean_Local
AB-ML.ML1400.Major Error Halt,S:1/13,McLean_Local
AB-ML.ML1400.Memory Module Data File Overwrite Protection,S:36/10,McLean_Local
AB-ML.ML1400.Memory Module Password Mismatch,S:5/9,McLean_Local
AB-ML.ML1400.Message Reply Pending,S:33/1,McLean_Local
AB-ML.ML1400.Mode Bit 0,S:1/0,McLean_Local
AB-ML.ML1400.Mode Bit 1,S:1/1,McLean_Local
AB-ML.ML1400.Mode Bit 2,S:1/2,McLean_Local
AB-ML.ML1400.Mode Bit 3,S:1/3,McLean_Local
AB-ML.ML1400.Mode Bit 4,S:1/4,McLean_Local
AB-ML.ML1400.Online Edit Status 1,S:33/11,McLean_Local
AB-ML.ML1400.Online Edit Status 2,S:33/12,McLean_Local
AB-ML.ML1400.OS FRN,S:59,McLean_Local
AB-ML.ML1400.Outgoing Message Command Pending,S:33/2,McLean_Local
AB-ML.ML1400.Power Override at Powerup,S:1/8,McLean_Local
AB-ML.ML1400.Analog Inputs.Analog Inputs.Pot 1,N7:1,McLean_Local
AB-ML.ML1400.Analog Inputs.Analog Inputs.Pot 2,N7:0,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Distribution Alarm Button,I:0/16,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Emergency Stop Button,I:0/19,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Generator Auto,I:0/18,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Generator Run,I:0/17,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Treatment Alarm Button,I:0/15,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 1,I:0/7,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 2,I:0/8,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 3,I:0/9,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 4,I:0/10,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 5,I:0/11,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 6,I:0/12,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 7,I:0/13,McLean_Local
AB-ML.ML1400.Digital Inputs.Digital Inputs.Valve Button 8,I:0/14,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Distribution Alarm,O:0/9,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Generator Power,O:0/11,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Grid Power,O:0/10,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Treatment Alarm,O:0/8,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 1,O:0/0,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 2,O:0/1,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 3,O:0/2,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 4,O:0/3,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 5,O:0/4,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 6,O:0/5,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 7,O:0/6,McLean_Local
AB-ML.ML1400.Digital Outputs.Digital Outputs.Valve 8,O:0/7,McLean_Local
MicroLogix_Channel.MicroLogix_1100.Battery_Low,S:5/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Digital_Output_0,O:0/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Forces_Installed,S:1/6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Major_Error_Halt,S:1/13,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Major_Error_Hallt,S:1/13,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Micrologix_1100_Fault,S:6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Micrologix_1100_Firmware_Revision,S:59,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Micrologix_1100_Program_Compare,S:2/9,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Online_Edits_Started,S:33/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Online_Edits_Testing,S:33/12,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Run_Mode_Bit_0,S:1/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Run_Mode_Bit_1,S:1/1,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Run_Mode_Bit_2,S:1/2,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Run_Mode_Bit_3,S:1/3,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100.Run_Mode_Bit_4,S:1/4,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Battery_Low,S:5/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Digital_Output_0,O:0/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Firmware_Revision,S:59,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Forces_Installed,S:1/6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Major_Error_Halt,S:1/13,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Micrologix_1400_Fault,S:6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Micrologix_1400_Firmware_Revision,S:59,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Micrologix_1400_Program_Compare,S:2/9,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Online_Edits_Started,S:33/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Online_Edits_Testing,S:33/12,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Run_Mode_Bit_0,S:1/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Run_Mode_Bit_1,S:1/1,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Run_Mode_Bit_2,S:1/2,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Run_Mode_Bit_3,S:1/3,CSN_Kepware
MicroLogix_Channel.MicroLogix_1400.Run_Mode_Bit_4,S:1/4,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Battery_Low,S:5/11,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Digital_Output_0,O:0/0,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Firmware Revision,S:59,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Forces_Installed,S:1/6,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Major_Error_Halt,S:1/13,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Online_Edits_Started,S:33/11,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Online_Edits_Testing,S:33/12,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Run_Mode_Bit_0,S:1/0,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Run_Mode_Bit_1,S:1/1,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Run_Mode_Bit_2,S:1/2,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Run_Mode_Bit_3,S:1/3,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.Run_Mode_Bit_4,S:1/4,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.TB_Micrologix_1400_Fault,S:6,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.TB_Micrologix_1400_Firmware_Revision,S:59,CSN_Kepware
MicroLogix_Channel.TravelBox MicroLogix_1400.TB_Micrologix_1400_Program_Compare,S:2/9,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Battery_Low,S:5/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Digital_Output_0,O:0/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Forces_Installed,S:1/6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Major_Error_Halt,S:1/13,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Major_Error_Hallt,S:1/13,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Micrologix_1100_Fault,S:6,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Micrologix_1100_Firmware_Revision,S:59,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Micrologix_1100_Program_Compare,S:2/9,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Online_Edits_Started,S:33/11,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Online_Edits_Testing,S:33/12,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Run_Mode_Bit_0,S:1/0,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Run_Mode_Bit_1,S:1/1,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Run_Mode_Bit_2,S:1/2,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Run_Mode_Bit_3,S:1/3,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Run_Mode_Bit_4,S:1/4,CSN_Kepware
MicroLogix_Channel.MicroLogix_1100_2.Test,S:59,CSN_Kepware
