_key,device_type,site,city,country,site_criticality,zone,subnet,host_ip,asset_criticality,location,physical_addr,host_name,device_name,manufacturer,model,operating_system,firmware_version,cpe_uri,applicable_cves,depreciated_applicable_cves,legacy_os,antivirus_definition_status,patch_status,default_credentials_detected,first_communication,last_communication,inbound_communications,outbound_communications,purdue_level,is_running,force_installed,is_in_remote_access_mode,is_programmable,plc_mode,status,vlan,originating_source,auto_merge,originating_source,auto_merge
097a7d-22ebb4-d3b925f3-10c0,Server,San Juan,San Juan,Puerto Rico,High,DMZ,10.128.80.8/29,10.128.80.11,Medium,Building A,38:80:DF:38:0D:46,SJN-WONDERW-MES01,SJN-WONDERW-MES01,Lenovo,ThinkServer RD350,Windows Server 2008 R2,,cpe:2.3:o:lenovo:thinkserver_rd350_firmware:1.25.0:*:*:*:*:*:*:* ,CVE-2015-3322,CVE-2015-3322,No,Up-to-Date,Up-to-Date,None Detected,1504967400,today-5:23782,,,4,,,,,,,,,,,
09c5d6-e2b664-20c1f9af-9a05,PLC,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.69,High,Building A,00:24:3D:17:09:82,SJN-SE3007_2-FILL1,SJN-SE3007_2-FILL1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512405000,today-1:9578,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
0bacee-fbebad-fe71b6f1-f833,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.101,High,Room 1,D0:0A:AB:E9:CE:D4,TUS-FA-M3V_2-LINE1,TUS-FA-M3V_2-LINE1,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1512480600,today-3:76542,,,2,TRUE,FALSE,TRUE,TRUE,RUNNING,RUN,VLAN502,,,,
0c1021-da7c75-6ee5943e-9b66,Workstation,San Juan,San Juan,Puerto Rico,High,Enterprise LAN,10.128.80.16/28,10.128.80.19,Low,Building A,CC:61:E5:DC:AB:C9,SJN-HR-DSK01,SJN-HR-DSK01,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1518192000,today-1:18475,,,5,,,,,,,,,,,
0da748-275fd8-e6856188-9067,PLC,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.70,High,Building A,00:24:3D:59:D6:CF,SJN-SE3007_3-FILL1,SJN-SE3007_3-FILL1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512464400,today-2:476,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
0f4f0e-65b662-b61f6dc4-96ea,Workstation,San Juan,San Juan,Puerto Rico,High,Enterprise LAN,10.128.80.16/28,10.128.80.20,Low,Building C,CC:61:E5:60:9E:A8,SJN-HR-DSK02,SJN-HR-DSK02,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504742400,today-2:18474,,,5,,,,,,,,,,,
143890-2ea587-dfeb31b0-c19b,Switch,Berlin,Berlin,Germany,High,Enterprise LAN,10.137.128.16/28,10.137.128.21,Critical,Building A,18:A9:9B:05:C5:66,BER-CISCO-SW01,BER-CISCO-SW01,Cisco,Catalyst 2960,Cisco IOS,,cpe:2.3:h:cisco:catalyst_2960l-16ps-ll:-:*:*:*:*:*:*:*,,CVE-2018-0161,No,Up-to-Date,Up-to-Date,None Detected,1504872000,today-3:6534,,,4,,,,,,,,,,,
1a91ab-21043c-0fb973d9-b44c,PLC,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.71,Critical,Building C,00:24:3D:27:F2:83,SJN-SE3007_1-FINISH1,SJN-SE3007_1-FINISH1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512466200,today-3:3957,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
1f6266-3f9d27-a9aeb0a1-e6e6,Switch,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.35,Critical,Building C,00:09:7B:59:53:01,SJN-CISCO-SW01,SJN-CISCO-SW01,Cisco,Catalyst 2960,Cisco IOS,,cpe:2.3:h:cisco:catalyst_2960l-16ps-ll:-:*:*:*:*:*:*:*,CVE-2018-0161,CVE-2018-0161,No,Up-to-Date,Up-to-Date,None Detected,1504971000,today-1:4867,,,3,,,,,,,,,,,
204ffc-55846b-22eb9d7e-8d07,Firewall,San Juan,San Juan,Puerto Rico,High,DMZ,10.128.80.0/30,"10.128.80.1,10.128.80.9,10.128.80.18,10.128.80.33",High,Building A,00:0A:42:DF:9C:B2,SJN-ASA-FW01,SJN-ASA-FW01,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504965600,today-1:274,,,4,,,,,,,,,,,
21ddf8-f6cdd5-d65d6610-712f,Server,Dublin,Dublin,Ireland,Critical,Enterprise LAN,10.128.30.16/28,10.128.30.20,Critical,Annex L,74:E6:E2:1A:18:75,DUB-EMPOWER3-APP01,DUB-EMPOWER3-APP01,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,CVE-2018-1207,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512300600,today-5:295,,,4,,,,,,,,,,,
21f7d1-61d054-3c6e30ba-edc4,Firewall,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,"10.128.80.34,10.128.80.65",High,Building C,00:0A:42:4A:E8:E8,SJN-ASA-FW03,SJN-ASA-FW03,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504969200,today-1:486,,,3,,,,,,,,,,,
24f157-0e2cc3-e23b4c17-cf5c,PLC,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.72,High,Building C,00:24:3D:B2:98:5D,SJN-SE3007_1-FINISH2,SJN-SE3007_1-FINISH2,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512468000,today-4:285,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
25065e-028430-9d0fc207-fab8,HMI,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.38,Low,Building B,00:1B:1B:A9:90:C6,BER-HMI-PALLETIZER01,BER-HMI-PALLETIZER01,Siemens,KTP700,Microsoft Windows CE ,13.0.0,cpe:2.3:o:siemens:simatic_hmi_ktp_mobile_panels_ktp700_firmware:*:*:*:*:*:*:*:*,,CVE-2018-13814,No,Up-to-Date,Up-to-Date,None Detected,1512309600,today-5:56289,,,3,,,,,,,,,,,
2b595e-af0c27-02261498-0636,PLC,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.68,Critical,Warehouse,5C:88:16:08:38:FA,PHL-AB1400-PALLETIZER01,PHL-AB1400-PALLETIZER01,Rockwell,MicroLogix 1400,VxWorks,,cpe:2.3:h:rockwellautomation:ab_micrologix_controller:1400:*:*:*:*:*:*:*,CVE-2012-4690,CVE-2012-4690 ,No,Up-to-Date,Up-to-Date,None Detected,1512297000,today-4:74638,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
2c58a4-623b2e-1eb1220a-de0a,Switch,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.67,Critical,Telecom,D8:18:D3:DC:10:2C,TUS-JUNIPER-SW02,TUS-JUNIPER-SW03,Juniper,EX2200-24T-4G,Junos OS,,cpe:2.3:h:juniper:ex2200:-:*:*:*:*:*:*:*,CVE-2018-0024,CVE-2018-0024,No,Up-to-Date,Up-to-Date,None Detected,1518184800,today-2:28578,,,3,,,,,,,,,,,
2d9c90-852c56-7a89fb9f-8bf3,Server,Tuas,Tuas,Singapore,Low,Enterprise LAN,10.128.70.32/28,10.128.70.35,Critical,Telecom,90:B1:1C:48:23:84,TUS-PAYROLL-SVR01,TUS-PAYROLL-SVR01,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512318600,today-4:5784,,,4,,,,,,,,,,,
2f543a-c2aa22-2386c90d-9050,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.37,Medium,Building A,6C:5F:1C:2D:20:DD,SJN-OWS01-LINE1,SJN-OWS01-LINE1,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1607:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504969200,today-1:19473,,,3,,,,,,,,,,,
32fe7c-a99e6a-f1787b53-3d34,PLC,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.69,Critical,Main,5C:88:16:42:C8:80,PHL-AB1400-CAMERA01,PHL-AB1400-CAMERA01,Rockwell,MicroLogix 1400,VxWorks,,cpe:2.3:h:rockwellautomation:ab_micrologix_controller:1400:*:*:*:*:*:*:*,CVE-2012-4690,CVE-2012-4690 ,No,Up-to-Date,Up-to-Date,None Detected,1512298800,today-5:48374,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
3692f4-b05906-5ea69044-ec67,Server,Dublin,Dublin,Ireland,Critical,Enterprise LAN,10.128.30.16/28,10.128.30.21,Low,Annex L,74:E6:E2:36:18:49,DUB-EMPOWER3-APP02,DUB-EMPOWER3-APP02,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512302400,today-1:395,,,4,,,,,,,,,,,
371dd0-70adae-a81683cf-7c0d,Server,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.8/29,10.128.30.11,Critical,Annex L,30:8D:99:44:CE:83,DUB-DELTAV-APP01,DUB-DELTAV-APP01,HPE,ProLiant DL360,Windows Server 2008 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512469800,today-5:2958,,,4,,,,,,,,,,,
420ca6-535726-9f93a171-a356,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.73,Critical,Building B,AC:64:17:CB:5D:10,BER-SIM700-LINE2,BER-SIM700-LINE2,Siemens,SIMATIC S7-400,Windows 10 ,,cpe:2.3:o:siemens:simatic_s7-400_cpu_firmware:6.0.1:*:*:*:*:*:*:*,CVE-2012-3016,CVE-2012-3016,No,Up-to-Date,Up-to-Date,None Detected,1512378000,today-2:9876,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
4313ab-852cbc-e35681a7-756f,PLC,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.70,Critical,Main,5C:88:16:5B:2F:87,PHL-AB1400-CONVEYER01,PHL-AB1400-CONVEYER01,Rockwell,MicroLogix 1400,VxWorks,,cpe:2.3:h:rockwellautomation:ab_micrologix_controller:1400:*:*:*:*:*:*:*,CVE-2012-4690,CVE-2012-4690 ,No,Up-to-Date,Up-to-Date,None Detected,1512300600,today-1:38575,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
43f6ef-7912e6-a03aa559-0d52,PLC,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.71,High,Warehouse,5C:88:16:E3:ED:66,PHL-AB1400-CONVEYER02,PHL-AB1400-CONVEYER02,Rockwell,MicroLogix 1400,VxWorks,,cpe:2.3:h:rockwellautomation:ab_micrologix_controller:1400:*:*:*:*:*:*:*,CVE-2012-4690,CVE-2012-4690 ,No,Up-to-Date,Up-to-Date,None Detected,1512302400,today-2:56739,,,2,TRUE,TRUE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
4a4dac-4f74fb-e3b36cdc-09d5,PLC,Philadelphia,Philadelphia,United States of America,Medium,Controller LAN,10.128.90.64/26,10.128.90.72,Medium,Warehouse,5C:88:16:59:B8:66,PHL-AB1400-LABELER01,PHL-AB1400-LABELER01,Rockwell,MicroLogix 1400,VxWorks,,cpe:2.3:h:rockwellautomation:ab_micrologix_controller:1400:*:*:*:*:*:*:*,CVE-2012-4690,CVE-2012-4690 ,No,Up-to-Date,Up-to-Date,None Detected,1512304200,today-3:57376,,,2,TRUE,FALSE,TRUE,TRUE,RUNNING,RUN,VLAN502,,,,
4a9f03-89c3ff-e6b3f4ef-99d2,HMI,Philadelphia,Philadelphia,United States of America,Medium,Manufacturing LAN,10.128.90.32/28,10.128.90.35,Medium,Main,F4:54:33:08:A1:0F,PHL-HMI01-PKG,PHL-HMI01-PKG,Rockwell,PanelView Plus 7,Microsoft Windows CE ,,cpe:2.3:o:microsoft:windows_ce:3.0.9348:*:*:*:*:*:*:*,,CVE-2001-0162 ,No,Up-to-Date,Up-to-Date,None Detected,1512293400,today-2:37857,,,3,,,,,,,,,,,
4ecc33-acf6f4-36a5ad74-66ce,HMI,Philadelphia,Philadelphia,United States of America,Medium,Manufacturing LAN,10.128.90.32/28,10.128.90.36,Medium,Warehouse,F4:54:33:35:2D:12,PHL-HMI01-SHP,PHL-HMI01-SHP,Rockwell,PanelView Plus 7,Microsoft Windows CE ,,cpe:2.3:o:microsoft:windows_ce:3.0.9348:*:*:*:*:*:*:*,,CVE-2001-0162 ,No,Up-to-Date,Up-to-Date,None Detected,1512295200,today-3:63473,,,3,,,,,,,,,,,
52bc30-7a05b2-3df8cf6a-1267,Server,Philadelphia,Philadelphia,United States of America,Medium,Enterprise LAN,10.128.90.16/28,10.128.90.19,Medium,Server Room,B8:2A:72:A2:01:27,PHL-APPSVR-ASSETCENTER01,PHL-APPSVR-ASSETCENTER01,Dell,EMC PowerEdge R740,Windows Server 2003,,cpe:2.3:o:microsoft:windows_server_2003:*:*:*:*:*:*:*:*,,CVE-2008-4250,YES,Up-to-Date,Up-to-Date,None Detected,1512311400,today-5:385,,,4,,,,,,,,,,,
536858-d4eeef-17738e8e-3830,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.107,High,Room 2,D0:0A:AB:E3:EC:55,TUS-FA-M3V_2-LINE4,TUS-FA-M3V_2-LINE4,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1518174000,today-4:9183,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
5789a1-03c9f7-0a360f99-d779,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.105,High,Room 2,D0:0A:AB:3B:99:92,TUS-FA-M3V_2-LINE3,TUS-FA-M3V_2-LINE3,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1518170400,today-2:5322,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
5a2643-599779-d23d0e51-2f1f,Server,Philadelphia,Philadelphia,United States of America,Medium,Enterprise LAN,10.128.90.16/28,10.128.90.20,High,Server Room,B8:2A:72:78:64:A1,PHL-APPSVR-KEPWARE01,PHL-APPSVR-KEPWARE01,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512313200,today-1:947,,,4,,,,,,,,,,,
5a7144-fd3b5f-9ddec795-92ad,Server,Philadelphia,Philadelphia,United States of America,Medium,DMZ,10.128.90.8/29,10.128.90.11,High,Server Room,B8:2A:72:C0:CD:CE,PHL-APPSVR-CAMERA01,PHL-APPSVR-CAMERA01,Dell,EMC PowerEdge R740,Windows Server 2003,,cpe:2.3:o:microsoft:windows_server_2003:*:*:*:*:*:*:*:*,,CVE-2008-4250,YES,Up-to-Date,Up-to-Date,None Detected,1512309600,today-4:947,,,4,,,,,,,,,,,
5dec0a-6c3251-6f6f1762-c1b3,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.74,Low,Room 2,28:92:4A:F4:E8:89,TUS-OWS01-LINE3,TUS-OWS01-LINE2,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1518174000,today-2:2858,,,3,,,,,,,,,,,
600352-afc55f-b15f3303-cf80,Workstation,Philadelphia,Philadelphia,United States of America,Medium,Manufacturing LAN,10.128.90.32/28,10.128.90.37,High,Main,40:78:6A:49:88:3C,PHL-OWS01-MAIN,PHL-OWS01-MAIN,Lenovo,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1504963800,today-3:82532,,,3,,,,,,,,,,,
61d721-7e201f-58a33383-5890,Firewall,San Juan,San Juan,Puerto Rico,High,DMZ,10.128.80.0/30,10.128.80.2,High,Building A,00:0A:42:08:C2:79,SJN-ASA-FW02,SJN-ASA-FW02,Cisco,ASA 5506,Cisco ASA OS,9.4,cpe:2.3:h:cisco:asa-5506-x:-:*:*:*:*:*:*:*,,CVE-2018-0240,No,Up-to-Date,Up-to-Date,None Detected,1504967400,today-1:2,,,4,,,,,,,,,,,
681797-c79610-fa008eec-c0a9,HMI,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.71,Low,Room 2,00:60:41:2B:83:7D,TUS-HMI01-LINE4,TUS-HMI01-LINE4,Yokogawa,Y-View D104,Windows 7,,cpe:2.3:o:microsoft:windows_7:-:sp1:*:*:*:*:*:*,,CVE-2011-0658,No,Up-to-Date,Up-to-Date,None Detected,1512477000,today-1:57583,,,3,,,,,,,,,,,
787bde-ed752d-3f7198e5-b85d,Server,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.8/29,10.128.30.12,Critical,Annex L,30:8D:99:E7:E3:4C,DUB-DELTAV-APP02,DUB-DELTAV-APP02,HPE,ProLiant DL360,Windows Server 2008 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512471600,today-1:828,,,4,,,,,,,,,,,
78cf49-03cb86-6173ffd7-b72e,Switch,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.98,Critical,Room 1,D8:18:D3:E7:B0:B9,TUS-JUNIPER-SW01,TUS-JUNIPER-SW01,Juniper,EX2200-24T-4G,Junos OS,,cpe:2.3:h:juniper:ex2200:-:*:*:*:*:*:*:*,CVE-2018-0024,CVE-2018-0024,No,Up-to-Date,Up-to-Date,None Detected,1518186600,today-3:2948,,,3,,,,,,,,,,,
797e58-a0c8e9-af1abdd0-3758,Workstation,Tuas,Tuas,Singapore,Low,Enterprise LAN,10.128.70.32/28,10.128.70.36,High,Office,A4:11:94:BE:D7:62,TUS-HR-DSK01,TUS-HR-DSK01,Lenovo,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1518188400,today-4:1948,,,5,,,,,,,,,,,
79bc23-c49444-4ccd4e80-032f,Server,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.8/29,10.128.30.13,Low,Annex L,30:8D:99:B1:E2:91,DUB-DELTAV-APP03,DUB-DELTAV-APP03,HPE,ProLiant DL360,Windows Server 2008 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512473400,today-2:475,,,4,,,,,,,,,,,
7acd87-604f4a-8f66a71d-7d4b,Workstation,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.38,Low,Building A,6C:5F:1C:59:65:20,SJN-OWS02-LINE1,SJN-OWS02-LINE1,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:1607:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504971000,today-2:37284,,,3,,,,,,,,,,,
