Column1,Column2,alert_category,alert_id,alert_importance,asset_criticality,asset_fix_status,asset_id,business_unit,comment,country,creation_time,description,event_id,host_name,last_modified_time,responder,response_status,severity,severity_value,site_name,src_ip,ticket_id,ticket_status,triggering_event,triggering_event3,zone,zone4
BER-SIM1200-LABELER2:10.137.128.72:acaaec-d020ae-f9a4723e-8723:Medium:Controller LAN:Risk Accepted,New,ICS Device,[AL-9042-failed(1)],Low,Medium,BER-SIM1200-LABELER2:10.137.128.72:acaaec-d020ae-f9a4723e-8723:Medium:Controller LAN:Risk Accepted,acaaec-d020ae-f9a4723e-8723,Unit 5,,Germany,today-17:6399,"A failed login attempt has occurred on PLC (BER-SIM1200-LABELER2, 10.137.128.72) at the Berlin site.",,BER-SIM1200-LABELER2,today-16:1500,Samuel Willis,Complete,Info,120000,Berlin,10.137.128.72,b234f9-e48e0b-64abe96a-2607,Closed,-,,Controller LAN,Controller LAN
BER-SIM1200-LABELER2:10.137.128.72:acaaec-d020ae-f9a4723e-8723:Medium:Controller LAN:New,New,Network Data,[AL-9030-Internal>External],High,Medium,BER-SIM1200-LABELER2:10.137.128.72:acaaec-d020ae-f9a4723e-8723:Medium:Controller LAN:New,acaaec-d020ae-f9a4723e-8723,,,Germany,today-5:1948,"A significant increase of denied internal network connections has been detected coming from Internal PLC (BER-SIM1200-LABELER2, 10.137.128.72) while attempting to communicate with External device (6.6.6.6) at the Berlin site.",,BER-SIM1200-LABELER2,today-5:1948,System,New,Medium,36000000,Berlin,10.137.128.72,bd8321-3e24c1-c934474a-e0e3,Open,-,,Controller LAN,DMZ
BER-SIM1200-PALLETIZER1:10.137.128.68:8fce22-53464c-47179b87-e20c:High:Controller LAN:New,New,OT Network,[AL-9010],Medium,High,BER-SIM1200-PALLETIZER1:10.137.128.68:8fce22-53464c-47179b87-e20c:High:Controller LAN:New,8fce22-53464c-47179b87-e20c,,,Germany,today-5:72837,"Zone communication violation from Controller LAN (BER-SIM1200-PALLETIZER1, 10.137.128.68) to Enterprise LAN (BER-WONDERW-MES01, 10.137.128.19).",,BER-SIM1200-PALLETIZER1,today-5:72837,System,New,Low,3200000,Berlin,10.137.128.68,6b3061-824602-3b27a0ac-5685,Open,-,,Controller LAN,Manufacturing LAN
BER-SIM1200-PALLETIZER2:10.137.128.70:fe0316-5243af-321f154d-683b:Medium:Controller LAN:New,New,ICS Device,[AL-9044],Critical,Medium,BER-SIM1200-PALLETIZER2:10.137.128.70:fe0316-5243af-321f154d-683b:Medium:Controller LAN:New,fe0316-5243af-321f154d-683b,Unit 5,,Germany,today-9:3747,"Protected data has been overwritten on PLC (BER-SIM1200-PALLETIZER2, 10.137.128.70) at the Berlin site.",,BER-SIM1200-PALLETIZER2,today-2:5432,System,New,High,480000000,Berlin,10.137.128.70,7b70e6-913fda-7158bfd4-2471,Open,-,,Controller LAN,Controller LAN
BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:Fixed,New,ICS Device,[AL-9006],Critical,Critical,BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:Fixed,c027b7-8562d0-33e887df-843c,Unit 5,,Germany,today-11:53586,"A fault has occurred in a PLC: BER-SIM700-LINE1, 10.137.128.69.",,BER-SIM700-LINE1,today-11:53586,Samuel Willis,Complete,High,800000000,Berlin,10.137.128.69,5af4b5-feab67-89da4969-55ea,Closed,-,,Controller LAN,DMZ
BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:New,New,CMDB,[AL-9046],Info,Critical,BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:New,c027b7-8562d0-33e887df-843c,,,Germany,today-6:19248,"The PLC (BER-SIM700-LINE1, 10.137.128.69) has been seen communicating at the Berlin site, but no CMDB entry exists.",,BER-SIM700-LINE1,today-6:19248,System,New,Info,800,Berlin,10.137.128.69,7141d9-43fb2a-67a9ff04-fe26,Open,-,,Controller LAN,Manufacturing LAN
BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:Risk Accepted|BER-SIM700-LINE2:10.137.128.73:420ca6-535726-9f93a171-a356:Critical:Controller LAN:Risk Accepted,New,Vulnerability,[AL-9019-HIGH],High,Critical,BER-SIM700-LINE1:10.137.128.69:c027b7-8562d0-33e887df-843c:Critical:Controller LAN:Risk Accepted|BER-SIM700-LINE2:10.137.128.73:420ca6-535726-9f93a171-a356:Critical:Controller LAN:Risk Accepted,"c027b7-8562d0-33e887df-843c,420ca6-535726-9f93a171-a356",Unit 5,,Germany,today-17:2847,"A ""HIGH"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 2 asset(s) at the Berlin site.",,"BER-SIM700-LINE1,BER-SIM700-LINE2",today-15:2847,Samuel Willis,Complete,High,400000000,Berlin,"10.137.128.69,10.137.128.73",c2736a-b2c006-16a3f118-721b,Closed,CVE-2012-3016 : Siemens SIMATIC S7-400 PN CPU devices with firmware 6 before 6.0.3 allow remote attackers to cause a denial of service (defect-mode transition and service outage) via crafted ICMP packets.,,Controller LAN,
BER-WONDERW-MES01:10.137.128.19:9c9440-677a2a-bac39412-1468:Medium:Enterprise LAN:Risk Accepted,New,Network Connections,[AL-9014],High,Medium,BER-WONDERW-MES01:10.137.128.19:9c9440-677a2a-bac39412-1468:Medium:Enterprise LAN:Risk Accepted,9c9440-677a2a-bac39412-1468,Unit 5,,Germany,today-23:35045,"The server (BER-WONDERW-MES02, 10.137.128.20) has unusual decrease in connections.",,BER-WONDERW-MES01,today-22:35045,System,New,Medium,36000000,Berlin,10.137.128.19,1686b5-4f2dfe-86a4553e-33a3,Open,-,,Enterprise LAN,Controller LAN
BER-WONDERW-MES01:10.137.128.19:9c9440-677a2a-bac39412-1468:Medium:Enterprise LAN:New,New,Vulnerability,[AL-9019-MEDIUM],Medium,Medium,BER-WONDERW-MES01:10.137.128.19:9c9440-677a2a-bac39412-1468:Medium:Enterprise LAN:Risk Accepted,9c9440-677a2a-bac39412-1468,,,Germany,today-7:10424,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",,BER-WONDERW-MES01,today-7:10424,System,New,Low,2400000,Berlin,10.137.128.19,dd9e51-b62333-11df1911-3d4b,Open,"CVE-2015-3322 : Lenovo ThinkServer RD350, RD450, RD550, RD650, and TD350 servers before 1.26.0 use weak encryption to store (1) user and (2) administrator BIOS passwords, which allows attackers to decrypt the passwords via unspecified vectors.",,Enterprise LAN,Controller LAN
DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:New,New,ICS Device,[AL-9006],Critical,Critical,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:New,b11a24-9e205b-db195fac-35f9,,,Ireland,today-1:1600,A fault has occurred in a PLC: Device DUB-SE3007_1-LINE3.,,DUB-SE3007_1-LINE3,Today-1:1605,System,New,Critical,10000000000,Dublin,10.128.30.74,6b24e8-829984-39b09bf8-4dbf,Open,-,,Controller LAN,
DUB-CISCOASA-EXTFW:128.229.4.2:c007fb-631395-6916c4bc-f5f0:Critical:DMZ:New,New,Network Data,[AL-9017],Info,Critical,DUB-CISCOASA-EXTFW:128.229.4.2:c007fb-631395-6916c4bc-f5f0:Critical:DMZ:New,c007fb-631395-6916c4bc-f5f0,,,Ireland,today-1:200,Detected network scanning from External host 221.176.176.126 to External IP 128.229.4.2.,,DUB-CISCOASA-EXTFW,today-1:101,System,New,Info,100,Dublin,128.229.4.2,f8b34d-196d0d-b5483bac-72f0,Open,-,,DMZ,
DUB-DELTAV-APP01:10.128.30.11:371dd0-70adae-a81683cf-7c0d:Critical:DMZ:Risk Accepted,New,Network Data,[AL-9016],Critical,Critical,DUB-DELTAV-APP01:10.128.30.11:371dd0-70adae-a81683cf-7c0d:Critical:DMZ:Risk Accepted,371dd0-70adae-a81683cf-7c0d,Production,,Ireland,today-30:57165,Detected network scanning from Internal host 10.128.30.11 to Internal IP 10.128.30.38.,,DUB-DELTAV-APP01,today-27:77165,Morgan Depp,Complete,Critical,1000000000,Dublin,10.128.30.11,df7ac9-6c377c-6620679f-d7ce,Closed,-,,DMZ,Controller LAN
DUB-DELTAV-APP04:10.128.30.14:082b06-5c9bd1-6f6f68e7-41cc:Low:DMZ:New,New,Network Data,[AL-9030-Internal>External],High,Low,DUB-DELTAV-APP04:10.128.30.14:082b06-5c9bd1-6f6f68e7-41cc:Low:DMZ:Risk Accepted,082b06-5c9bd1-6f6f68e7-41cc,,,Ireland,today-4:32110,"A significant increase of denied internal network connections has been detected coming from Internal server (DUB-DELTAV-APP04, 10.128.30.14) at the Dublin site while attempting to communicate with External device.",,DUB-DELTAV-APP04,today-11:53586,Morgan Depp,Complete,Medium,30000000,Dublin,10.128.30.14,f78a84-643565-df0e2eae-5327,Closed,-,,DMZ,Manufacturing LAN
DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:New,New,Network Connections,[AL-9012],Low,Critical,DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:New,21ddf8-f6cdd5-d65d6610-712f,,,Ireland,today-1:600,The server DUB-EMPOWER3-APP01 (10.128.30.20) has communicated to a new device: DUB-HMI01-LINE3 (10.128.30.47),,DUB-EMPOWER3-APP01,Today-1:607,System,New,Low,10000,Dublin,10.128.30.20,476bc2-e88861-252ac89e-de3a,Open,-,,Enterprise LAN,
DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:New,New,Network Data,[AL-9016],Medium,Critical,DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:New,21ddf8-f6cdd5-d65d6610-712f,,,Ireland,today-1:250,Detected network scanning from Internal host 10.128.30.20 to various Internal IPs.,,DUB-EMPOWER3-APP01,today-1:408,System,New,Medium,1000000,Dublin,10.128.30.20,78fa05-51227f-a0fa243c-09de,Open,-,,Enterprise LAN,
DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:Risk Accepted,New,Vulnerability,[AL-9019-CRITICAL],Critical,Critical,DUB-EMPOWER3-APP01:10.128.30.20:21ddf8-f6cdd5-d65d6610-712f:Critical:Enterprise LAN:Risk Accepted,21ddf8-f6cdd5-d65d6610-712f,Unit 4,,Ireland,today-365:300,A Critical vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects DUB-EMPOWER3-APP01.,,DUB-EMPOWER3-APP01,today-270:57302,Harrison Cruise,Complete,Critical,10000000000,Dublin,10.128.30.20,efc2ce-c9adf3-898cf9d2-aad9,Closed,"CVE-2018-1207:  Dell EMC iDRAC7/iDRAC8, versions prior to 2.52.52.52, contain CGI injection vulnerability which could be used to execute remote code. A remote unauthenticated attacker may potentially be able to use CGI variables to execute remote code.",,Enterprise LAN,
DUB-EMPOWER3-APP02:10.128.30.21:3692f4-b05906-5ea69044-ec67:Low:Enterprise LAN:New,New,Network Data,[AL-9002],Medium,Low,DUB-EMPOWER3-APP02:10.128.30.21:3692f4-b05906-5ea69044-ec67:Low:Enterprise LAN:New,3692f4-b05906-5ea69044-ec67,Production,,Ireland,today-11:16808,The server DUB-EMPOWER3-APP02 (10.128.30.21) has not communicated in over 30 days.,,DUB-EMPOWER3-APP02,today-3:63745,Morgan Depp,Complete,Low,2000000,Dublin,10.128.30.21,fd2108-e91efa-bb960473-a79a,Closed,-,,Enterprise LAN,Manufacturing LAN
DUB-ENG-EWS01:10.128.30.40:cc32a6-d0e515-5c9b18e6-189e:High:Manufacturing LAN:Risk Accepted,New,Network Connections,[AL-9014],High,High,DUB-ENG-EWS01:10.128.30.40:cc32a6-d0e515-5c9b18e6-189e:High:Manufacturing LAN:Risk Accepted,cc32a6-d0e515-5c9b18e6-189e,,,Ireland,today-5:39458,"The workstation (DUB-ENG-EWS01, 10.128.30.40) has unusual increase in connections.",,DUB-ENG-EWS01,today-11:53586,Benedict McKellen,Complete,Medium,60000000,Dublin,10.128.30.40,3fa2bb-67f172-f21251a5-fbdb,Closed,-,,Manufacturing LAN,Manufacturing LAN
DUB-HMI01-LINE3:10.128.30.47:004ad9-178017-c29e5f76-e680:Medium:Manufacturing LAN:New,New,Network Data,[AL-9026],High,Medium,DUB-HMI01-LINE3:10.128.30.47:004ad9-178017-c29e5f76-e680:Medium:Manufacturing LAN:New,004ad9-178017-c29e5f76-e680,,,Ireland,today-1:1000,"A HMI (DUB-HMI01-LINE3, 10.128.30.47) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",,DUB-HMI01-LINE3,Today-1:1001,System,New,High,60000000,Dublin,10.128.30.47,20357f-f59978-99c2593f-93b3,Open,-,,Manufacturing LAN,
DUB-HMI01-LINE3:10.128.30.47:004ad9-178017-c29e5f76-e680:Medium:Manufacturing LAN:New,New,Network Connections,[AL-9014],Medium,Medium,DUB-HMI01-LINE3:10.128.30.47:004ad9-178017-c29e5f76-e680:Medium:Manufacturing LAN:New,004ad9-178017-c29e5f76-e680,,,Ireland,today-1:800,"The HMI, DUB-HMI01-LINE3 (10.128.30.47), has an unusual increase in connections.",,DUB-HMI01-LINE3,today-1:800,System,New,Medium,600000,Dublin,10.128.30.47,e9320c-67faab-b7bdb4f8-381e,Open,-,,Manufacturing LAN,
DUB-HMI03-LINE1:10.128.30.44:e61ee8-94e2c8-8cbe13f0-d14d:Low:Manufacturing LAN:New,New,CMDB,[AL-9047],Medium,Low,DUB-HMI03-LINE1:10.128.30.44:e61ee8-94e2c8-8cbe13f0-d14d:Low:Manufacturing LAN:Risk Accepted,e61ee8-94e2c8-8cbe13f0-d14d,,,Ireland,today-3:10384,"The HMI, DUB-HMI03-LINE1, (10.128.30.44), at the Dublin site that is assigned to the 10.128.30.32/27 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",,DUB-HMI03-LINE1,today-11:53586,Benedict McKellen,Complete,Low,2000000,Dublin,10.128.30.44,74e49a-1108f6-8ebfc654-6884,Closed,-,,Manufacturing LAN,Controller LAN
DUB-HPLC-APP01:10.128.30.22:b1ce46-57f799-dc24bad5-9752:Critical:Enterprise LAN:New,New,Network Data,[AL-9026],Info,Critical,DUB-HPLC-APP01:10.128.30.22:b1ce46-57f799-dc24bad5-9752:Critical:Enterprise LAN:Risk Accepted,b1ce46-57f799-dc24bad5-9752,,,Ireland,today-5:11932,"A server (DUB-HPLC-APP01, 10.128.30.22) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",,DUB-HPLC-APP01,today-11:53586,Benedict McKellen,Complete,Info,1000,Dublin,10.128.30.22,f223b2-28d6f8-28df0e2f-4f95,Closed,-,,Enterprise LAN,Controller LAN
DUB-SE3007_1-LINE1:10.128.30.68:d40cc0-556508-95cdcdfb-7e56:Critical:Controller LAN:New,New,ICS Device,[AL-9005],Info,Critical,DUB-SE3007_1-LINE1:10.128.30.68:d40cc0-556508-95cdcdfb-7e56:Critical:Controller LAN:Risk Accepted,d40cc0-556508-95cdcdfb-7e56,,,Ireland,today-5:28384,Logic updates were applied to DUB-SE3007_1-LINE1 (10.128.30.68).,,DUB-SE3007_1-LINE1,today-11:53586,Harrison Cruise,Complete,Info,1000,Dublin,10.128.30.68,0a695d-d3191c-dbf36030-ef93,Closed,-,,Controller LAN,Controller LAN
DUB-SE3007_1-LINE2:10.128.30.71:9c628c-46430d-5796069e-6672:Critical:Controller LAN:New,New,ICS Device,[AL-9006],Critical,Critical,DUB-SE3007_1-LINE2:10.128.30.71:9c628c-46430d-5796069e-6672:Critical:Controller LAN:Risk Accepted,9c628c-46430d-5796069e-6672,Unit 4,,Ireland,today-6:7326,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,,DUB-SE3007_1-LINE2,today-3:69872,Harrison Cruise,Complete,Critical,1000000000,Dublin,10.128.30.71,54baba-dc7078-f2f85602-5a05,Closed,-,,Controller LAN,Controller LAN
DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:New,New,ICS Device,[AL-9008],High,Critical,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:Risk Accepted,b11a24-9e205b-db195fac-35f9,,,Ireland,today-1:1120,Firmware on DUB-SE3007_1-LINE3 (10.128.30.74) was reverted to an old version: 14 -> 10.,,DUB-SE3007_1-LINE3,Today-1:1124,System,New,High,75000000,Dublin,10.128.30.74,9c0f0b-2220a6-cec55ec5-bd7b,Open,-,,Controller LAN,Controller LAN
DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Low:Manufacturing LAN:New,New,ICS Device,[AL-9005],High,Low,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Low:Manufacturing LAN:New,b11a24-9e205b-db195fac-35f9,,,Ireland,today-1:1400,"HMI, DUB-HMI01-LINE3, reports logic updates were applied to PLC, DUB-SE3007_1-LINE3.",,DUB-SE3007_1-LINE3,Today-1:1415,System,New,Medium,1000000,Dublin,10.128.30.74,d46081-8572d4-bfb625e9-451d,Open,-,,Controller LAN,
DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Low:Manufacturing LAN:New,New,ICS Device,[AL-9003],Low,Low,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Low:Manufacturing LAN:New,b11a24-9e205b-db195fac-35f9,,,Ireland,today-1:1200,The status mode of PLC DUB-SE3007_1-LINE3 (10.128.30.74) has changed to Remote.,,DUB-SE3007_1-LINE3,Today-1:1235,System,New,Low,10000,Dublin,10.128.30.74,f46dc4-a9cb1c-e345bfe8-182c,Open,-,,Controller LAN,
DUB-SE3007_2-LINE1:10.128.30.69:950491-8064ce-a3b83e64-5401:High:Controller LAN:Risk Accepted,New,OT Network,[AL-9011-Outbound],High,High,DUB-SE3007_2-LINE1:10.128.30.69:950491-8064ce-a3b83e64-5401:High:Controller LAN:Risk Accepted,950491-8064ce-a3b83e64-5401,Unit 4,,Ireland,today-8:2848,"The OT device PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site successfully made an outbound communication with an external device at 6.6.6.6.",,DUB-SE3007_2-LINE1,today-3:2474,Harrison Cruise,Complete,Medium,60000000,Dublin,10.128.30.69,d8fb2e-c8fdcb-5c548b5c-4736,Closed,-,,Controller LAN,DMZ
DUB-SE3007_2-LINE1:10.128.30.69:950491-8064ce-a3b83e64-5401:High:Controller LAN:Risk Accepted,New,ICS Device,[AL-9042-failed(5+)],High,High,DUB-SE3007_2-LINE1:10.128.30.69:950491-8064ce-a3b83e64-5401:High:Controller LAN:Risk Accepted,950491-8064ce-a3b83e64-5401,Unit 4,,Ireland,today-15:84049,"A failed login attempt has occurred on PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site.",,DUB-SE3007_2-LINE1,today-14:2349,Harrison Cruise,Complete,Medium,60000000,Dublin,10.128.30.69,eeb7fc-4145ea-6f992468-f9d3,Closed,-,,Controller LAN,Manufacturing LAN
DUB-SE3007_2-LINE2:10.128.30.72:9f6c38-fa7721-f0013e7b-dbfe:High:Controller LAN:Fixed,New,ICS Device,[AL-9004-Installed],Low,High,DUB-SE3007_2-LINE2:10.128.30.72:9f6c38-fa7721-f0013e7b-dbfe:High:Controller LAN:Fixed,9f6c38-fa7721-f0013e7b-dbfe,Unit 4,,Ireland,today-3:69872,"A force was placed on a PLC: DUB-SE3007_2-LINE2, 10.128.30.72",,DUB-SE3007_2-LINE2,today-3:69872,Harrison Cruise,Complete,Info,200000,Dublin,10.128.30.72,99e391-0f7d53-c0745936-8227,Closed,-,,Controller LAN,Controller LAN
DUB-SE3007_2-LINE3:10.128.30.75:b1985e-93977d-ab30ad42-41b9:High:Controller LAN:New,New,ICS Device,[AL-9003],Low,High,DUB-SE3007_2-LINE3:10.128.30.75:b1985e-93977d-ab30ad42-41b9:High:Controller LAN:Risk Accepted,b1985e-93977d-ab30ad42-41b9,,,Ireland,today-6:8134,The status mode of PLC DUB-SE3007_2-LINE3 (10.128.30.75) has changed to Remote.,,DUB-SE3007_2-LINE3,today-3:69872,Morgan Depp,Complete,Info,200000,Dublin,10.128.30.75,d7afac-20712b-3c22e2ae-2a41,Closed,-,,Controller LAN,Controller LAN
