event_id,ticket_id,last_modified_time,current_value,previous_value,change_type,changed_by,src_ip,host_name,severity,description,ticket_status,response_status,comment
75205e-d6355e-76a980ec-a90a,fd2108-e91efa-bb960473-a79a,today-5:6385,In Progress,New,Response Status,Morgan Depp,10.128.30.21,DUB-EMPOWER3-APP02,Medium,The server DUB-EMPOWER3-APP02 (10.128.30.21) has not communicated in over 30 days.,Open,In Progress,
612aec-83ad9e-ef966a38-441f,fd2108-e91efa-bb960473-a79a,today-3:2847,Open,Closed,Response Status,Morgan Depp,10.128.30.21,DUB-EMPOWER3-APP02,Medium,The server DUB-EMPOWER3-APP02 (10.128.30.21) has not communicated in over 30 days.,Open,In Progress,
916b4a-3d5585-7d5416c2-a845,3fa2bb-67f172-f21251a5-fbdb,today-5:39458,-,-,Creation,System,10.128.30.40,DUB-ENG-EWS01,Medium,"The workstation (DUB-ENG-EWS01, 10.128.30.40) has unusual increase in connections.",Open,New,
62da31-4ab053-f4d063de-f394,3fa2bb-67f172-f21251a5-fbdb,today-4:20943,Closed,Open,Closing Ticket,Administrator,10.128.30.40,DUB-ENG-EWS01,Medium,"The workstation (DUB-ENG-EWS01, 10.128.30.40) has unusual increase in connections.",Closed,Complete,
9ff109-689985-22afc0a5-61a7,3fa2bb-67f172-f21251a5-fbdb,today-4:20943,Complete,New,Response Status,Administrator,10.128.30.40,DUB-ENG-EWS01,Medium,"The workstation (DUB-ENG-EWS01, 10.128.30.40) has unusual increase in connections.",Closed,Complete,
7c10b4-2bccda-562d466d-7680,20357f-f59978-99c2593f-93b3,today-1:1000,-,-,Creation,System,10.128.30.47,DUB-HMI01-LINE3,High,"A HMI (DUB-HMI01-LINE3, 10.128.30.47) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",Open,New,
cf85f8-89e9f6-605cf9a8-d150,e9320c-67faab-b7bdb4f8-381e,today-1:800,-,-,Creation,System,10.128.30.47,DUB-HMI01-LINE3,Medium,The HMI HUB-HMI01-LINE3 (10.128.30.47) has unusual volume in connections.,Open,New,
a970ae-afd70b-ce87cd8f-aca0,74e49a-1108f6-8ebfc654-6884,today-3:10384,-,-,Creation,System,10.128.30.44,DUB-HMI03-LINE1,Low,"A HMI (DUB-HMI03-LINE1, 10.128.30.44) at the Dublin site that is assigned to the 10.128.30.32/27 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",Open,New,
033867-6a01c6-98e4133b-c38a,74e49a-1108f6-8ebfc654-6884,today-3:73092,Closed,Open,Closing Ticket,Administrator,10.128.30.44,DUB-HMI03-LINE1,Low,"A HMI (DUB-HMI03-LINE1, 10.128.30.44) at the Dublin site that is assigned to the 10.128.30.32/27 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",Closed,Complete,
2c866b-003b08-4f00619c-6dcb,74e49a-1108f6-8ebfc654-6884,today-3:73092,Complete,New,Response Status,Administrator,10.128.30.44,DUB-HMI03-LINE1,Low,"A HMI (DUB-HMI03-LINE1, 10.128.30.44) at the Dublin site that is assigned to the 10.128.30.32/27 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",Closed,Complete,
1d0e04-0deb1d-1baba48b-ea58,74e49a-1108f6-8ebfc654-6884,today-3:69032,DUB-HMI03-LINE1:10.128.30.44:e61ee8-94e2c8-8cbe13f0-d14d:Low:Manufacturing LAN:Risk Accepted,DUB-HMI03-LINE1:10.128.30.44:e61ee8-94e2c8-8cbe13f0-d14d:Low:Manufacturing LAN:New,Asset Status,Administrator,10.128.30.44,DUB-HMI03-LINE1,Low,"A HMI (DUB-HMI03-LINE1, 10.128.30.44) at the Dublin site that is assigned to the 10.128.30.32/27 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",Closed,Complete,
440d22-ef8c25-159a8168-3599,f223b2-28d6f8-28df0e2f-4f95,today-5:11932,-,-,Creation,System,10.128.30.22,DUB-HPLC-APP01,Info,"A server (DUB-HPLC-APP01, 10.128.30.22) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",Open,New,
c42439-818b5c-000a19d8-6432,f223b2-28d6f8-28df0e2f-4f95,today-3:43253,Closed,Open,Closing Ticket,Administrator,10.128.30.22,DUB-HPLC-APP01,Info,"A server (DUB-HPLC-APP01, 10.128.30.22) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",Closed,Complete,
8ccfad-c4c170-ec267ff5-1be8,f223b2-28d6f8-28df0e2f-4f95,today-3:43253,Complete,In Progress,Response Status,Administrator,10.128.30.22,DUB-HPLC-APP01,Info,"A server (DUB-HPLC-APP01, 10.128.30.22) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",Closed,Complete,
3be67f-e3c0e4-5d9a458b-35be,f223b2-28d6f8-28df0e2f-4f95,today-4:57384,DUB-HPLC-APP01:10.128.30.22:b1ce46-57f799-dc24bad5-9752:Critical:Enterprise LAN:Risk Accepted,DUB-HPLC-APP01:10.128.30.22:b1ce46-57f799-dc24bad5-9752:Critical:Enterprise LAN:New,Asset Status,Administrator,10.128.30.22,DUB-HPLC-APP01,Info,"A server (DUB-HPLC-APP01, 10.128.30.22) connection was denied while attempting to identify an outbound route through the firewall at the Dublin site. This behavior is typically associated with data exfiltration activities.",Closed,Complete,
db6fd2-416a74-796e31f7-bf19,0a695d-d3191c-dbf36030-ef93,today-5:28384,-,-,Creation,System,10.128.30.68,DUB-SE3007_1-LINE1,Info,Logic updates were applied to DUB-SE3007_1-LINE1 (10.128.30.68).,Open,New,
7a8483-bbe223-55aa9633-e775,0a695d-d3191c-dbf36030-ef93,today-4:39485,Closed,Open,Closing Ticket,Administrator,10.128.30.68,DUB-SE3007_1-LINE1,Info,Logic updates were applied to DUB-SE3007_1-LINE1 (10.128.30.68).,Closed,Complete,
1bc117-5b8437-8c0241b9-128b,0a695d-d3191c-dbf36030-ef93,today-4:39485,Complete,In Progress,Response Status,Administrator,10.128.30.68,DUB-SE3007_1-LINE1,Info,Logic updates were applied to DUB-SE3007_1-LINE1 (10.128.30.68).,Closed,Complete,
b9e4cd-1c636a-10774721-fa5d,0a695d-d3191c-dbf36030-ef93,today-4:37945,DUB-SE3007_1-LINE1:10.128.30.68:d40cc0-556508-95cdcdfb-7e56:Critical:Controller LAN:Risk Accepted,DUB-SE3007_1-LINE1:10.128.30.68:d40cc0-556508-95cdcdfb-7e56:Critical:Controller LAN:New,Asset Status,Administrator,10.128.30.68,DUB-SE3007_1-LINE1,Info,Logic updates were applied to DUB-SE3007_1-LINE1 (10.128.30.68).,Closed,Complete,
e0c518-66e779-52a86df7-f239,54baba-dc7078-f2f85602-5a05,today-6:7326,-,-,Creation,System,10.128.30.71,DUB-SE3007_1-LINE2,Critical,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,Open,New,
91cd62-f59074-23ba01a8-3159,54baba-dc7078-f2f85602-5a05,today-4:123,In Progress,New,Response Status,Harrison Cruise,10.128.30.71,DUB-SE3007_1-LINE2,Critical,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,Open,In Progress,
017aeb-fa8cc3-87aebd10-96b9,54baba-dc7078-f2f85602-5a05,today-4:3454,Closed,Open,Closing Ticket,Administrator,10.128.30.71,DUB-SE3007_1-LINE2,Critical,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,Closed,Complete,
f3b046-ace10a-12e54c2c-5aa8,54baba-dc7078-f2f85602-5a05,today-4:3454,Complete,In Progress,Response Status,Administrator,10.128.30.71,DUB-SE3007_1-LINE2,Critical,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,Closed,Complete,
3a91f0-6070a6-1add68b5-b607,54baba-dc7078-f2f85602-5a05,today-4:275,DUB-SE3007_1-LINE2:10.128.30.71:9c628c-46430d-5796069e-6672:Critical:Controller LAN:Risk Accepted,DUB-SE3007_1-LINE2:10.128.30.71:9c628c-46430d-5796069e-6672:Critical:Controller LAN:New,Asset Status,Administrator,10.128.30.71,DUB-SE3007_1-LINE2,Critical,A fault has occurred in a PLC: DUB-SE3007_1-LINE2 (10.128.30.71).,Closed,Complete,
8e0b15-ea2a10-ab226664-892d,6b24e8-829984-39b09bf8-4dbf,today-1:1600,-,-,Creation,System,10.128.30.74,DUB-SE3007_1-LINE3,Critical,A fault has occurred in a PLC: Device DUB-SE3007_1-LINE3.,Open,New,
1a463d-f3f413-c7445a0d-50fe,9c0f0b-2220a6-cec55ec5-bd7b,today-6:342,-,-,Creation,System,10.128.30.74,DUB-SE3007_1-LINE3,Critical,Firmware on DUB-SE3007_1-LINE3 (10.128.30.74) was reverted to an old version: 14 -> 10.,Open,New,
074042-a4a55a-40cac537-a547,9c0f0b-2220a6-cec55ec5-bd7b,today-5:56765,Closed,Open,Closing Ticket,Administrator,10.128.30.74,DUB-SE3007_1-LINE3,Critical,Firmware on DUB-SE3007_1-LINE3 (10.128.30.74) was reverted to an old version: 14 -> 10.,Closed,Complete,
58143a-c03c5a-130b251c-fc16,9c0f0b-2220a6-cec55ec5-bd7b,today-5:56765,Complete,In Progress,Response Status,Administrator,10.128.30.74,DUB-SE3007_1-LINE3,Critical,Firmware on DUB-SE3007_1-LINE3 (10.128.30.74) was reverted to an old version: 14 -> 10.,Closed,Complete,
9f89b6-a58fa4-a4bdc72b-cee1,9c0f0b-2220a6-cec55ec5-bd7b,today-5:1394,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:Risk Accepted,DUB-SE3007_1-LINE3:10.128.30.74:b11a24-9e205b-db195fac-35f9:Critical:Controller LAN:New,Asset Status,Administrator,10.128.30.74,DUB-SE3007_1-LINE3,Critical,Firmware on DUB-SE3007_1-LINE3 (10.128.30.74) was reverted to an old version: 14 -> 10.,Closed,Complete,
402c95-58b41b-d6c5d129-b09a,d46081-8572d4-bfb625e9-451d,today-1:1400,-,-,Creation,System,10.128.30.74,DUB-SE3007_1-LINE3,Medium,HMI DUB-HMI01-LINE3 reports logic updates were applied to PLC DUB-SE3007_1-LINE3.,Open,New,
b4b4d9-a55c4e-4018eb2b-393b,f46dc4-a9cb1c-e345bfe8-182c,today-1:1200,-,-,Creation,System,10.128.30.74,DUB-SE3007_1-LINE3,Low,The status mode of PLC DUB-SE3007_1-LINE3 (10.128.30.74) has changed to Remote.,Open,New,
d7a033-72e179-055a2393-8db6,d8fb2e-c8fdcb-5c548b5c-4736,today-8:2848,-,-,Creation,System,10.128.30.69,DUB-SE3007_2-LINE1,High,"The OT device PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site successfully made an outbound communication with an external device at 6.6.6.6.",Open,New,
3855b2-911ec8-1fb816e8-d01d,d8fb2e-c8fdcb-5c548b5c-4736,today-3:2474,In Progress,New,Response Status,Harrison Cruise,10.128.30.69,DUB-SE3007_2-LINE1,High,"The OT device PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site successfully made an outbound communication with an external device at 6.6.6.6.",Open,In Progress,
c0ac41-19cf09-31207e73-6bf1,eeb7fc-4145ea-6f992468-f9d3,today-15:84049,-,-,Creation,System,10.128.30.69,DUB-SE3007_2-LINE1,High,"A failed login attempt has occurred on PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site.",Open,New,
5c35b4-b992a9-869031a1-dc92,eeb7fc-4145ea-6f992468-f9d3,today-14:2349,Closed,New,Closing Ticket,Harrison Cruise,10.128.30.69,DUB-SE3007_2-LINE1,High,"A failed login attempt has occurred on PLC (DUB-SE3007_2-LINE1, 10.128.30.69) at the Dublin site.",Closed,Complete,
4348e4-1f74d1-dacd505f-b136,99e391-0f7d53-c0745936-8227,today-3:69872,-,-,Creation,System,10.128.30.72,DUB-SE3007_2-LINE2,High,"A force was placed on a PLC: DUB-SE3007_2-LINE2, 10.128.30.72",Open,New,
3b34a1-2cf126-fe328433-3e16,99e391-0f7d53-c0745936-8227,today-3:69872,Closed,New,Closing Ticket,Harrison Cruise,10.128.30.72,DUB-SE3007_2-LINE2,High,"A force was placed on a PLC: DUB-SE3007_2-LINE2, 10.128.30.72",Closed,Complete,Temporary placement for testing purposes
abfe8c-07f461-d491e2a7-8ed1,d7afac-20712b-3c22e2ae-2a41,today-6:8134,-,-,Creation,System,10.128.30.75,DUB-SE3007_2-LINE3,Low,The status mode of PLC DUB-SE3007_2-LINE3 (10.128.30.75) has changed to Remote.,Open,New,
72fea0-827a98-bbff5287-ef97,d7afac-20712b-3c22e2ae-2a41,today-4:63253,Closed,Open,Closing Ticket,Administrator,10.128.30.75,DUB-SE3007_2-LINE3,Low,The status mode of PLC DUB-SE3007_2-LINE3 (10.128.30.75) has changed to Remote.,Closed,Complete,
19a4ba-4e7677-f74e50c3-8e99,d7afac-20712b-3c22e2ae-2a41,today-4:63253,Complete,New,Response Status,Administrator,10.128.30.75,DUB-SE3007_2-LINE3,Low,The status mode of PLC DUB-SE3007_2-LINE3 (10.128.30.75) has changed to Remote.,Closed,Complete,
