_key,first_communication,is_running,operating_system,purdue_level,zone,host_ip,device_name,status,manufacturer,firmware_version,model,location,vlan,force_installed,physical_addr,is_in_remote_access_mode,originating_source,asset_criticality,conflict_keys,is_programmable,device_type,subnet,cpe_uri,site,host_name,plc_mode,auto_merge
21ddf8-f6cdd5-d65d6610-712f,,,Windows 10 Pro,,DMZ,10.137.128.14,,,VMware,,VM,CSN,,,00:50:56:BF:5A:26,,,Low,,,Desktop,,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_04,,
21f7d1-61d054-3c6e30ba-edc4,,,Windows Server 2012 R2,,Process I/O,10.137.128.52,,,VMware,,VM,,,,00:50:56:BF:13:6F,,,Low,,,Server,,cpe:/o:vmware:esx:2.1.2,McLean,matrikon,,
24f157-0e2cc3-e23b4c17-cf5c,,,Windows XP,,Process I/O,192.168.2.2,,,,,Test VM,,,,6b:ea:cf:65:92:e1,,,Medium,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,London,Test Host 02,,
27e279-5a1c04-79e35fdf-63ce,,,,,Process I/O,10.137.128.10,,,,,,,,,00:50:56:BF:58:5B,,,Low,,,Unknown,,,McLean,10.137.128.10,,
2b595e-af0c27-02261498-0636,,,,,Control Devices,10.128.70.128,,,Lynxspring,,JeneSys PC3000,BCS1,,,NULL,,,Low,,,PLC,10.128.70.0/24,cpe:/h:cisco:scientific_atlanta_dpc3000%2fepc3000:-,McLean,JACE_JeneSys,,
2f543a-c2aa22-2386c90d-9050,,,,,Control Devices,10.128.70.225,,,,,,TravelDemo1,,,NULL,,,Low,,,HMI,10.128.70.0/24,,London,Advanced-HMI,,
32fe7c-a99e6a-f1787b53-3d34,,,Windows Server 2012 R2,,Process I/O,10.137.128.72,,,VMware,,VM,,,,00:50:56:BF:13:6F,,,Low,,,Server,,cpe:/o:vmware:esx:2.1.2,McLean,matrikon,,
3692f4-b05906-5ea69044-ec67,,,Windows 10 Pro,,DMZ,10.137.128.15,,,VMware,,VM,CSN,,,00:50:56:BF:1B:0B,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_05,,
371dd0-70adae-a81683cf-7c0d,,,Windows 10 Pro,,DMZ,10.137.128.13,,,VMware,,VM,CSN,,,00:50:56:BF:73:83,,,Low,,,Desktop,,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_03,,
3fb9ed-3a4e65-8a085197-c171,,TRUE,,,,,MicroLogix_Channel.MicroLogix_1100,,,,,,,FALSE,,TRUE,,,,TRUE,,,cpe:/h:cabletron:micro_mmac:1.10.14,,,Unknown,
403539-1c2968-93e069e0-aa1a,,,Windows 10 Pro,,DMZ,10.137.128.23,,,VMware,,VM,,,,00:50:56:BF:17:F8,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_13,,
4313ab-852cbc-e35681a7-756f,,,,,Facility Operations & Control,10.128.70.178,,,,,,4083,,,NULL,,,High,,,Unknown,10.128.70.0/24,,McLean,desktop-jus0eoa,,
43f6ef-7912e6-a03aa559-0d52,,,Windows XP,,Process I/O,192.168.2.7,,,,,Test VM,,,,4b:c7:9b:ae:7e:32,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 07,,
00b8ad-8bf431-057444b6-da73,,,,,,10.128.70.226,MicroLogix_Channel.TravelBox MicroLogix_1400,,,,,,,,,,,,,,unknown,,cpe:/h:cabletron:micro_mmac:1.10.14,,,,
46f6ef-529676-fb073c78-bdf1,,,,,,,Travel_Demo.MicroLogix1400,,,,,,,FALSE,,,,,,,,,cpe:/h:rockwellautomation:micrologix_1400:-,,,,
4a4dac-4f74fb-e3b36cdc-09d5,,,,,DMZ,10.128.70.129,,,RedLion,,SixNet,BCS1,,,00:a0:1d:48:5c:ab,,,Medium,,,Switch,10.128.70.0/24,cpe:/h:wdc:my_net_n900c:-,McLean,Switch_SLX-16MS,,
4a9f03-89c3ff-e6b3f4ef-99d2,,,,,Facility Operations & Control,10.128.70.177,,,,,,4083,,,NULL,,,High,,,Laptop,10.128.70.0/24,,McLean,KepwareVM,,
4ecc33-acf6f4-36a5ad74-66ce,,,Windows XP,,Process I/O,192.168.2.9,,,,,Test VM,,,,4b:c7:9b:ae:7e:34,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 09,,
52bc30-7a05b2-3df8cf6a-1267,,,,,Internet,10.128.70.179,,,,,,4083,,,NULL,,,Low,,,Laptop,10.128.70.0/24,,McLean,kali-icslab,,
53ef81-43dee5-e2bdb703-42c5,,TRUE,,,,10.128.70.160,Simatic_S7_Channel.S71200,,,,,,,,,TRUE,,,"[""21"", ""5bdb381a510ec612a77dadc4"", ""5bdb381b510ec612a77dadc8"", ""a79177-1f8267-d6eea8fb-7372""]",TRUE,unknown,,cpe:/o:siemens:simatic_s7_cpu_1200_firmware:3.0.2,,,"Run Mode
Run Mode",
5a2643-599779-d23d0e51-2f1f,,,,,Process I/O,10.137.128.97,,,,,,,,,00:50:56:BF:04:A8,,,Low,,,Unknown,,,McLean,10.137.128.97,,
5a7144-fd3b5f-9ddec795-92ad,,,,,Process I/O,10.137.128.94,,,,,,,,,00:50:56:BF:25:6D,,,Low,,,HttpDevice,,,McLean,10.137.128.94,,
600352-afc55f-b15f3303-cf80,,,,,Process I/O,10.137.128.95,,,,,,,,,00:50:56:BF:3F:B5,,,Low,,,Unknown,,,McLean,10.137.128.95,,
671fc4-7cb9b7-bfbcf0c7-8600,,,,,,192.168.100.224,Travel_Demo.MicroLogix1400,,,,,,,FALSE,,,,,00b8ad-8bf431-057444b6-da73,,unknown,,cpe:/h:rockwellautomation:micrologix_1400:-,,,,
740ce4-04da78-4d35ee87-2c1f,,FALSE,,,,,MicroLogix_Channel.MicroLogix_1100_2,,,10,,,,,,TRUE,,,,TRUE,,,cpe:/h:cabletron:micro_mmac:1.10.14,,,,
741ca9-cd1563-8755e2d5-fcd7,,TRUE,,,,,MicroLogix_Channel.MicroLogix_1400,,,,,,,FALSE,,TRUE,,,,TRUE,,,cpe:/h:cabletron:micro_mmac:1.10.14,,,Unknown,
787bde-ed752d-3f7198e5-b85d,,,Windows XP,,Process I/O,192.168.2.3,,,,,Test VM,,,,82:90:f5:a6:af:9c,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,NBP,Test Host 03,,
79b2d3-c5ec2d-bf520b0b-70af,,,,,,,MicroLogix_Channel.TravelBox MicroLogix_1400,,,,,,,,,,,,,,,,cpe:/h:cabletron:micro_mmac:1.10.14,,,,
79bc23-c49444-4ccd4e80-032f,,,Windows 10 Pro,,DMZ,10.137.128.16,,,VMware,,VM,CSN,,,00:50:56:BF:60:45,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_06,,
7acd87-604f4a-8f66a71d-7d4b,,,,,Control Devices,192.168.100.225,,,,,,TravelDemo1,,,NULL,,,Low,,,HMI,192.168.100.0/27,,London,Advanced-HMI,,
7d4b6e-687416-8092e033-f7a6,,TRUE,,,,10.128.70.145,MicroLogix_Channel.MicroLogix_1400,,,,,,,FALSE,,TRUE,,,"[""5bdb381a510ec612a77dadc3"", ""5bdb381b510ec612a77dadc7""]",TRUE,unknown,,cpe:/h:cabletron:micro_mmac:1.10.14,,,Unknown,
7d4ca2-f73c33-ba38e646-7721,,,Windows Server 2012 R2 DC,,Corporate LAN,10.137.128.37,,,VMware,,VM,CSN,,,00:50:56:BF:26:6E,,,Low,,,Server,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,server2012,,
8450fa-bf907e-d7549b3a-f8dd,,,Windows XP,,Process I/O,192.168.2.4,,,,,Test VM,,,,4c:d1:c4:7e:cd:2c,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 04,,
8978bf-44a6a7-f28df6c9-8a46,,,,,Area Supervisory Control,10.128.70.133,,,,,,BCS1,,,74:e6:e2:e0:9b:7f,,,Low,,,HMI,10.128.70.0/24,,McLean,Lab-2,,
8c0731-3cecf1-fdba8188-858a,,,,,DMZ,10.128.70.148,,,Allen-Bradley,,Stratix 6000,ICS1,,,NULL,,,Low,,,Switch,10.128.70.0/24,cpe:/o:siemens:spc6000_firmware:3.5.9,McLean,Stratix6000,,
8fce22-53464c-47179b87-e20c,,,,,Process I/O,10.128.70.197,,,,,,,,,NULL,,,Low,,,Unknown,,,McLean,10.128.70.197,,
940ed7-85f5d6-f209f726-563b,,TRUE,,,,,Simatic_S7_Channel.S71200,,,,,,,,,TRUE,,,,TRUE,,,cpe:/o:siemens:simatic_s7_cpu_1200_firmware:3.0.2,,,Run Mode,
941314-2c26a1-cfa1d6bb-5b56,,,,,Area Supervisory Control,192.168.100.200,,,VMware,,VM,TravelDemo1,,,NULL,,,Low,"[""54"", ""0da748-275fd8-e6856188-9067""]",,Laptop,192.168.100.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,London,DESKTOP-REVBK2J,,
950491-8064ce-a3b83e64-5401,,,Windows XP,,Process I/O,192.168.2.8,,,,,Test VM,,,,4b:c7:9b:ae:7e:33,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 08,,
9bd7e4-0f8bbb-fe8e411e-f0f2,,,,,Process I/O,10.137.128.41,,,,,,,,,00:50:56:BF:78:09,,,Low,,,Unknown,,,McLean,10.137.128.41,,
9c628c-46430d-5796069e-6672,,,,,Process I/O,10.128.70.5,,,,,,,,,NULL,,,Low,,,Unknown,,,McLean,10.128.70.5,,
9f2175-979e4d-cf70f39f-9373,,,,,DMZ,10.128.70.226,,,,,,TravelDemo1,,,NULL,,,Medium,,,Firewall,10.128.70.0/24,,London,eagle-one (external),,
9f6c38-fa7721-f0013e7b-dbfe,,,Windows 7 Pro,,Process I/O,10.137.128.55,,,VMware,,VM,,,,00:50:56:BF:62:44,,,Low,,,Desktop,,cpe:/o:vmware:photon_os:1.0:2016-08-14,McLean,otews,,
a2934a-6b2132-9568e968-9ce1,,,,,Corporate LAN,10.128.70.227,,,,,,TravelDemo1,,,NULL,,,High,,,Laptop,10.128.70.0/24,,London,ubuntu,,
a6406e-ceefd7-69b5d70f-5b57,,,Windows Server 2012 R2 DC,,Facility Operations & Control,10.137.128.70,,,VMware,,VM,CSN,,,00:50:56:BF:0E:6C,,,High,,,Server,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,kepware,,
a6c603-20b480-d410d409-8dfd,,,,,Corporate LAN,192.168.100.100,,,,,,TravelDemo1,,,NULL,,,High,"[""45612"", ""68"", ""bd5d9d-331def-ac44cef2-075a"", ""1a91ab-21043c-0fb973d9-b44c"", ""a2934a-6b2132-9568e968-9ce1""]",,Laptop,192.168.100.0/24,,London,ubuntu,,
a79177-1f8267-d6eea8fb-7372,,,,,Control Devices,10.128.70.160,,,Siemens,,Siemens S7,4083,,,NULL,,,Low,,,PLC,10.128.70.0/24,cpe:/h:siemens:simatic_s7_cpu_1217c:-,McLean,SimaticS7,,
b11a24-9e205b-db195fac-35f9,,,Windows XP,,Process I/O,192.168.2.6,,,,,Test VM,,,,4b:c7:9b:ae:7e:31,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 06,,
b1985e-93977d-ab30ad42-41b9,,,,,DMZ,10.128.70.147,,,SIXNET,,SE-SW8M - Industrial Ethernet Managed Switch,ICS1,,,NULL,,,Medium,,,HttpDevice,10.128.70.0/24,cpe:/o:sixnet:rtu_firmware:4.7,McLean,10.128.70.147,,
b1ce46-57f799-dc24bad5-9752,,,Test OS,,Process I/O,NULL,,,,,,,,,NULL,,,Low,,,Desktop,,cpe:/o:tropos:mesh_os:7.9.1.1,McLean,Windows XP Host 01,,
b2cc80-49fa14-91c85d6f-3ca6,,,,,Facility Operations & Control,192.168.100.229,,,VMware,,VM,TravelDemo1,,,NULL,,,Low,,,Laptop,192.168.100.0/26,cpe:/o:vmware:photon_os:1.0:2016-08-14,London,WIN-HN5CVFE442T,,
b7cf99-cc1ef7-d0f26e3d-522c,,,Windows 10 Pro,,DMZ,10.137.128.22,,,VMware,,VM,,,,00:50:56:BF:1E:B2,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_12,,
ba4e44-7813ac-a0c308e2-18a7,,,,,Process I/O,10.128.70.192,,,,,,,,,NULL,,,Low,,,HttpDevice,,,McLean,10.128.70.192,,
bb8b4a-e64142-a9b673c4-5929,,,Windows XP,,Process I/O,192.168.2.5,,,,,Test VM,,,,4b:c7:9b:ae:7e:30,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 05,,
bd5d9d-331def-ac44cef2-075a,,,,,Area Supervisory Control,192.168.100.100,,,Canonical,,Ubuntu 16.04,TravelDemo1,,,NULL,,,Medium,,,Laptop,192.168.100.0/24,cpe:/o:canonical:ubuntu_touch:15.04,London,splunkserver,,
c007fb-631395-6916c4bc-f5f0,,,Windows Server 2012 R2 DC,,Corporate LAN,10.137.128.37,,,VMware,,VM,CSN,,,00:50:56:BF:2D:68,,,Low,"[""16"", ""7d4ca2-f73c33-ba38e646-7721""]",,Server,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,server2012,,
c0633e-bd92c9-2e360a47-593c,,,Windows Server 2016,,Corporate LAN,10.137.128.73,,,VMware,,VM,CSN,,,00:50:56:BF:0C:90,,,Low,,,Server,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,ipam,,
c198db-21b31b-2f43efde-8184,,,,,Facility Operations & Control,192.168.100.227,,,VMware,,VM,TravelDemo1,,,NULL,,,Low,"[""1a91ab-21043c-0fb973d9-b44c"", ""55"", ""68"", ""b2cc80-49fa14-91c85d6f-3ca6""]",,Laptop,192.168.100.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,London,WIN-HN5CVFE442T,,
c30d0d-37a4bf-f3d0e41e-f75c,,,,,Process I/O,10.128.70.195,,,,,,,,,NULL,,,Low,,,Unknown,,cpe:/o:microsoft:windows_xp:unknown:sp3,McLean,10.128.70.195,,
c52c16-4940a4-f785612b-c6b1,,,,,DMZ,10.128.70.147,,,SIXNET,,SE-SW8M - Industrial Ethernet Managed Switch,ICS1,,,NULL,,,Medium,,,Switch,10.128.70.0/24,cpe:/o:sixnet:rtu_firmware:4.7,McLean,se-sw8m,,
c7d887-e85b56-223deb7d-3b69,,,,,Control Devices,10.128.70.130,,,,,,BCS1,,,NULL,,,Low,,,RTU,10.128.70.0/24,,McLean,DataGate_VisionPowerSystem,,
cb4312-4c9652-5c2e9fb5-495b,,,,,Area Supervisory Control,10.128.70.132,,,,,,BCS1,,,74:e6:e2:e0:9d:ff,,,Low,,,HMI,10.128.70.0/24,,McLean,Lab-1,,
cc32a6-d0e515-5c9b18e6-189e,,,Windows XP,,Process I/O,192.168.2.13,,,,,Test VM,,,,4b:c7:9b:ae:7e:38,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 13,,
cf03eb-ddfa54-c01c965a-b534,,,,,DMZ,10.128.70.146,,,Richard Hirschmann GmbH,,Hirschmann EAGLE Security Device,ICS1,,,NULL,,,Medium,,,Firewall,10.128.70.0/24,cpe:/h:iodata:hdl2-a%2fe:-,McLean,eagle-icslab,,
cf5180-fd97ff-d02ffd7b-c2c3,,,Windows XP,,Process I/O,192.168.2.12,,,,,Test VM,,,,4b:c7:9b:ae:7e:37,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 12,,
dcd7a6-b175c0-a3d28592-ddc1,,,,,Area Supervisory Control,10.128.70.149,,,,,,ICS1,,,NULL,,,Low,,,HMI,10.128.70.0/24,,McLean,ICS-Lab-1,,
df74ac-1dbe15-0fc07b41-0a59,,,,,Corporate LAN,10.137.128.98,,,VMware,,Unknown,CSN,,,00:50:56:BF:6B:E4,,,High,,,Server,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,SplunkDevelopment,,
e61ee8-94e2c8-8cbe13f0-d14d,,,Windows XP,,Process I/O,192.168.2.11,,,,,Test VM,,,,4b:c7:9b:ae:7e:36,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 11,,
ee1427-4e82d7-26dd607d-b106,,,,,Process I/O,10.137.128.24,,,,,,,,,00:50:56:BF:00:6F,,,Low,,,Unknown,,,McLean,10.137.128.24,,
f5b307-9101f1-d875c974-0a23,,TRUE,,,,10.128.70.144,MicroLogix_Channel.MicroLogix_1100,,,,,,,FALSE,,TRUE,,,"[""5bdb381a510ec612a77dadc1"", ""5bdb381b510ec612a77dadc5""]",TRUE,unknown,,cpe:/h:cabletron:micro_mmac:1.10.14,,,Unknown,
fa50b1-517b83-cb985986-fddf,,,Windows Server 2012 R2 DC,,Facility Operations & Control,10.137.128.50,,,VMware,,VM,CSN,,,00:50:56:BF:0E:6C,,,High,,,Server,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,kepware,,
ff2e0b-fd2633-bf75a834-331a,,,Windows 10 Pro,,DMZ,10.137.128.12,,,VMware,,VM,CSN,,,00:50:56:BF:04:27,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_02,,
ffae4e-88501d-e4518650-2291,,,proof,,Process I/O,11.22.33.45,,,,,I_dont_care,,,,od:ef:5d:s8:8e:3k,,,Low,,,PLC,,cpe:/h:xerox:workcentre_pro:275,McLean,fake_device,,
