Policy ID, Policy, Description, Recommendation, CQL, URL
AWS_000011,EC2 instances that allow access to port 53 from external sources.,"DNS port - 53 is used to query Domain Names to IP address. Allowing access from all IP addresses on the Internet to DNS port can be vulnerable to DNS Hijacking, Cache Poisoning, DNS Tunnelling attack. It is a best practice to restrict access from known public DNS server to destination port 53.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=53 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000012,EC2 instances that allow access to port 135 from external sources.,"Remote Procedure Call (RPC) protocol provides an inter-process communication mechanism that allows a program running on one computer to seamlessly execute code on another remote system. Using RPC protocol an attacker can take any action on your system, like installing programs, viewing, changing or deleting data, or creating new accounts with full privileges. It is a best practice to block RPC port 135 from the public internet.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Delete the rule with Source as 0.0.0.0/0","EC2Instance where isPublic=true should not have publicInboundRules with [port=135 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000013,EC2 instances that allow access to port 137 from external sources.,NetBIOS port 137 is used for Network file sharing and shared printer in the LAN. Allowing access from all IP addresses on the Internet to NetBIOS ports can be risky as your shared resources are exposed over the public Internet. It is a best practice to block port 139 from the open Internet.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Delete the rule with Source as 0.0.0.0/0","EC2Instance where isPublic=true should not have publicInboundRules with [port=137 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000014,EC2 instances that allow access to port 138 from external sources.,NetBIOS port 138 is used for Network file sharing and shared printer in the LAN. Allowing access from all IP addresses on the Internet to NetBIOS ports can be risky as your shared resources are exposed over the public Internet. It is a best practice to block port 139 from the open Internet.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Delete the rule with Source as 0.0.0.0/0","EC2Instance where isPublic=true should not have publicInboundRules with [port=138 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000015,EC2 instances that allow access to port 139 from external sources.,NetBIOS port 139 is used for Network file sharing and shared printer in the LAN. Allowing access from all IP addresses on the Internet to NetBIOS ports can be risky as your shared resources are exposed over the public Internet. It is a best practice to block port 139 from the open Internet.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Delete the rule with Source as 0.0.0.0/0","EC2Instance where isPublic=true should not have publicInboundRules with [port=139 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000016,EC2 instances that allow access to port 1433 from external sources.,"MSSQL server port - 1433 is used by SQL server to listen for requests from SQL server clients. Allowing access from all IP addresses on the Internet to MSSQL port is vulnerable to DoS, Buffer Overflow, SQL Injection attacks. It is a best practice to block public access, and restrict access from specific IP addresses to port 1433.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=1433 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000017,EC2 instances that allow access to port 1434 from external sources.,"MSSQL port - 1434 is used by SQL server to listen for requests from SQL server clients. Allowing access from all IP addresses on the Internet to MSSQL port is vulnerable to DoS, Buffer Overflow, SQL Injection attacks. It is a best practice to block public access, and restrict access from specific IP addresses to port 1434.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=1434 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000018,EC2 instances that allow access to port 3306 from external sources.,"MySQL port - 3306 is used by MySQL server to listen requests from clients. Allowing access from all IP addresses on the Internet to MySQL port is vulnerable to DoS, Buffer Overflow, SQL Injection attacks. It is a best practice to block public access, and restrict access from specific IP addresses to port 3306.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=3306 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000019,EC2 instances that allow access to port 1521 from external sources.,"Oracle TNS(Transparent Network Substrate) port - 1521 is used by Oracle client to connect to the database server over Oracle SQL Net protocol. Allowing access from all IP addresses on the Internet to TNS port will let commands to be sent to the listener, the listener can be shut down, or the databases can be queried. It is a best practice to block public access, and restrict access from specific IP addresses to port 1521.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=1521 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000020,EC2 instances that allow access to port 5432 from external sources.,"PostgreSQL - 5432 is used by SQL server to listen for client requests. Allowing access from all IP addresses on the Internet to PostgreSQL port is vulnerable to postgresql exploit. It is a best practice to block public access, and restrict access from specific IP addresses to port 5432.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=5432 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000021,EC2 instances that allow access to port 445 from external sources.,SMB (Server Message Block) Port - 445 is used for file sharing and TCP/IP networking on Windows 2000 and later versions. Allowing access from all IP addresses on the Internet to port 445 can make it vulnerable to WannaCry exploit on Microsoft Endpoints. It is a best practice to block port 445 from the public internet.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Delete the rule with Source as 0.0.0.0/0","EC2Instance where isPublic=true and platform='Windows' should not have publicInboundRules with [port=445 and protocol in ('tcp','udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000022, Default security groups associated with atleast one or more ingress or egress rules.,"In AWS, the default security group comes with pre-defined settings that denies all inbound traffic, allows all outbound traffic and allows traffic between instances associated to the default security group. It is a best practice to remove all the rules in the default security group, thereby enforcing and encouraging creation of  least privilege security groups as the need arises.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select each default security group (across different regions) and delete the inbound and outbound rules", SecurityGroup where groupName='default' should have inboundRules isEmpty() and outboundRules isEmpty(),https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-network-security.html#default-security-group
AWS_000023,EC2 instances associated with default security group.,"In AWS, when an EC2 Instance is launched without configuring a security group, it will automatically associate with the default security group. The default security group allows all inbound traffic from other instances associated with the same. This can enable access to other EC2 Instances which are not in your control. It is a best practice to create custom security groups using the principle of least privilege and associate with the EC2 Instances.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2. In the Navigation pane, choose ""Instances"". Select the EC2 instance associated with default security group and associate to a different security group. Remove the association with default security group",EC2Instance should not have defaultSecurityGroupAssociated=true,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-network-security.html#default-security-group
AWS_000024,EC2 instances launched in default VPC.,"Every AWS account comes with default Virtual Private Cloud in each region. A default VPC is suitable for getting started quickly, and for launching public instances for simple websites. But, if you need to host a complex multi-tier application or add more layers of security to your infrastructure it is a best practice to create non-default VPC with public, private subnets & demilitarized (DMZ) zones. This segregates the network based on their functionality, services, and security.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2. Select the EC2 instance reported under violation. Stop the Instance, Create an AMI of the instance. Launch new EC2 instance using the AMI created and place it in the non-default VPC",EC2Instance should not have defaultVpcAssociated=true,https://aws.amazon.com/premiumsupport/knowledge-center/move-ec2-instance/
AWS_000025,S3 buckets allowing un-authenticated public READ access through ACL.,"Bucket ACLs (Access Control List) are resource based policies that grant access to other aws accounts, users and log group. This policy checks whether S3 bucket is configured to grant READ access to aws predefined group http://acs.amazonaws.com/groups/global/AllUsers. This empowers any user on the internet with the list access on s3 bucket objects. It is a best practice to grant limited access to specific authenticated users.","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Permissions"" tab, select ""Access Control List"". Under Public Access click ""Everyone"", uncheck ""List Objects"" and save the configurations. Or use AWS CLI to remove ""READ"" access to predefined group ""http://acs.amazonaws.com/groups/global/AllUser""",S3Bucket should not have grants with [uri='http://acs.amazonaws.com/groups/global/AllUsers' and permission='READ'],https://docs.aws.amazon.com/AmazonS3/latest/dev/acl-overview.html#specifying-grantee
AWS_000026,S3 buckets allowing access to all users through bucket policy.,"Bucket Policy governs the access permissions on AWS S3 resources. This policy checks whether S3 bucket is configured with bucket policy with ""Effect"":""Allow"", ""Principal"":""*"" and with any combination of allowed actions. This enables bucket to be accessed by anyone, and if proper conditions are not added it could be exposed to the internet. It is a best practice to grant limited access to specific authenticated users.","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Permissions"" tab and select ""Bucket Policy"". Replace ""*"" under ""Principal"" with a specific user, role, or service",S3Bucket should not have policyStatement with [(principal='*' or principalAWS contain-any ('*')) and effect='Allow'],https://docs.aws.amazon.com/AmazonS3/latest/user-guide/add-bucket-policy.html
AWS_000027,S3 buckets allowing authenticated public READ access through ACL.,"Bucket ACLs (Access Control List) are resource based policies that grant access to other aws accounts, users and log group. This policy checks whether S3 bucket is configured to grant READ access to aws predefined group http://acs.amazonaws.com/groups/global/AuthenticatedUsers. This empowers any aws authenticated user with the list access on s3 bucket objects. It is a best practice to grant limited access to specific authenticated users."," This can be fixed only through CLI or AWS SDK APIs. Use AWS CLI to remove ""READ"" access to predefined group ""http://acs.amazonaws.com/groups/global/AuthenticatedUsers""",S3Bucket should not have grants with [uri='http://acs.amazonaws.com/groups/global/AuthenticatedUsers' and permission='READ'],https://docs.aws.amazon.com/AmazonS3/latest/dev/acl-overview.html#specifying-grantee
AWS_000028,S3 buckets allowing access to all users to perform all actions(*) through bucket policy.,"Bucket Policy governs the access permissions on AWS S3 resources. This policy checks whether S3 bucket is configured with bucket policy with ""Effect"":""Allow"", ""Principal"":""*"" and ""Action"":""*"". This enables bucket to be accessed by anyone, and if proper conditions are not added it could be exposed to the internet. It is a best practice to grant limited access to specific authenticated users","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Permissions"" tab and select ""Bucket Policy"". Replace ""*"" under ""Principal"" with a specific user, role, or service and replace ""Action"":""*"" with specific action","S3Bucket should not have policyStatement with [(principal='*' or principalAWS contain-any ('*')) and effect='Allow' and action contain-any ('*','s3:*')]",https://docs.aws.amazon.com/AmazonS3/latest/user-guide/add-bucket-policy.html
AWS_000029,S3 buckets that do not have encryption enabled.,AWS provides an option to set default encryption on S3 buckets. The default encryption on bucket ensures that all the objects stored in the bucket are encrypted. The objects are encrypted using server-side encryption with either Amazon S3-managed keys (SSE-S3) or AWS KMS-managed keys (SSE-KMS). It is a best practice to ensure encryption is set on S3 buckets.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Properties"" tab, select either AES-256 or AWS-KMS (select the keys from the list) and Save",S3Bucket should have encryption isNotEmpty(),https://docs.aws.amazon.com/AmazonS3/latest/dev/bucket-encryption.html
AWS_000030,S3 buckets that do not have access logging enabled.,AWS provides an option to enable server side access logging on S3 buckets. Server side access logs provide detailed records of the requests that are made to S3 bucket. These logs are useful in security & access audits. It is a best practice to enable server side logging on S3 buckets.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Properties"" tab, select ""Server access logging"", select ""Enable logging"" and configure the required parameters",S3Bucket should have loggingEnabled isNotEmpty(),https://docs.aws.amazon.com/AmazonS3/latest/dev/ServerLogs.html
AWS_000031,S3 buckets allowing full control access to authenticated users through ACL.,"Bucket ACLs (Access Control List) are resource based policies that grant access to other aws accounts, users and log group. This policy checks whether S3 bucket is configured to grant FULL_CONTROL access to aws predefined group http://acs.amazonaws.com/groups/global/AuthenticatedUsers. This empowers any aws authenticated user with the full access on s3 bucket objects and permissions. It is a best practice to grant limited access to specific authenticated users."," This can be fixed only through CLI or AWS SDK APIs. Use AWS CLI to remove access to predefined group ""http://acs.amazonaws.com/groups/global/AuthenticatedUsers"", and grant required access to only specific authenticated users",S3Bucket should not have grants with [uri='http://acs.amazonaws.com/groups/global/AuthenticatedUsers' and permission='FULL_CONTROL'],https://docs.aws.amazon.com/AmazonS3/latest/dev/acl-overview.html#specifying-grantee
AWS_000032, AWS accounts that do not have public access block settings to block new public ACLs and uploading public objects.,"S3 buckets can be used to store sensitive and confidential information in an organization. So it is always advised to protect them from public access to avoid any data breaches. As a best practice enable S3 bucket public access setting  ""Block new public ACLs and uploading public objects"". This prevents any accidental exposure of S3 buckets to the public.","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select ""Public access settings for this account"". Click on ""Edit"" button, enable a setting option ""Block new public ACLs and uploading public objects"" and save the configurations", Account should have pabBlockPublicAcls=true,https://docs.aws.amazon.com/AmazonS3/latest/user-guide/block-public-access-account.html
AWS_000033,S3 buckets allowing full control access to un-authenticated users through ACL.,"Bucket ACLs (Access Control List) are resource based policies that grant access to other aws accounts, users and log group. This policy checks whether S3 bucket is configured to grant FULL_CONTROL access to aws predefined group http://acs.amazonaws.com/groups/global/AllUsers. This empowers any user on the internet with the full access on s3 bucket objects and permissions. It is a best practice to grant limited access to specific authenticated users.","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select the S3 bucket reported under violation. Click on ""Permissions"" tab, select ""Access Control List"". Under Public Access click ""Everyone"", uncheck ""List Objects"", ""Write Objects"", ""Read bucket permissions"" & ""Write bucket permissions"" and save the configurations",S3Bucket should not have grants with [uri='http://acs.amazonaws.com/groups/global/AllUsers' and permission='FULL_CONTROL'],https://docs.aws.amazon.com/AmazonS3/latest/dev/acl-overview.html#specifying-grantee
AWS_000034, AWS accounts that do not have public access block settings to ignore public access granted through public ACLs.,"S3 buckets can be used to store sensitive and confidential information in an organization. So it is always advised to protect them from public access to avoid any data breaches. As a best practice enable S3 bucket public access setting  ""Remove public access granted through public ACLs"". This prevents any accidental exposure of S3 buckets to the public.","Log in to Amazon Console https://console.aws.amazon.com/, Choose S3. Select ""Public access settings for this account"". Click on ""Edit"" button, enable a setting option ""Remove public access granted through public ACLs"" and save the configurations", Account should have pabIgnorePublicAcls=true,https://docs.aws.amazon.com/AmazonS3/latest/user-guide/block-public-access-account.html
AWS_000035, AWS accounts that have root users with multi-factor authentication disabled.,"The root account is the most privileged user in an AWS account. MFA adds an extra layer of protection on top of a username and password. With MFA enabled, when a root user signs into AWS, they will be prompted for their user name and password as well as an authentication code from their AWS MFA device."," Log in to Amazon Console https://console.aws.amazon.com/ using root credentials. Go to ""My Security Credentials"" from drop-down menu next to account name on top right corner. If a pop-up opens select ""Continue to Security Credentials"". On ""Your Security Credentials"" page select ""Multi-factor authentication (MFA)"". Click on ""Activate MFA"" and Follow the instructions on ""Manage MFA Device"" wizard to setup ""Other hardware MFA"" device", Account should have rootAccountMFAEnabled=true, http://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html
AWS_000036, AWS accounts that have root users with access keys configured(including inactive ones).,AWS provides access keys (access key ID and secret access key) to programmatically access resources in an account. The root user has unrestricted access to all resources in an account. It is a best practice to delete the access keys associated with the root user.," Log in to Amazon Console https://console.aws.amazon.com/ using root credentials. Go to ""My Security Credentials"" from drop-down menu next to account name on top right corner. If a pop-up opens select ""Continue to Security Credentials"". On ""Your Security Credentials"" page select ""Access keys (access key ID and secret access key)"". Click on ""Make Inactive"" or Delete keys",Account should have rootAccountAccessKeyCount=0, https://docs.aws.amazon.com/general/latest/gr/aws-access-keys-best-practices.html
AWS_000037, AWS accounts without password policy configured.,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure the password is comprised of different character sets. It is recommended that the password policy is enabled for AWS account."," Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click on ""Account settings"" on the left navigation pane. Make sure all the available options are selected, and password policy is applied", Account should have passwordPolicy isNotEmpty(), https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details
AWS_000038, AWS accounts without password policy restriction of atleast one lowercase character configured.,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure the password is comprised of different character sets. It is recommended that the password policy require at least one lower case letter."," Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click on ""Account settings"" on the left navigation pane. Select ""Require at least one lowercase letter"". Click on ""Apply password policy""", Account should have passwordsWithLowercaseLetter=true, https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details
AWS_000039, AWS accounts without passsword policy policy restriction of minimum password length configured.,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are at least a given length. It is recommended that the password policy require a minimum password length 14.","Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click on ""Account settings"" on the left navigation pane. Make sure ""Minimum password length"" is set to 14 characters. Click on ""Apply password policy""",Account should have passwordsWithMinimumLength>=14, https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details
AWS_000040, AWS accounts without password policy restriction of password expiry configured.,IAM password policies can require passwords to be rotated or expired after a given number of days. It is recommended to set password expiry after 90 days or less.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click on ""Account settings"" on the left navigation pane. Select ""Enable password expiration"" and set ""Password expiration period (in days)"" is set to 90 days. Click on ""Apply password policy""",Account should have maximumPasswordAge<=90, https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details
AWS_000041, AWS accounts without password policy of allowing users to change their passwords.,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure users have complete control on changing their passwords. It is recommended that the password policy allow users to change their passwords."," Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click on ""Account settings"" on the left navigation pane. Select ""Allow users to change their own password"". Click on ""Apply password policy""", Account should have allowUsersToChangePassword=true, https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details
AWS_000042, IAM users without any policies associated directly(inline or attached) or indirectly through groups.,"IAM users are created to perform any Console, CLI or API based operations on AWS cloud accounts. They are associated with policies that grant them permissions to perform required operations. An IAM user without any permission is a security risk, it is recommended to either add required permissions or delete them to adhere to compliance standards."," Log in to Amazon Console https://console.aws.amazon.com/, Choose IAM service. Click ""Users"" on left navigation, and select the user reported as non-compliant. Select ""Groups"" tab, click ""Add user to groups"" button. Select appropriate group with the policies already associated, and click ""Add to Groups""", IAMUser should not have attachedPolicies isEmpty() and inlinePolicies isEmpty() and hasAttachedGroupPolicy=false, https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html#use-groups-for-permissions
