"table_name","user_name","manager_name","role_name","app_name","job_name","index_name","host_name",label,"custom_key","custom_name","biz_unit","biz_division","biz_dep","biz_desc","biz_owner","biz_email","perc_ownership",name,type,status,title,email,manager,"manager_id",entitlement,"yearly_cost","is_admin",notes,"service_name","tag_name","team_name","source_name","sourcetype_name"
app2bunit,,,,"python_upgrade_readiness_app",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"splunk_archiver",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"splunk_instance_monitoring",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"splunk_instrumentation",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"splunk_rapid_diag",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"cloud-monitoring-console-summarizer",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"skynet-rest",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"splunk_monitoring_console",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
"bunit_allocations",,,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
"bunit_allocations",,,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
"bunit_allocations",,,,,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
"bunit_allocations",,,,,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
"bunit_allocations",,,,,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,email,"wiktor.woolley@gmclab.com",bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,name,"Giddy Up",bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,provenance,"UI:Dashboard:chargeback_app_splunk_cloud_chargeb",bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"search_string","*index=infra_alerts*",bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"search_type","datamodel_acceleration",bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,title,"Herder of Helpless People",bunit6,division1,department6,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,type,Contractor,bunit7,division2,department7,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"workload_pool","high_perf",bunit8,division3,department8,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"search_string","*index=_audit sid trigger_time action=alert_*(expiration>*expiration=*",Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"search_string","*rest splunk_server=local /services/server/info | return splunk_server', incomplete_bucket_maps*",Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
custom2bunit,,,,,,,,,"search_string","| rest splunk_server=* services/*ura_latest_report*",Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
"division_2_bunit",,,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
"division_2_bunit",,,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
"division_2_bunit",,,,,,,,,,,bunit3,"division_starting_with*",department3,,,,,,,,,,,,,,,,,,,,
"division_2_bunit",,,,,,,,,,,bunit4,"*division_ending_with",department4,,,,,,,,,,,,,,,,,,,,
"division_2_bunit",,,,,,,,,,,bunit5,"*division_containing*",department5,,,,,,,,,,,,,,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,DDAA,,,,,,10,10,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,DDAS,,,,,,10,10,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,SmartStore,,,,,,10,10,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,DDSS,,,,,,10,10,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,INGEST,,,,,,10,10,,,,,,,
entitlements,,,,,,,,,,,,,,,,,,,SVC,,,,,,10,10,,,,,,,
host2bunit,,,,,,,hostname1,label1,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
host2bunit,,,,,,,hostname2,label2,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
host2bunit,,,,,,,hostname3,label3,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
host2bunit,,,,,,,hostname4,label4,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
host2bunit,,,,,,,hostname5,label5,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
index2bunit,,,,,,index1,,,,,bunit1,division1,department1,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"shared_index1",,,,,bunit1,division1,department1,,,,50,,,,,,,,,,,,,,,,
index2bunit,,,,,,index2,,,,,bunit2,division2,department2,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"shared_index1",,,,,bunit2,division2,department2,,,,50,,,,,,,,,,,,,,,,
index2bunit,,,,,,"indexs_starting_with*",,,,,bunit3,division3,department3,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"*indexs_ending_with",,,,,bunit4,division4,department4,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"*indexs_containing*",,,,,bunit5,division5,department5,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"chargeback_summary",,,,,Splunk,Splunk,Splunk,"Shared Cost",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"chargeback_summary",,,,,Splunk,Splunk,Splunk,"Shared Cost",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"index_utilization_summary",,,,,Splunk,Splunk,Splunk,"Shared Cost",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_grouped_alerts",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_import_objects",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_notable_archive",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_notable_audit",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_summary",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_summary_metrics",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"itsi_tracked_alerts",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,default,,,,,,,,"main index",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"sim_metrics",,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,snmptrapd,,,,,,,,"IT Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"access_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"anomaly_detection",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"audit_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"cim_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"endpoint_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"gia_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"infra_alerts",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,ioc,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"malware_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"network_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,notable,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"notable_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,pci,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"pci_posture_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"pci_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"proxy_center_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,risk,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"sequenced_events",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"threat_activity",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"traffic_center_summary",,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,ubaroute,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,ueba,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,whois,,,,,,,,"Security Operations",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,summary,,,,,,,,"Shared Cost",,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"_metrics",,,,,,,,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"_metrics_rollup",,,,,,,,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"em_meta",,,,,,,,,,,100,,,,,,,,,,,,,,,,
index2bunit,,,,,,"em_metrics",,,,,,,,,,,100,,,,,,,,,,,,,,,,
job2bunit,,,,,job1,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,job2,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"jobs_starting_with*",,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"*jobs_ending_with",,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"*jobs_containing*",,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"instrumentation.usage.*",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"Telemetry - AWS Security and CWL Input Snapshot",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"RapidDiag Telemetry: *",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"HEC Token Sync",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Total Page Views",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Scheduled Search Skip Ratio",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Long Running Searches",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Distinct Users",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Distinct Apps",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM Splunkd - Data Parsing Issues",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM SVC - Log Data",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM SS - SAML Authentication Check",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM SS - SAML Algorithm Compatibility",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
job2bunit,,,,,"SIM - Total Searchable Index Data",,,,,,Splunk,Splunk,Splunk,,,,,,,,,,,,,,,,,,,,
manager2bunit,,manager1,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
manager2bunit,,manager2,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
manager2bunit,,"managers_starting_with*",,,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
manager2bunit,,"*managers_ending_with",,,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
manager2bunit,,"*managers_containing*",,,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
role2bunit,,,role1,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,,,
role2bunit,,,role2,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,,,
role2bunit,,,"roles_starting_with*",,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,,,
role2bunit,,,"*roles_ending_with",,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,,,
role2bunit,,,"*roles_containing*",,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,,,
service2bunit,,,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,service1,,,,
service2bunit,,,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,service2,,,,
service2bunit,,,,,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,"services_starting_with*",,,,
service2bunit,,,,,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,"*services_ending_with",,,,
service2bunit,,,,,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,"*services_containing*",,,,
source2bunit,,,,,,,,,,,bunit1,division1,department1,,,,100,,,,,,,,,,,,,,,source1,
source2bunit,,,,,,,,,,,bunit2,division2,department2,,,,100,,,,,,,,,,,,,,,source2,
source2bunit,,,,,,,,,,,bunit3,division3,department3,,,,100,,,,,,,,,,,,,,,"sources_starting_with*",
source2bunit,,,,,,,,,,,bunit4,division4,department4,,,,100,,,,,,,,,,,,,,,"*sources_ending_with",
source2bunit,,,,,,,,,,,bunit5,division5,department5,,,,100,,,,,,,,,,,,,,,"*sources_containing*",
sourcetype2bunit,,,,,,,,,,,bunit1,division1,department1,,,,100,,,,,,,,,,,,,,,,sourcetype1
sourcetype2bunit,,,,,,,,,,,bunit2,division2,department2,,,,100,,,,,,,,,,,,,,,,sourcetype2
sourcetype2bunit,,,,,,,,,,,bunit3,division3,department3,,,,100,,,,,,,,,,,,,,,,"sourcetypes_starting_with*"
sourcetype2bunit,,,,,,,,,,,bunit4,division4,department4,,,,100,,,,,,,,,,,,,,,,"*sourcetypes_ending_with"
sourcetype2bunit,,,,,,,,,,,bunit5,division5,department5,,,,100,,,,,,,,,,,,,,,,"*sourcetypes_containing*"
tag2bunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag2bunit,,,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,tag1,,,
tag2bunit,,,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,tag2,,,
tag2bunit,,,,,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,"tag_starting_with*",,,
tag2bunit,,,,,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,"*tag_ending_with",,,
tag2bunit,,,,,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,"*tag_containing*",,,
team2bunit,,,,,,,,,,,bunit1,division1,department1,,,,,,,,,,,,,,,,,,team1,,
team2bunit,,,,,,,,,,,bunit2,division2,department2,,,,,,,,,,,,,,,,,,team2,,
team2bunit,,,,,,,,,,,bunit3,division3,department3,,,,,,,,,,,,,,,,,,"teams_starting_with*",,
team2bunit,,,,,,,,,,,bunit4,division4,department4,,,,,,,,,,,,,,,,,,"*teams_ending_with",,
team2bunit,,,,,,,,,,,bunit5,division5,department5,,,,,,,,,,,,,,,,,,"*teams_containing*",,
user2bunit,user1,,,,,,,,,,bunit1,division1,department1,,,,,fullname1,Employee,,Active,,,,,,,,,,,,
user2bunit,user2,,,,,,,,,,bunit2,division2,department2,,,,,fullname2,Contractor,,Active,,,,,,,,,,,,
user2bunit,"users_starting_with*",,,,,,,,,,bunit3,division3,department3,,,,,fullname3,Service,,Active,,,,,,,,,,,,
user2bunit,"*users_ending_with",,,,,,,,,,bunit4,division4,department4,,,,,fullname4,Vendor,,Active,,,,,,,,,,,,
user2bunit,"*users_containing*",,,,,,,,,,bunit5,division5,department5,,,,,fullname5,Service,,Active,,,,,,,,,,,,
user2bunit,support,,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Splunk Support",Vendor,,Active,,,,,,,,,,,,
user2bunit,"int_*",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"SplunkCloud Emphermal Admin Creds",Vendor,,Active,,,,,,,,,,,,
user2bunit,"app-installer",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Splunk Whisper App Installer",Service,,Active,,,,,,,,,,,,
user2bunit,"internal_automation",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Cloud Password Manager User",Service,,Active,,,,,,,,,,,,
user2bunit,"internal_monitoring",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Cloud Monitoring User",Service,,Active,,,,,,,,,,,,
user2bunit,"internal_observability",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Cloud Observability user",Service,,Active,,,,,,,,,,,,
user2bunit,"index-manager",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"Cloud Administration Manager",Service,,Active,,,,,,,,,,,,
user2bunit,"internal_ops_admin",,,,,,,,,,Splunk,Splunk,Splunk,,,,,"SplunkCloud Operations Admin",Service,,Active,,,,,,,,,,,,
user2bunit,"splunk-system-user",,,,,,,,,,,,,,,,,"Service Account (Do not assign a bunit)",Service,,Active,,,,,,,,,,,,
user2bunit,admin,,,,,,,,,,,,,,,,,"Splunk Admin User (Do not assign a bunit)",Service,,Active,,,,,,,,,,,,
