Attack_Description,Attack_Severity
XDOS_MAX_ELEMENTS,HIGH
XDOS_MAX_ATTRIBUTES,HIGH
XDOS_MAX_ATTRIBUTE_NAME_LENGTH,HIGH
XDOS_MAX_ATTRIBUTE_VALUE_LENGTH,HIGH
XDOS_MAX_NODES,HIGH
XDOS_CDATA_LENGTH,HIGH
XDOS_MAX_FILE_SIZE,HIGH
XDOS_MIN_FILE_SIZE,HIGH
XDOS_MAX_ELEMENT_CHILDREN,HIGH
XDOS_DTD,HIGH
XDOS_PI,HIGH
XDOS_EXT_ENTITY,HIGH
XDOS_MALFORMED,HIGH
XMLFW_UNKNOWN,HIGH
XML_VALIDATION_WSDL_SOAP_ENVELOPE,HIGH
XML_VALIDATION_WSDL_SOAP_BODY,HIGH
XML_VALIDATION_WSDL_SOAP_HEADERS,HIGH
XML_VALIDATION_WSDL_SOAP_UNKNOWN_HEADERS,HIGH
XML_WSI_ASSERTION_FAILURE,HIGH
XML_SOAP_OPERATION_DENY,HIGH
XML_SOAP_PORT_DENY,HIGH
XML_SCHEMA_TIGHTENING_INPUT_VALIDATION,HIGH
XML_SCHEMA_TIGHTENING_SQL_INJECTION,HIGH
XML_SCHEMA_TIGHTENING_XSS_PATTERN,HIGH
XML_SCHEMA_TIGHTENING_OS_CMD_INJECTION,HIGH
XML_SCHEMA_TIGHTENING_DIRECTORY_TRAVERSAL,HIGH
XML_SCHEMA_TIGHTENING_RFI_VIOLATION,HIGH
XML_SCHEMA_TIGHTENING_ATTACK_PATTERN,HIGH
VIRUS_IN_POST_REQUEST,HIGH
XML_WSI1001,HIGH
XML_WSI1002,HIGH
XML_WSI1003,HIGH
XML_WSI1004,HIGH
XML_WSI1005,HIGH
XML_WSI1006,HIGH
XML_WSI1007,HIGH
XML_WSI1008,HIGH
XML_WSI1009,HIGH
XML_WSI1010,HIGH
XML_WSI1011,HIGH
XML_WSI1012,HIGH
XML_WSI1013,HIGH
XML_WSI1031,HIGH
XML_WSI1032,HIGH
XML_WSI1033,HIGH
XML_WSI1100,HIGH
XML_WSI1101,HIGH
XML_WSI1103,HIGH
XML_WSI1104,HIGH
XML_WSI1107,HIGH
XML_WSI1109,HIGH
XML_WSI1110,HIGH
XML_WSI1111,HIGH
XML_WSI1116,HIGH
XML_WSI1201,HIGH
XML_WSI1202,HIGH
XML_WSI1203,HIGH
XML_WSI1204,HIGH
XML_WSI1208,HIGH
XML_WSI1211,HIGH
XML_WSI1301,HIGH
XML_WSI1302,HIGH
XML_WSI1305,HIGH
XML_WSI1306,HIGH
XML_WSI1307,HIGH
XML_WSI1308,HIGH
XML_WSI1309,HIGH
XML_WSI1316,HIGH
XML_WSI1318,HIGH
XML_WSI1601,HIGH
XML_WSI1701,HIGH
XML_VALIDATION_FAILED,HIGH
XML_VALIDATION_LOADING,HIGH
XML_VALIDATION_INV_ELEMENT,HIGH
XML_VALIDATION_INV_DTYPE,HIGH
XML_VALIDATION_NO_SUPPORT,HIGH
XML_VALIDATION_CONTENT_MODEL_VIOLATED,HIGH
XML_VALIDATION_INV_FILE,HIGH
XML_VALIDATION_COMPILED_WSDL,HIGH
XML_VALIDATION_INV_COMPILED_WSDL,HIGH
XML_VALIDATION_ATTR_MAX_OCCURS,HIGH
XML_VALIDATION_ATTR_MIN_OCCURS,HIGH
XML_VALIDATION_UNBOUNDED_PREFIX,HIGH
XML_VALIDATION_INV_CONTENT_MODEL,HIGH
XML_VALIDATION_DTYPE_ENG_INIT,HIGH
XML_VALIDATION_INV_ATTR,HIGH
XML_VALIDATION_ERR_MAX,HIGH
XML_VALIDATION_CORRUPT_COMPILED_WSDL,HIGH
XML_VALIDATION_INTERNAL,HIGH
XML_VALIDATION_INV_XPATH,HIGH
XML_VALIDATION_READ_FAILED,HIGH
XML_VALIDATION_STREAM_PUSH,HIGH
XML_VALIDATION_STREAM_POP,HIGH
XML_VALIDATION_CORRUPT_SCHEMA,HIGH
XML_VALIDATION_PREFIX_LEN_EXCEEDED,HIGH
XML_VALIDATION_INV_COMBINATION,HIGH
XML_VALIDATION_NO_SRV_URL,HIGH
XML_VALIDATION_INV_TYPE_SUBSTITUTION,HIGH
XML_VALIDATION_ABSTRACT_TYPE,HIGH
XML_VALIDATION_ABSTRACT_ELM,HIGH
XML_VALIDATOR_FAILED,HIGH
XML_VALIDATOR_INV_DTYPE,HIGH
XML_VALIDATOR_ATTR_REQ,HIGH
XML_VALIDATOR_INV_ATTRVAL,HIGH
XML_VALIDATOR_INV_NODE,HIGH
XML_VALIDATOR_INV_ELM_LOC,HIGH
XML_VALIDATOR_WSDL_COMP,HIGH
XML_VALIDATOR_SCHEMA_COMP,HIGH
XML_VALIDATOR_ELM_INV_DTYPE_VAL,HIGH
XML_VALIDATOR_LIST_LEN_GT_MAX,HIGH
XML_VALIDATOR_LIST_LEN_LT_MIN,HIGH
XML_VALIDATOR_LIST_LEN_INV,HIGH
XML_VALIDATOR_FACET_MISMATCH,HIGH
XML_VALIDATOR_NIL_WITH_CONTENTS,HIGH
XML_VALIDATOR_CONTENTS_CANNOT_BE_NIL,HIGH
XML_VALIDATOR_INV_VAL_FOR_FIXED,HIGH
VIRUS_SCAN,HIGH
SECURE_BROWSING,HIGH
XECUREWEB_ACCESS,HIGH
SLOWLORIS_ATTACK,HIGH
