field,type,sourcetype,areas,pulldown_type,description
destVideoCap_Resolution_Channel2_description,categorical,cucm_cdr,video,,"(added by the app) This field identifies the video resolution for the second video channel. (0 = Nothing/default, 1 = SQCIF, 2 = QCIF, 3 = CIF, 4 = CIF4, 5 = CIF16, 6 = H263 custom resolution, 7 = W360P, 8 = VGA, 9 = W448P, 10 = HD720P, 11 = HD1080P, 12 = CIF2 )"
destVideoCap_Resolution_description,categorical,cucm_cdr,video,,"(added by the app) The human-readable version of the video resolution. (0 = Nothing/default, 1 = SQCIF, 2 = QCIF, 3 = CIF, 4 = CIF4, 5 = CIF16, 6 = H263 custom resolution, 7 = W360P, 8 = VGA, 9 = W448P, 10 = HD720P, 11 = HD1080P, 12 = CIF2 )"
destVideoChannel_Role_Channel2,categorical,cucm_cdr,video,,"This field identifies the H.239 video channel role of the device that receives the call. Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0."
destVideoCodec,categorical,cucm_cdr,codecs video,,"For video calls, represents the codec used by the destination device. For audio calls this field will be empty."
destVideoTransportAddress_IP,categorical,cucm_cdr,network video,,The IP address of the device that receives the call.
destVideoTransportAddress_IP_Channel2,categorical,cucm_cdr,network video,,"This field identifies the v4 IP address of the device that receives the call. Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0"
destVideoTransportAddress_Port,categorical,cucm_cdr,network video,,The video RTP port that is associated with the destVideoTransportAddress_IP field.
destVideoTransportAddress_Port_Channel2,categorical,cucm_cdr,network video,,"This field identifies the video RTP port associated with the destH239VideoTransportAddress_IP field. Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0."
device_name,categorical,cucm_cdr,devices,,"(added by the app) A useful field for broad filtering and reporting by device_name, this field is generally multivalue and contains both the origDeviceName value and the destDeviceName value."
device_type,categorical,cucm_cdr,core devices,explicitSPL,"(added by the app) This field will combine the values of orig_device_type and dest_device_type, and if both are defined, it will have both values (ie it will be a multivalue field)."
deviceClassName,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDeviceClassName and destDeviceClassName fields.
deviceDescription,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDeviceDescription and destDeviceDescription fields.
deviceDirectoryNumber,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDeviceDirectoryNumber and destDeviceDirectoryNumber fields.
deviceName,categorical,cucm_cdr,devices,,"The deviceName reported in the CMR.  This may be useful in some corner cases, but you should probably look at origDeviceName, destDeviceName and device_name, which are the fields from the CDR."
devicePool,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDevicePool and destDevicePool fields.
deviceProtocol,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDeviceProtocol and destDeviceProtocol fields.
deviceSubclassName,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origDeviceSubclassName and destDeviceSubclassName fields.
directoryNum,categorical,cucm_cdr,core,,"Present only in the CMR, this field specifies the directory number of the device from which the given call diagnostics are collected. Do not use as a substitute for callingPartyNumber, finalCalledPartyNumber etc.."
directoryNumPartition,categorical,cucm_cdr,parties,,"Present only in the CMR, this identifies the partition of the directory number from which the given call diagnostics are collected. May be empty if no partition exists.  Do not use as a substitute for callingPartyNumberPartition,  finalCalledPartyNumberPartition, etc."
disconnect_text,categorical,cube_cdr,cube reference,,ASCII text describing the reason for call termination.
dnis,categorical,cube_cdr,cube parties,,Called number.
DropConfRequestorDn,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the DN of the party that removed/dropped a given participant "
DropConRequestorDeviceName,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the deviceName of the party that removed/dropped a given participant "
DSCP,categorical,cucm_cdr,network video,,Useful in verifying the DSCP value of the received video stream marked by endpoint.
DSCPunad,categorical,cucm_cdr,network video,,Useful in verifying the DSCP value of the received video stream marked by endpoint.
dsp_id,categorical,cube_cdr,cube reference,,DSP ID used for the current call.
duration,numeric,"cucm_cdr,cube_cdr,cms_cdr",core time,,"The difference between the Connect Time and Disconnect Time. This field is defined on each call leg, and specifies the time that the call leg remained connected, in seconds. This field remains zero if the call never connects or if it connects for less than 1 second.  NOTE: For calls with multiple legs, statistics like average duration will treat each call leg of each call separately and as such may give unexpected results. Always consider whether you need the duration, duration_total or duration_elapsed field for your report"
duration_elapsed,numeric,"cucm_cdr,cube_cdr",core time,explicitSPL,"This field is specified for each call, and it specifies the number of seconds from the connect_time of the earliest call leg to connect,  to the disconnect time of the last call leg to disconnect."
duration_in_minutes,numeric,"cucm_cdr,cube_cdr",core time,,"(added by the app) This is just the duration in seconds, divided by 60 and rounded to two decimal places. See duration for more details."
duration_total,numeric,"cucm_cdr,cube_cdr",core time,explicitSPL,"This field is specified for each call and specifies the sum of the duration of the individual call legs comprising that call, in seconds.   If the call legs are all exactly in sequence, it will be a very strong intuitive 'length of the call' measure. For conference calls however, note that this field value will in general be much longer than the 'duration_elapsed' field value."
early_packets,numeric,cube_cdr,cube network,,Number of received voice packets that arrived too early to store in the jitter buffer during the call.
external_party_number,categorical,"cucm_cdr,cube_cdr",core parties,explicitSPL,"(added by the app) This represents the party numbers that are actually external DN's,  ie on the external side of the call."
faxrelay_direction,categorical,cube_cdr,cube routing,,Whether a fax was originated (transmit) or terminated (receive) by this gateway.
faxrelay_ecm_status,categorical,cube_cdr,cube quality,,Whether error correction mode is enabled.
faxrelay_encap_protocol,categorical,cube_cdr,cube network,,Encapsulation protocol used for fax transfer.
faxrelay_fax_success,categorical,cube_cdr,cube call_release_codes,,"Whether fax transfer was successful, the transfer failed, or indeterminate."
faxrelay_init_hs_mod,categorical,cube_cdr,cube codecs,,Initial high-speed modulation and baud rate negotiated at the time the call is connected.
faxrelay_jit_buf_ovflow,numeric,cube_cdr,cube network quality,,Number of jitter buffer overflow events during the call.
faxrelay_max_jit_buf_depth,numeric,cube_cdr,cube network quality,,"Depth of the jitter buffer, in ms."
faxrelay_mr_hs_mod,categorical,cube_cdr,cube codecs,,Most recent high-speed modulation and baud rate.
faxrelay_nsf_country_code,categorical,cube_cdr,cube routing,,"NSF country code of local fax device; country name per T.35, Annex A."
faxrelay_nsf_manuf_code,categorical,cube_cdr,cube routing,,NSF manufacturer code of local fax device.
faxrelay_num_pages,numeric,cube_cdr,cube reference,,Sum of the number of transmitted and received fax pages.
faxrelay_pkt_conceal,numeric,cube_cdr,cube quality,,Packet loss concealment; number of white scan lines inserted (nonzero for outbound gateway only).
faxrelay_rx_packets,numeric,cube_cdr,cube network,,Number of packets received.
faxrelay_start_time,time,cube_cdr,cube time,,Fax start time in a call. There can be multiple fax start/stop time stamps in one call. Recorded for both VoIP and telephony call legs.
faxrelay_stop_time,time,cube_cdr,cube time,,Fax stop time in a call. There can be multiple fax start/stop time stamps in one call. Recorded for both VoIP and telephony call legs.
faxrelay_tx_packets,numeric,cube_cdr,cube network,,Number of packets transmitted.
feature_id,categorical,cube_cdr,cube reference,,Feature ID of the invocation. Identifies a unique instance of a feature attribute within a gateway. This number is incremented for each added feature attribute.
feature_id_field1,categorical,cube_cdr,cube reference,,"Feature name. Two-Way Call (TWC), Call Forward All (CFA), Call Forward Busy (CFBY), Call Forward No Answer (CFNA), Blind Transfer (BXFER), Consultive Transfer (CXFER), Hold (HOLD), Resume (RESUME)."
feature_id_field10,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is not used.  When CFA, CFNA or CFBY it is the forwarded number (fwdee).  When BXFER or CXFER, it is the transferred from party (Xor or transferor).  When HOLD or RESUME it is whether the line is shared or not shared (sl)."
feature_id_field11,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is not used.  When CFA, CFNA or CFBY it is the forwarded to number (fwdto).  When BXFER or CXFER, it is the transferred number (Xee).  When HOLD or RESUME it is the username associated with the phone that initiated the hold or resume (usr)."
feature_id_field12,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is not used.  When CFA, CFNA or CFBY it is the forwarding from number (frm).  When BXFER or CXFER, it is the transferred to party (Xto). When HOLD or RESUME it is the ephone tag of the SCCP phone if the usr field is blank (tag)"
feature_id_field2,categorical,cube_cdr,cube reference,,Feature invocation time.
feature_id_field3,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the calling number.  For all other values of feature_id_field1, this is the feature status (frs)."
feature_id_field4,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the called number.  For all other values of feature_id_field1, this is the feature ID (fid)."
feature_id_field5,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the feature status (frs).  For all other values of feature_id_field1, this is the feature correlation id (fcid)."
feature_id_field6,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the feature ID (fid).  When CFA, CFRNA, CFBY, HOLD, or RESUME it is the legID.  When BXFER or CXFER, it's the XconsID."
feature_id_field7,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the feature correlation id (fcid).  When CFA, CFNA or CFBY it is the forwarding reason (frson).  When BXFER or CXFER, it is the legID. When HOLD or RESUME is it the hold reason (hrson)."
feature_id_field8,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is the legID.  When CFA, CFNA or CFBY it is the forwarding count (fdcnt).  When BXFER or CXFER, it is the forwarding reason (frson). When HOLD or RESUME is it the Directory number of the user who placed the call on hold (holding)."
feature_id_field9,categorical,cube_cdr,cube reference,,"Used in conjunction with feature_id_field1.  When feature_id_field1=TWC, this is not used.  When CFA, CFNA or CFBY it is the forwarded from number (fwder). When BXFER or CXFER, it is the forwarding reason (frson).  When HOLD or RESUME it is the directory number of the caller on hold (held)."
feature_op_status,categorical,cube_cdr,cube reference,,Success (0) or failure (1).
feature_op_time,categorical,cube_cdr,cube reference time,,"Feature operation time. Time stamp of the operation start and stop time, if applicable for a given feature."
feature_operation,categorical,cube_cdr,cube reference,,Feature operation.
finalCalledPartyAreaCode,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the area code of the calledParty in outbound calls.
finalCalledPartyCity,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the city of the finalCalledParty in outbound calls.
finalCalledPartyCLLI,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This identifies the CLLI (Common Language Location Identifier) of the finalCalledParty in outbound calls to US numbers.
finalCalledPartyCompanyName,categorical,cucm_cdr,location,explicitSPL,"(added by the app)  This identifies the company name that the US area code and exchange is associated with, if any."
finalCalledPartyCompanyType,categorical,cucm_cdr,location,explicitSPL,"(added by the app)  This identifies the company type of the finalCalledParty in outbound calls as one of CAP, CLEC, GENERAL, ICO, L RESELLER, PCS, RBOC, ULEC, UNKNOWN, W RESELLER, WIRELESS."
finalCalledPartyCountry,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the country code of the calledParty in outbound calls. This is determined solely by the value that was extracted from finalCalledPartyNumber for finalCalledPartyCountryCode.
finalCalledPartyCountryCode,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the country code of the calledParty in outbound calls.
finalCalledPartyExchange,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the exchange of the calledParty in outbound calls.
finalCalledPartyGroup,categorical,cucm_cdr,parties,,"(added by the app) This will contain the department or group in which the finalCalledPartyNumber is listed.  This field is one of those created by the groups lookup, which runs automatically once created.  See 'App Settings > Groups and extensions' to learn more."
finalCalledPartyLat,numeric,cucm_cdr,location,explicitSPL,"(added by the app) This gives the latitude of the called party.  Depending on whether this is an internal or external party, it might be pulled from the Sites lookup via cidr-matching the IP Address, or it might be pulled from the country as recognized by the parsed finalCalledPartyCountryCode."
finalCalledPartyLATA,categorical,cucm_cdr,location,explicitSPL,(added by the app) This gives the LATA of the finalCalledParty in outbound calls.
finalCalledPartyLong,numeric,cucm_cdr,location,explicitSPL,"(added by the app) This gives the longitude of the called party.  Depending on whether this is an internal or external party, it might be pulled from the Sites lookup via cidr-matching the IP Address, or it might be pulled from the country as recognized by the parsed finalCalledPartyCountryCode."
finalCalledPartyName,categorical,cucm_cdr,parties,,"(added by the app) This will contain the name of the person with the given finalCalledPartyNumber  This field is one of those created by the groups lookup, which runs automatically once created.  See 'App Settings > Groups and extensions'  to learn more."
finalCalledPartyNumber,categorical,"cucm_cdr,cube_cdr",conferencing core parties,,"Number or extension to which the call finally gets presented, until it is answered or rings out. If no forwarding occurs, this number shows the same number as the originalCalledPartyNumber. For calls to a conference bridge, this field contains the actual identifier of the conference bridge, which is an alphanumeric string (for example, b0019901001)."
finalCalledPartyNumberPartition,categorical,cucm_cdr,parties,,"Identifies the partition name that is associated with the FinalCalledPartyNumber field because Cisco Unified Communications Manager supports multiple Cisco Unified IP Phones with the same extension number in different partitions. For calls that egress through an H.323 gateway, this field uniquely specifies the partition name that is associated with the route pattern that points to the gateway."
finalCalledPartyNumberType,categorical,cucm_cdr,parties,explicitSPL,"(created by the app) If it can be determined by the libphonenumbers library, this will identify whether the finalCalledPartyNumber is a fixed line, toll free, mobile number, shared cost, etc..  Contact support@sideviewapps.com if you would like more details"
finalCalledPartyOCN,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This identifies the OCN (Operating Company Number) of the finalCalledParty in outbound calls.
finalCalledPartyPattern,categorical,cucm_cdr,parties,,This is the pattern matched by the finalCalledPartyNumber.
finalCalledPartyState,categorical,cucm_cdr,location,explicitSPL,"(added by the app)  This gives the US state of the finalCalledParty in outbound calls to US numbers, if it can be determined from area code and exchange."
finalCalledPartyStateAbbr,categorical,cucm_cdr,location,explicitSPL,"(added by the app)  This gives the two letter abbreviation of the US state of the finalCalledParty in outbound calls to US numbers, if it can be determined from area code and exchange."
finalCalledPartySubgroup,categorical,cucm_cdr,parties,,"(created by the app, If the groups lookup has been configured to). See the documentation under Setup>Groups. If you set up the groups lookup to have this field in addition to finalCalledPartyGroup, then this field will exist"
finalCalledPartyUnicodeLoginUserID,categorical,cucm_cdr,parties,,"The final called party field specifies the login user ID. If the user ID does not exist, this field stays empty. NOTE: YOUR DATA MAY NOT HAVE ANY VALUES FOR THIS FIELD. IF THAT IS THE CASE THESE EXAMPLE REPORTS WILL NOT WORK."
finalCalledPartyZip,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This gives the zipcode of the finalCalledParty in outbound calls to numbers within the US.
finalMobileCalledPartyNumber,categorical,cucm_cdr,core parties,,"Critical to SNR (Single Number Reach), this field holds the mobile number to which the call ultimately goes to."
from,categorical,cucm_cdr,location,explicitSPL,"(added by the app) Only present in particular views). This field is created by the app in certain views and represents a fairly intelligent merging of location information deduced from the country code,  area code and exchange,  with other information deduced from the IP addresses and relevant subnet from the sites lookup. Users wishing to use this field in their own searches and reports can use this combination of macros to construct the field manually in their data - `get_sites` | `get_locations` | `get_to_and_from`"
gapfill_with_interpolation,numeric,cube_cdr,cube quality,,"Duration, in ms, of the voice signal played out with the signal synthesized from parameters or samples of data preceding and following in time because of voice data not received on time (or lost) from the voice gateway for this call."
gapfill_with_prediction,numeric,cube_cdr,cube quality,,"Duration, in ms, of voice signal played out with signal synthesized from parameters or samples of data preceding in time because of voice data not received on time (or lost) from voice gateway for this call."
gapfill_with_redundancy,numeric,cube_cdr,cube quality,,"Duration, in ms, of the voice signal played out with signal synthesized from redundancy parameters available because of voice data not received on time (or lost) from the voice gateway for this call."
gapfill_with_silence,numeric,cube_cdr,cube quality,,"Duration, in ms, of the voice signal replaced with the signal played out during silence because of voice data not received on time (or lost) from the voice gateway for this call"
gateway,categorical,cucm_cdr,core,,"(added by the app) This field holds the names of the gateways used in the call, and is essentially the union of the orig_gateway and dest_gateway fields."
gk_xlated_cdn,categorical,cube_cdr,cube routing,,Called number presented by the gatekeeper in the ACF RAS message. GK/GKTMP could modify the called number by appending a prefix or leave it unchanged.
gk_xlated_cgn,categorical,cube_cdr,cube routing,,Calling number presented by the gatekeeper in the ACF RAS message. The GK/GKTMP could modify the calling number which is carried in the ACF nonstandard parameter.
globalCallID_callId,categorical,"cucm_cdr,cucm_cmr",core,,"Although you can think of this as a unique ID for calls, the 'global' is a misnomer in that this field is technically only unique within a given globalCallId_ClusterID and within a given globalCallID_callManagerID"
globalCallID_callManagerId,categorical,"cucm_cdr,cucm_cmr",core,,Represents the CM server/node associated with the call.
globalCallId_ClusterID,categorical,"cucm_cdr,cucm_cmr",core,,A unique ID that identifies a cluster of Cisco Unified Communications Managers. The field is generated at installation and is not used by Cisco Unified Communications Manager.
group,categorical,cucm_cdr,parties,explicitSPL,"(added by the app) This field represents the union of the callingPartyGroup, originalCalledPartyGroup and finalCalledPartyGroup, as looked up in the groups lookup, for the given call leg or for all call legs in the given call. "
gtd_gw_rxd_cnn,categorical,cube_cdr,cube routing,,GTD connected number.
gtd_gw_rxd_ocn,categorical,cube_cdr,cube routing,,Original calling number received by the gateway.
gtd_orig_cic,categorical,cube_cdr,cube routing,,"Originating carrier identification code, used in routing to identify the network."
gtd_term_cic,categorical,cube_cdr,cube routing,,Terminating carrier identification code.
gw_collected_cdn,categorical,cube_cdr,cube routing,,Destination number collected by the gateway (application) that is used to route the call. Only applicable for 2-stage calls.
gw_final_xlated_cdn,categorical,cube_cdr,cube routing parties,,Called number to be sent out of the gateway.
gw_final_xlated_cgn,categorical,cube_cdr,cube routing parties,,Calling number to be sent out of the gateway.
gw_final_xlated_rdn,categorical,cube_cdr,cube routing parties,,Final translated received number.
gw_rxd_cdn,categorical,cube_cdr,cube routing parties,,Called number received in the incoming signaling message before any translation rules are applied.
gw_rxd_cgn,categorical,cube_cdr,cube routing parties,,Calling number received in the incoming signaling message before any translation rules are applied.
gw_rxd_rdn,categorical,cube_cdr,cube routing,,Redirection number received by the gateway.
h323_call_origin,categorical,cube_cdr,cube routing,,"Gateway's behavior in relation to the connection that is active for this leg.  Answer= Legs 1 and 3, originate= Legs 2 and 4, callback = Legs 1 and 3."
h323_conf_id,categorical,cube_cdr,cube reference,,Unique call identifier generated by the gateway. Used to identify the separate billable events (calls) within a single calling session.
h323_connect_time,categorical,cube_cdr,cube time,,"Connect time in NTP format: hour, minutes, seconds, microseconds, time_zone, day, month, day_of_month, year."
h323_disconnect_cause,categorical,cube_cdr,cube call_release_codes,,Q.931 disconnect cause code retrieved from Cisco IOS call-control application programming interface (Cisco IOS CCAPI).
h323_disconnect_time,categorical,cube_cdr,cube time,,"Disconnect time in NTP format: hour, minutes, seconds, microseconds, time_zone, day, month, day_of_month, year."
h323_ivr_out,categorical,cube_cdr,cube reference,,AV pairs sent from the voice gateway to the RADIUS server that you can define. You can set (write) the value with a customized Tcl IVR script.
h323_setup_time,categorical,cube_cdr,cube time,,"Setup time in Network Time Protocol (NTP) format: hour, minutes, seconds, microseconds, time_zone, day, month, day_of_month, year."
h323_voice_quality,categorical,cube_cdr,cube quality,,Value representing impairment/calculated planning impairment factor (ICPIF) of the voice quality on the connection provided by lower-layer drivers (such as the digital-signal-processor). Low numbers represent better quality.
hiwater_playout_delay,numeric,cube_cdr,cube quality,,High-water mark voice playout FIFO delay during the voice call.
hour_of_day,categorical,ALL,core,,"(added by the app) This field represents the hour of the day as calculated in the timezone of the Splunk server. Values are two digit numbers eg:  00,01,.... 22,23"
huntPilotDN,categorical,cucm_cdr,parties,,"(modified by the app) This may be reliably present in the CDR directly.  However if the huntPilotDN field is not populated, and the calledPartyPatternUsage is 7, the app will set this field to the value of the finalCalledPartyNumber, as per Cisco's docs on the matter."
huntPilotGroup,categorical,cucm_cdr,parties,,"(added by the app) This will contain the department or group that is listed for the huntPilotDN, if any.  This field is one of those created by the groups lookup, which runs automatically once created.  See 'App Settings > Groups and extensions' to learn more."
huntPilotName,categorical,cucm_cdr,parties,,"(added by the app) This will contain the name that is listed for the huntPilotDN, if any.  This field is one of those created by the groups lookup, which runs automatically once created.  See 'App Settings > Groups and extensions' to learn more."
huntPilotPartition,categorical,cucm_cdr,parties,,Specifies the partition for the hunt pilot DN.
huntPilotPattern,categorical,cucm_cdr,parties,,This field is populated only when the HuntPilot member answers the call which is placed either directly or as a result of redirection to the huntPilot.
huntPilotSubgroup,categorical,cucm_cdr,parties,,"(added by the app) This will contain the subgroup that is listed for the huntPilotDN, if any.  This field is one of those created by the groups lookup, which runs automatically once created. See 'App Settings > Groups and extensions' to learn more."
ICR,numeric,cucm_cmr,quality,,Interval Conceal Ratio - an interval-based average concealment rate that is the ratio of concealment time over speech time for the last 3 seconds of active speech.
ICRmx,numeric,cucm_cmr,quality,,Interval Conceal Ratio Max represents the maximum concealment ratio that is observed during the call.
in_carrier_id,categorical,cube_cdr,cube routing,,Carrier ID of the trunk group through which the call arrived or the partnering voice service provider identifier of the incoming VoIP call.
in_intrfc_desc,categorical,cube_cdr,cube routing,,Description assigned to the voice port of the incoming call.
in_trunkgroup_label,categorical,cube_cdr,cube routing,,Trunk group label associated with the group of voice ports from which the incoming TDM call arrived on the gateway.
incoming_area,categorical,cube_cdr,cube routing,,"Gatekeeper identifier, or the source zone or area, of the incoming VoIP call."
incoming_call_reference_id,categorical,cucm_cdr,core,,(added by the app)  Used by the app internally to correlate CallManager CDR records with CUBE CDR records.  This is extracted from the ProtocolCallRefId fields
IncomingProtocolCallRef,categorical,cucm_cdr,core,,Identifies the globally unique call reference identification for the protocol. The value is received from the upstream voice product. The value is alphanumeric and truncated to 32 characters.
IncomingProtocolID,categorical,cucm_cdr,core,,"This field identifies the protocol (SIP, H.323, CTI/JTAPI, or Q.931) used between Cisco Unified CM and the upstream voice product in the call path. (0 = Unknown, 1 = SIP, 2 = H323, 3 = CTI/JTAPI, 4 = Q931)"
IncomingProtocolID_description,categorical,cucm_cdr,network,,"(added by the app) English Language version of the protocol (SIP, H.323, CTI/JTAPI, or Q.931) used between Cisco Unified CM and the upstream voice product in the call path."
info_type,categorical,cube_cdr,cube codecs,,"Type of information carried by media. 1=Other 9 not described, 2=Speech, 3=UnrestrictedDigital, 4=UnrestrictedDigital56 (Unrestricted Digital with 56k rate), 5=RestrictedDigital, 6=Audio31 (3.1 kHz audio), 7=Audio, 8=Video, 9=PacketSwitched, 10=FAX."
initial_type,categorical,cucm_cdr,core,explicitSPL,"(added by the app) This represents whether the very first call leg was internal, incoming, outgoing or tandem.  With very complex call flow, an incoming call might then have a number of internal legs later on.   This field can therefore be more useful as a split-by or group-by field, since it will always be single-valued"
initialCalledPartyGroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the group of the user associated with the finalCalledPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the group of the user associated with the finalCalledPartyNumber.
initialCalledPartyName,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the name of the user associated with the finalCalledPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the name of the user associated with the finalCalledPartyNumber.
initialCalledPartyNumber,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the finalCalledPartyNumber of the first call leg in a multi leg call. For single-leg calls it will simply be the finalCalledPartyNumber itself
initialCalledPartySubgroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the subgroup of the user associated with the finalCalledPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the subgroup of the user associated with the finalCalledPartyNumber.
initialCallingPartyGroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the group of the user associated with the callingPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the group of the user associated with the callingPartyNumber.
initialCallingPartyName,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the name of the user associated with the callingPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the name of the user associated with the callingPartyNumber.
initialCallingPartyNumber,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the callingPartyNumber of the first call leg in a multi leg call. For single-leg calls it will simply be the callingPartyNumber itself
initialCallingPartySubgroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the subgroup of the user associated with the callingPartyNumber on the initial call leg in a multi leg call. For single-leg calls it will simply be the subgroup of the user associated with the callingPartyNumber.
internal_device_name,categorical,cucm_cdr,devices core,,(added by the app) This field will combine the values of origDeviceName and destDeviceName but only for non-gateway devices. Useful for doing device utilization reports.
internal_device_type,categorical,cucm_cdr,devices core,,(added by the app) This field will combine the values of orig_device_type and dest_device_type but only for non-gateway devices. Useful for doing device utilization reports.
internal_error_code,categorical,cube_cdr,cube call_release_codes,,Cause of failed calls.
internal_party_number,categorical,cucm_cdr,parties core,explicitSPL,"(added by the app) This field will hold the party number(s) on the internal side of each call leg.  In other words for internal call legs it will have callingPartyNumber, originalCalledPartyNumber AND finalCalledPartyNumber."
ip_addr,categorical,cucm_cdr,core,explicitSPL,(added by the app) This field represents the union of all the ip address fields in the given calls and call legs.
ip_hop,categorical,cube_cdr,cube network,,Maximum number of hops in the SIP invite message.
jitter,numeric,cucm_cmr,quality,,"An estimate of the statistical variance of the RTP data packet interarrival time, measured in milliseconds and expressed as an unsigned integer. The interarrival jitter J specifies the mean deviation (smoothed absolute value) of the difference D in packet spacing at the receiver, compared to the sender for a pair of packets. RFC 1889 contains detailed computation algorithms. The value remains zero if the connection was set in 'send only' mode."
joinOnBehalfOf,categorical,cucm_cdr,on_behalf_of_codes,,"The reason for a join. For example, if the join takes place on behalf of a transfer, the OnBehalfOf code specifies '10'."
joinOnBehalfOf_description,categorical,cucm_cdr,on_behalf_of_codes,,(added by the app) The english names of the OnBehalfOf code specified in the call leg's joinOnBehalfOf value.
lastRedirectDn,categorical,cucm_cdr,parties redirection conferencing,,"For forwarded calls, This field specifies the phone number of the next to last hop before the call reaches its final destination. If only one hop occurs, this number matches the OriginalCalledPartyNumber. For calls that are not forwarded, this field matches the OriginalCalledPartyNumber and the FinalCalledPartyNumber. For calls to a conference bridge, this field contains the actual identifier of the conference bridge, which is an alphanumeric string (for example, b0019901001). If the call is never redirected, this field remains empty."
lastRedirectDnPartition,categorical,cucm_cdr,parties redirection,,"Identifies the partition name that is associated with the LastRedirectDn field because Cisco Unified Communications Manager supports multiple Cisco Unified IP Phones with the same extension number in different partitions. For calls that egress through an H.323 gateway, this field specifies the partition name that is associated with the route pattern that points to the gateway. "
lastRedirectingPartyPattern,categorical,cucm_cdr,parties redirection,,This is the pattern matched by the lastRedirectDn field.
lastRedirectingRoutingReason,categorical,cucm_cdr,redirection,,This field is used with CUCM's external call control feature and represents the reason why the call was intercepted for the last time.
lastRedirectingRoutingReasonName,categorical,cucm_cdr,redirection,,(added by the app) This is the name corresponding to the lastRedirectingRoutingReason code.  ie lastRedirectingRoutingReason 5 corresponds to PDPDecision_Forward_Fulfilled.
lastRedirectRedirect_description,categorical,cucm_cdr,redirection,,(added by the app) This is the readable description of the code specified in the lastRedirectRedirectReason field.
lastRedirectRedirectOnBehalfOf,categorical,cucm_cdr,on_behalf_of_codes redirection,,"The reason for redirection of the last redirected party. For example, if the last redirected party was redirected on behalf of a conference, the OnBehalfOf code specifies '4'."
lastRedirectRedirectOnBehalfOf_description,categorical,cucm_cdr,on_behalf_of_codes redirection,,(added by the app) The readable name of the reason why the last redirected party was redirected. See the field 'lastRedirectRedirectOnBehalfOf'.
lastRedirectRedirectReason,categorical,cucm_cdr,redirection,,The last redirect reason for redirection.
late_packets,numeric,cube_cdr,cube network quality,,Number of received voice packets that arrived too late to play out with the codec during the call.
