macro,definition,"_timediff",eventtypeId,productId,source,sourcetype,"total_rows"
"cisco_networks","eventtype=cisco_ios","","VendorSpecific-cisco-ios","Cisco__IOS","","eventtype=cisco_ios",109
"cisco_secure_firewall","sourcetype=""cisco:sfw:estreamer""","","DS010NetworkCommunication-ET01Traffic|DS012NetworkIntrusionDetection-ET01SigDetection","Cisco__Secure_Firewall","","cisco:sfw:estreamer",109
cloudtrail,"sourcetype=aws:cloudtrail","","VendorSpecific-aws-cloudtrail","AWS__CloudTrail","","aws:cloudtrail",109
"cloudwatch_eks","sourcetype=""aws:cloudwatchlogs:eks""","","VendorSpecific-aws-cloudwatch-eks","AWS__CloudWatch_EKS","","aws:cloudwatchlogs:eks",109
"cloudwatch_vpc","sourcetype=aws:cloudwatchlogs:vpcflow","","VendorSpecific-aws-vpcflow","AWS__VPC_Flow_Logs","","aws:cloudwatchlogs:vpcflow",109
"cloudwatchlogs_vpcflow","sourcetype=aws:cloudwatchlogs:vpcflow","","VendorSpecific-aws-vpcflow","AWS__VPC_Flow_Logs","","aws:cloudwatchlogs:vpcflow",109
"crowdstrike_identities","sourcetype=crowdstrike:identities","","VendorSpecific-Crowdstrike","Crowdstrike__Identities","","crowdstrike:identities",109
"crowdstrike_stream","sourcetype=""CrowdStrike:Event:Streams:JSON""","","VendorSpecific-Crowdstrike","Crowdstrike__Event_Streams","","CrowdStrike:Event:Streams:JSON",109
crushftp,"sourcetype=""crushftp:sessionlogs""","","DS014WebServer-ET01Access","CrushFTP__File_Transfer","","crushftp:sessionlogs",109
driverinventory,"sourcetype=PwSh:DriverInventory","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","","PwSh:DriverInventory",109
"esxi_syslog","sourcetype=vmw-syslog OR sourcetype=vmware:esxlog*","","DS033SystemLogs-ET01General","VMware__host_logs","","vmw-syslog|vmware:esxlog*",109
"f5_bigip_rogue","sourcetype=""f5:bigip:rogue""","","VendorSpecific-f5bigip","F5__Bigip_Rogue","","f5:bigip:rogue",109
github,"sourcetype=aws:firehose:json","","DS014WebServer-ET03SourceCode","Github__Github","","aws:firehose:json",109
"github_enterprise","source=http:github sourcetype=httpevent","","DS014WebServer-ET03SourceCode|DS006IdentityManagement-ET01General","Github__Enterprise","http:github",httpevent,109
"github_organizations","sourcetype=github:cloud:audit","","DS014WebServer-ET03SourceCode|DS006IdentityManagement-ET01General","Github__Cloud_Audit","","github:cloud:audit",109
"google_gcp_pubnet_message","sourcetype=""google:gcp:pubsub:message""","","VendorSpecific-gcp-gke-audit","Google_GCP_GKE_Audit","","google:gcp:pubsub:message",109
"google_gcp_pubsub_message","sourcetype=""google:gcp:pubsub:message""","","VendorSpecific-gcp-gke-audit","Google_GCP_GKE_Audit","","google:gcp:pubsub:message",109
"gsuite_calendar","sourcetype=gsuite:calendar:json","","VendorSpecific-google-calendar","Google__Calendar","","gsuite:calendar:json",109
"gsuite_drive","sourcetype=""gws:reports:drive""","","VendorSpecific-gcp","Google_GCP_GWS","","gws:reports:drive",109
"gsuite_gmail","sourcetype=gsuite:gmail:bigquery","","VendorSpecific-google-gmail","Google__Gmail_bigquery","","gsuite:gmail:bigquery",109
"gws_reports_admin","sourcetype=gws:reports:admin","","VendorSpecific-gcp","Google_GCP_GWS","","gws:reports:admin",109
"gws_reports_login","sourcetype=gws:reports:login","","VendorSpecific-gcp","Google_GCP_GWS","","gws:reports:login",109
"iis_get_webglobalmodule","sourcetype=""Pwsh:InstalledIISModules""","","DS014WebServer-ET01Access","Microsoft__IIS_get_webglobalmodule","","Pwsh:InstalledIISModules",109
"iis_operational_logs","sourcetype=""IIS:Configuration:Operational""","","DS014WebServer-ET01Access","Microsoft__IIS_operational_logs","","IIS:Configuration:Operational",109
"ivanti_vtm_audit","sourcetype=ivanti_vtm_audit","","DS006IdentityManagement-ET01General|DS003Authentication-ET01Success|DS003Authentication-ET02Failure","Ivanti__VTM_Audit","","ivanti_vtm_audit",109
"kube_audit","source=""kubernetes""","","VendorSpecific-kubernetes","Kubernetes__Audit_Logs",kubernetes,"",109
"kube_container_falco","sourcetype=""kube:container:falco""","","VendorSpecific-kubernetes","Splunk__Connect_for_Kubernetes","","kube:container:falco",109
"kube_objects_events","sourcetype=kube:objects:events","","VendorSpecific-kubernetes","Splunk__Connect_for_Kubernetes","","kube:objects:events",109
"kubernetes_azure","sourcetype=mscs:storage:blob:json","","VendorSpecific-azure-aks-audit","Azure__AKS","","mscs:storage:blob:json",109
"kubernetes_container_controller","sourcetype=kube:container:controller","","VendorSpecific-kubernetes","Splunk__Connect_for_Kubernetes","","kube:container:controller",109
"linux_auditd","sourcetype=""auditd""","","DS009EndPointIntel-ET01ProcessLaunch|DS009EndPointIntel-ET03ProcessLaunchwithCLI|DS020HostIntrustionDetection-ET01SigDetected","Auditd__Linux_Standard","",auditd,109
"m365_copilot_graph_api","(sourcetype=""o365:graph:api"" OR source=""AuditLogs.SignIns"")","","VendorSpecific-azure-audit","Microsoft__Office_365_Graph_API","AuditLogs.SignIns","o365:graph:api",109
"m365_exported_ediscovery_prompt_logs","(sourcetype=csv)","","VendorSpecific-m365-copilot","Microsoft__M365_Copilot_Prompt_Logs","","csv)",109
"moveit_sftp_logs","sourcetype=""sftp_server_logs""","","DS003Authentication-ET01Success|DS003Authentication-ET02Failure|DS015FileTransfer-ET01General","MOVEit__Transfer","","sftp_server_logs",109
"ms365_defender_incident_alerts","sourcetype=ms365:defender:incident:alerts","","DS004EndPointAntiMalware-ET01SigDetected|DS009EndPointIntel-ET01ProcessLaunch|DS020HostIntrustionDetection-ET01SigDetected","Microsoft__Defender_Incident_Alerts","","ms365:defender:incident:alerts",109
"ms_defender","(source=""WinEventLog:Microsoft-Windows-Windows Defender/Operational"" OR source=""XmlWinEventLog:Microsoft-Windows-Windows Defender/Operational"")","","VendorSpecific-winsec","Microsoft__Windows_Defender","WinEventLog:Microsoft-Windows-Windows|XmlWinEventLog:Microsoft-Windows-Windows","",109
"ms_defender_atp_alerts","sourcetype=ms:defender:atp:alerts","","DS004EndPointAntiMalware-ET01SigDetected|DS009EndPointIntel-ET01ProcessLaunch|DS020HostIntrustionDetection-ET01SigDetected","Microsoft__Defender_ATP_Alerts","","ms:defender:atp:alerts",109
"msexchange_management","sourcetype=MSExchange:management","","DS001MAIL-ET02Receive|DS001MAIL-ET03Send","Microsoft__Exchange","","MSExchange:management",109
netbackup,"sourcetype=""netbackup_logs""","","DS027EndpointBackup-ET01General","Veritas_Netbackup","","netbackup_logs",109
"nginx_access_logs","(sourcetype=""nginx:plus:kv"" OR sourcetype=""nginx:plus:access"")","","DS014WebServer-ET01Access","Nginx__Access_Logs","","nginx:plus:kv|nginx:plus:access",109
"ntlm_audit","sourcetype=XmlWinEventLog:Microsoft-Windows-NTLM/Operational OR source=XmlWinEventLog:Microsoft-Windows-NTLM/Operational","","VendorSpecific-winsec","Microsoft__Windows_NTLM_Audit","XmlWinEventLog:Microsoft-Windows-NTLM/Operational","XmlWinEventLog:Microsoft-Windows-NTLM/Operational",109
"o365_graph","sourcetype=o365:graph:api","","VendorSpecific-azure-audit","Microsoft__Office_365_Graph_API","","o365:graph:api",109
"o365_management_activity","sourcetype=o365:management:activity","","VendorSpecific-azure-audit","Microsoft__Office_365_Audit","","o365:management:activity",109
"o365_messagetrace","sourcetype IN (""ms:o365:reporting:messagetrace"",""o365:reporting:messagetrace"")","","DS001MAIL-ET02Receive|DS001MAIL-ET03Send","Microsoft__Office_365_Email","","ms:o365:reporting:messagetrace|o365:reporting:messagetrace",109
okta,"eventtype=okta_log OR sourcetype = ""OktaIM2:log""","","VendorSpecific-Okta","Okta__Identity_Cloud","",Okta,109
"ollama_server","(sourcetype=""ollama:server"")","","VendorSpecific-ollama","Ollama__Server","","ollama:server",109
"osquery_macro","sourcetype=osquery:results","","VendorSpecific-osquery","OSQuery___","","osquery:results",109
"osquery_process","eventtype=""osquery-process""","","VendorSpecific-osquery","OSQuery___","","osquery:results",109
papercutng,"sourcetype=""papercutng""","","VendorSpecific-Papercut","Papercut_ng","",papercutng,109
"path_traversal_spl_injection","index=_internal sourcetype=splunkd_ui_access","","VendorSpecific-SplunkUIAccess","Splunk_UI_Access","","splunkd_ui_access",109
pingid,"source=PINGID","","DS003Authentication-ET01Success|DS003Authentication-ET02Failure|DS006IdentityManagement-ET01General","PingIdentity__PingID",PINGID,"",109
powershell,"(source=WinEventLog:Microsoft-Windows-PowerShell/Operational OR source=""XmlWinEventLog:Microsoft-Windows-PowerShell/Operational"" OR source=WinEventLog:PowerShellCore/Operational OR source=""XmlWinEventLog:PowerShellCore/Operational"")","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","WinEventLog:Microsoft-Windows-PowerShell/Operational|XmlWinEventLog:Microsoft-Windows-PowerShell/Operational|WinEventLog:PowerShellCore/Operational|XmlWinEventLog:PowerShellCore/Operational","",109
printservice,"(source=""Wineventlog:microsoft-windows-printservice/operational"" OR source=""XmlWineventlog:microsoft-windows-printservice/operational"" OR source=""WinEventLog:Microsoft-Windows-PrintService/Admin"" OR source=""XmlWinEventLog:Microsoft-Windows-PrintService/Admin"")","","VendorSpecific-win-printservice","Microsoft__Windows_Print_Service","Wineventlog:microsoft-windows-printservice/operational|XmlWineventlog:microsoft-windows-printservice/operational|WinEventLog:Microsoft-Windows-PrintService/Admin|XmlWinEventLog:Microsoft-Windows-PrintService/Admin","",109
remoteconnectionmanager,"(source=""WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational"" OR source=""XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational"")","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational|XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","",109
"s3_accesslogs","sourcetype=aws:s3:accesslogs","","VendorSpecific-aws-s3-access","AWS__S3","","aws:s3:accesslogs",109
"splunk_crash_log","(index=_internal AND sourcetype=splunkd_crash_log)","","","","","splunkd_crash_log)",109
"splunk_python","index=_internal sourcetype=splunk_python","","","","","splunk_python",109
splunkd,"index=_internal sourcetype=splunkd","","VendorSpecific-SplunkInternal","Splunk_Internal","",splunkd,109
"splunkd_investigation_rest_handler","index=_internal sourcetype=investigation_rest_handler","","VendorSpecific-SplunkInternal","Splunk__ES_Investigation_Handler","","investigation_rest_handler",109
"splunkd_ui","index=_internal sourcetype=splunkd_ui_access","","VendorSpecific-SplunkUIAccess","Splunk_UI_Access","","splunkd_ui_access",109
"splunkd_web","index=_internal sourcetype=splunk_web_access","","VendorSpecific-SplunkWebAccess","Splunk_Web_Access","","splunk_web_access",109
"splunkd_webs","index=_internal sourcetype=splunk_web_service","","","","","splunk_web_service",109
"splunkd_webx","index=_internal sourcetype=splunk_web_access","","VendorSpecific-SplunkWebAccess","Splunk_Web_Access","","splunk_web_access",109
splunkda,"index=_internal sourcetype=splunkd_access","","VendorSpecific-SplunkInternal","Splunk_Internal","","splunkd_access",109
"stream_dns","sourcetype=stream:dns","","DS002DNS-ET01QueryResponse|DS002DNS-ET01QueryRequest|DS002DNS-ET01Query","Stream__DNS","","stream:dns",109
"stream_http","sourcetype=stream:http","","DS014WebServer-ET01Access","Stream__HTTP","","stream:http",109
"stream_tcp","sourcetype=stream:tcp","","DS010NetworkCommunication-ET01Traffic","Stream__TCP","","stream:tcp",109
subjectinterfacepackage,"sourcetype=""PwSh:SubjectInterfacePackage""","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","","PwSh:SubjectInterfacePackage",109
suricata,"sourcetype=suricata","","DS010NetworkCommunication-ET01Traffic|DS012NetworkIntrusionDetection-ET01SigDetection|DS001MAIL-ET02Receive|DS001MAIL-ET03Send","Suricata___","",suricata,109
sysmon,"(source=WinEventLog:Microsoft-Windows-Sysmon/Operational OR source=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational OR source=Syslog:Linux-Sysmon/Operational)","","VendorSpecific-winsec-sysmon","Microsoft__Sysmon_Source","WinEventLog:Microsoft-Windows-Sysmon/Operational|XmlWinEventLog:Microsoft-Windows-Sysmon/Operational|Syslog:Linux-Sysmon/Operational)","",109
"windows_exchange_iis","(sourcetype=""MSWindows:2003:IIS"" OR sourcetype=""MSWindows:2008R2:IIS"" OR sourcetype=""MSWindows:2010EWS:IIS"" OR sourcetype=""MSWindows:2012:IIS"" OR sourcetype=""MSWindows:2013EWS:IIS"")","","VendorSpecific-ms-iis","Microsoft__Exchange_IIS","","MSWindows:2003:IIS|MSWindows:2008R2:IIS|MSWindows:2010EWS:IIS|MSWindows:2012:IIS|MSWindows:2013EWS:IIS",109
"wineventlog_application","eventtype=""wineventlog_application"" OR Channel=""application"" OR source=""XmlWinEventLog:Application"" OR source=""WinEventLog:Application""","","DS034ApplicationLogs-ET01General","Microsoft__Windows_Application_Log","XmlWinEventLog:Application|WinEventLog:Application","",109
"wineventlog_appxdeploymentserver","(source=""XmlWinEventLog:Microsoft-Windows-AppXDeploymentServer/Operational"")","","VendorSpecific-winsec","Microsoft__Windows_AppX_Deployment","XmlWinEventLog:Microsoft-Windows-AppXDeploymentServer/Operational","",109
"wineventlog_appxpackaging","(source=""XmlWinEventLog:Microsoft-Windows-AppxPackaging/Operational"")","","VendorSpecific-winsec","Microsoft__Windows_AppX_Packaging","XmlWinEventLog:Microsoft-Windows-AppxPackaging/Operational","",109
"wineventlog_rdp","(source=""WinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational"" OR source=""XmlWinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational"")","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","WinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational|XmlWinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational","",109
"wineventlog_security","eventtype=""wineventlog_security"" OR Channel=""security"" OR source=""XmlWinEventLog:Security"" OR source=""WinEventLog:Security""","","VendorSpecific-winsec","Microsoft__Windows_Host_and_Server","WinEventLog:Security","",109
"wineventlog_system","eventtype=""wineventlog_system"" OR Channel=""system"" OR source=""XmlWinEventLog:System"" OR source=""WinEventLog:System""","","VendorSpecific-win-system","Microsoft__Windows_System_Log","WinEventLog:System","",109
"wineventlog_task_scheduler","(source=""XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational"" OR source=""WinEventLog:Microsoft-Windows-TaskScheduler/Operational"")","","VendorSpecific-win-taskscheduler","Microsoft__Windows_Task_Scheduler","XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational|WinEventLog:Microsoft-Windows-TaskScheduler/Operational","",109
wmi,"(source=""WinEventLog:Microsoft-Windows-WMI-Activity/Operational"" OR source=""XmlWinEventLog:Microsoft-Windows-WMI-Activity/Operational"")","","VendorSpecific-winsec|DS009EndPointIntel-ET01ProcessLaunch","Microsoft__WMI_Activity","WinEventLog:Microsoft-Windows-WMI-Activity/Operational|XmlWinEventLog:Microsoft-Windows-WMI-Activity/Operational","",109
"zeek_rpc","sourcetype=""zeek:rpc:json""","","VendorSpecific-zeek","Zeek__RPC","","zeek:rpc:json",109
"zeek_ssl","sourcetype=""zeek:ssl:json""","","VendorSpecific-zeek","Zeek__SSL","","zeek:ssl:json",109
"zeek_x509","sourcetype=""zeek:x509:json""","","VendorSpecific-zeek","Zeek__X509","","zeek:x509:json",109
"zscaler_proxy","source=zscaler sourcetype=zscalernss-web","","VendorSpecific-zscaler","Zscaler__Web_Proxy",zscaler,"zscalernss-web",109
