host_name,host_fqdn,host_internal_ip,host_external_ip,host_os,host_type
mysql_6,mysql_6.splunktel.com,10.160.15.36,10.160.15.36,nix,virtual
shpnt_2,shpnt_2.splunktel.com,10.160.15.37,10.160.15.37,windows,virtual
shpnt_1,shpnt_1.splunktel.com,10.160.15.33,10.160.15.33,windows,virtual
radius_2,radius_2.splunktel.com,10.123.2.100,10.123.2.100,windows,physical
oracle_2,oracle_2.splunktel.com,10.160.15.13,10.160.15.13,windows,virtual
mssql_1,mssql_1.splunktel.com,10.168.32.2,10.168.32.2,windows,virtual
file_2,file_2.splunktel.com,10.160.15.21,10.160.15.21,windows,virtual
file_1,file_1.splunktel.com,10.88.232.170,10.88.232.170,windows,virtual
dc-den-01,dc-den-01.splunktel.com,10.91.74.196,10.91.74.196,windows,virtual
dc-cup-01,dc-cup-01.splunktel.com,10.160.15.27,10.160.15.27,windows,virtual
vc_prod_1,vc_prod_1.splunktel.com,10.11.36.192,10.11.36.192,windows,virtual
pla-tripw-ip360vne1,pla-tripw-ip360vne1.splunktel.com,10.11.123.244,10.11.123.244,nix,physical
rem_prod_1,rem_prod_1.splunktel.com,10.11.36.193,10.11.36.193,windows,physical
Daniellzeiro_wkstn_103,Daniellzeiro_wkstn_103.splunktel.com,10.147.9.25,107.34.5.112,mac_osx,physical
jerryl_wkstn_04,jerryl_wkstn_04.splunktel.com,10.147.9.44,107.34.5.13,mac_osx,physical
Sofizamoloo_wkstn_144,Sofizamoloo_wkstn_144.splunktel.com,10.147.9.70,107.34.5.153,mac_osx,physical
MargueritaYociu_wkstn_26,MargueritaYociu_wkstn_26.splunktel.com,10.147.9.96,107.34.5.35,mac_osx,physical
oieps_wkstn_35,oieps_wkstn_35.splunktel.com,10.147.9.105,107.34.5.44,mac_osx,physical
erichforever_wkstn_51,erichforever_wkstn_51.splunktel.com,10.147.9.121,107.34.5.60,mac_osx,physical
ribathfunk70_wkstn_71,ribathfunk70_wkstn_71.splunktel.com,10.147.9.141,107.34.5.80,mac_osx,physical
duhamor85_wkstn_81,duhamor85_wkstn_81.splunktel.com,10.147.9.151,107.34.5.90,mac_osx,physical
PlanetaDoBieber_wkstn_152,PlanetaDoBieber_wkstn_152.splunktel.com,10.122.23.20,108.106.227.11,mac_osx,physical
Naeex3_wkstn_270,Naeex3_wkstn_270.splunktel.com,10.122.23.41,108.106.227.129,mac_osx,physical
CCCStunnaRico_wkstn_333,CCCStunnaRico_wkstn_333.splunktel.com,10.147.9.09,106.105.144.10,windows,physical
pete_d_wkstn,pete_d_wkstn.splunktel.com,10.147.9.10,107.34.5.09,windows,physical
bobsbigboy_wkstn_01,bobsbigboy_wkstn_01.splunktel.com,10.147.9.11,107.34.5.10,windows,physical
WilliamsTda_wkstn_91,WilliamsTda_wkstn_91.splunktel.com,10.147.9.12,107.34.5.100,windows,physical
ValeskaAcevedo_wkstn_92,ValeskaAcevedo_wkstn_92.splunktel.com,10.147.9.13,107.34.5.101,windows,physical
TheTeaPartyRat_wkstn_93,TheTeaPartyRat_wkstn_93.splunktel.com,10.147.9.14,107.34.5.102,windows,physical
StevenAbdelaziz_wkstn_94,StevenAbdelaziz_wkstn_94.splunktel.com,10.147.9.15,107.34.5.103,windows,physical
SophieElise13_wkstn_95,SophieElise13_wkstn_95.splunktel.com,10.147.9.16,107.34.5.104,windows,physical
SamiiHoran_wkstn_96,SamiiHoran_wkstn_96.splunktel.com,10.147.9.17,107.34.5.105,windows,physical
RicardaSulejman_wkstn_97,RicardaSulejman_wkstn_97.splunktel.com,10.147.9.18,107.34.5.106,windows,physical
RetaThoeny3197_wkstn_98,RetaThoeny3197_wkstn_98.splunktel.com,10.147.9.19,107.34.5.107,windows,physical
NatoshaSherio_wkstn_99,NatoshaSherio_wkstn_99.splunktel.com,10.147.9.20,107.34.5.108,windows,physical
NaimaRandyy3_wkstn_100,NaimaRandyy3_wkstn_100.splunktel.com,10.147.9.21,107.34.5.109,windows,physical
svc_web_wkstn_02,svc_web_wkstn_02.splunktel.com,10.147.9.22,107.34.5.11,windows,physical
FernandaHoran1D_wkstn_101,FernandaHoran1D_wkstn_101.splunktel.com,10.147.9.23,107.34.5.110,windows,physical
Dannawpyrt_wkstn_102,Dannawpyrt_wkstn_102.splunktel.com,10.147.9.24,107.34.5.111,windows,physical
Collenevbunk_wkstn_104,Collenevbunk_wkstn_104.splunktel.com,10.147.9.26,107.34.5.113,windows,physical
CMSulistyo_wkstn_105,CMSulistyo_wkstn_105.splunktel.com,10.147.9.27,107.34.5.114,windows,physical
BridgettVanslan_wkstn_106,BridgettVanslan_wkstn_106.splunktel.com,10.147.9.28,107.34.5.115,windows,physical
AlienConsulate_wkstn_107,AlienConsulate_wkstn_107.splunktel.com,10.147.9.29,107.34.5.116,windows,physical
yofranzo_wkstn_108,yofranzo_wkstn_108.splunktel.com,10.147.9.30,107.34.5.117,windows,physical
xGlitzMissMia_wkstn_109,xGlitzMissMia_wkstn_109.splunktel.com,10.147.9.31,107.34.5.118,windows,physical
vivienxqrobison_wkstn_110,vivienxqrobison_wkstn_110.splunktel.com,10.147.9.32,107.34.5.119,windows,physical
svc_app_x_wkstn_03,svc_app_x_wkstn_03.splunktel.com,10.147.9.33,107.34.5.12,windows,physical
vidaja87_wkstn_111,vidaja87_wkstn_111.splunktel.com,10.147.9.34,107.34.5.120,windows,physical
shania1D_wkstn_112,shania1D_wkstn_112.splunktel.com,10.147.9.35,107.34.5.121,windows,physical
ruemunnett81_wkstn_113,ruemunnett81_wkstn_113.splunktel.com,10.147.9.36,107.34.5.122,windows,physical
reactcore_wkstn_114,reactcore_wkstn_114.splunktel.com,10.147.9.37,107.34.5.123,windows,physical
rachelcurryTW_wkstn_115,rachelcurryTW_wkstn_115.splunktel.com,10.147.9.38,107.34.5.124,windows,physical
pedrod3001_wkstn_116,pedrod3001_wkstn_116.splunktel.com,10.147.9.39,107.34.5.125,windows,physical
nathansykesluv_wkstn_117,nathansykesluv_wkstn_117.splunktel.com,10.147.9.40,107.34.5.126,windows,physical
mariekxjwz_wkstn_118,mariekxjwz_wkstn_118.splunktel.com,10.147.9.41,107.34.5.127,windows,physical
marbellagolden_wkstn_119,marbellagolden_wkstn_119.splunktel.com,10.147.9.42,107.34.5.128,windows,physical
malyon5a6er_wkstn_120,malyon5a6er_wkstn_120.splunktel.com,10.147.9.43,107.34.5.129,windows,physical
malikmymonkey_wkstn_121,malikmymonkey_wkstn_121.splunktel.com,10.147.9.45,107.34.5.130,windows,physical
keskinozlem_wkstn_122,keskinozlem_wkstn_122.splunktel.com,10.147.9.46,107.34.5.131,windows,physical
karolynfprbodna_wkstn_123,karolynfprbodna_wkstn_123.splunktel.com,10.147.9.47,107.34.5.132,windows,physical
jestrella04_wkstn_124,jestrella04_wkstn_124.splunktel.com,10.147.9.48,107.34.5.133,windows,physical
jessgoodisonx_wkstn_125,jessgoodisonx_wkstn_125.splunktel.com,10.147.9.49,107.34.5.134,windows,physical
iloveAMOJ_wkstn_126,iloveAMOJ_wkstn_126.splunktel.com,10.147.9.50,107.34.5.135,windows,physical
habkingtram73_wkstn_127,habkingtram73_wkstn_127.splunktel.com,10.147.9.51,107.34.5.136,windows,physical
gobarep87_wkstn_128,gobarep87_wkstn_128.splunktel.com,10.147.9.52,107.34.5.137,windows,physical
ferryfbrndk_wkstn_129,ferryfbrndk_wkstn_129.splunktel.com,10.147.9.53,107.34.5.138,windows,physical
fapadoranonimo_wkstn_130,fapadoranonimo_wkstn_130.splunktel.com,10.147.9.54,107.34.5.139,windows,physical
scottj_wkstn_05,scottj_wkstn_05.splunktel.com,10.147.9.55,107.34.5.14,windows,physical
ceturuxup_wkstn_131,ceturuxup_wkstn_131.splunktel.com,10.147.9.56,107.34.5.140,windows,physical
cathyorangeTW_wkstn_132,cathyorangeTW_wkstn_132.splunktel.com,10.147.9.57,107.34.5.141,windows,physical
ayunarolita_wkstn_133,ayunarolita_wkstn_133.splunktel.com,10.147.9.58,107.34.5.142,windows,physical
akumezopi_wkstn_134,akumezopi_wkstn_134.splunktel.com,10.147.9.59,107.34.5.143,windows,physical
abiefebyan_wkstn_135,abiefebyan_wkstn_135.splunktel.com,10.147.9.60,107.34.5.144,windows,physical
franlindinhax_wkstn_136,franlindinhax_wkstn_136.splunktel.com,10.147.9.61,107.34.5.145,windows,physical
BrunoVinicius_wkstn_137,BrunoVinicius_wkstn_137.splunktel.com,10.147.9.62,107.34.5.146,windows,physical
Zoe98TW_wkstn_138,Zoe98TW_wkstn_138.splunktel.com,10.147.9.63,107.34.5.147,windows,physical
TomsGoodgirl_wkstn_139,TomsGoodgirl_wkstn_139.splunktel.com,10.147.9.64,107.34.5.148,windows,physical
ThatWhiteHoe_wkstn_140,ThatWhiteHoe_wkstn_140.splunktel.com,10.147.9.65,107.34.5.149,windows,physical
timm_wkstn_06,timm_wkstn_06.splunktel.com,10.147.9.66,107.34.5.15,windows,physical
TasminChloee_wkstn_141,TasminChloee_wkstn_141.splunktel.com,10.147.9.67,107.34.5.150,windows,physical
TWAreMyStrength_wkstn_142,TWAreMyStrength_wkstn_142.splunktel.com,10.147.9.68,107.34.5.151,windows,physical
SophiePeppinTW_wkstn_143,SophiePeppinTW_wkstn_143.splunktel.com,10.147.9.69,107.34.5.152,windows,physical
SharonKatner_wkstn_145,SharonKatner_wkstn_145.splunktel.com,10.147.9.71,107.34.5.154,windows,physical
Santosyzkir_wkstn_146,Santosyzkir_wkstn_146.splunktel.com,10.147.9.72,107.34.5.155,windows,physical
SambaLivre_wkstn_147,SambaLivre_wkstn_147.splunktel.com,10.147.9.73,107.34.5.156,windows,physical
Rosemariegfbis_wkstn_148,Rosemariegfbis_wkstn_148.splunktel.com,10.147.9.74,107.34.5.157,windows,physical
RichelleHirschy_wkstn_149,RichelleHirschy_wkstn_149.splunktel.com,10.147.9.75,107.34.5.158,windows,physical
Renitaikjzq_wkstn_150,Renitaikjzq_wkstn_150.splunktel.com,10.147.9.76,107.34.5.159,windows,physical
paulas_wkstn_07,paulas_wkstn_07.splunktel.com,10.147.9.77,107.34.5.16,windows,physical
birodivulga162_wkstn_08,birodivulga162_wkstn_08.splunktel.com,10.147.9.78,107.34.5.17,windows,physical
nildajcbonanno_wkstn_09,nildajcbonanno_wkstn_09.splunktel.com,10.147.9.79,107.34.5.18,windows,physical
ivettaadelima_wkstn_10,ivettaadelima_wkstn_10.splunktel.com,10.147.9.80,107.34.5.19,windows,physical
pckomono_wkstn_11,pckomono_wkstn_11.splunktel.com,10.147.9.81,107.34.5.20,windows,physical
Looreeto_wkstn_12,Looreeto_wkstn_12.splunktel.com,10.147.9.82,107.34.5.21,windows,physical
JooPedro1591_wkstn_13,JooPedro1591_wkstn_13.splunktel.com,10.147.9.83,107.34.5.22,windows,physical
claaarecurlingg_wkstn_14,claaarecurlingg_wkstn_14.splunktel.com,10.147.9.84,107.34.5.23,windows,physical
acciokcavote_wkstn_15,acciokcavote_wkstn_15.splunktel.com,10.147.9.85,107.34.5.24,windows,physical
JungD_wkstn_16,JungD_wkstn_16.splunktel.com,10.147.9.86,107.34.5.25,windows,physical
InaraAllves_wkstn_17,InaraAllves_wkstn_17.splunktel.com,10.147.9.87,107.34.5.26,windows,physical
Haroldmcaol_wkstn_18,Haroldmcaol_wkstn_18.splunktel.com,10.147.9.88,107.34.5.27,windows,physical
xNessaa_wkstn_19,xNessaa_wkstn_19.splunktel.com,10.147.9.89,107.34.5.28,windows,physical
stylesdofunk_wkstn_20,stylesdofunk_wkstn_20.splunktel.com,10.147.9.90,107.34.5.29,windows,physical
meltemmeltemm_wkstn_21,meltemmeltemm_wkstn_21.splunktel.com,10.147.9.91,107.34.5.30,windows,physical
emapujig_wkstn_22,emapujig_wkstn_22.splunktel.com,10.147.9.92,107.34.5.31,windows,physical
cellphones4deal_wkstn_23,cellphones4deal_wkstn_23.splunktel.com,10.147.9.93,107.34.5.32,windows,physical
amisisuvi_wkstn_24,amisisuvi_wkstn_24.splunktel.com,10.147.9.94,107.34.5.33,windows,physical
MegSeecharran95_wkstn_25,MegSeecharran95_wkstn_25.splunktel.com,10.147.9.95,107.34.5.34,windows,physical
MarcioBFasano_wkstn_27,MarcioBFasano_wkstn_27.splunktel.com,10.147.9.97,107.34.5.36,windows,physical
LeonoreKamelame_wkstn_28,LeonoreKamelame_wkstn_28.splunktel.com,10.147.9.98,107.34.5.37,windows,physical
xecuwace_wkstn_29,xecuwace_wkstn_29.splunktel.com,10.147.9.99,107.34.5.38,windows,physical
digufenob_wkstn_30,digufenob_wkstn_30.splunktel.com,10.147.9.100,107.34.5.39,windows,physical
celal1231_wkstn_31,celal1231_wkstn_31.splunktel.com,10.147.9.101,107.34.5.40,windows,physical
TWOKeyyy_wkstn_32,TWOKeyyy_wkstn_32.splunktel.com,10.147.9.102,107.34.5.41,windows,physical
RolandeOkoye2_wkstn_33,RolandeOkoye2_wkstn_33.splunktel.com,10.147.9.103,107.34.5.42,windows,physical
Harriettapuum_wkstn_34,Harriettapuum_wkstn_34.splunktel.com,10.147.9.104,107.34.5.43,windows,physical
mozzaSclavino_wkstn_36,mozzaSclavino_wkstn_36.splunktel.com,10.147.9.106,107.34.5.45,windows,physical
loverebeldesxd_wkstn_37,loverebeldesxd_wkstn_37.splunktel.com,10.147.9.107,107.34.5.46,windows,physical
livjeffries_wkstn_38,livjeffries_wkstn_38.splunktel.com,10.147.9.108,107.34.5.47,windows,physical
keisanm_wkstn_39,keisanm_wkstn_39.splunktel.com,10.147.9.109,107.34.5.48,windows,physical
jaemchaney_wkstn_40,jaemchaney_wkstn_40.splunktel.com,10.147.9.110,107.34.5.49,windows,physical
ewequfu_wkstn_41,ewequfu_wkstn_41.splunktel.com,10.147.9.111,107.34.5.50,windows,physical
alixscottx_wkstn_42,alixscottx_wkstn_42.splunktel.com,10.147.9.112,107.34.5.51,windows,physical
JimmieElbahtity_wkstn_44,JimmieElbahtity_wkstn_44.splunktel.com,10.147.9.114,107.34.5.53,windows,physical
ItsEmeline_wkstn_45,ItsEmeline_wkstn_45.splunktel.com,10.147.9.115,107.34.5.54,windows,physical
Harrietsdeyj_wkstn_46,Harrietsdeyj_wkstn_46.splunktel.com,10.147.9.116,107.34.5.55,windows,physical
AndreeOcheltree_wkstn_47,AndreeOcheltree_wkstn_47.splunktel.com,10.147.9.117,107.34.5.56,windows,physical
AlizeRylieo_wkstn_48,AlizeRylieo_wkstn_48.splunktel.com,10.147.9.118,107.34.5.57,windows,physical
AiLuCanch_wkstn_49,AiLuCanch_wkstn_49.splunktel.com,10.147.9.119,107.34.5.58,windows,physical
mandinfortson_wkstn_50,mandinfortson_wkstn_50.splunktel.com,10.147.9.120,107.34.5.59,windows,physical
edukusisot_wkstn_52,edukusisot_wkstn_52.splunktel.com,10.147.9.122,107.34.5.61,windows,physical
cuibefuz76_wkstn_53,cuibefuz76_wkstn_53.splunktel.com,10.147.9.123,107.34.5.62,windows,physical
WorldSophiaA_wkstn_54,WorldSophiaA_wkstn_54.splunktel.com,10.147.9.124,107.34.5.63,windows,physical
SharronSuyama54_wkstn_55,SharronSuyama54_wkstn_55.splunktel.com,10.147.9.125,107.34.5.64,windows,physical
SadieTWx_wkstn_56,SadieTWx_wkstn_56.splunktel.com,10.147.9.126,107.34.5.65,windows,physical
SYKESorSTYLES_wkstn_57,SYKESorSTYLES_wkstn_57.splunktel.com,10.147.9.127,107.34.5.66,windows,physical
RachalLevering4_wkstn_58,RachalLevering4_wkstn_58.splunktel.com,10.147.9.128,107.34.5.67,windows,physical
McnicolNan3613_wkstn_59,McnicolNan3613_wkstn_59.splunktel.com,10.147.9.129,107.34.5.68,windows,physical
MargariteGreide_wkstn_60,MargariteGreide_wkstn_60.splunktel.com,10.147.9.130,107.34.5.69,windows,physical
LlewlynSa5ai629_wkstn_61,LlewlynSa5ai629_wkstn_61.splunktel.com,10.147.9.131,107.34.5.70,windows,physical
JustSoIssi_wkstn_62,JustSoIssi_wkstn_62.splunktel.com,10.147.9.132,107.34.5.71,windows,physical
ItsGeovana_wkstn_63,ItsGeovana_wkstn_63.splunktel.com,10.147.9.133,107.34.5.72,windows,physical
FatimahFlore472_wkstn_64,FatimahFlore472_wkstn_64.splunktel.com,10.147.9.134,107.34.5.73,windows,physical
DoraAke7703_wkstn_65,DoraAke7703_wkstn_65.splunktel.com,10.147.9.135,107.34.5.74,windows,physical
Clorindarozne_wkstn_66,Clorindarozne_wkstn_66.splunktel.com,10.147.9.136,107.34.5.75,windows,physical
BradieBeee_wkstn_67,BradieBeee_wkstn_67.splunktel.com,10.147.9.137,107.34.5.76,windows,physical
BeckieAnfinson5_wkstn_68,BeckieAnfinson5_wkstn_68.splunktel.com,10.147.9.138,107.34.5.77,windows,physical
tanbasil_wkstn_69,tanbasil_wkstn_69.splunktel.com,10.147.9.139,107.34.5.78,windows,physical
saubluchid75_wkstn_70,saubluchid75_wkstn_70.splunktel.com,10.147.9.140,107.34.5.79,windows,physical
onderaytac_wkstn_72,onderaytac_wkstn_72.splunktel.com,10.147.9.142,107.34.5.81,windows,physical
never7112_wkstn_73,never7112_wkstn_73.splunktel.com,10.147.9.143,107.34.5.82,windows,physical
naathaanTW_wkstn_74,naathaanTW_wkstn_74.splunktel.com,10.147.9.144,107.34.5.83,windows,physical
mylovelyletter_wkstn_75,mylovelyletter_wkstn_75.splunktel.com,10.147.9.145,107.34.5.84,windows,physical
mariaTW20041_wkstn_76,mariaTW20041_wkstn_76.splunktel.com,10.147.9.146,107.34.5.85,windows,physical
imjosev_wkstn_77,imjosev_wkstn_77.splunktel.com,10.147.9.147,107.34.5.86,windows,physical
georgiabethox_wkstn_78,georgiabethox_wkstn_78.splunktel.com,10.147.9.148,107.34.5.87,windows,physical
finleyfancy_wkstn_79,finleyfancy_wkstn_79.splunktel.com,10.147.9.149,107.34.5.88,windows,physical
elafufu_wkstn_80,elafufu_wkstn_80.splunktel.com,10.147.9.150,107.34.5.89,windows,physical
chlosian_wkstn_82,chlosian_wkstn_82.splunktel.com,10.147.9.152,107.34.5.91,windows,physical
chloeh5595_wkstn_83,chloeh5595_wkstn_83.splunktel.com,10.147.9.153,107.34.5.92,windows,physical
chaylamoro_wkstn_84,chaylamoro_wkstn_84.splunktel.com,10.147.9.154,107.34.5.93,windows,physical
ashlitleatherma_wkstn_85,ashlitleatherma_wkstn_85.splunktel.com,10.147.9.155,107.34.5.94,windows,physical
angelmunguia4_wkstn_86,angelmunguia4_wkstn_86.splunktel.com,10.147.9.156,107.34.5.95,windows,physical
aldawar14fb_wkstn_87,aldawar14fb_wkstn_87.splunktel.com,10.147.9.157,107.34.5.96,windows,physical
aannadavidsson_wkstn_88,aannadavidsson_wkstn_88.splunktel.com,10.147.9.158,107.34.5.97,windows,physical
oGuedes_wkstn_89,oGuedes_wkstn_89.splunktel.com,10.147.9.159,107.34.5.98,windows,physical
LegallyBlonde_wkstn_90,LegallyBlonde_wkstn_90.splunktel.com,10.147.9.160,107.34.5.99,windows,physical
PortiaDiclaudio_wkstn_151,PortiaDiclaudio_wkstn_151.splunktel.com,10.122.23.9,108.106.227.10,windows,physical
angusbcfc_wkstn_241,angusbcfc_wkstn_241.splunktel.com,10.122.23.10,108.106.227.100,windows,physical
angletz_wkstn_242,angletz_wkstn_242.splunktel.com,10.122.23.11,108.106.227.101,windows,physical
anecimiq_wkstn_243,anecimiq_wkstn_243.splunktel.com,10.122.23.12,108.106.227.102,windows,physical
alzain247_wkstn_244,alzain247_wkstn_244.splunktel.com,10.122.23.13,108.106.227.103,windows,physical
alyssaTW_wkstn_245,alyssaTW_wkstn_245.splunktel.com,10.122.23.14,108.106.227.104,windows,physical
aiz3319_wkstn_246,aiz3319_wkstn_246.splunktel.com,10.122.23.15,108.106.227.105,windows,physical
loveDrea_wkstn_247,loveDrea_wkstn_247.splunktel.com,10.122.23.16,108.106.227.106,windows,physical
Soiceybaby_wkstn_248,Soiceybaby_wkstn_248.splunktel.com,10.122.23.17,108.106.227.107,windows,physical
KellesahhBOSS_wkstn_249,KellesahhBOSS_wkstn_249.splunktel.com,10.122.23.18,108.106.227.108,windows,physical
ItsTaeMina_wkstn_250,ItsTaeMina_wkstn_250.splunktel.com,10.122.23.19,108.106.227.109,windows,physical
YvonneSykesTW_wkstn_251,YvonneSykesTW_wkstn_251.splunktel.com,10.122.23.21,108.106.227.110,windows,physical
YoungTaffer7377_wkstn_252,YoungTaffer7377_wkstn_252.splunktel.com,10.122.23.22,108.106.227.111,windows,physical
WazzupChile_wkstn_253,WazzupChile_wkstn_253.splunktel.com,10.122.23.23,108.106.227.112,windows,physical
TudoPelaMel_wkstn_254,TudoPelaMel_wkstn_254.splunktel.com,10.122.23.24,108.106.227.113,windows,physical
ThisISMama_wkstn_255,ThisISMama_wkstn_255.splunktel.com,10.122.23.25,108.106.227.114,windows,physical
Templos90_wkstn_256,Templos90_wkstn_256.splunktel.com,10.122.23.26,108.106.227.115,windows,physical
TaynaPinkowski8_wkstn_257,TaynaPinkowski8_wkstn_257.splunktel.com,10.122.23.27,108.106.227.116,windows,physical
SykesTWLover_wkstn_258,SykesTWLover_wkstn_258.splunktel.com,10.122.23.28,108.106.227.117,windows,physical
Stevie0205TW_wkstn_259,Stevie0205TW_wkstn_259.splunktel.com,10.122.23.29,108.106.227.118,windows,physical
Stephanygfs_wkstn_260,Stephanygfs_wkstn_260.splunktel.com,10.122.23.30,108.106.227.119,windows,physical
PhlyAhhSlim_wkstn_153,PhlyAhhSlim_wkstn_153.splunktel.com,10.122.23.31,108.106.227.12,windows,physical
SheeiLaHdeez_wkstn_261,SheeiLaHdeez_wkstn_261.splunktel.com,10.122.23.32,108.106.227.120,windows,physical
SertorisJustina_wkstn_262,SertorisJustina_wkstn_262.splunktel.com,10.122.23.33,108.106.227.121,windows,physical
RubiGautsch1987_wkstn_263,RubiGautsch1987_wkstn_263.splunktel.com,10.122.23.34,108.106.227.122,windows,physical
RociolovesJB_wkstn_264,RociolovesJB_wkstn_264.splunktel.com,10.122.23.35,108.106.227.123,windows,physical
ReynaGotay9918_wkstn_265,ReynaGotay9918_wkstn_265.splunktel.com,10.122.23.36,108.106.227.124,windows,physical
Rapiika_wkstn_266,Rapiika_wkstn_266.splunktel.com,10.122.23.37,108.106.227.125,windows,physical
PetraCredell667_wkstn_267,PetraCredell667_wkstn_267.splunktel.com,10.122.23.38,108.106.227.126,windows,physical
PerlaaSulvaran_wkstn_268,PerlaaSulvaran_wkstn_268.splunktel.com,10.122.23.39,108.106.227.127,windows,physical
NickieWillibran_wkstn_154,NickieWillibran_wkstn_154.splunktel.com,10.122.23.42,108.106.227.13,windows,physical
MyLiifeDiegoM_wkstn_271,MyLiifeDiegoM_wkstn_271.splunktel.com,10.122.23.43,108.106.227.130,windows,physical
MrBvlgari_wkstn_272,MrBvlgari_wkstn_272.splunktel.com,10.122.23.44,108.106.227.131,windows,physical
MissMollyTW_wkstn_273,MissMollyTW_wkstn_273.splunktel.com,10.122.23.45,108.106.227.132,windows,physical
MirianVittone30_wkstn_274,MirianVittone30_wkstn_274.splunktel.com,10.122.23.46,108.106.227.133,windows,physical
MexicoTrafico_wkstn_275,MexicoTrafico_wkstn_275.splunktel.com,10.122.23.47,108.106.227.134,windows,physical
MegaLestary_wkstn_276,MegaLestary_wkstn_276.splunktel.com,10.122.23.48,108.106.227.135,windows,physical
Mcveigh5ickie11_wkstn_277,Mcveigh5ickie11_wkstn_277.splunktel.com,10.122.23.49,108.106.227.136,windows,physical
Mansun4eva_wkstn_278,Mansun4eva_wkstn_278.splunktel.com,10.122.23.50,108.106.227.137,windows,physical
MAUROAMAYA7_wkstn_279,MAUROAMAYA7_wkstn_279.splunktel.com,10.122.23.51,108.106.227.138,windows,physical
Luv3liiSwagg_wkstn_280,Luv3liiSwagg_wkstn_280.splunktel.com,10.122.23.52,108.106.227.139,windows,physical
NathanMyBF_wkstn_155,NathanMyBF_wkstn_155.splunktel.com,10.122.23.53,108.106.227.14,windows,physical
Lorieln5_wkstn_281,Lorieln5_wkstn_281.splunktel.com,10.122.23.54,108.106.227.140,windows,physical
LizyFigueiredo_wkstn_282,LizyFigueiredo_wkstn_282.splunktel.com,10.122.23.55,108.106.227.141,windows,physical
LittleMBR_wkstn_283,LittleMBR_wkstn_283.splunktel.com,10.122.23.56,108.106.227.142,windows,physical
LightfordTien86_wkstn_284,LightfordTien86_wkstn_284.splunktel.com,10.122.23.57,108.106.227.143,windows,physical
Lesleezouk2526_wkstn_285,Lesleezouk2526_wkstn_285.splunktel.com,10.122.23.58,108.106.227.144,windows,physical
LeenaLocatelli8_wkstn_286,LeenaLocatelli8_wkstn_286.splunktel.com,10.122.23.59,108.106.227.145,windows,physical
LaurenTW1D_wkstn_287,LaurenTW1D_wkstn_287.splunktel.com,10.122.23.60,108.106.227.146,windows,physical
LauraBechara07_wkstn_288,LauraBechara07_wkstn_288.splunktel.com,10.122.23.61,108.106.227.147,windows,physical
LarisaMarcil334_wkstn_289,LarisaMarcil334_wkstn_289.splunktel.com,10.122.23.62,108.106.227.148,windows,physical
LICKonSAM_wkstn_290,LICKonSAM_wkstn_290.splunktel.com,10.122.23.63,108.106.227.149,windows,physical
MonikaByrdieu_wkstn_156,MonikaByrdieu_wkstn_156.splunktel.com,10.122.23.64,108.106.227.15,windows,physical
