"Asset_ID","Last_Maintenance_Date","Last_Maintenance_Notes","Last_Maintenance_Technician","Last_Maintenance_Type"
"BWWF-08","6/2/15",Calibration,62781,Routine
"BWWF-09","6/2/15",Calibration,62781,Routine
"BWWF-10","6/2/15",Calibration,62781,Routine
"CCWF-01","9/2/15",Calibration,26218,Routine
"CCWF-02","9/2/15",Calibration,12412,Routine
"CCWF-03","9/2/15","Calibration, Bearings",14413,Routine
"CCWF-04","9/2/15","Calibration, Bearings",16634,Routine
"CCWF-05","9/2/15","Calibration, Bearings",16634,Routine
"CCWF-06","9/2/15","Calibration, Bearings",16634,Routine
"CCWF-07","9/2/15","Calibration, Bearings",16634,Routine
"CCWF-08","9/2/15","Calibration, Bearings",16634,Routine
"CCWF-09","8/3/15","Failed Nacelle Position Sensor, replaced with part# 045592 lot#234-AB",16634,Emergency
"CCWF-10","9/2/15",Bearings,16634,Routine
"CLWF-01","6/3/15",Bearings,16634,Routine
"CLWF-02","6/4/15",Bearings,16634,Routine
"CLWF-03","6/5/15",Bearings,16634,Routine
"CLWF-04","6/6/15",Bearings,16634,Routine
"CLWF-05","6/7/15",Bearings,16634,Routine
"CLWF-06","6/8/15",Bearings,16634,Routine
"CLWF-07","6/9/15",Bearings,16634,Routine
"CLWF-08","6/10/15",Bearings,16634,Routine
"CLWF-09","6/11/15",Bearings,16634,Routine
"CLWF-10","6/12/15",Bearings,16634,Routine
"CRWF-01","1/9/15",Bearings,23034,Routine
"CRWF-02","1/9/15",Bearings,23034,Routine
"CRWF-03","1/10/15",Bearings,23034,Routine
"CRWF-04","1/10/15",Bearings,23034,Routine
"CRWF-05","1/9/15",Bearings,23034,Routine
"CRWF-06","1/9/15",Bearings,23034,Routine
"CRWF-07","1/10/15",Bearings,23034,Routine
"CRWF-08","1/10/15",Bearings,23034,Routine
"CRWF-09","1/9/15",Bearings,23034,Routine
"CRWF-10","1/9/15",Bearings,23034,Routine
"CWF-01","4/6/14",Calibration,56774,Routine
"CWF-02","4/7/14",Calibration,56774,Routine
"CWF-03","4/8/14",Calibration,56774,Routine
"CWF-04","4/9/14",Calibration,56774,Routine
"CWF-05","4/10/14",Calibration,56774,Routine
"CWF-06","4/11/14",Calibration,56774,Routine
"CWF-07","4/12/14",Calibration,56774,Routine
"CWF-08","4/13/14",Calibration,56774,Routine
"CWF-09","4/14/14",Calibration,23552,Routine
"CWF-10","4/15/14",Calibration,23552,Routine
"DWF-01","8/15/15",Calibration,23877,Routine
"DWF-02","8/15/15",Calibration,23877,Routine
"DWF-03","8/15/15",Calibration,23877,Routine
"DWF-04","8/15/15",Bearings,23877,Routine
"DWF-05","8/15/15",Bearings,23877,Routine
"DWF-06","8/15/15",Bearings,23877,Routine
"DWF-07","8/15/15",Bearings,23123,Routine
"DWF-08","9/5/15","Calibrate Hygrometry sensor",23512,Unscheduled
"DWF-09","8/15/15","Calibration, Bearings",12414,Routine
"DWF-10","8/15/15","Calibration, Bearings",12444,Routine
"JWP-01","7/4/15","Calibration, Bearings",12441,Routine
"JWP-02","7/6/15","Calibration, Bearings",12441,Routine
"JWP-03","7/8/15","Calibration, Bearings",12441,Routine
"JWP-04","7/10/15","Calibration, Bearings",12441,Routine
"JWP-05","7/12/15","Calibration, Bearings",12441,Routine
"JWP-06","7/14/15","Calibration, Bearings",12441,Routine
"JWP-07","7/16/15",Bearings,12441,Routine
"JWP-08","7/18/15",Bearings,12441,Routine
"JWP-09","7/20/15",Bearings,12441,Routine
"JWP-10","7/22/15",Bearings,12441,Routine
