"_time","node.cpu.count","node.cpu.sys.max","node.cpu.user.max"
"1608800400.000000",4,"31.2","57.6"
"1608801300.000000",4,"1.68","3.12"
"1608802200.000000",4,"0.421","0.779"
"1608803100.000000",4,"8.84","16.4"
"1608804000.000000",4,"22.7","42.1"
"1608804900.000000",4,"9.26","17.1"
"1608805800.000000",4,"2.11","3.89"
"1608806700.000000",4,"8.42","15.6"
"1608807600.000000",4,"38.3","70.9"
"1608808500.000000",4,"1.68","3.12"
"1608809400.000000",4,"18.1","33.5"
"1608810300.000000",4,"22.7","42.1"
"1608811200.000000",4,"34.5","63.9"
"1608812100.000000",4,60,111
"1608813000.000000",4,60,111
"1608813900.000000",4,"28.6","53.0"
"1608814800.000000",4,"8.84","16.4"
"1608815700.000000",4,"17.3","31.9"
"1608816600.000000",4,"14.7","27.3"
"1608817500.000000",4,"8.84","16.4"
"1608818400.000000",4,"13.1","24.1"
"1608819300.000000",4,"2.53","4.67"
"1608820200.000000",4,"34.9","64.7"
"1608821100.000000",4,"31.6","58.4"
"1608822000.000000",4,"13.5","24.9"
"1608822900.000000",4,"31.6","58.4"
"1608823800.000000",4,"21.9","40.5"
"1608824700.000000",4,"1.26","2.34"
"1608825600.000000",4,"39.2","72.4"
"1608826500.000000",4,"37.9","70.1"
"1608827400.000000",4,"5.47","10.1"
"1608828300.000000",4,"39.6","73.2"
"1608829200.000000",4,"10.9","20.3"
"1608830100.000000",4,"14.3","26.5"
"1608831000.000000",4,"3.37","6.23"
"1608831900.000000",4,"28.2","52.2"
"1608832800.000000",4,100,185
"1608833700.000000",4,"30.7","56.9"
"1608834600.000000",4,"21.1","38.9"
"1608835500.000000",4,"28.6","53.0"
"1608836400.000000",4,"19.4","35.8"
"1608837300.000000",4,"8.00","14.8"
"1608838200.000000",4,"4.63","8.57"
"1608839100.000000",4,"16.4","30.4"
"1608840000.000000",4,"20.2","37.4"
"1608840900.000000",4,"10.5","19.5"
"1608841800.000000",4,"14.7","27.3"
"1608842700.000000",4,"24.8","46.0"
"1608843600.000000",4,"10.5","19.5"
"1608844500.000000",4,"1.26","2.34"
"1608845400.000000",4,"7.58","14.0"
"1608846300.000000",4,"22.7","42.1"
"1608847200.000000",4,"11.4","21.0"
"1608848100.000000",4,"32.0","59.2"
"1608849000.000000",4,"21.9","40.5"
"1608849900.000000",4,"34.1","63.1"
"1608850800.000000",4,"5.05","9.35"
"1608851700.000000",4,"8.42","15.6"
"1608852600.000000",4,"28.6","53.0"
"1608853500.000000",4,"37.9","70.1"
"1608854400.000000",4,"2.11","3.89"
"1608855300.000000",4,"24.0","44.4"
"1608856200.000000",4,"22.7","42.1"
"1608857100.000000",4,"15.6","28.8"
"1608858000.000000",4,"4.63","8.57"
"1608858900.000000",4,"21.9","40.5"
"1608859800.000000",4,120,222
"1608860700.000000",4,"20.6","38.2"
"1608861600.000000",4,"8.84","16.4"
"1608862500.000000",4,"28.6","53.0"
"1608863400.000000",4,"7.16","13.2"
"1608864300.000000",4,"14.3","26.5"
"1608865200.000000",4,"0.00","0.00"
"1608866100.000000",4,"14.3","26.5"
"1608867000.000000",4,"0.842","1.56"
"1608867900.000000",4,"13.1","24.1"
"1608868800.000000",4,"25.7","47.5"
"1608869700.000000",4,"19.8","36.6"
"1608870600.000000",4,"13.5","24.9"
"1608871500.000000",4,"8.84","16.4"
"1608872400.000000",4,"16.4","30.4"
"1608873300.000000",4,"5.89","10.9"
"1608874200.000000",4,"16.0","29.6"
"1608875100.000000",4,"27.4","50.6"
"1608876000.000000",4,"33.3","61.5"
"1608876900.000000",4,"33.7","62.3"
"1608877800.000000",4,"29.1","53.7"
"1608878700.000000",4,"30.3","56.1"
"1608879600.000000",4,"21.9","40.5"
"1608880500.000000",4,"2.11","3.89"
"1608881400.000000",4,"25.3","46.7"
"1608882300.000000",4,"37.1","68.5"
"1608883200.000000",4,"3.79","7.01"
"1608884100.000000",4,80,148
"1608885000.000000",4,"36.2","67.0"
"1608885900.000000",4,"21.1","38.9"
"1608886800.000000",4,"27.8","51.4"
"1608887700.000000",4,"5.05","9.35"
"1608888600.000000",4,100,185
"1608889500.000000",4,"29.9","55.3"
"1608890400.000000",4,"26.5","49.1"
"1608891300.000000",4,"10.9","20.3"
"1608892200.000000",4,"37.9","70.1"
"1608893100.000000",4,"8.84","16.4"
"1608894000.000000",4,"26.1","48.3"
"1608894900.000000",4,"34.1","63.1"
"1608895800.000000",4,"25.3","46.7"
"1608896700.000000",4,"26.9","49.9"
"1608897600.000000",4,"39.2","72.4"
"1608898500.000000",4,"2.95","5.45"
"1608899400.000000",4,"10.9","20.3"
"1608900300.000000",4,"21.9","40.5"
"1608901200.000000",4,"5.89","10.9"
"1608902100.000000",4,40,74
"1608903000.000000",4,"32.0","59.2"
"1608903900.000000",4,"34.1","63.1"
"1608904800.000000",4,40,74
"1608905700.000000",4,"24.0","44.4"
"1608906600.000000",4,"14.3","26.5"
"1608907500.000000",4,"30.7","56.9"
"1608908400.000000",4,"24.0","44.4"
"1608909300.000000",4,"36.6","67.8"
"1608910200.000000",4,"24.4","45.2"
"1608911100.000000",4,"39.2","72.4"
"1608912000.000000",4,"11.4","21.0"
"1608912900.000000",4,"7.58","14.0"
"1608913800.000000",4,"18.1","33.5"
"1608914700.000000",4,"32.4","60.0"
"1608915600.000000",4,"15.6","28.8"
"1608916500.000000",4,"10.9","20.3"
"1608917400.000000",4,"27.4","50.6"
"1608918300.000000",4,"7.16","13.2"
"1608919200.000000",4,"12.2","22.6"
"1608920100.000000",4,"26.5","49.1"
"1608921000.000000",4,"7.58","14.0"
"1608921900.000000",4,120,222
"1608922800.000000",4,"11.4","21.0"
"1608923700.000000",4,"2.53","4.67"
"1608924600.000000",4,"32.0","59.2"
"1608925500.000000",4,"38.7","71.7"
"1608926400.000000",4,"3.37","6.23"
"1608927300.000000",4,"34.9","64.7"
"1608928200.000000",4,"6.74","12.5"
"1608929100.000000",4,"18.5","34.3"
"1608930000.000000",4,"27.8","51.4"
"1608930900.000000",4,"0.00","0.00"
"1608931800.000000",4,80,148
"1608932700.000000",4,"21.1","38.9"
"1608933600.000000",4,"36.2","67.0"
"1608934500.000000",4,"7.58","14.0"
"1608935400.000000",4,"19.4","35.8"
"1608936300.000000",4,"2.95","5.45"
"1608937200.000000",4,"13.5","24.9"
"1608938100.000000",4,"32.0","59.2"
"1608939000.000000",4,"33.3","61.5"
"1608939900.000000",4,"35.8","66.2"
"1608940800.000000",4,"8.00","14.8"
"1608941700.000000",4,"16.0","29.6"
"1608942600.000000",4,"37.9","70.1"
"1608943500.000000",4,"18.9","35.1"
"1608944400.000000",4,"18.1","33.5"
"1608945300.000000",4,"25.7","47.5"
"1608946200.000000",4,"5.47","10.1"
"1608947100.000000",4,"26.9","49.9"
"1608948000.000000",4,"33.7","62.3"
"1608948900.000000",4,40,74
"1608949800.000000",4,"15.6","28.8"
"1608950700.000000",4,80,148
"1608951600.000000",4,"13.1","24.1"
"1608952500.000000",4,"10.5","19.5"
"1608953400.000000",4,"26.5","49.1"
"1608954300.000000",4,"6.32","11.7"
"1608955200.000000",4,"0.842","1.56"
"1608956100.000000",4,"19.8","36.6"
"1608957000.000000",4,"26.9","49.9"
"1608957900.000000",4,"25.3","46.7"
"1608958800.000000",4,"3.37","6.23"
"1608959700.000000",4,"17.7","32.7"
"1608960600.000000",4,"10.5","19.5"
"1608961500.000000",4,"22.3","41.3"
"1608962400.000000",4,"8.42","15.6"
"1608963300.000000",4,100,185
"1608964200.000000",4,"33.3","61.5"
"1608965100.000000",4,"38.7","71.7"
"1608966000.000000",4,"11.4","21.0"
"1608966900.000000",4,"38.3","70.9"
"1608967800.000000",4,"38.3","70.9"
"1608968700.000000",4,"18.5","34.3"
"1608969600.000000",4,"15.6","28.8"
"1608970500.000000",4,"32.4","60.0"
"1608971400.000000",4,"13.5","24.9"
"1608972300.000000",4,"32.4","60.0"
"1608973200.000000",4,"18.9","35.1"
"1608974100.000000",4,"35.8","66.2"
"1608975000.000000",4,"31.6","58.4"
"1608975900.000000",4,"18.9","35.1"
"1608976800.000000",4,"37.9","70.1"
"1608977700.000000",4,"32.4","60.0"
"1608978600.000000",4,"3.79","7.01"
"1608979500.000000",4,"17.7","32.7"
"1608980400.000000",4,"25.7","47.5"
"1608981300.000000",4,"6.74","12.5"
"1608982200.000000",4,"23.2","42.8"
"1608983100.000000",4,"8.00","14.8"
"1608984000.000000",4,"31.6","58.4"
"1608984900.000000",4,"30.7","56.9"
"1608985800.000000",4,"25.3","46.7"
"1608986700.000000",4,"29.5","54.5"
"1608987600.000000",4,"24.0","44.4"
"1608988500.000000",4,"25.3","46.7"
"1608989400.000000",4,120,222
"1608990300.000000",4,"11.8","21.8"
"1608991200.000000",4,"24.4","45.2"
"1608992100.000000",4,"25.7","47.5"
"1608993000.000000",4,"10.9","20.3"
"1608993900.000000",4,"15.2","28.0"
"1608994800.000000",4,"31.2","57.6"
"1608995700.000000",4,"0.421","0.779"
"1608996600.000000",4,"20.6","38.2"
"1608997500.000000",4,"20.2","37.4"
"1608998400.000000",4,"35.8","66.2"
"1608999300.000000",4,80,148
"1609000200.000000",4,"37.1","68.5"
"1609001100.000000",4,"0.842","1.56"
"1609002000.000000",4,40,74
