"use_case","L6_sourcetype_category",domain,"lantern_url","lantern_vertical","lantern_vertical_category","percent_of_use_case"
"Azure critical infrastructure health","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4368","Industry Neutral","Infrastructure Monitoring",50
"Azure load balancers with no healthy instances","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4358","Industry Neutral","Infrastructure Monitoring",50
"Azure load balancers with no healthy instances","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4358","Industry Neutral","Infrastructure Monitoring",50
"Azure public storage blobs with anonymous access traffic","Microsoft : Azure Event Hub data",Observability,"https://lantern.splunk.com/@go/page/4361","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure public storage blobs with anonymous access traffic","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4361","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure public storage blobs with anonymous access traffic","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4361","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure resources with no associated tags","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/665","Industry Neutral","Infrastructure Monitoring",50
"Azure resources with no associated tags","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/665","Industry Neutral","Infrastructure Monitoring",50
"Azure resources with non-compliant policy rules","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4362","Industry Neutral","Infrastructure Monitoring",50
"Azure resources with non-compliant policy rules","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4362","Industry Neutral","Infrastructure Monitoring",50
"Azure security policy review","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/666","Industry Neutral","Infrastructure Monitoring",50
"Azure security policy review","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/666","Industry Neutral","Infrastructure Monitoring",50
"Azure storage blobs made public and by who","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4360","Industry Neutral","Infrastructure Monitoring",50
"Azure storage blobs made public and by who","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4360","Industry Neutral","Infrastructure Monitoring",50
"Badge activity monitoring","Physical Security data",Security,"https://lantern.splunk.com/@go/page/2446","Industry Neutral","Security Monitoring",100
"Baseline of user logon times","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/772","Industry Neutral","Incident Management",100
"Bcdedit boot recovery modifications","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2868","Industry Neutral","Threat Hunting",100
"Becoming more effective monitoring Kubernetes at scale","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/1190",,,100
"Blocked traffic from host","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/820","Industry Neutral","Security Monitoring",100
"Blocked traffic to host","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/818","Industry Neutral","Security Monitoring",100
"CPU utilization of Elastic Compute Cloud (EC2) instances","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2829","Industry Neutral","Infrastructure Monitoring",100
"Capacity utilization runway in Dell Isilon NAS","Storage data",Observability,"https://lantern.splunk.com/@go/page/689","Industry Neutral","Infrastructure Monitoring",100
"Changes in DNS record type queries","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/724","Industry Neutral","Threat Hunting",100
"Changes made to AWS cloud infrastructure","AWS : CloudTrail data",Observability,"https://lantern.splunk.com/@go/page/651","Industry Neutral","Infrastructure Monitoring",100
"Checking for files created on a system","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2432","Industry Neutral","Threat Hunting",100
"Cluster throughput in Dell Isilon NAS","Storage data",Observability,"https://lantern.splunk.com/@go/page/691","Industry Neutral","Infrastructure Monitoring",100
"Complying with General Data Protection Regulation","Endpoint data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI",,,100
"Complying with the HIPAA Security Rule for ePHI","Endpoint data",Platform,"https://lantern.splunk.com/@go/page/2889",Healthcare,Compliance,100
"Complying with the Markets in Financial Instruments Directive II","Application data",Security,"https://lantern.splunk.com/@go/page/2272","Financial Services and Insurance",Compliance,50
"Complying with the Markets in Financial Instruments Directive II","Time Tracking and Synchronization data",Security,"https://lantern.splunk.com/@go/page/2272","Financial Services and Insurance",Compliance,50
"Configuring AWS CloudTrail and CloudWatch data collection","AWS : CloudTrail data",,"https://lantern.splunk.com/@go/page/863",,,50
"Configuring AWS CloudTrail and CloudWatch data collection","AWS : CloudWatch data",,"https://lantern.splunk.com/@go/page/863",,,50
"Connections between network devices and an individual machine","System Log data",Security,"https://lantern.splunk.com/@go/page/791","Industry Neutral","Incident Management",100
"Creating a timebound picture of network activity","System Log data",Security,"https://lantern.splunk.com/@go/page/722","Industry Neutral","Incident Management",100
"Critical AWS Lambda metrics","AWS : CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2848","Industry Neutral","Infrastructure Monitoring",100
"Current state of Windows services on a host","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/1754","Industry Neutral","Infrastructure Monitoring",50
"Current state of Windows services on a host","Updates data",Observability,"https://lantern.splunk.com/@go/page/1754","Industry Neutral","Infrastructure Monitoring",50
"DLL loaded in a specific process","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1774","Industry Neutral","Threat Hunting",50
"DLL loaded in a specific process","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1774","Industry Neutral","Threat Hunting",50
"DNS queries to randomized subdomains","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/728","Industry Neutral","Threat Hunting",100
"DNS tunneling through randomized subdomains","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/727","Industry Neutral","Threat Hunting",100
"Defining and detecting Personally Identifiable Information (PII) in log data","System Log data",Security,"https://lantern.splunk.com/@go/page/4512","Industry Neutral",Compliance,100
"Deploying Workload Identity Federation between AWS and GCP","AWS : Cloud Services data",,"https://lantern.splunk.com/@go/page/7867",,,100
"Deploying the Splunk OpenTelemetry Collector to gather Kubernetes metrics","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/3241",,,100
"Detecting ATM fraud","Application data",Platform,"https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Detecting ATM fraud","Business Service data",Platform,"https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance","Align IT and Business with Service Monitoring",50
"Detecting AWS network ACL activity","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS network ACL activity","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS network ACL activity","Network Access Control (NAC) data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS security hub alerts","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2816",,,50
"Detecting AWS security hub alerts","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2816",,,50
"Detecting AWS suspicious provisioning activities","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2676","Industry Neutral","Behavior Analysis",50
"Detecting AWS suspicious provisioning activities","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2676","Industry Neutral","Behavior Analysis",50
"Detecting BlackMatter ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3005",,,100
"Detecting Clop ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2858",,,50
"Detecting Clop ransomware","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2858",,,50
"Detecting DarkSide ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3006",,,100
"Detecting FIN7 attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3061",,,50
"Detecting FIN7 attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3061",,,50
"Detecting IcedID attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3159",,,100
"Detecting Log4j remote code execution","Application data",Security,"https://lantern.splunk.com/@go/page/2939",,,50
"Detecting Log4j remote code execution","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2939",,,50
"Detecting Netsh attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2712",,,100
"Detecting Office 365 attacks","Microsoft : 365 data",Security,"https://lantern.splunk.com/@go/page/2838",,,100
"Detecting Operational Technology assets communicating with external systems","Vulnerability Detection data",Security,"https://lantern.splunk.com/@go/page/7268","Operational Technology (OT)","Threat Hunting",50
"Detecting Operational Technology assets communicating with external systems","Vulnerability Scanning data",Security,"https://lantern.splunk.com/@go/page/7268","Operational Technology (OT)","Threat Hunting",50
"Detecting Personally Identifiable Information (PII) in log data for GDPR Compliance","Compliance and Governance data",Security,"https://lantern.splunk.com/@go/page/4206",,,50
"Detecting Personally Identifiable Information (PII) in log data for GDPR Compliance","System Log data",Security,"https://lantern.splunk.com/@go/page/4206",,,50
"Detecting REvil ransomware infections","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1849",,,100
"Detecting Supernova web shell malware","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Vulnerability Scanning data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Web Server data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting TOR traffic","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/375","Industry Neutral","Threat Hunting",100
"Detecting Trickbot attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3163","Industry Neutral","Threat Hunting",50
"Detecting Trickbot attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3163","Industry Neutral","Threat Hunting",50
"Detecting WhisperGate malware","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/3166",,,"33.333333333333336"
"Detecting WhisperGate malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3166",,,"33.333333333333336"
"Detecting WhisperGate malware","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3166",,,"33.333333333333336"
"Detecting Windows BITS abuse","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3172",,,100
"Detecting Windows file extension abuse","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3164",,,100
"Detecting XMRig CPU or GPU mining","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3167",,,50
"Detecting XMRig CPU or GPU mining","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3167",,,50
"Detecting Zerologon attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3211",,,100
"Detecting a ransomware attack","Antivirus and Antimalware (AV) data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",20
"Detecting a ransomware attack","Backup data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",20
"Detecting a ransomware attack","Binary Repositories data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",20
"Detecting a ransomware attack","Deep Packet Inspection data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",20
"Detecting a ransomware attack","System Log data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",20
"Detecting and resolving issues in a Kubernetes environment","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/8071",,,100
"Detecting brute force access behavior","Microsoft : Windows Security Logs data",Security,"https://lantern.splunk.com/@go/page/549","Industry Neutral","Threat Hunting",100
"Detecting changes to Windows user group","Microsoft : Windows data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Detecting_changes_to_Windows_user_group",,,100
"Detecting cloud federated credential abuse in AWS","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2797",,,50
"Detecting cloud federated credential abuse in AWS","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2797",,,50
"Detecting cloud federated credential abuse in Windows","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3023",,,"33.333333333333336"
"Detecting cloud federated credential abuse in Windows","Microsoft : 365 data",Security,"https://lantern.splunk.com/@go/page/3023",,,"33.333333333333336"
"Detecting cloud federated credential abuse in Windows","Microsoft : Active Directory data",Security,"https://lantern.splunk.com/@go/page/3023",,,"33.333333333333336"
"Detecting consumer bank account takeovers","Application data",Security,"https://lantern.splunk.com/@go/page/4383",,,100
"Detecting credit card fraud","Application data",Platform,"https://lantern.splunk.com/@go/page/2262","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Detecting data exfiltration activities","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3206",,,50
"Detecting data exfiltration activities","Network Protocol data",Security,"https://lantern.splunk.com/@go/page/3206",,,50
"Detecting domain trust discovery attempts","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3213",,,100
"Detecting indicators of Remcos RAT malware","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/2958",,,"33.333333333333336"
"Detecting indicators of Remcos RAT malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2958",,,"33.333333333333336"
"Detecting indicators of Remcos RAT malware","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2958",,,"33.333333333333336"
"Detecting malicious activities with Sigma rules","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious activities with Sigma rules","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious activities with Sigma rules","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious activities with Sigma rules","Network VPN data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious activities with Sigma rules","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious activities with Sigma rules","Web Server data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","16.666666666666668"
"Detecting malicious file obfuscation using certutil.exe","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3210",,,100
"Detecting masquerading","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Behavior Analysis","33.333333333333336"
"Detecting masquerading","File Integrity Monitoring (FIM) data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Behavior Analysis","33.333333333333336"
"Detecting masquerading","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Behavior Analysis","33.333333333333336"
"Detecting network and port scanning","Network Firewall data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardNetwork","Industry Neutral","Threat Hunting",100
"Detecting non-privileged user accounts conducting privileged actions","Authentication data",Security,"https://lantern.splunk.com/@go/page/4223",,,50
"Detecting non-privileged user accounts conducting privileged actions","Database data",Security,"https://lantern.splunk.com/@go/page/4223",,,50
"Detecting password spraying attacks within Active Directory environments","Microsoft : Active Directory data",Security,"https://lantern.splunk.com/@go/page/3025",,,50
"Detecting password spraying attacks within Active Directory environments","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/3025",,,50
"Detecting print spooler attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1863",,,50
"Detecting print spooler attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1863",,,50
"Detecting privilege escalation in your AWS environment","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2815",,,50
"Detecting privilege escalation in your AWS environment","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2815",,,50
"Detecting ransomware activities within AWS environments","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2995",,,50
"Detecting ransomware activities within AWS environments","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2995",,,50
"Detecting recurring malware on a host","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/367","Industry Neutral","Threat Hunting",50
"Detecting recurring malware on a host","Endpoint data",Security,"https://lantern.splunk.com/@go/page/367","Industry Neutral","Threat Hunting",50
"Detecting software supply chain attacks","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2568","Industry Neutral","Threat Hunting",50
"Detecting software supply chain attacks","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/2568","Industry Neutral","Threat Hunting",50
"Detecting suspicious activities within AWS cloud instances","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2801",,,50
"Detecting suspicious activities within AWS cloud instances","AWS : CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2801",,,50
"Detecting the disabling of security tools","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3212",,,100
"Detecting the use of randomization in cyberattacks","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/735","Industry Neutral","Threat Hunting",50
"Detecting the use of randomization in cyberattacks","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/735","Industry Neutral","Threat Hunting",50
"Detecting unencrypted web communications","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/370","Industry Neutral",Compliance,100
"Detecting usage of popular Linux post-exploitation tools","System Log data",Security,"https://lantern.splunk.com/@go/page/2966",,,100
"Detecting wire transfer fraud","Application data",Platform,"https://lantern.splunk.com/@go/page/1597","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Device owner identified using a MAC address","Network Sessions (DHCP) data",Security,"https://lantern.splunk.com/@go/page/574","Industry Neutral",Compliance,100
"Device with outdated anti-malware","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/548","Industry Neutral",Compliance,100
"Disabled AWS CloudTrail logging","AWS : CloudTrail data",Observability,"https://lantern.splunk.com/@go/page/2846","Industry Neutral","Infrastructure Monitoring",100
"Distribution of web traffic across servers","Web Server data",Platform,"https://lantern.splunk.com/@go/page/703","Technology, Communications, and Media","Align IT and Business with Service Monitoring",100
"ESXi host version identification","VMware data",Observability,"https://lantern.splunk.com/@go/page/2822","Industry Neutral","Infrastructure Monitoring",50
"ESXi host version identification","Virtualization data",Observability,"https://lantern.splunk.com/@go/page/2822","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with high CPU Ready summation value","VMware data",Observability,"https://lantern.splunk.com/@go/page/682","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with high CPU Ready summation value","Virtualization data",Observability,"https://lantern.splunk.com/@go/page/682","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with sustained high ballooning","VMware data",Observability,"https://lantern.splunk.com/@go/page/681","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with sustained high ballooning","Virtualization data",Observability,"https://lantern.splunk.com/@go/page/681","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with sustained high swapping","VMware data",Observability,"https://lantern.splunk.com/@go/page/683","Industry Neutral","Infrastructure Monitoring",50
"ESXi hosts with sustained high swapping","Virtualization data",Observability,"https://lantern.splunk.com/@go/page/683","Industry Neutral","Infrastructure Monitoring",50
"Enabling access between Kubernetes indexer clusters and external search heads","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/8058",,,100
"Enabling an audit trail from Active Directory","Microsoft : Active Directory data",,"https://lantern.splunk.com/@go/page/7260",,,100
"Enhancing endpoint monitoring with threat intelligence","Endpoint data",,"https://lantern.splunk.com/@go/page/7556",,,50
"Enhancing endpoint monitoring with threat intelligence","Threat Intelligence Platform (TIP) data",,"https://lantern.splunk.com/@go/page/7556",,,50
"Error and failure events on a host","System Log data",Observability,"https://lantern.splunk.com/@go/page/1522","Industry Neutral","Investigation and Troubleshooting",100
"Executable uploaded to a web server","Web Server data",Security,"https://lantern.splunk.com/@go/page/786","Industry Neutral","Threat Hunting",100
"Expanding AWS log ingestion capabilities with custom logs in Splunk Data Manager","AWS : Cloud Services data",,"https://lantern.splunk.com/@go/page/8100",,,100
"Expected *Nix process not running","System Log data",Observability,"https://lantern.splunk.com/@go/page/1751","Industry Neutral","Infrastructure Monitoring",100
"Expected Windows process not running","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/1752","Industry Neutral","Infrastructure Monitoring",50
"Expected Windows process not running","Updates data",Observability,"https://lantern.splunk.com/@go/page/1752","Industry Neutral","Infrastructure Monitoring",50
"Expected host not reporting events","System Log data",Security,"https://lantern.splunk.com/@go/page/550","Industry Neutral",Compliance,100
"FQDN associated with an IP address","Network Resolution (DNS) data",Security,"https://lantern.splunk.com/@go/page/798","Industry Neutral","Incident Management",50
"FQDN associated with an IP address","Web Server data",Security,"https://lantern.splunk.com/@go/page/798","Industry Neutral","Incident Management",50
"Failed Windows updates","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/709","Industry Neutral","Infrastructure Monitoring",50
"Failed Windows updates","Updates data",Observability,"https://lantern.splunk.com/@go/page/709","Industry Neutral","Infrastructure Monitoring",50
"File added to the system through external media","System Log data",Security,"https://lantern.splunk.com/@go/page/795","Industry Neutral","Incident Management",100
"File downloaded to a machine from a website","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/796","Industry Neutral","Incident Management",100
"File hashes associated with the Supernova trojanized DLL","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1773","Industry Neutral","Threat Hunting",50
"File hashes associated with the Supernova trojanized DLL","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1773","Industry Neutral","Threat Hunting",50
"File write spikes","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2878","Industry Neutral","Threat Hunting",100
"Files a user uploaded to a network file share","System Log data",Security,"https://lantern.splunk.com/@go/page/793","Industry Neutral","Incident Management",100
"Files that belong to a network user","System Log data",Security,"https://lantern.splunk.com/@go/page/794","Industry Neutral","Incident Management",100
"Filesystem mounts after *nix patching event","System Log data",Observability,"https://lantern.splunk.com/@go/page/678","Industry Neutral","Infrastructure Monitoring",100
"Finding Windows audit log tampering","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/365","Industry Neutral","Behavior Analysis",100
