"L6_sourcetype_category","lantern_uce","lantern_url","lantern_vertical","lantern_vertical_category","use_case"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI",Healthcare,"Use cases for healthcare","Complying with the HIPAA Security Rule for ePHI"
"Medical device data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI",Healthcare,"Use cases for healthcare","Complying with the HIPAA Security Rule for ePHI"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Complying_with_the_Markets_in_Financial_Instruments_Directive_II",Security,Compliance,"Complying with the Markets in Financial Instruments Directive II"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/Connections_between_network_devices_and_an_individual_machine",Security,"Incident Management","Connections between network devices and an individual machine"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Countries_with_the_highest_and_lowest_call_volumes","Technology, Communications, and Media","Use cases for technology, communications and media","Countries with the highest and lowest call volumes"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Creating_a_suspect_list_with_cell_tower_data","Public Sector","Use cases for the public sector","Creating a suspect list with cell tower data"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Creating_a_timebound_picture_of_network_activity",Security,"Incident Management","Creating a timebound picture of network activity"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Critical_AWS_Lambda_metrics","IT Modernization","Infrastructure Monitoring","Critical AWS Lambda metrics"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Current_AWS_Elastic_Compute_Cloud_(EC2)_instances","IT Modernization","Infrastructure Monitoring","Current AWS Elastic Compute Cloud (EC2) instances"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Current_AWS_elastic_block_store_volumes","IT Modernization","Infrastructure Monitoring","Current AWS elastic block store volumes"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Current_AWS_elastic_load_balancer_instances","IT Modernization","Infrastructure Monitoring","Current AWS elastic load balancer instances"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Current_AWS_virtual_private_cloud_infrastructure","IT Modernization","Infrastructure Monitoring","Current AWS virtual private cloud infrastructure"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform/Current_state_of_Windows_services_on_a_host","IT Modernization","Infrastructure Monitoring","Current state of Windows services on a host"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/DLL_loaded_in_a_specific_process",Security,"Threat Hunting","DLL loaded in a specific process"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/DLL_loaded_in_a_specific_process",Security,"Threat Hunting","DLL loaded in a specific process"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_a_network_for_DNS_exfiltration/DNS_queries_to_randomized_subdomains",Security,"Threat Hunting","DNS queries to randomized subdomains"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_a_network_for_DNS_exfiltration/DNS_tunneling_through_randomized_subdomains",Security,"Threat Hunting","DNS tunneling through randomized subdomains"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Defining_and_detecting_Personally_Identifiable_Information_(PII)_in_log_data",Security,Compliance,"Defining and detecting Personally Identifiable Information (PII) in log data"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_ATM_fraud","Financial Services","Use cases for financial services","Detecting ATM fraud"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_AWS_network_ACL_activity",Security,"Threat Hunting","Detecting AWS network ACL activity"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Behavior_Analysis/Detecting_AWS_suspicious_provisioning_activities",Security,"Behavior Analysis","Detecting AWS suspicious provisioning activities"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware",Security,"Threat Hunting","Detecting Supernova web shell malware"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware",Security,"Threat Hunting","Detecting Supernova web shell malware"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware",Security,"Threat Hunting","Detecting Supernova web shell malware"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_TOR_traffic",Security,"Threat Hunting","Detecting TOR traffic"
"Backup data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack",Security,"Threat Hunting","Detecting a ransomware attack"
"Binary repositories data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack",Security,"Threat Hunting","Detecting a ransomware attack"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack",Security,"Threat Hunting","Detecting a ransomware attack"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack",Security,"Threat Hunting","Detecting a ransomware attack"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack",Security,"Threat Hunting","Detecting a ransomware attack"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_brute_force_access_behavior",Security,"Threat Hunting","Detecting brute force access behavior"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_credit_card_fraud","Financial Services","Use cases for financial services","Detecting credit card fraud"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Behavior_Analysis/Detecting_masquerading",Security,"Behavior Analysis","Detecting masquerading"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Behavior_Analysis/Detecting_masquerading",Security,"Behavior Analysis","Detecting masquerading"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_network_and_port_scanning",Security,"Threat Hunting","Detecting network and port scanning"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_recurring_malware_on_a_host",Security,"Threat Hunting","Detecting recurring malware on a host"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks",Security,"Threat Hunting","Detecting software supply chain attacks"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks",Security,"Threat Hunting","Detecting software supply chain attacks"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_the_use_of_randomization_in_cyberattacks",Security,"Threat Hunting","Detecting the use of randomization in cyberattacks"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_the_use_of_randomization_in_cyberattacks",Security,"Threat Hunting","Detecting the use of randomization in cyberattacks"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Detecting_unencrypted_web_communications",Security,Compliance,"Detecting unencrypted web communications"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_wire_transfer_fraud","Financial Services","Use cases for financial services","Detecting wire transfer fraud"
"DHCP data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Processing_DMCA_notices/Device_owner_identified_using_a_MAC_address",Security,Compliance,"Device owner identified using a MAC address"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Device_with_outdated_anti-malware",Security,Compliance,"Device with outdated anti-malware"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Managing_web_server_performance/Distribution_of_web_traffic_across_servers","Technology, Communications, and Media","Use cases for technology, communications and media","Distribution of web traffic across servers"
"VMware data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_VMware_virtualization_infrastructure/ESXi_host_version_identification","IT Modernization","Infrastructure Monitoring","ESXi host version identification"
"VMware data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_VMware_virtualization_infrastructure/ESXi_hosts_with_high_CPU_Ready_summation_value","IT Modernization","Infrastructure Monitoring","ESXi hosts with high CPU Ready summation value"
"VMware data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_VMware_virtualization_infrastructure/ESXi_hosts_with_sustained_high_ballooning","IT Modernization","Infrastructure Monitoring","ESXi hosts with sustained high ballooning"
"VMware data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Monitoring_VMware_virtualization_infrastructure/ESXi_hosts_with_sustained_high_swapping","IT Modernization","Infrastructure Monitoring","ESXi hosts with sustained high swapping"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Investigation_and_Troubleshooting/Recovering_lost_visibility_of_IT_infrastructure/Error_and_failure_events_on_a_host","IT Modernization","Investigation and Troubleshooting","Error and failure events on a host"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Estimated_generated_call_revenue","Technology, Communications, and Media","Use cases for technology, communications and media","Estimated generated call revenue"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Reconstructing_a_website_defacement/Executable_uploaded_to_a_web_server",Security,"Threat Hunting","Executable uploaded to a web server"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/Expected_*Nix_process_not_running","IT Modernization","Infrastructure Monitoring","Expected *Nix process not running"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform/Expected_Windows_process_not_running","IT Modernization","Infrastructure Monitoring","Expected Windows process not running"
"*","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Expected_host_not_reporting_events",Security,Compliance,"Expected host not reporting events"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/FQDN_associated_with_an_IP_address",Security,"Incident Management","FQDN associated with an IP address"
"Web server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/FQDN_associated_with_an_IP_address",Security,"Incident Management","FQDN associated with an IP address"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform/Failed_Windows_updates","IT Modernization","Infrastructure Monitoring","Failed Windows updates"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Failed_call_metrics_by_geographic_location","Technology, Communications, and Media","Use cases for technology, communications and media","Failed call metrics by geographic location"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Failed_calls_by_destination_and_gateway","Technology, Communications, and Media","Use cases for technology, communications and media","Failed calls by destination and gateway"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Failed_calls_with_enriched_error_information","Technology, Communications, and Media","Use cases for technology, communications and media","Failed calls with enriched error information"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/File_added_to_the_system_through_external_media",Security,"Incident Management","File added to the system through external media"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/File_downloaded_to_a_machine_from_a_website",Security,"Incident Management","File downloaded to a machine from a website"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/File_hashes_associated_with_the_Supernova_trojanized_DLL",Security,"Threat Hunting","File hashes associated with the Supernova trojanized DLL"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/File_hashes_associated_with_the_Supernova_trojanized_DLL",Security,"Threat Hunting","File hashes associated with the Supernova trojanized DLL"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack/File_write_spikes",Security,"Threat Hunting","File write spikes"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/Files_a_user_uploaded_to_a_network_file_share",Security,"Incident Management","Files a user uploaded to a network file share"
"System log data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Investigating_a_ransomware_attack/Files_that_belong_to_a_network_user",Security,"Incident Management","Files that belong to a network user"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/Filesystem_mounts_after_*nix_patching_event","IT Modernization","Infrastructure Monitoring","Filesystem mounts after *nix patching event"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Behavior_Analysis/Finding_Windows_audit_log_tampering",Security,"Behavior Analysis","Finding Windows audit log tampering"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Finding_interactive_logins_from_service_accounts",Security,"Threat Hunting","Finding interactive logins from service accounts"
"Proxy data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Finding_large_web_uploads",Security,"Threat Hunting","Finding large web uploads"
