"use_case","L6_sourcetype_category",domain,"lantern_url","lantern_vertical","lantern_vertical_category","percent_of_use_case"
"Creating a suspect list with cell tower data","Call Detail Record data",Platform,"https://lantern.splunk.com/@go/page/6479","Public Sector","Public Sector Data Analysis",100
"Creating a timebound picture of network activity","Endpoint data",Security,"https://lantern.splunk.com/@go/page/722","Industry Neutral","Incident Management",100
"Critical AWS Lambda metrics","AWS:CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2848","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Current AWS Elastic Compute Cloud (EC2) instances","AWS:Description data",Observability,"https://lantern.splunk.com/@go/page/653","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Current AWS elastic block store volumes","AWS:Description data",Observability,"https://lantern.splunk.com/@go/page/652","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Current AWS elastic load balancer instances","AWS:Description data",Observability,"https://lantern.splunk.com/@go/page/654","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Current AWS virtual private cloud infrastructure","AWS:Description data",Observability,"https://lantern.splunk.com/@go/page/655","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Current state of Windows services on a host","Microsoft:Windows data",Observability,"https://lantern.splunk.com/@go/page/1754","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"Current state of Windows services on a host","Updates data",Observability,"https://lantern.splunk.com/@go/page/1754","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"DLL loaded in a specific process","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1774","Industry Neutral","Threat Hunting",50
"DLL loaded in a specific process","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1774","Industry Neutral","Threat Hunting",50
"DNS queries to randomized subdomains","Network Resolution data",Security,"https://lantern.splunk.com/@go/page/728","Industry Neutral","Threat Hunting",100
"DNS tunneling through randomized subdomains","Network Resolution data",Security,"https://lantern.splunk.com/@go/page/727","Industry Neutral","Threat Hunting",100
"Defining and detecting Personally Identifiable Information (PII) in log data","Endpoint data",Security,"https://lantern.splunk.com/@go/page/4512","Industry Neutral",Compliance,100
"Detect Kubernetes nodes running out of resources or pods that are in a pending phase","Kubernetes data",Observability,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_Kubernetes_pods/Detect_Kubernetes_nodes_running_out_of_resources_or_pods_that_are_in_a_pending_phase","Industry Neutral","Optimize Cloud Monitoring",100
"Detecting ATM fraud","Business Service data",Platform,"https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Detecting ATM fraud","Financial data",Platform,"https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Detecting AWS network ACL activity","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS network ACL activity","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS network ACL activity","AWS:IAM data",Security,"https://lantern.splunk.com/@go/page/2667","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting AWS security hub alerts","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2816","Industry Neutral","Threat Hunting",25
"Detecting AWS security hub alerts","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2816","Industry Neutral","Threat Hunting",25
"Detecting AWS security hub alerts","AWS:IAM data",Security,"https://lantern.splunk.com/@go/page/2816","Industry Neutral","Threat Hunting",25
"Detecting AWS security hub alerts","AWS:Security Hub data",Security,"https://lantern.splunk.com/@go/page/2816","Industry Neutral","Threat Hunting",25
"Detecting AWS suspicious provisioning activities","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2676","Industry Neutral","Threat Hunting",50
"Detecting AWS suspicious provisioning activities","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2676","Industry Neutral","Threat Hunting",50
"Detecting BlackMatter ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3005","Industry Neutral","Threat Hunting",100
"Detecting Clop ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2858","Industry Neutral","Threat Hunting",50
"Detecting Clop ransomware","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/2858","Industry Neutral","Threat Hunting",50
"Detecting DarkSide ransomware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3006","Industry Neutral","Threat Hunting",100
"Detecting FIN7 attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3061","Industry Neutral","Threat Hunting",50
"Detecting FIN7 attacks","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/3061","Industry Neutral","Threat Hunting",50
"Detecting IcedID attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3159","Industry Neutral","Threat Hunting",100
"Detecting Log4j remote code execution","Application data",Security,"https://lantern.splunk.com/@go/page/2939","Industry Neutral","Threat Hunting",50
"Detecting Log4j remote code execution","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2939","Industry Neutral","Threat Hunting",50
"Detecting Netsh attacks","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/2712","Industry Neutral","Threat Hunting",100
"Detecting Office 365 attacks","Microsoft:365 data",Security,"https://lantern.splunk.com/@go/page/2838","Industry Neutral","Threat Hunting",100
"Detecting Operational Technology assets communicating with external systems","Network Traffic data",Security,"https://lantern.splunk.com/@go/page/7268","Operational Technology (OT)","Threat Hunting",100
"Detecting Personally Identifiable Information (PII) in log data for GDPR Compliance","Compliance and Governance data",Security,"https://lantern.splunk.com/@go/page/4206","Industry Neutral",Compliance,100
"Detecting REvil ransomware infections","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1849","Industry Neutral","Threat Hunting",100
"Detecting Supernova web shell malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Malware data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Vulnerability Scanning data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting Supernova web shell malware","Web Server data",Security,"https://lantern.splunk.com/@go/page/1768","Industry Neutral","Threat Hunting",20
"Detecting TOR traffic","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/375","Industry Neutral","Threat Hunting",100
"Detecting Trickbot attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3163","Industry Neutral","Threat Hunting",100
"Detecting WhisperGate malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3166","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting WhisperGate malware","Malware data",Security,"https://lantern.splunk.com/@go/page/3166","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting WhisperGate malware","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/3166","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting Windows BITS abuse","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3172","Industry Neutral","Anomaly detection",100
"Detecting Windows file extension abuse","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3164","Industry Neutral","Threat Hunting",100
"Detecting XMRig CPU or GPU mining","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3167","Industry Neutral","Threat Hunting",50
"Detecting XMRig CPU or GPU mining","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/3167","Industry Neutral","Threat Hunting",50
"Detecting Zerologon attacks","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/3211","Industry Neutral","Threat Hunting",100
"Detecting a ransomware attack","Backup data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",25
"Detecting a ransomware attack","Binary Repositories data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",25
"Detecting a ransomware attack","Deep Packet Inspection data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",25
"Detecting a ransomware attack","Malware data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral","Threat Hunting",25
"Detecting and resolving issues in a Kubernetes environment","Kubernetes data",Observability,"https://lantern.splunk.com/@go/page/8071","Industry Neutral","Optimize Cloud Monitoring",100
"Detecting changes to Windows user group","Microsoft:Windows data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Detecting_changes_to_Windows_user_group","Industry Neutral","Threat Hunting",100
"Detecting changes to Windows user groups","Microsoft:Windows data",Security,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/Detecting_changes_to_Windows_user_group","Industry Neutral","Threat Hunting",100
"Detecting cloud federated credential abuse in AWS","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2797","Industry Neutral","Anomaly detection",50
"Detecting cloud federated credential abuse in AWS","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2797","Industry Neutral","Anomaly detection",50
"Detecting cloud federated credential abuse in Windows","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3023","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting cloud federated credential abuse in Windows","Microsoft:365 data",Security,"https://lantern.splunk.com/@go/page/3023","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting cloud federated credential abuse in Windows","Microsoft:Active Directory data",Security,"https://lantern.splunk.com/@go/page/3023","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting consumer bank account takeovers","Application data",Security,"https://lantern.splunk.com/@go/page/4383","Industry Neutral","Anomaly detection",50
"Detecting consumer bank account takeovers","Financial data",Security,"https://lantern.splunk.com/@go/page/4383","Industry Neutral","Anomaly detection",50
"Detecting credit card fraud","Application data",Security,"https://lantern.splunk.com/@go/page/2262","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Detecting credit card fraud","Financial data",Security,"https://lantern.splunk.com/@go/page/2262","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Detecting data exfiltration activities","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3206","Industry Neutral","Anomaly detection",50
"Detecting data exfiltration activities","Network Protocol data",Security,"https://lantern.splunk.com/@go/page/3206","Industry Neutral","Anomaly detection",50
"Detecting domain trust discovery attempts","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3213","Industry Neutral","Threat Hunting",100
"Detecting indicators of Remcos RAT malware","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2958","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting indicators of Remcos RAT malware","Malware data",Security,"https://lantern.splunk.com/@go/page/2958","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting indicators of Remcos RAT malware","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/2958","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting malicious activities with Sigma rules","Malware data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Network Traffic data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Network VPN data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious activities with Sigma rules","Web Server data",Security,"https://lantern.splunk.com/@go/page/5890","Industry Neutral","Threat Hunting","14.285714285714286"
"Detecting malicious file obfuscation using certutil.exe","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3210","Industry Neutral","Threat Hunting",100
"Detecting masquerading","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting masquerading","File Integrity Monitoring data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting masquerading","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1549","Industry Neutral","Threat Hunting","33.333333333333336"
"Detecting network and port scanning","Network Firewall data",Security,"http://lantern.splunk.com/@go/cid/AdoptionBoardNetwork","Industry Neutral","Threat Hunting",100
"Detecting non-privileged user accounts conducting privileged actions","Authentication data",Security,"https://lantern.splunk.com/@go/page/4223","Industry Neutral",Compliance,50
"Detecting non-privileged user accounts conducting privileged actions","Database data",Security,"https://lantern.splunk.com/@go/page/4223","Industry Neutral",Compliance,50
"Detecting password spraying attacks within Active Directory environments","Microsoft:Active Directory data",Security,"https://lantern.splunk.com/@go/page/3025","Industry Neutral","Threat Hunting",50
"Detecting password spraying attacks within Active Directory environments","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/3025","Industry Neutral","Threat Hunting",50
"Detecting print spooler attacks","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1863","Industry Neutral","Threat Hunting",50
"Detecting print spooler attacks","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1863","Industry Neutral","Threat Hunting",50
"Detecting privilege escalation in your AWS environment","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2815","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting privilege escalation in your AWS environment","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2815","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting privilege escalation in your AWS environment","AWS:IAM data",Security,"https://lantern.splunk.com/@go/page/2815","Industry Neutral","Anomaly detection","33.333333333333336"
"Detecting ransomware activities within AWS environments","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2995","Industry Neutral","Threat Hunting",50
"Detecting ransomware activities within AWS environments","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2995","Industry Neutral","Threat Hunting",50
"Detecting recurring malware on a host","Endpoint data",Security,"https://lantern.splunk.com/@go/page/367","Industry Neutral","Threat Hunting",50
"Detecting recurring malware on a host","Malware data",Security,"https://lantern.splunk.com/@go/page/367","Industry Neutral","Threat Hunting",50
"Detecting software supply chain attacks","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2568","Industry Neutral","Threat Hunting",50
"Detecting software supply chain attacks","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/2568","Industry Neutral","Threat Hunting",50
"Detecting suspicious activities within AWS cloud instances","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/2801","Industry Neutral","Anomaly detection",50
"Detecting suspicious activities within AWS cloud instances","AWS:CloudWatch data",Security,"https://lantern.splunk.com/@go/page/2801","Industry Neutral","Anomaly detection",50
"Detecting the disabling of security tools","Endpoint data",Security,"https://lantern.splunk.com/@go/page/3212","Industry Neutral","Threat Hunting",100
"Detecting the use of randomization in cyberattacks","Malware data",Security,"https://lantern.splunk.com/@go/page/735","Industry Neutral","Threat Hunting",50
"Detecting the use of randomization in cyberattacks","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/735","Industry Neutral","Threat Hunting",50
"Detecting unencrypted web communications","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/370","Industry Neutral",Compliance,100
"Detecting usage of popular Linux post-exploitation tools","Linux and Unix data",Security,"https://lantern.splunk.com/@go/page/2966","Industry Neutral","Threat Hunting",100
"Detecting wire transfer fraud","Application data",Security,"https://lantern.splunk.com/@go/page/1597","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Detecting wire transfer fraud","Financial data",Security,"https://lantern.splunk.com/@go/page/1597","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Device owner identified using a MAC address","Network Sessions data",Security,"https://lantern.splunk.com/@go/page/574","Industry Neutral",Compliance,100
"Device with outdated anti-malware","Malware data",Security,"https://lantern.splunk.com/@go/page/548","Industry Neutral",Compliance,100
"Disabled AWS CloudTrail logging","AWS:CloudTrail data",Observability,"https://lantern.splunk.com/@go/page/2846","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Disabling inactive user accounts in AWS","AWS:IAM data",Security,"https://lantern.splunk.com/@go/page/1157","Industry Neutral","Incident Management",100
"Distribution of web traffic across servers","Web Server data",Platform,"https://lantern.splunk.com/@go/page/703","Technology, Communications, and Media","Technology, Communications, and Media Analysis",100
"ESXi host version identification","VMware data",Observability,"https://lantern.splunk.com/@go/page/2822","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"ESXi hosts with high CPU Ready summation value","VMware data",Observability,"https://lantern.splunk.com/@go/page/682","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"ESXi hosts with sustained high ballooning","VMware data",Observability,"https://lantern.splunk.com/@go/page/681","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"ESXi hosts with sustained high swapping","VMware data",Observability,"https://lantern.splunk.com/@go/page/683","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Error and failure events on a host","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/1522","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"Error and failure events on a host","Microsoft:Windows data",Observability,"https://lantern.splunk.com/@go/page/1522","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"Estimated generated call revenue","Call Detail Record data",Platform,"https://lantern.splunk.com/@go/page/2376","Technology, Communications, and Media","Technology, Communications, and Media Analysis",100
"Executable uploaded to a web server","Web Server data",Security,"https://lantern.splunk.com/@go/page/786","Industry Neutral","Threat Hunting",100
"Expected *Nix process not running","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/1751","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Expected Windows process not running","Microsoft:Windows data",Observability,"https://lantern.splunk.com/@go/page/1752","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
