epoch,_time,customer,amount,action,branch
1554102538,2019/04/01 03:08:58 EDT,Debra,238,withdrawal,branch3
1554092455,2019/04/01 00:20:55 EDT,Rudyard,406,withdrawal,branch4
1554082557,2019/03/31 21:35:57 EDT,Salvador,419,withdrawal,branch5
1554078893,2019/03/31 20:34:53 EDT,Alexis,431,withdrawal,branch1
1554093515,2019/04/01 00:38:35 EDT,Eden,163,withdrawal,branch2
1554083738,2019/03/31 21:55:38 EDT,Violet,105,withdrawal,branch3
1554111557,2019/04/01 05:39:17 EDT,Willow,235,withdrawal,branch5
1554099411,2019/04/01 02:16:51 EDT,Ivor,413,withdrawal,branch1
1554092036,2019/04/01 00:13:56 EDT,Hilda,356,withdrawal,branch1
1554108011,2019/04/01 04:40:11 EDT,Mannix,248,withdrawal,branch3
1554101412,2019/04/01 02:50:12 EDT,Nero,462,withdrawal,branch4
1554103218,2019/04/01 03:20:18 EDT,Blaine,406,withdrawal,branch2
1554084760,2019/03/31 22:12:40 EDT,Alec,490,withdrawal,branch3
1554082370,2019/03/31 21:32:50 EDT,Zephr,115,withdrawal,branch5
1554091118,2019/03/31 23:58:38 EDT,Ria,211,withdrawal,branch2
1554086259,2019/03/31 22:37:39 EDT,Nyssa,207,withdrawal,branch5
1554078782,2019/03/31 20:33:02 EDT,Dale,379,withdrawal,branch4
1554081727,2019/03/31 21:22:07 EDT,Whoopi,290,withdrawal,branch1
1554083005,2019/03/31 21:43:25 EDT,Ann,174,withdrawal,branch1
1554085135,2019/03/31 22:18:55 EDT,Anthony,193,withdrawal,branch2
1554091592,2019/04/01 00:06:32 EDT,Tyler,272,withdrawal,branch1
1554081974,2019/03/31 21:26:14 EDT,Amy,387,withdrawal,branch4
1554082880,2019/03/31 21:41:20 EDT,Raja,235,withdrawal,branch2
1554096763,2019/04/01 01:32:43 EDT,Warren,447,withdrawal,branch2
1554091231,2019/04/01 00:00:31 EDT,Steven,231,withdrawal,branch3
1554095192,2019/04/01 01:06:32 EDT,Hamish,182,withdrawal,branch3
1554081434,2019/03/31 21:17:14 EDT,Felix,260,withdrawal,branch4
1554111456,2019/04/01 05:37:36 EDT,Berk,420,withdrawal,branch5
1554104175,2019/04/01 03:36:15 EDT,Armando,239,withdrawal,branch4
1554116196,2019/04/01 06:56:36 EDT,Delilah,465,withdrawal,branch1
1554092996,2019/04/01 00:29:56 EDT,Lynn,264,withdrawal,branch5
1554086834,2019/03/31 22:47:14 EDT,Timon,365,withdrawal,branch2
1554091579,2019/04/01 00:06:19 EDT,Brock,174,withdrawal,branch1
1554107119,2019/04/01 04:25:19 EDT,Sierra,336,withdrawal,branch5
1554087964,2019/03/31 23:06:04 EDT,Cameron,114,withdrawal,branch3
1554107627,2019/04/01 04:33:47 EDT,Rina,107,withdrawal,branch1
1554112121,2019/04/01 05:48:41 EDT,Karly,173,withdrawal,branch5
1554079786,2019/03/31 20:49:46 EDT,Mark,427,withdrawal,branch2
1554114219,2019/04/01 06:23:39 EDT,Blaze,312,withdrawal,branch3
1554095828,2019/04/01 01:17:08 EDT,Keefe,219,withdrawal,branch5
1554107315,2019/04/01 04:28:35 EDT,Debra,420,withdrawal,branch5
1554103200,2019/04/01 03:20:00 EDT,Delilah,466,withdrawal,branch4
1554080989,2019/03/31 21:09:49 EDT,Bevis,433,withdrawal,branch5
1554102458,2019/04/01 03:07:38 EDT,Wendy,481,withdrawal,branch5
1554097702,2019/04/01 01:48:22 EDT,Jordan,422,withdrawal,branch3
1554105856,2019/04/01 04:04:16 EDT,Nelle,140,withdrawal,branch1
1554116162,2019/04/01 06:56:02 EDT,Micah,219,withdrawal,branch2
1554086794,2019/03/31 22:46:34 EDT,Blair,303,withdrawal,branch4
1554088653,2019/03/31 23:17:33 EDT,Hector,181,withdrawal,branch3
1554090801,2019/03/31 23:53:21 EDT,Keelie,170,withdrawal,branch5
1554090137,2019/03/31 23:42:17 EDT,Upton,114,withdrawal,branch2
1554098642,2019/04/01 02:04:02 EDT,Mannix,273,withdrawal,branch1
1554084304,2019/03/31 22:05:04 EDT,Inga,200,withdrawal,branch2
1554113832,2019/04/01 06:17:12 EDT,Joelle,387,withdrawal,branch5
1554098880,2019/04/01 02:08:00 EDT,Roth,196,withdrawal,branch2
1554087510,2019/03/31 22:58:30 EDT,Debra,463,withdrawal,branch1
1554100422,2019/04/01 02:33:42 EDT,Justina,403,withdrawal,branch5
1554086896,2019/03/31 22:48:16 EDT,Hall,174,withdrawal,branch3
1554089388,2019/03/31 23:29:48 EDT,Anjolie,341,withdrawal,branch4
1554094730,2019/04/01 00:58:50 EDT,Gavin,485,withdrawal,branch4
1554088827,2019/03/31 23:20:27 EDT,Ali,399,withdrawal,branch2
1554102066,2019/04/01 03:01:06 EDT,Whoopi,245,withdrawal,branch3
1554092606,2019/04/01 00:23:26 EDT,Hayden,437,withdrawal,branch2
1554111779,2019/04/01 05:42:59 EDT,Alyssa,221,withdrawal,branch2
1554102522,2019/04/01 03:08:42 EDT,Mark,373,withdrawal,branch1
1554084378,2019/03/31 22:06:18 EDT,Kyla,154,withdrawal,branch4
1554092437,2019/04/01 00:20:37 EDT,Edan,280,withdrawal,branch1
1554105844,2019/04/01 04:04:04 EDT,Glenna,488,withdrawal,branch1
1554107569,2019/04/01 04:32:49 EDT,Neville,364,withdrawal,branch5
1554080058,2019/03/31 20:54:18 EDT,Thor,204,withdrawal,branch5
1554084377,2019/03/31 22:06:17 EDT,Jenna,364,withdrawal,branch4
1554101968,2019/04/01 02:59:28 EDT,Nayda,331,withdrawal,branch3
1554085767,2019/03/31 22:29:27 EDT,Jason,237,withdrawal,branch4
1554103634,2019/04/01 03:27:14 EDT,Yoshi,484,withdrawal,branch4
1554099421,2019/04/01 02:17:01 EDT,Guy,339,withdrawal,branch1
1554093962,2019/04/01 00:46:02 EDT,Tiger,171,withdrawal,branch4
1554093360,2019/04/01 00:36:00 EDT,Giacomo,412,withdrawal,branch2
1554098288,2019/04/01 01:58:08 EDT,Walter,447,withdrawal,branch2
1554077816,2019/03/31 20:16:56 EDT,Francis,388,withdrawal,branch3
1554089989,2019/03/31 23:39:49 EDT,Thor,358,withdrawal,branch1
1554078409,2019/03/31 20:26:49 EDT,Dolan,182,withdrawal,branch5
1554099600,2019/04/01 02:20:00 EDT,Isadora,219,withdrawal,branch5
1554105915,2019/04/01 04:05:15 EDT,Colorado,325,withdrawal,branch3
1554114430,2019/04/01 06:27:10 EDT,Allistair,141,withdrawal,branch5
1554083632,2019/03/31 21:53:52 EDT,Vladimir,322,withdrawal,branch2
1554115573,2019/04/01 06:46:13 EDT,Bevis,182,withdrawal,branch1
1554100146,2019/04/01 02:29:06 EDT,Beatrice,252,withdrawal,branch5
1554078748,2019/03/31 20:32:28 EDT,Acton,405,withdrawal,branch4
1554081024,2019/03/31 21:10:24 EDT,Aidan,350,withdrawal,branch5
1554099479,2019/04/01 02:17:59 EDT,Quincy,325,withdrawal,branch3
1554100098,2019/04/01 02:28:18 EDT,Noelani,270,withdrawal,branch1
1554089034,2019/03/31 23:23:54 EDT,Rafael,340,withdrawal,branch2
1554080357,2019/03/31 20:59:17 EDT,Shaeleigh,155,withdrawal,branch5
1554111691,2019/04/01 05:41:31 EDT,Ursa,380,withdrawal,branch2
1554102541,2019/04/01 03:09:01 EDT,Colleen,182,withdrawal,branch2
1554079649,2019/03/31 20:47:29 EDT,Martina,364,withdrawal,branch2
1554080328,2019/03/31 20:58:48 EDT,Garrett,393,withdrawal,branch5
1554080379,2019/03/31 20:59:39 EDT,Denise,328,withdrawal,branch5
1554083964,2019/03/31 21:59:24 EDT,Alvin,480,withdrawal,branch1
1554114640,2019/04/01 06:30:40 EDT,Matthew,331,withdrawal,branch5
1554102302,2019/04/01 03:05:02 EDT,Portia,226,withdrawal,branch2
1554113683,2019/04/01 06:14:43 EDT,Yen,248,withdrawal,branch1
1554107210,2019/04/01 04:26:50 EDT,Tanner,383,withdrawal,branch2
1554115881,2019/04/01 06:51:21 EDT,Quinlan,145,withdrawal,branch3
1554095351,2019/04/01 01:09:11 EDT,Elijah,452,withdrawal,branch1
1554085275,2019/03/31 22:21:15 EDT,Cullen,275,withdrawal,branch3
1554097690,2019/04/01 01:48:10 EDT,Dillon,452,withdrawal,branch1
1554091380,2019/04/01 00:03:00 EDT,Vivien,307,withdrawal,branch5
1554088181,2019/03/31 23:09:41 EDT,Jason,329,withdrawal,branch1
1554091071,2019/03/31 23:57:51 EDT,Tobias,410,withdrawal,branch5
1554092593,2019/04/01 00:23:13 EDT,Kyra,423,withdrawal,branch1
1554077667,2019/03/31 20:14:27 EDT,Tamekah,177,withdrawal,branch5
1554076942,2019/03/31 20:02:22 EDT,Hyatt,253,withdrawal,branch1
1554088026,2019/03/31 23:07:06 EDT,Riley,317,withdrawal,branch4
1554096054,2019/04/01 01:20:54 EDT,Vielka,169,withdrawal,branch1
1554083345,2019/03/31 21:49:05 EDT,Rowan,205,withdrawal,branch1
1554113800,2019/04/01 06:16:40 EDT,Hedda,288,withdrawal,branch5
1554082865,2019/03/31 21:41:05 EDT,Shaeleigh,283,withdrawal,branch1
1554093237,2019/04/01 00:33:57 EDT,Georgia,162,withdrawal,branch5
1554099704,2019/04/01 02:21:44 EDT,Carolyn,383,withdrawal,branch4
1554109047,2019/04/01 04:57:27 EDT,Cecilia,391,withdrawal,branch2
1554114309,2019/04/01 06:25:09 EDT,Vanna,311,withdrawal,branch5
1554115370,2019/04/01 06:42:50 EDT,Lydia,470,withdrawal,branch4
1554101851,2019/04/01 02:57:31 EDT,Raven,439,withdrawal,branch1
1554109454,2019/04/01 05:04:14 EDT,Wallace,204,withdrawal,branch5
1554091784,2019/04/01 00:09:44 EDT,Quinn,411,withdrawal,branch1
1554087388,2019/03/31 22:56:28 EDT,Jescie,170,withdrawal,branch4
1554114182,2019/04/01 06:23:02 EDT,Francis,231,withdrawal,branch5
1554112812,2019/04/01 06:00:12 EDT,Lacey,231,withdrawal,branch5
1554095417,2019/04/01 01:10:17 EDT,Abdul,152,withdrawal,branch4
1554104344,2019/04/01 03:39:04 EDT,Yetta,304,withdrawal,branch2
1554087391,2019/03/31 22:56:31 EDT,Keane,295,withdrawal,branch1
1554105863,2019/04/01 04:04:23 EDT,Colleen,292,withdrawal,branch5
1554095507,2019/04/01 01:11:47 EDT,Hannah,170,withdrawal,branch4
1554077610,2019/03/31 20:13:30 EDT,Scott,284,withdrawal,branch2
1554095867,2019/04/01 01:17:47 EDT,Lillith,237,withdrawal,branch3
1554115325,2019/04/01 06:42:05 EDT,Colt,475,withdrawal,branch3
1554081825,2019/03/31 21:23:45 EDT,Kelsie,192,withdrawal,branch3
1554093326,2019/04/01 00:35:26 EDT,Jameson,146,withdrawal,branch2
1554093642,2019/04/01 00:40:42 EDT,Hyatt,218,withdrawal,branch1
1554092562,2019/04/01 00:22:42 EDT,Allen,357,withdrawal,branch5
1554111240,2019/04/01 05:34:00 EDT,Quamar,448,withdrawal,branch2
1554104847,2019/04/01 03:47:27 EDT,Beau,289,withdrawal,branch4
1554106444,2019/04/01 04:14:04 EDT,Chastity,179,withdrawal,branch1
1554086824,2019/03/31 22:47:04 EDT,Casey,190,withdrawal,branch3
1554088772,2019/03/31 23:19:32 EDT,Craig,152,withdrawal,branch4
1554105283,2019/04/01 03:54:43 EDT,Jesse,305,withdrawal,branch4
1554113936,2019/04/01 06:18:56 EDT,Denton,297,withdrawal,branch3
1554084904,2019/03/31 22:15:04 EDT,Dolan,450,withdrawal,branch2
1554105411,2019/04/01 03:56:51 EDT,Ali,244,withdrawal,branch5
1554081752,2019/03/31 21:22:32 EDT,Lenore,274,withdrawal,branch1
1554092841,2019/04/01 00:27:21 EDT,Len,260,withdrawal,branch1
1554104289,2019/04/01 03:38:09 EDT,Kay,395,withdrawal,branch5
1554082708,2019/03/31 21:38:28 EDT,Louis,355,withdrawal,branch3
1554115967,2019/04/01 06:52:47 EDT,Lucas,285,withdrawal,branch5
1554094620,2019/04/01 00:57:00 EDT,Brock,360,withdrawal,branch1
1554079635,2019/03/31 20:47:15 EDT,Chanda,198,withdrawal,branch2
1554090827,2019/03/31 23:53:47 EDT,Slade,430,withdrawal,branch4
1554112629,2019/04/01 05:57:09 EDT,Nigel,436,withdrawal,branch2
1554105034,2019/04/01 03:50:34 EDT,Ulysses,379,withdrawal,branch5
1554110345,2019/04/01 05:19:05 EDT,Tallulah,169,withdrawal,branch3
1554077188,2019/03/31 20:06:28 EDT,Adrienne,491,withdrawal,branch5
1554104745,2019/04/01 03:45:45 EDT,Calista,310,withdrawal,branch2
1554081788,2019/03/31 21:23:08 EDT,Linus,486,withdrawal,branch2
1554100369,2019/04/01 02:32:49 EDT,Remedios,478,withdrawal,branch3
1554083731,2019/03/31 21:55:31 EDT,Kirk,369,withdrawal,branch4
1554100092,2019/04/01 02:28:12 EDT,Cameron,418,withdrawal,branch3
1554078096,2019/03/31 20:21:36 EDT,Coby,229,withdrawal,branch3
1554078545,2019/03/31 20:29:05 EDT,George,115,withdrawal,branch1
1554077337,2019/03/31 20:08:57 EDT,Thomas,357,withdrawal,branch1
1554108203,2019/04/01 04:43:23 EDT,Ivy,458,withdrawal,branch3
1554080843,2019/03/31 21:07:23 EDT,Elton,426,withdrawal,branch5
1554104378,2019/04/01 03:39:38 EDT,Jocelyn,393,withdrawal,branch3
1554099805,2019/04/01 02:23:25 EDT,Wilma,227,withdrawal,branch1
1554097542,2019/04/01 01:45:42 EDT,Illiana,144,withdrawal,branch2
1554091762,2019/04/01 00:09:22 EDT,Hanna,148,withdrawal,branch1
