epoch,_time,customer,os,location,vendor,helpSection,responseTime
1555096896,2019/04/12 15:21:36 EDT,Ariana,IOS 11,rabbit hole,ButterCupPay,login,1
1555074199,2019/04/12 09:03:19 EDT,Aristotle,Windows 10,garden,MoonPay,bill submit,3
1555112894,2019/04/12 19:48:14 EDT,Claudia,Android 7.1,garden,ButterCupPay,bill entry,3
1555093196,2019/04/12 14:19:56 EDT,Violet,IOS 12.2,barnsville,SplunkPay,bill review,2
1555087431,2019/04/12 12:43:51 EDT,Jessica,Windows 10,garden,ButterCupPay,bill review,1
1555093750,2019/04/12 14:29:10 EDT,Emery,IOS 10.4,rabbit hole,SplunkPay,login,5
1555122677,2019/04/12 22:31:17 EDT,Georgia,Android 7.1,garden,MoonPay,bill entry,2
1555086652,2019/04/12 12:30:52 EDT,Natalie,IOS 12.2,oaktree,SplunkPay,bill review,1
1555094244,2019/04/12 14:37:24 EDT,Ruby,Android 7.1,rabbit hole,SplunkPay,bill review,1
1555101782,2019/04/12 16:43:02 EDT,Paki,IOS 12.2,rabbit hole,ButterCupPay,login,5
1555086007,2019/04/12 12:20:07 EDT,Wyoming,IOS 10.4,oaktree,ButterCupPay,bill submit,4
1555108200,2019/04/12 18:30:00 EDT,Leilani,IOS 12.2,rose,MoonPay,bill review,1
1555116077,2019/04/12 20:41:17 EDT,Karleigh,IOS 11,barnsville,ButterCupPay,bill pay,1
1555123251,2019/04/12 22:40:51 EDT,Orla,Android 8.0,barnsville,SplunkPay,login,5
1555108213,2019/04/12 18:30:13 EDT,Ryan,IOS 12.2,oaktree,MoonPay,bill submit,2
1555117987,2019/04/12 21:13:07 EDT,Lillian,IOS 11,rabbit hole,SplunkPay,login,2
1555102448,2019/04/12 16:54:08 EDT,Jenette,Android 7.1,barnsville,SplunkPay,bill review,1
1555080765,2019/04/12 10:52:45 EDT,Lewis,Android 7.1,barnsville,SplunkPay,bill entry,1
1555082630,2019/04/12 11:23:50 EDT,Cecilia,IOS 11,garden,SplunkPay,bill pay,3
1555107194,2019/04/12 18:13:14 EDT,Jameson,IOS 12.2,oaktree,ButterCupPay,bill pay,2
1555115372,2019/04/12 20:29:32 EDT,Xaviera,Windows 10,oaktree,ButterCupPay,bill submit,3
1555079317,2019/04/12 10:28:37 EDT,Cecilia,Windows 10,rose,ButterCupPay,bill submit,3
1555104495,2019/04/12 17:28:15 EDT,Burton,IOS 10.4,barnsville,SplunkPay,bill submit,4
1555086864,2019/04/12 12:34:24 EDT,Megan,IOS 10.4,rabbit hole,SplunkPay,bill entry,2
1555097495,2019/04/12 15:31:35 EDT,May,Windows 10,barnsville,ButterCupPay,bill submit,3
1555081380,2019/04/12 11:03:00 EDT,Orla,IOS 10.4,rose,ButterCupPay,bill entry,4
1555082271,2019/04/12 11:17:51 EDT,Whitney,Windows 10,garden,MoonPay,bill pay,4
1555091104,2019/04/12 13:45:04 EDT,Tashya,Windows 10,oaktree,ButterCupPay,bill entry,3
1555103129,2019/04/12 17:05:29 EDT,Alika,IOS 12.2,oaktree,ButterCupPay,login,4
1555097457,2019/04/12 15:30:57 EDT,Rigel,IOS 11,barnsville,SplunkPay,bill pay,1
1555083139,2019/04/12 11:32:19 EDT,Amelia,Android 8.0,barnsville,SplunkPay,login,1
1555109925,2019/04/12 18:58:45 EDT,Lacey,Android 8.0,oaktree,SplunkPay,bill pay,4
1555108106,2019/04/12 18:28:26 EDT,Edan,IOS 11,garden,SplunkPay,bill pay,3
1555093425,2019/04/12 14:23:45 EDT,Jenette,IOS 12.2,barnsville,ButterCupPay,bill review,2
1555098338,2019/04/12 15:45:38 EDT,Kennan,IOS 12.2,rabbit hole,MoonPay,bill review,1
1555082361,2019/04/12 11:19:21 EDT,Jacob,IOS 12.2,rose,ButterCupPay,bill entry,4
1555118021,2019/04/12 21:13:41 EDT,Illiana,IOS 11,barnsville,ButterCupPay,bill submit,4
1555101937,2019/04/12 16:45:37 EDT,Hiram,Android 7.1,rabbit hole,MoonPay,bill submit,4
1555079208,2019/04/12 10:26:48 EDT,Malcolm,IOS 11,garden,ButterCupPay,bill entry,3
1555120197,2019/04/12 21:49:57 EDT,Yuli,IOS 12.2,rabbit hole,MoonPay,bill submit,2
1555092484,2019/04/12 14:08:04 EDT,Mufutau,Android 8.0,rose,ButterCupPay,bill entry,2
1555081725,2019/04/12 11:08:45 EDT,Justin,IOS 12.2,rose,SplunkPay,bill submit,4
1555116923,2019/04/12 20:55:23 EDT,Kirestin,Android 8.0,barnsville,MoonPay,bill pay,1
1555111588,2019/04/12 19:26:28 EDT,Owen,Android 8.0,oaktree,ButterCupPay,bill pay,3
1555099033,2019/04/12 15:57:13 EDT,Devin,Windows 10,garden,ButterCupPay,bill submit,1
1555120406,2019/04/12 21:53:26 EDT,Elliott,Windows 10,rabbit hole,ButterCupPay,bill review,3
1555123688,2019/04/12 22:48:08 EDT,Addison,IOS 11,rabbit hole,MoonPay,bill submit,4
1555084455,2019/04/12 11:54:15 EDT,Aspen,Windows 10,barnsville,SplunkPay,bill entry,5
1555090324,2019/04/12 13:32:04 EDT,Curran,IOS 10.4,oaktree,SplunkPay,bill pay,2
1555106464,2019/04/12 18:01:04 EDT,Montana,Android 7.1,rose,SplunkPay,bill pay,1
1555091942,2019/04/12 13:59:02 EDT,Dean,Windows 10,rabbit hole,ButterCupPay,bill pay,5
1555102641,2019/04/12 16:57:21 EDT,Vaughan,Windows 10,barnsville,ButterCupPay,bill submit,2
1555109615,2019/04/12 18:53:35 EDT,Raja,Android 8.0,barnsville,ButterCupPay,bill pay,4
1555108058,2019/04/12 18:27:38 EDT,Kameko,Android 8.0,oaktree,ButterCupPay,login,2
1555090672,2019/04/12 13:37:52 EDT,Phyllis,Android 7.1,barnsville,SplunkPay,login,4
1555083380,2019/04/12 11:36:20 EDT,Linus,IOS 12.2,barnsville,MoonPay,login,1
1555123272,2019/04/12 22:41:12 EDT,Hiram,IOS 10.4,rabbit hole,ButterCupPay,login,1
1555099289,2019/04/12 16:01:29 EDT,Ray,IOS 11,oaktree,SplunkPay,login,1
1555100924,2019/04/12 16:28:44 EDT,Alfonso,Windows 10,oaktree,ButterCupPay,bill pay,5
1555104700,2019/04/12 17:31:40 EDT,Herrod,Windows 10,garden,SplunkPay,bill pay,1
1555096042,2019/04/12 15:07:22 EDT,Mark,Android 7.1,garden,MoonPay,bill review,2
1555104192,2019/04/12 17:23:12 EDT,Logan,IOS 12.2,rose,ButterCupPay,bill review,4
1555079957,2019/04/12 10:39:17 EDT,Jorden,IOS 12.2,garden,ButterCupPay,bill entry,2
1555090553,2019/04/12 13:35:53 EDT,Xenos,IOS 11,oaktree,ButterCupPay,bill pay,3
1555114866,2019/04/12 20:21:06 EDT,Ronan,Android 8.0,barnsville,SplunkPay,login,1
1555101126,2019/04/12 16:32:06 EDT,Emma,IOS 10.4,rabbit hole,MoonPay,bill pay,5
1555122712,2019/04/12 22:31:52 EDT,Lunea,Windows 10,barnsville,MoonPay,login,5
1555078420,2019/04/12 10:13:40 EDT,Octavia,IOS 10.4,garden,SplunkPay,bill entry,4
1555097347,2019/04/12 15:29:07 EDT,Darrel,IOS 10.4,oaktree,MoonPay,bill review,3
1555082193,2019/04/12 11:16:33 EDT,Yasir,Android 7.1,rabbit hole,ButterCupPay,bill review,4
1555082109,2019/04/12 11:15:09 EDT,Russell,Windows 10,barnsville,MoonPay,bill review,1
1555107579,2019/04/12 18:19:39 EDT,Amos,Windows 10,rose,MoonPay,bill entry,2
1555118073,2019/04/12 21:14:33 EDT,Nehru,Android 8.0,rose,MoonPay,login,4
1555119203,2019/04/12 21:33:23 EDT,Kirestin,IOS 11,garden,MoonPay,bill pay,2
1555076867,2019/04/12 09:47:47 EDT,Knox,Windows 10,barnsville,SplunkPay,bill entry,2
1555078768,2019/04/12 10:19:28 EDT,Shelby,IOS 12.2,rose,MoonPay,bill entry,3
1555113113,2019/04/12 19:51:53 EDT,Adara,Android 8.0,rose,SplunkPay,bill submit,2
1555120716,2019/04/12 21:58:36 EDT,Whitney,IOS 12.2,oaktree,MoonPay,bill entry,2
1555110434,2019/04/12 19:07:14 EDT,Nell,IOS 10.4,rose,MoonPay,login,4
1555086809,2019/04/12 12:33:29 EDT,Nomlanga,Android 8.0,oaktree,MoonPay,login,3
1555118941,2019/04/12 21:29:01 EDT,John,Android 7.1,rabbit hole,ButterCupPay,login,2
1555085382,2019/04/12 12:09:42 EDT,Levi,Android 7.1,barnsville,MoonPay,login,1
1555118597,2019/04/12 21:23:17 EDT,Lynn,Android 7.1,rabbit hole,SplunkPay,bill submit,2
1555120088,2019/04/12 21:48:08 EDT,Cadman,IOS 10.4,oaktree,SplunkPay,bill submit,3
1555096603,2019/04/12 15:16:43 EDT,Tatum,Android 7.1,barnsville,MoonPay,login,4
1555120813,2019/04/12 22:00:13 EDT,Francis,Android 8.0,rose,ButterCupPay,login,3
1555099396,2019/04/12 16:03:16 EDT,Allistair,Android 8.0,garden,SplunkPay,bill pay,2
1555112646,2019/04/12 19:44:06 EDT,Mary,IOS 10.4,rabbit hole,MoonPay,bill submit,3
1555074456,2019/04/12 09:07:36 EDT,Chadwick,IOS 11,barnsville,MoonPay,bill review,2
1555081431,2019/04/12 11:03:51 EDT,Faith,Android 8.0,barnsville,MoonPay,bill pay,1
1555083493,2019/04/12 11:38:13 EDT,Kaseem,Android 8.0,garden,ButterCupPay,login,3
1555095544,2019/04/12 14:59:04 EDT,Benedict,IOS 10.4,rabbit hole,ButterCupPay,bill submit,4
1555119659,2019/04/12 21:40:59 EDT,Connor,Android 7.1,rose,SplunkPay,bill entry,1
1555091501,2019/04/12 13:51:41 EDT,Miranda,Windows 10,rabbit hole,ButterCupPay,bill pay,5
1555077970,2019/04/12 10:06:10 EDT,Kirk,IOS 11,oaktree,SplunkPay,bill review,2
1555114860,2019/04/12 20:21:00 EDT,Hayley,Android 8.0,rabbit hole,ButterCupPay,login,3
1555093244,2019/04/12 14:20:44 EDT,Elizabeth,IOS 10.4,barnsville,SplunkPay,bill submit,1
1555110448,2019/04/12 19:07:28 EDT,McKenzie,IOS 10.4,barnsville,SplunkPay,bill entry,2
1555102608,2019/04/12 16:56:48 EDT,Kyle,Windows 10,oaktree,MoonPay,bill entry,1
1555090675,2019/04/12 13:37:55 EDT,Russell,Android 7.1,oaktree,ButterCupPay,bill submit,1
1555077052,2019/04/12 09:50:52 EDT,James,IOS 12.2,barnsville,ButterCupPay,bill submit,5
1555119550,2019/04/12 21:39:10 EDT,Thane,Windows 10,oaktree,ButterCupPay,bill pay,2
1555078004,2019/04/12 10:06:44 EDT,Orla,IOS 11,garden,SplunkPay,bill entry,2
1555092777,2019/04/12 14:12:57 EDT,Elizabeth,Android 7.1,garden,SplunkPay,bill entry,4
1555078099,2019/04/12 10:08:19 EDT,Marny,Android 7.1,rose,ButterCupPay,login,5
1555109166,2019/04/12 18:46:06 EDT,Chaney,Android 7.1,garden,MoonPay,bill submit,3
1555103129,2019/04/12 17:05:29 EDT,Sebastian,Windows 10,rabbit hole,MoonPay,bill pay,1
1555095125,2019/04/12 14:52:05 EDT,Chava,Android 8.0,rabbit hole,ButterCupPay,bill review,5
1555078450,2019/04/12 10:14:10 EDT,Allistair,IOS 10.4,barnsville,MoonPay,login,2
1555117612,2019/04/12 21:06:52 EDT,Aileen,Android 8.0,garden,MoonPay,bill pay,4
1555117848,2019/04/12 21:10:48 EDT,Rafael,Android 8.0,rose,SplunkPay,bill submit,2
1555114409,2019/04/12 20:13:29 EDT,Hammett,IOS 11,barnsville,ButterCupPay,bill entry,3
1555107416,2019/04/12 18:16:56 EDT,Xander,Android 7.1,rose,ButterCupPay,bill review,5
1555118267,2019/04/12 21:17:47 EDT,Xena,IOS 11,rose,SplunkPay,bill review,1
1555112069,2019/04/12 19:34:29 EDT,Patrick,IOS 11,garden,ButterCupPay,bill entry,1
1555098762,2019/04/12 15:52:42 EDT,Kyla,IOS 12.2,barnsville,ButterCupPay,login,2
1555122531,2019/04/12 22:28:51 EDT,Sydney,IOS 11,rose,SplunkPay,bill review,1
1555083795,2019/04/12 11:43:15 EDT,Ivory,Android 8.0,rose,SplunkPay,bill review,5
1555115357,2019/04/12 20:29:17 EDT,Michael,IOS 12.2,rose,ButterCupPay,bill pay,4
1555083808,2019/04/12 11:43:28 EDT,Nissim,Android 7.1,rose,MoonPay,bill pay,2
1555120349,2019/04/12 21:52:29 EDT,Salvador,IOS 10.4,barnsville,ButterCupPay,bill entry,4
1555086455,2019/04/12 12:27:35 EDT,Nehru,IOS 11,barnsville,SplunkPay,bill submit,2
